标题,标题链接,查看数,参与数,需求价格,详情标题,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【LOGO设计】汽车公司logo设计,https://task.epwk.com/1083952/,3957人,68人,"¥2,700",汽车公司logo设计,mf158****9642,￥ 2700,￥ 2700,2024.06.21,公司名字:大迈优车,任务编号：1083952,迪斯尼创意,速 豹 品 牌 设 计
【LOGO设计】设计一个新LoGo，类似兰博基尼元素,https://task.epwk.com/1082258/,1102人,20人,¥500,设计一个新LoGo，类似兰博基尼元素,青之萃zd2KF,￥ 500,￥ 500,2024.06.03,我们是一家牛肉全产业链项目主要是以牛为本、以牛兴业、以牛富民的理念。主要是想设计一个简单的LOGO＋英文。看起来大气简约容易认得出。内容介绍：中投牧业从种牛、牧草、饲料厂、供应链金融、肉牛肥育、有机肥生产、活牛羊批发交易、屠宰分割、冷链配送九个环节实现种养加销配一体化、一二三产高度融合发展，中投牧业集团作为新型农业经营主体，构建现代农业产业体系、生产体系和经营体系，健全农业社会化服务体系，以产业运营、产业振兴为抓手；以种养加销配业务过程中的订单种植、订单养殖、合作合股养殖、产业就业等为利益联接纽带，实现小农户和现代农业发展的有机衔接，使农业成为充满希望的朝阳行业，使城乡高度融合发展，使农业强、农村美、农民富这个乡村振兴的伟大目标成为现实，实现就近就业创收，更好地实现就地就近城镇化,任务编号：1082258,海雅品牌设计,速 豹 品 牌 设 计
【LOGO设计】枫和律师调解中心logo和VI设计,https://task.epwk.com/1080936/,3462人,54人,"¥3,000",枫和律师调解中心logo和VI设计,mmmmmico,￥ 3000,￥ 3000,2024.05.21,"”诸暨市枫和律师调解中心“LOGO设计及简单应用 经营介绍：诸暨市枫和律师调解中心由六家律师事务所发起成立，是具有法人资格的非营利性专业社会组织。调解中心调解员由自愿从事调解服务并具有良好品行和一定执业经历的律师组成。调解中心受理法院、仲裁委委托或委派的案件或双方当事人自愿申请的，有关在民事、刑事、经济领域的争议。调解中心秉持“发挥枫桥经验，高效调和纠纷”的宗旨，致力于民事、刑事、经济领域的调解工作，致力于发挥律师行业的优势积极参与社会纠纷的多元化解决。名称含义:“枫”取自“枫桥经验”，以和为美，尽赏“枫”景，是为枫和。VI应用内容：设计LOGO、信封、信纸、纸杯、档案袋。设计要求： 1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出调解和“枫桥经验”品牌元素;3、附上创意说明。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：1080936,牧行者工作室,海旭设计
【LOGO设计】揭阳市第八届运动会暨第五届学生运动会会徽logo设计,https://task.epwk.com/1079270/,2313人,36人,"¥2,999",揭阳市第八届运动会暨第五届学生运动会会徽logo设计,同路股份,￥ 2999,￥ 2999,2024.05.06,"为促进竞技体育后备人才培养和群众体育、学校体育工作发展，进一步推动全民健身活动深入广泛开展，我市拟于2024年6月至8月举办揭阳市第八届运动会暨第五届学生运动会，现面向全国广泛征集揭阳市第八届运动会暨第五届学生运动会的会徽。投稿作品创作原则：（1）投稿作品的形式、体裁不限，但必须是原创，此前未以任何形式发表。（2）投稿作品要充分体现“更快、更高、更强、更团结”的精神和全民参与特色。（3）投稿作品能充分体现“团结、奋进、文明、育人”的宗旨，彰显体育活力和揭阳特色。（4）投稿作品要体现“文化揭阳”、“文明揭阳”、“书香揭阳”内涵，充分体现时代特征，实现思想性、艺术性、欣赏性、时代性、传播性的相互统一。（5）一、二等奖要提供源文件会徽要求：（1）会徽采用平面设计(不超过4色),创意独特，图案简明，寓意贴切，有强烈的时代感和视觉冲击力。（2）设计应充分体现揭阳市第八届运动会暨第五届学生运动会的特点和主题，包含“揭阳”要素，具有鲜明的象征意义和体育韵味。（3）会徽投稿需A4电子版(包含logo与创意解析)。电子版：jpg格式的彩色设计图（A4纸规格、竖向版面、分辨率不低于300dpi）和ai格式文件；注意事项：1.投稿人须保证对作品享有独创性和完整版权，一经采纳，主办方拥有作品永久使用权。2.若作品涉嫌侵犯《中华人民共和国著作权法》或国家相关法律、法规，主办方有权取消其参选资格，所涉法律责任由投稿人自行承担，如已发放奖金及证书将全部追回。3.投稿人须承诺一稿一投，如发现投稿作品出现一稿多投的情况，主办方有权取消投稿人的入选资格，由此造成的法律后果由投稿人自行承担，若给主办方、协办方造成负面影响和损失的，主办方、协办方保留追责权利。4.所有投稿作品恕不退稿，请投稿人自留底稿。作品入围的投稿人应将其定稿原件全部交付至主办方，否则主办方有权取消其入围资格。5.投稿人应自行承担参加本次征集活动所发生的全部费用，主办方不对投稿产生的费用承担任何责任。6.本次活动所有有关的一切争议均应适用中华人民共和国相关法律，主办方对本次活动具有最终解释权。",任务编号：1079270,雨夜设计工作室,素凡创新设计
【LOGO设计】建筑公司LOGO升级,https://task.epwk.com/1078983/,1076人,21人,¥500,建筑公司LOGO升级,hongruida,￥ 500,￥ 500,2024.04.30,已经有LOGO了（详附件），需要在原来的基础上进行升级。公司在国外，需要加上英文。包括名片、工作服等的效果。公司全称：中国荣兴建筑工程公司 C R X BUILDING CONTRACTING L.L.C م.مسي آر إكس لمقاولات البناء ذ,任务编号：1078983,隐形人设计工作室,画语塘品牌设计
【LOGO设计】重新设计或进一步美化LOGO,https://task.epwk.com/1078768/,1973人,40人,"¥1,200",重新设计或进一步美化LOGO,世外家园,￥ 1200,￥ 1200,2024.04.29,设计要求：本公司专门生产天然芳香的健康和美容产品，主要针对佛教、道教和儒家等传统文化爱好者销售和服务，顾客90%以上为女性。此品牌名称：九紫御香。1，有一双佛手捧着宝壶/钵/罐（里面有非常重要的芳香或护肤宝贝）。2，简约，禅意，与佛、道、医有关。3，整体圆润，形不外散，气不外泄，有圆满之形与境界（很重要）。请参考附稿，希望在附稿基础上进一步更精致，更贴合设计要求。如能重新设计，也可以。,任务编号：1078768,素凡创新设计,诸侯视觉
【LOGO设计】原木自然     LOGO,https://task.epwk.com/1078345/,1436人,27人,¥800,原木自然     LOGO,HG厚,￥ 800,￥ 800,2024.04.25,可文字艺术连接加关联图标简洁清晰原创，不可照搬注册商标用生活用纸大类,任务编号：1078345,隐形人设计工作室,速 豹 品 牌 设 计
【LOGO设计】箱包LOGO设计,https://task.epwk.com/1077304/,1277人,31人,¥700,箱包LOGO设计,唯创eMDTJ,￥ 700,￥ 700,2024.04.16,1、主要是设计一个图形，匹配两个已注册的两个中文商标来使用，中文商标为：1、艾米丽保罗、2、阿诗丽保罗。2、应用于箱包行业。避开常规思维设计，以避开与他人已注册的商标近似。3、要求原创设计，能注册商标，万一注册商标没通过，后期可免费帮修改。如有抄袭，追究责任。,任务编号：1077304,素凡创新设计,雨夜设计工作室
【包装设计】设计一款领先市场的高端山楂果汁包装,https://task.epwk.com/1076512/,9027人,33人,"¥2,800",设计一款领先市场的高端山楂果汁包装,jmgzjb,￥ 2800,￥ 2800,2024.04.08,任务需求设计“金果篮山楂”果汁饮料瓶体、箱体外观包装1、设计内容： 根据现有瓶型进行瓶体外包装、纸箱设计，瓶型见附件2、具体要求：① 产品名称为“金果篮山楂”，也可重新创意产品名称② 包装以红色为主，画面高档美观，陈列效果突出③ 销售渠道：流通渠道、喜宴渠道、餐饮渠道、商超渠道等④ 在实现以上要求的基础上进行创新设计，要求必须为原创，不存在侵权风险3、产品信息：①产品规格：小瓶规格：350ml×15   大瓶规格：1.25L×6瓶型图纸及包装尺寸效果参考图，详见附件 ② 产品营销背景：金果篮山楂汁饮料对标山楂树下，依托成熟的市场基础，优质的营销团队，致力于突破山楂汁品类现有市场上限，打造山楂果汁天花板，现寻找策划设计战略合作伙伴，期待与优秀的您一起合作，携手打造百亿单品，再次缔造果汁行业奇迹！     如了解更多产品素材请留言或电话联系。,任务编号：1076512,广杨工作室,晏楚设计
【VI设计】商标logo设计,https://task.epwk.com/1074278/,1612人,32人,"¥1,200",商标logo设计,愈之Bruce,￥ 1200,￥ 1200,2024.03.16,"我公司的品牌古诺迪/GOUNOD ，需要一个商标logo！
我们主要经营运动健身，运动户外大类的产品，类似迪卡农的产品！",任务编号：1074278,KIN RABBIT,牧行者工作室
【LOGO设计】“一刀旺”商标--图形设计（食品加工厂）,https://task.epwk.com/1073953/,3792人,65人,"¥1,000",“一刀旺”商标--图形设计（食品加工厂）,o58e4b1cd0b37c,￥ 1000,￥ 1000,2024.03.13,"1、“一刀旺”已注册文字商标，现需设计该商标图形，”一刀旺“三个字不体现在图形中。 （主营各类生鲜肉品及肉类制品，如五香肉卷、肉罐头、肉干、即食肉制品等）。2、设计要求该LOGO涉及商标注册，务必原创，不得在其它公司已设计好的logo上增减笔画、变换颜色等。建议LOGO体现行业属性。如有好的创意可不拘泥于此。1）图形简约直观、大气、易识别、有内涵。2）在黑色和白色底色下均能良好显示；3）在小尺寸下能良好显示；4）在众多情况下能良好显示（如产品包装，广告、名片等）5）符合企业的经营理念、文化特色、价值取向，反映行业属性6）不要抄袭，可注册。欣赏脑洞。希望传达的是一种沉稳，安静，值得信任的感觉。以最终呈现的效果为准。对于颜色，希望不要过分花哨，过分艳丽。一二等奖都需要源文件。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的设计作品，我方支付悬赏金，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用；设计者不得再向其他任何地方使用该设计作品 。",任务编号：1073953,恒犇设计,金生设计室
【LOGO设计】包装桶商标设计,https://task.epwk.com/1073437/,2187人,40人,¥999,包装桶商标设计,o5cd39682d8dbf,￥ 999,￥ 999,2024.03.09,公司中文名称为 ：江西金开创包装有限公司，注册商标：金开创英文名称为： JIN KAI CHUANG公司的主要经营范围IBC吨桶液体包装任务：设计金开创LOGO图形,任务编号：1073437,金生设计室,第9号设计工作室
,,,,,,,,,,,,,
【LOGO设计】花指柔LOGOU设计,https://task.epwk.com/1072798/,875人,24人,¥500,花指柔LOGOU设计,HG厚,￥ 500,￥ 500,2024.03.04,商品品牌logo，下字上图logo贴合文字建议  女手v型托莲花或 按花指柔三字畅想寓意图案，尽量图案而不是英文字母组合商标颜色3色以内注册的书法体作为文字下也可不考虑书法体，常规下字上图，中标后再注册务必原创发布前搜索下避免雷同允许1人多套方案，争取中标机会,任务编号：1072798,凡人设计工作室,第9号设计工作室
【包装设计】花指柔软抽、卷纸包装设计,https://task.epwk.com/1072793/,4118人,27人,"¥2,200",花指柔软抽、卷纸包装设计,HG厚,￥ 2200,￥ 2200,2024.03.04,花指柔商标正在注册中，商标局已受理。花指柔，旨在做高端生活用纸、日化用品为主的家庭及旅行快消日常用品花指柔----弹指花开的精致生活，  寓意现代生活的快节奏，象弹指一样快，又追寻如鲜花盛开般的美好生活场景包装设计围绕花指柔字面寓意图像，以轻时尚、柔美的元素，简约传递，迎合当下00后的审美观设计要求露白设计，主元素凸显，消费者易记忆与喜爱用附件中花指柔logo附件中木样儿是公司销售较好的包装（不作为设计参考）设计1.360张软抽单包尺寸长135mm宽105mm高75mm   整提12包装宽272mm高453mm厚76mm设计2.1800克14卷卷纸  主元素同1或新方案 尺寸长600mm宽175mm厚110mm没设计过软抽与卷纸的可在百度找效果图类型，拒绝抄袭其它图片，需要原创设计,任务编号：1072793,o5cd2deb247139,pandsya
【LOGO设计】品牌logo设计,https://task.epwk.com/1072234/,1670人,39人,¥800,品牌logo设计,chan21cn,￥ 800,￥ 800,2024.02.26,"眼罩品牌logo设计要求 体现产品特色  有较高的的审美意识   logo表现方式不限   1文字  2图形   3 图形文字 结合均可   名称 为   “”雅诗德利“”知识产权说明：1. 所设计的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。2. 中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：1072234,隐形人设计工作室,天栎文化传媒
