标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10
【VI设计】奶茶店价目表灯片设计,https://task.epwk.com/229631/,13367人,2人,¥140,茂子,￥ 140,￥140,2013.08.24,"1，要求投稿者必须上传高清可修改大图。2，按件付钱，总,14张3，价目表在我上传的EXCEL表格里4，每张灯片最好恰到好处的体现店面的LOGO5，所有中标稿件归发布任务者所有（未中标的可以自理）6，店面一共3个，不要搞混淆了，炸鸡店：国际鸡车                                                       奶茶店：POPO                                                       手抓饼：台湾手抓饼7，店面LOGO我会上传，方便大家使用（台湾手抓饼没有LOGO，可自选）8，灯箱尺寸480*390 （有很细边框），实际可显示画面尺寸：470*380mm    9，请大家用心，合格稿件会及时设置中标的。",任务编号：229631,"工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计","工作室 |            
            三个棱视觉设计"
【海报设计】房产中介公司的房源展示图片,https://task.epwk.com/223444/,15464人,3人,¥50,laopan,￥ 50,￥50.01,2013.07.04,"经营介绍：正昌房产是一家以二手房销售为主的房产中介。设计要求：1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出餐饮品牌元素;3、能体现特色，LOGO已有，但如限制了设计师的创意，可重新设计。     4、做成PSD格式文件，其中的文字和图片可以随便改动更新，以便于在沿街的不理门窗上粘贴展示知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：223444,NC工室,NC工室,NC工室,,,,,,,
【卡通形象设计】需要可爱的猫头正面照片,https://task.epwk.com/215544/,11751人,11人,¥400,philia8010,￥ 400,￥400,2013.05.10,做类似图片那样的猫咪正脸，需要300DPI的高清图。写清楚猫咪的名字和简历。简历需要40个字以上。猫咪头像正面照要求 正视前方，嘴巴闭合。单色背景无边框，猫像清晰，层次丰富，神态自然，无明显畸变，照片尺寸为52cm×45cm（6142像素*5316像素）。猫头卡通化，既不能失真，也要保证猫头的憨态可掬的样子，请和我附件电子稿的样子一样。,任务编号：215544,"工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香","工作室 |            
            楚留艺@香"
【服装设计】淘宝良无限春夏季创意t恤设计征集活动,https://task.epwk.com/207969/,58054人,94人,"¥300,000",良无限,￥ 300000,￥1500,2013.02.28,"因为喜欢台湾设计师的创意风格阿里巴巴旗下“良无限”与一品威客网台湾馆运营方关键数位行销进行合作，於一品威客台灣館推出春夏季的T-恤設計徵求，總賞金超過30萬人民幣！現在就加入一品威客台灣館，把你的創意在兩岸三地發光發熱！ 【項目描述】設計“良T”，共需要500款不同的t恤。 【時間】截止交稿时间：2013年3月10【需求】T恤圖案，風格以清新和態度為主。設計師可根据主題來創作，稿件需要五色以內，需提供一份jpg格式稿件，同时提供一份crd或是AI格式稿件。只需要图案，不需要T恤模型一个用户可以提交多个稿件詳細情形可來信或來電了解。 【費用】底价300RMB设计费+销售提成 （可來信了解）【良無限】http://oo.taobao.com/?utm=epweike【台灣設計師聯絡專線】聯絡信箱：carol@minmaxdc.com聯絡電話：02-7706-8100【大陆设计师联络专线】QQ：4006-999-467电话：4006-999-467细分主题参考如下：383736333039363938353133343330333361336263652e6a7067"" width=""701"" height=""463"" />註：細分主題可以自行設定，此表內只是列出幾項給設計參考。主要從大主題著手即可。附件提供设计参考图片！ 一品威客网客服中心就良T图案征集答设计师问：1. 我的设计作品，做了以后，被雇主方拿去用，他们不给赏金，怎么办？答：请您放心，这次是一品威客台湾馆和阿里巴巴旗下品牌“良无限”正式签订的官方合作活动，是本着长期合作，挖掘优秀设计师的目的出发，我们在意的是好的创意，且希望合作是持续的，所以绝对会信守承诺支付给您赏金及后续的销售提成，对我们来说，设计师才是最宝贵的资源。2. 我怎么知道，我设计的作品中标后，在市场上销售多少件？答：每个作品都会有独立的销售页面，您可以直接通过页面查看到销售记录。3. 每销售一件我设计的良T,我的提成是多少呀？答：每销售一件您设计的良T ，可以得到0.2元的提成。4. 你们主办方，与良无限有签订合同吗？到时，大家设计了很多，他们会一件都不选吗？不选大家，是不是都拿不到赏金，更不用说提成了？答：我们有签订合作协议，所以请您放心，只要设计有创意，风格清新我们就一定选稿，我们同样希望与您长期合作。5. 这种没有托管赏金的任务，我们参加任务有保障吗？答：这次活动是官方组织的，赏金不用担心。只是因为涉及到海峡两岸，支付流程相对复杂，所以我们才决定把赏金支付到选稿完成后，统一发放。6. 和大公司大品牌搞合作，我们很弱势，会不会到时，任务不了了之呀？答：良无限是阿里巴巴旗下的电商品牌，所征集的创意方案一旦被采用，产品均会在淘宝或阿里巴巴销售，大家不用担心作品创意被拿去用，而拿不到赏金和抽成。设计师朋友们可将此作为提升自身品牌影响力的一个活动来参与。一品威客网也会对中标的作品进行长期的展示、推广，并注明作者及创意、方案，相信对设计师朋友是一举多得的事情。7.  如果我设计一个系列的，比如，一个系列有五个单品或者不同的颜色，是按照一个作品提交，还是一组作品提交？答：稿件需要五色以內，需提供一份jpg格式稿件，同时提供一份crd或是AI格式稿件。只需要图案，不需要T恤模型。一个用户可以提交多个稿件。原则上，一个创意，一个作品。8. 我们的合同是跟一品威客网签订，还是和关键数位签订？答：合同跟一品威客网台湾馆运营合作方——台北关键数位行销策划股份有限公司签订。因为该活动是良无限和关键数位（一品威客网台湾馆运营商）签订的征集协议。9. 如果我发现我参加这个任务的作品创意被拿去用，又拿不到赏金，没选我中标，我有什么渠道可以维权？答：向一品威客网投诉，网站会給您满意的回馈，为您维权到底。10. 我的经验不是很丰富，没有服装设计的经验，只有一些平面设计的经验，可以参加吗？答：只要有热情，有创意，有想法，都可以参加，这是一个平面设计的任务，不是一个服装设计的任务。只是征集T恤图案哦。",任务编号：207969,"公司 |            
            jfsj","工作室 |            
            四大发生","个人 |            
            精灵工作室的店铺","个人 |            
            火狐在线的店铺",彩虹天空,,,,,
【LOGO设计】帮忙找高档钢笔盒图片,https://task.epwk.com/207880/,9962人,9人,¥50,muqyu,￥ 50,￥4,2013.02.27,一、任务要求：   目前公司需要高档包装钢笔盒图片越多越好 二、提交要求：1、高档包装钢笔盒图片最好是到 一些 要到官网上找，或者有些自己是做包装钢笔盒，可拍照上传只要看起来高档就行。2、需要钢笔盒图片需要合着、以及打开的状态。只需要符合上面的要求即可获得赏金麻烦各位威客帮忙了哦，在此表示感谢！,任务编号：207880,"个人 |            
            个人小商铺",多彩广告,咕噜小风,咕噜小风,,,,,,
【产品外观设计】酷贝街上线首批创意产品方案征集,https://task.epwk.com/201101/,9746人,7人,"¥1,000",fengmei0107,￥ 1000,￥100,2012.12.10,酷贝街 上线首批创意产品方案征集经营介绍：主营个性创意类实物产品，设计——生产——销售一条龙服务酷贝街:www.kubeijie.com 全球酷宝贝聚集的街区。个性、创意实物商品交易平台。设计师在此可以秀创意，寻找厂商加工、生产，变成实物商品；厂商借助定制安排生产；消费者在此可以买到心仪的个性商品。酷贝街现面向全体设计师，征集首批上线创意产品，只要你有创意的、个性的产品设计，都可以来展示，选中后，我们将通过酷贝街为你全面展示推广，让你的设计成为真正的商品，实现你的创意梦想。注明：征集之创意作品所有权仍归威客所有，请设计师们妥善保护好自己的专利与权益，因展示所造成的创意外泄，本网站不负任何责任。,任务编号：201101,"个人 |            
            灵犀设计工作室",,,,,,,,,
【详情页设计】天空省钱网轻松十秒淘宝评价一元一个,https://task.epwk.com/190067/,10286人,14人,¥50,succeed,￥ 50,￥18,2012.08.30,"★★天空省钱网★★ --- 轻松十秒淘宝评价，一元一个（5期）网址：www102cn.com只要是近期在淘宝购物拥有还未评价的朋友，复制粘贴下面一段评语内容在评语中即可~！简单~！轻松~！快捷~！十秒钟挣1元。评语内容：我是通过【天空省钱网】的商品链接过来买的，在店铺折扣的基础上天空省钱网又额外返利给我一笔钱，亲们，你们也可以试试通过【天空省钱网】来买，支持淘宝90%的商品返现(102cn.com)我用了很久了，省了不少钱！注意：每个淘宝ID最多接6个任务，可以多评，优先审核，任务长期做可以注册会员并加QQ群:1647499201、虚拟物品评价不算。2、补邮费，赠品、订金等评价不算。3、在别人的广告语评价下追加不算。4、低于价格30元,的算0.5元一个。5、宝贝下架了不算。7、同一个ID号在同一家店铺购买的最多两个有效评价。8、追加评价不算。9、交稿要留下链接和截图，好方便我们快速审核。",任务编号：190067,"个人 |            
            晓风残沙","个人 |            
            晓风残沙",yanli225,"个人 |            
            上玄月的店铺","个人 |            
            上玄月的店铺",cathyw,"个人 |            
            k13994130262的店铺","个人 |            
            k13994130262的店铺","个人 |            
            summer123的店铺",KING12011
【详情页设计】淘宝好评拿稿费最高1元一稿，长期合作,https://task.epwk.com/180101/,9339人,4人,¥50,succeed,￥ 50,￥1,2012.06.19,"虚拟的不参加活动

1.在淘宝购物尚未评价的，在评价栏里写上我们的评价内容即可。一个评价0.5元(2个评价为一稿)
55元以上的一元一稿，多评多得，长期合作的可加QQ：1229456555

2.被评价产品必须为10元以上，并在30天内成交量在20笔以上的算合格,同一产品一个月内只算一次任务。

3.交稿需截图（1稿为2个评价，一稿1元，可提交多个稿件，需为不同产品）

4.淘宝账号需为2心以上买家，而且有头像，三个月之内有2笔交易以上的有效！

在线速审，先到先拿钱哦~~

好评里要加的宣传语如下： 



这次我是通过【淘天空返利网】102cn.com到淘宝购买宝贝，在店铺折扣的基础上淘天空返利网还额外返给我一笔钱，真的很不错！这个网站支持支持90%以上的商品返利，注册送2元现金，10元即可提现，24小时内到账，我用过好几次了，真的很好用，官方网址：102cn.com/?rec=1大家也可以试试(o)哦！！ 

评语A （金冠买家评语） 

~淘哇淘，这么多你年啦！大姐我是白天淘、夜里淘，春夏秋冬都在淘！混了个金冠超级买家，你说购物排行榜上有我大名我还自豪下。关键是木有啊。也是最近才发现淘宝购物还能获得额外返利，通过这个网【102cn.com】每次购物后还能返钱，我已经试了好几次了！既惊喜，是又来气！我要早知道就好了。咋就没人告诉我呢。想想我之前那么多次购物要是都通过这个【102cn.com】淘天空返利网的话该能省多少钱啊。真是亏太大了！可都是真金白银呐！今天在这儿分享给各位兄弟姐们，不要太感激我哦，呵呵。没用过返利网的他们网站有图文并茂的教程，一看就明白了超简单。大家试试就知道了！这次宝贝真不错，卖家非常GOOD发货也很及时谢谢！ 下次再光临 

评语B （钻级以下买家评语） 

这次宝贝还不错哦，5分！分享给各位亲们一个淘宝购物省钱的好办法吧只要通过这个网【102cn.com】淘天空返利网来淘宝买，真能省到钱的，很实惠！你注册成会员试试就知道了你要没用过返利网，他们网站有图文并茂的教程，一看就明白了，超简单，只要一确认收货就返利了。想省钱的亲们可以到这个【102cn.com】淘天空返利网去看下，据说淘宝90%多的产品都有返利呢，这就是我的省钱小技巧哦，在此分享了在这里我得感谢一位两个金皇冠买家，是她告诉我的.好羡慕她的皇冠啊。嘿嘿",任务编号：180101,"个人 |            
            琴子才的店铺",,,,,,,,,
【其他设计】手机套个性创意激光雕刻设计及宣传展示平面设计,https://task.epwk.com/172618/,11238人,5人,¥300,FLYHORSE,￥ 300,￥100,2012.05.29,"将手机金属套的背面进行创意雕刻（激光）设计，体现现代人的独特个性和审美要求，分为校园系列、中国元素系列、山水系列、诗词系列、名言名句系列、网络流行语系列、私人格言和私人印章系列、明显签名系列、外国文化系列。

其它更多的系列和创意，完全由您说了算。

以IPHONE等主流机型为主，直接在手机背面及正面、侧面进行创意设计雕刻也可。

要求必须提供矢量图，交稿时尽量转换成PLT格式文件。

请QQ联系373384692",任务编号：172618,"个人 |            
            cyF_的店铺","个人 |            
            纪梦如的店铺",,,,,,,,
【详情页设计】新店开业淘宝上找材料（图片和文字）,https://task.epwk.com/166259/,11139人,2人,¥260,yuyitao915,￥ 260,,2012.03.15,"现在正在筹划在淘宝上开一家美国代购母婴产品的网站，需求产品的图片和文字，要到淘宝找图片和文字。

经营介绍： 以代购婴儿奶粉，辅食，BABY 洗护餐具，孕产妇妈咪护理为主的网店
要求淘宝上能找到的：

奶粉品牌美国雅培，美国美赞臣，美国雀巢(每个牌子0到3段）
辅食品牌：美国嘉宝（米粉，果泥，零食）4个月以上
奶粉和辅食文字资料要求【产品名称】【产品规格】【产品产地】【适用年龄】【产品特点】【营养含量】【使用方法】储藏方法】【注意事项】日期察看方式（有图片也可）

妈咪宝宝护理品牌：Palmers雅儿，Pampers/帮宝适：尿片 文字要求 （规格:产地:适用年龄:适用范围:产品说明 产品特点 推荐人群 特别提示
）
宝宝洗护品牌：CaliforniaBaby/加州宝宝，Episencial，Burts Bees小蜜蜂（面霜,身体乳液沐浴,洗发,护发按摩油,精油我爱泡泡浴湿疹尿布疹,疤痕瘀伤,外伤,烫伤防蚊,防晒,痱子）的产品 
文字要求：规格:产地:适用年龄:适用范围:产品说明 产品特点 推荐人群 特别提示
日期察看方式（有图片也可）

洗护餐具和医疗品牌：布朗博士，Munchkin，Playtex，AVENT（奶瓶,奶嘴及附件勺,叉,碗训练杯,水杯吸管杯,保温杯咬胶,安抚奶嘴口水巾 领巾 吐奶巾餐包,餐椅食品料理工具)的产品
【产品名称】【产品规格】【产品产地】【产品材质】【产品特点】【产品说明】【使用方法】储藏方法】【注意事项】日期察看方式（有图片也可）


一个品牌算一个稿件（一个品牌下面多个产品，淘宝上有的）
图片要求：一个产品至少要8-15张图片,只要跟产品有关联的都可，比如说产品的宣传图片，营养成分表等都可）
每个产品都要有图片和资料（越多越好），文字资料要保证跟产品一致（最好是无水印图片，谢谢）

知识产权说明：
1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;
2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：166259,,,,,,,,,,
