标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,��段14,字段15,字段16
【小程序推广】商城推广注册任务,https://task.epwk.com/1076016/,1607人,110人,¥501,大海啊你全是水,￥ 501,￥501,2024.04.02,一、商城推广，需要注册量，操作步骤如下：      1：识别二维码      2：输入手机号码，设置密码      3：邀请码请不要更改，注册完之后我后台会显示，没有显示说明注册没成功视为无效      4：最后点注册，就算完成了。 二、一人仅可注册一次，无需重复注册。 三、下面两张二维码可任选一张 交稿要求：提供注册成功的截图及手机号后四位。,任务编号：1076016,"工作室 |            
            小小龙儿","个人 |            
            叶忆长安","工作室 |            
            小小龙儿","个人 |            
            叶忆长安","工作室 |            
            小小龙儿",乔伊伊,"工作室 |            
            小小龙儿",,"工作室 |            
            小小龙儿",乔伊伊
【问卷调查】面向产品设计师的问卷调查-合格填写1份25元-共需20份,https://task.epwk.com/1074729/,1419人,19人,¥500,o592780fa9144b,￥ 500,￥300,2024.03.20,烦请一品威客网站上有设计经验的设计师填写（要求有开通商铺，会通过商铺核实是否有参加过设计类任务或商铺中是否有上传设计案例作品为判断依据，如还未开通商铺的设计师请勿参加）。问卷共5题，第一题一定要填写在一品威客上的昵称/账号名/店铺名，以保证赏金发放正确。最后两题，请认真详细填写。如第四题，如果填写成“上网搜索”，那么就不清晰，需要补充说明具体的网站或根据问题的关键词在百度上搜索，则为合格。如果问卷填写比较模糊，我们会在平台上跟您沟通，然后需要您补充一下，然后我们再发放赏金。请大家认真放心填写，我们不会无缘无故的不发放赏金。谢谢支持！问卷链接：https://www.wjx.cn/vm/wF5xF21.aspx问卷二维码见附件。,任务编号：1074729,"工作室 |            
            老燕勤琢泥",乔伊伊,"工作室 |            
            小小龙儿",四川曾先生,方圆台1zpUb,"个人 |            
            微创客云商",维联创8kic1,,"个人 |            
            叶忆长安",俫骄霸3Nwkn
【微信推广】朋友圈转发开业宣传活动（仅限厦门）,https://task.epwk.com/1068435/,826人,1人,¥500,安威客IcDpq,￥ 500,￥20,2023.12.29,1、接单人的微信必须是在厦门，因为本次活动仅限厦门地区2、转发这个宣传单到微信朋友圈，微信必须是个人真实有效的，好友在300人以上。3、转发宣传单必须要留存24小时，中途删除无效，并集赞24个。4、满足条件添加宣传单上的微信号，截图发给对方，并领取礼物（自愿领取）。5、特别注意一点，必须说明是看到别人朋友圈在发才转发的，一定不能说是平台的任务订单。审核标准：1.发布当时～发布24小时 两个时间段截屏朋友圈所发的宣传单整体手机界面2.截图内容必须发到平台验证才行3、截屏添加宣传单上的微信后聊天记录4、必须截图证明微信使用地址在厦门，5、好友拉到底，截图证明好友人数达到300个,任务编号：1068435,"个人 |            
            蜜蜂工作室",,,,,,,,,
【公众号推广】公众号微信群推广,https://task.epwk.com/1066608/,910人,21人,¥510,mf189****3997,￥ 510,￥159,2023.12.11,具体要求请见附件。,任务编号：1066608,乔伊伊,乔伊伊,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","个人 |            
            叶忆长安",qwepoi2008,qwepoi2008,,乔伊伊,乔伊伊
【公众号推广】公众号推广，一稿3元,https://task.epwk.com/1066591/,258人,0人,¥510,mf189****3997,￥ 510,,2023.12.11,具体要求见附件,任务编号：1066591,,,,,,,,,,
【APP推广】专注力训练试玩,https://task.epwk.com/1065613/,2069人,7人,¥540,唯客心Q2T2j,￥ 540,￥9,2023.11.30,"1，通过官网https://www.moxiepai.com/download.html 下载默写派APP；
2，安装后，进入首页，点击左下角“点击参加活动”进入专注力训练页面，参与人根据音频进行默写或跟读，时间为30分钟左右，建议每天早晨至少一次，专注力训练更优；
3，等待右上角倒计时结束，视为完成一次打卡任务；
4，每天最多打卡两次，累计6次为通关；
5，通关后，上方会提示“任务完成”，请截图保存并上传系统，后台核验通过后会将现金奖励发放到您的账户上，现金奖励3元。
6，首期活动名额180个，额满为止；
7，其他问题可以留言咨询。",任务编号：1065613,肉包WK,w460042189,小企鹅FNguk,,,,,,,
【问卷调查】众包环境下时间压力及工作特征对工作努力感的影响探究,https://task.epwk.com/1065231/,1698人,124人,¥501,金选oRip3,￥ 501,￥267,2023.11.27,问卷填写要求：1、 所有问题需认真回答，作答时长不少于10分钟，请认真阅读并作答。2、每个账户仅可填写一次。3、提交截图：开始作答截图和结束成功作答截图（包含开始时间、结束时间）、最后一题作答截图。 4、问卷请查看二维码或问卷链接。,任务编号：1065231,"工作室 |            
            小小龙儿","个人 |            
            叶忆长安",乔伊伊,楚柚DAYTOY,qwepoi2008,可可谷谷,放假咯,,V领9JTEt,爱威uHSkp
【APP推广】快手新用户扫码,https://task.epwk.com/1065064/,800人,8人,¥500,壹选c2jY6,￥ 500,,2023.11.26,下载快手极速版，扫我的码或者输入我的邀请码：8793611839，简单可做，新用户每天需刷4分钟，老用户需每天刷35分钟，连续7天，需要提交用户界面截图，最好名字改一下，方便打款，,任务编号：1065064,,,,,,,,,,
【微信推广】小程序发布任务，1个微信发布3元，可以多个微信提交,https://task.epwk.com/1063447/,2229人,92人,¥600,monster22,￥ 600,￥600,2023.11.09,"微信小程序搜索：云伴守护点击右下角问微信客服领取发送的图片和文案1个微信3元，可以多个微信提交，客服给您文案和图片发布上去即可，类似以下附件，完成即可在这几个时间段开始早餐（11:00之前）午餐（12:00-14:00）晚餐（17:00之后）加餐（10:00-12:00,15:00-18:00）",任务编号：1063447,产品阿北,产品阿北,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","个人 |            
            叶忆长安","个人 |            
            叶忆长安",四川曾先生,,乔伊伊,乔伊伊
【问卷调查】问卷调查 每份15元（不限地区）科研项目：网络平台工作者体验,https://task.epwk.com/1061645/,10255人,263人,¥12000,Ronan_,￥ 12000,￥3075,2023.10.24,请大家帮忙填写一份关于女性网络平台工作者的工作体验的问卷调查（性别不限）。非常感谢大家的参与！人员要求：年满18岁或18岁以上；在类似一品威客的众包网络平台工作过至少3个月；性别不限，但我们鼓励更多女性积极参与调研。填写要求：根据实际情况认真填写，作答时间大约需要5-10分钟。我们会根据问卷内容进行审核以及发放报酬。交稿要求：提供问卷填完截图并留下自己的用户名，以利于比对进行质量验收和通过。答案中如果出现不真实、前后矛盾及过于简单的情况都将视为无效问卷。                    同一账号/IP地址的用户 只可填写一次。                                   本问卷不限地区，请大家如实填写。问卷地址：https://wj.qq.com/s2/13371257/32c1/拜托大家认真填写，我们会人工详细审核，再次表示感谢。其他报酬：如您同意报名后续线上采访（仅限女性），可在最后一个问题中留下您的联系方式，我们采访时将按照30元/（约）30分钟的标准支付您报酬。,任务编号：1061645,花间录,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","个人 |            
            叶忆长安",qwepoi2008,qwepoi2008,可可谷谷,,四川曾先生,威威虎LPwV7
【问卷调查】电商直播中主播角色及其对消费者心理和行为的影响,https://task.epwk.com/1061643/,1372人,143人,¥750,alexlounbut,￥ 750,￥725,2023.10.24,电商直播是当前主流的网购模式之一。常用的电商直播平台不仅包括传统的网购平台（如，淘宝、京东），还包括诸多社交媒体平台（如，短视频点赞、快手）。为了更好地了解电商直播购物情境下消费者的心理及行为，我们课题组开展本次问卷调查。我们郑重承诺：本次问卷调查收集的数据仅被用于学术研究，研究成果将会公开发表。请有电商直播购物经验的您帮忙完成此次问卷调查。我们会为规范回答问卷的应答者提供5元的报酬，以示感谢！为了保证数据的客观性、真实性和严谨性，本次问卷要求一个威客ID只能回答一次。同时，请应答者将最开始回答的3个问题以及最后的提交画面截图为证。我们会认真审核截图画面并决定是否提供报酬。非常感谢您的帮助！复制下面链接可以进入到问卷回答页面。https://www.wjx.cn/vm/wr4jjZP.aspx#,任务编号：1061643,"工作室 |            
            小小龙儿","个人 |            
            叶忆长安",乔伊伊,"个人 |            
            DM超燃社丶",o62d69b0942ae4,PUPU08,维联创IFR7X,,是杨不是羊,qwepoi2008
【微信推广】小程序发布任务，1个微信发布3元，可以多个微信提交,https://task.epwk.com/1060355/,2717人,113人,¥600,monster22,￥ 600,￥600,2023.10.12,"微信小程序搜索：云伴守护点击右下角问微信客服领取发送的图片和文案1个微信3元，可以多个微信提交，客服给您文案和图片发布上去即可，类似以下附件，完成即可在这几个时间段开始早餐（11:00之前）午餐（12:00-14:00）晚餐（17:00之后）加餐（10:00-12:00,15:00-18:00）",任务编号：1060355,凯郎ifgAJ,qwepoi2008,乔伊伊,k6228575843,乔伊伊,M���***1xOM,乔伊伊,,乔伊伊,"工作室 |            
            小小龙儿"
【产品推广】小红书内容发布任务，多劳多得1贴10元,https://task.epwk.com/1058875/,999人,10人,¥500,mf187****4998,￥ 500,,2023.09.26,多劳多得，一贴10元现结要求不要删除发布的内容具体发布内容看附件（以普渡大学为例），每个帖子的封面图自己修改一下背景图，文字不变一个小红书账号只能发帖1次交稿方式为小红书发布的链接。,任务编号：1058875,,,,,,,,,,
【APP推广】【今日头条极速版】填邀请码看两分钟文章简单撸9块,https://task.epwk.com/1058820/,1210人,7人,¥504,王尔德,￥ 504,￥24,2023.09.25,步骤：第1步：打开手机浏览器扫描下方今日头条极速版二维码下载安装【今日头条极速版】（也可以自行去应用商店下载然后填写邀请码：Q31412416，本任务与苹果手机用户无关）第2步：打开【今日头条极速版】，手机号登录后点任务往下滑，找到填写邀请码，填写我的邀请码：Q31412416；填写好了邀请码之后要截图；第3步：完成注册与邀请后，第一天阅读文章一分钟，并且提现成功【你可以直接拿到一块钱】，第二天阅读文章一分钟，第三天只需要签到即可，完成立即发放赏金第4步：个人主页加用户名方便后台数据审核。一个手机只能填写一次，用应用分身无效。注意：用户是新用户，老用户参与无效交稿格式：1.个人主页【我的】截图（方便审核）2.提现成功【提现记录】截图3.被邀请成功【填写邀请码】截图4.个人主页历史浏览记录【阅读的需要文章】截图两张，且是两天的，后台数据未更新表示一分钟时间不满足需要提交5张截图（注意：为防止刷号，本任务仅限新手威客，九品威客参与（刚注册就是九品，所以说新手威客可以参与），品级高于九品的1-8品请勿参与，名字是xx营销，xx工作室，xx传媒的请勿参与，每人仅限提交一次稿件）,任务编号：1058820,熙一,九月江水,FG2023,,,,,,,
【公众号推广】简单微信任务，一单7元，2分钟可完成,https://task.epwk.com/1058225/,1385人,13人,¥700,NAUV14,￥ 700,￥77,2023.09.20,请认真阅读以下内容再进行任务任务步骤：第一步：微信搜索：长寿巴马山茶油第二步：关注后点击底部菜单栏左侧“参与活动”（对活动有疑问也可点击菜单栏右边“活动详情”）第三步：点击“报名”按钮，按照提示输入信息，上传竖版美食照片（只要完成这一步，我们还会额外赠送一瓶正规厂家生产的茶油体验装，免费寄送给你，如果不想要，请在地址中备注）第四步：在新媒体运营页面点击右上角三个点“···”，分享给好友或朋友圈内，至少累计8票交稿要求：将至少8票的新媒体运营页面截图+填写信息预留的号码后四位上传到此任务页面（如【新媒体推广页面截图】+6694）其他：附件有详细参与步骤承诺：此任务无需实名认证和银行认证。营销推广活动为新品牌宣传活动，本任务和活动保证真实有效，可放心参与。,任务编号：1058225,"工作室 |            
            小小龙儿",柒柒剪辑师,安白,楚柚DAYTOY,xyppp,佳诚R3Xvj,风速阁a2wpR,,M���***T9Mt,"个人 |            
            微甜时刻"
【APP推广】看几分钟视频，快速到账，非常容易~,https://task.epwk.com/1056508/,2901人,16人,¥1000,o5be265dbd6e65,￥ 1000,￥30,2023.09.06,"步骤：第1步：打开手机浏览器扫描下方快手极速版二维码下载安装快手极速版（也可以自行去应用商店下载然后填写邀请码：962334450）第2步：打开【快手极速版】填写我的邀请码：962334450；被邀请成功后截图被谁邀请,要与我账号有关；第3步：完成注册与邀请后，连续2天看完至少6个视频，并截图,并关注我的快手号。第4步：昵称界面带快手号截图方便审核一个手机只能填写一次，用应用分身无效。交稿格式：注册日期+一共3张截图（快手昵称和ID界面截图+被谁邀请成功的截图+首页看完6个视频的截图）（注意：为防止刷号，本任务仅限新手威客，九品威客参与（刚注册就是九品，所以说新手威客可以参与），品级高于九品的1-8品请勿参与，名字是xx营销，xx工作室，xx传媒的请勿参与，每人仅限提交一次稿件）",任务编号：1056508,"个人 |            
            NK-f",遂美阁lMLvk,运筹威幄8b4A3,,,,,,,
【APP推广】快速到账，只需4分钟就完成，快手极速版注册2023081,https://task.epwk.com/1054899/,1025人,5人,¥635,o5ef9****447f0,￥ 635,￥5,2023.08.23,"需求详情：一，步骤：第1步：下载安装快手极速版，复制这串字符##Ya7ja0H2_AO##，打开【快手极速版】填写我的邀请码：687823503；被邀请成功后再截图,要与我账号有关（图1）；第2步：完成注册与邀请后，当天再看完3分钟视频,并关注我的号。1227346346，附上你的快手号方便审核！二，注意事项：1，推荐人一定是jac4才给合格。限以前未注册过的新用户有效！2，一个手机只能填写一次，用应用分身或虚拟注册无效。但是你可以用家人的手机参与邀请注册，只要后台显示有效都会审核。3，一共1张截图即可，以后台审核为准。",任务编号：1054899,GuiQi,,,,,,,,,
【微信推广】微信朋友圈推广-转发（图片+文字）一条5元，两分钟搞定,https://task.epwk.com/1054746/,549人,6人,¥500,威上帝QsaYa,￥ 500,￥60,2023.08.22,1、微信好友人数大于500人，不可屏蔽分组、不可设置观看权限，一个一品账号限参加一次（微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核）2、朋友圈保留24小时以上（交稿的图片需显示是24小时之前发布的，如未满时间就提交截图视为无效）。3、截图提交要求：朋友圈页面，人数页面，账号页面。任务提交截图样式：http://zgaw.dnspoc.top/pyq2/yb1.jpg朋友圈上传的图片：http://zgaw.dnspoc.top/pyq2/1.jpg发朋友圈填写的文字内容：http://zgaw.dnspoc.top/pyq2/1.txt,任务编号：1054746,qwepoi2008,"个人 |            
            蜜蜂工作室",qwepoi2008,威链W5hsW,可可谷谷,qwepoi2008,qwepoi2008,,可可谷谷,可可谷谷
【APP推广】享时代APP第二次推广,https://task.epwk.com/1051167/,539人,20人,¥500,天山雪杉,￥ 500,￥500,2023.07.26,一、享时代APP推广，操作步骤如下：1.识别二维码，二维码见附件。2.用手机号注册，注册过享时代的手机号码，就不要再做此任务。3.注册完成后，下载享时代APP登录。4.登录进去后，看一个40秒左右的签到广告，连续签到至少三天并截图。二、注意事项：1.推荐人那里不能动，注完我后台会显示，没显示就是注册没成功视为无效。2.一个手机号只能注册一次，一个一品账号只能交稿一次。3.交稿要求：a.提供注册成功的截图；b.登录界面截图，显示手机号码；c.连续签到至少三天的截图。,任务编号：1051167,qwepoi2008,威恒天下3Bcne,"工作室 |            
            小小龙儿","个人 |            
            你的活我来干","个人 |            
            生活和远方",靓荐kOYzj,晚遇网络,,四川曾先生,乔伊伊
【APP推广】享时代APP推广,https://task.epwk.com/1050575/,628人,37人,¥500,天山雪杉,￥ 500,￥500,2023.07.22,一、享时代APP推广，操作步骤如下：1.识别二维码，二维码见附件。2.用手机号注册。3.注册完成后，下载享时代APP登录。4.登录进去后，看一个50秒左右的签到广告。二、注意事项：1.推荐人那里不能动，注完我后台会显示，没显示就是注册没成功视为无效。2.一个手机号只能注册一次，一个一品账号只能交稿一次。3.交稿要求：提供注册成功的截图或登录截图及手机号后四位。,任务编号：1050575,G盖先生,"个人 |            
            晗胡视觉设计",k1258519035,"个人 |            
            你的活我来干","工作室 |            
            小小龙儿","个人 |            
            叶忆长安",RANGER1211,,全企手yaqtA,可可谷谷
,,,,,,,,,,,,,,,,,,,,
【公众号推广】简单的公众号关注任务,https://task.epwk.com/1050469/,3606人,155人,¥501,兜兜的解忧杂货铺,￥ 501,￥501,2023.07.21,任务比较简单只需三步就行了第一步：手机复制下面的网盘链接，到手机自带的浏览器打开。链接：https://pan.quark.cn/s/7a3911102343第二步：选择保存网盘内容，并且截图。（参考附件-截图1）第三步：把刚刚的截图，发送到公众号【我们的上岸之路】后台，并且把你的威客账号昵称也发一下。记得截个图。（参考附件截图2）这3步做好后，你把第二步的截图和第三步的截图发过来就行了。一品账户仅限交稿一次，多次交稿无效。,任务编号：1050469,"工作室 |            
            小小龙儿",同君行3unAW,乔伊伊,四川曾先生,k1072290543,泰迪爱吃鱼骨头,特斯威4STu5,,金潞BJ,k1258519035
【视频推广】自媒体平台上传视频，简单，几分钟轻松赚40元,https://task.epwk.com/1047399/,5966人,68人,¥2000,任务大户,￥ 2000,￥1300,2023.06.30,我们诚挚地邀请您参与我们的推广活动，为我们的品牌推广提供视频和图文发布服务。作为一家以榫卯为主题的品牌，我们致力于传承和发扬中国传统文化，推广国潮拼装积木和手工DIY的魅力。现在，我们需要您的帮助，将我们的品牌理念传播到各大社交媒体平台。 我们将为您提供所有必要的素材，包括视频和图文（含文案），您只需要使用自己的账号将其发布到以下平台： 抖 音快手小红书 发布费用如下：选5个视频同步发到以上三个平台为一单：20元选6套图文同步发到以上三个平台为一单：20元一人可做两单40元一个一品账号不可多次交稿 发布要求：1.使用以下品牌词+关键词写标题（自由组合添加自己的文字写标题）：品牌词：木言·以木为名关键词：黄鹤楼、榫卯、模型、国潮拼装积木、实木、古建筑、手工DIY 2.使用话题，选择以下话题，按平台限量加满#榫卯 #黄鹤楼模型 #国潮 #积木 #古建筑模型 #长安三万里 #榫卯工艺 #木工DIY 如您有意参与此次招标，请发布后【发布成功界面截图提供平台账号或者名称】领取奖赏，保持3天以上不删除即审核通过，素材下载链接在附件。 感谢您对我们品牌的支持与关注！我们期待与您合作，共同推动木言·以木为名的品牌发展和传播。,任务编号：1047399,威峰O4bJ6,威震天pk4VI,威峰O4bJ6,聂莹,琪纳3mCex,冰糖葫芦啊,领尊dyZht,,"个人 |            
            蜜蜂工作室","个人 |            
            蜜蜂工作室"
【APP推广】快速到账，只需几分钟就完成，快手极速版注册2023071,https://task.epwk.com/1047267/,3623人,35人,¥505,o5ef9****447f0,￥ 505,￥40,2023.06.30,"需求详情：一，步骤：第1步：下载安装快手极速版，复制这串字符##Ya7ja0H2_AO##，打开【快手极速版】填写我的邀请码：687823503；被邀请成功后再截图,要与我账号有关（图1）；第2步：完成注册与邀请后，当天再看完至少6个视频,并关注我的号。1227346346，附上你的快手号方便审核！二，注意事项：1，推荐人一定是jac4才给合格。限以前未注册过的新用户有效！2，一个手机只能填写一次，用应用分身或虚拟注册无效。但是你可以用家人的手机参与邀请注册，只要后台显示有效都会审核。3，一共1张截图即可，以后台审核为准。",任务编号：1047267,Fz风子,专客qQsKU,anxiety30,"个人 |            
            逐梦小榭",葕N699,威主力PiKXr,hmz199,,,
