标题,browser,字段1,价格,status,字段2
【口碑营销】品牌百科创建,134人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】年会PPT设计,133人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,104人,1人,¥3500,圆满完成,直接雇佣
,,,,,
【微信推广】微信朋友圈附近推季度套餐,311人,1人,¥6200,圆满完成,直接雇佣
【活动策划】春节年货活动策划,466人,1人,¥5000,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,109人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】年会PPT设计,220人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,165人,1人,¥6500,圆满完成,直接雇佣
【口碑营销】品牌百科创建,133人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,98人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】活动策划,245人,1人,¥3000,圆满完成,直接雇佣
【品牌策划】整合营销推广,270人,1人,¥7500,圆满完成,直接雇佣
【品牌策划】招商PPT设计,198人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,123人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,135人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】微信公众号代运营套餐C,130人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,112人,1人,¥6500,圆满完成,直接雇佣
【品牌策划】logo设计套餐B,117人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,148人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】商业计划书套餐B,131人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】年会PPT设计,115人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,311人,1人,¥8500,圆满完成,直接雇佣
【品牌策划】招商策划,127人,1人,¥3800,圆满完成,直接雇佣
【品牌策划】公众号代运营套餐C,258人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,89人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐b,133人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,110人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,148人,1人,¥3500,圆满完成,直接雇佣
【口碑营销】品牌百科创建,128人,1人,¥4300,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,113人,1人,¥6500,圆满完成,直接雇佣
【口碑营销】关键词优化,184人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,91人,1人,¥3800,圆满完成,直接雇佣
【品牌策划】logo设计套餐C,140人,1人,¥3500,圆满完成,直接雇佣
,,,,,
【品牌策划】品牌全案品牌套餐C,171人,1人,¥6500,圆满完成,直接雇佣
【口碑营销】人物百科创建,181人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】公众号代运营套餐B,233人,1人,¥2500,圆满完成,直接雇佣
【口碑营销】整合营销基础方案,367人,1人,¥7500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,113人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】logo设计,248人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,145人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】PPT设计,159人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】动画制作,177人,1人,¥5200,圆满完成,直接雇佣
【口碑营销】品牌百科创建,226人,1人,¥4200,圆满完成,直接雇佣
【品牌策划】整合营销推广,186人,1人,¥7500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,230人,1人,¥8500,圆满完成,直接雇佣
【淘宝/天猫代运营】多平台电商代运营（启用多平台）,415人,1人,¥42000,圆满完成,直接雇佣
【品牌策划】商业计划书套餐B,122人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,109人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】年会PPT设计,255人,1人,¥5500,圆满完成,直接雇佣
【品牌策划】公众号代运营套餐C,218人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】微博代运营,133人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,108人,1人,¥8500,圆满完成,直接雇佣
【品牌策划】市场调研,161人,1人,¥5500,圆满完成,直接雇佣
【口碑营销】品牌整合营销推广,215人,1人,¥4800,圆满完成,直接雇佣
【品牌策划】活动策划执行方案,287人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,212人,1人,¥7300,圆满完成,直接雇佣
【品牌策划】年会活动策划,174人,1人,¥3800,圆满完成,直接雇佣
【口碑营销】品牌百科创建,148人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,243人,1人,¥6800,圆满完成,直接雇佣
【淘宝/天猫代运营】多平台电商代运营,420人,1人,¥30000,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,300人,1人,¥2700,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推双月度套餐,215人,1人,¥5200,圆满完成,直接雇佣
【品牌策划】整合营销基础版,154人,1人,¥7500,圆满完成,直接雇佣
,,,,,
【品牌策划】品牌全案套餐C,214人,1人,¥6800,圆满完成,直接雇佣
【口碑营销】旦目品牌百科创建,97人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】朋友圈代运营套餐B,87人,1人,¥4800,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推季度套餐优惠400,159人,1人,¥6200,圆满完成,直接雇佣
【品牌策划】vi设计套餐C,137人,1人,¥5500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,99人,1人,¥7500,圆满完成,直接雇佣
【口碑营销】人物百科创建,181人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】房产品牌全案套餐A,140人,1人,¥4800,圆满完成,直接雇佣
【口碑营销】海东青整合营销套餐A,135人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】PET吹瓶招商方案,256人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】中子科技品牌策划,341人,1人,¥3800,圆满完成,直接雇佣
【品牌策划】恒通文化墙设计策划,194人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】嘉陵供电品牌策划,426人,1人,¥8500,圆满完成,直接雇佣
【品牌策划】楚斐婚礼品牌设计,121人,1人,¥5200,圆满完成,直接雇佣
【品牌策划】埃贝尔微博代运营套餐C,238人,1人,¥7200,圆满完成,直接雇佣
【品牌策划】朱莉秀品牌全案套餐B,174人,1人,¥5200,圆满完成,直接雇佣
【品牌策划】枣道珍爱品牌全案套餐C,183人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】好米巴品牌全案套餐C,89人,1人,¥4800,圆满完成,直接雇佣
【品牌策划】酒店品牌全案套餐B,107人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】优瞳品牌全案套餐C,181人,1人,¥5100,圆满完成,直接雇佣
【品牌策划】眼镜品牌全案套餐B,136人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】妈妈味品牌全案套餐A,132人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】建业通品牌全案套餐C,195人,1人,¥7500,圆满完成,直接雇佣
【品牌策划】桔子酒店品牌全案套餐B,109人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】糕小样品牌全案套餐B,123人,1人,¥3200,圆满完成,直接雇佣
【品牌策划】美容院品牌全案套餐A,139人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】儿童服装品牌全案套餐B,117人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】皮包品牌全案套餐B,107人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】化妆品牌全案套餐A,198人,1人,¥1800,圆满完成,直接雇佣
【品牌策划】白酒品牌全案套餐C,131人,1人,¥4500,圆满完成,直接雇佣
,,,,,
【品牌策划】美容医院品牌全案套餐B,174人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】恋之味品牌全案套餐B,144人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】MBA品牌全案套餐A+品牌起名,205人,1人,¥1800,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,208人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】驰久品牌全案套餐B,218人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】中子科技品牌全案套餐B,314人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】蕃小锅品牌全案A品牌升级,156人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】房产品牌全案套餐C,154人,1人,¥4200,圆满完成,直接雇佣
【品牌策划】中间盛世建筑品牌全案套餐A,101人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】餐饮店品牌全案套餐A+餐饮店起名,297人,1人,¥1800,圆满完成,直接雇佣
【品牌策划】服装店品牌全案套餐B,216人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】餐饮店品牌全案套餐A,114人,1人,¥1200,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,179人,1人,¥2800,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推半年套餐,286人,1人,¥11800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,137人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,143人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,166人,1人,¥3800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,117人,1人,¥2400,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,116人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,187人,1人,¥2400,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,134人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,151人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,132人,1人,¥8400,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,110人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案,174人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,117人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,83人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,120人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,178人,1人,¥1200,圆满完成,直接雇佣
【活动策划】新品发布会布置,377人,1人,¥9950,圆满完成,直接雇佣
,,,,,
【微信代运营】微博代运营,625人,1人,¥2600,圆满完成,直接雇佣
【微信代运营】微信代运营,386人,1人,¥1200,圆满完成,直接雇佣
【网店推广】整合营销传,227人,1人,¥2400,圆满完成,直接雇佣
【品牌策划】品牌故事,164人,1人,¥1800,圆满完成,直接雇佣
【网店推广】整合营销,295人,1人,¥2300,圆满完成,直接雇佣
【品牌策划】品牌全案,78人,1人,¥3200,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,108人,1人,¥6200,圆满完成,直接雇佣
【网站优化方案】千站推高级版双11特惠9900/年且买2年送1年,324人,1人,¥9900,圆满完成,直接雇佣
【微信代运营】元旦促销方案,550人,1人,¥4700,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,95人,1人,¥3600,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,79人,1人,¥2800,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推3月度套餐,135人,1人,¥6600,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,213人,1人,¥2800,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,176人,1人,¥2800,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,191人,1人,¥2800,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推月度套餐,210人,1人,¥2800,圆满完成,直接雇佣
【网站优化方案】千站推高级版双11特惠9900/年且买2年送1年,244人,1人,¥9900,圆满完成,直接雇佣
【网站优化方案】千站推高级版双12特惠9900/年且买2年送1年,241人,1人,¥9900,圆满完成,直接雇佣
【网站优化方案】千站推高级版双11特惠9900/年且买2年送1年,238人,1人,¥9900,圆满完成,直接雇佣
【产品推广】网络推广,310人,1人,¥20000,圆满完成,直接雇佣
【关键词优化】百度关键词优化，做到提供词语的首页排名一个季度。,498人,1人,¥4800,圆满完成,直接雇佣
【活动策划】平安夜主题酒会策划案,348人,1人,¥5000,圆满完成,直接雇佣
【网站优化方案】千站推高级版双11特惠9900/年且买2年送1年,195人,1人,¥9900,圆满完成,直接雇佣
【网站优化方案】千站推高级版双11特惠9900/年且买2年送1年,216人,1人,¥9900,圆满完成,直接雇佣
【活动策划】宣传活动策划,274人,1人,¥40000,圆满完成,直接雇佣
【品牌策划】品牌策划—C套餐,329人,1人,¥8260,圆满完成,直接雇佣
【网站优化方案】千站推高级版双11特惠9900/年，1年,220人,1人,¥9900,圆满完成,直接雇佣
【APP推广】豆芽菜生长机竞价,347人,1人,¥11500,圆满完成,直接雇佣
【网站优化方案】千站推高级版双11特惠9900/年且买2年送1年,217人,1人,¥9900,圆满完成,直接雇佣
【网站优化方案】千站推高级版双11特惠9900/年且买2年送1年,179人,1人,¥9900,圆满完成,直接雇佣
,,,,,
【品牌策划】品牌故事,292人,1人,¥6380,圆满完成,直接雇佣
【产品推广】app推广,353人,1人,¥840,圆满完成,直接雇佣
【活动策划】品牌招商会策划案,396人,1人,¥4850,圆满完成,直接雇佣
【品牌策划】品牌策划C套餐,437人,1人,¥4800,圆满完成,直接雇佣
【活动策划】地铁广告策划,273人,1人,¥4600,圆满完成,直接雇佣
【网站优化方案】双十一策划,243人,1人,¥500,圆满完成,直接雇佣
【APP推广】来50个定制注册,329人,1人,¥200,圆满完成,直接雇佣
【APP推广】app推广,458人,1人,¥43000,圆满完成,直接雇佣
【营销解决方案】周年庆活动方案策划,759人,1人,¥5000,圆满完成,直接雇佣
【APP推广】注册,296人,1人,¥360,圆满完成,直接雇佣
【微信代运营】微信代运营,376人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案,210人,1人,¥4500,圆满完成,直接雇佣
【微信代运营】微信内容运营互动活动公众号营销整合营销方案执行新媒体,349人,1人,¥2000,圆满完成,直接雇佣
【APP推广】注册,405人,1人,¥1000,圆满完成,直接雇佣
【产品推广】今日头条广告费,437人,1人,¥2000,圆满完成,直接雇佣
【网站优化方案】华欧曼亚网站推广,329人,1人,¥5000,圆满完成,直接雇佣
【APP推广】华欧曼亚APP推广广告费,91人,1人,¥2000,圆满完成,直接雇佣
【APP推广】华欧曼亚app推广,216人,1人,¥2000,圆满完成,直接雇佣
【APP推广】华欧曼亚app推广过广告费,101人,1人,¥4000,圆满完成,直接雇佣
【网站优化方案】华欧曼亚推广广告费,285人,1人,¥3000,圆满完成,直接雇佣
【产品推广】华欧曼亚今日头条广告费,263人,1人,¥7000,圆满完成,直接雇佣
【品牌策划】鱼谷洞乡,480人,1人,¥20000,圆满完成,直接雇佣
【产品推广】广营网络推广广告费今日头条,115人,1人,¥3000,圆满完成,直接雇佣
【产品推广】广营集团网络推广方案（进度款）,221人,1人,¥7000,圆满完成,直接雇佣
【产品推广】广营集团网络推广策划（预付）,220人,1人,¥6000,圆满完成,直接雇佣
【微信代运营】需要加微信好友100人，要求必须是真人,347人,1人,¥90,圆满完成,直接雇佣
【品牌策划】品牌全案,185人,1人,¥3300,圆满完成,直接雇佣
【品牌策划】品牌全案,174人,1人,¥4500,圆满完成,直接雇佣
