标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【公司注册】给装修公司起名,https://task.epwk.com/1059823/,1261人,33人,¥200,圆满完成,单人悬赏,威风志XpZby,"1.给装修装饰公司起名字
2.三个字或者四个字的名字",2023-10-09,2024.03.29,任务编号：1059823,200.0,,,Frankhhhyyy,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公司注册,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【商标注册】餐饮调味类起名字,https://task.epwk.com/1051534/,2804人,31人,"¥1,000",,,风速阁xwaP3,要求三个字到五个字。贴近产品主要是餐饮调味类产品。比如生抽，老抽，各种酱类最好能有LOGO设计名字朗朗上口。最关键的是商标注册能通过,2023-07-29,,任务编号：1051534,1000.0,,,晗胡视觉设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商标注册,,￥ 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【其他软件开发】网店数据采集,https://task.epwk.com/1068269/,328人,1人,5000-10000元,圆满完成,,o5c442c3cce6be,数据采集，需要频繁换IP，有校验码是点字那种。,2023-12-28,2024.02.01,任务编号：1068269,5000.0,20天,广东省-惠州市,惠州原始部落科技有限公司,https://shop.epwk.com/4rn8q7mjgngm/,惠州原始部落科技有限公司,出售服务,https://shop.epwk.com/4rn8q7mjgngm/chushou/,企业,一品,41分,,,惠州原始部落科技有限公司,,APP定制开发,价格面议,小程序定制开发,价格面议,门店管理系统开发餐饮点餐预约多行业管理APP/小程序开发,价格面议,脚本开发采集脚本自动化脚本开发,价格面议,社区论坛类小程序开发定制开发,价格面议,废品家电回收小程序开发定制开发,价格面议,预约报名小程序定制开发,价格面议,知识付费平台开发APP/小程序开发,价格面议,社区团购小程序开发,价格面议,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【采集工具】对平台数据进行采集分析,https://task.epwk.com/1068204/,206人,1人,5000-10000元,圆满完成,,有让科技,对几个定向平台数据进行采集分析，需要一些排序、筛选、计算优惠折扣率等数据操作。需要有经验者联系。,2023-12-27,2023.12.29,任务编号：1068204,6000.0,10天,广东省-深圳市,启商（广东）网络服务有限公司,https://shop.epwk.com/2j5xo466k5xm/,启商（广东）网络服务有限公司,出售服务,https://shop.epwk.com/2j5xo466k5xm/chushou/,企业,一品,84分,总 28 次中标，交易总金额,￥22.54万,启商（广东）网络服务有限公司,,品牌UI设计、LOGO平面设计，插画包装,"￥100
            /页",小程序APP定制开发,"￥1000
            /起",,,,,,,,,,,,,,,采集工具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【定制开发】aspHTML静态页面制作成动态页面模板，系统对接,https://task.epwk.com/1068132/,313人,4人,3000-5000元,圆满完成,,o5d5d04d0c4800,asp前台、会员、代理中心网站HTML静态页面制作成动态页面模板，系统对接，管理员后台系统修改、功能开发• 应用场景：云主机系统,2023-12-26,2024.01.06,任务编号：1068132,4500.0,"45天,20天,5天","河南省-开封市,陕西省-西安市-雁塔区,北京市-北京市-海淀区",河南武林网络科技有限公司,https://shop.epwk.com/qgdmjx9lqdke/,河南武林网络科技有限公司,出售服务,https://shop.epwk.com/qgdmjx9lqdke/chushou/,企业,一品,102分,,,河南武林网络科技有限公司,,logo设计,"￥100
            /起",网站开发,"￥1
            /年",交互设计,"￥1
            /年",ICP及EDI办理,"￥3000
            /件",微信小程序开发,"￥1
            /年",软件著作权变更,"￥400
            /件",,,,,,,定制开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【前端开发】刪除未使用的css,https://task.epwk.com/1068032/,177人,1人,1000元以内,圆满完成,,o607849fe77dc6,1、使用Purgecss删除未使用的CSS。html只有一个单页面，使用的是TailwindCSS框架。2、写一个使用Purgecss删除未使用的CSS教程word文字+图片就行，并且通过微信指导教会我如何做。本人只有html和css基础，没有webpack和Node.js基础，所以教程里面需要包含webpack最最基础的内容，目的就是为了删除未使用的css,2023-12-26,2024.01.02,任务编号：1068032,900.0,3天,河北省-邯郸市,游鲸印记文化传媒有限公司,https://shop.epwk.com/0jnek9xljnv3/,游鲸印记文化传媒有限公司,出售服务,https://shop.epwk.com/0jnek9xljnv3/chushou/,企业,四品,68分,总 47 次中标，交易总金额,￥1.33万,游鲸印记文化传媒有限公司,,主图设计/活动页面设计/网页设计,"￥599
            /起",电商设计/PS修图/图片处理/详情页设计,"￥888
            /起",排版设计/党建文化/书籍装帧/展示设计,"￥599
            /起",折页设计/门头设计/菜单菜谱设计/横幅设计,"￥400
            /起",易拉宝展架设计/会员卡设计/封面设计,"￥400
            /起",宣传单页设计/画册设计/名片设计/彩页设计,"￥500
            /起",台历设计/贺卡设计/广告设计/海报设计,"￥300
            /起",包装设计/吉祥物设计/手提袋设计,"￥999
            /起",品牌设计/LOGO设计/VI设计/班徽设计,"￥1200
            /起",前端开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【网站二次开发】更换播放器代码,https://task.epwk.com/1067985/,110人,1人,1000元以内,圆满完成,,际尊服RnPJe,之前FLASH播放器不能用了 ，需要前端更换为 阿里云播放器代码,2023-12-25,2023.12.26,任务编号：1067985,200.0,1天,广东省-深圳市,摩诃信息,https://shop.epwk.com/omdwk2e8xdrp/,摩诃信息,出售服务,https://shop.epwk.com/omdwk2e8xdrp/chushou/,企业,七品,38分,,,摩诃信息,,jeesite二次开发,"￥500
            /日",网站小程序公众号APP等二次开发,"￥100
            /次",wdcp安装配置，维护，二次开发,"￥100
            /次",,,,,,,,,,,,,网站二次开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【其他软件开发】网页端后台数据管理,https://task.epwk.com/1067891/,253人,3人,1000-3000元,圆满完成,,飞莱ocHgy,称呼:曾先生地区:湖北需求:通过脚本获取数据，上传到数据库，然后在网页显示，通过表单的形式，每个账号显示的东西不一样，个人需求,2023-12-25,2023.12.26,任务编号：1067891,1400.0,"3天,10天","辽宁省-沈阳市-铁西区,广东省-深圳市-宝安区",极星网络,https://shop.epwk.com/9w56e4m7wdv1/,极星网络,出售服务,https://shop.epwk.com/9w56e4m7wdv1/chushou/,企业,二品,75分,总 38 次中标，交易总金额,￥13.4万,极星网络,,管理系统开发,"￥1000
            /起",公众号后台开发,"￥1000
            /起",电商系统开发,"￥1000
            /起",企业官网开发,"￥1000
            /起",企业软件开发,"￥2000
            /起",微信小程序开发,"￥1000
            /起",,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【小程序开发】接入微信小程序流量主,https://task.epwk.com/1067873/,89人,1人,1000-3000元,圆满完成,,集创bfXSb,小程序已经开通流量主！将流量主接入小程序，有2处banner广告、4处插屏广告，1处视频广告，3处激励广告！优化下首页跟个人中心页底部预留过多空白区域，改页面几个字以及活动页分享朋友圈获取页面信息错误！,2023-12-24,2023.12.29,任务编号：1067873,1000.0,1天,广东省-深圳市-宝安区,启商（广东）网络服务有限公司,https://shop.epwk.com/2j5xo466k5xm/,启商（广东）网络服务有限公司,出售服务,https://shop.epwk.com/2j5xo466k5xm/chushou/,企业,一品,84分,总 28 次中标，交易总金额,￥22.54万,启商（广东）网络服务有限公司,,品牌UI设计、LOGO平面设计，插画包装,"￥100
            /页",小程序APP定制开发,"￥1000
            /起",,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】航空公司内部打卡，任务分配双端不上架app,https://task.epwk.com/1067761/,121人,1人,5000-10000元,圆满完成,,威峰FexxY,航空公司内部打卡，任务分配双端不上架app,2023-12-22,2024.01.18,任务编号：1067761,5000.0,15天,江苏省-南京市,江苏鸿玺智能,https://shop.epwk.com/v0n1xwrkk57y/,江苏鸿玺智能,出售服务,https://shop.epwk.com/v0n1xwrkk57y/chushou/,企业,七品,80分,总 1 次中标，交易总金额,￥5000.00,江苏鸿玺智能,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】安卓原生开发-音视频相关（一期）,https://task.epwk.com/1067531/,338人,1人,1000-3000元,圆满完成,,o5fba71af10ebf,需要个人安卓原生开发者合作，音视频项目，时间充裕者联系，白天上班的众包人员勿扰，合作好可以长期合作,2023-12-20,2024.09.23,任务编号：1067531,2000.0,14天,北京市-北京市,北泊攻城狮,https://shop.epwk.com/09drjyox653w/,北泊攻城狮,出售服务,https://shop.epwk.com/09drjyox653w/chushou/,个人,七品,39分,,,北泊攻城狮,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】短视频平台高级wws协议软件修复以及UI制作,https://task.epwk.com/1067516/,133人,1人,1万-2万元,圆满完成,,威联NKDYU,语言：易语言源代码修复部分功能，然后还会增加一个数据库拉黑，在把界面UI设计一下,2023-12-20,2024.01.02,任务编号：1067516,8000.0,7天,广东省-深圳市,启商（广东）网络服务有限公司,https://shop.epwk.com/2j5xo466k5xm/,启商（广东）网络服务有限公司,出售服务,https://shop.epwk.com/2j5xo466k5xm/chushou/,企业,一品,84分,总 28 次中标，交易总金额,￥22.54万,启商（广东）网络服务有限公司,,品牌UI设计、LOGO平面设计，插画包装,"￥100
            /页",小程序APP定制开发,"￥1000
            /起",,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【定制开发】Thinkphp前后端开发，交易所修改需求,https://task.epwk.com/1067457/,234人,1人,3000-5000元,圆满完成,,志云海,会Thinkphp前后端，交易所修改需求。需求：1、后台运营→认购发行 添加认购的币种后，同步生成运营→产品管理的空气币记录。用户认购币种后，价值会跟着对应的空气币的价格进行浮动（这个只要做好数据库字段关联）2、认购时间结束后，空气币的钱包将会由锁定改成可交易状态，当用户交易已解锁的空气币后，需要立马触发已转换完成的USDT锁定。举例：我认购了1000AAA币，在认购结束前，1000AAA币是锁定状态，认购结束后，1000AAA币是正常状态，在币币交易里，假设1000AAA币可以换成500USDT，那么在我交易完成后，需对交易后的500USDT进行锁定。3.后台用户→用户钱包，需要加一个能够删除和批量删除的功能总费用6000，先支付3000.完成后付3000,2023-12-19,2023.12.20,任务编号：1067457,3000.0,1天,四川省-成都市,创搜客网络,https://shop.epwk.com/2j5jj3v395pz/,创搜客网络,出售服务,https://shop.epwk.com/2j5jj3v395pz/chushou/,企业,四品,40分,,,创搜客网络,,UI设计定制,价格面议,官网定制开发,价格面议,小程序定制开发,价格面议,商城定制开发,价格面议,公众号定制开发,价格面议,APP定制开发,价格面议,系统应用开发,价格面议,saas系统开发,价格面议,,,定制开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【采集工具】采集网站数据,https://task.epwk.com/1067328/,228人,2人,5000-10000元,圆满完成,,圈圈12,需要采集网站上的商品数据，并分析,2023-12-18,2024.01.03,任务编号：1067328,6400.0,"12天,10天","辽宁省-沈阳市-铁西区,广东省-深圳市-宝安区",极星网络,https://shop.epwk.com/9w56e4m7wdv1/,极星网络,出售服务,https://shop.epwk.com/9w56e4m7wdv1/chushou/,企业,二品,75分,总 38 次中标，交易总金额,￥13.4万,极星网络,,管理系统开发,"￥1000
            /起",公众号后台开发,"￥1000
            /起",电商系统开发,"￥1000
            /起",企业官网开发,"￥1000
            /起",企业软件开发,"￥2000
            /起",微信小程序开发,"￥1000
            /起",,,,,,,采集工具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【脚本开发】开发一个插件,https://task.epwk.com/1067230/,185人,1人,1000-3000元,圆满完成,,爵内特8o568,称呼:李卫东地区:山西太原需求:需要开发一个插件能筛选需要的信息并分类自动收录微信群聊里的全部信息，筛选需要的信息内容，并进行分类“人找车”“车找人”“货找车”和匹配“时间，出发地，目的地，人数，电话”的内容附件为案例,2023-12-18,2024.01.30,任务编号：1067230,2000.0,7天,辽宁省-沈阳市-铁西区,极星网络,https://shop.epwk.com/9w56e4m7wdv1/,极星网络,出售服务,https://shop.epwk.com/9w56e4m7wdv1/chushou/,企业,二品,75分,总 38 次中标，交易总金额,￥13.4万,极星网络,,管理系统开发,"￥1000
            /起",公众号后台开发,"￥1000
            /起",电商系统开发,"￥1000
            /起",企业官网开发,"￥1000
            /起",企业软件开发,"￥2000
            /起",微信小程序开发,"￥1000
            /起",,,,,,,脚本开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【脚本开发】企业微信里的自动抢单软件,https://task.epwk.com/1067104/,294人,1人,1万-2万元,圆满完成,,威服mmxtH,在苹果或安卓运行自动抢单脚本，可以用协议最好，如果不能协议就按键精灵写脚本，标准为打码时效和抢单效果，重要的是打码运行时间和脚本运行时间总费用包含免费维护六个月，没做出来或验收不通过，退还解冻资金，提供帮助安装已经使用,2023-12-15,2024.01.21,任务编号：1067104,14500.0,14天,湖南省-长沙市-芙蓉区,湖南贝思特软件有限公司,https://shop.epwk.com/81n41g16vnp6/,湖南贝思特软件有限公司,出售服务,https://shop.epwk.com/81n41g16vnp6/chushou/,企业,四品,64分,总 4 次中标，交易总金额,￥4.53万,湖南贝思特软件有限公司,,,,,,,,,,,,,,,,,,,,脚本开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【小程序开发】汽车配件销售小程序开发,https://task.epwk.com/1066826/,81人,1人,3000-5000元,圆满完成,,k1583****99,称呼：刘先生地区: 湖北黄石，武汉服务商优先需求: 我们是做汽车配件及润滑油销售，产品展示，线上下单，发货  。服务商提供案例、报价预算: 几千时间：未定备注：微信是手机号,2023-12-13,2024.01.15,任务编号：1066826,3800.0,15天,湖北省-武汉市-武昌区,武汉轻洽网络技术有限公司,https://shop.epwk.com/j7n38oqx25e1/,武汉轻洽网络技术有限公司,出售服务,https://shop.epwk.com/j7n38oqx25e1/chushou/,企业,一品,60分,,,武汉轻洽网络技术有限公司,,财务代记账系统 会计公司企业代理记账 定制开发 提供源码,"￥10000
            /件",软件开发 系统开发 定制  C# BS 前后端 二次开发,"￥10000
            /件",企业官网定制 对接企业内部系统 订单系统 分销系统CRM系统,"￥10000
            /件",OA办公系统 客诉资产 员工考勤 各类审批 定制开发提供源码,"￥10000
            /件",社区物业系统 业主 维修上报 线上收费 定制开发 提供源码,"￥10000
            /件",标准库管理软件 行业标准 标准下载 信息系统 多维度分析,"￥10000
            /件",博客系统 主题定制博客系统 定制开发 提供源码 C# Net,"￥10000
            /件",学校答题系统 题库 试卷生成 成绩分析 过程监管 提供源码,"￥10000
            /件",电商系统 用户 商品物流配送 分销渠道多平台 提供源码,"￥10000
            /件",小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【企业官网】企业官网开发,https://task.epwk.com/1066561/,58人,1人,1000元以内,圆满完成,,思爱威88Zt6,企业官网开发称呼：刘先生地区: 河南，服务商地域不限需求: 我是做软件开发、外卖餐饮等，帮忙办理资质审核的，网站主要是介绍一下公司的业务范围 。服务商提供案例、报价预算: 看服务商报价时间：未定备注：微信是手机号,2023-12-11,2023.12.11,任务编号：1066561,800.0,5天,河南省-洛阳市-市辖区,河南锦紫科技有限公司,https://shop.epwk.com/4rn8q7p16ngm/,河南锦紫科技有限公司,出售服务,https://shop.epwk.com/4rn8q7p16ngm/chushou/,企业,三品,42分,,,河南锦紫科技有限公司,,小程序定制开发,"￥10000
            /次",公众号定制开发,"￥10000
            /次",游戏定制开发,￥40000,网站定制开发,￥20000,小程序定制开发,￥20000,APP定制开发,￥50000,APP个性订制开发,￥9999,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】临时邮件APP开发 第一期,https://task.epwk.com/1066541/,493人,5人,5000-10000元,圆满完成,,优创FxWvr,临时邮件APP开发，iOS和安卓端，原生应用，需要上架对接支付，简单的后台，,2023-12-10,2023.12.13,任务编号：1066541,9120.0,"40天,15天,60天","山东省-烟台市,湖北省-武汉市-江夏区,浙江省-杭州市-西湖区",聚仁工作室,https://shop.epwk.com/78n96o3w8nkv/,聚仁工作室,出售服务,https://shop.epwk.com/78n96o3w8nkv/chushou/,个人,一品,34分,,,聚仁工作室,,网站订制开发,"￥3000
            /起",APP定制开发,"￥5000
            /起",电商平台店铺装修/托管/代运营,"￥3000
            /起",小程序代搭建,"￥1000
            /起",软件开发app开发,"￥30000
            /起",直播系统开发,"￥25000
            /起",商城网站建设,"￥12000
            /起",分销系统开发,"￥10000
            /起",管理系统开发,"￥10000
            /起",APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【小程序开发】蓝牙产品测试小程序,https://task.epwk.com/1065991/,307人,4人,1000-3000元,圆满完成,,k1780****80,项目:蓝牙产品测试小程序称呼:钱先生地区:江苏苏州需求:蓝牙产品测试小程序，蓝牙产品的测试程序，连接可指定的设备名称，然后显示一些数据。具体联系沟通报价。,2023-12-05,2024.02.18,任务编号：1065991,2000.0,"7天,20天,15天,10天","广东省-深圳市-南山区,河南省-洛阳市,山东省-烟台市,江苏省-苏州市-吴中区",摩诃信息,https://shop.epwk.com/omdwk2e8xdrp/,摩诃信息,出售服务,https://shop.epwk.com/omdwk2e8xdrp/chushou/,企业,七品,38分,,,摩诃信息,,jeesite二次开发,"￥500
            /日",网站小程序公众号APP等二次开发,"￥100
            /次",wdcp安装配置，维护，二次开发,"￥100
            /次",,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【APP开发】有声读书APP开发,https://task.epwk.com/1065940/,163人,1人,1万-2万元,圆满完成,,o5a709bb71f7be,安卓，IOS双端+web管理页面功能：上传书籍上传音频看书同步播放音频web页面可以管理书籍、音频、用户充值功能,2023-12-04,2024.01.13,任务编号：1065940,13500.0,20天,山东省-淄博市-张店区,果田科技 100%好评服务商,https://shop.epwk.com/j7n38x8pe5e1/,果田科技 100%好评服务商,出售服务,https://shop.epwk.com/j7n38x8pe5e1/chushou/,企业,一品,82分,总 67 次中标，交易总金额,￥37.77万,果田科技 100%好评服务商,,各平台APP开发,价格面议,各平台小程序开发,价格面议,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
