标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【企业官网】豪华定制网站 定制特别功能，HTML5制作，浏览器+平板+手机,https://task.epwk.com/468407/,132人,1人,"¥3,800",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,豪华定制网站 定制特别功能，HTML5制作，浏览器+平板+手机,直接雇佣￥ 3800,￥ 3800,任务编号：468407,2000-2900.csv,,,,"豪华定制网站, 特别功能, HTML5制作, 浏览器, 平板, 手机"
【企业官网】创意交流网站开发,https://task.epwk.com/468409/,140人,1人,"¥36,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,创意交流网站开发,直接雇佣￥ 36000,￥ 36000,任务编号：468409,2000-2900.csv,,,,"创意交流, 网站开发"
【企业官网】企业门户形象建站，具有完整的门户功能：首页+新闻+产品,https://task.epwk.com/468411/,378人,1人,¥990,圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,企业门户形象建站，具有完整的门户功能：首页+新闻+产品,直接雇佣￥ 990,￥ 990,任务编号：468411,2000-2900.csv,,,,"企业门户, 门户功能, 首页, 新闻, 产品"
【APP推广】qq群推广,https://task.epwk.com/468421/,615人,1人,¥100,圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,qq群推广,直接雇佣￥ 100,￥ 100,任务编号：468421,2000-2900.csv,,,,"qq群, 推广"
【LOGO设计】傳媒集團圖標,https://task.epwk.com/468426/,166人,1人,"¥5,001",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,傳媒集團圖標,直接雇佣￥ 5001,￥ 5001,任务编号：468426,2000-2900.csv,,,,"传媒集团, 图标"
【小程序开发】检索小系统开发,https://task.epwk.com/468432/,250人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,检索小系统开发,直接雇佣￥ 1500,￥ 1500,任务编号：468432,2000-2900.csv,,,,"小系统, 检索开发"
【企业官网】综合大型网站开发一期,https://task.epwk.com/468434/,271人,1人,"¥38,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,综合大型网站开发一期,直接雇佣￥ 38000,￥ 38000,任务编号：468434,2000-2900.csv,,,,"大型网站开发, 一期项目"
【企业官网】综合大型网站开发二期,https://task.epwk.com/468435/,135人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,综合大型网站开发二期,直接雇佣￥ 45000,￥ 45000,任务编号：468435,2000-2900.csv,,,,"大型网站开发, 二期项目"
【小程序开发】孕婴店管理系统（MMH）,https://task.epwk.com/468437/,232人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,孕婴店管理系统（MMH）,直接雇佣￥ 30000,￥ 30000,任务编号：468437,2000-2900.csv,,,,"孕婴店, 管理系统, 店铺管理"
【小程序开发】儿童乐园管理系统（S8）,https://task.epwk.com/468439/,263人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,儿童乐园管理系统（S8）,直接雇佣￥ 30000,￥ 30000,任务编号：468439,2000-2900.csv,,,,"儿童乐园, 管理系统, S8"
【企业官网】高端定制门户网站开发,https://task.epwk.com/468440/,305人,1人,"¥2,400",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,高端定制门户网站开发,直接雇佣￥ 2400,￥ 2400,任务编号：468440,2000-2900.csv,,,,"高端定制, 门户网站, 网站开发"
【机械设备】招商银行大厦空调系统维护,https://task.epwk.com/468450/,1816人,1人,"¥7,500",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,招商银行大厦空调系统维护,直接雇佣￥ 7500,￥ 7500,任务编号：468450,2000-2900.csv,,,,"招商银行大厦, 空调系统, 维护"
【VI设计】船舶行业整体vi,https://task.epwk.com/468453/,319人,1人,"¥49,990",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,船舶行业整体vi,直接雇佣￥ 49990,￥ 49990,任务编号：468453,2000-2900.csv,,,,"船舶行业, VI设计"
【VI设计】国际能源企业vi,https://task.epwk.com/468454/,271人,1人,"¥29,004",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,国际能源企业vi,直接雇佣￥ 29004,￥ 29004,任务编号：468454,2000-2900.csv,,,,"国际能源, 企业vi"
【VI设计】一家意大利企业的整体vi,https://task.epwk.com/468455/,271人,1人,"¥49,009",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,一家意大利企业的整体vi,直接雇佣￥ 49009,￥ 49009,任务编号：468455,2000-2900.csv,,,,"意大利企业, VI设计"
【宣传册设计】私人连锁会所整体方案,https://task.epwk.com/468460/,306人,1人,"¥49,999",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,私人连锁会所整体方案,直接雇佣￥ 49999,￥ 49999,任务编号：468460,2000-2900.csv,,,,"私人连锁会所, 整体方案, 会所设计"
【企业官网】二胡维修业务网站搭建,https://task.epwk.com/468470/,110人,1人,"¥3,029",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,二胡维修业务网站搭建,直接雇佣￥ 3029,￥ 3029,任务编号：468470,2000-2900.csv,,,,"二胡维修, 网站搭建"
一款直播APP的UI界面，已经有流程图，重点设计风格,https://task.epwk.com/468472/,528人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,一款直播APP的UI界面，已经有流程图，重点设计风格,直接雇佣￥ 45000,￥ 45000,任务编号：468472,2000-2900.csv,,,,"直播APP, UI界面, 设计风格"
【VI设计】晶辉形象设计,https://task.epwk.com/468473/,277人,1人,"¥32,580",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,晶辉形象设计,直接雇佣￥ 32580,￥ 32580,任务编号：468473,2000-2900.csv,,,,"形象设计, 晶辉"
【影视拍摄】江西横峰互联网移动元旦活动拍照,https://task.epwk.com/468479/,333人,1人,"¥11,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,江西横峰互联网移动元旦活动拍照,直接雇佣￥ 11000,￥ 11000,任务编号：468479,2000-2900.csv,,,,"江西横峰, 互联网移动, 拍照"
【小程序开发】网站程序开发,https://task.epwk.com/468481/,346人,1人,"¥1,800",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,网站程序开发,直接雇佣￥ 1800,￥ 1800,任务编号：468481,2000-2900.csv,,,,"网站程序, 开发"
【包装设计】化妆品系列包装,https://task.epwk.com/468483/,404人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,化妆品系列包装,直接雇佣￥ 5000,￥ 5000,任务编号：468483,2000-2900.csv,,,,"化妆品包装, 包装设计"
【小程序开发】下订单程序开发,https://task.epwk.com/468484/,105人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,下订单程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：468484,2000-2900.csv,,,,"下订单程序, 开发"
【家政服务】大型元旦车展撤场,https://task.epwk.com/468487/,364人,1人,"¥16,420",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,大型元旦车展撤场,直接雇佣￥ 16420,￥ 16420,任务编号：468487,2000-2900.csv,,,,撤场
【后期制作】纪念视频后期制作,https://task.epwk.com/468502/,706人,1人,"¥14,851",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,纪念视频后期制作,直接雇佣￥ 14851,￥ 14851,任务编号：468502,2000-2900.csv,,,,"纪念视频, 后期制作"
政府LOGO设计后期款,https://task.epwk.com/468505/,409人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,政府LOGO设计后期款,直接雇佣￥ 20000,￥ 20000,任务编号：468505,2000-2900.csv,,,,"政府LOGO, 后期款"
金融信息资讯网站开发,https://task.epwk.com/468512/,171人,1人,"¥25,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,金融信息资讯网站开发,直接雇佣￥ 25000,￥ 25000,任务编号：468512,2000-2900.csv,,,,"金融信息, 资讯网站, 网站开发"
【产品外观设计】简式实木床设计,https://task.epwk.com/468521/,1637人,1人,¥500,圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,简式实木床设计,直接雇佣￥ 500,￥ 500,任务编号：468521,2000-2900.csv,,,,"简式实木床, 设计"
【APP开发】安卓社交app开发,https://task.epwk.com/468525/,285人,1人,"¥3,600",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,安卓社交app开发,直接雇佣￥ 3600,￥ 3600,任务编号：468525,2000-2900.csv,,,,"安卓社交, app开发"
【企业官网】梓翼担保公司,https://task.epwk.com/468527/,274人,1人,"¥19,125",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,梓翼担保公司,直接雇佣￥ 19125,￥ 19125,任务编号：468527,2000-2900.csv,,,,"梓翼担保, 公司"
【其他内容创作】螃蟹内衣品牌网,https://task.epwk.com/468528/,739人,1人,"¥12,896",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,螃蟹内衣品牌网,直接雇佣￥ 12896,￥ 12896,任务编号：468528,2000-2900.csv,,,,"螃蟹内衣, 品牌网站"
多用户网站开发,https://task.epwk.com/468530/,187人,1人,"¥18,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,多用户网站开发,直接雇佣￥ 18000,￥ 18000,任务编号：468530,2000-2900.csv,,,,"多用户网站, 开发"
商城类app源码,https://task.epwk.com/468542/,167人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,商城类app源码,直接雇佣￥ 50000,￥ 50000,任务编号：468542,2000-2900.csv,,,,商城类app源码
【APP开发】做个第一弹的视频弹幕 demo APK,https://task.epwk.com/468545/,338人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,做个第一弹的视频弹幕 demo APK,直接雇佣￥ 1000,￥ 1000,任务编号：468545,2000-2900.csv,,,,"视频弹幕, demo APK, 第一弹"
网上商城网站建设源码,https://task.epwk.com/468547/,373人,1人,"¥49,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,网上商城网站建设源码,直接雇佣￥ 49000,￥ 49000,任务编号：468547,2000-2900.csv,,,,"网上商城, 网站建设, 源码"
【小程序开发】web前段和后端开发,https://task.epwk.com/468550/,198人,1人,"¥39,820",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,web前段和后端开发,直接雇佣￥ 39820,￥ 39820,任务编号：468550,2000-2900.csv,,,,"web前端开发, web后端开发"
教育app源码,https://task.epwk.com/468557/,126人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,教育app源码,直接雇佣￥ 40000,￥ 40000,任务编号：468557,2000-2900.csv,,,,"教育app, 源码"
【微信开发】房地产智能小区微信开发,https://task.epwk.com/468558/,127人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,房地产智能小区微信开发,直接雇佣￥ 10000,￥ 10000,任务编号：468558,2000-2900.csv,,,,"房地产智能小区, 微信公众号"
【微信开发】微信公众号预约上门服务开发,https://task.epwk.com/468559/,416人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,微信公众号预约上门服务开发,直接雇佣￥ 50000,￥ 50000,任务编号：468559,2000-2900.csv,,,,"微信公众号, 上门服务"
【微信开发】育儿微信服务号开发,https://task.epwk.com/468561/,150人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,育儿微信服务号开发,直接雇佣￥ 50000,￥ 50000,任务编号：468561,2000-2900.csv,,,,"育儿, 微信公众号"
【微信开发】微信公众号开发,https://task.epwk.com/468562/,145人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,微信公众号开发,直接雇佣￥ 50000,￥ 50000,任务编号：468562,2000-2900.csv,,,,"微信公众号, 开发"
【小程序开发】安卓应用开发第一期,https://task.epwk.com/468563/,196人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,安卓应用开发第一期,直接雇佣￥ 50000,￥ 50000,任务编号：468563,2000-2900.csv,,,,"安卓应用开发, 第一期"
【小程序开发】安卓应用开发第二期,https://task.epwk.com/468564/,161人,1人,"¥20,435",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,安卓应用开发第二期,直接雇佣￥ 20435,￥ 20435,任务编号：468564,2000-2900.csv,,,,"安卓应用开发, 第二期"
【微信开发】上门洗衣O2O微信开发,https://task.epwk.com/468565/,264人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2368.html?m=6&o=7,上门洗衣O2O微信开发,直接雇佣￥ 50000,￥ 50000,任务编号：468565,2000-2900.csv,,,,"上门洗衣, O2O, 微信开发"
【微信开发】蓝牙发射器微信端开发,https://task.epwk.com/468566/,237人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,蓝牙发射器微信端开发,直接雇佣￥ 50000,￥ 50000,任务编号：468566,2000-2900.csv,,,,"蓝牙发射器, 微信端开发"
【商业提案】文案编写,https://task.epwk.com/468569/,220人,1人,"¥9,220",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,文案编写,直接雇佣￥ 9220,￥ 9220,任务编号：468569,2000-2900.csv,,,,文案编写
模型渲染制作,https://task.epwk.com/468570/,213人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,模型渲染制作,直接雇佣￥ 4000,￥ 4000,任务编号：468570,2000-2900.csv,,,,"模型渲染, 制作"
【APP开发】交友app开发,https://task.epwk.com/468572/,198人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,交友app开发,直接雇佣￥ 10000,￥ 10000,任务编号：468572,2000-2900.csv,,,,"交友app, app开发"
【企业官网】产品展示交易平台开发,https://task.epwk.com/468574/,476人,1人,"¥43,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,产品展示交易平台开发,直接雇佣￥ 43000,￥ 43000,任务编号：468574,2000-2900.csv,,,,"产品展示, 交易平台, 开发"
【企业宣传片】护肤品宣传片广告制作,https://task.epwk.com/468576/,539人,1人,"¥22,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,护肤品宣传片广告制作,直接雇佣￥ 22000,￥ 22000,任务编号：468576,2000-2900.csv,,,,"护肤品, 宣传片, 广告制作"
线上五金专卖商城,https://task.epwk.com/468577/,409人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,线上五金专卖商城,直接雇佣￥ 30000,￥ 30000,任务编号：468577,2000-2900.csv,,,,"线上五金, 专卖商城"
婚礼策划网站开发源码,https://task.epwk.com/468578/,151人,1人,"¥48,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,婚礼策划网站开发源码,直接雇佣￥ 48000,￥ 48000,任务编号：468578,2000-2900.csv,,,,"婚礼策划, 网站开发, 源码"
【VI设计】基础VI设计,https://task.epwk.com/468580/,226人,1人,"¥10,400",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,基础VI设计,直接雇佣￥ 10400,￥ 10400,任务编号：468580,2000-2900.csv,,,,基础VI设计
购买类似同程的APP+PC源码,https://task.epwk.com/468584/,173人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,购买类似同程的APP+PC源码,直接雇佣￥ 50000,￥ 50000,任务编号：468584,2000-2900.csv,,,,"APP源码, PC源码, 同程"
【企业官网】网站修改加制作,https://task.epwk.com/468586/,176人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,网站修改加制作,直接雇佣￥ 1500,￥ 1500,任务编号：468586,2000-2900.csv,,,,"网站修改, 网站制作"
快递人员APP开发源码,https://task.epwk.com/468587/,147人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,快递人员APP开发源码,直接雇佣￥ 45000,￥ 45000,任务编号：468587,2000-2900.csv,,,,"快递人员, APP开发, 源码"
医疗器械类展示型的企业网站改版,https://task.epwk.com/468589/,316人,1人,"¥18,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,医疗器械类展示型的企业网站改版,直接雇佣￥ 18000,￥ 18000,任务编号：468589,2000-2900.csv,,,,"医疗器械, 企业网站, 展示型"
【企业官网】餐饮网站开发,https://task.epwk.com/468592/,265人,1人,"¥24,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,餐饮网站开发,直接雇佣￥ 24000,￥ 24000,任务编号：468592,2000-2900.csv,,,,"餐饮网站, 网站开发"
【软装设计】咖啡厅软装搭配设计,https://task.epwk.com/468593/,852人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,咖啡厅软装搭配设计,直接雇佣￥ 50000,￥ 50000,任务编号：468593,2000-2900.csv,,,,"咖啡厅, 软装搭配, 设计"
【施工图设计】咖啡厅装修施工图设计,https://task.epwk.com/468594/,696人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,咖啡厅装修施工图设计,直接雇佣￥ 50000,￥ 50000,任务编号：468594,2000-2900.csv,,,,"咖啡厅装修, 施工图设计"
【企业官网】模板网站建设,https://task.epwk.com/468597/,301人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,模板网站建设,直接雇佣￥ 1000,￥ 1000,任务编号：468597,2000-2900.csv,,,,"模板网站, 网站建设"
【企业官网】中山装修网站建设,https://task.epwk.com/468605/,486人,1人,"¥2,500",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,中山装修网站建设,直接雇佣￥ 2500,￥ 2500,任务编号：468605,2000-2900.csv,,,,"中山装修, 网站建设"
【LOGO设计】logo设计企业LOGO教育房地产餐饮公司品牌商标标志设计,https://task.epwk.com/468606/,357人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,logo设计企业LOGO教育房地产餐饮公司品牌商标标志设计,直接雇佣￥ 2000,￥ 2000,任务编号：468606,2000-2900.csv,,,,"logo设计, 企业LOGO, 品牌商标标志设计"
【VI设计】新农业VI 全案,https://task.epwk.com/468607/,376人,1人,"¥49,999",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,新农业VI 全案,直接雇佣￥ 49999,￥ 49999,任务编号：468607,2000-2900.csv,,,,"新农业, VI设计, 全案设计"
【VI设计】新汽车能源VI全案,https://task.epwk.com/468608/,254人,1人,"¥49,990",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,新汽车能源VI全案,直接雇佣￥ 49990,￥ 49990,任务编号：468608,2000-2900.csv,,,,"新汽车, 能源, VI设计"
【VI设计】IT互联网企业-VI全案,https://task.epwk.com/468609/,259人,1人,"¥49,998",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,IT互联网企业-VI全案,直接雇佣￥ 49998,￥ 49998,任务编号：468609,2000-2900.csv,,,,"IT互联网企业, VI设计"
【VI设计】影视行业企业-VI全案,https://task.epwk.com/468610/,333人,1人,"¥49,997",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,影视行业企业-VI全案,直接雇佣￥ 49997,￥ 49997,任务编号：468610,2000-2900.csv,,,,"影视行业, VI设计, 企业形象"
【宣传册设计】金融行业画册  全年,https://task.epwk.com/468617/,333人,1人,"¥49,996",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,金融行业画册  全年,直接雇佣￥ 49996,￥ 49996,任务编号：468617,2000-2900.csv,,,,"金融行业, 画册, 全年"
【APP开发】社交商城app开发,https://task.epwk.com/468620/,161人,1人,"¥12,500",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,社交商城app开发,直接雇佣￥ 12500,￥ 12500,任务编号：468620,2000-2900.csv,,,,"社交商城, app开发"
【海报设计】春节系列海报,https://task.epwk.com/468621/,571人,1人,"¥26,271",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,春节系列海报,直接雇佣￥ 26271,￥ 26271,任务编号：468621,2000-2900.csv,,,,"春节海报, 系列设计"
【APP开发】微商城功能的APP应用开发,https://task.epwk.com/468622/,237人,1人,"¥23,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,微商城功能的APP应用开发,直接雇佣￥ 23000,￥ 23000,任务编号：468622,2000-2900.csv,,,,"微商城功能, APP应用"
【小程序开发】积分商城分销项目,https://task.epwk.com/468629/,427人,1人,"¥5,250",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,积分商城分销项目,直接雇佣￥ 5250,￥ 5250,任务编号：468629,2000-2900.csv,,,,"积分商城, 分销项目"
需增加分销系统的功能,https://task.epwk.com/468632/,162人,1人,"¥8,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,需增加分销系统的功能,直接雇佣￥ 8000,￥ 8000,任务编号：468632,2000-2900.csv,,,,"分销系统, 功能增加"
【小程序开发】App功能改进,https://task.epwk.com/468634/,640人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2367.html?m=6&o=7,App功能改进,直接雇佣￥ 4000,￥ 4000,任务编号：468634,2000-2900.csv,,,,"App功能, 功能改进"
【配音配乐】宣传片系列创意配音,https://task.epwk.com/468636/,1368人,1人,"¥18,000",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,宣传片系列创意配音,直接雇佣￥ 18000,￥ 18000,任务编号：468636,2000-2900.csv,,,,"宣传片, 创意配音"
【其他工具软件】订单管理桌面软件开发,https://task.epwk.com/468637/,525人,1人,"¥44,135",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,订单管理桌面软件开发,直接雇佣￥ 44135,￥ 44135,任务编号：468637,2000-2900.csv,,,,"订单管理, 桌面软件, 软件开发"
【APP开发】ios开发,https://task.epwk.com/468640/,244人,1人,¥400,圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,ios开发,直接雇佣￥ 400,￥ 400,任务编号：468640,2000-2900.csv,,,,ios开发
【海报设计】海报设计,https://task.epwk.com/468642/,225人,1人,¥990,圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,海报设计,直接雇佣￥ 990,￥ 990,任务编号：468642,2000-2900.csv,,,,海报设计
【APP开发】餐饮APP开发,https://task.epwk.com/468647/,123人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,餐饮APP开发,直接雇佣￥ 45000,￥ 45000,任务编号：468647,2000-2900.csv,,,,"餐饮APP, 开发"
【微信开发】餐饮微信开发,https://task.epwk.com/468648/,174人,1人,"¥46,000",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,餐饮微信开发,直接雇佣￥ 46000,￥ 46000,任务编号：468648,2000-2900.csv,,,,"餐饮, 微信公众号"
【VI设计】餐饮VI设计,https://task.epwk.com/468651/,239人,1人,"¥25,800",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,餐饮VI设计,直接雇佣￥ 25800,￥ 25800,任务编号：468651,2000-2900.csv,,,,餐饮VI设计
【企业官网】门店系统的开发,https://task.epwk.com/468656/,109人,1人,¥400,圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,门店系统的开发,直接雇佣￥ 400,￥ 400,任务编号：468656,2000-2900.csv,,,,"门店系统, 开发"
【旅游服务】企业网站,https://task.epwk.com/468662/,325人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,企业网站,直接雇佣￥ 5000,￥ 5000,任务编号：468662,2000-2900.csv,,,,"企业网站, 网站设计"
【旅游服务】网站建设,https://task.epwk.com/468671/,552人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,网站建设,直接雇佣￥ 5000,￥ 5000,任务编号：468671,2000-2900.csv,,,,网站建设
【旅游服务】企业网站,https://task.epwk.com/468672/,357人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,企业网站,直接雇佣￥ 5000,￥ 5000,任务编号：468672,2000-2900.csv,,,,"企业网站, 网站设计"
【旅游服务】手机app,https://task.epwk.com/468673/,398人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,手机app,直接雇佣￥ 3000,￥ 3000,任务编号：468673,2000-2900.csv,,,,"手机应用, app设计"
【旅游服务】微商城,https://task.epwk.com/468679/,390人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,微商城,直接雇佣￥ 4000,￥ 4000,任务编号：468679,2000-2900.csv,,,,微商城
【宣传册设计】画册设计,https://task.epwk.com/468680/,543人,1人,"¥2,910",圆满完成,https://task.epwk.com/page2366.html?m=6&o=7,画册设计,直接雇佣￥ 2910,￥ 2910,任务编号：468680,2000-2900.csv,,,,"画册, 设计"
