标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,设计师,能力标签
【游戏代练】做任务玩游戏，轻松每天赚钱，5元一稿，长期项目,https://task.epwk.com/718046/,25447人,9人,"¥1,000",mf53c75c33df3a0,1000.0,￥5,2019-03-06,任务地址：http://www.games02.com/?cat=4 （复制到浏览器打开）如果遇到链接失效的情况，请下载下方的备用附件，查看任务内容所有任务全部5元一个，喜欢做那个都行，一个任务交一次稿，想交几个都可以。,任务编号：718046,o5ca815b34305e,,,,,,,,,,B任务编号：718046,游戏代练
【游戏代练】游戏代练赚钱，70元一稿，名额有限（加急）,https://task.epwk.com/714649/,33684人,18人,"¥1,400",十年信誉,1400.0,￥280,2019-02-26,"大家注意做任务的网站中： 游戏试玩项目，快的话，几分钟就能完成了，平台所有项目都可以做，首次赏金70元加上网站50元，共120元。请收藏该网站长期做每天80-300不等。任务步骤和要求：                                     1.  注册地址：http://www.juxiangyou.com/floor/recom/15172221（复制浏览器打开此链接，按照提示完善资料，奖励1元，不是本链接进入注册的请重新在本链接里面注册才能合格）                                                                           3. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够50万U币（网站虚拟币，相当于50元），就可以获得50元,交稿后我赏金给70，一共120元。本网站可以收藏后长期做，在网站免费赚钱，做的好的每天300元交稿：余额显示为50万U币（相当于赚50元可提）以上即可，然后交稿我再给70，共120本平台可长期赚钱，做的好每天在平台免费赚80-500元不等，看个人的熟练程度，本平台完全免费，可以让好朋友或者家人也来做任务，提交几个家人账号的合格截图都能得到奖金",任务编号：714649,挖泥将,MuoffZCM,o5c74a0d22d6b2,江春水向东流,,,,,,,B任务编号：714649,游戏代练
【游戏代练】超简单任务 每次50元 新手必做（加急）,https://task.epwk.com/713298/,32853人,7人,¥500,mf188****3298,500.0,,2019-02-22,"本网站是中国第一大试玩平台 聚享游，绝对安全可靠，试玩发放奖金达10亿元。网站试玩可免费赚钱，做的好的每天几十-几百。你只要再网站做到50万U币，我给50。做到100万，我就给100，依次类推，本任务可以重复交稿。任务步骤和要求：                                     1.  注册地址：http://www.juxiangyou.com/floor/recom/7914874 （复制浏览器打开此链接，按照提示完善资料，奖励1元）                                                                           3. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够50万U币（网站虚拟币，相当于50RMB），就可以获得50RMB,交稿后我赏金给50，一共100元。交稿：余额显示为50万U币（相当于赚50RMB可提）以上即可，然后交稿我再给50，共100请收藏该网站长期做每天80-300不等",任务编号：713298,,,,,,,,,,,B任务编号：713298,游戏代练
【APP开发】简单试玩任务，单笔奖励高,https://task.epwk.com/707548/,2709人,1人,¥500,qianggelaile00,500.0,￥5,2019-01-27,任务要求1、应用市场下载APP 趣头条，注册登录后输入邀请码：A4086433602、每天阅读5篇资讯，阅读三天，任务即完成轻松，5块钱一单。交稿格式：1、注册手机号2、阅读三天的收益截图,任务编号：707548,o5b4b628384738,,,,,,,,,,B任务编号：707548,APP开发
【游戏代练】注册试玩，5元一个，数量不多,https://task.epwk.com/707741/,31557人,38人,¥550,mf53c75c33df3a0,550.0,￥20,2019-01-28,任务地址：http://www.games02.com/?cat=4 （复制到浏览器打开）如果遇到链接失效的情况，请下载下方的备用附件，查看任务内容所有任务全部5元一个，喜欢做那个都行，一个任务交一次稿，想交几个都可以。,任务编号：707741,铃铛小鱼,a447007753,K哥没点趣,finalsunshine,,,,,,,B任务编号：707741,游戏代练
【游戏代练】正规网站注册一个账号，一单5元，数量有限,https://task.epwk.com/702973/,41753人,85人,¥550,mf53c75c33df3a0,550.0,￥40,2019-01-14,这个任务一共奖励10元，希望大家踊跃交稿注册地址：http://www.juxiangyou.com/floor/recom/4272409 (复制此链接到浏览器打开，不是此链接注册无效，无法获得赏金)注册就送10000u币（1万U币=1元），注册后赚取50000u币，即可完成任务。完成任务一单赏金5元，几分钟轻松到手，提交网站id即可交稿。,任务编号：702973,UserZgs,asnswdc,o5c407ab2ee2c1,o5c4747e9db975,迷途小书生哈,kevin_le,davis_nju_22,BYWZBYWZ,,,B任务编号：702973,游戏代练
【游戏代练】正规网站注册一个账号，一单5元，数量有限！,https://task.epwk.com/700661/,2937人,21人,¥500,o594fa46d39e50,500.0,￥50,2019-01-07,这个任务一共奖励6元，希望大家踊跃交稿1注册地址：http://www.juxiangyou.com/floor/recom/14626034(复制此链接到浏览器打开，不是此链接注册无效，无法获得赏金)2注册就送10000u币（1万U币=1元），注册后赚取10000u币，即可完成任务。3完成任务一稿5元，几分钟轻松到手。提交网站u币截图即可交稿,任务编号：700661,末颜888,哈喽你好吗我很好,"个人 |            
            o5b794asd","个人 |            
            o5b794asd","个人 |            
            o5b794asd","个人 |            
            o5b794asd","个人 |            
            o5b794asd",o5c381c948feef,o5c38891a134cc,"工作室 |            
            手音工作室",B任务编号：700661,游戏代练
【游戏代练】手机玩游戏赚钱APP试用 5元一单长期赚钱,https://task.epwk.com/670259/,20740人,10人,¥500,mf53c75c33df3a0,500.0,￥10,2018-10-15,一 注册下载：电脑用户可用手机扫面附件二维码注册下载   手机用户可复制链接 http://suo.im/5nRF2o 到地址栏打开注册下载   登陆时必须用注册的手机号和密码登录，禁止用微信登陆 二 通过完成新手礼包的小任务达到10个蓝钻就算合格（10蓝钻可兑换10元，强烈建议先兑换1元到微信试试） 三 交稿格式：截图APP的主截面就可以（包含用户名，10个蓝钻以上） 这款APP可以每天领钱，我每天能领10元左右，每天啥事不做，免费赚10块钱，10块钱虽然不多，但是一个月也是300元的零花钱。即使你是个新手也没关系，先注册下载了在新手礼包里领一块钱，可以直接兑换1元现金到微信体验一下手机赚钱的感觉也好。PS：附送一款同样赚钱，体验很好的APP，有兴趣的可以扫码试试，不做任务要求。,任务编号：670259,煮酒,随奕而安,,,,,,,,,B任务编号：670259,游戏代练
【游戏代练】APP试玩，3元一稿，秒完成,https://task.epwk.com/652674/,7256人,40人,¥501,mf53c75c33df3a0,501.0,￥105,2018-08-24,任务要求：1 注册下载：电脑访问用户扫描附件二维码注册下载手机访问用户使用链接 http://url.cn/5Md61c7 （复制到浏览器打开）注册下载无论扫码还是链接注册请注意复制邀请码1893145 在登录APP时必须填写，否则不予通过2 登录APP：必须用注册的手机号和密码登录，填入邀请码1893145，会提示支付宝授权，可放心授权无任何风险，此操作仅是为防止刷号的现象所设置，不会泄露任何信息，登录后修改下你的用户名和头像。视频左上角点击钻石图标可领新手火钻30钻（每日账户自动分红0.3元）3 提交截图见附件示范 （任务中强调3点：1 手机号登录2 填邀请码3 支付宝授权，缺一不可）友情提示：按要求做完任务后，此APP每天会最少打到你账户0.3元（你啥都不用做）如果想赚更多的钱，请认真看看APP内的赚钱攻略，真的是一款躺赚的产品！完成任务后可做更多高价任务：http://www.epwk.com/task/649041/,任务编号：652674,o5aa8783375124,o5b564e7cad9d4,longdoudou2018,"个人 |            
            天天有欢喜",mf187****8940,"个人 |            
            信仰科技","个人 |            
            南珂一梦",黑色清风,o5b8533fba443c,靖Jingle,B任务编号：652674,游戏代练
【游戏代练】10秒5元，注册即交稿，人人必做,https://task.epwk.com/640969/,5276人,78人,¥500,mf188****3298,500.0,￥105,2018-07-24,第一步： 复制链接 https://www.juxiangyou.com/floor/recom/7914874  到浏览器打开注册，领1元。                                                                    2. 根据提示，完善资料即交稿 （分分钟搞定），交稿时提供新人任务完成的截图。奖励：注册1元+新手任务20元+赏金5元=26元。额外奖励（不做硬性要求）：竞猜赚钱，试玩游戏、体验广告赚钱、理财赚钱。。。。等任何方式免费赚钱（注意：手机APP的任务不算），请收藏该网站长期做每天80-300不等。,任务编号：640969,南风知意,"个人 |            
            伴缘设计",有您真好,茜大肘子,EvenHGF,o5b5c16fd6b168,o5b5ab0e96f816,赵阳威客,o5b63c9eb1ca25,xlh123456,B任务编号：640969,游戏代练
【游戏代练】手机APP游戏试玩,https://task.epwk.com/640206/,3853人,42人,"¥1,200",财神三少,1200.0,￥144,2018-07-23,任务步骤：1 手机打开网址http://91vv.com/9ezXj下载APP，然后注册登录                     2 创建角色，试玩                  3 玩到50级                  4 提交你的游戏个人页面截图                  5 可以重复接单，保证不同IP地址，我的后台会查验的。（重复接单必须加我QQ：909073738，打包个人页面图片给我提交，和游戏个人页面一起提交）         严正声明：我从后台可以直接审核你提交的数据，所以提交虚假稿件、未完成要求的稿件毫无意义，不要浪费大家的时间，认认真真做好任务，收获赏金才是正确的做法。,任务编号：640206,tianyufei152,o5b558b985e7a1,o5b558db4c7441,o5b51bfab54e11,yuewu,o5b55dfa5209a0,o5b55eb3ab94ab,o5b55e543bdcc7,wwwym2000,o5b564e7cad9d4,B任务编号：640206,游戏代练
【游戏代练】网站体验，无需技术60元/稿，人人可完成,https://task.epwk.com/632185/,8100人,11人,¥500,三只鹅,500.0,,2018-07-02,"大家注意做聚享游任务中： 试玩平台、竞猜这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），都是免费：首次注册3元+试玩或竞猜奖励20元+赏金62共85元。（注意一定是首次注册）任务步骤和要求：                                     1.  注册地址 http://www.juxiangyou.com/floor/recom/7914874 （复制浏览器打开此链接，按照提示完善资料，奖励1元）                                                                    2. 新人任务，完善资料，3元到手（可提）3.在竞猜赚钱，试玩游戏、体验广告赚钱、理财赚钱。。。。等任何方式免费赚钱（注意：手机APP的任务不算）  ，当您赚够20万U币（网站虚拟币，相当于20RMB），就可以获得20RMB,交稿后我赏金给62，一共85元。交稿：余额显示为20万U币（相当于赚20RMB可提）以上即可，然后交稿我再给62，共85请收藏该网站长期做每天80-300不等",任务编号：632185,,,,,,,,,,,B任务编号：632185,游戏代练
【游戏代练】手机试玩，3元一稿,https://task.epwk.com/630830/,5686人,74人,¥552,mf53c75c33df3a0,552.0,￥78,2018-06-28,任务步骤：1 手机扫面下方附件二维码注册并下载APP，然后直接登录                           2 完整完成APP内的新手任务（阅读5篇文章，微信领取红包）                  3 提交你的ID截图如果遇到需要填邀请码的情况请填：zrb3013493严正声明：我从后台可以直接审核你提交的数据，所以提交虚假稿件、未完成要求的稿件毫无意义，不要浪费大家的时间，认认真真做好任务，收获赏金才是正确的做法，这款APP与你平时试用过的有很大不同，不需要任何技术和时间，每天抽出时间玩一玩，月入过千很轻松。更多赚钱任务：http://www.epwk.com/task/622385/,任务编号：630830,o5b38f2861d133,o5b393cbca0fc3,马丁路德岳,o5b3b0c2a6cc88,平平凡人,o5b3c98fbe2fd1,o5b3c634141591,o5b3f367b5b869,小朱加油,莱莱1358,B任务编号：630830,游戏代练
【游戏代练】金牌任务 50一稿，简单试玩 新手必做,https://task.epwk.com/618984/,5977人,15人,¥500,三只鹅,500.0,,2018-05-28,"大家注意做聚享游任务中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），都是免费：需要手把手教的进群48 017 5100首次注册3元+试玩奖励20元+赏金50共83元。（注意一定是首次注册）任务步骤和要求：                                     1.  注册地址 https://www.juxiangyou.com/floor/recom/7914874   （复制浏览器打开此链接，按照提示完善资料，奖励1元）                                                                    2. 新人任务，完善完善资料，3元到手（可提）3.在试玩游戏，竞猜赚钱，体验广告赚钱、理财赚钱。。。。。等任何方式免费赚钱（注意：手机APP的任务不算）  ，当您赚够30万U币（网站虚拟币，相当于30RMB），就可以获得50RMB,交稿后我赏金给50，一共83元。交稿：余额显示为30万U币（相当于赚30RMB可提）以上即可，然后交稿我再给50，共83请收藏该网站长期做每天80-300不等",任务编号：618984,,,,,,,,,,,B任务编号：618984,游戏代练
【游戏其他】高额悬赏 网站体验任务 简单适合新手完成,https://task.epwk.com/615108/,7010人,14人,"¥1,250",mf53c75c33df3a0,1250.0,￥15,2018-05-17,这个任务适合喜欢泡在网上的朋友，随便体验下游戏，打打牌，网站就会给你钱下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409（复制此链接到浏览器打开）任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你的余额（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得的U币还可以在网站兑换成5元现金，至此10元到手。提示：网站新上线的福利任务不错，你可以去试试，做好了更新奖励需要2~3天。刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有四年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！PS:附送一个读新闻可以赚钱的APP，扫描附件二维码即可下载,任务编号：615108,高级黑,"个人 |            
            品质至上",qq328861937,,,,,,,,B任务编号：615108,游戏其他
【游戏其他】简单游戏试玩，新手必做，70元一稿,https://task.epwk.com/613738/,7645人,20人,"¥2,100",十年信誉,2100.0,￥280,2018-05-14,"大家注意做任务的网站中： 试玩平台这两个个项目，快的话，几分钟就能完成了（注意手机类的不算），首次赏金70元加上网站30元，共100元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址：http://www.juxiangyou.com/floor/recom/15172221（复制浏览器打开此链接，按照提示完善资料，奖励1元，不是本链接进入注册的请重新在本链接里面注册才能合格）                                                                           3. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够30万U币（网站虚拟币，相当于30元），就可以获得30元,交稿后我赏金给70，一共100元。本网站可以收藏后长期做，在网站免费赚钱，做的好的每天300元交稿：余额显示为30万U币（相当于赚30元可提）以上即可，然后交稿我再给70，共100本平台可长期赚钱，做的好每天在平台免费赚80-500元不等，看个人的熟练程度，本平台完全免费，可以让好朋友或者家人也来做任务，提交几个家人账号的合格截图都能得到奖金",任务编号：613738,Renneli,o5b1380e692a1f,伤心的老头666,逍遥周,,,,,,,B任务编号：613738,游戏其他
【APP开发】APP下载，试玩，单件5元,https://task.epwk.com/613425/,1586人,0人,¥500,微雨石蓝,500.0,,2018-05-13,"1手机软件商店下载趣头条
2在趣头条～我的～输入邀请码，填写A127076665
3在趣头条～我的～右上角设置图标～完善资料～绑定微信
4添加TP17665487209为微信好友，备注称呼
5连续三天有效阅读三篇新闻
6三天完成以上，我这里显示当前收益显示8元，既任务完成，如图所示
7完成一件，金额5元",任务编号：613425,,,,,,,,,,,B任务编号：613425,APP开发
【测试服务】客户端软件兼容性注册测试，5元一稿,https://task.epwk.com/610399/,3809人,11人,¥500,G游戏平台,500.0,￥40,2018-05-05,"平台客户端,在Windows系统下，兼容性、可用性测试。测试步骤如下：1、下载任一适合你电脑系统对应的安装包，并在电脑上安装成功；（win7系统：https://rggspackage.blob.core.chinacloudapi.cn/game/qudao2/Channel16/Win7/OGPInstaller.exe； win10系统：https://rggspackage.blob.core.chinacloudapi.cn/game/qudao2/Channel16/Win10/OGPInstaller.exe）2、手机号注册（虚拟手机号码无效），并任意登录平台内一款游戏，5秒钟即可退出。交稿：提供手机号加登录密码即可，无需截图。注：同一台电脑只能注册一次，网吧不行。   统一密码设置：test20180504一个一品id限参与交稿一次。",任务编号：610399,classtic,o5ac47e0a418c8,"个人 |            
            钟大大的工作室","工作室 |            
            鑫鑫~科技",o5ab9dde99607c,bigbun,yuewu,ling137388408,,,B任务编号：610399,测试服务
【游戏代练】玩游戏，高额悬赏70元一稿，新手必做,https://task.epwk.com/607291/,7224人,25人,"¥3,500",十年信誉,3500.0,￥910,2018-04-26,"大家注意做任务的网站中： 试玩平台这两个个项目，快的话，几分钟就能完成了（注意手机类的不算），首次赏金70元加上网站30元，共100元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址：http://www.juxiangyou.com/floor/recom/15172221（复制浏览器打开此链接，按照提示完善资料，奖励1元，不是本链接进入注册的请重新在本链接里面注册才能合格）                                                                           3. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够30万U币（网站虚拟币，相当于30元），就可以获得30元,交稿后我赏金给70，一共100元。本网站可以收藏后长期做，在网站免费赚钱，做的好的每天300元交稿：余额显示为30万U币（相当于赚30元可提）以上即可，然后交稿我再给70，共100本平台可长期赚钱，做的好每天在平台免费赚80-500元不等，看个人的熟练程度，本平台完全免费，可以让好朋友或者家人也来做任务，提交几个家人账号的合格截图都能得到奖金",任务编号：607291,o5add71b5e8033,o5abb267e451e9,yuyuan19,s584462069,dreamozilla,leofser,"个人 |            
            取向狙击",leofser,o5aee9fde50fcf,o5af9785b2aed0,B任务编号：607291,游戏代练
【游戏其他】简单游戏试玩，新手必做，70元一稿,https://task.epwk.com/597471/,18683人,17人,"¥1,400",十年信誉,1400.0,￥210,2018-04-01,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），首次赏金70元加上网站30元，共100元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址：http://www.juxiangyou.com/floor/recom/15172221（复制浏览器打开此链接，按照提示完善资料，奖励1元，不是本链接进入注册的请重新在本链接里面注册才能合格）                                                                           3. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够30万U币（网站虚拟币，相当于30元），就可以获得30元,交稿后我赏金给70，一共100元。本网站可以收藏后长期做，在网站免费赚钱，做的好的每天300元交稿：余额显示为30万U币（相当于赚30元可提）以上即可，然后交稿我再给70，共100本平台可长期赚钱，做的好每天在平台免费赚80-500元不等，看个人的熟练程度，本平台完全免费，可以让好朋友或者家人也来做任务，提交几个家人账号的合格截图都能得到奖金",任务编号：597471,"工作室 |            
            鑫鑫~科技",诚星开发,韩叮铃,,,,,,,,B任务编号：597471,游戏其他
【游戏代练】网站游戏体验赚钱，60元一单，电脑手机都可做,https://task.epwk.com/588150/,34973人,22人,"¥1,800",十年信誉,1800.0,￥480,2018-03-08,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），首次赏金60加上网站30，共90元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址：http://www.juxiangyou.com/floor/recom/15172221（复制浏览器打开此链接，按照提示完善资料，奖励1元，不是本链接进入注册的请重新在本链接里面注册才能合格）                                                                           3. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够30万U币（网站虚拟币，相当于30RMB），就可以获得30RMB,交稿后我赏金给60，一共90元。本网站可以收藏后长期做，在网站免费赚钱，做的好的每天300元交稿：余额显示为30万U币（相当于赚30RMB）以上即可，然后交稿我再给60，共90本平台可长期赚钱，做的好每天在平台免费赚80-500元不等，看个人的熟练程度，本平台完全免费",任务编号：588150,恋佳颜1,七号路艺设,o5aab21fb825af,rcwby,o5aadfff4027ac,D_Lin,夜静天明,leofser,,,B任务编号：588150,游戏代练
