标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【语音识别】需要快速识别通用语言的功能,https://task.epwk.com/1116490/,286人,1人,¥10000,圆满完成,语音识别,k2938****5,实现对普通话、英语等常见语言的高精准识别，能准确转化各种日常对话、会议发言等语音内容，识别准确率达 98% 以上，对不同口音、语速有良好适应性，降低错误率，为语音转文字记录、智能语音交互等提供坚实基础。,2025-01-07,2025.01.20,任务编号：1116490,10000.0,7天,河北-石家庄市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】3D数字人开发,https://task.epwk.com/1093427/,728人,1人,¥13000,圆满完成,其他人工智能,jueban123,1. 项目背景在数字化、智能化的大趋势下，3D数字人作为一种新兴的交互方式，能够在各种场景中提供沉浸式的用户体验。本项目的目标是开发一款具备高级交互能力的3D数字人，以增强用户互动体验，并应用于展厅、教育、医疗等多个领域。2. 项目目标- 实现与用户的自然语言实时对话。- 预设两个标准动作以增加互动趣味性。- 构建并维护一个强大的知识库以支持智能问答。- 利用安卓设备进行图片采集和处理。- 通过语音指令驱动3D数字人的动作和知识库查询。3. 功能需求详细说明3.1 实时对话功能3.1.1 语音识别- 支持多轮对话，无需重复唤醒。- 普通话语音识别准确率达到≥95%。3.1.2 语义理解- 能够理解用户的意图，并进行适当的回应。- 支持上下文理解，保持对话的连贯性。- 具备情感识别能力，根据用户情绪调整回应方式。3.2 预设动作1.跳舞动作- 设计舞蹈动作，能够跟随音乐节奏。- 动作平滑自然，符合人类舞蹈习惯。2.挥手动作- 设计挥手动作的挥手问候。- 动作执行迅速，无延迟感。3.3 知识库3.3.1 知识库构建- 包含至少1000条常见问题及专业答案。- 答案准确、全面，来源可靠。3.3.2 知识库维护- 提供后台管理系统，便于知识库的更新和扩展。- 支持批量导入导出功能。3.4 图像识别与语音驱动3.4.1 图像采集- 安卓设备集成摄像头，支持高清拍照。- 拍照界面友好，操作简便。3.4.2 语音驱动- 用户通过语音对话，语音回复时同步控制3D数字人的口型。- 支持语音指令查询知识库，并返回语音答案。4. 技术要求详细说明- 3D建模技术：使用Blender或Unity3D等软件进行高精度建模。- 语音识别技术：采用科大讯飞、百度等成熟的语音识别API。- 知识库问答技术：基于LLM大语言模型的知识库问答系统。- 系统兼容性：确保系统在Android 8.0及以上版本稳定运行。,2024-10-09,2024.11.26,任务编号：1093427,13000.0,30天,山东省-青岛市,海创博达,https://shop.epwk.com/2j5jjgowz5pz/,海创博达,出售服务,https://shop.epwk.com/2j5jjgowz5pz/chushou/,企业,四品,64分,总 7 次中标，交易总金额,￥2.96万,海创博达,,电商平台（单商户、多商户）,"￥5000
            /起",自助洗车小程序开发,"￥5000
            /起",UI界面设计App小程序H5设计平面设计,价格面议,智能外勤人员管理系统智慧外勤平台,"￥100000
            /起",智慧铁路货运系统平台,"￥100000
            /起",健康管理小程序,"￥10000
            /起",互联网医疗远程问诊App小程序智慧问诊,"￥10000
            /起",APP小程序H5网站开发,"￥10000
            /起",,
【图像识别】图像识别软件开发二期,https://task.epwk.com/1066347/,273人,1人,¥25000,圆满完成,图像识别,水上景色,图像识别软件开发二期，已和威客谈好合作。,2023-12-08,2023.12.08,任务编号：1066347,25000.0,1天,江苏省-南京市,唐图网络科技有限公司,https://shop.epwk.com/zqdpll0z9n1v/,唐图网络科技有限公司,出售服务,https://shop.epwk.com/zqdpll0z9n1v/chushou/,企业,一品,55分,,,唐图网络科技有限公司,,智能家居类APP定制开发,"￥158000
            /次",WIFI类APP定制开发/APP开发定制,价格面议,检测工具类APP定制开发,价格面议,通讯信息类APP定制开发,"￥18000
            /次",蓝牙控制类APP定制开发,价格面议,出行类APP定制开发,"￥68000
            /次",WIFI类APP定制开发,价格面议,体育运动类APP定制开发/APP定制,价格面议,,
【图像识别】图像识别软件开发一期,https://task.epwk.com/1066346/,136人,1人,¥15000,圆满完成,图像识别,水上景色,图像识别软件开发一期，已和威客谈好合作。,2023-12-08,2023.12.08,任务编号：1066346,15000.0,1天,江苏省-南京市,唐图网络科技有限公司,https://shop.epwk.com/zqdpll0z9n1v/,唐图网络科技有限公司,出售服务,https://shop.epwk.com/zqdpll0z9n1v/chushou/,企业,一品,55分,,,唐图网络科技有限公司,,智能家居类APP定制开发,"￥158000
            /次",WIFI类APP定制开发/APP开发定制,价格面议,检测工具类APP定制开发,价格面议,通讯信息类APP定制开发,"￥18000
            /次",蓝牙控制类APP定制开发,价格面议,出行类APP定制开发,"￥68000
            /次",WIFI类APP定制开发,价格面议,体育运动类APP定制开发/APP定制,价格面议,,
【图像识别】使用华为Atlas边缘计算平台首付款,https://task.epwk.com/1066288/,98人,1人,¥15000,圆满完成,图像识别,vitorru,称呼:杨先生地区:广东深圳需求:项目拟采用华为Atlas DK200系列进行人体行为的识别，具体包括抽烟、打电话、打架、跌倒等。主要采用的是骨骼提取后使用人体骨架进行分类识别，计算需求一路视频即可，项目提供硬件。,2023-12-07,2023.12.07,任务编号：1066288,15000.0,30天,北京市-北京市,灵耘AI,https://shop.epwk.com/zqdpl2kxpn1v/,灵耘AI,出售服务,https://shop.epwk.com/zqdpl2kxpn1v/chushou/,企业,五品,64分,总 1 次中标，交易总金额,￥1.43万,灵耘AI,,业务系统开发,"￥10000
            /套",算法应用开发,"￥10000
            /套",,,,,,,,,,,,,,
【数据存储】对长截图的图片进行切片分类存储,https://task.epwk.com/1061773/,274人,1人,¥12000,圆满完成,数据存储,丞相xseQp,我们对多多买菜上面的产品进行长截图，然后把图片进行切片处理，然后存储做出数据库，方便查询,2023-10-26,2023.11.10,任务编号：1061773,12000.0,10天,广东省-广州市,广州召隆信息技术有限公司,https://shop.epwk.com/p05qjwogydev/,广州召隆信息技术有限公司,出售服务,https://shop.epwk.com/p05qjwogydev/chushou/,企业,一品,60分,总 13 次中标，交易总金额,￥17.14万,广州召隆信息技术有限公司,,可视化移动端模板,"￥30000
            /套",自动化表单系统,"￥30000
            /起",人力派遣管理系统,"￥30000
            /起",线上商城系统,"￥30000
            /套",年度KPI考核，党建双评签字系统,￥6666,OA管理系统,"￥6666
            /套",EDA视频学习平台,"￥6800
            /起",全自动洗车系统,"￥9800
            /套",城管查违控违管理平台,"￥10000
            /起"
【多媒体AI】AI智能纠错,https://task.epwk.com/1050131/,320人,1人,¥27200,圆满完成,多媒体AI,k9388****15,"项目:AI智能纠错称呼:王女士地区:苏州市,苏州市需求:https://haokan.baidu.com/v?pd=wisenatural&vid=6920231395468669160  根据这个链接来做功能需求，需要做过前端 OCR+RPA +AI智能纠错的服务商联系，需要有源码完成时间:越快越好预算:具体详聊备注：微信手机同号",2023-07-19,2023.07.20,任务编号：1050131,27200.0,62天,湖南省-湘潭市,湖南众智互联,https://shop.epwk.com/81n41g8mynp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【人脸识别】百度人脸识别SDK识别程序,https://task.epwk.com/1038608/,537人,1人,¥800,圆满完成,人脸识别,lxg1658,利用百度人脸识别SDK(或其他SDK)开发人脸识别程序，只在后台运行可以不用界面。我提供数据库。后附流程图,2023-04-27,2023.05.15,任务编号：1038608,800.0,1天,北京市-北京市-昌平区,和若科技,https://shop.epwk.com/0jnekv2lynv3/,和若科技,出售服务,https://shop.epwk.com/0jnekv2lynv3/chushou/,企业,三品,42分,,,和若科技,,手机/PC等多端APP软件开发,"￥2000
            /日",后台服务开发,"￥2000
            /日",小程序开发服务,"￥1500
            /日",VR游戏，课件等开发,"￥2000
            /日",,,,,,,,,,
【其他人工智能】App脚本自动化,https://task.epwk.com/1037042/,337人,1人,¥1300,圆满完成,其他人工智能,威赞1IE8P,详情加微信联系。,2023-04-15,2023.05.15,任务编号：1037042,1000.0,5天,福建省-泉州市,小小菜网络,https://shop.epwk.com/9w56e1l96dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】知识产权相关新闻网站采集,https://task.epwk.com/1025301/,612人,1人,¥2500,圆满完成,数据采集,o592ba50e8a87a,知识产权相关公开新闻网站三个模块的采集按照要求解析入库,2022-12-18,2023.02.12,任务编号：1025301,2500.0,7天,江苏省-无锡市-惠山区,空然工作室,https://shop.epwk.com/p05qj84qrdev/,空然工作室,出售服务,https://shop.epwk.com/p05qj84qrdev/chushou/,工作室,四品,57分,,,空然工作室,,,,,,,,,,,,,,,,,,,
【数据采集】爬取上市公司年报,https://task.epwk.com/1022320/,1650人,1人,¥200,圆满完成,数据采集,铸威AfdHR,需要跟另一人合作完成。完成之后需要接受30分钟左右的访谈,2022-11-19,2022.11.26,任务编号：1022320,200.0,1天,浙江省-杭州市,o63025e334f946,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】手动收集医院网址,https://task.epwk.com/1021210/,686人,2人,¥200,圆满完成,数据采集,威友GFBSd,给定医院名称，到春雨医生网站找到对应医院网址即可，0.3元/条,2022-11-09,2022.11.11,任务编号：1021210,200.0,"7天,1天","广东省-江门市-蓬江区,山西省-太原市-晋源区",创梦科技工作室,https://shop.epwk.com/j7n38qowo5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】爬取微博信息,https://task.epwk.com/1020642/,1688人,1人,¥300,圆满完成,数据采集,铸威AfdHR,爬取上市公司高管的个人微博信息，关注列表，发布的内容和评论等等,2022-11-04,2022.11.11,任务编号：1020642,300.0,1天,湖北省-武汉市,武汉动阅科技有限公司,https://shop.epwk.com/7lngqgkq3dmr/,武汉动阅科技有限公司,出售服务,https://shop.epwk.com/7lngqgkq3dmr/chushou/,企业,六品,44分,,,武汉动阅科技有限公司,,服务 - 网站建设,价格面议,服务 - 系统开发,价格面议,服务 - 小程序开发,价格面议,服务 - APP开发,价格面议,服务 - 定制开发,价格面议,服务 - 逆向工程,价格面议,,,,,,
【数据采集】生鲜电商平台数据采集,https://task.epwk.com/1019903/,1545人,1人,¥300,圆满完成,数据采集,E企航7MWPr,想找一个熟悉数据采集的朋友，能够帮忙采集生鲜电商平台的网页数据。这是一个比较简单的数据采集任务。希望高手帮忙。提交物：1. 采集的数据：主要根据我们所给出的需求给出所采集的具体excle或者csv数据格式的文件。特别注意:a.数据采集可采用python或者java或者第三方采集工具，以上方法均可。b.具体的采集需求需要进一步沟通。c.采集任务比较简单。如果有不清楚的地方，随时联系。谢谢。,2022-10-30,2022.11.07,任务编号：1019903,300.0,7天,广东省-江门市-蓬江区,创梦科技工作室,https://shop.epwk.com/j7n38qowo5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】水位视觉识别自动观读,https://task.epwk.com/982186/,4009人,2人,¥800,圆满完成,图像识别,o61ea26d8479fa,水面位置识读：玻璃管子里一个10mm高度范围的固定区域，水位在此区间随机变化，用固定相机获取照片输入电脑，AI技术识别水面线，判断位置并获得水位读数，0.1mm精度，低采样率（分钟级别），提交源代码,2022-02-15,2022.03.13,任务编号：982186,800.0,5天,重庆市-市辖区,泾县云顶文化传媒有限公司,https://shop.epwk.com/j7n38q01e5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】以一个字段为id向一个数据库的字段里的空值插入数据,https://task.epwk.com/972472/,2980人,1人,¥400,圆满完成,数据处理,优觅K1mu5,用导出的数据，以一个字段为id向一个数据库的字段里的空值插入数据， 和以一个字段为id 修改一个字段下的值为0，内网需要指导完成，你给语句我实施,2021-12-01,2021.12.10,任务编号：972472,400.0,1天,江苏省-南京市,南京领尚信息科技有限公司,https://shop.epwk.com/j7n38qml35e1/,南京领尚信息科技有限公司,出售服务,https://shop.epwk.com/j7n38qml35e1/chushou/,企业,四品,114分,,,南京领尚信息科技有限公司,,,,,,,,,,,,,,,,,,,
【数据采集】百度爱采购商家信息采集,https://task.epwk.com/951510/,1842人,2人,¥1500,圆满完成,数据采集,o60959bf885035,百度爱采购商家信息采集，需要电话号码，区域，关键词筛选的等公开信息,2021-08-23,2021.09.24,任务编号：951510,1500.0,"5天,14天","北京市-北京市-房山区,广东省-深圳市",北京万比邻科技,https://shop.epwk.com/89dvgxv0kdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】网站采集整理数据,https://task.epwk.com/927793/,5295人,2人,¥5000,圆满完成,数据采集,o58a84c4386f4e,采集目标为中国商标网，有防采集机制，有采集经验或者相关技术能力的接任务，具体的详细信息请联系QQ或者微信了解，,2021-04-03,2021.07.02,任务编号：927793,5000.0,"20天,7天","山东省-临沂市-兰山区,河北省-石家庄市-裕华区",微企邦网络科技,https://shop.epwk.com/89dvgvk24dl2/,微企邦网络科技,出售服务,https://shop.epwk.com/89dvgvk24dl2/chushou/,企业,五品,37分,,,微企邦网络科技,,,,,,,,,,,,,,,,,,,
【数据采集】自动抓取网页开奖数据,https://task.epwk.com/921567/,3065人,3人,¥1000,圆满完成,数据采集,o60389e9e4659e,项目:自动抓取网页开奖数据称呼:黄先生地区:不限需求:自动抓取网页开奖数据，保存到txt，保存最新的1000期数据就可以了，超过1000期，就删掉多余的期数,2021-03-01,2021.03.07,任务编号：921567,1000.0,"5天,1天","四川省-成都市-青羊区,湖北省-武汉市-青山区",蓬方洲软件开发工作室,https://shop.epwk.com/9w56eql87dv1/,蓬方洲软件开发工作室,出售服务,https://shop.epwk.com/9w56eql87dv1/chushou/,工作室,七品,36分,,,蓬方洲软件开发工作室,,,,,,,,,,,,,,,,,,,
【其他人工智能】刷脸考勤、支付的软件开发,https://task.epwk.com/811547/,1146人,1人,¥5000,圆满完成,其他人工智能,o5dc96c831739f,1，需要开发一款刷脸考勤、支付的软件，和线下设备结合起来2，要求必须提供案例。没有案例的服务商，请不要打扰。3，具体需求加微信详聊。,2019-11-11,2019.11.13,任务编号：811547,5000.0,1天,湖南省-长沙市,湖南鑫强科技有限公司,https://shop.epwk.com/j7n38ov1e5e1/,湖南鑫强科技有限公司,出售服务,https://shop.epwk.com/j7n38ov1e5e1/chushou/,企业,四品,40分,,,湖南鑫强科技有限公司,,点餐系统,"￥10000
            /起",汽车维修保养,"￥10000
            /起",后台管理系统,"￥10000
            /起",企业ERP系统,"￥10000
            /起",企业CRM系统,"￥10000
            /起",供应链管理系统,"￥10000
            /起",企业OA系统,"￥10000
            /起",网站建设,"￥5000
            /起",,
【数据采集】网站的数据，会python的,https://task.epwk.com/786829/,5472人,4人,¥500,圆满完成,数据采集,o5c66c064b8b8b,网站的数据，会python的，数据成功再通过api发布至我的网站！由于api入库接口我不是很清楚需要你找！后端是php程序，最好懂php！方便找入库的api接口！,2019-08-25,2019.08.31,任务编号：786829,500.0,"5天,1天,1天,3天","江西省-赣州市-章贡区,四川省-成都市-武侯区,湖北省-武汉市,山东省-济南市-历下区",华夏太和,https://shop.epwk.com/9w56erv4kdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】做一个QQ信息采集软件,https://task.epwk.com/779740/,3160人,3人,¥500,圆满完成,数据采集,同八字网,做一个界面简洁的QQ个人信息采集软件，要求在输入指定范围QQ号码，比如100000000~100200000，能够自动采集QQ个人信息中的性别、出生年月日、城市，但没有出生年月日信息的不采集，最后导出Excel表格，每条信息一行。,2019-08-06,2019.08.08,任务编号：779740,500.0,"5天,20天","北京市-北京市,北京市-北京市",北京万比邻科技,https://shop.epwk.com/89dvgxv0kdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】已有代码，重新更改数据采集网址，处理好链接关系,https://task.epwk.com/775575/,2779人,3人,¥280,圆满完成,数据采集,o5c6b723ddddc3,开发工具：Visual Studio 2015  程序语言：C#已有代码，重新更改数据抓取网址，处理好链接关系，处理好。,2019-07-24,2019.08.09,任务编号：775575,200.0,"3天,2天","湖北省-武汉市-武昌区,湖北省-武汉市",武汉两点半网络技术有限公司,https://shop.epwk.com/2j5jj12325pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】网站数据采集统计,https://task.epwk.com/770736/,3219人,6人,¥300,圆满完成,数据采集,o5d231b3e5ed81,网站数据采集统计，公开的信息。具体可以详谈！,2019-07-12,2019.07.14,任务编号：770736,300.0,"1天,1天,1天,1天,3天,300天","北京市-北京市-东城区,广东省-湛江市-吴川市,河南省-郑州市-市辖区,重庆市-重庆市-渝北区,四川省-成都市-双流县,北京市-北京市-顺义区",莱悦科技工作室,https://shop.epwk.com/4rn8q3exwngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】需要无人机清晰图片5000张,https://task.epwk.com/770536/,3650人,1人,¥100,圆满完成,数据采集,o59636f292b161,需要无人机清晰图片5000张，无人机所在区域的背景为纯色或接近纯色，类似附件中的样子。要求无人机图片覆盖市面上绝大部分的机型外观，图片不得出现大量重复内容，无人机水平和仰视的角度多一些，俯视少一些。可以有矢量图分辨率不低于400x400,2019-07-11,2019.07.22,任务编号：770536,100.0,2天,湖南省-长沙市-长沙县,dyq666,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】共享充电宝小程序开发一期,https://task.epwk.com/758844/,3004人,1人,¥9600,圆满完成,数据采集,o5b989407eb59b,共享充电宝 小程序开发 已谈好合作勿扰,2019-06-12,2019.06.12,任务编号：758844,9600.0,5天,广东省-深圳市,深圳云鹊科技有限公司,https://shop.epwk.com/v0n1xx1r057y/,深圳云鹊科技有限公司,出售服务,https://shop.epwk.com/v0n1xx1r057y/chushou/,企业,一品,64分,总 21 次中标，交易总金额,￥24.15万,深圳云鹊科技有限公司,,便利店远程值守云值守系统软硬件方案 无人有人可切换,价格面议,重力柜售货机/生鲜售卖机软硬件系统方案出售定制,价格面议,视觉无人售货机，自动识别行为识别售卖机软硬件方案,价格面议,自助鲜米机胚芽米碾米机大米自助售卖物联网软硬件方案,价格面议,无人自助洗车机软硬件方案定制开发,价格面议,深圳小程序开发APP开发定制公司,价格面议,医院共享陪护床/共享轮椅方案开发定制 NB锁/蓝牙锁,价格面议,共享泡泡车方案开发定制,价格面议,共享乒乓球发球机物联网方案开发定制,价格面议
【数据采集】族谱网站数据采集,https://task.epwk.com/749025/,3450人,6人,¥1000,圆满完成,数据采集,o5ce1****6379c,族谱格式定制，有做过的可联系，用我们族谱网站数据生成欧式格式，欧式格式需要从上到下，从右到左排列，父子关系要明确，按照老族谱格式排版，具体需求双方沟通,2019-05-19,2019.05.27,任务编号：749025,1000.0,"3天,5天,3天,1天,3天","安徽省-合肥市-肥西县,四川省-成都市-武侯区,北京市-北京市-通州区,河北省-廊坊市-三河市,湖南省-长沙市-岳麓区",云铭科技,https://shop.epwk.com/7lngqx7o8dmr/,云铭科技,出售服务,https://shop.epwk.com/7lngqx7o8dmr/chushou/,企业,一品,68分,,,云铭科技,,库存管理系统,"￥10000
            /套",订单管理系统,"￥100000
            /套",立式终端平台,"￥30000
            /件",人脸识别技术服务,"￥50000
            /件",,,,,,,,,,
【数据采集】平台数据采集,https://task.epwk.com/732360/,3524人,6人,¥3000,圆满完成,数据采集,o5c1339db5d20c,平台数据采集，生成excel.应该需要变换IP地址爬取,2019-04-09,2019.04.15,任务编号：732360,3000.0,"7天,7天,2天","天津市-市辖区,四川省-成都市-武侯区,湖南省-长沙市-岳麓区",博妍科技,https://shop.epwk.com/p05qjev91dev/,博妍科技,出售服务,https://shop.epwk.com/p05qjev91dev/chushou/,个人,一品,63分,,,博妍科技,,Logo设计UI设计平面设计效果图设计,"￥500
            /页",分销商城三级分销系统直销系统定制开发混合开发原声开发ios开发android开发定制开发,"￥500
            /日",微信开发微信公众号微信商城开发微信小程序定制开发,"￥500
            /日",社交家政跑腿上门服务新闻资讯在线教育求职培训视频直播聊天社交即时通讯APP软件开发,"￥500
            /日",网站开发网站建设企业网站开发网站制作网站设计公司官网定制开发,"￥500
            /日",,,,,,,,
【数据采集】需要提取阿里巴巴商品数据链接,https://task.epwk.com/728844/,2624人,1人,¥3000,圆满完成,数据采集,o5c9cac5b4858b,所提取的数据为网站公开数据,2019-03-31,2019.04.08,任务编号：728844,3000.0,15天,四川省-成都市,专业数据采集服务,https://shop.epwk.com/v0n1xo0m257y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】数据导入软件处理,https://task.epwk.com/727393/,4234人,21人,¥500,圆满完成,数据采集,o5ae5b3d996f0b,数据导入软件，然后软件对进行记录，然后对记录符合要求的数据选择出来,2019-03-27,2019.04.15,任务编号：727393,500.0,"5天,5天,14天,3天,5天,2天,2天,5天,3天,3天,7天","四川省-成都市-青羊区,湖北省-武汉市,天津市-天津市-和平区,广东省-中山市-中山市,辽宁省-大连市,山东省-济南市,湖南省-张家界市-慈利县,广东省-深圳市-龙岗区,浙江省-宁波市-北仑区,云南省-昆明市-官渡区,四川省-成都市-武侯区",光辉岁月软件工作室,https://shop.epwk.com/m7d7w96gy5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
