标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【彩页设计】杂志设计,https://task.epwk.com/978944/,289人,1人,"¥7,680",圆满完成,,杂志设计,直接雇佣￥ 7680,￥ 7680,任务编号：978944,0-88.csv,,,,"杂志设计, 版式设计, 内容编排"
【园林设计】旧厂区改造别墅小区,https://task.epwk.com/979008/,288人,1人,"¥1,700",圆满完成,,旧厂区改造别墅小区,直接雇佣￥ 1700,￥ 1700,任务编号：979008,0-88.csv,,,,"旧厂区改造, 别墅小区"
【软件UI设计】社交类软件UI设计,https://task.epwk.com/979042/,511人,1人,"¥1,800",圆满完成,,社交类软件UI设计,直接雇佣￥ 1800,￥ 1800,任务编号：979042,0-88.csv,,,,"社交软件, UI设计"
【APP开发】环保现场检查app安卓端开发--一期,https://task.epwk.com/979296/,326人,1人,"¥25,200",圆满完成,,环保现场检查app安卓端开发--一期,直接雇佣￥ 25200,￥ 25200,任务编号：979296,0-88.csv,,,,"环保现场检查, 安卓应用, 一期开发"
【企业官网】哈哈哈哈,https://task.epwk.com/979447/,64600人,1人,¥10,圆满完成,,哈哈哈哈,直接雇佣￥ 10,￥ 10,任务编号：979447,0-88.csv,,,,哈哈
【其他软件开发】手游电商平台自动发布上架软件,https://task.epwk.com/979481/,563人,1人,¥800,圆满完成,,手游电商平台自动发布上架软件,直接雇佣￥ 800,￥ 800,任务编号：979481,0-88.csv,,,,"手游电商, 平台, 自动发布上架软件"
【企业官网】公众号后续改进维护,https://task.epwk.com/979673/,445人,1人,"¥2,000",圆满完成,,公众号后续改进维护,直接雇佣￥ 2000,￥ 2000,任务编号：979673,0-88.csv,,,,"微信公众号, 后续维护"
【软件UI设计】大屏设计,https://task.epwk.com/979722/,348人,1人,"¥1,000",圆满完成,,大屏设计,直接雇佣￥ 1000,￥ 1000,任务编号：979722,0-88.csv,,,,大屏设计
【微信开发】小程序开发,https://task.epwk.com/979747/,375人,1人,"¥5,000",圆满完成,,小程序开发,直接雇佣￥ 5000,￥ 5000,任务编号：979747,0-88.csv,,,,小程序开发
【VI设计】餐馆VI设计,https://task.epwk.com/979839/,311人,1人,"¥8,500",圆满完成,,餐馆VI设计,直接雇佣￥ 8500,￥ 8500,任务编号：979839,0-88.csv,,,,餐馆VI设计
【LOGO设计】设计LOGO,https://task.epwk.com/979873/,258人,1人,"¥2,980",圆满完成,,设计LOGO,直接雇佣￥ 2980,￥ 2980,任务编号：979873,0-88.csv,,,,LOGO设计
【LOGO设计】LOGO颜色修改,https://task.epwk.com/979917/,430人,1人,¥11,圆满完成,,LOGO颜色修改,直接雇佣￥ 11,￥ 11,任务编号：979917,0-88.csv,,,,"LOGO颜色, 修改"
【动漫角色设计】元宇宙社交平台soul形象定制，人物捏脸,https://task.epwk.com/979952/,425人,1人,¥100,圆满完成,,元宇宙社交平台soul形象定制，人物捏脸,直接雇佣￥ 100,￥ 100,任务编号：979952,0-88.csv,,,,"人物捏脸, 形象定制"
【餐饮】点餐收银系统,https://task.epwk.com/979972/,398人,1人,"¥38,000",圆满完成,,点餐收银系统,直接雇佣￥ 38000,￥ 38000,任务编号：979972,0-88.csv,,,,"点餐系统, 收银系统"
【门户网站】万里书项目尾款,https://task.epwk.com/979998/,539人,1人,"¥1,800",圆满完成,,万里书项目尾款,直接雇佣￥ 1800,￥ 1800,任务编号：979998,0-88.csv,,,,"万里书项目, 尾款"
【LOGO设计】企业LOGO设计,https://task.epwk.com/980115/,327人,1人,¥600,圆满完成,,企业LOGO设计,直接雇佣￥ 600,￥ 600,任务编号：980115,0-88.csv,,,,"企业LOGO, 设计"
【门户网站】外贸网站开发尾款,https://task.epwk.com/980116/,495人,1人,"¥15,000",圆满完成,,外贸网站开发尾款,直接雇佣￥ 15000,￥ 15000,任务编号：980116,0-88.csv,,,,"外贸网站, 尾款"
【其他软件开发】wb128电商产品经理外包-王建3/3.,https://task.epwk.com/980187/,339人,1人,"¥10,000",圆满完成,,wb128电商产品经理外包-王建3/3.,直接雇佣￥ 10000,￥ 10000,任务编号：980187,0-88.csv,,,,"电商产品经理, 外包, 王建"
【企业宣传片】宣传片制作,https://task.epwk.com/980191/,406人,1人,"¥7,500",圆满完成,,宣传片制作,直接雇佣￥ 7500,￥ 7500,任务编号：980191,0-88.csv,,,,"宣传片, 制作"
【H5开发】软件开发,https://task.epwk.com/980312/,432人,1人,"¥8,000",圆满完成,,软件开发,直接雇佣￥ 8000,￥ 8000,任务编号：980312,0-88.csv,,,,软件开发
【产品外观设计】一个结构简单的效果图设计，申请专利用，黑白色,https://task.epwk.com/980389/,404人,1人,¥800,圆满完成,,一个结构简单的效果图设计，申请专利用，黑白色,直接雇佣￥ 800,￥ 800,任务编号：980389,0-88.csv,,,,"效果图设计, 专利申请, 黑白色"
【VI设计】大雁塔文化景区文创产品设计,https://task.epwk.com/980471/,488人,1人,"¥2,300",圆满完成,,大雁塔文化景区文创产品设计,直接雇佣￥ 2300,￥ 2300,任务编号：980471,0-88.csv,,,,"大雁塔文化景区, 文创产品设计"
【LOGO设计】logo设计,https://task.epwk.com/980547/,1085人,1人,¥100,工作中,,logo设计,直接雇佣￥ 100,￥ 100,任务编号：980547,0-88.csv,,,,logo设计
【网站二次开发】BUG修复,https://task.epwk.com/980638/,463人,1人,"¥2,200",圆满完成,,BUG修复,直接雇佣￥ 2200,￥ 2200,任务编号：980638,0-88.csv,,,,BUG修复
【其他软件开发】wb301中燃koc升级项目后端2/3,https://task.epwk.com/980696/,275人,1人,"¥12,500",圆满完成,,wb301中燃koc升级项目后端2/3,直接雇佣￥ 12500,￥ 12500,任务编号：980696,0-88.csv,,,,"中燃koc, 后端, 项目升级"
【其他管理软件】业务应用系统开发一期,https://task.epwk.com/980923/,1011人,1人,"¥25,000",圆满完成,,业务应用系统开发一期,直接雇佣￥ 25000,￥ 25000,任务编号：980923,0-88.csv,,,,"业务应用系统, 开发, 一期"
【APP开发】开发 > 软件开发 > APP开发,https://task.epwk.com/980989/,307人,1人,"¥1,000",圆满完成,,开发 > 软件开发 > APP开发,直接雇佣￥ 1000,￥ 1000,任务编号：980989,0-88.csv,,,,"APP开发, 软件开发"
【企业官网】开发后端连接前端,https://task.epwk.com/980993/,265人,1人,"¥8,500",圆满完成,,开发后端连接前端,直接雇佣￥ 8500,￥ 8500,任务编号：980993,0-88.csv,,,,"后端开发, 前端连接"
【企业官网】仿制网站,https://task.epwk.com/981016/,367人,1人,"¥1,500",圆满完成,,仿制网站,直接雇佣￥ 1500,￥ 1500,任务编号：981016,0-88.csv,,,,仿制网站
【H5设计】首页设计,https://task.epwk.com/981086/,347人,1人,¥800,圆满完成,,首页设计,直接雇佣￥ 800,￥ 800,任务编号：981086,0-88.csv,,,,首页设计
【排版设计】网站内页排版，2期项目,https://task.epwk.com/981087/,381人,1人,¥600,圆满完成,,网站内页排版，2期项目,直接雇佣￥ 600,￥ 600,任务编号：981087,0-88.csv,,,,"网站内页排版, 项目期"
【运维服务】1月技术服务费用,https://task.epwk.com/981181/,963人,1人,"¥39,999",圆满完成,,1月技术服务费用,直接雇佣￥ 39999,￥ 39999,任务编号：981181,0-88.csv,,,,"技术服务, 费用"
【运维服务】1月服务器运维服务1,https://task.epwk.com/981189/,780人,1人,"¥5,000",圆满完成,,1月服务器运维服务1,直接雇佣￥ 5000,￥ 5000,任务编号：981189,0-88.csv,,,,"服务器运维, 1月服务"
【运维服务】1月云服务器费用2,https://task.epwk.com/981190/,759人,1人,"¥9,999",圆满完成,,1月云服务器费用2,直接雇佣￥ 9999,￥ 9999,任务编号：981190,0-88.csv,,,,"云服务器, 费用"
【小程序开发】房产类商城,https://task.epwk.com/981277/,131人,1人,"¥5,000",圆满完成,,房产类商城,直接雇佣￥ 5000,￥ 5000,任务编号：981277,0-88.csv,,,,"房产商城, 商城设计, 房产交易"
【小程序开发】小程序二开,https://task.epwk.com/981399/,176人,1人,"¥2,500",圆满完成,,小程序二开,直接雇佣￥ 2500,￥ 2500,任务编号：981399,0-88.csv,,,,"小程序, 二次开发"
【LOGO设计】logo设计,https://task.epwk.com/981406/,190人,1人,¥150,圆满完成,,logo设计,直接雇佣￥ 150,￥ 150,任务编号：981406,0-88.csv,,,,logo设计
【排版设计】期刊排版设计,https://task.epwk.com/981483/,277人,1人,"¥7,500",圆满完成,,期刊排版设计,直接雇佣￥ 7500,￥ 7500,任务编号：981483,0-88.csv,,,,"期刊排版, 设计"
【专业代笔】负责APP推广，已经谈好,https://task.epwk.com/981622/,404人,1人,¥950,圆满完成,,负责APP推广，已经谈好,直接雇佣￥ 950,￥ 950,任务编号：981622,0-88.csv,,,,"APP推广, 谈好"
【LOGO设计】花卉公司商标设计,https://task.epwk.com/981706/,172人,1人,"¥4,950",圆满完成,,花卉公司商标设计,直接雇佣￥ 4950,￥ 4950,任务编号：981706,0-88.csv,,,,"花卉公司, 商标设计"
【其他软件开发】小工具制作,https://task.epwk.com/981716/,500人,1人,¥300,圆满完成,,小工具制作,直接雇佣￥ 300,￥ 300,任务编号：981716,0-88.csv,,,,"小工具, 制作"
【小程序开发】统一部署门店数据接驳传输,https://task.epwk.com/981757/,198人,1人,"¥16,400",圆满完成,,统一部署门店数据接驳传输,直接雇佣￥ 16400,￥ 16400,任务编号：981757,0-88.csv,,,,"门店数据, 接驳传输, 统一部署"
【画册设计】产品宣传画册,https://task.epwk.com/981763/,521人,1人,"¥5,120",圆满完成,,产品宣传画册,直接雇佣￥ 5120,￥ 5120,任务编号：981763,0-88.csv,,,,"产品宣传, 画册设计"
【嵌入式软件】嵌入式软件开发一期,https://task.epwk.com/981836/,529人,1人,"¥35,000",圆满完成,,嵌入式软件开发一期,直接雇佣￥ 35000,￥ 35000,任务编号：981836,0-88.csv,,,,"嵌入式软件, 软件开发"
【包装设计】沐浴香波,https://task.epwk.com/981934/,247人,1人,¥600,圆满完成,,沐浴香波,直接雇佣￥ 600,￥ 600,任务编号：981934,0-88.csv,,,,"沐浴, 香波"
【游戏建模】次世代,https://task.epwk.com/981947/,4671人,1人,¥500,圆满完成,,次世代,直接雇佣￥ 500,￥ 500,任务编号：981947,0-88.csv,,,,次世代
【排版设计】2022年2月刊排版设计,https://task.epwk.com/982021/,315人,1人,"¥6,528",圆满完成,,2022年2月刊排版设计,直接雇佣￥ 6528,￥ 6528,任务编号：982021,0-88.csv,,,,"2022年2月刊, 排版设计"
【海报设计】魔法表情,https://task.epwk.com/982032/,601人,1人,¥60,圆满完成,,魔法表情,直接雇佣￥ 60,￥ 60,任务编号：982032,0-88.csv,,,,魔法表情
【LOGO设计】LOGO设计,https://task.epwk.com/982075/,226人,1人,"¥2,880",圆满完成,,LOGO设计,直接雇佣￥ 2880,￥ 2880,任务编号：982075,0-88.csv,,,,LOGO设计
【APP开发】电气APP接口调用,https://task.epwk.com/982089/,202人,1人,"¥2,000",圆满完成,,电气APP接口调用,直接雇佣￥ 2000,￥ 2000,任务编号：982089,0-88.csv,,,,"电气APP, 接口调用"
【其他网站】[网站定制]教育网站,https://task.epwk.com/982170/,517人,1人,"¥30,000",圆满完成,,[网站定制]教育网站,直接雇佣￥ 30000,￥ 30000,任务编号：982170,0-88.csv,,,,"网站定制, 教育网站"
【商城建设】嵌入式软件开发二期,https://task.epwk.com/982180/,501人,1人,"¥25,000",圆满完成,,嵌入式软件开发二期,直接雇佣￥ 25000,￥ 25000,任务编号：982180,0-88.csv,,,,"嵌入式软件, 软件开发, 二期"
【排版设计】商务杂志排版设计,https://task.epwk.com/982297/,250人,1人,"¥12,288",圆满完成,,商务杂志排版设计,直接雇佣￥ 12288,￥ 12288,任务编号：982297,0-88.csv,,,,"商务杂志, 排版设计"
【书籍装帧】简约书籍设计,https://task.epwk.com/982393/,338人,1人,"¥1,920",圆满完成,,简约书籍设计,直接雇佣￥ 1920,￥ 1920,任务编号：982393,0-88.csv,,,,"书籍设计, 简约设计"
【企业官网】按要求设计和写前端,https://task.epwk.com/982400/,414人,1人,"¥1,800",圆满完成,,按要求设计和写前端,直接雇佣￥ 1800,￥ 1800,任务编号：982400,0-88.csv,,,,"前端设计, 前端开发"
【图像识别】软件开发,https://task.epwk.com/982409/,444人,1人,"¥3,500",圆满完成,,软件开发,直接雇佣￥ 3500,￥ 3500,任务编号：982409,0-88.csv,,,,软件开发
【包装设计】柠檬荷叶茶包装盒设计,https://task.epwk.com/982486/,288人,1人,¥500,圆满完成,,柠檬荷叶茶包装盒设计,直接雇佣￥ 500,￥ 500,任务编号：982486,0-88.csv,,,,"柠檬荷叶茶, 包装盒设计"
【商业建筑】网吧与电竞酒店,https://task.epwk.com/982496/,279人,1人,¥800,圆满完成,,网吧与电竞酒店,直接雇佣￥ 800,￥ 800,任务编号：982496,0-88.csv,,,,"网吧, 电竞酒店"
【展台展厅】办公用品木板台历外观设计,https://task.epwk.com/982643/,265人,1人,"¥1,000",圆满完成,,办公用品木板台历外观设计,直接雇佣￥ 1000,￥ 1000,任务编号：982643,0-88.csv,,,,"办公用品, 木板台历, 外观设计"
【LOGO设计】宣传画册编排设计,https://task.epwk.com/982709/,352人,1人,"¥6,400",圆满完成,,宣传画册编排设计,直接雇佣￥ 6400,￥ 6400,任务编号：982709,0-88.csv,,,,"宣传画册, 编排设计"
【APP开发】bug修改,https://task.epwk.com/982773/,722人,1人,¥800,圆满完成,,bug修改,直接雇佣￥ 800,￥ 800,任务编号：982773,0-88.csv,,,,bug修改
【企业官网】部署搭建修改绑定,https://task.epwk.com/982796/,294人,1人,"¥2,000",圆满完成,,部署搭建修改绑定,直接雇佣￥ 2000,￥ 2000,任务编号：982796,0-88.csv,,,,"部署搭建, 绑定修改"
【产品卖点】PC18智能喷涂机产品文案策划,https://task.epwk.com/982800/,507人,1人,¥300,圆满完成,,PC18智能喷涂机产品文案策划,直接雇佣￥ 300,￥ 300,任务编号：982800,0-88.csv,,,,"PC18智能喷涂机, 产品文案, 喷涂机"
【VI设计】服装品牌VI设计,https://task.epwk.com/982834/,295人,1人,"¥9,580",圆满完成,,服装品牌VI设计,直接雇佣￥ 9580,￥ 9580,任务编号：982834,0-88.csv,,,,"服装品牌, VI设计"
【软件UI设计】数字乡村数据大屏第二版设计,https://task.epwk.com/982994/,319人,1人,"¥1,000",圆满完成,,数字乡村数据大屏第二版设计,直接雇佣￥ 1000,￥ 1000,任务编号：982994,0-88.csv,,,,"数字乡村, 数据大屏, 第二版设计"
【APP开发】嵌入式软件开发三期,https://task.epwk.com/983005/,164人,1人,"¥15,000",圆满完成,,嵌入式软件开发三期,直接雇佣￥ 15000,￥ 15000,任务编号：983005,0-88.csv,,,,"嵌入式软件, 开发, 三期"
【APP开发】RFID功能的APP开发,https://task.epwk.com/983035/,271人,1人,"¥6,000",圆满完成,,RFID功能的APP开发,直接雇佣￥ 6000,￥ 6000,任务编号：983035,0-88.csv,,,,"RFID功能, APP开发"
【手机网站】微信 公众号里支付、分享、登录,https://task.epwk.com/983050/,337人,1人,"¥4,000",圆满完成,,微信 公众号里支付、分享、登录,直接雇佣￥ 4000,￥ 4000,任务编号：983050,0-88.csv,,,,"微信公众号, 支付, 分享, 登录"
【小程序开发】做个工具类小程序,https://task.epwk.com/983071/,350人,1人,¥500,圆满完成,,做个工具类小程序,直接雇佣￥ 500,￥ 500,任务编号：983071,0-88.csv,,,,工具类小程序
【其他软件开发】脚本开发,https://task.epwk.com/983141/,272人,1人,"¥4,500",圆满完成,,脚本开发,直接雇佣￥ 4500,￥ 4500,任务编号：983141,0-88.csv,,,,脚本开发
【采集工具】京东-京任务电话采集软件,https://task.epwk.com/983142/,222人,1人,"¥4,000",圆满完成,,京东-京任务电话采集软件,直接雇佣￥ 4000,￥ 4000,任务编号：983142,0-88.csv,,,,"京东任务, 电话采集, 软件"
【定制开发】网站商城定制开发,https://task.epwk.com/983214/,449人,1人,"¥40,000",圆满完成,,网站商城定制开发,直接雇佣￥ 40000,￥ 40000,任务编号：983214,0-88.csv,,,,"网站商城, 定制开发"
【施工图设计】简中式装修设计效果（动态）,https://task.epwk.com/983238/,779人,1人,¥800,圆满完成,,简中式装修设计效果（动态）,直接雇佣￥ 800,￥ 800,任务编号：983238,0-88.csv,,,,"简中式装修, 动态设计"
【APP开发】WB222 3期BUG修复2/2,https://task.epwk.com/983428/,198人,1人,"¥15,000",圆满完成,,WB222 3期BUG修复2/2,直接雇佣￥ 15000,￥ 15000,任务编号：983428,0-88.csv,,,,"WB222, BUG修复, 3期"
【APP开发】wb210直播模块开发第三期,https://task.epwk.com/983430/,226人,1人,"¥15,000",圆满完成,,wb210直播模块开发第三期,直接雇佣￥ 15000,￥ 15000,任务编号：983430,0-88.csv,,,,"开发, 第三期"
【品牌策划】公司品牌营销方案,https://task.epwk.com/983496/,234人,1人,¥980,圆满完成,,公司品牌营销方案,直接雇佣￥ 980,￥ 980,任务编号：983496,0-88.csv,,,,"公司品牌, 品牌营销, 营销方案"
【英语】视频脚本中文内容翻译成英文,https://task.epwk.com/983743/,272人,1人,¥220,圆满完成,,视频脚本中文内容翻译成英文,直接雇佣￥ 220,￥ 220,任务编号：983743,0-88.csv,,,,"视频脚本, 中文翻译, 英文翻译"
【APP开发】VMware Santos 安装 scp,https://task.epwk.com/983818/,407人,1人,¥500,圆满完成,,VMware Santos 安装 scp,直接雇佣￥ 500,￥ 500,任务编号：983818,0-88.csv,,,,"VMware Santos, scp安装"
【APP开发】小程序源码开发,https://task.epwk.com/983870/,761人,1人,¥10,圆满完成,,小程序源码开发,直接雇佣￥ 10,￥ 10,任务编号：983870,0-88.csv,,,,"小程序源码, 开发"
【APP开发】休闲体育赛事资讯开发【一期】,https://task.epwk.com/983876/,229人,1人,"¥17,500",圆满完成,,休闲体育赛事资讯开发【一期】,直接雇佣￥ 17500,￥ 17500,任务编号：983876,0-88.csv,,,,"休闲体育, 赛事资讯, 一期开发"
【VI设计】微信小程序UI/UX设计,https://task.epwk.com/983885/,530人,1人,¥500,圆满完成,,微信小程序UI/UX设计,直接雇佣￥ 500,￥ 500,任务编号：983885,0-88.csv,,,,"微信小程序, UI设计, UX设计"
【礼品设计】魔法,https://task.epwk.com/983888/,403人,1人,¥90,圆满完成,,魔法,直接雇佣￥ 90,￥ 90,任务编号：983888,0-88.csv,,,,魔法
【小程序开发】商城小程序二开,https://task.epwk.com/983946/,122人,1人,"¥1,050",圆满完成,,商城小程序二开,直接雇佣￥ 1050,￥ 1050,任务编号：983946,0-88.csv,,,,"商城小程序, 二次开发"
【其他软件开发】无效链接检测,https://task.epwk.com/983947/,329人,1人,"¥4,200",圆满完成,,无效链接检测,直接雇佣￥ 4200,￥ 4200,任务编号：983947,0-88.csv,,,,"无效链接, 检测"
【其他软件开发】excel操作软件,https://task.epwk.com/984051/,1511人,1人,¥800,圆满完成,,excel操作软件,直接雇佣￥ 800,￥ 800,任务编号：984051,0-88.csv,,,,"excel操作, 软件使用"
【LOGO设计】动态logo设计海报名片公司企业标志产品商标品牌VI诊断,https://task.epwk.com/984169/,160人,1人,¥299,圆满完成,,动态logo设计海报名片公司企业标志产品商标品牌VI诊断,直接雇佣￥ 299,￥ 299,任务编号：984169,0-88.csv,,,,"动态logo, 企业标志, 品牌VI"
【LOGO设计】地方特产品牌LOGO设计,https://task.epwk.com/984184/,302人,1人,"¥5,000",圆满完成,,地方特产品牌LOGO设计,直接雇佣￥ 5000,￥ 5000,任务编号：984184,0-88.csv,,,,"地方特产, LOGO设计"
【彩页设计】一个宣传彩页,https://task.epwk.com/984356/,211人,1人,¥200,圆满完成,,一个宣传彩页,直接雇佣￥ 200,￥ 200,任务编号：984356,0-88.csv,,,,"宣传彩页, 宣传资料"
【APP开发】脚本软件开发,https://task.epwk.com/984506/,183人,1人,"¥1,500",圆满完成,,脚本软件开发,直接雇佣￥ 1500,￥ 1500,任务编号：984506,0-88.csv,,,,"脚本软件, 开发"
【彩页设计】月刊设计排版,https://task.epwk.com/984633/,215人,1人,"¥5,760",圆满完成,,月刊设计排版,直接雇佣￥ 5760,￥ 5760,任务编号：984633,0-88.csv,,,,"月刊, 设计, 排版"
【画册设计】产品画册设计,https://task.epwk.com/984833/,384人,1人,"¥6,912",圆满完成,,产品画册设计,直接雇佣￥ 6912,￥ 6912,任务编号：984833,0-88.csv,,,,"产品画册, 设计"
