标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,知识
【LOGO设计】App页面设计,https://task.epwk.com/325637/,219人,1人,"¥2,500",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,App页面设计,直接雇佣￥ 2500,￥ 2500,任务编号：325637,2900-3152.csv,,,,,,,,"App页面, 设计"
场景建筑设计5,https://task.epwk.com/325639/,142人,1人,"¥3,100",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,场景建筑设计5,直接雇佣￥ 3100,￥ 3100,任务编号：325639,2900-3152.csv,,,,,,,,"场景建筑, 设计"
连锁店铺设计效果图,https://task.epwk.com/325643/,120人,1人,¥800,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,连锁店铺设计效果图,直接雇佣￥ 800,￥ 800,任务编号：325643,2900-3152.csv,,,,,,,,"连锁店铺, 设计效果图"
【宣传册设计】润彩欣RCX商务电子公司宣传册,https://task.epwk.com/325645/,206人,1人,"¥4,800",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,润彩欣RCX商务电子公司宣传册,直接雇佣￥ 4800,￥ 4800,任务编号：325645,2900-3152.csv,,,,,,,,"润彩欣RCX, 商务电子公司, 宣传册"
羊年台历设计14P,https://task.epwk.com/325661/,143人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,羊年台历设计14P,直接雇佣￥ 4000,￥ 4000,任务编号：325661,2900-3152.csv,,,,,,,,"羊年台历, 设计, 14P"
电商网站设计,https://task.epwk.com/325674/,114人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,电商网站设计,直接雇佣￥ 1000,￥ 1000,任务编号：325674,2900-3152.csv,,,,,,,,"电商网站, 设计"
TLQ -logo及简单vi设计,https://task.epwk.com/325677/,179人,1人,"¥6,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,TLQ -logo及简单vi设计,直接雇佣￥ 6000,￥ 6000,任务编号：325677,2900-3152.csv,,,,,,,,"logo, vi设计"
【微信推广】微信营销需要大号帮忙转发谢谢,https://task.epwk.com/325692/,306人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,微信营销需要大号帮忙转发谢谢,直接雇佣￥ 3000,￥ 3000,任务编号：325692,2900-3152.csv,,,,,,,,"微信营销, 转发, 大号"
【产品推广】问答群做，内容需要你们帮我们整合,https://task.epwk.com/325694/,167人,1人,"¥11,885",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,问答群做，内容需要你们帮我们整合,直接雇佣￥ 11885,￥ 11885,任务编号：325694,2900-3152.csv,,,,,,,,"问答群, 内容整合"
【企业官网】XX电子商务公司社交旅游网站改版研发第一个任务,https://task.epwk.com/325697/,214人,1人,"¥8,400",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,XX电子商务公司社交旅游网站改版研发第一个任务,直接雇佣￥ 8400,￥ 8400,任务编号：325697,2900-3152.csv,,,,,,,,"电子商务公司, 社交旅游, 网站改版"
logo设计,https://task.epwk.com/325698/,239人,1人,¥180,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,logo设计,直接雇佣￥ 180,￥ 180,任务编号：325698,2900-3152.csv,,,,,,,,logo设计
【APP开发】官方商城开发增加小功能,https://task.epwk.com/325701/,337人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,官方商城开发增加小功能,直接雇佣￥ 2000,￥ 2000,任务编号：325701,2900-3152.csv,,,,,,,,"官方商城, 功能开发"
电子商务网站建设,https://task.epwk.com/325707/,112人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,电子商务网站建设,直接雇佣￥ 5000,￥ 5000,任务编号：325707,2900-3152.csv,,,,,,,,"电子商务网站, 网站建设"
识别手机各种浏览器 并跳转到不同的地址,https://task.epwk.com/325737/,188人,1人,¥200,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,识别手机各种浏览器 并跳转到不同的地址,直接雇佣￥ 200,￥ 200,任务编号：325737,2900-3152.csv,,,,,,,,"手机浏览器识别, 地址跳转"
【产品推广】指定类型门户论坛发帖顶帖,https://task.epwk.com/325738/,381人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,指定类型门户论坛发帖顶帖,直接雇佣￥ 4000,￥ 4000,任务编号：325738,2900-3152.csv,,,,,,,,"门户论坛, 发帖, 顶帖"
APP程序开发,https://task.epwk.com/325744/,242人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,APP程序开发,直接雇佣￥ 5000,￥ 5000,任务编号：325744,2900-3152.csv,,,,,,,,"APP开发, 程序设计"
【单身公寓设计】家装设计,https://task.epwk.com/325754/,355人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,家装设计,直接雇佣￥ 1000,￥ 1000,任务编号：325754,2900-3152.csv,,,,,,,,家装设计
【排版设计】书籍排版插图等,https://task.epwk.com/325772/,807人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,书籍排版插图等,直接雇佣￥ 2000,￥ 2000,任务编号：325772,2900-3152.csv,,,,,,,,"书籍排版, 插图设计"
广告片2-3分钟制作,https://task.epwk.com/325774/,425人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,广告片2-3分钟制作,直接雇佣￥ 1500,￥ 1500,任务编号：325774,2900-3152.csv,,,,,,,,"广告片, 制作"
企业VI设计,https://task.epwk.com/325776/,76人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,企业VI设计,直接雇佣￥ 10000,￥ 10000,任务编号：325776,2900-3152.csv,,,,,,,,企业VI设计
阿里旺铺首页装修设置，产品页面设置,https://task.epwk.com/325782/,740人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,阿里旺铺首页装修设置，产品页面设置,直接雇佣￥ 5000,￥ 5000,任务编号：325782,2900-3152.csv,,,,,,,,"阿里旺铺首页, 产品页面设置"
【LOGO设计】巴黎印象以名字为主的图形logo设计,https://task.epwk.com/325786/,275人,1人,¥100,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,巴黎印象以名字为主的图形logo设计,直接雇佣￥ 100,￥ 100,任务编号：325786,2900-3152.csv,,,,,,,,"巴黎印象, 图形logo, 名字设计"
【产品推广】www.wm927.com Alexa排名,https://task.epwk.com/325792/,409人,1人,¥320,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,www.wm927.com Alexa排名,直接雇佣￥ 320,￥ 320,任务编号：325792,2900-3152.csv,,,,,,,,"Alexa排名, 网站分析"
【微博营销】灰指甲类产品微博推广,https://task.epwk.com/325797/,429人,1人,¥150,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,灰指甲类产品微博推广,直接雇佣￥ 150,￥ 150,任务编号：325797,2900-3152.csv,,,,,,,,"灰指甲, 微博推广"
数据录入2期,https://task.epwk.com/325800/,874人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,数据录入2期,直接雇佣￥ 20000,￥ 20000,任务编号：325800,2900-3152.csv,,,,,,,,"数据录入, 二期"
【LOGO设计】威达兴建设集团Logo设计,https://task.epwk.com/325808/,195人,1人,"¥1,288",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,威达兴建设集团Logo设计,直接雇佣￥ 1288,￥ 1288,任务编号：325808,2900-3152.csv,,,,,,,,"威达兴建设, Logo设计"
厦门小吃餐厅logo和VI设计,https://task.epwk.com/325809/,439人,1人,¥500,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,厦门小吃餐厅logo和VI设计,直接雇佣￥ 500,￥ 500,任务编号：325809,2900-3152.csv,,,,,,,,"厦门小吃, logo, VI设计"
【其他软件开发】一夫公司系统OA与微店对账接口API的整合开发,https://task.epwk.com/325817/,245人,1人,"¥15,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,一夫公司系统OA与微店对账接口API的整合开发,直接雇佣￥ 15000,￥ 15000,任务编号：325817,2900-3152.csv,,,,,,,,"系统OA, 微店对账接口, API整合"
【APP开发】某大型机械交易平台网站内网邮件管理应用开发,https://task.epwk.com/325824/,249人,1人,"¥19,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,某大型机械交易平台网站内网邮件管理应用开发,直接雇佣￥ 19000,￥ 19000,任务编号：325824,2900-3152.csv,,,,,,,,"内网邮件管理, 机械交易平台, 应用开发"
【企业官网】第十一期合作,https://task.epwk.com/325836/,238人,1人,¥300,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,第十一期合作,直接雇佣￥ 300,￥ 300,任务编号：325836,2900-3152.csv,,,,,,,,"第十一期, 合作"
宣传海报设计,https://task.epwk.com/325842/,80人,1人,¥800,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,宣传海报设计,直接雇佣￥ 800,￥ 800,任务编号：325842,2900-3152.csv,,,,,,,,"宣传海报, 设计"
【电商网站】电商网站开发,https://task.epwk.com/325846/,213人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,电商网站开发,直接雇佣￥ 1000,￥ 1000,任务编号：325846,2900-3152.csv,,,,,,,,"电商网站, 网站开发"
【微信开发】微信公众平台代运营,https://task.epwk.com/325849/,423人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,微信公众平台代运营,直接雇佣￥ 4000,￥ 4000,任务编号：325849,2900-3152.csv,,,,,,,,"微信公众号, 代运营"
【微博营销】礼品网站微博推广新浪微博达人转发 3次,https://task.epwk.com/325855/,395人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,礼品网站微博推广新浪微博达人转发 3次,直接雇佣￥ 4000,￥ 4000,任务编号：325855,2900-3152.csv,,,,,,,,"礼品网站, 微博推广, 新浪微博达人"
【LOGO设计】华志科技logo设计,https://task.epwk.com/325874/,220人,1人,¥500,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,华志科技logo设计,直接雇佣￥ 500,￥ 500,任务编号：325874,2900-3152.csv,,,,,,,,"华志科技, logo设计"
【小程序开发】某机械加工网站微商支付接口开发,https://task.epwk.com/325879/,204人,1人,"¥13,500",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,某机械加工网站微商支付接口开发,直接雇佣￥ 13500,￥ 13500,任务编号：325879,2900-3152.csv,,,,,,,,"机械加工, 微商支付接口, 网站开发"
【嵌入式软件】某企业内网voip语音系统的设置方案和测试方案,https://task.epwk.com/325885/,1812人,1人,"¥11,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,某企业内网voip语音系统的设置方案和测试方案,直接雇佣￥ 11000,￥ 11000,任务编号：325885,2900-3152.csv,,,,,,,,"内网voip, 语音系统, 设置方案, 测试方案"
广告设计,https://task.epwk.com/325889/,137人,1人,"¥30,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,广告设计,直接雇佣￥ 30000,￥ 30000,任务编号：325889,2900-3152.csv,,,,,,,,广告设计
【电商网站】P2P网贷平台建设,https://task.epwk.com/325899/,388人,1人,"¥30,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,P2P网贷平台建设,直接雇佣￥ 30000,￥ 30000,任务编号：325899,2900-3152.csv,,,,,,,,"P2P网贷, 平台建设"
网站建设 佣兵007,https://task.epwk.com/325919/,253人,1人,"¥4,909",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,网站建设 佣兵007,直接雇佣￥ 4909,￥ 4909,任务编号：325919,2900-3152.csv,,,,,,,,"网站建设, 佣兵007"
画册设计,https://task.epwk.com/325928/,84人,1人,"¥3,500",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,画册设计,直接雇佣￥ 3500,￥ 3500,任务编号：325928,2900-3152.csv,,,,,,,,"画册, 设计"
一款电脑挂机软件,https://task.epwk.com/325931/,203人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,一款电脑挂机软件,直接雇佣￥ 1800,￥ 1800,任务编号：325931,2900-3152.csv,,,,,,,,"电脑挂机软件, 挂机软件"
【LOGO设计】Ellpa商务男袜包装设计,https://task.epwk.com/325948/,345人,1人,¥900,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,Ellpa商务男袜包装设计,直接雇佣￥ 900,￥ 900,任务编号：325948,2900-3152.csv,,,,,,,,"Ellpa, 商务男袜, 包装设计"
类似快的打车、嘀嘀打车的APP软件开发,https://task.epwk.com/325955/,194人,1人,"¥30,400",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,类似快的打车、嘀嘀打车的APP软件开发,直接雇佣￥ 30400,￥ 30400,任务编号：325955,2900-3152.csv,,,,,,,,"打车软件, APP开发, 实时定位"
微信开发公司网站功能的完善,https://task.epwk.com/325958/,162人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,微信开发公司网站功能的完善,直接雇佣￥ 2000,￥ 2000,任务编号：325958,2900-3152.csv,,,,,,,,"微信开发, 网站功能, 公司网站"
【LOGO设计】任务编号：321785 你参与的那个眉毛的作品,https://task.epwk.com/325960/,578人,1人,¥100,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,任务编号：321785 你参与的那个眉毛的作品,直接雇佣￥ 100,￥ 100,任务编号：325960,2900-3152.csv,,,,,,,,"眉毛, 作品"
【营销型网站】本地团购网开发,https://task.epwk.com/325973/,666人,1人,"¥3,500",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,本地团购网开发,直接雇佣￥ 3500,￥ 3500,任务编号：325973,2900-3152.csv,,,,,,,,"本地团购, 团购网开发"
【LOGO设计】企业站logo设计,https://task.epwk.com/325990/,250人,1人,¥500,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,企业站logo设计,直接雇佣￥ 500,￥ 500,任务编号：325990,2900-3152.csv,,,,,,,,"企业站, logo设计"
微信H5开发,https://task.epwk.com/325991/,368人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,微信H5开发,直接雇佣￥ 5000,￥ 5000,任务编号：325991,2900-3152.csv,,,,,,,,"微信H5, 开发"
网站首页设计,https://task.epwk.com/326024/,399人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,网站首页设计,直接雇佣￥ 1500,￥ 1500,任务编号：326024,2900-3152.csv,,,,,,,,"网站首页, 设计"
软文发布,https://task.epwk.com/326033/,78人,1人,"¥5,011",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,软文发布,直接雇佣￥ 5011,￥ 5011,任务编号：326033,2900-3152.csv,,,,,,,,"软文, 发布"
【VI设计】LOGO及VI设计,https://task.epwk.com/326057/,181人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,LOGO及VI设计,直接雇佣￥ 2000,￥ 2000,任务编号：326057,2900-3152.csv,,,,,,,,"LOGO, VI设计"
【产品外观设计】设计一款LED灯具,https://task.epwk.com/326060/,1452人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,设计一款LED灯具,直接雇佣￥ 5000,￥ 5000,任务编号：326060,2900-3152.csv,,,,,,,,"LED灯具, 设计"
小区项目页面设计,https://task.epwk.com/326070/,148人,1人,"¥9,500",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,小区项目页面设计,直接雇佣￥ 9500,￥ 9500,任务编号：326070,2900-3152.csv,,,,,,,,"小区项目, 页面设计"
网站UI设计,https://task.epwk.com/326084/,227人,1人,¥150,圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,网站UI设计,直接雇佣￥ 150,￥ 150,任务编号：326084,2900-3152.csv,,,,,,,,"网站UI, 设计"
网站UI设计,https://task.epwk.com/326085/,442人,1人,¥150,圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,网站UI设计,直接雇佣￥ 150,￥ 150,任务编号：326085,2900-3152.csv,,,,,,,,"网站UI, 设计"
手绘屏保,https://task.epwk.com/326092/,128人,1人,¥300,圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,手绘屏保,直接雇佣￥ 300,￥ 300,任务编号：326092,2900-3152.csv,,,,,,,,"手绘, 屏保"
【手机网站】手机官网的开发和设计,https://task.epwk.com/326093/,370人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,手机官网的开发和设计,直接雇佣￥ 2000,￥ 2000,任务编号：326093,2900-3152.csv,,,,,,,,"手机官网, 开发, 设计"
【VI设计】VI设计,https://task.epwk.com/326094/,171人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,VI设计,直接雇佣￥ 3000,￥ 3000,任务编号：326094,2900-3152.csv,,,,,,,,VI设计
整站HTML切图,https://task.epwk.com/326102/,136人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,整站HTML切图,直接雇佣￥ 5000,￥ 5000,任务编号：326102,2900-3152.csv,,,,,,,,"整站HTML, 切图"
商城程序开发,https://task.epwk.com/326103/,146人,1人,"¥30,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,商城程序开发,直接雇佣￥ 30000,￥ 30000,任务编号：326103,2900-3152.csv,,,,,,,,"商城程序, 开发"
商标设计 商标注册,https://task.epwk.com/326104/,152人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,商标设计 商标注册,直接雇佣￥ 1800,￥ 1800,任务编号：326104,2900-3152.csv,,,,,,,,"商标设计, 商标注册"
【营销型网站】团购网站制作,https://task.epwk.com/326108/,420人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,团购网站制作,直接雇佣￥ 3000,￥ 3000,任务编号：326108,2900-3152.csv,,,,,,,,"团购网站, 网站制作"
APP设计开发二期,https://task.epwk.com/326121/,153人,1人,"¥32,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,APP设计开发二期,直接雇佣￥ 32000,￥ 32000,任务编号：326121,2900-3152.csv,,,,,,,,"APP设计, 开发, 二期"
威化饼包装设计（一期）,https://task.epwk.com/326127/,105人,1人,"¥2,300",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,威化饼包装设计（一期）,直接雇佣￥ 2300,￥ 2300,任务编号：326127,2900-3152.csv,,,,,,,,"威化饼, 包装设计"
手机APP开发,https://task.epwk.com/326135/,119人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,手机APP开发,直接雇佣￥ 20000,￥ 20000,任务编号：326135,2900-3152.csv,,,,,,,,"手机APP, 开发"
做一个购物网站的VI及LOGO,https://task.epwk.com/326144/,87人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,做一个购物网站的VI及LOGO,直接雇佣￥ 5000,￥ 5000,任务编号：326144,2900-3152.csv,,,,,,,,"购物网站, VI设计, LOGO"
【产品外观设计】磨机外观设计/显示器外观设计,https://task.epwk.com/326157/,1658人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,磨机外观设计/显示器外观设计,直接雇佣￥ 5000,￥ 5000,任务编号：326157,2900-3152.csv,,,,,,,,"磨机外观设计, 显示器外观设计"
商城压力测试,https://task.epwk.com/326159/,202人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,商城压力测试,直接雇佣￥ 3000,￥ 3000,任务编号：326159,2900-3152.csv,,,,,,,,商城压力测试
数据录入1,https://task.epwk.com/326160/,209人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,数据录入1,直接雇佣￥ 10000,￥ 10000,任务编号：326160,2900-3152.csv,,,,,,,,数据录入
开发一个交易平台,https://task.epwk.com/326164/,111人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,开发一个交易平台,直接雇佣￥ 5000,￥ 5000,任务编号：326164,2900-3152.csv,,,,,,,,"交易平台, 开发"
"需制作一个聊天软件,功能大体和京东的京东咚咚淘宝的阿里旺旺一样的手机端，支持手机，微信模式",https://task.epwk.com/326169/,291人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,"需制作一个聊天软件,功能大体和京东的京东咚咚淘宝的阿里旺旺一样的手机端，支持手机，微信模式",直接雇佣￥ 5000,￥ 5000,任务编号：326169,2900-3152.csv,,,,,,,,"聊天软件, 京东咚咚, 阿里旺旺, 微信模式"
餐饮推广海报设计,https://task.epwk.com/326170/,229人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,餐饮推广海报设计,直接雇佣￥ 2000,￥ 2000,任务编号：326170,2900-3152.csv,,,,,,,,"餐饮推广, 海报设计"
【企业官网】企业网站修改,https://task.epwk.com/326172/,209人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,企业网站修改,直接雇佣￥ 2000,￥ 2000,任务编号：326172,2900-3152.csv,,,,,,,,"企业网站, 修改"
【卡通形象设计】卡通猴子头枕设计,https://task.epwk.com/326174/,293人,1人,¥600,圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,卡通猴子头枕设计,直接雇佣￥ 600,￥ 600,任务编号：326174,2900-3152.csv,,,,,,,,"卡通猴子, 头枕设计"
【包装设计】“cc鱼”零食包装,https://task.epwk.com/326175/,265人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,“cc鱼”零食包装,直接雇佣￥ 2000,￥ 2000,任务编号：326175,2900-3152.csv,,,,,,,,"零食包装, cc鱼"
清洁能源LOGO设计,https://task.epwk.com/326176/,178人,1人,¥100,圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,清洁能源LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：326176,2900-3152.csv,,,,,,,,"清洁能源, LOGO设计"
文档排版,https://task.epwk.com/326181/,98人,1人,¥400,圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,文档排版,直接雇佣￥ 400,￥ 400,任务编号：326181,2900-3152.csv,,,,,,,,文档排版
微信公共账号开发,https://task.epwk.com/326184/,164人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,微信公共账号开发,直接雇佣￥ 5000,￥ 5000,任务编号：326184,2900-3152.csv,,,,,,,,"微信公众号, 公众账号开发"
电视民生新闻栏目片头制作,https://task.epwk.com/326191/,434人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,电视民生新闻栏目片头制作,直接雇佣￥ 3000,￥ 3000,任务编号：326191,2900-3152.csv,,,,,,,,"电视民生新闻, 栏目片头, 制作"
【微信推广】微信公众号整体营销外包,https://task.epwk.com/326207/,258人,1人,¥500,圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,微信公众号整体营销外包,直接雇佣￥ 500,￥ 500,任务编号：326207,2900-3152.csv,,,,,,,,"微信公众号, 整体营销, 外包"
【产品推广】百度,https://task.epwk.com/326217/,132人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3126.html?m=6&o=7,百度,直接雇佣￥ 3000,￥ 3000,任务编号：326217,2900-3152.csv,,,,,,,,百度
【数据录入】信息录入数据之370,https://task.epwk.com/326223/,735人,1人,¥290,圆满完成,https://task.epwk.com/page3125.html?m=6&o=7,信息录入数据之370,直接雇佣￥ 290,￥ 290,任务编号：326223,2900-3152.csv,,,,,,,,"信息录入, 数据录入"
数据录入,https://task.epwk.com/326225/,554人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3125.html?m=6&o=7,数据录入,直接雇佣￥ 10000,￥ 10000,任务编号：326225,2900-3152.csv,,,,,,,,数据录入
【数据录入】信息录入数据之371,https://task.epwk.com/326229/,175人,1人,"¥1,345",圆满完成,https://task.epwk.com/page3125.html?m=6&o=7,信息录入数据之371,直接雇佣￥ 1345,￥ 1345,任务编号：326229,2900-3152.csv,,,,,,,,"信息录入, 数据录入"
企业宣传展示,https://task.epwk.com/326240/,125人,1人,¥200,圆满完成,https://task.epwk.com/page3125.html?m=6&o=7,企业宣传展示,直接雇佣￥ 200,￥ 200,任务编号：326240,2900-3152.csv,,,,,,,,"企业宣传, 展示设计"
【小程序开发】某超市结算系统开发测试,https://task.epwk.com/326254/,134人,1人,"¥18,000",圆满完成,https://task.epwk.com/page3125.html?m=6&o=7,某超市结算系统开发测试,直接雇佣￥ 18000,￥ 18000,任务编号：326254,2900-3152.csv,,,,,,,,"超市结算系统, 开发测试"
【APP开发】某大型机械销售企业 会员管理安卓应用,https://task.epwk.com/326259/,165人,1人,"¥15,000",圆满完成,https://task.epwk.com/page3125.html?m=6&o=7,某大型机械销售企业 会员管理安卓应用,直接雇佣￥ 15000,￥ 15000,任务编号：326259,2900-3152.csv,,,,,,,,"会员管理, 安卓应用, 机械销售"
