标题,标题链接,查看数,参与数,需求价���,状态,需求方,需求文本,发布时间,完成时间,任务编号,赏金总额,参与交稿,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12
【LOGO设计】川跃郎LOGO设计,https://task.epwk.com/1115656/,3589人,28人,,圆满完成,o5a33062beba74,请结合图片设计“川跃郎”商标LOGO,2025.03.18,2025.04.01,任务编号：1115656,￥ 888,27,乔木个人工作室,https://shop.epwk.com/p05qj34krdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】神舟微科电子logo和VI设计,https://task.epwk.com/1114794/,5755人,38人,,圆满完成,chancing,"“神舟微科”电子，LOGO设计及简单应用 经营介绍：”神舟微科“电子是一家以生产制造并以品质为主的生产销售型企业，是用高端智能设备加前沿技术工艺制造的半导体精密电子元件，功率器件 ，IC集成电路。品质稳定，优良，明显区别其它友商。经营策略：持续发展，精益求精。VI应用内容：设计LOGO、工厂/公司招牌设计(竖排，横排)、画册、名片、信封、纸杯，员工胸牌/挂绳 ，服装设计。设计要求： 1、大气、简洁、有点精之笔;2、有视觉冲击力，醒目易识别，可结合神舟微科SZWK半导体元器件元素设计;3、能体现特色，LOGO有点精之笔，但如限制了设计师的创意，可按新思路。4、重要点，符合国外人的审美，见LOGO能产生对产品的品质信赖感，亲切感。4、附上创意说明。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。保证设计的LOGO可以注册！",2025.03.14,2025.04.07,任务编号：1114794,￥ 1000,47,一叶知秋CC设计,https://shop.epwk.com/0jnek3e1ynv3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】力克邦的中文英文相结合,https://task.epwk.com/1115520/,1279人,30人,,圆满完成,威链tNDka,"品牌名称是：力克邦
产品是：卷尺
要求中英文相结合，要把卷尺的产品特点表达出来",2025.03.17,2025.04.11,任务编号：1115520,￥ 600,42,雨夜设计工作室,https://shop.epwk.com/0jnekk26rnv3/,雨夜设计工作室,出售服务,https://shop.epwk.com/0jnekk26rnv3/chushou/,工作室,一品,68分,,,雨夜设计工作室,,高端logo设计,"￥1500
            /起",包装设计,"￥3000
            /起",VI设计,"￥8888
            /起",,,,,,,,,,,,
【LOGO设计】未来家园 LOGO 设计,https://task.epwk.com/1115212/,1269人,30人,,圆满完成,preipo2017,需求详见附件！,2025.03.16,2025.04.01,任务编号：1115212,￥ 600,47,隐士设计,https://shop.epwk.com/v0n1xpjqx57y/,隐士设计,出售服务,https://shop.epwk.com/v0n1xpjqx57y/chushou/,工作室,一品,55分,,,隐士设计,,海报设计,"￥3000
            /套",企业宣传册设计,"￥5000
            /套",包装设计,"￥5000
            /套",VIS设计（企业形象识别系统）,"￥5000
            /套",,,,,,,,,,
【LOGO设计】华顺科技logo和名片设计,https://task.epwk.com/1115085/,972人,32人,,圆满完成,创心K2cqw,深圳市华顺通达科技有限公司是是一家产品驱动型企业，明确提出“基于智能PC技术和软件定义技术实现工业智能化”。      公司以“工智机”为牵引，Automation为核心，及其他配套的产品组合，实现“PLC+工控机+运动控制器+边缘服务器”算控一体。企业服务对象工业智能制造集成方案设计与实施，包含：机构设计，电控设计，电控调试等一系列服务。为设备制造商提供更便捷，降低制造成本等一站式服务。企业涉及行业新能源/储能/光伏设备，显示器组装设备，3C/电机自动设备，部件组装整线设备，MES/CIM系统对接等。      企业品质与使命：以“品质至上，客户第一”为质量方针! 专心把技术服务整合，共赢发展!提供一站式服务围绕工业智能制造，代理一系列品质过硬，性价比高产品。为设备制造商提供便利外，进一步降本提高竞争力。深圳市华顺通达科技有限公司同时也是苏州伟创电气科技股份有限公司（股票代码688698）和深圳市汇川技术股份有限公司（股票代码300124）的产品代理商。    请根据以上内容，设计该公司logo和名片样式。,2025.03.15,2025.03.28,任务编号：1115085,￥ 600,41,沐风设计,https://shop.epwk.com/2j5jjj8v25pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】用 OP 两个字母设计普拉提工作室Logo,https://task.epwk.com/1114726/,993人,33人,,圆满完成,V企动力khPLu,（deepseek 回答）以下是为“OP”字母设计的普拉提工作室Logo样式推荐，结合了普拉提的运动特性、美学元素及搜索结果中的设计灵感：---### 1. 动态线条融合设计- 形态：将“O”设计为流畅的环形（象征普拉提的弹簧器械或人体运动轨迹），与“P”的曲线结合，形成类似人体伸展的动态线条。例如，P的尾部可延伸为柔和的波浪线，体现“力与美”的平衡。- 配色：采用网页1推荐的冷色调渐变（#66CFCA至#106162），增强视觉冲击力，或暖色原木色（#b7755e）贴近日式自然风格。- 应用：适合印刷在瑜伽垫、宣传单等物料上，简洁且具辨识度。---### 2. 极简几何抽象风格- 结构：以极简几何图形重构字母，例如将“O”简化为圆环，“P”以直线和半圆弧构成，结合负空间表现人体轮廓或器械（如弹簧）的抽象形态。- 细节：可添加微妙的阴影或渐变，突出立体感，契合普拉提的康复与塑形理念。- 配色：单色（深灰/墨绿）搭配浅色背景，或原木色与白色结合，传递专业与纯净感。---### 3. 自然元素结合设计- 灵感：参考网页1中提到的松树长青意象，将“OP”融入植物轮廓（如松枝、藤蔓），象征生命力与健康。- 执行：字母线条可模仿树枝的弯曲，或通过绿色渐变填充，与冷色调原木背景形成对比。- 适用场景：适合强调自然疗愈感的工作室，增强品牌亲和力。---### 4. 艺术手写体与动态符号- 字体：采用优雅的手写字体，突出“O”与“P”的连贯性，如连笔设计，体现芭蕾或艺术体操的柔美。- 点缀：在字母旁添加抽象符号（如波浪线、点状轨迹），模拟普拉提动作的流动感。- 配色：金色或浅灰色搭配透明背景，适用于高端会员卡设计。---### 5. 综合实用建议- 版权注意：若需商用，建议参考威客网（如网页5）定制原创设计，或确保素材来源合规（如昵图网需购买授权）。- 多场景测试：设计时需考虑Logo在不同材质（水杯、瑜伽砖）上的清晰度，优先矢量格式（如CDR、AI）。---以上方案可根据工作室定位（高端/自然/现代）选择调整。如需进一步细化，可结合具体品牌故事或用户调研优化细节。,2025.03.14,2025.03.29,任务编号：1114726,￥ 500,40,雨夜设计工作室,https://shop.epwk.com/0jnekk26rnv3/,雨夜设计工作室,出售服务,https://shop.epwk.com/0jnekk26rnv3/chushou/,工作室,一品,68分,,,雨夜设计工作室,,高端logo设计,"￥1500
            /起",包装设计,"￥3000
            /起",VI设计,"￥8888
            /起",,,,,,,,,,,,
【LOGO设计】LOGO设计修改优化,https://task.epwk.com/1114432/,1561人,47人,,圆满完成,jackyoung,请帮助调整优化第1个B字母图形，使其更美观协调精致，使B可以拿出来单独当作图标使用，同时也能与后面的ebe组合使用；对整体的字体进行适当优化，使其更协调；颜色不变。行业：箱包客户群体：欧美日韩等非常感谢！,2025.03.12,2025.03.25,任务编号：1114432,￥ 666,55,诸侯视觉,https://shop.epwk.com/j7n38rkve5e1/,诸侯视觉,出售服务,https://shop.epwk.com/j7n38rkve5e1/chushou/,工作室,一品,145分,,,诸侯视觉,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,
【宣传册设计】宣传册封面封底设计,https://task.epwk.com/1114328/,6162人,48人,,圆满完成,E企航DRjwr,请按附件宣传册重新设计一个封面和封底（尺寸：A4纸大小），要求简洁，美观，大方。logo源文件见附件：耀信塑料科技.zip,2025.03.12,2025.03.21,任务编号：1114328,￥ 1300,55,双士广告,https://shop.epwk.com/9w56e4kgwdv1/,双士广告,出售服务,https://shop.epwk.com/9w56e4kgwdv1/chushou/,工作室,七品,40分,,,双士广告,,名片设计，会员卡设计，pvc卡设计,"￥500
            /次",平面设计、广告设计 、酒标设计、活动策划、详情页设计店铺装修,价格面议,,,,,,,,,,,,,,
【LOGO设计】汽车配件logo设计,https://task.epwk.com/1113820/,988人,30人,,圆满完成,多财多亿,1、名字：佳力卓。主要做汽车配件，生产底盘、转向动力钢、伸缩轴等。2、简约大气，符合行业特点，易被人接受。,2025.03.10,2025.03.28,任务编号：1113820,￥ 500,42,深圳非凡设计工作室,https://shop.epwk.com/78dljyqv65lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】设计一个食品logo,https://task.epwk.com/1113147/,2274人,48人,,圆满完成,优品汇BLoUD,设计对象：蔬小鲜设计食品品牌logo设计要求：logo能够体现绿色健康的蔬食情况下且富有禅意，有食欲需要写明设计概念,2025.03.07,2025.04.06,任务编号：1113147,￥ 500,59,隐士设计,https://shop.epwk.com/v0n1xpjqx57y/,隐士设计,出售服务,https://shop.epwk.com/v0n1xpjqx57y/chushou/,工作室,一品,55分,,,隐士设计,,海报设计,"￥3000
            /套",企业宣传册设计,"￥5000
            /套",包装设计,"￥5000
            /套",VIS设计（企业形象识别系统）,"￥5000
            /套",,,,,,,,,,
【会员卡设计】家政公司门店尊享服务卡+券一整套设计，设计风格要一致,https://task.epwk.com/1112261/,958人,10人,,圆满完成,V领7TaeO,设计元素：门窗保洁主题：门窗精洁｜品牌赋能门店尊享服务卡/券支付99☞尊享999元（99元是预约金二维码，999元是卡/券代表金额）门店尊享服务卡使用须知：1、本卡以服务卡号为依据，不找零、不挂失;2、本卡服务范围为广佛区域内使用;3、本卡激活后，所有服务均须提前7日预约;4、本卡激活时，请扫码联系客服微信或电话，完成预约流程;5、本卡扫码支付预约金后，须联系客服，发支付截图，将业主信息提交系统建档，方能预约成功;6、本卡须有店面盖章、签章，方能生效使用;7、本卡只能使用一次，请悉知;卡/券放置两个二维码：一个收款码，一个咨询码（可暂用替代）尺寸大小：卡85.554mm，券16070mm设计源文件，原字体，一定可修改或编辑的文件格式：1，AI2，CDR3，PSD4，PNG5，PDF各一份，源文件能编辑,2025.03.04,2025.03.22,任务编号：1112261,￥ 400,15,三鱼创意,https://shop.epwk.com/78n96r4rznkv/,三鱼创意,出售服务,https://shop.epwk.com/78n96r4rznkv/chushou/,个人,八品,53分,总 4 次中标，交易总金额,￥413.25,三鱼创意,,品牌包装设计,"￥1999
            /起",LOGO设计,"￥1999
            /起",,,,,,,,,,,,,,
【LOGO设计】广源精密制造有限公司logo设计,https://task.epwk.com/1111993/,715人,27人,,圆满完成,优源汇客rdJB6,"新能源电池的结构件，设计个公司logo。名称：广源精密制造有限公司 。也可以结合英文设计，设计师可自由发挥。知识产权说明：1、所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2025.03.03,2025.03.17,任务编号：1111993,￥ 500,40,侠道视觉,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】肥料公司设计logo,https://task.epwk.com/1111919/,1842人,39人,,圆满完成,威你所思zeCGI,我公司名字叫：青岛莱科生物科技有限公司，莱科谐音Like，销售的产品叫海藻肥，logo的配色想用绿色-代表环保无公害，蓝色代表天空，金色代表太阳，想要的感觉是农作物喜欢我的肥料，客户因为农作物长得好，也很开心。我之前想过一个样子，想着一个农夫的样子，手捧一株涨势很好的幼苗，满脸笑容。也想过，Like英文变形，做一个标识。如果您有更好的想法，欢迎投稿。,2025.03.03,2025.03.13,任务编号：1111919,￥ 800,50,Fu设计,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【产品外观设计】""健康评估垫""坐垫实体和外套设计",https://task.epwk.com/1111549/,542人,5人,,圆满完成,威品堂HgtDq,一、坐垫实体部分的设计，材质可以用布、皮和其他等，外观体现物品价值超万元：上部层：海绵垫335mm304mm50mm中间层：“健康评估垫”核心部分尺寸330mm299mm8mm下部层：塑料模板335mm304mm16mm（中间下凹，放置“健康评估垫”核心部分）二、坐垫外套的设计：坐垫外套相当于枕套的概念，材质布材类，便于水洗，尺寸355mm324mm70mm，绣或喷印文字：大数据云服务，家庭健康随时 “掌” 控！,2025.03.01,2025.03.24,任务编号：1111549,￥ 1200,5,风驰广告影视,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【LOGO设计】""聚团美""中文logo设计",https://task.epwk.com/1111547/,4323人,69人,,圆满完成,运筹威幄wL6dH,"“聚团美”中文logo，需可注册商标，中文已注册（拼音jutuanmei)主要经营：“聚团美”是一家健康产品品牌，初期以售卖牙线/漱口水等口腔健康产品，后续会拓展到健身，玩具等大健康品类 ，是以品牌管理运营，线上线下全渠道运营为主要业务，产品主要功能健康为主导全套健康解决方案。设计要求：1、聚团美虽然初期是口腔健康为主，但设计LOGO不用局限于使用牙齿口腔元素，首先能通过【美观 清爽大气 】为主，只要好看漂亮就行，可以用采用任何元素（主色调建议为颜色较深的蓝色 中文 中文+背景图形 中文+图形 中文+拼音 ）；2、LOGO最好是使用“聚团美”中文为主要元素进行设计，简洁大气（后续会拓展到多品类应用，不要太花哨）  3、能体现辨识度，易于传播，中文商标已经申请注册通过，美化设计后会进行二次注册，可以充分发挥。4、附上创意说明，（字体需要永久可商用可注册原创字体）。5. 一旦被采用除了提供聚团美LOGO，还需要提供一份和“聚团美”同一字体风格的中文“聚美牙线”几个字作为宣传使用。知识产权说明：1、所设计的作品应为原创，LOGO未在国家商标局注册过，为第一次发布，未侵犯他人著作权；如有侵犯他人著作权，由设计者承担所有法律责任。2、如被采用，设计方必须提供以上要求设计作品完整的方案，包括各种矢量图形源文件和所用到的字体，以方便进行修改完善和印刷（JPG黑白 彩色 PNG彩色图片 )。3、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。4、设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。设计作品一经采用，所有权、修改权和使用权均由本公司所有，设计者不得再在其他任何地方使用该作品，否则构成侵权，本公司保留依法追究设计方法律责任的权利。5、征集结果公布后，未采用的作品即可自行处理。6、参加此设计任务者被视为同意以上所有声明。附件仅提供思考方向",2025.03.01,2025.03.23,任务编号：1111547,￥ 1500,76,深圳非凡设计工作室,https://shop.epwk.com/78dljyqv65lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】火锅底料包装设计,https://task.epwk.com/1111427/,5580人,9人,,圆满完成,合业手7KCx8,"火锅底料包装设计要求：1、火锅底料包装做4个口味：清油，牛油，番茄，酸菜 2、每个口味配好看的照片图片（不要插画），看起来就想吃的诱人感觉。3、背面开窗透明（能看见里面的材料）4、国际范、简洁大气、有设计感。5、见参考，也可以另外的思路。名字：正伊食品，另外一个LOGO只用图形颜色：根据不同口味搭配颜色。文字：具体文字见之前包装，文案可以润色。火锅底料高原辣椒平凉牛油清 真净含量:150g图片仅供参考,请以实物为准内包尺寸：13.5宽x15.5高cm纸箱尺寸：18宽x21.5高x12.5厚cm背面文字：见之前包装根据火锅底料风格，延展麻辣拌做2个口味：麻辣、番茄 （袋装尺寸：18x18cm，可以用异形：比如火锅的造型。）不可抄袭，一定避免版权。",2025.02.28,2025.03.17,任务编号：1111427,￥ 1000,6,文创设计工作室,https://shop.epwk.com/7g5ykwy96n0q/,文创设计工作室,出售服务,https://shop.epwk.com/7g5ykwy96n0q/chushou/,个人,七品,39分,,,文创设计工作室,,插画设计/海报插画/包装插画,价格面议,IP卡通形象设计,价格面议,包装设计/文创设计,价格面议,,,,,,,,,,,,
【产品外观设计】夜灯外观设计,https://task.epwk.com/1111388/,1034人,21人,,圆满完成,创时空4zmjS,需要一款蛋黄夜灯，不需要建模，外观图片就可以，图片仅供参考,2025.02.28,2025.03.27,任务编号：1111388,￥ 300,26,V领YyswJ,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
