标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,,,
【APP开发】企业数字化管理平台,https://task.epwk.com/1104621/,181人,1人,"¥26,600",圆满完成,,企业数字化管理平台,直接雇佣￥ 26600,￥ 26600,任务编号：1104621,0-88.csv,,,,
【手机网站】手机网站修改,https://task.epwk.com/1104934/,12人,1人,"¥1,118",圆满完成,,手机网站修改,直接雇佣￥ 1118,￥ 1118,任务编号：1104934,0-88.csv,,,,
【门户网站】网站BUG处理,https://task.epwk.com/1104935/,17人,1人,¥650,圆满完成,,网站BUG处理,直接雇佣￥ 650,￥ 650,任务编号：1104935,0-88.csv,,,,
【电商】shopee请求体分析,https://task.epwk.com/1104951/,27人,1人,"¥3,500",圆满完成,,shopee请求体分析,直接雇佣￥ 3500,￥ 3500,任务编号：1104951,0-88.csv,,,,
【定制开发】手机端网页定制开发,https://task.epwk.com/1105099/,12人,1人,"¥3,800",圆满完成,,手机端网页定制开发,直接雇佣￥ 3800,￥ 3800,任务编号：1105099,0-88.csv,,,,
【APP开发】基于Flutter的平板点餐系统开发,https://task.epwk.com/1105153/,84人,1人,"¥12,000",圆满完成,,基于Flutter的平板点餐系统开发,直接雇佣￥ 12000,￥ 12000,任务编号：1105153,0-88.csv,,,,
【定制开发】网站源码开发。,https://task.epwk.com/1105185/,836人,1人,"¥5,294",圆满完成,,网站源码开发。,直接雇佣￥ 5294,￥ 5294,任务编号：1105185,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1106462/,31人,1人,"¥5,000",圆满完成,,app开发,直接雇佣￥ 5000,￥ 5000,任务编号：1106462,0-88.csv,,,,
【网站UI设计】法律咨询小程序用户端和律师端Ui设计,https://task.epwk.com/1106860/,57人,1人,"¥2,600",圆满完成,,法律咨询小程序用户端和律师端Ui设计,直接雇佣￥ 2600,￥ 2600,任务编号：1106860,0-88.csv,,,,
【定制开发】网站修改,https://task.epwk.com/1107185/,891人,1人,"¥3,080",圆满完成,,网站修改,直接雇佣￥ 3080,￥ 3080,任务编号：1107185,0-88.csv,,,,
【电话调查】车辆产品信息调查（新显示画面后一定时间内不接受输入）,https://task.epwk.com/1107426/,117人,1人,¥400,待验收,,车辆产品信息调查（新显示画面后一定时间内不接受输入）,直接雇佣￥ 400,￥ 400,任务编号：1107426,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1107768/,230人,1人,"¥3,000",圆满完成,,app开发,直接雇佣￥ 3000,￥ 3000,任务编号：1107768,0-88.csv,,,,
【3D建模】卡片机3d建模,https://task.epwk.com/1107851/,160人,1人,¥500,圆满完成,,卡片机3d建模,直接雇佣￥ 500,￥ 500,任务编号：1107851,0-88.csv,,,,
【其他软件开发】自助点餐系统开发（第1期）,https://task.epwk.com/1108265/,751人,1人,"¥2,000",圆满完成,,自助点餐系统开发（第1期）,直接雇佣￥ 2000,￥ 2000,任务编号：1108265,0-88.csv,,,,
【定制开发】网站二次修改。,https://task.epwk.com/1108626/,93人,1人,"¥1,974",圆满完成,,网站二次修改。,直接雇佣￥ 1974,￥ 1974,任务编号：1108626,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1108981/,25人,1人,¥500,圆满完成,,app开发,直接雇佣￥ 500,￥ 500,任务编号：1108981,0-88.csv,,,,
【小程序开发】新增,https://task.epwk.com/1109857/,1012人,1人,¥300,圆满完成,,新增,直接雇佣￥ 300,￥ 300,任务编号：1109857,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1110491/,14人,1人,¥500,圆满完成,,app开发,直接雇佣￥ 500,￥ 500,任务编号：1110491,0-88.csv,,,,
【H5开发】新增,https://task.epwk.com/1110557/,30人,1人,¥600,圆满完成,,新增,直接雇佣￥ 600,￥ 600,任务编号：1110557,0-88.csv,,,,
【3D建模】玩具3d建模,https://task.epwk.com/1110615/,518人,1人,"¥2,500",圆满完成,,玩具3d建模,直接雇佣￥ 2500,￥ 2500,任务编号：1110615,0-88.csv,,,,
【APP界面设计】APP小程序软件启动页引导页整套UI界面设计,https://task.epwk.com/1110616/,53人,1人,"¥1,500",圆满完成,,APP小程序软件启动页引导页整套UI界面设计,直接雇佣￥ 1500,￥ 1500,任务编号：1110616,0-88.csv,,,,
【后端开发】C++编写的工具，二期开发,https://task.epwk.com/1112246/,731人,1人,"¥2,800",待验收,,C++编写的工具，二期开发,直接雇佣￥ 2800,￥ 2800,任务编号：1112246,0-88.csv,,,,
【网站UI设计】系统的ui设计,https://task.epwk.com/1112424/,356人,1人,"¥5,000",圆满完成,,系统的ui设计,直接雇佣￥ 5000,￥ 5000,任务编号：1112424,0-88.csv,,,,
【APP开发】小程序定制,https://task.epwk.com/1112435/,302人,1人,"¥5,893",圆满完成,,小程序定制,直接雇佣￥ 5893,￥ 5893,任务编号：1112435,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1112449/,269人,1人,"¥1,000",圆满完成,,app开发,直接雇佣￥ 1000,￥ 1000,任务编号：1112449,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1112627/,3047人,1人,¥800,圆满完成,,app开发,直接雇佣￥ 800,￥ 800,任务编号：1112627,0-88.csv,,,,
【店铺装修】1688首页设计,https://task.epwk.com/1112868/,28人,1人,¥288,圆满完成,,1688首页设计,直接雇佣￥ 288,￥ 288,任务编号：1112868,0-88.csv,,,,
【小程序开发】开发一个小程序，有参考,https://task.epwk.com/1112911/,501人,1人,"¥4,000",圆满完成,,开发一个小程序，有参考,直接雇佣￥ 4000,￥ 4000,任务编号：1112911,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1113153/,2519人,1人,"¥1,300",圆满完成,,app开发,直接雇佣￥ 1300,￥ 1300,任务编号：1113153,0-88.csv,,,,
【企业官网】企业官网设计开发,https://task.epwk.com/1113192/,2412人,1人,"¥4,000",圆满完成,,企业官网设计开发,直接雇佣￥ 4000,￥ 4000,任务编号：1113192,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1113335/,2138人,1人,¥700,圆满完成,,app开发,直接雇佣￥ 700,￥ 700,任务编号：1113335,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1113555/,18人,1人,¥500,圆满完成,,app开发,直接雇佣￥ 500,￥ 500,任务编号：1113555,0-88.csv,,,,
【APP开发】实验室设备管理APP开发,https://task.epwk.com/1113680/,53人,1人,"¥8,800",圆满完成,,实验室设备管理APP开发,直接雇佣￥ 8800,￥ 8800,任务编号：1113680,0-88.csv,,,,
【其他软件开发】C#自助点餐系统开发（第2期）,https://task.epwk.com/1113833/,510人,1人,"¥12,000",待验收,,C#自助点餐系统开发（第2期）,直接雇佣￥ 12000,￥ 12000,任务编号：1113833,0-88.csv,,,,
【APP开发】APP,https://task.epwk.com/1113894/,12人,1人,¥500,圆满完成,,APP,直接雇佣￥ 500,￥ 500,任务编号：1113894,0-88.csv,,,,
【小程序开发】小程序健身项目开发,https://task.epwk.com/1114307/,51人,1人,"¥7,500",圆满完成,,小程序健身项目开发,直接雇佣￥ 7500,￥ 7500,任务编号：1114307,0-88.csv,,,,
【定制开发】老客户网站bug修改。,https://task.epwk.com/1114486/,257人,1人,"¥1,520",圆满完成,,老客户网站bug修改。,直接雇佣￥ 1520,￥ 1520,任务编号：1114486,0-88.csv,,,,
【定制开发】老客户服务器搭建。,https://task.epwk.com/1114487/,260人,1人,¥720,圆满完成,,老客户服务器搭建。,直接雇佣￥ 720,￥ 720,任务编号：1114487,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1114662/,25人,1人,"¥1,000",圆满完成,,app开发,直接雇佣￥ 1000,￥ 1000,任务编号：1114662,0-88.csv,,,,
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商设计,https://task.epwk.com/1114876/,51人,1人,"¥1,150",圆满完成,,详情页设计淘宝短视频平台天猫美团亚马逊电商设计,直接雇佣￥ 1150,￥ 1150,任务编号：1114876,0-88.csv,,,,
【后端开发】软件制作,https://task.epwk.com/1115112/,954人,1人,"¥7,500",圆满完成,,软件制作,直接雇佣￥ 7500,￥ 7500,任务编号：1115112,0-88.csv,,,,
【定制开发】网站修改,https://task.epwk.com/1115324/,373人,1人,"¥2,300",圆满完成,,网站修改,直接雇佣￥ 2300,￥ 2300,任务编号：1115324,0-88.csv,,,,
【店铺装修】1688首页设计,https://task.epwk.com/1115737/,18人,1人,¥268,圆满完成,,1688首页设计,直接雇佣￥ 268,￥ 268,任务编号：1115737,0-88.csv,,,,
【门户网站】网站数据爬虫,https://task.epwk.com/1115807/,107人,1人,"¥2,000",圆满完成,,网站数据爬虫,直接雇佣￥ 2000,￥ 2000,任务编号：1115807,0-88.csv,,,,
【产品结构设计】智能穿戴设备结构设计,https://task.epwk.com/1115816/,26人,1人,"¥1,500",圆满完成,,智能穿戴设备结构设计,直接雇佣￥ 1500,￥ 1500,任务编号：1115816,0-88.csv,,,,
【产品结构设计】便携式榨汁杯产品结构设计,https://task.epwk.com/1115819/,32人,1人,"¥1,000",圆满完成,,便携式榨汁杯产品结构设计,直接雇佣￥ 1000,￥ 1000,任务编号：1115819,0-88.csv,,,,
【产品结构设计】智能手表产品结构设计,https://task.epwk.com/1115820/,39人,1人,"¥1,300",圆满完成,,智能手表产品结构设计,直接雇佣￥ 1300,￥ 1300,任务编号：1115820,0-88.csv,,,,
【语音识别】教育场景语音识别开发,https://task.epwk.com/1115821/,8人,1人,"¥8,000",圆满完成,,教育场景语音识别开发,直接雇佣￥ 8000,￥ 8000,任务编号：1115821,0-88.csv,,,,
【语音识别】智能客服语音识别系统开发,https://task.epwk.com/1115824/,9人,1人,"¥6,000",圆满完成,,智能客服语音识别系统开发,直接雇佣￥ 6000,￥ 6000,任务编号：1115824,0-88.csv,,,,
【语音识别】车载语音助手语音识别模块开发,https://task.epwk.com/1115825/,5人,1人,"¥8,000",圆满完成,,车载语音助手语音识别模块开发,直接雇佣￥ 8000,￥ 8000,任务编号：1115825,0-88.csv,,,,
【产品上架与优化】川菜调味料上架与优化,https://task.epwk.com/1115828/,7人,1人,¥500,圆满完成,,川菜调味料上架与优化,直接雇佣￥ 500,￥ 500,任务编号：1115828,0-88.csv,,,,
【爆款打造】南城里面馆爆款打造,https://task.epwk.com/1115831/,4人,1人,¥500,圆满完成,,南城里面馆爆款打造,直接雇佣￥ 500,￥ 500,任务编号：1115831,0-88.csv,,,,
【新闻营销】旅游景区新闻营销,https://task.epwk.com/1115833/,7人,1人,"¥2,000",圆满完成,,旅游景区新闻营销,直接雇佣￥ 2000,￥ 2000,任务编号：1115833,0-88.csv,,,,
【客户案例】官网首页客户案例展示,https://task.epwk.com/1115836/,2人,1人,"¥1,000",圆满完成,,官网首页客户案例展示,直接雇佣￥ 1000,￥ 1000,任务编号：1115836,0-88.csv,,,,
【客户案例】品牌logo设计案例,https://task.epwk.com/1115838/,2人,1人,¥500,圆满完成,,品牌logo设计案例,直接雇佣￥ 500,￥ 500,任务编号：1115838,0-88.csv,,,,
【活动文案】生态农场休闲山庄活动策划文案,https://task.epwk.com/1115842/,5人,1人,¥500,圆满完成,,生态农场休闲山庄活动策划文案,直接雇佣￥ 500,￥ 500,任务编号：1115842,0-88.csv,,,,
【活动文案】弘扬传统文化活动文案,https://task.epwk.com/1115843/,6人,1人,¥500,圆满完成,,弘扬传统文化活动文案,直接雇佣￥ 500,￥ 500,任务编号：1115843,0-88.csv,,,,
【广告口号】柑普茶广告宣传口号,https://task.epwk.com/1115849/,7人,1人,¥300,圆满完成,,柑普茶广告宣传口号,直接雇佣￥ 300,￥ 300,任务编号：1115849,0-88.csv,,,,
【电商网站】优化商品详情页布局,https://task.epwk.com/1115853/,4人,1人,"¥4,500",圆满完成,,优化商品详情页布局,直接雇佣￥ 4500,￥ 4500,任务编号：1115853,0-88.csv,,,,
【电商网站】开发社交分享功能,https://task.epwk.com/1115854/,4人,1人,"¥6,500",圆满完成,,开发社交分享功能,直接雇佣￥ 6500,￥ 6500,任务编号：1115854,0-88.csv,,,,
【背景墙设计】主题书房设计,https://task.epwk.com/1115901/,34人,1人,"¥2,400",圆满完成,,主题书房设计,直接雇佣￥ 2400,￥ 2400,任务编号：1115901,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1115917/,223人,1人,"¥7,000",圆满完成,,app开发,直接雇佣￥ 7000,￥ 7000,任务编号：1115917,0-88.csv,,,,
【视频定制】科技赋能生活,https://task.epwk.com/1116260/,88人,1人,¥700,圆满完成,,科技赋能生活,直接雇佣￥ 700,￥ 700,任务编号：1116260,0-88.csv,,,,
【定制开发】源码购买。,https://task.epwk.com/1116272/,792人,1人,"¥3,650",圆满完成,,源码购买。,直接雇佣￥ 3650,￥ 3650,任务编号：1116272,0-88.csv,,,,
【APP开发】游戏加速器开发开工款,https://task.epwk.com/1116353/,574人,1人,"¥6,000",圆满完成,,游戏加速器开发开工款,直接雇佣￥ 6000,￥ 6000,任务编号：1116353,0-88.csv,,,,
【APP开发】企业数字化管理平台二期款,https://task.epwk.com/1116393/,472人,1人,"¥39,187",圆满完成,,企业数字化管理平台二期款,直接雇佣￥ 39187,￥ 39187,任务编号：1116393,0-88.csv,,,,
【广告口号】牛排西餐厅宣传广告口号,https://task.epwk.com/1116480/,9人,1人,¥300,圆满完成,,牛排西餐厅宣传广告口号,直接雇佣￥ 300,￥ 300,任务编号：1116480,0-88.csv,,,,
【AIGC技术】代码生成需求,https://task.epwk.com/1116484/,23人,1人,"¥20,000",圆满完成,,代码生成需求,直接雇佣￥ 20000,￥ 20000,任务编号：1116484,0-88.csv,,,,
【AIGC技术】生成视频内容软件,https://task.epwk.com/1116485/,147人,1人,"¥30,000",圆满完成,,生成视频内容软件,直接雇佣￥ 30000,￥ 30000,任务编号：1116485,0-88.csv,,,,
【语音识别】嘈杂环境语音识别需求,https://task.epwk.com/1116487/,5人,1人,"¥8,000",圆满完成,,嘈杂环境语音识别需求,直接雇佣￥ 8000,￥ 8000,任务编号：1116487,0-88.csv,,,,
【语音识别】特定性领域的语音识别功能,https://task.epwk.com/1116488/,9人,1人,"¥10,000",圆满完成,,特定性领域的语音识别功能,直接雇佣￥ 10000,￥ 10000,任务编号：1116488,0-88.csv,,,,
【小程序开发】微信小程序定制,https://task.epwk.com/1116682/,26人,1人,"¥11,967",圆满完成,,微信小程序定制,直接雇佣￥ 11967,￥ 11967,任务编号：1116682,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1116809/,46人,1人,"¥1,000",圆满完成,,app开发,直接雇佣￥ 1000,￥ 1000,任务编号：1116809,0-88.csv,,,,
【LOGO设计】公司LOGO设计,https://task.epwk.com/1116845/,81人,1人,¥200,圆满完成,,公司LOGO设计,直接雇佣￥ 200,￥ 200,任务编号：1116845,0-88.csv,,,,
【小程序开发】工作众包小程序,https://task.epwk.com/1116883/,1801人,1人,"¥17,000",圆满完成,,工作众包小程序,直接雇佣￥ 17000,￥ 17000,任务编号：1116883,0-88.csv,,,,
【电商】上架参数,https://task.epwk.com/1117007/,698人,1人,"¥3,800",圆满完成,,上架参数,直接雇佣￥ 3800,￥ 3800,任务编号：1117007,0-88.csv,,,,
【小程序开发】地图导览小程序开发,https://task.epwk.com/1117028/,159人,1人,"¥3,000",圆满完成,,地图导览小程序开发,直接雇佣￥ 3000,￥ 3000,任务编号：1117028,0-88.csv,,,,
【包装设计】宠物食品包装袋设计,https://task.epwk.com/1117114/,20人,1人,"¥1,000",圆满完成,,宠物食品包装袋设计,直接雇佣￥ 1000,￥ 1000,任务编号：1117114,0-88.csv,,,,
【海报设计】ai生成绘本,https://task.epwk.com/1117149/,64人,1人,¥400,圆满完成,,ai生成绘本,直接雇佣￥ 400,￥ 400,任务编号：1117149,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1117179/,303人,1人,¥600,圆满完成,,app开发,直接雇佣￥ 600,￥ 600,任务编号：1117179,0-88.csv,,,,
【ERP系统】管理系统开发,https://task.epwk.com/1117213/,367人,1人,"¥15,979",圆满完成,,管理系统开发,直接雇佣￥ 15979,￥ 15979,任务编号：1117213,0-88.csv,,,,
【LOGO设计】《万物代码》logo,https://task.epwk.com/1117416/,19人,1人,¥350,圆满完成,,《万物代码》logo,直接雇佣￥ 350,￥ 350,任务编号：1117416,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1117590/,17人,1人,¥400,圆满完成,,app开发,直接雇佣￥ 400,￥ 400,任务编号：1117590,0-88.csv,,,,
【封面设计】封面设计,https://task.epwk.com/1117657/,63人,1人,¥500,圆满完成,,封面设计,直接雇佣￥ 500,￥ 500,任务编号：1117657,0-88.csv,,,,
【LOGO设计】LOGO设计,https://task.epwk.com/1117658/,57人,1人,¥300,圆满完成,,LOGO设计,直接雇佣￥ 300,￥ 300,任务编号：1117658,0-88.csv,,,,
【3D建模】玩具3d建模,https://task.epwk.com/1117893/,888人,1人,"¥2,500",圆满完成,,玩具3d建模,直接雇佣￥ 2500,￥ 2500,任务编号：1117893,0-88.csv,,,,
【APP界面设计】app小程序H5应用软件网站网页交互外包定制ui设计,https://task.epwk.com/1117958/,23人,1人,¥700,圆满完成,,app小程序H5应用软件网站网页交互外包定制ui设计,直接雇佣￥ 700,￥ 700,任务编号：1117958,0-88.csv,,,,
【其他内容创作】aigc绘本生成,https://task.epwk.com/1117970/,57人,1人,"¥2,400",圆满完成,,aigc绘本生成,直接雇佣￥ 2400,￥ 2400,任务编号：1117970,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1118073/,31人,1人,¥800,圆满完成,,app开发,直接雇佣￥ 800,￥ 800,任务编号：1118073,0-88.csv,,,,
【APP开发】小红书群内自动点关注，自动群发。,https://task.epwk.com/1118137/,481人,1人,"¥4,000",圆满完成,,小红书群内自动点关注，自动群发。,直接雇佣￥ 4000,￥ 4000,任务编号：1118137,0-88.csv,,,,
【包装设计】瓶贴/标签设计,https://task.epwk.com/1118353/,15人,1人,¥350,圆满完成,,瓶贴/标签设计,直接雇佣￥ 350,￥ 350,任务编号：1118353,0-88.csv,,,,
【LOGO设计】Logo含图案十文字，图案为“蛇鸟”简化或抽象形式，,https://task.epwk.com/1118356/,13人,1人,¥400,圆满完成,,Logo含图案十文字，图案为“蛇鸟”简化或抽象形式，,直接雇佣￥ 400,￥ 400,任务编号：1118356,0-88.csv,,,,
【网站二次开发】网站二次开发,https://task.epwk.com/1118391/,289人,1人,"¥2,500",工作中,,网站二次开发,直接雇佣￥ 2500,￥ 2500,任务编号：1118391,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1118406/,19人,1人,¥300,圆满完成,,app开发,直接雇佣￥ 300,￥ 300,任务编号：1118406,0-88.csv,,,,
【定制开发】网站源码购买。,https://task.epwk.com/1118508/,927人,1人,"¥5,040",圆满完成,,网站源码购买。,直接雇佣￥ 5040,￥ 5040,任务编号：1118508,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1118520/,661人,1人,¥400,圆满完成,,app开发,直接雇佣￥ 400,￥ 400,任务编号：1118520,0-88.csv,,,,
【H5开发】H5添加百度地图功能,https://task.epwk.com/1118541/,302人,1人,"¥1,000",圆满完成,,H5添加百度地图功能,直接雇佣￥ 1000,￥ 1000,任务编号：1118541,0-88.csv,,,,
【包装设计】茶叶包装,https://task.epwk.com/1118603/,24人,1人,"¥2,000",圆满完成,,茶叶包装,直接雇佣￥ 2000,￥ 2000,任务编号：1118603,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1118623/,30人,1人,"¥1,200",圆满完成,,app开发,直接雇佣￥ 1200,￥ 1200,任务编号：1118623,0-88.csv,,,,
【定制开发】网站源码二次修改。,https://task.epwk.com/1118730/,95人,1人,"¥2,370",圆满完成,,网站源码二次修改。,直接雇佣￥ 2370,￥ 2370,任务编号：1118730,0-88.csv,,,,
【APP开发】做一个android外壳app,https://task.epwk.com/1118894/,432人,1人,"¥1,500",圆满完成,,做一个android外壳app,直接雇佣￥ 1500,￥ 1500,任务编号：1118894,0-88.csv,,,,
【广告设计】包月平面设计,https://task.epwk.com/1118921/,191人,1人,"¥5,000",圆满完成,,包月平面设计,直接雇佣￥ 5000,￥ 5000,任务编号：1118921,0-88.csv,,,,
【其他软件开发】pc系统静态页面搭建,https://task.epwk.com/1119110/,47人,1人,"¥3,000",圆满完成,,pc系统静态页面搭建,直接雇佣￥ 3000,￥ 3000,任务编号：1119110,0-88.csv,,,,
【排版设计】绘本内页图制作​,https://task.epwk.com/1119138/,26人,1人,"¥1,200",圆满完成,,绘本内页图制作​,直接雇佣￥ 1200,￥ 1200,任务编号：1119138,0-88.csv,,,,
【小程序开发】小程序开发,https://task.epwk.com/1119260/,36人,1人,"¥3,000",圆满完成,,小程序开发,直接雇佣￥ 3000,￥ 3000,任务编号：1119260,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1119341/,20人,1人,"¥2,000",圆满完成,,app开发,直接雇佣￥ 2000,￥ 2000,任务编号：1119341,0-88.csv,,,,
【其他网站】找一个laraver熟悉的,https://task.epwk.com/1119343/,27人,1人,¥500,圆满完成,,找一个laraver熟悉的,直接雇佣￥ 500,￥ 500,任务编号：1119343,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1119458/,22人,1人,¥800,圆满完成,,app开发,直接雇佣￥ 800,￥ 800,任务编号：1119458,0-88.csv,,,,
【定制开发】AP p修改并且搭建。,https://task.epwk.com/1119499/,979人,1人,"¥5,660",圆满完成,,AP p修改并且搭建。,直接雇佣￥ 5660,￥ 5660,任务编号：1119499,0-88.csv,,,,
【DeepSeek】智能客服系统需求,https://task.epwk.com/1119632/,114人,1人,"¥10,000",圆满完成,,智能客服系统需求,直接雇佣￥ 10000,￥ 10000,任务编号：1119632,0-88.csv,,,,
【AI战略】制造业智能化转型AI战略,https://task.epwk.com/1119641/,29人,1人,"¥15,000",圆满完成,,制造业智能化转型AI战略,直接雇佣￥ 15000,￥ 15000,任务编号：1119641,0-88.csv,,,,
【AI视频创作】ai视频拼接的开发,https://task.epwk.com/1119712/,63人,1人,"¥5,000",圆满完成,,ai视频拼接的开发,直接雇佣￥ 5000,￥ 5000,任务编号：1119712,0-88.csv,,,,
【SAAS软件】crm首期,https://task.epwk.com/1119879/,37人,1人,"¥12,000",圆满完成,,crm首期,直接雇佣￥ 12000,￥ 12000,任务编号：1119879,0-88.csv,,,,
【包装设计】瓶标+外盒 包装设计,https://task.epwk.com/1120022/,70人,1人,"¥1,680",圆满完成,,瓶标+外盒 包装设计,直接雇佣￥ 1680,￥ 1680,任务编号：1120022,0-88.csv,,,,
【插画设计】格林童话绘本内页图制作6本,https://task.epwk.com/1120183/,40人,1人,"¥2,400",圆满完成,,格林童话绘本内页图制作6本,直接雇佣￥ 2400,￥ 2400,任务编号：1120183,0-88.csv,,,,
【H5开发】移动端H5支付开发,https://task.epwk.com/1120234/,311人,1人,"¥1,500",圆满完成,,移动端H5支付开发,直接雇佣￥ 1500,￥ 1500,任务编号：1120234,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1120443/,16人,1人,¥300,圆满完成,,app开发,直接雇佣￥ 300,￥ 300,任务编号：1120443,0-88.csv,,,,
【APP开发】基于python网络爬虫的天气数据分析,https://task.epwk.com/1120454/,340人,1人,¥600,圆满完成,,基于python网络爬虫的天气数据分析,直接雇佣￥ 600,￥ 600,任务编号：1120454,0-88.csv,,,,
【海报设计】海报设计,https://task.epwk.com/1120829/,31人,1人,¥50,圆满完成,,海报设计,直接雇佣￥ 50,￥ 50,任务编号：1120829,0-88.csv,,,,
【包装设计】小程序UI设计,https://task.epwk.com/1120855/,34人,1人,"¥3,400",圆满完成,,小程序UI设计,直接雇佣￥ 3400,￥ 3400,任务编号：1120855,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1121108/,1700人,1人,¥600,圆满完成,,app开发,直接雇佣￥ 600,￥ 600,任务编号：1121108,0-88.csv,,,,
【小程序开发】考点智鉴小程序页面设计,https://task.epwk.com/1121239/,70人,1人,"¥1,500",圆满完成,,考点智鉴小程序页面设计,直接雇佣￥ 1500,￥ 1500,任务编号：1121239,0-88.csv,,,,
【APP开发】app开发,https://task.epwk.com/1121285/,12人,1人,¥350,圆满完成,,app开发,直接雇佣￥ 350,￥ 350,任务编号：1121285,0-88.csv,,,,
【数据采集】一键选股,https://task.epwk.com/1121371/,161人,1人,"¥2,000",圆满完成,,一键选股,直接雇佣￥ 2000,￥ 2000,任务编号：1121371,0-88.csv,,,,
【排版设计】格林童话绘本内页图制作8本,https://task.epwk.com/1121673/,59人,1人,"¥3,200",圆满完成,,格林童话绘本内页图制作8本,直接雇佣￥ 3200,￥ 3200,任务编号：1121673,0-88.csv,,,,
【微信开发】精准数据统计，后期维护,https://task.epwk.com/1121834/,27人,1人,"¥1,000",圆满完成,,精准数据统计，后期维护,直接雇佣￥ 1000,￥ 1000,任务编号：1121834,0-88.csv,,,,
【手机网站】费用支付,https://task.epwk.com/1122099/,269人,1人,"¥6,200",圆满完成,,费用支付,直接雇佣￥ 6200,￥ 6200,任务编号：1122099,0-88.csv,,,,
