标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【AIGC技术】代码生成需求,https://task.epwk.com/1116484/,8人,1人,¥20000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI视频创作】ai视频拼接的开发,https://task.epwk.com/1119712/,21人,1人,¥5000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】嘈杂环境语音识别需求,https://task.epwk.com/1116487/,2人,1人,¥8000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】车载语音助手语音识别模块开发,https://task.epwk.com/1115825/,2人,1人,¥8000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】智能客服语音识别系统开发,https://task.epwk.com/1115824/,4人,1人,¥6000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】教育场景语音识别开发,https://task.epwk.com/1115821/,4人,1人,¥8000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【自然语音处理】基于RAG的大模型训练,https://task.epwk.com/1091240/,154人,1人,¥15000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据分析】矿井通风网络分析和算法实现,https://task.epwk.com/1090970/,48人,1人,¥2500,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【可视化】数据处理软件开发,https://task.epwk.com/1090543/,127人,1人,¥5000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI接口】机器翻译API,https://task.epwk.com/1094664/,23人,1人,¥36000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】语音识别应用开发,https://task.epwk.com/1094657/,31人,1人,¥18000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AIGC技术】图像生成算法优化,https://task.epwk.com/1094660/,14人,1人,¥24000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】采集动态网站的数据保存到本地，并上传到小程序,https://task.epwk.com/1071260/,203人,1人,¥5000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】定制淘宝下单软件,https://task.epwk.com/1055497/,104人,1人,¥800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】美团商家信息号码爬取,https://task.epwk.com/1055465/,120人,1人,¥800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】部分功能二开,https://task.epwk.com/1047159/,105人,1人,¥1500,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】美团外卖采集,https://task.epwk.com/1044906/,153人,1人,¥800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【多媒体AI】音乐网站开发,https://task.epwk.com/1040665/,91人,1人,¥7800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】数据爬虫,https://task.epwk.com/1022362/,1400人,1人,¥300,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】人像,https://task.epwk.com/1018921/,1431人,1人,¥100,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】数据处理完善,https://task.epwk.com/1016569/,618人,1人,¥600,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】区际、省际贸易流量和贸易成本数据计算,https://task.epwk.com/1014097/,363人,1人,¥2000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】开发视频录制软件,https://task.epwk.com/1008861/,174人,1人,¥3000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】软件开发，ocr识别匹配上传,https://task.epwk.com/1004422/,257人,1人,¥2500,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】信息采集比对和导出,https://task.epwk.com/994636/,834人,1人,¥800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】图像识别软件开发一期,https://task.epwk.com/988715/,658人,1人,¥20000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】软件开发,https://task.epwk.com/982409/,443人,1人,¥3500,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】app研发数据采集,https://task.epwk.com/976347/,319人,1人,¥3000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】数据采集软件开发一期,https://task.epwk.com/973486/,1440人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】蓝牙控制开发一期,https://task.epwk.com/920296/,439人,1人,¥49800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能服务软件开发一期,https://task.epwk.com/911549/,619人,1人,¥40000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【刷脸支付】软件开发,https://task.epwk.com/904745/,592人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】电子证件照系统,https://task.epwk.com/895211/,1923人,1人,¥1800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】辅助加人,https://task.epwk.com/893824/,1879人,1人,¥400,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发,https://task.epwk.com/886594/,606人,1人,¥39999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能机器人开发,https://task.epwk.com/865959/,995人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】超市商城第三期,https://task.epwk.com/864645/,388人,1人,¥40000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】超市商城第二期,https://task.epwk.com/864644/,275人,1人,¥40000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】超市商城第二期,https://task.epwk.com/864643/,336人,1人,¥42000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】超市商城第一期,https://task.epwk.com/864642/,438人,1人,¥48000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】视频直播app第五期,https://task.epwk.com/863726/,305人,1人,¥30000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】视频直播app第四期,https://task.epwk.com/863725/,232人,1人,¥30000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】视频直播app第三期,https://task.epwk.com/863724/,276人,1人,¥40000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】视频直播app第二期,https://task.epwk.com/863723/,259人,1人,¥35000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】视频直播app第一期,https://task.epwk.com/863721/,312人,1人,¥35000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】物业管理第四期,https://task.epwk.com/863166/,211人,1人,¥40000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】物业管理第三期,https://task.epwk.com/863165/,240人,1人,¥40000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】物业管理第二期,https://task.epwk.com/863164/,205人,1人,¥42000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】物业管理第一期,https://task.epwk.com/863163/,186人,1人,¥48000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能系统,https://task.epwk.com/862628/,648人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】游泳app第五期开发,https://task.epwk.com/862113/,428人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】游泳app第四期开发,https://task.epwk.com/862112/,292人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】游泳app第三期开发,https://task.epwk.com/862111/,285人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】游泳app第二期开发,https://task.epwk.com/862107/,203人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】游泳app第一期开发,https://task.epwk.com/862106/,319人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能APP开发项目一期,https://task.epwk.com/861291/,466人,1人,¥31990,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】机器人开发第四期,https://task.epwk.com/861146/,229人,1人,¥20000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】机器人开发第三期,https://task.epwk.com/861143/,285人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】机器人开发第二期,https://task.epwk.com/861142/,278人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】机器人开发第一期,https://task.epwk.com/861141/,471人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发,https://task.epwk.com/861093/,320人,1人,¥40000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【刷脸支付】刷脸支付APP开发一期,https://task.epwk.com/860513/,368人,1人,¥38697,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据分析】数据分期服务一期,https://task.epwk.com/860508/,2377人,1人,¥9790,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】标准数据抓取,https://task.epwk.com/853667/,2514人,1人,¥500,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能控制水温尾款,https://task.epwk.com/853649/,250人,1人,¥46000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能控制水温四期,https://task.epwk.com/853630/,150人,1人,¥9000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】万能网友圈，营销大数据开发,https://task.epwk.com/848117/,2526人,1人,¥45000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发二期,https://task.epwk.com/845552/,258人,1人,¥48999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发一期,https://task.epwk.com/845142/,337人,1人,¥47693,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能控制水温开发 三期,https://task.epwk.com/845009/,218人,1人,¥5300,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能APP开发三期,https://task.epwk.com/843252/,241人,1人,¥49999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】数据采集任务II,https://task.epwk.com/842537/,2331人,1人,¥350,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能控制水温开发 二期,https://task.epwk.com/842311/,255人,1人,¥6800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能APP开发二期,https://task.epwk.com/840498/,302人,1人,¥49999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能控制水温开发 一期,https://task.epwk.com/838368/,237人,1人,¥5600,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能项目开发首款,https://task.epwk.com/837439/,319人,1人,¥31866,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【刷脸支付】第三方支付开发一期,https://task.epwk.com/835920/,263人,1人,¥16330,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【刷脸支付】刷脸支付软件开发,https://task.epwk.com/829313/,678人,1人,¥40000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能APP开发一期,https://task.epwk.com/827003/,574人,1人,¥49999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】熟悉pyspider框架，采集项目,https://task.epwk.com/823765/,1865人,1人,¥1600,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能APP开发,https://task.epwk.com/820060/,299人,1人,¥49999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】爬一个亚马逊跳转之后的网页,https://task.epwk.com/818914/,2450人,1人,¥800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发,https://task.epwk.com/815034/,404人,1人,¥49999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能冲奶机app开发二期,https://task.epwk.com/813571/,190人,1人,¥6800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能冲奶机app开发一期,https://task.epwk.com/813570/,287人,1人,¥5000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能网站开发,https://task.epwk.com/812582/,359人,1人,¥49999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能系统开发四期,https://task.epwk.com/792299/,421人,1人,¥35180,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能系统开发三期,https://task.epwk.com/792294/,307人,1人,¥36820,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能系统开发二期,https://task.epwk.com/791858/,718人,1人,¥53998,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能系统开发一期,https://task.epwk.com/791112/,456人,1人,¥49999,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】网页数据采集与筛选。,https://task.epwk.com/783918/,2371人,1人,¥500,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】yellowpages资料提取,https://task.epwk.com/774717/,1904人,1人,¥800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能应用软件开发一期,https://task.epwk.com/767036/,393人,1人,¥11000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】高考千所大学分数线统计,https://task.epwk.com/764323/,2642人,1人,¥1980,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能开发一期,https://task.epwk.com/757447/,543人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】采集器,https://task.epwk.com/750795/,2180人,1人,¥800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】大学生消费数据信息采集,https://task.epwk.com/748869/,2465人,1人,¥1980,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据分析】数据分析服务一期,https://task.epwk.com/747908/,3989人,1人,¥30000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】风谷游戏数据采集,https://task.epwk.com/743885/,2122人,1人,¥1970,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据分析】项目收尾工作,https://task.epwk.com/733379/,3006人,1人,¥1000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工APP开发,https://task.epwk.com/731877/,812人,1人,¥2000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】数据核算与实证检验,https://task.epwk.com/727527/,1889人,1人,¥600,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】采集抖音用户签名里的微信号,https://task.epwk.com/717614/,2307人,1人,¥1200,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】各国历年制造业整体和分部门的出口复杂度数据测算,https://task.epwk.com/707465/,2061人,1人,¥600,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发,https://task.epwk.com/701366/,786人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】数据爬取,https://task.epwk.com/675727/,3643人,1人,¥2500,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发一期,https://task.epwk.com/665905/,2292人,1人,¥70000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发,https://task.epwk.com/664963/,317人,1人,¥12000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能搜索算法与系统开发第三期,https://task.epwk.com/661042/,364人,1人,¥26000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能搜索算法与系统开发第二期,https://task.epwk.com/661041/,491人,1人,¥39000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智能搜索算法与系统开发,https://task.epwk.com/661039/,451人,1人,¥45000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】数据采集,https://task.epwk.com/655397/,2419人,1人,¥1500,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】家用体感游戏机(3D无手柄游戏机)硬件开发三期,https://task.epwk.com/655355/,303人,1人,¥35000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】家用体感游戏机(3D无手柄游戏机)硬件开发二期,https://task.epwk.com/655354/,267人,1人,¥39000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】家用体感游戏机(3D无手柄游戏机)硬件开发,https://task.epwk.com/655353/,375人,1人,¥46000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能机器人开发二期,https://task.epwk.com/630287/,477人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能机器人开发一期,https://task.epwk.com/630286/,555人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】履带机器人发软件开发第三期,https://task.epwk.com/626599/,321人,1人,¥28000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】履带机器人发软件开发第二期,https://task.epwk.com/626597/,322人,1人,¥39200,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】履带机器人发软件开发,https://task.epwk.com/626596/,306人,1人,¥42800,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发,https://task.epwk.com/614166/,739人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发二期,https://task.epwk.com/604836/,513人,1人,¥20000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】人工智能软件开发一期,https://task.epwk.com/604834/,464人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】智慧小区,https://task.epwk.com/588545/,845人,1人,¥50000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】输入法、浏览器、播放器类的软件开发第三期,https://task.epwk.com/570371/,467人,1人,¥30000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】输入法、浏览器、播放器类的软件开发第二期,https://task.epwk.com/570370/,534人,1人,¥45000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】输入法、浏览器、播放器类的软件开发,https://task.epwk.com/570369/,565人,1人,¥45000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
