标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【定制开发】数据收集、审核、展示的网页系统开发,https://task.epwk.com/1116791/,78人,1人,1万-2万元,圆满完成,企威特lhx52,一、项目概述开发一个具备数据收集、审核管理、可视化展示功能的Web系统，目标用户为各类型企业，仅PC端。二、核心功能需求1. 数据收集模块自定义表单构建：支持[单选/多选/文件上传/地理位置]等字段数据提交：用户填写验证（格式校验+必填项控制）批量导入：支持Excel/CSV模板数据导入数据存储：结构化存储至数据库2. 审核管理模块多级审核流程：[填写例：初审→终审] 流程配置审核操作：通过/驳回/加批注（需记录操作日志）消息通知：邮件/站内信提醒审核任务版本控制：支持数据修改留痕与历史版本追溯3. 数据展示模块可视化看板：柱状图/折线图/地图等图表类型需求多维筛选：按时间/分类/状态等条件组合查询数据导出：PDF/Excel格式导出功能权限控制：不同角色查看数据范围设定4. 用户权限系统角色划分：普通用户/二级管理员/管理员（需定义各角色权限）登录方式：账号密码/短信验证等操作日志：记录关键操作行为三、非功能需求性能要求：支持200人同时在线，页面响应时间<2秒安全要求：HTTPS传输、SQL注入防护、定期备份机制兼容性：Chrome/Firefox/Edge/360等主流浏览器适配维护要求：提供后台管理系统进行配置更新四、交付要求开发周期：期望1个月完成交付物：完整源代码+部署文档+用户手册测试验收：提供测试用例报告维护期：建议12个月免费维护五、补充说明1. 提供参考网站参考对象：参考网站URL（接单后提供）复刻范围：▢ 核心功能逻辑复用（如审核流程/表单结构）▢ 仅视觉样式参考，功能需重新开发访问权限：提供测试账号2. 差异化开发要求保留功能、新增功能、调整部分接单后详谈。3.资产提供要求需要签订保密协议。,2025-03-27,2025.03.28,任务编号：1116791,11000.0,60天,四川省-成都市,毕米科技工作室,https://shop.epwk.com/qgdmjox8qdke/,毕米科技工作室,出售服务,https://shop.epwk.com/qgdmjox8qdke/chushou/,工作室,四品,57分,总 9 次中标，交易总金额,￥5.36万,毕米科技工作室,,小程序开发（跨平台）,"￥19999
            /起",后台系统开发,￥29999,全站开发(Web端、App端、小程序端),"￥29999
            /款",Web后台开发(低代码),￥7500,,,,,,,,,,,定制开发
【小程序开发】虚拟遥控器的小程序,https://task.epwk.com/1116783/,44人,2人,5000-10000元,圆满完成,k9080****19,"称呼:韦先生地区:广东省,深圳市需求:电商行业，做灯具的，灯具带有红外接收头，小程序可以设置一个虚拟的遥控器，模拟真实遥控器控制灯具完成时间:价格合适就启动做预算:几千",2025-03-27,2025.04.16,任务编号：1116783,6500.0,10天,广东省-深圳市,深圳市致翌软件技术有限责任公司,https://shop.epwk.com/0jnek99wynv3/,深圳市致翌软件技术有限责任公司,出售服务,https://shop.epwk.com/0jnek99wynv3/chushou/,企业,六品,55分,总 1 次中标，交易总金额,￥6175.00,深圳市致翌软件技术有限责任公司,,rpa采集软件开发,"￥5000
            /起",人工智能项目服务,"￥20000
            /套",区块链项目开发,"￥100000
            /起",企业crm系统设计和开发,价格面议,企业流程管理软件开发,"￥10000
            /套",,,,,,,,,小程序开发
【小程序开发】识别树坑第一期,https://task.epwk.com/1116618/,599人,1人,5000-10000元,圆满完成,威尚PCoXy,需求看附件图片,2025-03-26,2025.04.10,任务编号：1116618,5000.0,30天,浙江省-嘉兴市,塞坦科技,https://shop.epwk.com/j7n38j8425e1/,塞坦科技,出售服务,https://shop.epwk.com/j7n38j8425e1/chushou/,企业,五品,64分,总 5 次中标，交易总金额,￥1.64万,塞坦科技,,仓库管理系统WMS,价格面议,AI工业视觉,价格面议,客户关系管理系统CRM,价格面议,企业信息系统,价格面议,教育信息化系统,价格面议,电子商务平台,价格面议,app软件开发,价格面议,erp系统开发,价格面议,软件定制开发,价格面议,小程序开发
【小程序开发】小程序二开,https://task.epwk.com/1116327/,269人,7人,3000-5000元,圆满完成,Trance豆腐,轮播每次时间新增后台控制开通会员付费渠道，1页面+对应功能实现2个功能入口更换位置修改按钮文案bug修复,2025-03-24,2025.04.27,任务编号：1116327,4500.0,"30天,7天,20天","河南省-洛阳市,浙江省-杭州市,山东省-临沂市",洛阳蓝普网络技术有限公司,https://shop.epwk.com/v0n1x1mq257y/,洛阳蓝普网络技术有限公司,出售服务,https://shop.epwk.com/v0n1x1mq257y/chushou/,企业,一品,105分,总 388 次中标，交易总金额,￥199.47万,洛阳蓝普网络技术有限公司,,php项目定制开发,￥1000,微信小程序定制开发,"￥1000
            /件",,,,,,,,,,,,,,,小程序开发
【阅读/图像】图像抠图,https://task.epwk.com/1116304/,47人,1人,1000-3000元,圆满完成,ppt达人孙文,将视频融合,2025-03-23,2025.03.24,任务编号：1116304,1000.0,1天,上海市-市辖区,创码天地,https://shop.epwk.com/rp5z4vygwdx3/,创码天地,出售服务,https://shop.epwk.com/rp5z4vygwdx3/chushou/,个人,五品,57分,总 5 次中标，交易总金额,￥1.24万,创码天地,,,,,,,,,,,,,,,,,,,,阅读/图像
【响应式网站】简单做一个工具类门户网站,https://task.epwk.com/1116097/,1132人,11人,3000-5000元,圆满完成,呦哦呦,对时间周期要求短一点，详细请加微信我这边发思维导图就行了。,2025-03-20,2025.04.05,任务编号：1116097,4000.0,"10天,10天,20天,20天","江苏省-淮安市,上海市-市辖区,北京市-北京市,山东省-临沂市",江苏执笔科技有限公司,https://shop.epwk.com/7g5ykg706n0q/,江苏执笔科技有限公司,出售服务,https://shop.epwk.com/7g5ykg706n0q/chushou/,企业,五品,70分,总 4 次中标，交易总金额,￥1.19万,江苏执笔科技有限公司,,,,,,,,,,,,,,,,,,,,响应式网站
【其他软件开发】精猜网站自动下单系统,https://task.epwk.com/1116064/,67人,1人,5000-10000元,圆满完成,迪特利Q2Vd1,精猜网站自动下单系统，源发交付。售后半年,2025-03-20,2025.04.08,任务编号：1116064,5600.0,10天,山东省-淄博市,果田科技 100%好评服务商,https://shop.epwk.com/j7n38x8pe5e1/,果田科技 100%好评服务商,出售服务,https://shop.epwk.com/j7n38x8pe5e1/chushou/,企业,一品,82分,总 67 次中标，交易总金额,￥37.77万,果田科技 100%好评服务商,,各平台APP开发,价格面议,各平台小程序开发,价格面议,,,,,,,,,,,,,,,其他软件开发
【脚本开发】爬虫脚本开发,https://task.epwk.com/1115523/,138人,1人,1000-3000元,圆满完成,叶摩拉2Ksam,https://book.douban.com/subject/37129973/遍历37129973采集豆瓣书籍元数据联系微信,2025-03-17,2025.03.18,任务编号：1115523,1000.0,,,艺欣科技工作室,https://shop.epwk.com/2j5xo4mrg5xm/,艺欣科技工作室,出售服务,https://shop.epwk.com/2j5xo4mrg5xm/chushou/,工作室,六品,74分,总 6 次中标，交易总金额,￥1.13万,艺欣科技工作室,,小程序开发 | 微信 | 支付宝 | 短视频平台 | 小红书,价格面议,后台管理系统,价格面议,安卓APP开发 - 高端定制,价格面议,GPT 应用开发,价格面议,采集工具开发,价格面议,VR应用开发,价格面议,,,,,,,脚本开发
【其他软件开发】足彩过滤软件缩水后输出复式组合(已有合作对象),https://task.epwk.com/1114721/,33人,1人,1000-3000元,圆满完成,o59e9b39593e56,按过滤条件过滤后结果输出复式组合结果。详细合作后谈。,2025-03-13,2025.03.14,任务编号：1114721,1500.0,1天,山东省-济南市,山东明途软件开发,https://shop.epwk.com/omdwk97w1drp/,山东明途软件开发,出售服务,https://shop.epwk.com/omdwk97w1drp/chushou/,工作室,六品,51分,总 3 次中标，交易总金额,￥7000.00,山东明途软件开发,,,,,,,,,,,,,,,,,,,,其他软件开发
【APP开发】工业机器对接安卓部分品牌手机蓝牙无法连接BUG修改,https://task.epwk.com/1114665/,240人,2人,3000-5000元,圆满完成,易联宝TkJZj,工业机器和手机蓝牙连接，安卓部分品牌手机蓝牙无法连接BUG修改手机型号：realm S nova 8/10、一加Ace 3、Redmi K20、Redmi Note 10、Oppo R15 ，华为，三星  等开发平台： .NET MAUI  Xamarin现在问题是蓝牙权限可以正常通过，但是部分手机匹配之后直接报错，然后查看日志发现 安卓10和安卓13 调用的蓝牙方法不一样，但是代码里搜不到这2个方法。如果开发人员不在上海，则需要远程控制我电脑修改代码，我来连接手机进行蓝牙测试。,2025-03-13,2025.03.19,任务编号：1114665,4500.0,5天,广东省-深圳市,深圳宏佑兄弟工作室,https://shop.epwk.com/0z5o4rvqqnjq/,深圳宏佑兄弟工作室,出售服务,https://shop.epwk.com/0z5o4rvqqnjq/chushou/,个人,六品,59分,总 2 次中标，交易总金额,￥8000.00,深圳宏佑兄弟工作室,,,,,,,,,,,,,,,,,,,,APP开发
【定制开发】广告联盟后台管理界面,https://task.epwk.com/1114388/,236人,1人,5000-10000元,圆满完成,鲸创客T8iRD,我有一个app用来看广告的，后台管理系统没有完善，我需要有个完整的后台管理，需要源码，有类似的管理界面可以发给我看看，有类似经验的优先，有类似项目可以加我微信,2025-03-12,2025.05.07,任务编号：1114388,6000.0,25天,上海市-市辖区,缇讯科技(上海)有限公司,https://shop.epwk.com/09drjyex653w/,缇讯科技(上海)有限公司,出售服务,https://shop.epwk.com/09drjyex653w/chushou/,企业,四品,76分,总 17 次中标，交易总金额,￥5.2万,缇讯科技(上海)有限公司,,物联网嵌入式开发云平台搭建大数据分析硬件云端智能解决方案,价格面议,全行业Saas系统针对垂直行业基于定制化多租户复杂权限系统,价格面议,开源大模型蒸馏定制行业小模型开发适用于各行各业解决方案,价格面议,汽车后市场相关软件开发客户关系管理系统汽配数据采集分析系统,价格面议,复杂项目协同管理解决方案,价格面议,直播数藏电商在线教育抽奖定制行业模版小程序APP,"￥1000
            /起",,,,,,,定制开发
【H5开发】threejs开发,https://task.epwk.com/1114335/,121人,1人,1000-3000元,圆满完成,友森联创,1、需要threejs和CesiumJs 开发等。2、需要工作日上班时间，能提供修改。3、提交并发布线上，测试没问题问题后算完成任务。注意：1、需要熟手，生手勿扰。2、代码需要简洁，界面清新，代码SHI山者勿扰，以免后续有纠纷。3、不能按时或者全部完成交付，算为任务失败，撤回资金托管,2025-03-12,2025.03.18,任务编号：1114335,800.0,3天,上海市-市辖区,泰灵工作室,https://shop.epwk.com/omdwk9m4qdrp/,泰灵工作室,出售服务,https://shop.epwk.com/omdwk9m4qdrp/chushou/,个人,五品,52分,总 5 次中标，交易总金额,￥1.5万,泰灵工作室,,微信小游戏开发,"￥10000
            /月",,,,,,,,,,,,,,,,,H5开发
【APP界面设计】APP UI版面优化，4-个5页面,https://task.epwk.com/1114329/,220人,4人,1000-3000元,圆满完成,惟优社IR6Y3,· APP类型：教育· 设计目的：提升用户体验，提高留存，转化率· 设计界面：启动页，首页，商品详情页，VIP付费页，指数页· 页面数量：5· 其他要求：有案例可供参考。我们这边有产品经理，创意方面不需要特别去做。,2025-03-12,2025.04.02,任务编号：1114329,2000.0,"5天,5天","河北省-石家庄市,河北省-邯郸市-市辖区",初晓创意互联,https://shop.epwk.com/3gd2mvzyyner/,初晓创意互联,出售服务,https://shop.epwk.com/3gd2mvzyyner/chushou/,个人,一品,98分,总 58 次中标，交易总金额,￥17.62万,初晓创意互联,,网站建设定制开发设计企业公司官网营销门户仿站外贸网站建设制作,"￥5000
            /套",app小程序H5应用软件网站网页交互外包定制ui设计,"￥100
            /页",软件界面设计管理系统ui设计大数据ui客户端软件触摸屏,"￥500
            /页",网页设计网站设计软件设计ui设计app小程序h5前端切图,"￥1000
            /页",网站UI设计 手机端UI设计 软件界面设计 数据大屏设计,"￥300
            /页",移动应用app小程序软件网页界面大数据可视化UI定制设计,"￥10000
            /页",,,,,,,APP界面设计
【ERP系统】ERP需求，网页端使用 首付款,https://task.epwk.com/1113665/,117人,1人,1000-3000元,圆满完成,zscnkd,ERP需求，只需网页端使用，不需要APP强调：以上所需要的ERP系统要求不需要审批节点和流程，主要涉及表单建立和调用数据，生成图表！有过相关开发经验的成本会很低。,2025-03-10,2025.03.12,任务编号：1113665,2800.0,14天,贵州省-贵阳市,皓月应用,https://shop.epwk.com/v0n1xw89257y/,皓月应用,出售服务,https://shop.epwk.com/v0n1xw89257y/chushou/,个人,五品,37分,,,皓月应用,,,,,,,,,,,,,,,,,,,,ERP系统
【小程序开发】类似销售跟单抽佣小程序开发,https://task.epwk.com/1113549/,239人,8人,1000元以内,圆满完成,特斯威y6NDA,公司统一业务，上报业务单，支持实时转账支付功能，佣金结算等。,2025-03-10,2025.03.28,任务编号：1113549,800.0,"10天,30天","江苏省-徐州市,山东省-临沂市",正都科技,https://shop.epwk.com/qgdmj34mgdke/,正都科技,出售服务,https://shop.epwk.com/qgdmj34mgdke/chushou/,企业,四品,54分,总 13 次中标，交易总金额,￥4.88万,正都科技,,,,,,,,,,,,,,,,,,,,小程序开发
【其他软件开发】北单足彩过滤软件开发，已有合作对象。,https://task.epwk.com/1113372/,65人,1人,3000-5000元,圆满完成,o59e9b39593e56,1、  用VBA制作简单足彩过滤EXCELL 软件，能下载。非常简单，代码可以用deepseek查找。（足彩比赛结果胜为3，平为1，负为0）过滤条件：3的个数范围，连续3的个数范围；1的个数范围，连续1的个数范围；0的个数范围，连续0的个数范围。选定某几场场次预测结果，设定结果出现个数范围。如选定第1场的“3”、第4场的“1”、第6场的“1”，设定以上赛果出现个数范围。2、 不需要链接任何网页及仪器等，手工输入场次及预测结果，输入条件个数范围后，点击筛选，过滤结果列表于EXCEL表格中（如能做到输出结果最好为最大复式结果）。,2025-03-08,2025.03.10,任务编号：1113372,3000.0,2天,山东省-济南市,山东明途软件开发,https://shop.epwk.com/omdwk97w1drp/,山东明途软件开发,出售服务,https://shop.epwk.com/omdwk97w1drp/chushou/,工作室,六品,51分,总 3 次中标，交易总金额,￥7000.00,山东明途软件开发,,,,,,,,,,,,,,,,,,,,其他软件开发
