标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师,能力标签
【网站UI设计】网站封面设计,https://task.epwk.com/542497/,3576人,5人,¥300,o59a9****1746e,300.0,￥ 300,2017-10-11,直播官网首页设计，以九尾狐为题材暖色调为主来设计。,任务编号：542497,o59c855c09a6d0,网站UI设计
【网站UI设计】网站封面设计,https://task.epwk.com/542497/,3576人,5人,¥300,o59a9****1746e,300.0,￥ 300,2017-10-11,直播官网首页设计，以九尾狐为题材暖色调为主来设计。,任务编号：542497,o59ce12a89245c,网站UI设计
【网站UI设计】两个淘宝产品主图片及详情优化设计,https://task.epwk.com/445785/,4505人,16人,¥950,mf137****7146,950.0,￥ 950,2016-09-12,没有能力或者新手 别找我 ！ 谢谢  有实力的来！宝贝链接1：https://item.taobao.com/item.htm?spm=a1z10.1-c-s.w4004-15004469259.2.EGapRB&id=13713983765宝贝链接2：https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-15004469253.57.tUDVh4&id=522080854210具体要求：宝贝主图与详情页设计，有创意，有态度，人品好的 需要设计师的灵感跟专业技能并用心来完成。整合多款产品，融入一个链接；设计要求：1，版面清晰，图文排版干净利落。设计高端大方。要有吸引力！有特色！卖点突出！2，宝贝详情页设计（具有吸引力，有特色，突出卖点）3，要求提供PS软件用源文件，版权归我们所有。4，具体图片QQ邮箱  发送；目标效果 ：https://detail.tmall.com/item.htm?id=536015638044&ali_refid=a3_420434_1006:1110057581:N:博越踏板:f003839c7ec973d18129ce1fb5ec840c&ali_trackid=1_f003839c7ec973d18129ce1fb5ec840c&spm=a230r.1.1993945.2.WEsYGh,任务编号：445785,仕雅传媒,网站UI设计
【网站UI设计】两个淘宝产品主图片及详情优化设计,https://task.epwk.com/445785/,4505人,16人,¥950,mf137****7146,950.0,￥ 950,2016-09-12,没有能力或者新手 别找我 ！ 谢谢  有实力的来！宝贝链接1：https://item.taobao.com/item.htm?spm=a1z10.1-c-s.w4004-15004469259.2.EGapRB&id=13713983765宝贝链接2：https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-15004469253.57.tUDVh4&id=522080854210具体要求：宝贝主图与详情页设计，有创意，有态度，人品好的 需要设计师的灵感跟专业技能并用心来完成。整合多款产品，融入一个链接；设计要求：1，版面清晰，图文排版干净利落。设计高端大方。要有吸引力！有特色！卖点突出！2，宝贝详情页设计（具有吸引力，有特色，突出卖点）3，要求提供PS软件用源文件，版权归我们所有。4，具体图片QQ邮箱  发送；目标效果 ：https://detail.tmall.com/item.htm?id=536015638044&ali_refid=a3_420434_1006:1110057581:N:博越踏板:f003839c7ec973d18129ce1fb5ec840c&ali_trackid=1_f003839c7ec973d18129ce1fb5ec840c&spm=a230r.1.1993945.2.WEsYGh,任务编号：445785,网络服务商,网站UI设计
【网站UI设计】简单淘宝主图调色处理,https://task.epwk.com/443975/,6177人,33人,¥100,匹诺曹,100.0,￥ 100,2016-09-03,帮我给的图片调色轮廓也可以调，不用加其他东西，就把效果调的真实，布感觉调的好，像纯棉。可以参考我给的调好的文件，调的自己认为更好。尺寸800-800像素。淘宝宝贝链接：https://item.taobao.com/item.htm?spm=0.0.0.0.ArfWiB&id=535580811626 作为参考68747470733a2f2f6974656d2e74616f62616f2e636f6d2f6974656d2e68746d3f69643d353335353830383131363236,任务编号：443975,鼎峰设计,网站UI设计
【网站UI设计】简单淘宝主图调色处理,https://task.epwk.com/443975/,6177人,33人,¥100,匹诺曹,100.0,￥ 100,2016-09-03,帮我给的图片调色轮廓也可以调，不用加其他东西，就把效果调的真实，布感觉调的好，像纯棉。可以参考我给的调好的文件，调的自己认为更好。尺寸800-800像素。淘宝宝贝链接：https://item.taobao.com/item.htm?spm=0.0.0.0.ArfWiB&id=535580811626 作为参考68747470733a2f2f6974656d2e74616f62616f2e636f6d2f6974656d2e68746d3f69643d353335353830383131363236,任务编号：443975,column的店铺,网站UI设计
【网站UI设计】网站首页设计,https://task.epwk.com/411196/,2723人,10人,¥300,o56cfa76ad6998,300.0,￥ 300,2016-03-22,设计网站主页要求简洁明快样式可以参考http://www.zxipr.com.cn/login/indexhttp://www.yrd100.com/index.htm网站的功能和http://demo.kppw.cn/index.html很相似这次悬赏只要求做效果图,任务编号：411196,竹叶常青设计工作室,网站UI设计
【网站UI设计】网站首页设计,https://task.epwk.com/411196/,2723人,10人,¥300,o56cfa76ad6998,300.0,￥ 300,2016-03-22,设计网站主页要求简洁明快样式可以参考http://www.zxipr.com.cn/login/indexhttp://www.yrd100.com/index.htm网站的功能和http://demo.kppw.cn/index.html很相似这次悬赏只要求做效果图,任务编号：411196,碧青设计,网站UI设计
【软件UI设计】系统UI界面首页征集，寻求长期合作的伙伴,https://task.epwk.com/325378/,4379人,4人,"¥1,000",厦门希骏,1000.0,￥ 1000,2014-12-31,Form-World关系型表格数据库应用软件开发平台（以下简称Fom-World平台）是以现成表格为开发对象的数据库应用软件开发平台。平台可以装载各行业的数据库应用系统。当前征集的UI介面就是应用于某应用系统的背景图像。系统背景UI界面首页设计，只需按要求完成界面的设计即可（详细内容请看附件）。大家所交稿件，我们最后都将统一给我们客户选择，客户选择的即为中标，并且可以来完成剩下项目的内容。此次任务的稿件中，我们会选择三个设计中的稿件为中标者。要求：    1、关系架构图里面的内容要全部显示在设计的这张界面上。 2、界面的logo用我们提供的，文字“英融生态圈”改为“英融资本通” 3、界面的风格与logo能够相对应，颜色要求不超过3个颜色，底调要精致，有厚重感、层次感。 4、页面大小统一为A4纸。 5、有实际的设计工作经验，提供3个以上真实案例作品.新手、应届、新入行勿扰。加QQ时候请先给出原创作品图。 6、提交作品图即可。 7、如果您有任何疑问，或者有更好的想法，请不要犹豫，联系我们 8、附件里面的关系结构内容，其中“（有链接）”此为提示该内容是有链接功能的。按此文字，页面将跳转到相应的页面。 9、具体参考内容详见附件  联系QQ：2983545881 请标明来意。有关Form-World平台参看http://www.form-world.com.cn,任务编号：325378,林点商业设计空间,软件UI设计
【软件UI设计】系统UI界面首页征集，寻求长期合作的伙伴,https://task.epwk.com/325378/,4379人,4人,"¥1,000",厦门希骏,1000.0,￥ 1000,2014-12-31,Form-World关系型表格数据库应用软件开发平台（以下简称Fom-World平台）是以现成表格为开发对象的数据库应用软件开发平台。平台可以装载各行业的数据库应用系统。当前征集的UI介面就是应用于某应用系统的背景图像。系统背景UI界面首页设计，只需按要求完成界面的设计即可（详细内容请看附件）。大家所交稿件，我们最后都将统一给我们客户选择，客户选择的即为中标，并且可以来完成剩下项目的内容。此次任务的稿件中，我们会选择三个设计中的稿件为中标者。要求：    1、关系架构图里面的内容要全部显示在设计的这张界面上。 2、界面的logo用我们提供的，文字“英融生态圈”改为“英融资本通” 3、界面的风格与logo能够相对应，颜色要求不超过3个颜色，底调要精致，有厚重感、层次感。 4、页面大小统一为A4纸。 5、有实际的设计工作经验，提供3个以上真实案例作品.新手、应届、新入行勿扰。加QQ时候请先给出原创作品图。 6、提交作品图即可。 7、如果您有任何疑问，或者有更好的想法，请不要犹豫，联系我们 8、附件里面的关系结构内容，其中“（有链接）”此为提示该内容是有链接功能的。按此文字，页面将跳转到相应的页面。 9、具体参考内容详见附件  联系QQ：2983545881 请标明来意。有关Form-World平台参看http://www.form-world.com.cn,任务编号：325378,G.D.s,软件UI设计
【网站UI设计】简单的环保公益网站广告牌设计,https://task.epwk.com/251033/,7306人,5人,¥300,hbjsjdq,300.0,￥ 300,2014-03-07,公益性任务，期待热心环保与公益的您来参与，环保公益网站www.hbjsjdq.com需要添加一些宣传条幅，规格:950*150 760*90 270*390一组(图片数量越多越好)，内容是宣传环保酵素，广告图片和广告语可以根据环保酵素的内容自己发挥。 背景可以是绿色环保类的图片或者大自然美景，右侧加上微信公号二维码，右下角有www.hbjsjdq.com网址的水印，相关资料:http://mp.weixin.qq.com/s?__biz=MjM5Njg4NTEzMg==&mid=10013691&idx=1&sn=f69653233a1367bac2681a36df781e39#rdhttp://mp.weixin.qq.com/s?__biz=MjM5Njg4NTEzMg==&mid=10013611&idx=1&sn=26cd25e489c89a88241d85fda18280e0#rd http://mp.weixin.qq.com/s?__biz=MjM5Njg4NTEzMg==&mid=200019637&idx=1&sn=a92f2b81645543237f2b09bff103195a#rd,任务编号：251033,简约艺术,网站UI设计
【网站UI设计】简单的环保公益网站广告牌设计,https://task.epwk.com/251033/,7306人,5人,¥300,hbjsjdq,300.0,￥ 300,2014-03-07,公益性任务，期待热心环保与公益的您来参与，环保公益网站www.hbjsjdq.com需要添加一些宣传条幅，规格:950*150 760*90 270*390一组(图片数量越多越好)，内容是宣传环保酵素，广告图片和广告语可以根据环保酵素的内容自己发挥。 背景可以是绿色环保类的图片或者大自然美景，右侧加上微信公号二维码，右下角有www.hbjsjdq.com网址的水印，相关资料:http://mp.weixin.qq.com/s?__biz=MjM5Njg4NTEzMg==&mid=10013691&idx=1&sn=f69653233a1367bac2681a36df781e39#rdhttp://mp.weixin.qq.com/s?__biz=MjM5Njg4NTEzMg==&mid=10013611&idx=1&sn=26cd25e489c89a88241d85fda18280e0#rd http://mp.weixin.qq.com/s?__biz=MjM5Njg4NTEzMg==&mid=200019637&idx=1&sn=a92f2b81645543237f2b09bff103195a#rd,任务编号：251033,宏仁设计工作室,网站UI设计
