标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16
【图片处理】拍照介绍美丽大学校园，一稿50元,https://task.epwk.com/408837/,7172人,1人,¥1000,yanliu,￥ 1000,,2016.03.10,为图片共享社区的一个话题提交内容，要求为大学校园的场景进行拍照并做一到几句话的简单介绍，各地知名大学校园。在校大学生和社会各界人士都可参加。拍照介绍大学校园，拿上手机或者相机，找个合适的角度按下快门。国内或者国外知名大学校园都可（欢迎介绍国外校园）参与提示：1、参与者请在app store里面搜索手机应用“全球比一比”。下载安装。2、在“最新创意榜”中找到《比一比最美的大学校园》这个话题。进入，先看一下您要介绍的大学是否已经有人发布过，如果有人发布过那就不需要再做了（但是应用可以保留，我们每隔两天会出新的话题可以选择）3、点右上角的菜单（三个小圆点），在菜单里面找到“发新帖”。（需要注册和登陆用手机号、微信或邮箱都可）4、按照提示输入你拍摄的照片和简单信息，然后发布。要按照提示问题的内容进行拍照。----需要发布成功，在app应用中可见，才算完成照片介绍提示对校园的以下场所进行拍照：校门（可以不同角度的几张）、教学楼和主要建筑物（可以不同角度拍摄）、图书馆（内部和外部）餐厅（可以不同角度，可以多拍几张）教室礼堂（如果有，可以不同角度）宿舍楼校内的标志或场所花园操场等交稿要求：对大学环境的介绍，可以图文并茂，要求照片清晰漂亮并且和场景对应，太模糊或者太混乱的不合格；介绍一两句话即可，也可写一些感受或见闻。照片最少20张，多则不限（不超过40张，我们会进行选择），一定是根据要求自己拍摄的真实照片，以前拍过的比较好的照片也可以提交，但是不要用从网上找到的图片，非原创的照片视为不合格。有兴趣的朋友和我联系另外，现在我们这边有许多话题需要拍照和参与，如果适合的话有机会长期合作有需要帮助的地方可加我qq：249571355。微信：15320022577.  在上传照片前请和我联系一下告知校园名称和学校情况（因为需要比较知名漂亮的校园）,任务编号：408837,,,,,,,,,,
【广告片/MV】上传原创AE模板获得奖励，详情看内容,https://task.epwk.com/302023/,4425人,0人,¥100,zuoshitu,￥ 100,,2014.08.22,现网站发展需要，特收集原创AE模板，看清楚了哦是原创模板，不要直接下载下来的你上传到网站上之后，这个模板卖出去的钱还是归你所有，这是奖励上传者的。所以大家积极上传吧，上传后卖的钱还是属于你的。百度搜索左视图网（zuoshitu#com #号换成点），第一个就是，注册你自己的用户名然后上传成功把模板的链接网址发在交稿处，就会得到5元，希望大家积极参与。  绝对真实有效。  或者联系QQ 2010 302003  传成功一个支付一个,任务编号：302023,,,,,,,,,,
【广告片/MV】上传原创AE模板获得奖励，详情看内容,https://task.epwk.com/297758/,3783人,0人,¥200,zuoshitu,￥ 200,,2014.07.30,现网站发展需要，特收集原创AE模板，看清楚了哦是原创模板，不要直接下载下来的你上传到网站上之后，这个模板卖出去的钱还是归你所有，这是奖励上传者的。所以大家积极上传吧，上传后卖的钱还是属于你的。百度搜索左视图网（zuoshitu#com #号换成点），第一个就是，注册你自己的用户名然后上传成功把模板的链接网址发在交稿处，就会得到5元，希望大家积极参与。  绝对真实有效。这是第一期，完成后会马上出第二期，请关注。,任务编号：297758,,,,,,,,,,
【图片处理】高清晰平推门衣柜图片，1稿200,https://task.epwk.com/231112/,9709人,2人,¥400,qq412****65,￥ 400,￥200,2013.09.08,求：高清晰平推门衣柜图片付费按张收费，可长期合作；付费后，照片版权将为我们所有。第一要求：衣柜图片必须高清，必须是实木，门必须是平推门。第二要求：每一款要有衣柜实体图，衣柜摆放效果图，衣柜内部结构图，衣柜局部图（如衣通、抽屉、拉手等，越详细越好）衣柜尺寸图第三要求：对衣柜要明细的介绍，它属于哪一种风格，它的用料是哪种实木，它的配件有哪些功能等可参考附件文档中的案例提交截图稿件，也可加我QQ详谈,任务编号：231112,lixiaoen,,,,,,,,,
【图片处理】为我的男朋友征集祝福短信,https://task.epwk.com/213907/,12936人,34人,¥50,ace公主,￥ 50,￥27,2013.04.24,"发5月2日给我男朋友的生日祝福短信1：发送内容：你好，冲冲叔叔 我是来自XX城市的XXX,代表最爱你的小白兔祝你生日快乐,（祝福语）。注：祝福语的内容自由发挥，祝福语内容越精彩越好（譬如大致内容当然是以你们的语气喽———-我们虽然经历过了分离但是现在我们在一起就要好好珍惜，虽然或多或少给你带来过伤害，但亲爱的你始终要记住，我都是希望亲爱的每天都开开心心，快快乐乐），当然也要有诚挚的生日祝福。2：发送手机：156103686663：发送时间：2013年5月2号10：00—15:00（从第一个投标的威客每隔大概5分钟左右发一条，以下威客都按这个时间往下算）.发送要求: 希望大家化身为不同城市的天使来替我传达祝福.4：.审核标准：以图片截图，手机号码核对为准！5：温馨提示：请大家看清发送要求在开始操作,先择定时发送哈,不要提前或是晚发!为保证有更多不同城市的祝福，每人限发1条! 以上是该任务的要求，欢迎大家积极参与威客任务-送上生日祝福，谢谢大家，大家还可以对该任务发表评论、评分，祝愿您能在该任务胜利中标！",任务编号：213907,"工作室 |            
            倾情为你","个人 |            
            文君工作室","个人 |            
            璐璐等那落雪","个人 |            
            璐璐等那落雪","个人 |            
            潘多拉",aa1456096268,梦旅人0758,"个人 |            
            妞的设计铺",安静一夏天,安静一夏天
【图片处理】征集京东、苏宁以及国美商城的价格情报截图,https://task.epwk.com/188032/,50674人,42人,¥1200,epweike,￥ 1200,￥1125,2012.08.15,"在中国做企业家，尤其是做成功的企业家，成功的电商，不吹不行；不大炮更不行。在大炮的轰隆声中，或者得到永生，或者屹立不倒。        8月14日，中国三大家电巨头:苏宁易购、京东商城、国美电器都宣称自己的东西比对手便宜5-10%。就差发个誓把对手诅咒死。火拼8月15日上午9点开始。        三家都说自己便宜，貌似还发了誓，中间肯定两人撒了谎，吹了牛。一品威客网 建议在今天9:00后大家都不要下单，到一品威客网先看看三家比价，谁价格低，谁在乱放炮，再下单。        现一品威客网（http://www.epweike.com）面向全国网友征集价格情报截图信息:3家商城在同一时间相同商品（大家电或其它）的价格比价及截图。         要求:相同商品、相同时间点、售价截图。需注明截图获取时间点，并三家截图拼接上传，便于比价。      活动时间：2012年8月15日——2012年8月31日        公益性活动，第三方立场，价格情报员，免费服务全国消费者，欢迎参加。一品威客网将即时审核，在官方微博发布网友提交的截图。        活动期间，提交截图最多的朋友，还将获得一品威客网送出的35智能手机一台。        好戏等你来看。        国内电商大炮语录:        刘强东: 今天（8月14日），我再次做出一个决定：京东大家电三年内零毛利！如果三年内，任何采销人员在大家电加上哪怕一元的毛利，都将立即遭到辞退！从今天起，京东所有大家电保证比国美、苏宁连锁店便宜至少10%以上，公司很快公布实现方法！        刘强东: 从明天（8月15日）上午九点开始，京东商城所有大家电价格都比苏宁线上线下便宜！并且无底线的便宜，如果苏宁敢卖1元，哪京东的价格一定是0元！买大家电的人，不关注京东必吃亏。        苏宁易购李斌：保持价格优势是我们对消费者最基本的承诺，我重申：苏宁易购包括家电在内的所有产品价格必然低于京东,任何网友发现苏宁易购价格高于京东,我们都会即时调价,并给予已经购买反馈者两倍差价赔付。明天9：00开始，苏宁易购将启动史上最强力度的促销。        国美电器:【京东卖一元，国美就卖九毛五】废话不多说，明天(8月15日）9:00起，国美电器电子商城全线商品比京东商城低5%。拒绝虚假低价、噱头式促销，低价不是喊出来的。要来就来真低价。        国美副总裁何阳青:国美从不回避任何形式的价格战，从8月15日9点开始，国美电器网上商城全线商品价格将比京东商城低5%。并且从本周五开始，国美1700多家门店将保持线上线下一个价。",任务编号：188032,"个人 |            
            小精灵7288的店铺","个人 |            
            暖色暖香的商铺","个人 |            
            hanfei579的店铺",ainioo7,helnwein,helnwein,helnwein,"个人 |            
            纬格视觉","个人 |            
            纬格视觉","个人 |            
            纬格视觉"
【新媒体营销】新人都可做的简单任务，qq新媒体推广,https://task.epwk.com/186232/,10571人,46人,¥50,一小文,￥ 50,￥50,2012.07.30,"1.加qq1453195091,所加qq号必须两个月亮以上2.一qq一稿，一人限做一次，禁止小号，禁止废号，禁止放那不用的号3.三个月内不得删除",任务编号：186232,"个人 |            
            汀雨轩阁",tjxwm1,"个人 |            
            莉莎fls的店铺",8023任佩,花欲孽,"个人 |            
            k13994130262的店铺",花欲孽,"个人 |            
            竹枝小仙的店铺","个人 |            
            效率小窝","个人 |            
            星光传媒工作室"
【图片处理】喜欢作图的来帮我桌面的制作图签风格,https://task.epwk.com/183383/,14738人,10人,¥50,xiaomini,￥ 50,￥12,2012.07.07,"http://tieba.baidu.com/f/tupian/album?kw=%D1%EE%D8%A9%C1%D5&an=_%C1%D5%B0%C9%B9%AB%D3%C3%C7%A9 要把照片做成这些风格的
做这种效果的~~朦胧美化过的 谢谢
素材在这里http://115.com/file/dpjask08

自由按风格组合
1920*1080的最清晰模式",任务编号：183383,"个人 |            
            威客天才","个人 |            
            威客天才","个人 |            
            威客天才","个人 |            
            张梦娜的店铺","个人 |            
            加利利的店铺","个人 |            
            说白了微商只是变质了的零售而已",,,,
【视频定制】我需要录制客户见证视频,https://task.epwk.com/160666/,6336人,0人,¥100,弹指间心无间,￥ 100,,2011.11.12,"我需要制作客户见证视频，用于我们在四川、云南、贵州等地的宣传对客户进行引导。（用数码相机或者清晰点的手机即可，需要拍摄下来），然后自己则在视频内说见证内容：例如：我学习了XXX的技术，现在怎么怎么样。关于寿司制作技术和手机维修技术，需要有实践操作平台，例如：寿司店铺，手机维修店铺，这些地方录制。能做的加我QQ索 
要稿件.不能做不要加。做好直接交稿，选择隐藏稿件。

QQ：550339768（请注册名来自一品威客）

温馨提醒：任务征集期间，交易双方交流可通过:一品威客站内信、任务详情之威客任务交流区或咨询一品威客在线客服人员。",任务编号：160666,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
