标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【剪辑服务】长期外包视频剪辑,https://task.epwk.com/1121426/,4351人,1人,1000-3000元,选标中,,信息流视频剪辑方向，每月20到30条的剪辑需求。,2025.05.07,,任务编号：1121426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他短视频】产品视频剪辑,https://task.epwk.com/1121420/,906人,1人,1000元以内,工作中,,"品牌茶叶产品视频制作，围绕饮茶文化宣传，多平台推广短视频，15s-1min中长视频剪辑制作视频制作要求：可以寄拍方式，做产品介绍的信息流视频；可以测评，做分享类视频；能接受部分ai镜头，但需要画面跟文案一致，且表达流畅；可以图文内容或插故事、鸡汤文案制成相关的视频；可以文艺的表达，如果喜欢琴棋书画也可以加相关镜头，场景化体现即可内容任选，可自主创新，软硬广皆可，合适的可以众包或长期合作，也可接受达人定制供货知识产权说明：1、所创作的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由创作者承担所有法律责任;2、中标的创作作品，我方支付创作制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对创作作品进行修改,组合和应用;创作者不得再向其他任何地方使用该设计作品。",2025.05.07,,任务编号：1121420,￥900,7天,河北省-唐山市-路北区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意类视频创作】创意短视频制作,https://task.epwk.com/1121362/,312人,1人,1000元以内,投标中,,我们提供三种灵活合作方式，可任选其一或多项：1.抽象产品展示：直接拍摄我们提供的抽象产品，展示其用法、玩法。2.创意剪辑：使用我们提供的产品视频素材，进行创意剪辑再创作。3.拍摄+剪辑：可以根据我们提供的脚本拍摄+剪辑，也欢迎你自编自导！报酬方式：按条结算，价格视作品质量而定，成品合格即可付费。合作愉快可长期供稿、稳定合作！,2025.05.06,,任务编号：1121362,￥700,5天,海南省-海口市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【三维动画】办公家具三维动画制作,https://task.epwk.com/1120209/,383人,1人,5000-10000元,待验收,,片长：50秒制作周期：15天类型：办公家具产品三维动画剪辑和包装：不需要。要求：突出产品质感，画面富有艺术感详情：需要从不同角度展现办公家具产品的外观和功能，。以办公台为主，其他办公空间配套家具辅助呈现。,2025.04.24,,任务编号：1120209,￥2100,5天,河南省-开封市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【二维动画】动画片段绘制,https://task.epwk.com/1119896/,306人,1人,5000-10000元,工作中,,我们已经确定好了动画剧本、分镜和角色设计，鉴于我们绘画能力不足，希望可以帮助我们完成部分动画制作，不需要上色，时间大概在2分20秒左右，细节可以加微信讨论,2025.04.22,,任务编号：1119896,￥6000,23天,河北省-衡水市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【后期制作】分镜脚本制作,https://task.epwk.com/1116354/,2078人,1人,5000-10000元,工作中,,分镜脚本制作，具体按照沟通好的制作,2025.03.24,,任务编号：1116354,￥7000,10天,吉林省-长春市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【抖音代运营】短视频渠道代运营，游戏赛事解说短视频,https://task.epwk.com/1065727/,4446人,1人,1万-2万元,待验收,,称呼：张先生1、精通短视频渠道新媒体运营运营规则，有熟练的短视频运营技巧2、精通德州，能生产具有吸引力的德州比赛解说视频3、具备一定的短视频剪辑功底。短视频平台代运营与德州解说视频统一由你负责管理。,2023.12.01,,任务编号：1065727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】晚会视频剪辑,https://task.epwk.com/1058708/,25704人,1人,1000元以内,待验收,,晚会视频剪辑，具体联系详谈,2023.09.25,,任务编号：1058708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】直播画面+粉丝私下聊天语音素材剪辑,https://task.epwk.com/1049980/,21812人,1人,1000元以内,待验收,,几乎每天都需要剪辑我的直播素材 或粉丝私下互动的素材。不需要什么很高要求的剪辑技术叭，最主要就是剪辑师本人也是年轻人，懂一些网络梗之类的。,2023.07.18,,任务编号：1049980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】视频混剪，无需真人出镜,https://task.epwk.com/1038772/,19230人,2人,1000元以内,待验收,,视频混剪，无需真人出镜，直接给案例，文案脚本公司提供，可调换背景配音，具体详谈,2023.04.28,,任务编号：1038772,￥1000,3天,山东省-青岛市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】产品动画视频制作,https://task.epwk.com/562844/,35275人,2人,2万-5万元,工作中,,1-2分钟左右，做个产品动画视频,2017.12.13,,任务编号：562844,"￥34500,￥5000","30天,3天","江苏省-南京市-浦口区,广东省-佛山市-南海区",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【三维动画】C4D赛道动画渲染制作，连夜制作的来！,https://task.epwk.com/1121037/,114人,1人,5000-10000元,圆满完成,同君行gWJEU,提供赛道C4D工程文件，提供无人机obj文件，需要把无人机放在赛道的起飞点里起飞，四个旋翼需要旋转，无人机在扫描二维码时需要提供一定的效果，碰撞需要做物理效果，制作6个不同的赛事花絮片段，一个片段大概15-45秒，可以接急单的优先！,2025.04.30,2025.05.06,任务编号：1121037,￥6800,1天,广东省-深圳市,大桥设计,https://shop.epwk.com/j7n38j1xl5e1/,大桥设计,出售服务,https://shop.epwk.com/j7n38j1xl5e1/chushou/,个人,六品,75分,总 2 次中标，交易总金额,￥8400.00,大桥设计,,人物建模以及场景搭建,价格面议,3D动画制作,价格面议,2D动画制作,价格面议,,,,,,,,,,,,
【剪辑服务】口播文案混剪,https://task.epwk.com/1114678/,298人,2人,1000元以内,圆满完成,辽宁玉屏旅游,2分左右的内容，本人出镜+景点风光美食视频混剪,2025.03.13,2025.03.14,任务编号：1114678,￥100,2天,河北省-衡水市,影创信息科技,https://shop.epwk.com/v0n1xwkxl57y/,影创信息科技,出售服务,https://shop.epwk.com/v0n1xwkxl57y/chushou/,企业,七品,52分,总 3 次中标，交易总金额,￥7050.00,影创信息科技,,AI人物视频,价格面议,,,,,,,,,,,,,,,,
【产品视频】电商产品详情页视频拍摄--午餐盒,https://task.epwk.com/1114103/,3096人,2人,1000-3000元,圆满完成,流水少年,1：产品为午餐盒。2：外贸产品3：视频长度1分钟以内4：希望拍摄有创意高质量的产品视频,2025.03.11,2025.04.14,任务编号：1114103,￥2000,5天,河北省-石家庄市,影创信息科技,https://shop.epwk.com/v0n1xwkxl57y/,影创信息科技,出售服务,https://shop.epwk.com/v0n1xwkxl57y/chushou/,企业,七品,52分,总 3 次中标，交易总金额,￥7050.00,影创信息科技,,AI人物视频,价格面议,,,,,,,,,,,,,,,,
【影视拍摄】企业宣传片的拍摄,https://task.epwk.com/1108042/,131人,1人,3000-5000元,圆满完成,k8698****68,称呼:郭女士地区:上海需求:韩国进口美容仪器拍一个宣传片，3-5分钟，有对标仪器品牌，对标仪器厂家LPG，英特波，美迪迈，Ross等，需要拍摄带过往的案例详聊完成时间:下周预算:具体详聊备注：微信沟通,2025.02.12,2025.02.24,任务编号：1108042,￥4000,5天,上海市-市辖区,上海光梭行工作室,https://shop.epwk.com/81n41gexynp6/,上海光梭行工作室,出售服务,https://shop.epwk.com/81n41gexynp6/chushou/,个人,四品,65分,总 6 次中标，交易总金额,￥2.2万,上海光梭行工作室,,商业文案服务,"￥3000
            /起",商业影视拍摄,"￥5000
            /起",影视后期制作,"￥1000
            /起",,,,,,,,,,,,
【剪辑服务】视频剪辑制作,https://task.epwk.com/1104212/,659人,1人,1000-3000元,圆满完成,k6634****20,称呼:王先生地区:福建厦门需求：视频公司：中明科网综合能源有限公司视频金额：1000元附加：若视频反馈较好，可多给予总金额20%-50%奖金视频要求：视频时常约5分钟，视频内容需要贴合我司提供的文字、视频素材，风格统一交付时间：（1）于2025年1月16日完成样片交付（2）我司收到样片后会进行审核，审核过程中提出的修改意见需要在2025年1月17日完成修改不满足预期要求及未按期交付的处理方案：（1）若样片不满足预期且在后期修改时间内无法达到预期要求，我司仅支付50%费用（2）若视频公司未按期交付给我司造成了直接经济损失，如错过重要活动的宣传时机、增加了额外的宣传成本等，视频公司需要承担赔偿责任知识产权与版权归属：企业宣传片的版权归我司所有，视频公司仅享有署名权。同时需保证所提供的素材和制作内容不侵犯他人的知识产权人人文库,2025.01.14,2025.01.22,任务编号：1104212,￥1000,2天,山东省-济南市,鲸语 科技,https://shop.epwk.com/j7n38j1935e1/,鲸语 科技,出售服务,https://shop.epwk.com/j7n38j1935e1/chushou/,企业,四品,63分,总 10 次中标，交易总金额,￥2.14万,鲸语 科技,,APP软件开发,"￥1000
            /起",小程序软件开发,"￥1000
            /起",SAAS区块链开发,"￥1000
            /起",ERP系统开发,"￥1000
            /起",项目管理软件开发,"￥1000
            /起",OA系统开发,"￥1000
            /起",,,,,,
【视频定制】产品使用说明视频定制,https://task.epwk.com/1101280/,533人,1人,1000元以内,圆满完成,致利昂ofCoB,我手头有素材，一些图片和视频，需要制作成使用说明视频。,2024.12.26,2025.01.08,任务编号：1101280,￥100,5天,河北省-唐山市-路北区,慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,,,,,,,,,,
【影视拍摄】产品开箱视频拍摄,https://task.epwk.com/1097485/,263人,1人,1000-3000元,圆满完成,k3692****40,地区:深圳及周边需求:拍摄产品开箱视频，用于电商店铺首页需要有模特进行产品开箱体验，一共两款，每款拍一条预算1000内完成时间:看沟通进展备注：手机微信同号,2024.11.23,2024.12.02,任务编号：1097485,￥1000,7天,河北省-唐山市,慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,,,,,,,,,,
【剪辑服务】企业宣传视频制作,https://task.epwk.com/1096260/,173人,1人,3000-5000元,圆满完成,k7383****90,称呼:姚先生地区:上海需求:做企业宣传视频，做个 1-2 分钟的企业介绍视频，有初步起草的脚本 11月 19 日参会要使用 经济一点，快速一点，尽可能用公开素材或者自拍素材,2024.11.08,2024.11.18,任务编号：1096260,￥3000,7天,河北省-唐山市-路北区,慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,,,,,,,,,,
【动画制作】动画制作,https://task.epwk.com/1094509/,249人,1人,5000-10000元,圆满完成,k7936****12,项目:动画制作称呼:陈总 地区:湖北武汉需求:动画制作，要跟参考的视频一樣的等級，具体详谈,2024.10.21,2024.11.19,任务编号：1094509,￥5000,15天,安徽省-合肥市,合肥四维虹动画,https://shop.epwk.com/0jnek9e99nv3/,合肥四维虹动画,出售服务,https://shop.epwk.com/0jnek9e99nv3/chushou/,企业,五品,41分,,,合肥四维虹动画,,AI动画/图生图/图生动画,价格面议,企业宣传片拍摄/剪辑,价格面议,360°全景VR,价格面议,视频剪辑/AE特效,"￥500
            /起",三维工程动画/桥梁/隧道/铁路/公路等三维施工模拟动画,"￥1000
            /起",效果图/鸟瞰图/彩平图,"￥500
            /起",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】企业宣传视频剪辑,https://task.epwk.com/1093896/,1555人,8人,1000元以内,圆满完成,威品堂9jBdx,企业宣传视频剪辑，时长5-7分钟，有视频机图片，需要拼到一起，预算500以内，超过不考虑。,2024.10.14,2024.11.14,任务编号：1093896,"￥200,￥500,￥150,￥290,￥400,￥500,￥360,￥500","1天,5天,5天,3天,3天,3天,5天,4天","广东省-东莞市,贵州省-贵阳市,安徽省-安庆市,河南省-安阳市,江苏省-南京市,宁夏-银川市,江苏省-南京市",铭睿剪辑,https://shop.epwk.com/p05qj330wdev/,铭睿剪辑,出售服务,https://shop.epwk.com/p05qj330wdev/chushou/,工作室,九品,37分,,,铭睿剪辑,,,,,,,,,,,,,,,,,,,
【后期制作】服装宣传片剪辑制作,https://task.epwk.com/1093371/,2098人,4人,1000元以内,圆满完成,威恒天下2TVWX,剪辑1分钟以内，已经拍摄好了，希望可以长期合作的视频后期剪辑的工作室， 可以调色， 有很多后期制作方面的经验。,2024.10.08,2024.10.24,任务编号：1093371,"￥800,￥500","2天,5天","四川省-成都市,江苏省-南京市",澜图工作室,https://shop.epwk.com/89dvg1144dl2/,澜图工作室,出售服务,https://shop.epwk.com/89dvg1144dl2/chushou/,个人,七品,37分,,,澜图工作室,,,,,,,,,,,,,,,,,,,
【剪辑服务】化妆品产品宣传视频拍摄,https://task.epwk.com/1092208/,396人,1人,1000元以内,圆满完成,k3923****78,"称呼:王先生 所在行业:化妆品组织性质:公司地区:河北省,石家庄市需求:化妆品产品宣传视频拍摄，有参考的样版，大概在30秒左右，不用太长，石家庄，我可以带产品上门拍摄，性价比高的团队完成时间:越快越好预算:报价联系",2024.09.19,2024.09.24,任务编号：1092208,￥160,2天,河北省-唐山市,安生工作室,https://shop.epwk.com/zqdpl2g6on1v/,安生工作室,出售服务,https://shop.epwk.com/zqdpl2g6on1v/chushou/,个人,七品,55分,总 5 次中标，交易总金额,￥1569.50,安生工作室,,【产品文案】,价格面议,【产品拍摄】,价格面议,【字幕处理】,价格面议,【视频配音】,价格面议,【视频剪辑】,"￥100
            /件",视频代运营,"￥8888
            /件",【视频拍摄】,价格面议,,,,
【剪辑服务】投流视频代剪辑,https://task.epwk.com/1090380/,230人,2人,1000元以内,圆满完成,DZZ威,称呼:吴女士需求:投流视频代剪辑，有素材和文案 一周10-20条目前 ，30-60秒，需要能开fa票，税点我可以出，对投流视频很熟悉，懂得剪辑基本要求的卡点、音乐、配音、字幕等等技能完成时间:未定预算:50-80备注：微信手机号,2024.08.27,2024.08.31,任务编号：1090380,"￥500,￥200","5天,4天","山东省-滨州市,云南省-文山壮族苗族自治州-富宁县",HR传媒,https://shop.epwk.com/81n41g9qlnp6/,HR传媒,出售服务,https://shop.epwk.com/81n41g9qlnp6/chushou/,个人,七品,37分,,,HR传媒,,短视频（拍摄/剪辑）,"￥500
            /起",小红书视频（拍摄/剪辑）,"￥500
            /起",淘宝短视频剪辑,"￥500
            /起",短视频点赞视频（拍摄/剪辑）,"￥500
            /起",,,,,,,,,,
【剪辑服务】剧情剪辑，加静帧动画,https://task.epwk.com/1090372/,727人,1人,1000元以内,圆满完成,领域之巅CIJ2E,视频时长：3分钟脚本和文案提供，素材已拍摄好，灰片，套的LUT也提供提供参考视频要求：3天时间剪好，至少修改5次,2024.08.27,2024.09.03,任务编号：1090372,￥688,3天,山东省-淄博市,卓益工作室,https://shop.epwk.com/2j5xo4go95xm/,卓益工作室,出售服务,https://shop.epwk.com/2j5xo4go95xm/chushou/,个人,八品,36分,,,卓益工作室,,,,,,,,,,,,,,,,,,,
【剪辑服务】企业宣传视频剪辑,https://task.epwk.com/1088498/,2230人,8人,1000元以内,圆满完成,doreen88,企业宣传视频剪辑，时长2分左右，已有视频，需后期剪辑制作，具体详谈。,2024.08.05,2024.08.27,任务编号：1088498,"￥230,￥600,￥600","7天,2天,2天","河北省-唐山市-路北区,江苏省-南京市-浦口区,山东省-聊城市",慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,,,,,,,,,,
【创意短视频】剪辑视频制作,https://task.epwk.com/1087925/,1565人,4人,1000元以内,圆满完成,mark878,"视频1分钟之内，内容要求名人讲英语，价格150元一条,可长期合作。",2024.07.30,2024.08.08,任务编号：1087925,"￥150,￥500,￥500","7天,2天,1天","河北省-唐山市-路北区,山东省-潍坊市,四川省-乐山市",慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,,,,,,,,,,
【剪辑服务】视频剪辑任务,https://task.epwk.com/1085965/,4451人,1人,1000元以内,圆满完成,fswytx,1、根据剪辑要求，和素材，剪辑成片；2、欢迎个人或团队接单；,2024.07.11,2024.09.08,任务编号：1085965,￥420,3天,广东省-茂名市,燊源影视,https://shop.epwk.com/81n41g9olnp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【视频定制】使用高清素材和AE制作超宽视频,https://task.epwk.com/1084292/,354人,2人,1000元以内,圆满完成,v助利wPA3f,根据我们提供的文字脚本概念，制作 超宽 高清分辨率视频素材。下面是具体功能要求：主题关键词：探索宇宙、太空、中国航天……1、根据我方要求分辨率制作，含动画制作、特效制作、后期剪辑、配音配乐、包装合成、渲染。2、由服务商寻找相关素材进行制作，若需要网上购买付费的高清素材由我方购买，按照我方提供的分辨率制作视频，时长约为120秒~240秒不等。3、由我方指派沟通人员与您沟通。4、您需要足够的耐心来进行沟通，其间可能涉及到项目的修改，挺有耐心的服务商与我们对接。5、项目在平台托管后，服务商完成制作将项目打包上线。服务商源文件交接完成并编译通过后支付余额。费用： 500~1000（个），难度大的可以增加。只接受个人服务商报名，团队或公司请绕道，请联系微信。项目中涉及的开票税费由服务商承担。,2024.06.25,2024.07.04,任务编号：1084292,￥500,5天,上海市-市辖区-松江区,柏枳视觉工作室,https://shop.epwk.com/2j5jjgpqk5pz/,柏枳视觉工作室,出售服务,https://shop.epwk.com/2j5jjgpqk5pz/chushou/,个人,九品,56分,,,柏枳视觉工作室,,,,,,,,,,,,,,,,,,,
【抖音视频】百货视频拍摄,https://task.epwk.com/1082471/,2119人,2人,1000元以内,圆满完成,威威虎QUlUv,百货视频拍摄，需要按对标视频拍摄。不允许用网上素材混剪，不满足原创的都不通过。AI配音，可以提供魔音工坊账号。长期合作，按单条结算。请报价你的单条价格。案例视频：https://v.douyin.com/ijfyhDTU/ G@v.SL 07/29 TLj:/需要有自己拍摄过的案例,2024.06.05,2024.07.09,任务编号：1082471,"￥400,￥300","15天,2天","河北省-唐山市-路北区,上海市-市辖区",安生工作室,https://shop.epwk.com/zqdpl2g6on1v/,安生工作室,出售服务,https://shop.epwk.com/zqdpl2g6on1v/chushou/,个人,七品,55分,总 5 次中标，交易总金额,￥1569.50,安生工作室,,【产品文案】,价格面议,【产品拍摄】,价格面议,【字幕处理】,价格面议,【视频配音】,价格面议,【视频剪辑】,"￥100
            /件",视频代运营,"￥8888
            /件",【视频拍摄】,价格面议,,,,
【其他短视频】做一个大概15到20秒的闪电击中树木的视频，价格工期可议,https://task.epwk.com/1081997/,2958人,1人,1000元以内,圆满完成,刘远,需要一个视频，视频内容为阴雨天里闪电击中一颗大树。原视频有，闪电落下到击中树木的几秒钟需要P，能做的私聊。价格工期可直接在投标里写出来，不接受大型工作室投标。要求质量，如果合作好，后续也会有很多类似任务！有意长期合作的优先！附件有类似效果的照片可以看一下。,2024.05.31,2024.08.15,任务编号：1081997,￥500,1天,四川省-成都市,伟迪动画【威客店】,https://shop.epwk.com/2j5jjg1x95pz/,伟迪动画【威客店】,出售服务,https://shop.epwk.com/2j5jjg1x95pz/chushou/,企业,九品,41分,,,伟迪动画【威客店】,,产品动画视频,"￥8000
            /次",三维动画制作,"￥200
            /起",工程动画视频,"￥6000
            /次",工业动画视频,"￥9000
            /次",建筑动画视频,"￥9000
            /次",品牌动画视频,"￥5000
            /次",机械动画视频,"￥6000
            /次",,,,
【产品拍摄】玩具收纳架的产品短视频拍摄,https://task.epwk.com/1081158/,522人,1人,1000-3000元,圆满完成,小蜜蜂QCx8h,邱经理福州（服务商地域不限）需求:玩具收纳架的产品短视频拍摄每天要20条  十几秒的 质量不用太高，投放到天猫拼多多等商铺主页，有的可以真人出镜，有的不用，可以用ai播报宣传用途  有对接过这类业务的拍摄团队 再来联系备注:微信号是手机号（先加微信）,2024.05.23,2024.06.11,任务编号：1081158,￥1500,7天,河北省-唐山市-路北区,慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,,,,,,,,,,
【剪辑服务】照片合集视频剪辑,https://task.epwk.com/1079341/,350人,1人,1000元以内,圆满完成,领域之巅iJnTd,联系人：杨先生备注：有一个旅游照片剪辑一下 一百张照片。五个视频 合在一起  报价联系，微信手机号,2024.05.07,2024.05.10,任务编号：1079341,￥150,2天,福建省-泉州市,小林剪辑室,https://shop.epwk.com/m7d7wo2yk5q8/,小林剪辑室,出售服务,https://shop.epwk.com/m7d7wo2yk5q8/chushou/,个人,九品,36分,,,小林剪辑室,,,,,,,,,,,,,,,,,,,
【剪辑服务】工作室视频剪辑,https://task.epwk.com/1078607/,6173人,1人,1000元以内,圆满完成,Mr186****0238,帮剪辑工作视频，10s内,2024.04.28,2024.07.04,任务编号：1078607,￥500,30天,广东省-深圳市-福田区,有点久文化,https://shop.epwk.com/m7d7wo2ek5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】把视频中间部分截取,https://task.epwk.com/1076575/,1524人,3人,1000元以内,圆满完成,威创金品N0tWx,把个税收入纳税明细部分截取，修改,2024.04.09,2024.04.12,任务编号：1076575,￥300,2天,福建省-福州市-鼓楼区,安安子视觉创意工作室,https://shop.epwk.com/0jnek9jjjnv3/,安安子视觉创意工作室,出售服务,https://shop.epwk.com/0jnek9jjjnv3/chushou/,工作室,九品,34分,,,安安子视觉创意工作室,,短视频文案创意,"￥300
            /次",企业宣传片拍摄制作,"￥10000
            /次",产品短视频推广,"￥800
            /次",,,,,,,,,,,,
【产品视频】需要剪辑10条视频,https://task.epwk.com/1073017/,1404人,3人,1000元以内,圆满完成,威创金品XGQXG,关于蔬菜类类的介绍视频，一个视频3-5分钟，需要做至少10条，,2024.03.05,2024.03.08,任务编号：1073017,￥600,2天,河北省-衡水市,爱尚剪辑工作室,https://shop.epwk.com/78n96rwl0nkv/,爱尚剪辑工作室,出售服务,https://shop.epwk.com/78n96rwl0nkv/chushou/,个人,八品,38分,,,爱尚剪辑工作室,,限时低价高质帮您制作请把握住机会哦,"￥50
            /件",,,,,,,,,,,,,,,,
