标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额
【工程造价】小区体育设施建设工程造价,https://task.epwk.com/963330/,331人,1人,1000-3000元,圆满完成,招标,k8217****9,住宅小区拟新增一些体育设施，希望有专业人士帮忙出一个小工程的报价方案,2021.10.11,2021.10.21,任务编号：963330,￥3000,5天,江苏省-苏州市-市辖区,武功空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】中医馆装修设计,https://task.epwk.com/964139/,293人,1人,1万-2万元,圆满完成,招标,k7161****6,中医馆门诊，已经开了十多年，要重新做室内装修，除了提供效果图最好也能做下空间设计,2021.10.11,2021.10.23,任务编号：964139,￥20000,4天,吉林省-吉林市-市辖区,淄博前景空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】复式办公楼装修设计,https://task.epwk.com/963930/,285人,1人,3000-5000元,圆满完成,招标,k5990****4,初创公司租了复式的200平办公楼，想要装修一下，求装修布置方案,2021.10.11,2021.10.20,任务编号：963930,￥5000,3天,辽宁省-大连市-市辖区,室内设计 曾,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】130㎡无主灯样板间设计,https://task.epwk.com/964118/,640人,1人,2万-5万元,圆满完成,招标,k7418****6,130㎡、三室一厅的无主灯样板间设计，风格为意式轻奢风,2021.10.11,2021.10.23,任务编号：964118,￥40000,5天,江西省-上尧市-市辖区,一品空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】金融机构办公楼导视设计方案,https://task.epwk.com/963907/,220人,1人,5000-10000元,圆满完成,招标,k2254****3,金融机构一楼导视设计，风格偏轻奢风，与办公楼定位一致,2021.10.11,2021.10.24,任务编号：963907,￥8000,5天,吉林省-长春市-市辖区,EATUSE设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】公司活动需要舞台设计,https://task.epwk.com/963950/,313人,1人,1000-3000元,圆满完成,招标,k1884****8,公司搞了个稍微大型的活动，想用LED屏做舞台设计，要大气些，把这块屏衬托出来,2021.10.10,2021.10.24,任务编号：963950,￥2000,5天,浙江省-杭州市-市辖区,唯你空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】诊所识别系统、导视设计,https://task.epwk.com/963905/,284人,1人,5000-10000元,圆满完成,招标,k1875****0,儿童医院导视设计，整体要有现代感，又不是去亲切的氛围,2021.10.10,2021.10.20,任务编号：963905,￥10000,5天,辽宁省-大连市-市辖区,大匠康宅,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】酒店活动舞台设计,https://task.epwk.com/963952/,356人,1人,1000-3000元,圆满完成,招标,k4548****0,想要一个方便折叠的舞台，尺寸1.22m*2.44m; 1.83m*2.44m,2021.10.10,2021.10.22,任务编号：963952,￥3000,3天,河北省-石家庄市-市辖区,设计胡小2,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】老小区复式小户型翻新,https://task.epwk.com/963927/,195人,1人,1000-3000元,圆满完成,招标,k1935****3,一个老小区的小户型，复式设计，需要翻新，急求方案，预算有限，有意联系,2021.10.10,2021.10.20,任务编号：963927,￥3000,4天,海南省-海口市-市辖区,曲高建筑装饰设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】T台走秀的舞台设计,https://task.epwk.com/963951/,238人,2人,1000-3000元,圆满完成,招标,k3844****5,我们要举行的T台走秀，先要一个专业的舞台设计,2021.10.10,2021.10.22,任务编号：963951,"￥3000,￥3000","6天,7天","广西省-桂林市-市辖区,浙江省-温州市-市辖区",张张烘焙甜点设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】体检中心整体装修设计方案,https://task.epwk.com/962938/,242人,1人,3000-5000元,圆满完成,招标,k9558****1,新成立的体检中心，需要做整体的室内公装设计，最好能偏向于欧美系风格,2021.10.10,2021.10.22,任务编号：962938,￥4000,5天,甘肃省-兰州市-市辖区,共创空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】单身公寓样板间设计,https://task.epwk.com/962934/,370人,1人,1万-2万元,圆满完成,招标,k5921****8,loft户型的单身公寓，需要做样板间设计，重点要体现房子的收纳功能,2021.10.10,2021.10.19,任务编号：962934,￥20000,3天,浙江省-绍兴市-市辖区,k365143731,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】影城内部导视设计,https://task.epwk.com/963906/,177人,1人,5000-10000元,圆满完成,招标,k7005****5,影城有四层，需要做每个空间的导视设计，方便客人更快速找到对应的影厅,2021.10.10,2021.10.22,任务编号：963906,￥10000,6天,广西省-柳州市-市辖区,建维青年设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】精装修样板间设计与施工,https://task.epwk.com/962933/,370人,1人,2万-5万元,圆满完成,招标,k7566****7,75平，需要做精装修样板间，并施工，急,2021.10.10,2021.10.22,任务编号：962933,￥40000,5天,安徽省-芜湖市-市辖区,唯東设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】创客空间复式楼装修设计,https://task.epwk.com/963926/,463人,1人,1万-2万元,圆满完成,招标,k9508****4,创客空间有500平的复式楼，需要装修，用于后续出租，求方案,2021.10.10,2021.10.24,任务编号：963926,￥20000,5天,北京市-北京市-市辖区,鼎尚空间室内设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】日式原木风样板间设计装修,https://task.epwk.com/962932/,353人,1人,2万-5万元,圆满完成,招标,k3526****3,日式原木风的样板间设计，两室一厅，包施工,2021.10.10,2021.10.21,任务编号：962932,￥45000,5天,山东省-淄博市-市辖区,小飞龙室内设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】医院儿科门诊部装修设计,https://task.epwk.com/962937/,261人,1人,5000-10000元,圆满完成,招标,k9095****8,医院儿科门诊部候诊厅、走廊需要做装潢设计，要卡通可爱一些,2021.10.10,2021.10.20,任务编号：962937,￥8000,3天,山东省-日照市-市辖区,k212410990,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】仓库改造工程造价,https://task.epwk.com/963325/,683人,1人,5000-10000元,圆满完成,招标,k6226****5,县城拥有一个3000平方米的闲置仓库，打算改造成物流仓库，想知道改造费用大概多少,2021.10.10,2021.10.20,任务编号：963325,￥10000,3天,福建省-泉州市-市辖区,唯你空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】连锁药店装修风格设计,https://task.epwk.com/964137/,377人,1人,1000-3000元,圆满完成,招标,k7619****9,品牌连锁药店，要做整体的门店装潢升级，风格要求现代感一些，需要同步考虑空间利用率,2021.10.10,2021.10.23,任务编号：964137,￥3000,4天,重庆市-重庆市-市辖区,三里-设计,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】水池建设工程造价,https://task.epwk.com/963328/,314人,1人,1000-3000元,圆满完成,招标,k1837****3,打算在村里建一个蓄水池，需要一份水池建设工程造价方案,2021.10.10,2021.10.22,任务编号：963328,￥2500,5天,贵州省-遵义市-市辖区,DEZ室内空间设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】乡村道路工程造价,https://task.epwk.com/963326/,623人,1人,5000-10000元,圆满完成,招标,k6198****9,要开发乡村旅游，需要对乡村道路进行改造，求改造工程的报价,2021.10.10,2021.10.20,任务编号：963326,￥8000,4天,河北省-邯郸市-市辖区,威臣装饰工程设计,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】乡镇污水处理工程造价,https://task.epwk.com/963327/,1064人,1人,1万-2万元,圆满完成,招标,k7566****7,乡镇对河流周边污水进行处理，要进绿化、污水处理等，欢迎专业公司报价,2021.10.10,2021.10.21,任务编号：963327,￥15000,4天,山东省-烟台市-市辖区,恒瑾室内设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】卫浴展厅设计,https://task.epwk.com/964116/,472人,1人,1万-2万元,圆满完成,招标,k3305****4,卫浴产品的展厅样板间设计，欧式奢华风,2021.10.10,2021.10.22,任务编号：964116,￥20000,5天,云南省-昆明市-市辖区,设计胡小2,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】艺术馆导视设计,https://task.epwk.com/963922/,169人,1人,3000-5000元,圆满完成,招标,k2567****2,美术艺术馆，日常画展比较多，需要做比较简约、具有人文气息的导视，方便参观者理解,2021.10.09,2021.10.22,任务编号：963922,￥5000,4天,福建省-厦门市-市辖区,餐饮店室内设计,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】临海民宿主题设计,https://task.epwk.com/967569/,390人,1人,1万-2万元,圆满完成,招标,k3526****3,临海独栋别墅，目前已完成基础装修，需要进行软装主题设计，偏向于地中海风格,2021.10.09,2021.10.21,任务编号：967569,￥15000,4天,贵州省-贵阳市-市辖区,幻悟空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】建筑物外装修翻新工程造价,https://task.epwk.com/966828/,310人,1人,1000-3000元,圆满完成,招标,k8550****5,城中村拥有出租屋一栋，需要对要建筑物外面整体翻新，需要翻新工程报价,2021.10.09,2021.10.20,任务编号：966828,￥3000,5天,安徽省-马鞍山市-市辖区,格律设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】康复中心软装设计,https://task.epwk.com/966854/,457人,1人,2万-5万元,圆满完成,招标,k5462****9,医院康复中心，已有基础的空间和装修设计，寻求软装设计方案、效果图，如果能有主题的更好,2021.10.09,2021.10.21,任务编号：966854,￥40000,5天,江苏省-无锡市-市辖区,k530745600,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】剧本杀主题屋装修设计,https://task.epwk.com/967568/,884人,1人,5万-10万元,圆满完成,招标,k3821****9,剧本杀主题屋，面积大概30㎡，要做日系主题设计,2021.10.09,2021.10.21,任务编号：967568,￥70000,5天,浙江省-温州市-市辖区,k543281157,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】幼儿园导视设计方案,https://task.epwk.com/963921/,224人,1人,3000-5000元,圆满完成,招标,k9569****3,幼儿园导视设计，要方便老师及家长准确地了解校园的区域构造和地理分布，用卡通元素+明快配色,2021.10.09,2021.10.22,任务编号：963921,￥5000,6天,山东省-日照市-市辖区,鑫铂装饰设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】复式别墅的设计,https://task.epwk.com/967081/,340人,1人,1万-2万元,圆满完成,招标,k2849****7,一栋复式别墅，需要装修，想要设计师出一份设计方案,2021.10.09,2021.10.21,任务编号：967081,￥15000,5天,广东省-佛山市-市辖区,7空设计,https://task.epwk.com/javascript:;,,,,,,,,
【别墅设计】自建别墅规划设计,https://task.epwk.com/976603/,1876人,6人,1000-3000元,圆满完成,招标,xjxhf119,自建5层别墅室内设计规划,2021.12.27,2022.01.28,任务编号：976603,"￥2500,￥3000","20天,7天","广东省-广州市-天河区,四川省-成都市-郫都区",心悦善和设计,https://shop.epwk.com/m7d7w7g7y5q8/,,,,,,,,
【娱乐休闲】私人影院做前台设计,https://task.epwk.com/963089/,349人,1人,1万-2万元,圆满完成,招标,k4465****5,私人影院前台区域重新装修，区域不大但需要结合现有沙发和桌椅做整体风格设计,2021.10.11,2021.10.22,任务编号：963089,￥20000,5天,辽宁省-沈阳市-市辖区,室内设计、灯光设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】游乐场导视装修设计,https://task.epwk.com/963908/,288人,1人,5000-10000元,圆满完成,招标,k7744****6,主题游乐场导视系统设计与后续的施工落地 ​，有经验的来,2021.10.11,2021.10.21,任务编号：963908,￥10000,5天,江苏省-南通市-市辖区,厚木室内设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】复式小户型设计,https://task.epwk.com/963929/,368人,1人,5000-10000元,圆满完成,招标,k9381****3,复式小户型80多平，准备做装修，想要简约风格的装修设计方案,2021.10.11,2021.10.22,任务编号：963929,￥8000,5天,浙江省-宁波市-市辖区,空间设计工作室1,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】T型舞台的设计方案,https://task.epwk.com/963955/,435人,2人,1000元以内,圆满完成,招标,k5117****9,公司为庆祝上市成功要办一场晚会，舞台要T型的，求一套舞台设计方案,2021.10.11,2021.10.23,任务编号：963955,"￥1000,￥1000","6天,6天","山东省-潍坊市-市辖区,江苏省-扬州市-市辖区",银翼效果图设计表现,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】主题密室逃脱装潢设计,https://task.epwk.com/963090/,354人,1人,1万-2万元,圆满完成,招标,k8566****1,恐怖主题的密室逃脱屋，需要做空间结构和装修风格设计，有预留了一些机关，设计的时候需要隐藏起来,2021.10.11,2021.10.22,任务编号：963090,￥20000,4天,湖北省-襄阳市-市辖区,萤火虫设计_独立设计师,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】小区绿化工程造价,https://task.epwk.com/963331/,1006人,1人,1000-3000元,圆满完成,招标,k8817****7,一住宅小区想要对原有绿化进行改造，种一些更好的植物，求绿化改造工程报价,2021.10.11,2021.10.22,任务编号：963331,￥3000,5天,甘肃省-敦煌市-市辖区,k648097966,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】生产车间建设工程造价,https://task.epwk.com/963329/,2381人,1人,1万-2万元,圆满完成,招标,k6706****2,公司要扩大生产规模，在新场地建设生产空间，需要一些新功能，具体详聊,2021.10.11,2021.10.20,任务编号：963329,￥20000,4天,海南省-三亚市-市辖区,桃源创意设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】别墅区样板间设计,https://task.epwk.com/964119/,598人,1人,2万-5万元,圆满完成,招标,k3173****0,别墅群，需做一套别墅的样板间，有做过的联系,2021.10.11,2021.10.22,任务编号：964119,￥50000,4天,重庆市-重庆市-市辖区,所见空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】200平复式楼房设计,https://task.epwk.com/963931/,796人,1人,2万-5万元,圆满完成,招标,k9381****3,200平左右，复式楼设计，需要整装设计方案,2021.10.11,2021.10.22,任务编号：963931,￥40000,4天,四川省-成都市-市辖区,盛达空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】小区体育设施建设工程造价,https://task.epwk.com/963330/,331人,1人,1000-3000元,圆满完成,招标,k8217****9,住宅小区拟新增一些体育设施，希望有专业人士帮忙出一个小工程的报价方案,2021.10.11,2021.10.21,任务编号：963330,￥3000,5天,江苏省-苏州市-市辖区,武功空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】中医馆装修设计,https://task.epwk.com/964139/,293人,1人,1万-2万元,圆满完成,招标,k7161****6,中医馆门诊，已经开了十多年，要重新做室内装修，除了提供效果图最好也能做下空间设计,2021.10.11,2021.10.23,任务编号：964139,￥20000,4天,吉林省-吉林市-市辖区,淄博前景空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】复式办公楼装修设计,https://task.epwk.com/963930/,285人,1人,3000-5000元,圆满完成,招标,k5990****4,初创公司租了复式的200平办公楼，想要装修一下，求装修布置方案,2021.10.11,2021.10.20,任务编号：963930,￥5000,3天,辽宁省-大连市-市辖区,室内设计 曾,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】130㎡无主灯样板间设计,https://task.epwk.com/964118/,640人,1人,2万-5万元,圆满完成,招标,k7418****6,130㎡、三室一厅的无主灯样板间设计，风格为意式轻奢风,2021.10.11,2021.10.23,任务编号：964118,￥40000,5天,江西省-上尧市-市辖区,一品空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】金融机构办公楼导视设计方案,https://task.epwk.com/963907/,220人,1人,5000-10000元,圆满完成,招标,k2254****3,金融机构一楼导视设计，风格偏轻奢风，与办公楼定位一致,2021.10.11,2021.10.24,任务编号：963907,￥8000,5天,吉林省-长春市-市辖区,EATUSE设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】公司活动需要舞台设计,https://task.epwk.com/963950/,313人,1人,1000-3000元,圆满完成,招标,k1884****8,公司搞了个稍微大型的活动，想用LED屏做舞台设计，要大气些，把这块屏衬托出来,2021.10.10,2021.10.24,任务编号：963950,￥2000,5天,浙江省-杭州市-市辖区,唯你空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】诊所识别系统、导视设计,https://task.epwk.com/963905/,284人,1人,5000-10000元,圆满完成,招标,k1875****0,儿童医院导视设计，整体要有现代感，又不是去亲切的氛围,2021.10.10,2021.10.20,任务编号：963905,￥10000,5天,辽宁省-大连市-市辖区,大匠康宅,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】酒店活动舞台设计,https://task.epwk.com/963952/,356人,1人,1000-3000元,圆满完成,招标,k4548****0,想要一个方便折叠的舞台，尺寸1.22m*2.44m; 1.83m*2.44m,2021.10.10,2021.10.22,任务编号：963952,￥3000,3天,河北省-石家庄市-市辖区,设计胡小2,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】老小区复式小户型翻新,https://task.epwk.com/963927/,195人,1人,1000-3000元,圆满完成,招标,k1935****3,一个老小区的小户型，复式设计，需要翻新，急求方案，预算有限，有意联系,2021.10.10,2021.10.20,任务编号：963927,￥3000,4天,海南省-海口市-市辖区,曲高建筑装饰设计,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】T台走秀的舞台设计,https://task.epwk.com/963951/,238人,2人,1000-3000元,圆满完成,招标,k3844****5,我们要举行的T台走秀，先要一个专业的舞台设计,2021.10.10,2021.10.22,任务编号：963951,"￥3000,￥3000","6天,7天","广西省-桂林市-市辖区,浙江省-温州市-市辖区",张张烘焙甜点设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】体检中心整体装修设计方案,https://task.epwk.com/962938/,242人,1人,3000-5000元,圆满完成,招标,k9558****1,新成立的体检中心，需要做整体的室内公装设计，最好能偏向于欧美系风格,2021.10.10,2021.10.22,任务编号：962938,￥4000,5天,甘肃省-兰州市-市辖区,共创空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】单身公寓样板间设计,https://task.epwk.com/962934/,370人,1人,1万-2万元,圆满完成,招标,k5921****8,loft户型的单身公寓，需要做样板间设计，重点要体现房子的收纳功能,2021.10.10,2021.10.19,任务编号：962934,￥20000,3天,浙江省-绍兴市-市辖区,k365143731,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】影城内部导视设计,https://task.epwk.com/963906/,177人,1人,5000-10000元,圆满完成,招标,k7005****5,影城有四层，需要做每个空间的导视设计，方便客人更快速找到对应的影厅,2021.10.10,2021.10.22,任务编号：963906,￥10000,6天,广西省-柳州市-市辖区,建维青年设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】精装修样板间设计与施工,https://task.epwk.com/962933/,370人,1人,2万-5万元,圆满完成,招标,k7566****7,75平，需要做精装修样板间，并施工，急,2021.10.10,2021.10.22,任务编号：962933,￥40000,5天,安徽省-芜湖市-市辖区,唯東设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】创客空间复式楼装修设计,https://task.epwk.com/963926/,463人,1人,1万-2万元,圆满完成,招标,k9508****4,创客空间有500平的复式楼，需要装修，用于后续出租，求方案,2021.10.10,2021.10.24,任务编号：963926,￥20000,5天,北京市-北京市-市辖区,鼎尚空间室内设计,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】日式原木风样板间设计装修,https://task.epwk.com/962932/,353人,1人,2万-5万元,圆满完成,招标,k3526****3,日式原木风的样板间设计，两室一厅，包施工,2021.10.10,2021.10.21,任务编号：962932,￥45000,5天,山东省-淄博市-市辖区,小飞龙室内设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】医院儿科门诊部装修设计,https://task.epwk.com/962937/,261人,1人,5000-10000元,圆满完成,招标,k9095****8,医院儿科门诊部候诊厅、走廊需要做装潢设计，要卡通可爱一些,2021.10.10,2021.10.20,任务编号：962937,￥8000,3天,山东省-日照市-市辖区,k212410990,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】仓库改造工程造价,https://task.epwk.com/963325/,683人,1人,5000-10000元,圆满完成,招标,k6226****5,县城拥有一个3000平方米的闲置仓库，打算改造成物流仓库，想知道改造费用大概多少,2021.10.10,2021.10.20,任务编号：963325,￥10000,3天,福建省-泉州市-市辖区,唯你空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】连锁药店装修风格设计,https://task.epwk.com/964137/,377人,1人,1000-3000元,圆满完成,招标,k7619****9,品牌连锁药店，要做整体的门店装潢升级，风格要求现代感一些，需要同步考虑空间利用率,2021.10.10,2021.10.23,任务编号：964137,￥3000,4天,重庆市-重庆市-市辖区,三里-设计,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】水池建设工程造价,https://task.epwk.com/963328/,314人,1人,1000-3000元,圆满完成,招标,k1837****3,打算在村里建一个蓄水池，需要一份水池建设工程造价方案,2021.10.10,2021.10.22,任务编号：963328,￥2500,5天,贵州省-遵义市-市辖区,DEZ室内空间设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】乡村道路工程造价,https://task.epwk.com/963326/,623人,1人,5000-10000元,圆满完成,招标,k6198****9,要开发乡村旅游，需要对乡村道路进行改造，求改造工程的报价,2021.10.10,2021.10.20,任务编号：963326,￥8000,4天,河北省-邯郸市-市辖区,威臣装饰工程设计,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】乡镇污水处理工程造价,https://task.epwk.com/963327/,1064人,1人,1万-2万元,圆满完成,招标,k7566****7,乡镇对河流周边污水进行处理，要进绿化、污水处理等，欢迎专业公司报价,2021.10.10,2021.10.21,任务编号：963327,￥15000,4天,山东省-烟台市-市辖区,恒瑾室内设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】卫浴展厅设计,https://task.epwk.com/964116/,472人,1人,1万-2万元,圆满完成,招标,k3305****4,卫浴产品的展厅样板间设计，欧式奢华风,2021.10.10,2021.10.22,任务编号：964116,￥20000,5天,云南省-昆明市-市辖区,设计胡小2,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】艺术馆导视设计,https://task.epwk.com/963922/,169人,1人,3000-5000元,圆满完成,招标,k2567****2,美术艺术馆，日常画展比较多，需要做比较简约、具有人文气息的导视，方便参观者理解,2021.10.09,2021.10.22,任务编号：963922,￥5000,4天,福建省-厦门市-市辖区,餐饮店室内设计,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】临海民宿主题设计,https://task.epwk.com/967569/,390人,1人,1万-2万元,圆满完成,招标,k3526****3,临海独栋别墅，目前已完成基础装修，需要进行软装主题设计，偏向于地中海风格,2021.10.09,2021.10.21,任务编号：967569,￥15000,4天,贵州省-贵阳市-市辖区,幻悟空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】建筑物外装修翻新工程造价,https://task.epwk.com/966828/,310人,1人,1000-3000元,圆满完成,招标,k8550****5,城中村拥有出租屋一栋，需要对要建筑物外面整体翻新，需要翻新工程报价,2021.10.09,2021.10.20,任务编号：966828,￥3000,5天,安徽省-马鞍山市-市辖区,格律设计,https://task.epwk.com/javascript:;,,,,,,,,
【医疗机构】康复中心软装设计,https://task.epwk.com/966854/,457人,1人,2万-5万元,圆满完成,招标,k5462****9,医院康复中心，已有基础的空间和装修设计，寻求软装设计方案、效果图，如果能有主题的更好,2021.10.09,2021.10.21,任务编号：966854,￥40000,5天,江苏省-无锡市-市辖区,k530745600,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】剧本杀主题屋装修设计,https://task.epwk.com/967568/,884人,1人,5万-10万元,圆满完成,招标,k3821****9,剧本杀主题屋，面积大概30㎡，要做日系主题设计,2021.10.09,2021.10.21,任务编号：967568,￥70000,5天,浙江省-温州市-市辖区,k543281157,https://task.epwk.com/javascript:;,,,,,,,,
