标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,任务类型
【自媒体软文】原创国潮服饰推广软文,https://task.epwk.com/1098953/,311人,1人,¥500,圆满完成,k4421****6,一篇关于介绍原创国潮文化的主题，融合公司文化背景，越详细越好，主要告诉客户，什么是原创文化，什么是街头文化，什么是潮牌，什么是国潮，文笔要好，不能太像推广,2024-03-25,2024.04.15,任务编号：1098953,500.0,5天,湖南-长沙市-市辖区,傲世有限公司,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,自媒体软文
【详情页文案】药品详情页文案,https://task.epwk.com/1098945/,40人,1人,¥1000,圆满完成,k2049****6,要求：医药粉剂otc，功效表现胃肠宁，并且要突出目前分类销量前top10,2024-03-25,2024.04.18,任务编号：1098945,1000.0,2天,山东-济南市-市辖区,威和pIRtt,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,详情页文案
【种草文案】陶陶居预制菜种草,https://task.epwk.com/1098941/,93人,1人,¥800,圆满完成,k8925****3,文案得用接地气、极具烟火气的口吻，详述菜品口味地道似堂食、食材优质新鲜、烹饪便捷，凸显老字号品质背书。配色泽鲜亮、摆盘精美的菜品图，搭配视频，展示简单烹饪过程与诱人成品。,2024-03-07,2024.03.29,任务编号：1098941,800.0,4天,山东-济南市-市辖区,威和pIRtt,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,种草文案
【商业提案】合同排版编写,https://task.epwk.com/1070632/,60人,1人,¥100,圆满完成,o560266de9271f,之前合同电脑文档弄丢了，需要重新打字编写，本人提供全部底稿  要求原样打印一份给我（付底稿一张）,2024-01-24,2024.01.24,任务编号：1070632,100.0,,,悟喜丨品牌连锁定制,https://shop.epwk.com/m7d7womjk5q8/,悟喜丨品牌连锁定制,出售服务,https://shop.epwk.com/m7d7womjk5q8/chushou/,企业,五品,56分,,,悟喜丨品牌连锁定制,,悟喜品牌连锁定制企业品牌招商策划加盟手册宣传册产品海报手册,￥500,悟喜品牌连锁店面门头设计效果图制作门面店铺装修酒店餐饮奶茶,￥500,悟喜品牌连锁定制包装设计订制礼盒茶叶白酒包装袋设计效果图,￥500,悟喜品牌连锁定制精装菜谱制作菜单定制设计酒吧酒水单活页点菜本,￥500,商业全案设计（营销策划）,"￥50000
            /起",企业品牌vi设计,"￥3000
            /套",包装设计服务,"￥1000
            /件",商业计划书撰写,"￥3000
            /件",线上店铺详情页设计,"￥100
            /件",Logo设计,"￥300
            /次",商业提案
【公众号文章】庆兮火锅公众号文章撰写,https://task.epwk.com/1098928/,759人,1人,¥800,圆满完成,k3011****5,"1、文章要结合我们的品牌故事，细致剖析招牌锅底，展现口味差异化，然后搭配我们锅底图、动图等彰显沸腾鲜香。
2、简单介绍下食材采购源地，如鲜切牛肉源自天然牧场牛里脊、脆毛肚严守 “七上八下” 涮法的优质鲜货，配高清食材图，突显新鲜、安全与高品质。
3、用餐环境也要呈现，体现店内古朴雅致的装修风格，从木质桌椅、川渝特色壁画到灯光氛围，融入食客欢声笑语场景，展现惬意氛围。
4、文末设互动话题，邀请读者分享用餐体验，抽取幸运者赠锅底券、菜品券，新媒体推广到店消费。",2024-01-05,2024.01.21,任务编号：1098928,800.0,5天,辽宁-沈阳市-市辖区,故事老酒,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公众号文章
【商业提案】找人投资需要的商业计划书代写确定合作者,https://task.epwk.com/1044789/,138人,1人,¥1000,圆满完成,k4399****55,"项目:找人投资需要的商业计划书代写称呼:王先生地区:北京市,北京市需求:想加盟一个连锁的汉堡店。找人投资需要的商业计划书代写完成时间:希望是这几天给到预算:报价联系备注：微信是手机号【推广员任务许玲】",2023-06-09,2023.06.14,任务编号：1044789,1000.0,1000天,重庆市-市辖区,花成蜜就,https://shop.epwk.com/p05qj8881dev/,花成蜜就,出售服务,https://shop.epwk.com/p05qj8881dev/chushou/,工作室,六品,49分,,,花成蜜就,,网络推广策划,"￥99
            /起",商业融资/招商/招标/PPT策划,"￥99
            /起",活动营销策划,"￥99
            /起",项目/品牌/营销策划,"￥99
            /起",电商营销/环境视觉传达设计,"￥99
            /起",LOGO视觉设计,"￥99
            /起",宣传设计 海报/画册/插画设计,"￥99
            /起",单品/礼品/系列/体系化包装设计,"￥99
            /起",新媒体营销推广软文/文案,"￥99
            /起",,,商业提案
【专业代笔】葡萄故事撰写,https://task.epwk.com/1044388/,1514人,9人,¥500,圆满完成,威创未来3aLuQ,盖州巨峰葡萄，远近闻名现在需要将乡村振兴与巨峰葡萄结合起来既能突出葡萄的好，也能体现政策的妙要吸引人可以参考一篇文章《幻彩光影  余韵悠长》类似这样的文章大约一千字左右,2023-06-07,2023.09.25,任务编号：1044388,500.0,"3天,3天,3天,1天,1天,1天,3天,2天","重庆市-市辖区-江北区,山东省-青岛市,陕西省-西安市,福建省-厦门市-思明区,湖南省-长沙市,河北省-衡水市-桃城区,山东省-济南市,河南省-洛阳市-偃师市",花成蜜就,https://shop.epwk.com/p05qj8881dev/,花成蜜就,出售服务,https://shop.epwk.com/p05qj8881dev/chushou/,工作室,六品,49分,,,花成蜜就,,网络推广策划,"￥99
            /起",商业融资/招商/招标/PPT策划,"￥99
            /起",活动营销策划,"￥99
            /起",项目/品牌/营销策划,"￥99
            /起",电商营销/环境视觉传达设计,"￥99
            /起",LOGO视觉设计,"￥99
            /起",宣传设计 海报/画册/插画设计,"￥99
            /起",单品/礼品/系列/体系化包装设计,"￥99
            /起",新媒体营销推广软文/文案,"￥99
            /起",,,专业代笔
【产品卖点】蒙牛 产品的公众号文案设计 代写 确定合作者,https://task.epwk.com/1041125/,751人,1人,¥1000,圆满完成,k1312****45,项目:蒙牛 产品的公众号文案设计 代写 确定合作者称呼:陈先生地区:湖北武汉（服务商地域不限）需求:蒙牛 产品的公众号文案设计 代写，要求营销目的性强的 附上产品图片和类似同行的文案参考预算:报价联系备注：微信是手机号【推广员任务许玲】,2023-05-16,2023.07.03,任务编号：1041125,1000.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",产品卖点
【营销推广软文】知乎发布回答,https://task.epwk.com/1032369/,11056人,1人,¥1500,圆满完成,尊鉴aClSE,公司主营滋补品，具体产品可搜索公众号【佗鹊堂新滋补】进入商城查看或者淘宝店铺【佗鹊堂】。接单人可以自行选择产品回答，以软文形式植入产品，可以是自己或者家人体验之类的。对账号粉丝没有要求，但是需要用自己账号发布回答，且发完后不删除。字数800字左右，价格150元。产品不寄样品，因此回答可无图，或者去商城找官方图片也可,2023-03-10,2023.03.22,任务编号：1032369,1500.0,7天,江苏省-淮安市-淮阴区,众腾传媒,https://shop.epwk.com/2j5xogjy95xm/,众腾传媒,出售服务,https://shop.epwk.com/2j5xogjy95xm/chushou/,企业,一品,53分,,,众腾传媒,,动画创意制作,"￥1500
            /件",影视后期制作,"￥100
            /件",商业影视制作,"￥1000
            /件",品牌全案咨询,"￥3000
            /件",营销推广服务,"￥1000
            /件",商业创意文案,"￥1000
            /件",三维设计建模,"￥1000
            /件",包装创意设计,"￥1000
            /件",VI设计服务,"￥1500
            /件",logo设计,"￥600
            /件",营销推广软文
【商业提案】护肝保健品商业计划书,https://task.epwk.com/1031083/,1894人,1人,¥3000,圆满完成,o5bf5024dd148f,项目:护肝保健品商业计划书确定合作按沟通约定的为准称呼:郭先生需求:一款护肝保健品的商业计划书，主要用于找投资人来投资的。性价比高的。具体沟通报价,2023-03-01,2023.05.04,任务编号：1031083,3000.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",商业提案
【产品卖点】投资报告PPT撰写  确定合作者 按约定合作,https://task.epwk.com/1030104/,1218人,1人,¥2800,圆满完成,k3940****31,项目:投资报告PPT撰写  确定合作者 按约定合作,2023-02-21,2023.03.24,任务编号：1030104,2800.0,7天,广东省-深圳市-南山区,本能咨询工作室,https://shop.epwk.com/09drj16zq53w/,本能咨询工作室,出售服务,https://shop.epwk.com/09drj16zq53w/chushou/,个人,六品,37分,,,本能咨询工作室,,,,,,,,,,,,,,,,,,,,,,产品卖点
【商业提案】养老方面商业计划书,https://task.epwk.com/1029242/,1146人,1人,¥3000,圆满完成,k5716****95,需求:养老方面商业计划书，公司是做房产装修，现在转型做养老方面的，想要做一个转型的推介方案，格式：PPT格式，可能需要一些市场调研的数据信息，雇主是对接人，还有其他负责人具体跟进，已确定合作，按双方事先沟通好的要求来做，合作愉快备注：具体交付时间以雇主和服务商约定的时间为准。,2023-02-13,2023.03.10,任务编号：1029242,3000.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",商业提案
【产品卖点】产品文案编写,https://task.epwk.com/1026844/,759人,1人,¥300,圆满完成,k7497****07,项目:产品文案编写称呼:柴女士地区:浙江金华需求:产品文案编写，用于录制小视频的，要语言流利通顺一点的，具体详谈,2023-01-09,2023.01.11,任务编号：1026844,300.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",产品卖点
【产品卖点】产品文案编写,https://task.epwk.com/1026570/,1677人,1人,¥2700,圆满完成,k7497****07,项目:产品文案编写称呼:柴女士地区:浙江金华需求:产品文案编写，用于录制小视频的，要语言流利通顺一点的，具体详谈,2023-01-05,2023.01.08,任务编号：1026570,2700.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",产品卖点
【商业提案】书法工作室的名字+设计,https://task.epwk.com/1024377/,354人,1人,¥800,圆满完成,k1970****43,书法工作室的名字，要好听有寓意、雅致有内涵的，可以在诗词歌赋 名句 楹联当中选择一些字，组成一个好听 有寓意的名字，要取名加设计，具体详谈,2022-12-08,2022.12.17,任务编号：1024377,800.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",商业提案
【其他内容创作】斯蒂芬妮·马什的《洞察用户》的读后感,https://task.epwk.com/1024215/,521人,1人,¥200,圆满完成,安威客xsI13,作者: [英] 斯蒂芬妮·马什出版社: 中国青年出版社要求：1、读后感+书中的知识如何在自己的工作中应用（互联网公司）2、可以综合也可以是单一的，题目自拟，要围绕互联网公司工作的主题，600--800字，可以借鉴，但是要显示原创，复制粘贴不会通过审核，工作室不要来，交单位差的，价格太高我 承受不起!请珍惜彼此时间！,2022-12-07,2022.12.12,任务编号：1024215,200.0,3天,陕西省-西安市-莲湖区,威多宝绛槿,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他内容创作
【宣传策划】公众号的文案策划,https://task.epwk.com/1024214/,1340人,1人,¥600,圆满完成,k4650****31,"项目:公众号的文案策划称呼:乔女士地区:山东省,青岛市需求:公众号的文案策划，各类活动，促销时事热点预算:需要报价备注：微信是手机号【推广员任务许玲",2022-12-07,2023.06.05,任务编号：1024214,600.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
