标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,交易价格统一,任务类型
【产品卖点】做qq音乐的歌单,https://task.epwk.com/887257/,3583,4,¥600,o5f298417a3b0e,￥ 600,,2020/8/23,需求：做qq音乐的歌单；要有优质认证。总数大概100个歌单。先进行测试2个需求，有意向的可以联系补充：qq音乐里面上传歌单，要能过审成为优质歌单，不是简单的列歌名，要是能过官方审核并且能成为优质的。要是新做的，不能是拿别人的。,任务编号：887257,,,,,,,,,,,600,产品卖点
【生日祝福】发祝福短信3.33一稿，各位给力！只限2020.1.4,https://task.epwk.com/828101/,4241,67,¥500,o5e0ef24a54aa3,￥ 500,￥249.75,2020/1/3,明天是1月4日，希望TA能收到来自天涯海角的祝福。 短信内容大概是：可爱美丽的余MM，我是来自XX省XX市的XX，代表周先生送上生日祝福：祝您生日快乐，天天开心！余生有你，周周你有。（然后加上任意祝福语，最好是温馨有新意的哦）。 1、时间：从2020年1月4日 00：00-23：59 2、一个号码只限一次，祝福语可不要一样哦。若TA有回复，请不要回复TA的短信。一定要定时发送，千万不要提前发，过期了就不要发了。谢谢朋友们了。 3、若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！ 4、审核标准：截图为证，带有内容日期时间（或定时发送成功）且带号码的截图（可以隐藏手机中间四位）。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家5、手机号码请看附件，谢谢。,任务编号：828101,"个人 |            
            denglong",lxd15171495808,wyfxa,mf159****8041,"工作室 |            
            以书为友",擎天一号,小孟起儿,o5e0f539f83158,o5dc01860356d0,AoniQi,500,生日祝福
【软文发布】发帖任务，3元一贴，快审　简单容易操作,https://task.epwk.com/820909/,1223,2,¥500,qq250****163,￥ 500,￥3.01,2019/12/11,"1、发贴网站-百度贴吧发布，一问一答的方式，不可漏下，否则不合格，也可以发布在权限大于等于3的网站(以站长工具查询为准)2、帖子标题以文档内标题为准，对应的下面是回复，发帖成功存活5天不被删有效！3、内容详见附件，除去前面数字编号(如：1.)其他的复制上去4、请勿复制前面的编号，或者几条发在一条里面，发现全部视为不合格。5：可以适当修改文字内容，不过大意不可变，正面信息等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）稿件内容：http://www.jingxiutequn.com/uploads/yaoqiu.rar其中有20个内容，不能一下子全部发在一个地方。,1、发贴网站-百度贴吧发布，一问一答的方式，不可漏下，否则不合格，也可以发布在权限大于等于3的网站(以站长工具查询为准)2、帖子标题以文档内标题为准，对应的下面是回复，发帖成功存活5天不被删有效！3、内容详见附件，除去前面数字编号(如：1.)其他的复制上去4、请勿复制前面的编号，或者几条发在一条里面，发现全部视为不合格。5：可以适当修改文字内容，不过大意不可变，正面信息等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）稿件内容：http://www.jingxiutequn.com/uploads/yaoqiu.rar其中有20个内容，不能一下子全部发在一个地方。",任务编号：820909,"工作室 |            
            小小龙儿",,,,,,,,,,500,软文发布
【生日祝福】永生难忘的三十,https://task.epwk.com/761804/,4743,3,¥500,o5d0a697405ad9,￥ 500,,2019/6/20,今天是6月20日，希望他能收到来自天涯海角的祝福。 短信内容大概是：亲爱的袁琳先生，我是来自XX省XX市的XX，代表康洁妮女士送上生日祝福。她想告诉你，谢谢你让她遇见你，谢谢你包容的一切。此生永不相忘。是偷了几年的时间。来之不易。望珍惜。（然后加上任意祝福语，最好是温馨有新意的哦）。 手机号:18890599669 1、时间：从2019年6月20日 00：00-23：59 2、一个号码只限一次，祝福语可不要一样哦。若他有回复，请不要回复他的短信。一定要定时发送，千万不要提前发，过期了就不要发了。谢谢朋友们了。 3、若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！ 4、审核标准：截图为证，带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家,任务编号：761804,,,,,,,,,,,500,生日祝福
【生日祝福】女友生日求祝福,https://task.epwk.com/749170/,5934,11,¥500,o5ce1feab2c99b,￥ 500,,2019/5/20,各位朋友，大家好，在这里寻求你们的帮助。女朋友月1日生日了，所以想送她来自全国各地的你们的祝福。录制15秒左右的视频。1、手持纸板或卡片，在当地标志性朝阳筑，或能看出来是哪里的建筑物前录制短视频。纸板或卡片上文字内容的大概意思就是祝福恋人之间的爱情，并祝她生日快乐，可自由发挥，言简意赅。同时口述内容为；星星儿，你好！我是来自XX省XX市的XX（可不用实名），你的他让我转告你，生日快乐，他会陪你，爱你，宠你，一直到老 。。。后面可以自由发挥。2.要求：（1）卡片字体可自由设计，内容可以添加自由发挥；（2）照片需要您真人出境，手持卡片或纸板，背景不一定高大尚，但是看起来舒服，惬意。3.统一格式为mp4.发到邮箱980864185@qq.com.并且提供邮箱号到一品威客上交稿。备注：需要在6月1号之前发送视频到邮箱才算。,任务编号：749170,,,,,,,,,,,500,生日祝福
【软文发布】新闻帖子推广50元一贴，快速审核,https://task.epwk.com/748969/,2096,8,¥500,qq250****163,￥ 500,￥500,2019/5/19,"软文发布要求。1.发布的软文需要在5天内不遭删除2.发布渠道可以选收录好的各种平台。百度权重需要大于等于4.建议(百度百家，百度经验，百度文库，百度百科，以及各自新闻渠道)3.发文需要按照标题+内容方式发布（内容请做正面信息做适当的修改""精秀特群""这四个字不得修改，其他请酌情修改，内容过度一致的可能会影响通过率），并无登陆状态下可以看到文章。4.搜索标题百度收录在首页优先获取5.全部用户同一个平台不可发布两次审核标准：1、5天内不遭删除  2、提供链接 3、网上权重大于等于4",任务编号：748969,mf159****8041,mf159****8041,"工作室 |            
            小小龙儿","工作室 |            
            网络及软文推广工作室","个人 |            
            专业文案策划","个人 |            
            专业文案策划",叶宇韩,叶宇韩,叶宇韩,"工作室 |            
            小小龙儿",500,软文发布
【生日祝福】今天发生日祝福，3元一稿，各位友友给力！只限今日！,https://task.epwk.com/741344/,4963,73,¥500,麒麟咨询,￥ 500,￥400,2019/4/30,2019年4月30日，就是今天，我想让她收到天南地北的祝福。 1、需要发送短信，一个一品账号限发一次，谢谢！重复无效 2、发布时间：今天上午8点到15点（一定要在这个时间内发送才算有效稿件）。 3、短信内容：慧玲你好，我是来自XXXX的XXX(地名和称呼自行发挥)，受你的男神李强所托，为你送上生日祝福，祝你生日快乐，一生平平安安，每天快快乐乐，（另加一句任意祝福语，越温馨越好）！！ 4、发送时间要核实好，一定要定时发送哦。若她有回复，请不要回复她的短信。 5、审核标准：截图为证， 带有内容和一张发送成功且带号码的截图（号码也可以隐藏手机中间四位）。感谢大家的支持！具体请款附件,任务编号：741344,风里醉有余味,"工作室 |            
            小小龙儿",尼古拉嵩,"个人 |            
            慕容苓泽",品觉设计,"个人 |            
            比比皆是快乐",悠然一品,Ricky1991,"个人 |            
            favourite",爱丽丝的思,500,生日祝福
【百科/问答撰写】百度问答，一稿3元,https://task.epwk.com/740868/,4070,8,¥510,dywbnet,￥ 510,￥6,2019/4/28,1.在百度问题中发布附件问题或相似问题2.在刚才提问的问题中回答附件问题或相似答案（不能使用同一ID）回答的问题内容就是让大家知道东莞有“点到”这个上门推拿APP 一问一答计为一稿注意问题：1.发布者和回答者不能为同一ID2.投稿中，发布的问题不要与附件中提供的问题完全一样，要自己编写类似问题和答案。3.交稿方式，提供链接。,任务编号：740868,"工作室 |            
            云影碧落",o5b93344a0424b,,,,,,,,,510,百科/问答撰写
【道歉短信】道歉短信，4月28日前发送,https://task.epwk.com/740334/,3873,67,¥500,o5b826a7b9e7c3,￥ 500,￥260,2019/4/27,因为和未婚妻吵架，一直不理我，自己说了一些气话，导致她一直在气头上，希望大家帮我发道歉的短信。相关信息请查看附件，请大家注意！ 如果对方回复短信，问你任何问题，请不要回复！！！不要透露是做任务的，一定要保密！在4月27日-28日号当天发送，谢谢大家。交稿条件：1、提供交稿人发送的手机号码，还有发送短信记录截图（接收人手机号要显示出来）                    2、一个手机号码只能发送一次，多次发送则淘汰作废                    3、短信要求不少于50字                    4、月28日发完短信就直接交稿，截稿时间是4月28号晚上12点,任务编号：740334,YYB520525,"个人 |            
            法律人在路上",o5cc42cb0e3d2b,火火火山,"工作室 |            
            森瑾猫工作室","个人 |            
            favourite",风里醉有余味,mf159****8041,燚花亿世界,o5c820e23ac0d5,500,道歉短信
【软文发布】发帖任务，3元一贴，快审　简单容易操作,https://task.epwk.com/737411/,2085,10,¥500,qq250****163,￥ 500,￥81.27,2019/4/20,1、发贴网站-百度贴吧发布，一问一答的方式，不可漏下，否则不合格，也可以发布在权限大于等于3的网站(以站长工具查询为准)参考例子：https://tieba.baidu.com/p/54402883882、帖子标题以文档内标题为准，对应的下面是回复，发帖成功存活5天不被删有效！3、内容详见附件，除去前面数字编号(如：1.)其他的复制上去4、请勿复制前面的编号，或者几条发在一条里面，发现全部视为不合格。5：可以适当修改文字内容，不过大意不可变，正面信息等绝对不可变6：交搞方式，稿子下方注明自己的用户ID，发搞时间　发布成功的链接 以及截图（发布成功的截图图片）缺一不可，这样快审核谢谢配合防止有人复制他人链接交稿。未注明的一律不合格，重复提交同样链接无效 　（请严格按照以上操作否则为不合格搞件重点）稿件内容：http://www.jingxiutequn.com/1.txt 其中有20个内容，不能一下子全部发在一个地方。,任务编号：737411,mf159****8041,mf159****8041,mf159****8041,"个人 |            
            madk1102","个人 |            
            madk1102","个人 |            
            madk1102",qwepoi2008,"个人 |            
            madk1102",qwepoi2008,"个人 |            
            madk1102",500,软文发布
【软文发布】软文推广网站，论坛，微博，博客。,https://task.epwk.com/722807/,2064,7,¥500,qweiop101,￥ 500,￥53.28,2019/3/17,1.下载附件，浏览内容2.将附件的内容发布到各大网站，论坛，仅限（金融，旅游，生活，保险，新闻网站）3.发布相应的网站，百度收录数量必须超过1万，百度快照时间一周内4.高人气网站及论坛发布可以独立另外计件接任务5.发论坛的需要有一定知名度的，任务可以重复，比如你提交了一个网站的，后面可以在提交一个微博，然后在提交一个论坛的一共就是9元。做好发连接要不然会看不到你们做好的任务,任务编号：722807,"个人 |            
            madk1102","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","个人 |            
            慕容苓泽","个人 |            
            慕容苓泽","个人 |            
            慕容苓泽","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","个人 |            
            慕容苓泽",500,软文发布
【软文发布】博客发布，每稿10元,https://task.epwk.com/721773/,2291,34,¥500,网络推广达人,￥ 500,￥220,2019/3/14,每个博客三篇文章一稿具体操作在附件一个一品账号只能交稿一次。,任务编号：721773,"工作室 |            
            小小龙儿","工作室 |            
            创意轩",zly1983426,o5c8863900c792,叶宇韩,qwepoi2008,o5c8863900c792,qwepoi2008,"工作室 |            
            创意轩",可可谷谷,500,软文发布
【爱情表白】情人节求祝福 1稿4元 求助,https://task.epwk.com/710200/,5668,63,¥500,o5b62bd250ad65,￥ 500,￥366.96,2019/2/12,1.贴合所要表达的爱情祝福主题： 2.文字创新，不落俗套，不得抄袭： 3.内容如下：你好，我是来自某地的XX，代政政，祝喆喆情人节快乐 晚点遇见你没关系 但愿余生都是你：（自由发挥最好）4.时间限制：2019年2月14日，早上05:21  发送，其他时间发送不算 5.若对方短信回复时无需回复，请大家保密，不要透漏一品威客网发布的信息，再次拜谢！6.短信接收人号码：13601981031 最后，感谢热心人帮忙。 7.一个手机号仅限发送一次8.审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图发送情人节祝福短信 希望给个惊喜 谢谢各位好心威客,任务编号：710200,"个人 |            
            slosao","工作室 |            
            luo0710",飘飘又渺渺,"工作室 |            
            luo0710","个人 |            
            slosao",亲亲宝贝儿,o5c626d7276c25,亲亲宝贝儿,田心个人工作室,zyl0958,500,爱情表白
【纪念日祝福】短信祝福,https://task.epwk.com/710119/,5219,70,¥642,o5c628aa27f082,￥ 642,￥243,2019/2/12,1、我和女友异国恋  我想在2月14日早上7时28分给她送去短信祝福！2、祝福的内容是：傻猪  情人节快乐！！！我不能陪你的日子里  你要好好的照顾自己！！！   等我们熬过最难熬的日子  就永远在一起！！！3、她的电话：0060127797655   需要用不同的手机号给她发214条短信4、一个手机号只能发送一条5、发送时间：必须要在2月14日早上7时28分，不能早不能晚。6、审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图,任务编号：710119,"工作室 |            
            绿芽精致工作室","工作室 |            
            小兰君文案策划",a1596740313,o5c62f8121ba59,skaterAB,o5c6024b6e6daf,"工作室 |            
            芝麻酱",o5c25e17a59ee9,o5c636e94bc4a9,飘飘又渺渺,642,纪念日祝福
【生日祝福】今天发送生日祝福，3元一稿，各位友友给力！,https://task.epwk.com/698248/,3572,49,¥500,o5c2831d7e6ecc,￥ 500,￥186.48,2018/12/30,2018年12月30日，就是今天，我想让她收到天南地北的祝福。1、我朋友的电话：15823029272，一个一品账号限发一次，谢谢！重复无效2、发布时间：今天下午3点到10点。3、短信内容：小凤你好，我是来自XXXX的XXX(地名和称呼自行发挥)，受你的朋友汪汪所托，为你送上生日祝福，祝你生日快乐，一生平平安安，每天快快乐乐，（另加一句任意祝福语，越温馨越好）！！4、发送时间要核实好，一定要定时发送哦。若她有回复，请不要回复她的短信。5、审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！,任务编号：698248,"工作室 |            
            luo0710","个人 |            
            slosao","个人 |            
            denglong",四川曾先生,mf159****8041,乔伊伊,四川曾先生,mf159****8041,晨曦小清新,何何荷呀,500,生日祝福
【生日祝福】生日祝福短信发送，每稿3元,https://task.epwk.com/692178/,3505,31,¥500,mgj12****789,￥ 500,￥141.47,2018/12/18,1.2018年12月20日（农历11月14）是我心爱的女生生日，我希望用一个特殊的方式去送给她祝福与感动，望大家帮助一下。2.短信发送时间：2018年12月20日（农历11月14）凌晨0：01到9：003.短信内容：亲爱的郭馥瑗女士，我是来自某地的某某，受毛冠军之托向您表示祝福，祝你生日快乐，（然后中间加一段30字以上的祝福语），最后，祝你们能够相爱永远，白头偕老。4.她的号码：185856161065.短信一定要在规定发，中间祝福语尽量的多点就好了提供发送的记录截图交稿，发送时间要在2018年12月20日（农历11月14）凌晨0：01到9：00。（不是这个时间段内发布的无效）。要显示发送时间一个一品账号限参加一次。,任务编号：692178,o5c17a14b844a7,hy云卷云舒,o5c18feb836a41,o5c19a1347fc6b,o5c0f50ffe35c0,大脸小小怪,Chen_雪,捕风的女子,悠然一品,电脑出租,500,生日祝福
