标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4
【宣传单设计】三折页设计,https://task.epwk.com/873284/,1272人,6人,1000元以内,圆满完成,o5ef2d21eecc0d,三折页，大概排版情况已经有完善出来，能提供封面。要求整体放在一起排版，做个色调,2020.06.26,2020.06.27,任务编号：873284,"￥200,￥200,￥800,￥800","1天,2天,3天,5天","河北省-邯郸市,广东省-揭阳市-普宁市,四川省-眉山市-东坡区,浙江省-温州市-龙湾区",*一米阳光工作室*,https://shop.epwk.com/j7n38ov625e1/,,,,,,,,,,,,,,,,,,
【包装设计】米制品一个系列包装设计,https://task.epwk.com/872595/,349人,1人,1000-3000元,圆满完成,k6538****78,米制品一个系列包装设计，米制品，一个系列，大米跟小米，LOGO也要设计，加微信沟通，提供报价。地区:黑龙江 哈尔滨称呼:朱先生,2020.06.23,2020.07.30,任务编号：872595,,,,半山墨品牌营销设计,https://shop.epwk.com/j7n3813935e1/,,,,,,,,,,,,,,,,,,
【LOGO设计】艺术培训机构logo设计,https://task.epwk.com/872397/,524人,1人,1000-3000元,圆满完成,k6076****78,艺术培训机构logo设计，教育类的， 提供教育类设计案例。  微信手机号，地区：广州，联系人：伍老师，,2020.06.22,2020.07.07,任务编号：872397,￥1000,2天,广东省-广州市,三边形意创品牌,https://shop.epwk.com/89dvgxyjkdl2/,三边形意创品牌,出售服务,https://shop.epwk.com/89dvgxyjkdl2/chushou/,企业,五品,39分,,,三边形意创品牌,,品牌海报设计,"￥10000
            /款",非营利性组织/公益组织/NGO品牌设计,"￥1
            /款",品牌命名/中英文命名,"￥5000
            /款",包装外形设计,"￥5000
            /款"
【LOGO设计】儿童摄影的logo设计,https://task.epwk.com/872301/,440人,1人,1000元以内,圆满完成,k1379****55,周先生，儿童摄影的logo设计：想做个自己的品牌，以前有加盟品牌，浙江嘉兴，没地区要求，微信同号,2020.06.22,2020.06.30,任务编号：872301,￥800,3天,云南省-玉溪市,玉溪熙锦创意文化发展有限公司,https://shop.epwk.com/78n96y2l2nkv/,玉溪熙锦创意文化发展有限公司,出售服务,https://shop.epwk.com/78n96y2l2nkv/chushou/,企业,六品,39分,,,玉溪熙锦创意文化发展有限公司,,我们来长期合作吧,价格面议,画册设计,"￥200
            /页",宣传册高端设计,"￥120
            /页",高端LOGO设计,"￥566
            /起"
【包装设计】玉米粒的包装袋设计,https://task.epwk.com/872277/,371人,1人,1000-3000元,圆满完成,k2770****06,陈先生，玉米粒的包装袋设计：河南郑州，没地区要求，微信同号,2020.06.22,2020.07.14,任务编号：872277,￥1000,5天,山东省-潍坊市-市辖区,原道品牌设计创意机构,https://shop.epwk.com/78n96g8pxnkv/,,,,,,,,,,,,,,,,,,
【宣传册设计】宣传册设计,https://task.epwk.com/871795/,1116人,1人,1000-3000元,圆满完成,k1931****01,"项目:宣传册设计称呼:刘先生地区:山东省,威海市需求:电子商务行业，宣传册设计。四页设计，加微信发案例",2020.06.19,2020.06.29,任务编号：871795,￥1000,10天,辽宁省-大连市-金州区,大连奇思妙想广告有限公司,https://shop.epwk.com/3gd2mo44pner/,,,,,,,,,,,,,,,,,,
【LOGO设计】安防类的logo设计,https://task.epwk.com/871755/,361人,1人,1000元以内,圆满完成,江西东邦铝艺,项目: logo设计称呼:罗先生地区:上饶需求:logo设计，要求简洁大方，后续需要把商标打印贴在产品上。主营生产的产品主要有栏杆、扶手、大门等。预算:提供设计费用报价,2020.06.19,2020.07.06,任务编号：871755,￥700,4天,福建省-福州市-台江区,鑫视格文化传媒有限公司,https://shop.epwk.com/89dvgxv2gdl2/,,,,,,,,,,,,,,,,,,
【家电数码】拥有投标的大屏幕界面设计,https://task.epwk.com/871664/,2453人,5人,1000-3000元,圆满完成,工业物联网,图片只用于投标，不用于实际开发，要求界面美观，能够形象的实现数据展示,2020.06.19,2020.06.27,任务编号：871664,"￥2500,￥2000","10天,5天","四川省-成都市-武侯区,广东省-深圳市",四川忆尔科技有限公司,https://shop.epwk.com/z2nkz7voqnqy/,,,,,,,,,,,,,,,,,,
【包装设计】猫粮包装设计,https://task.epwk.com/870078/,546人,1人,1000元以内,圆满完成,k3196****69,项目:包装设计称呼:  付先生 地区:上海地区需求: 猫粮包装设计，要求突出优雅，大方有气质，最好有这类设计经验。,2020.06.12,2020.07.01,任务编号：870078,￥800,7天,江苏省-苏州市-市辖区,奥韵设计,https://shop.epwk.com/0jnekexrxnv3/,,,,,,,,,,,,,,,,,,
【LOGO设计】富硒农产品LOGO创意设计,https://task.epwk.com/869982/,1859人,6人,1000-3000元,圆满完成,mf186****3977,思路：安康是中国最大的天然富硒区，硒资源赋存条件好，生态环境优良，富硒特色产业在全国有一定影响力。为挖掘富硒产业文化底蕴，提炼富硒六大产业特点，打造“中国硒谷、生态安康”金色名片，助力安康富硒茶、安康富硒魔芋、安康富硒核桃、安康富硒生猪、安康富硒鱼、安康富硒水六大产业快速发展，设计安康富硒茶、安康富硒魔芋、安康富硒核桃、安康富硒生猪、安康富硒鱼、安康富硒水六大产业形象标志。要求：设计图案简洁大方，体现“中国硒谷.生态安康”内涵，体现产品品类特点。并设计宣传页、包装示意图。LOGO应征作品设计方案，以A4幅面白底绘制，可以为矢量图格式或分辨率不低于300dpi的位图格式，同时需附上创意文案说明（若同时提交配套的形象宣传用语，可一并附上），主要阐述设计思路、理念和含义。,2020.06.12,2020.06.28,任务编号：869982,"￥2000,￥1000,￥3000","5天,3天,5天","广东省-深圳市,四川省-成都市,山东省-济南市",悦禾品牌设计,https://shop.epwk.com/j7n38ze2l5e1/,,,,,,,,,,,,,,,,,,
【LOGO设计】LOGO设计,https://task.epwk.com/869732/,1454人,28人,1000元以内,圆满完成,聚品创意,"经营范围：做线上美食平台

应用内容：设计公司LOGO

设计要求： 1、简洁、沉稳、大气！

 2、要有视觉冲击力，醒目易识别

 3、能够突出行业的品牌元素 

4、平台名字叫“皮皮虾”

 5、附上创意说明。

知识产权说明：

 1、所设计的作品必须为原创，为第一次发布且未侵犯他人著作 权，如有侵犯他人著作权的由设计者承担所有法律责任。

 2、中标的设计作品，我方支付设计制作费用，即拥有该作品的 知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改组合和应用，设计者不得再向其他任何地方使用 该设计作品否则一切责任由设计者负责。",2020.06.11,2020.06.18,任务编号：869732,"￥400,￥400,￥5000,￥1000,￥900","2天,3天,7天,7天,5天","重庆市-市辖区-南岸区,广东省-深圳市,河南省-新乡市,广东省-深圳市,山东省-烟台市",创行堂·高端品牌一体化服务机构,https://shop.epwk.com/7g5ykg932n0q/,创行堂·高端品牌一体化服务机构,出售服务,https://shop.epwk.com/7g5ykg932n0q/chushou/,企业,五品,38分,,,创行堂·高端品牌一体化服务机构,,创意LOGO设计（资深设计师、总监设计）,"￥880
            /起",品牌VI设计,"￥6600
            /起",画册设计（资深设计师、总监设计）,"￥200
            /页",创意海报（资深设计师、总监设计）,"￥688
            /起"
【LOGO设计】个人的微信头像设计,https://task.epwk.com/869687/,287人,1人,1000元以内,圆满完成,k5385****27,个人的微信头像设计：按照跟设计服务商谈好的进行设计，合作愉快,2020.06.11,2020.06.12,任务编号：869687,￥200,2天,辽宁省-大连市-金州区,大连奇思妙想广告有限公司,https://shop.epwk.com/3gd2mo44pner/,,,,,,,,,,,,,,,,,,
【LOGO设计】产品LOGO设计,https://task.epwk.com/869602/,284人,1人,1000元以内,圆满完成,mf137****9465,项目:产品LOGO设计称呼:林先生地区：福建泉州需求:以青籚堂 葫芦 竹子 这三个元素创作一个Logo ，主营产品为保健品 养生花茶 化妆品等,2020.06.11,2020.06.27,任务编号：869602,￥500,10天,吉林省-长春市-朝阳区,东品牌包装设计策划,https://shop.epwk.com/mod04xv2l5yv/,,,,,,,,,,,,,,,,,,
【宣传册设计】建筑施工企业宣传册设计,https://task.epwk.com/869391/,1115人,1人,1000-3000元,圆满完成,k3579****55,建筑施工企业，搞一份公司宣传册，计划12个页面，主要内容有公司简介，企业文化，公司经营范围，有关证书，工程案例，主要内容都有文档和图片，主要希望设计者把这些内容组织，编排或加一些必要的美工元素而形成图文并茂的一份宣传资料,2020.06.10,2020.07.13,任务编号：869391,￥1200,5天,四川省-成都市-市辖区,成都地谷品牌设计有限公司,https://shop.epwk.com/zqdplx9rpn1v/,,,,,,,,,,,,,,,,,,
【LOGO设计】餐饮快餐店logo设计,https://task.epwk.com/869213/,553人,1人,1000元以内,圆满完成,k3555****02,logo设计，餐饮快餐这块的，用在打包盒、袋子上，比较急，地区：济南预算：500左右联系人：郭先生,2020.06.10,2020.06.13,任务编号：869213,￥600,2天,山东省-潍坊市,原道品牌设计创意机构,https://shop.epwk.com/78n96g8pxnkv/,,,,,,,,,,,,,,,,,,
【包装设计】麻花包装设计（河南）,https://task.epwk.com/868876/,498人,1人,1000元以内,圆满完成,k3857****76,麻花包装设计，食品类的，一个传统手工的油炸食品，麻花，微信手机号。地区：河南商丘联系人：张女士,2020.06.09,2020.06.15,任务编号：868876,,,,山西久为品牌设计,https://shop.epwk.com/2j5jjpz025pz/,山西久为品牌设计,出售服务,https://shop.epwk.com/2j5jjpz025pz/chushou/,企业,五品,40分,,,山西久为品牌设计,,LOGO设计,"￥500
            /起",易拉宝展架设计,"￥300
            /起",画册设计 宣传单页设计 其他宣传品设计,"￥1000
            /页",产品包装设计 材质工艺建议,"￥1200
            /起"
【LOGO设计】LOGO优化设计,https://task.epwk.com/868537/,349人,1人,1000元以内,圆满完成,k8410****78,LOGO优化设计，有参考的图，进行优化一下，就是这个图上面加两个天线 色彩搭配 怎么好看 设计一下，微信是手机号。预算300元，联系人：李先生，,2020.06.08,2020.06.08,任务编号：868537,￥300,1天,北京市-北京市-朝阳区,北京茂森营销策划有限公司,https://shop.epwk.com/zqdplx72kn1v/,,,,,,,,,,,,,,,,,,
【LOGO设计】传媒公司LOGO设计跟名片排版,https://task.epwk.com/868000/,389人,1人,1000元以内,圆满完成,jujucham,项目:传媒公司LOGO设计称呼:池女士地区：福建厦门需求:传媒公司LOGO设计，名称叫“厦门七彩飞鱼传媒公司”，还有一个名片的排版，五天时间完成,2020.06.05,2020.06.12,任务编号：868000,￥500,5天,福建省-厦门市-湖里区,二十一珍藏馆,https://shop.epwk.com/rp5z4pr7wdx3/,,,,,,,,,,,,,,,,,,
【LOGO设计】服装商标设计,https://task.epwk.com/867874/,414人,1人,1000元以内,圆满完成,k4061****69,姓王，服装商标设计：汉织纺，参照这个纺织机的图，设计一个简约大气的，直接电话联系，浙江温州，没地区要求,2020.06.05,2020.06.09,任务编号：867874,,,,上海当然广告有限公司,https://shop.epwk.com/78n966yv0nkv/,上海当然广告有限公司,出售服务,https://shop.epwk.com/78n966yv0nkv/chushou/,企业,一品,87分,,,上海当然广告有限公司,,企业画册设计 产品宣传册 招商画册 产品样本 产品型录 图册目录 宣传画册 企业样本设计 企业型录,"￥500
            /页",包装设计 产品包装 礼盒套装 系列产品包装设计 高端精品包装 茶叶饮料酒类零食各类包装,"￥3500
            /件",logo商标设计 产品商标 企业商标 注册商标设计,"￥1500
            /起",企业VI视觉识别系统设计（基础10项）,"￥10000
            /件"
【LOGO设计】机械行业商标设计,https://task.epwk.com/867698/,1546人,8人,1000元以内,圆满完成,李新祥,机械行业的商标设计,2020.06.04,2020.06.13,任务编号：867698,"￥500,￥600,￥400,￥500,￥500,￥800","3天,3天,3天,2天,3天,3天","四川省-成都市-市辖区,广东省-深圳市,广东省-广州市-白云区,陕西省-西安市,重庆市-市辖区-万州区,四川省-成都市",成都地谷品牌设计有限公司,https://shop.epwk.com/zqdplx9rpn1v/,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】优化设计,https://task.epwk.com/867807/,545人,1人,1000元以内,圆满完成,k2436****94,优化设计费用，已经沟通好，按照沟通来设计,2020.06.05,2020.06.08,任务编号：867807,￥210,3天,福建省-福州市-台江区,鑫视格文化传媒有限公司,https://shop.epwk.com/89dvgxv2gdl2/,,,,,,,,,,,,,,,,,,
【LOGO设计】电力行业logo设计,https://task.epwk.com/867615/,378人,1人,1000-3000元,圆满完成,k2171****87,"项目:logo设计称呼: 李女士  地区:辽宁省,朝阳市需求:电力行业，logo设计，tc组成一个图形logo，符合电力行业使用",2020.06.04,2020.08.31,任务编号：867615,￥1200,7天,辽宁省-沈阳市,沈阳奥维广告传媒有限公司,https://shop.epwk.com/j7n38xoo25e1/,,,,,,,,,,,,,,,,,,
【LOGO设计】企业LOGO设计,https://task.epwk.com/867504/,889人,1人,1000-3000元,圆满完成,k6358****66,项目:企业LOGO设计称呼:赵女士地区:江苏昆山需求:昆山市百川起重机电有限公司 做一个企业LOGO，需要高端上档次一点的，属于机械类的预算:1000-3000,2020.06.04,2020.08.21,任务编号：867504,￥2400,10天,广东省-深圳市-市辖区,映善中国,https://shop.epwk.com/09drjep7153w/,映善中国,出售服务,https://shop.epwk.com/09drjep7153w/chushou/,企业,一品,110分,总 190 次中标，交易总金额,￥128.29万,映善中国,,品牌企业VI / VIS / SI 系统设计,"￥100
            /件",产品外观 / 结构设计        工业设计 / 机械设计,"￥100
            /起",,,,
【LOGO设计】面粉LOGO设计,https://task.epwk.com/867472/,605人,1人,1000元以内,圆满完成,k3724****67,面粉 小麦 玉米粉大米粉 LOGO设计  已实现谈好 按谈好的来 设计到满意后验收,2020.06.04,2020.06.22,任务编号：867472,￥800,5天,重庆市-市辖区-沙坪坝区,南瓜粥文化创意,https://shop.epwk.com/m7d7wvy3v5q8/,南瓜粥文化创意,出售服务,https://shop.epwk.com/m7d7wvy3v5q8/chushou/,个人,四品,36分,,,南瓜粥文化创意,,,,,,,,,
【封面设计】小说封面设计,https://task.epwk.com/867358/,958人,1人,1000元以内,圆满完成,LI哈哈哈哈,小说封面设计，家里面人的兴趣爱好，希望有设计过小说封面的设计师联系，具体可以详细沟通,2020.06.03,2020.06.14,任务编号：867358,￥300,6天,浙江省-金华市,义乌野火设计有限公司,https://shop.epwk.com/09drj877q53w/,,,,,,,,,,,,,,,,,,
【包装设计】软糖瓶贴设计,https://task.epwk.com/867243/,508人,1人,1000元以内,圆满完成,o5ed5f18d3aa12,项目:软糖瓶贴设计称呼:黄先生地区：广东韶关需求:软糖瓶贴设计，根据提供的案例，修改一下动物图案，品牌是：爱妳伊生，瓶贴的底色换成橙色或者红色,2020.06.03,2020.06.09,任务编号：867243,￥300,3天,辽宁省-沈阳市,三点益思设计,https://shop.epwk.com/v0n1x4y7057y/,三点益思设计,出售服务,https://shop.epwk.com/v0n1x4y7057y/chushou/,企业,六品,40分,,,三点益思设计,,展示设计,价格面议,宣传画册设计,价格面议,包装设计,"￥500
            /起",VIS设计,"￥1500
            /起"
【LOGO设计】建筑公司的标志logo设计,https://task.epwk.com/867210/,567人,1人,1000-3000元,圆满完成,k7619****28,建筑公司的标志logo设计：罗卫东先生，微信同号，湖南长沙，没地区要求,2020.06.03,2020.06.11,任务编号：867210,￥1000,3天,辽宁省-大连市-金州区,大连奇思妙想广告有限公司,https://shop.epwk.com/3gd2mo44pner/,,,,,,,,,,,,,,,,,,
【产品外观设计】挂件类平面美图设计,https://task.epwk.com/866998/,1919人,6人,1000-3000元,圆满完成,aa124864aa,挂件类平面美图设计，大概设计3-4个左右，会给出相应的画面条件，根据内容设计。,2020.06.02,2020.06.06,任务编号：866998,"￥1000,￥700,￥1000,￥600","3天,3天,5天,5天","辽宁省-沈阳市-皇姑区,广东省-深圳市-南山区,四川省-成都市,广东省-深圳市-龙岗区",三点益思设计,https://shop.epwk.com/v0n1x4y7057y/,三点益思设计,出售服务,https://shop.epwk.com/v0n1x4y7057y/chushou/,企业,六品,40分,,,三点益思设计,,展示设计,价格面议,宣传画册设计,价格面议,包装设计,"￥500
            /起",VIS设计,"￥1500
            /起"
【包装设计】酸奶的包装设计,https://task.epwk.com/866969/,467人,1人,1000-3000元,圆满完成,k5063****22,需求:酸奶的包装设计，100ML小容量的杯装，以及6个一组的纸盒外包装，设计风格新颖点,2020.06.02,2020.10.28,任务编号：866969,￥2200,5天,山东省-潍坊市,原道品牌设计创意机构,https://shop.epwk.com/78n96g8pxnkv/,,,,,,,,,,,,,,,,,,
【PPT设计】产品介绍ppt设计,https://task.epwk.com/866912/,1774人,18人,1000元以内,圆满完成,xu_cq,1.想要做一个公司产品介绍类的ppt，公司的项目介绍，图片和文案都可以提供。2.要求科技感强,2020.06.02,2020.06.09,任务编号：866912,"￥315,￥800,￥600,￥1500,￥630,￥300","3天,3天,3天,7天,3天,3天","山西省-太原市-迎泽区,广东省-深圳市-南山区,广西-南宁市-兴宁区,河南省-新乡市,广东省-佛山市-禅城区,北京市-北京市-东城区",祥喵创意工坊,https://shop.epwk.com/89dvgxvgzdl2/,祥喵创意工坊,出售服务,https://shop.epwk.com/89dvgxvgzdl2/chushou/,工作室,五品,39分,,,祥喵创意工坊,,3份初稿+原创LOGO+一个月包改服务,"￥288
            /件",宣传品专业设计+2个月包改服务,"￥100
            /起",名片设计+一个月包改,"￥88
            /起",广告服务+售后免费包改服务,"￥100
            /起"
【宣传册设计】智慧仪器产品彩页设计,https://task.epwk.com/866725/,1835人,19人,1000元以内,圆满完成,o5ed5a8516b1bd,智慧仪器产品彩页设计（4-5页电子版）以内，定位科技感,2020.06.02,2020.06.15,任务编号：866725,"￥350,￥800,￥1000,￥800,￥500,￥1000,￥1000,￥1000","3天,3天,5天,4天,4天,7天,5天,7天","福建省-厦门市,广东省-深圳市-南山区,山东省-青岛市,北京市-北京市-朝阳区,陕西省-西安市-雁塔区,山东省-青岛市,山东省-烟台市,重庆市-市辖区-南岸区",加一品牌策划,https://shop.epwk.com/j7n38ojze5e1/,,,,,,,,,,,,,,,,,,
【海报设计】公司海报设计,https://task.epwk.com/866908/,1681人,1人,1000元以内,圆满完成,k8559****66,公司海报设计，主题，冬吃罗比夏吃姜,2020.06.02,2020.11.18,任务编号：866908,￥300,3天,江苏省-苏州市,可易网络,https://shop.epwk.com/j7n3810025e1/,可易网络,出售服务,https://shop.epwk.com/j7n3810025e1/chushou/,企业,五品,40分,,,可易网络,,企业官网、品牌网站高端定制,"￥5000
            /起",小程序开发，小程序官网、小程序商城,"￥6000
            /起",企业管理软件开发，订单管理、计划管理，功能按需定制,"￥30000
            /起",企业ERP系统、设计、开发、实施，全方位定制,"￥60000
            /起"
【包装设计】杯子和茶叶包装盒的外部设计,https://task.epwk.com/866894/,1731人,17人,1000元以内,圆满完成,o5ed5e93166d5e,我要做一个包装盒的外部设计，2天之内完成,2020.06.02,2020.06.05,任务编号：866894,"￥900,￥700,￥1000,￥1000,￥1000,￥1000,￥1000,￥1500,￥1000","3天,3天,7天,5天,7天,5天,5天,4天,7天","四川省-成都市-市辖区,广东省-深圳市-南山区,山东省-青岛市,上海市-上海市-宝山区,山东省-青岛市,山东省-烟台市,重庆市-市辖区-南岸区,广东省-深圳市,江苏省-南京市-鼓楼区",成都地谷品牌设计有限公司,https://shop.epwk.com/zqdplx9rpn1v/,,,,,,,,,,,,,,,,,,
【LOGO设计】阿拉伯数字设计且根据数字设计辅助图形,https://task.epwk.com/866647/,1298人,10人,1000元以内,圆满完成,o5d6a04982b2bf,花纹图形设计需求单20200601需求时间：6月3号需求一：设计0-9阿拉伯数字，参照以下字体需求二：根据设计的数字来设计辅助图形，适当突出1811，下图为参考形式之一,2020.06.01,2020.06.19,任务编号：866647,"￥500,￥600,￥800,￥1000,￥800","3天,3天,1天,2天,3天","辽宁省-沈阳市-皇姑区,广东省-深圳市-市辖区,重庆市-市辖区-南岸区,山东省-烟台市-芝罘区,四川省-眉山市-东坡区",三点益思设计,https://shop.epwk.com/v0n1x4y7057y/,三点益思设计,出售服务,https://shop.epwk.com/v0n1x4y7057y/chushou/,企业,六品,40分,,,三点益思设计,,展示设计,价格面议,宣传画册设计,价格面议,包装设计,"￥500
            /起",VIS设计,"￥1500
            /起"
【包装设计】纸箱设计,https://task.epwk.com/866486/,454人,1人,1000元以内,圆满完成,k2436****94,纸箱设计，按照沟通好的设计,2020.06.01,2020.06.02,任务编号：866486,￥300,1天,福建省-福州市-台江区,鑫视格文化传媒有限公司,https://shop.epwk.com/89dvgxv2gdl2/,,,,,,,,,,,,,,,,,,
【LOGO设计】货代公司的logo设计,https://task.epwk.com/866459/,531人,1人,1000元以内,圆满完成,k8935****20,陈女士，货代公司的logo设计：深圳，本身有一个logo，只是优化一下，微信同号,2020.06.01,2020.06.11,任务编号：866459,￥300,4天,福建省-福州市-台江区,鑫视格文化传媒有限公司,https://shop.epwk.com/89dvgxv2gdl2/,,,,,,,,,,,,,,,,,,
【详情页设计】做一款智能马桶主图和详情图,https://task.epwk.com/866192/,657人,1人,1000元以内,圆满完成,o5ed2****24173,做一款智能马桶主图和详情图，已经谈好，以实际沟通为准。,2020.05.31,2020.06.06,任务编号：866192,￥400,5天,山东省-潍坊市,山东合创电子商务,https://shop.epwk.com/09drjry7653w/,,,,,,,,,,,,,,,,,,
【VI设计】制造业VI设计,https://task.epwk.com/866094/,1209人,1人,1000-3000元,圆满完成,o5ed1dcc5235a9,制造业VI设计，已经沟通好，按照沟通的来设计,2020.05.30,2020.09.25,任务编号：866094,￥2000,5天,山东省-济南市,东僧西谛（济南）文化创意有限公司,https://shop.epwk.com/zqdplgvk9n1v/,东僧西谛（济南）文化创意有限公司,出售服务,https://shop.epwk.com/zqdplgvk9n1v/chushou/,企业,三品,45分,,,东僧西谛（济南）文化创意有限公司,,LOGO设计,价格面议,VI设计,价格面议,画册设计,价格面议,包装设计,价格面议
