标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【数据处理】对图片表格进行OCR识别并转换格表头,https://task.epwk.com/1118194/,310人,3人,1000-3000元,圆满完成,招标,黑鹰00一品,开发一个自动化的程序，每天将十多份不同格式的图片报价格进行OCR识别，并转换为指定表头的数据格式，以markdown格式保存。图片格式的报价表和数据样式见附件。,2025.04.10,2025.05.09,任务编号：1118194,￥1500,15天,浙江省-嘉兴市,塞坦科技,https://shop.epwk.com/j7n38j8425e1/,塞坦科技,出售服务,https://shop.epwk.com/j7n38j8425e1/chushou/,企业,五品,64分,总 5 次中标，交易总金额,￥1.64万,塞坦科技,,仓库管理系统WMS,价格面议,AI工业视觉,价格面议,客户关系管理系统CRM,价格面议,企业信息系统,价格面议,教育信息化系统,价格面议,电子商务平台,价格面议,app软件开发,价格面议,erp系统开发,价格面议,软件定制开发,价格面议
【AI接口】视频大模型开发,https://task.epwk.com/1117899/,407人,1人,5000-10000元,圆满完成,招标,ppt达人孙文,生成数字人,2025.04.08,2025.04.08,任务编号：1117899,￥6000,2天,上海市-市辖区,创码天地,https://shop.epwk.com/rp5z4vygwdx3/,创码天地,出售服务,https://shop.epwk.com/rp5z4vygwdx3/chushou/,个人,五品,57分,总 5 次中标，交易总金额,￥1.24万,创码天地,,,,,,,,,,,,,,,,,,,
【智能体训练】法律问答智能体训练,https://task.epwk.com/1119640/,52人,1人,5000-10000元,圆满完成,招标,k1999****0,"1、我需要训练一个法律问答智能体。
2、得让它熟悉各类法律法规，像民法、刑法等。
3、能精准解答常见法律问题，如合同纠纷、劳动争议等。",2025.03.05,2025.03.21,任务编号：1119640,￥10000,7天,广东-广州市-市辖区,霸气横秋,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI模型训练】AI大模型训练,https://task.epwk.com/1119639/,89人,1人,2万-5万元,圆满完成,招标,k6226****5,擅长AI大模型训练，AI开发，或者AI问诊的团队联系，要求北京，上海，广州，南京，合肥的技术公司联系，项目比较急,2025.03.04,2025.03.20,任务编号：1119639,￥50000,10天,江西-南昌市-市辖区,浪漫使者,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI课程培训】实用的Python编程AI课程培训,https://task.epwk.com/1119631/,28人,1人,1万-2万元,圆满完成,招标,k6356****9,Python编程的AI课程培训。希望课程从基础语法教起，涵盖数据结构、函数、模块等知识。能用 AI 进行实例演示和代码纠错，布置适量作业并给予详细批改反馈。,2025.02.14,2025.03.05,任务编号：1119631,￥20000,8天,山西-太原市-市辖区,o60ee5c95d80c4,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据分析】AI数据分析软件开发,https://task.epwk.com/1119630/,35人,2人,2万-5万元,圆满完成,招标,k4183****2,"称呼:陈先生
地区:上海
需求:AI数据分析软件开发，B2B加密货币增涨趋势的分析，类似股票分析软件，要上海或者周边的技术公司联系，12.13号要面谈的，具体详谈",2025.02.11,2025.03.01,任务编号：1119630,"￥50000,￥50000","9天,9天","广东-深圳市-市辖区,山西-太原市-市辖区",浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI实战项目】电商个性化推荐的AI实战项目,https://task.epwk.com/1119717/,15人,1人,5000-10000元,圆满完成,招标,k4743****0,"1、我们电商平台要做个性化推荐项目。
2、需分析用户浏览、购买等行为数据，精准推荐商品。
3、推荐结果要符合用户喜好，提高购买转化率。
4、能实时更新推荐内容，适应商品上新和用户兴趣变化，提升用户购物体验和平台销售额。",2025.02.08,2025.03.01,任务编号：1119717,￥10000,7天,湖北-武汉市-市辖区,o5859e2d96a608,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI知识库】医疗知识AI知识库,https://task.epwk.com/1119637/,48人,1人,5000-10000元,圆满完成,招标,k4842****8,"1、需要搭建一个医疗知识的AI知识库
2、里面需要包含中西医知识，包括各类疾病的症状、诊断、治疗方法等详细信息。
3、要求能定期更新医学最新知识，确保知识的时效性和准确性",2025.02.07,2025.02.23,任务编号：1119637,￥10000,7天,福建-福州市-市辖区,木雪涯设计工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【智能体模板】市场调研智能体模板,https://task.epwk.com/1119635/,11人,1人,5000-10000元,圆满完成,招标,k2327****8,"1、需要一个能收集分析市场数据，像消费者偏好、竞品信息等的市场调研智能体模板。
2、要求能生成清晰的调研报告，有数据图表和结论建议。
3、模板要灵活可定制，能适应不同行业和调研规模，还得操作简单，方便我快速上手做调研。",2025.02.06,2025.02.22,任务编号：1119635,￥10000,7天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据标注】植物种类识别图像标注需求,https://task.epwk.com/1119636/,101人,2人,1000-3000元,圆满完成,招标,k8357****0,"1、我们做植物种类识别研究，需标注植物图像数据。
2、标注出图像中植物的名称，要依据专业知识准确区分。
3、标注过程严格审核，确保标注数据质量，为植物识别算法训练提供可靠数据支撑。",2025.02.06,2025.02.23,任务编号：1119636,"￥3000,￥3000","9天,9天","山东-青岛市-市辖区,浙江-杭州市-市辖区",風雨英雄,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI聊天机器人】开发一款智能客服机器人（AI电话机器人）,https://task.epwk.com/1119716/,18人,2人,5000-10000元,圆满完成,招标,k5799****1,"功能要求：
1、设置话术
2、录音功能，机器人语音功能
3、导入手机号
4、自动拨号
5、会员功能
6、支付功能
7、拨号时间设置功能",2025.02.05,2025.03.01,任务编号：1119716,"￥10000,￥10000","7天,7天","青海-西宁市-市辖区,陕西-宝鸡市-市辖区",横行天下有限公司,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Chatgpt】智能教育应用的需求,https://task.epwk.com/1119715/,28人,2人,1万-2万元,圆满完成,招标,k4824****2,"接入 ChatGPT 模型开发智能教育应用，为学生提供学习辅导,能解答各科学习问题，提供详细的解题思路和步骤。根据学生的学习情况推荐个性化的学习资料和练习题目，帮助学生提高学习成绩。",2025.02.02,2025.03.01,任务编号：1119715,"￥20000,￥20000","8天,7天","河北-石家庄市-市辖区,湖北-武汉市-市辖区",无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI系统集成】AI视频监管系统开发,https://task.epwk.com/1119629/,15人,2人,2万-5万元,圆满完成,招标,k5564****5,"项目:AI视频监管系统开发
称呼:王先生
地区:江西南昌
需求::AI视频监管系统开发，主要是企业管理系统，数据统计系统这块的，具体详谈，公司内部项目",2025.02.01,2025.02.17,任务编号：1119629,"￥50000,￥50000","7天,7天","上海市-上海市-市辖区,广东-广州市-市辖区",极感传媒,https://shop.epwk.com/rp5z4vlm7dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】实时进行语音识别,https://task.epwk.com/1116489/,356人,1人,1万-2万元,圆满完成,招标,k3483****2,满足实时性要求高的场景，如在线语音翻译、语音直播字幕生成等。在极短时间内完成语音到文字的转换，延迟控制在 0.5 秒以内，保证语音与文字输出同步，提升用户实时交互体验。,2025.01.17,2025.02.12,任务编号：1116489,￥18000,10天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【模型调优】推荐系统大模型调优,https://task.epwk.com/1119626/,23人,1人,5000-10000元,圆满完成,招标,k1434****6,结合用户行为、偏好等多源数据，优化算法。使推荐列表中用户感兴趣内容的比例提升至 60% 以上，缩短冷启动时间，提高推荐的多样性和新颖性，提升用户点击率。,2025.01.15,2025.02.01,任务编号：1119626,￥10000,7天,辽宁-大连市-市辖区,彼岸红尘,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI数字人】智能AI和数字分身,https://task.epwk.com/1119625/,24人,2人,1万-2万元,圆满完成,招标,k1268****7,"称呼:王总
地区:苏州限苏州和上海地区
需求：公司今年要做智能AI和数字分身。。需要有AI智能经验和案例，专业比较懂的对接

预算:联系报价",2025.01.14,2025.02.01,任务编号：1119625,"￥20000,￥20000","8天,10天","陕西-西安市-市辖区,福建-福州市-市辖区",皓月烟云,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI算法开发】AI软件开发,https://task.epwk.com/1119628/,20人,2人,1万-2万元,圆满完成,招标,k6697****1,"称呼:张总
地区:北京
需求:要求有基础的，可以演示的，包含：机器学习框架、机器视觉、AI推荐引擎、AI决策支持、知识图谱、公文写作引擎还有大模型，项目已经拿下了，雇主负责采购的，具体详谈",2025.01.07,2025.01.30,任务编号：1119628,"￥20,￥18000","7天,7天","北京市-北京市-市辖区,四川-成都市-市辖区",野创传媒,https://shop.epwk.com/9w56e4j13dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI写作】AI智能论文写作系统开发,https://task.epwk.com/1119627/,125人,2人,1万-2万元,圆满完成,招标,k1750****3,"类似于“小微智能论文”系统，（百度搜索“小微智能论文”），由于时间紧急，需要有现成的源码交易，不需要定制开发。
主要的功能有：
客户端：用户根据不同的毕业论文要求，自动生成论文，并且可以下载
服务端：可以查看生成的论文，并且修改，以及其他一些基础功能，可以对接chatgpt，文心一言语。
客服：有单独的客服可以处理用户的问题。
技术要求：
前端：uniapp
后端：java",2025.01.06,2025.01.24,任务编号：1119627,"￥20000,￥15000","7天,7天","江苏-南京市-市辖区,贵州-贵阳市-市辖区",南京星逸文化传媒有限公司,https://shop.epwk.com/p05qj3rwrdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AIGC技术】需要图像生成技术,https://task.epwk.com/1116486/,550人,1人,1万-2万元,圆满完成,招标,k5112****9,实现高质量、多样化的图像生成，能根据用户输入的文本描述，快速生成对应风格的图像，如风景、人物、动漫等。图像分辨率高，色彩还原度好，细节丰富，满足广告、游戏、影视等行业的素材制作需求。,2025.01.05,2025.01.20,任务编号：1116486,￥20000,8天,广东-深圳市-市辖区,浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】如何在软件里快速找到在粗红线上下两格呈一字走向的图形,https://task.epwk.com/1098661/,421人,1人,5000-10000元,圆满完成,招标,企特约AWhiT,如何在软件里快速找到在粗红线上下两格呈一字走向的图形，具体详谈,2024.12.08,2025.04.07,任务编号：1098661,￥5000,5天,云南省-昆明市-市辖区,云南南强信息,https://shop.epwk.com/3gd2mvgepner/,云南南强信息,出售服务,https://shop.epwk.com/3gd2mvgepner/chushou/,企业,四品,53分,总 8 次中标，交易总金额,￥6.54万,云南南强信息,,企业微信应用,"￥10000
            /件",天勤量化平台（国内期货、期权、股票）,"￥3000
            /起",人工智能模型训练、部署,"￥50000
            /件",CTP国内期货、期权自动化交易策略定制,"￥3000
            /起",讯投QMT量化交易策略开发,"￥3000
            /起",微信应用DIY,"￥10000
            /件",自动化浏览器采集器,"￥3000
            /起",,,,
【数据分析】用SQL写历法计算,https://task.epwk.com/1097312/,219人,1人,5000-10000元,圆满完成,招标,维联创vfAxr,"任务，计算真太阳方位角和月亮方位角。费用1.2万元。其中，太阳方位角5千，月亮方位角5千，2千元服务费。1.计算太阳方位角，描述概念：太阳方位角是太阳与地平线的夹角-简称太阳角度。是在地球某一点观测地，太阳从东边升起到西边降落，再从地下回到东边升起一圈360度。太阳东升与地平线夹角是0度，中天是正头顶与地面90度，西落与地平线夹角是180度，半夜与地面是270度，到第二天地平线是360度。要求：根据已知的北京时间，和观测地的经纬度，计算太阳绕观测地一圈，任意时间的太阳角度，或者说任意时间和太阳角度一一对应关系的数据。计算结果与已知的寿星天文历的几个结果（天亮,日出,中天,日落,天黑）一样。2.计算月亮方位角描述概念：月亮方位角是月亮与地平线的夹角-简称月亮角度。是在地球某一点观测地，月亮从东边升起到西边降落，再从地下回到东边升起一圈360度。月亮东升与地平线夹角是0度，中天是正头顶与地面90度，西落与地平线夹角是180度，半夜与地面是270度，到第二天地平线是360度。要求：根据已知的北京时间，和观测地的经纬度，计算月亮绕观测地一圈，任意时间的月亮角度，或者说任意时间和月亮角度的一一对应关系的数据。计算结果与已知的寿星天文历的几个结果（月出,月落,月中）一样。3.计算要求：可以修改观测地的经纬度。把寿星天文历的计算方法和公式，改成用SQL程序把计算过程写出来，计算结果正确，能在SQLserverR2的数据库运行。对SQL程序要求：书面说明SQL程序流程，每一段程序的功能和作用，注释清楚。(写成过程语句，有难度不写也行)把程序介绍清楚，听明白为止，验收合格付款。4.计算结果存放在SQLserver数据库的表中的三个字段里，字段1名称--北京时间，字段2名称--太阳角度，字段3名称--月亮角度其他字段？--计算过程中需要的存放其他数据的字段。寿星天文历上面的数据也存放在一张如下表中，字段1名称-日期，字段2名称-日出，字段3名称-日落，字段4名称-中天，字段5名称-月出，字段6名称-月落，字段7名称-月中，字段8名称-天亮，字段9名称-天黑。（日照时间和白天时间有了更好好，没有也行，每天一条记录）5.付款方式付款分三段托管支付，真太阳角度完成付款5000元。月亮角度完成付款5000元。使用2-3周（最多三周），没有问题，支付2000元售后服务费。6.未尽事宜协商解决。（很对不起，任务号1095753发布了历法计算，有对发布内容不清楚进行咨询，我不会修改发布内容，就把修改后内容重新发布。谢谢！）",2024.11.21,2024.11.30,任务编号：1097312,￥5000,20天,北京市-北京市,索源科技,https://shop.epwk.com/j7n38jope5e1/,索源科技,出售服务,https://shop.epwk.com/j7n38jope5e1/chushou/,企业,三品,61分,总 7 次中标，交易总金额,￥6.68万,索源科技,,大语言模型相关,"￥1000
            /次",AIGC/生成式AI,"￥1000
            /次",机器视觉相关,"￥1000
            /次",声音处理相关,"￥1000
            /次",,,,,,,,,,
【机器学习】机器学习模型使用和接口封装开发,https://task.epwk.com/1095071/,387人,1人,5000-10000元,圆满完成,招标,威创享sMGiG,开发一些业务模型，需要用到一些机器学习算法库的使用、接口封装和测试，整体难度不大，交付周期有要求，适合时间充裕的伙伴。,2024.10.27,2025.01.22,任务编号：1095071,￥5000,45天,北京市-北京市,索源科技,https://shop.epwk.com/j7n38jope5e1/,索源科技,出售服务,https://shop.epwk.com/j7n38jope5e1/chushou/,企业,三品,61分,总 7 次中标，交易总金额,￥6.68万,索源科技,,大语言模型相关,"￥1000
            /次",AIGC/生成式AI,"￥1000
            /次",机器视觉相关,"￥1000
            /次",声音处理相关,"￥1000
            /次",,,,,,,,,,
【图像识别】教室人数统计人头计数,https://task.epwk.com/1076027/,1610人,2人,5000-10000元,圆满完成,招标,一V渡江vtjlP,教室人数统计人头计数,2024.04.02,2024.05.11,任务编号：1076027,￥6000,14天,江苏省-无锡市,华极科技,https://shop.epwk.com/zqdplgz06n1v/,华极科技,出售服务,https://shop.epwk.com/zqdplgz06n1v/chushou/,企业,六品,37分,,,华极科技,,,,,,,,,,,,,,,,,,,
【AI接口】图像分类API,https://task.epwk.com/1094663/,402人,1人,2万-5万元,圆满完成,招标,k1728****7,,2024.03.12,2024.03.27,任务编号：1094663,￥48000,10天,贵州-贵阳市-市辖区,江湖墨年,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI接口】人脸识别接口开发,https://task.epwk.com/1094665/,484人,1人,2万-5万元,圆满完成,招标,k8364****3,,2024.03.09,2024.03.26,任务编号：1094665,￥45000,10天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AIGC技术】内容生成模型开发,https://task.epwk.com/1094658/,1165人,1人,1万-2万元,圆满完成,招标,k9363****2,,2024.02.26,2024.03.19,任务编号：1094658,￥20000,7天,宁夏-银川市-市辖区,望川秋水,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据分析】分析趋势强弱指数,https://task.epwk.com/1071365/,359人,1人,1000-3000元,圆满完成,招标,kimmy_1,斜率和趋势、及其趋势的强弱指数计算，需求和数据在附件中,2024.02.06,2024.02.17,任务编号：1071365,￥2000,14天,浙江省-杭州市-余杭区,工作室｜天航软件开发,https://shop.epwk.com/78n96rvj8nkv/,工作室｜天航软件开发,出售服务,https://shop.epwk.com/78n96rvj8nkv/chushou/,个人,四品,39分,,,工作室｜天航软件开发,,,,,,,,,,,,,,,,,,,
【AIGC技术】教育内容生成平台,https://task.epwk.com/1094659/,1506人,1人,1万-2万元,圆满完成,招标,k9779****1,,2024.02.06,2024.02.28,任务编号：1094659,￥18000,5天,广东-广州市-市辖区,霸气横秋,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】语音指令识别接口,https://task.epwk.com/1094654/,160人,2人,1万-2万元,圆满完成,招标,k2797****1,,2024.01.18,2024.02.18,任务编号：1094654,"￥16000,￥18000","5天,5天","吉林-长春市-市辖区,山西-太原市-市辖区",凉辰梦瑾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】多语言语音识别系统开发,https://task.epwk.com/1094653/,68人,2人,1万-2万元,圆满完成,招标,k1837****3,,2024.01.12,2024.02.10,任务编号：1094653,"￥20000,￥15000","7天,7天","广东-深圳市-市辖区,浙江-杭州市-市辖区",浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】数据采集,https://task.epwk.com/1052803/,501人,3人,1000元以内,圆满完成,招标,lv2271,主要采集影片电影、电视剧的海报、剧照等图片。,2023.08.07,2023.08.30,任务编号：1052803,"￥600,￥1000,￥2000","7天,7天,10天","福建省-厦门市,江西省-赣州市-章贡区,湖北省-武汉市-武昌区",厦门成沃软件,https://shop.epwk.com/v0n1x6zv457y/,厦门成沃软件,出售服务,https://shop.epwk.com/v0n1x6zv457y/chushou/,工作室,四品,40分,,,厦门成沃软件,,"网站开发,网站建设,网站系统建设","￥5000
            /件","微商城,微信公众号,微信开发,微信定制开发","￥5000
            /件",微信三级分销系统开发,"￥8000
            /件","企业网站制作,网站开发,企业建站,公司建站,网站建设","￥5000
            /件","IOS/Adrorid移动应用软件开发,APP开发,软件开发,系统开发","￥10000
            /件",源生app开发综合商城app生鲜配送app移动应用开发android应用开发,"￥50000
            /起",自媒体运营，百度推广竞价，百度百科、地图、知道、网站关键字优化、企业负面删除,"￥3000
            /月",微信微博代运营，微信公众号运营，新媒体运营，微信微博代理运营,"￥5000
            /月",logo设计，卡通形象设计，名片设计，网页设计,"￥3000
            /款"
【图像识别】安卓平台下的图型识别,https://task.epwk.com/1045791/,827人,1人,5000-10000元,圆满完成,招标,lxg1658,平台：安卓11CPU RK3566要求：将高拍仪产生的图片矫正角度。识别出手工画框的部分，将画框部分扣图出来重新排列后打印。附件内有详细流程图,2023.06.17,2024.08.23,任务编号：1045791,￥5000,30天,广东省-广州市-海珠区,森威s.well,https://shop.epwk.com/81n41g8gonp6/,森威s.well,出售服务,https://shop.epwk.com/81n41g8gonp6/chushou/,工作室,六品,65分,总 2 次中标，交易总金额,￥5600.00,森威s.well,,数字孪生系统,价格面议,系统定制开发,价格面议,充换电服务治理,价格面议,,,,,,,,,,,,
【数据采集】批量采集百度文库里的文档,https://task.epwk.com/1029121/,887人,1人,1000元以内,圆满完成,招标,o6173****0b6d8,不用下载百度文库文档的源文件，只需批量下载pdf格式的文件即可（百度文库预览文件时好像会生成pdf文件）。,2023.02.12,2023.02.16,任务编号：1029121,￥900,7天,广东省-江门市-蓬江区,创梦科技工作室,https://shop.epwk.com/j7n38qowo5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】买代码：连接海康摄像头，跌倒检测程序（java）,https://task.epwk.com/1022903/,1888人,1人,1000-3000元,圆满完成,招标,o5d2c3868e8db9,请做过海康摄像头跌倒检测或者类似功能的人联系我，要求有可用的代码。功能要求：连接海康摄像头，如果出现有人跌倒，可以报警到另外一个服务器（提供http接口）。,2022.11.24,2025.04.23,任务编号：1022903,￥2500,3天,海南省-三亚市-市辖区,见日智能科技,https://shop.epwk.com/81n41qvzonp6/,见日智能科技,出售服务,https://shop.epwk.com/81n41qvzonp6/chushou/,企业,六品,51分,,,见日智能科技,,,,,,,,,,,,,,,,,,,
【图像识别】动态二维码改成静态,https://task.epwk.com/1020359/,911人,2人,5000-10000元,圆满完成,招标,o6361d5a96b4a4,机器上的动态二维码15秒更新，需求：在手机上能同时显示动态二维码或把动态破解成静态，随时随地可以扫码识别,2022.11.02,2022.11.13,任务编号：1020359,"￥6500,￥4500","28天,5天","湖南省-长沙市-雨花区,江苏省-苏州市",长沙市白熊科技有限公司,https://shop.epwk.com/4rn8q7p7wngm/,长沙市白熊科技有限公司,出售服务,https://shop.epwk.com/4rn8q7p7wngm/chushou/,企业,四品,41分,,,长沙市白熊科技有限公司,,电商网站定制开发,"￥2000
            /起",响应式网站定制开发,"￥2000
            /起",H5定制开发,"￥2000
            /起",APP定制软件开发,"￥2000
            /起",企业官网定制开发,"￥2000
            /起",小程序类开发,"￥2000
            /起",,,,,,
【图像识别】图片识别软件开发,https://task.epwk.com/1005092/,859人,1人,3000-5000元,圆满完成,招标,鲸创客0xam5,识别图像上特定区域数字，并生成CSV或者EXCEL文件,2022.07.12,2022.07.15,任务编号：1005092,￥4000,2天,广东省-广州市,广州召隆信息技术有限公司,https://shop.epwk.com/p05qjwogydev/,广州召隆信息技术有限公司,出售服务,https://shop.epwk.com/p05qjwogydev/chushou/,企业,一品,60分,总 13 次中标，交易总金额,￥17.14万,广州召隆信息技术有限公司,,可视化移动端模板,"￥30000
            /套",自动化表单系统,"￥30000
            /起",人力派遣管理系统,"￥30000
            /起",线上商城系统,"￥30000
            /套",年度KPI考核，党建双评签字系统,￥6666,OA管理系统,"￥6666
            /套",EDA视频学习平台,"￥6800
            /起",全自动洗车系统,"￥9800
            /套",城管查违控违管理平台,"￥10000
            /起"
