标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,能力标签
【英语】中文翻译英文,https://task.epwk.com/646695/,5081人,30人,¥100,圆满完成,单人悬赏,veratsai,英文地道顺畅， 完全表达中文意思。 一旦中标及支付任务费用后， 稿件知识产权，使用权， 修改权， 发布权均属于任务发布者。,2018-08-08,2018.08.24,任务编号：646695,100.0,,,silvaaxx,https://task.epwk.com/javascript:;,,,,,,,,,英语
【英语】英译中，2256字，400元,https://task.epwk.com/645094/,6617人,24人,¥400,圆满完成,单人悬赏,荔枝最好吃223,请将附件中的英文文档翻译成中文，要求格式和表达意思和原文一致，3个工作日内完成。,2018-08-03,2019.02.11,任务编号：645094,400.0,,,o5994fb7f1ff91,https://task.epwk.com/javascript:;,,,,,,,,,英语
【英语】大概三句话中文翻译成英文,https://task.epwk.com/544715/,6206人,10人,¥100,圆满完成,单人悬赏,空白格2017,"附件中的产品是我们的产品，下面的文字是相关的说明。请帮忙翻译。机器，百度，google 请直接走开 不要浪费彼此的时间。 翻译优秀的有额外50元小费。内容如下：铁艺跟铁艺之间是焊接的，所以会存在焊接的痕迹；              玻璃与铁艺是用镶嵌, 卡住的, 他们之间衔接是有缝隙的, 玻璃片会轻微的摇晃跟响声, 不会掉下来, 可以放心使用。这种现象不是质量问题。",2017-10-18,2017.12.11,任务编号：544715,100.0,,,济南雅文翻译工作室,https://shop.epwk.com/qgdmjxpvodke/,,,,,,,,,英语
【英语】企业名称翻译成英文,https://task.epwk.com/499411/,6230人,21人,¥100,圆满完成,单人悬赏,mf152****6357,紫阳教育托管中心，翻译成英文名称释义：紫，紫色，是尊贵的意思，指我们教育中心对学生的责任心； 阳指的是学生，学生们就是明天的太阳；让我们和家长一起努力托起明天的太阳。英文需要正规，不要直译，可组合创词。,2017-05-08,2017.05.22,任务编号：499411,100.0,,,睿森Riesen,https://task.epwk.com/javascript:;,,,,,,,,,英语
【英语】公司名翻译成英文名，创意起名,https://task.epwk.com/485124/,5935人,22人,¥100,圆满完成,单人悬赏,o58cf****28184,《苏州零次方科技有限公司》主要是零次方的翻译，需要提供翻译由来，最好有点创意，简单不绕口，如果直译，或者套用翻译软件的翻译的话请先确认有没有错误，直译的我们自己也会的，所以最好还是有创意的。,2017-03-20,2017.04.07,任务编号：485124,100.0,,,o581f275cf1a25,https://task.epwk.com/javascript:;,,,,,,,,,英语
【印刷出版】设计宣传单页或折页,https://task.epwk.com/445123/,5503人,23人,¥550,圆满完成,单人悬赏,xueleng,1） 设计要求：突破传统，但不失和谐感和亲和感，有趣好玩！2） 设计元素：一、运用用数学中的数字、特殊符号、几何图形、英文字母变形、汉字变形等等均可作为设计的主元素。立体呈现，让中学生感觉不枯燥，有                                   趣好玩。                             二、自由创作，不做限制。（昵图，我图就不用考虑了）3） 设计特点：需要有极具夸张的表现方式，还需要极具创意的想象力。4） 目的：将中学基础学科中的内容形象化和艺术化。同时让家长和学生更容易接受，更具亲和感。,2016-09-08,2016.09.26,任务编号：445123,550.0,,,老胡家工作室,https://shop.epwk.com/78dljj2465lx/,,,,,,,,,印刷出版
【英语】英文翻译专四专八程度即可,https://task.epwk.com/393159/,6552人,3人,¥100,圆满完成,单人悬赏,mf158****1188,翻译以下内容 专四专八程度即可 注意专业用语使用及有好的意译功底,2015-11-24,2015.12.13,任务编号：393159,100.0,,,中英翻译大咖,https://shop.epwk.com/2j5xooq2x5xm/,,,,,,,,,英语
【印刷出版】餐饮店微信点赞免单的海报设计,https://task.epwk.com/368096/,7020人,11人,¥300,圆满完成,单人悬赏,mf183****0105,设计内容：两张海报，一张是微信集赞免单的，另一张是给店里做宣传的！两张海报里面的文字内容不变，内容都是下面两张图片里面的内容！背景什么的要重新设计，整体风格最好是中国风山水画那种风格的，给人的感觉要有档次，餐馆的名字叫小味道，希望大家开动脑筋，尽量设计出一种给人很有档次的海报设计！最后面两张是以前做的小味道代金劵的设计，要的就是大概的这种风格，如果设计的好，新的风格也可以！,2015-07-23,2015.08.05,任务编号：368096,300.0,,,十一设计,https://shop.epwk.com/81n41yg3lnp6/,,,,,,,,,印刷出版
【运势测算】帮我家老二起个名字,https://task.epwk.com/294720/,36480人,19人,¥50,圆满完成,单人悬赏,wlasd4682,"我家老二刚生出来三天,还没取名字。姓张",2014-07-13,2014.08.14,任务编号：294720,50.0,,,huch3923,https://task.epwk.com/javascript:;,,,,,,,,,运势测算
【印刷出版】制作一个教育资料团购的宣传海报,https://task.epwk.com/285374/,7174人,13人,¥300,圆满完成,单人悬赏,anqier53168,要求如下：1、主题为学科考试资料团购（具体学科不限，准确来说我要的是一个海报模板，我拿回来可以自主修改主体产品）2、字体较为夸张、醒目、抢眼球，类似大学校园宣传画3、突出团购价格的优势（比如原价100元一份，100成团80/份，有200人以上买70/份）4、预留几处空白：①主推产品优势描写；                                  ②发布临时公告；                                  ③为其他备推产品做简单宣传；                                  ④留下本店一切联络方式的位置：包括淘宝地址，qq，微信，微博5、海报上有个手机的图案，用于提醒大家对海报拍照，便于回家后上网搜索6、海报整体布局合理、恰到好处7、整体风格为青春校园风8、提供源文件，我可以任意修改团购内容,2014-05-12,2014.05.29,任务编号：285374,300.0,,,长亭流景,https://task.epwk.com/javascript:;,,,,,,,,,印刷出版
【英语】一个操作流程标准翻译,https://task.epwk.com/251874/,6257人,3人,¥100,圆满完成,单人悬赏,太阳花,要求不是太高，但是英文要适合老外的习惯，由于较急，先完成的我会直接选，对于从事英语的人来说不难，文字也不多，如果有不理解的地方或者说有专业词汇可以直接联系我.,2014-03-13,2014.03.17,任务编号：251874,100.0,,,西红柿市长,https://task.epwk.com/javascript:;,,,,,,,,,英语
