标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,
【游戏其他】游戏2d人物原画设计,https://task.epwk.com/1070039/,56人,1人,¥300,圆满完成,,游戏2d人物原画设计,直接雇佣￥ 300,￥ 300,任务编号：1070039,0-88.csv,,
【小程序开发】游戏APP开发,https://task.epwk.com/1070077/,53人,1人,"¥1,500",圆满完成,,游戏APP开发,直接雇佣￥ 1500,￥ 1500,任务编号：1070077,0-88.csv,,
【测试服务】软件检测报告/第三方软件测试报告/CNAS测试报告咨询,https://task.epwk.com/1070087/,26人,1人,¥10,圆满完成,,软件检测报告/第三方软件测试报告/CNAS测试报告咨询,直接雇佣￥ 10,￥ 10,任务编号：1070087,0-88.csv,,
【测试服务】软件测试报告/软件测试/软件项目验收/CNAS报告咨询,https://task.epwk.com/1070088/,31人,1人,¥10,圆满完成,,软件测试报告/软件测试/软件项目验收/CNAS报告咨询,直接雇佣￥ 10,￥ 10,任务编号：1070088,0-88.csv,,
【测试服务】软件检测报告/第三方软件测试报告/CNAS测试报告咨询,https://task.epwk.com/1070154/,170人,1人,¥10,待验收,,软件检测报告/第三方软件测试报告/CNAS测试报告咨询,直接雇佣￥ 10,￥ 10,任务编号：1070154,0-88.csv,,
【测试服务】软件测试报告/软件测试/软件项目验收/CNAS报告咨询,https://task.epwk.com/1070175/,319人,1人,¥10,待验收,,软件测试报告/软件测试/软件项目验收/CNAS报告咨询,直接雇佣￥ 10,￥ 10,任务编号：1070175,0-88.csv,,
【产品外观设计】一种带漏斗的食用油瓶子,https://task.epwk.com/1070193/,114人,1人,"¥1,000",圆满完成,,一种带漏斗的食用油瓶子,直接雇佣￥ 1000,￥ 1000,任务编号：1070193,0-88.csv,,
【小程序开发】宾客满意度调查二次开发,https://task.epwk.com/1070255/,33人,1人,¥800,圆满完成,,宾客满意度调查二次开发,直接雇佣￥ 800,￥ 800,任务编号：1070255,0-88.csv,,
【其他软件开发】ERP自动处理单据。,https://task.epwk.com/1070297/,24人,1人,"¥5,400",圆满完成,,ERP自动处理单据。,直接雇佣￥ 5400,￥ 5400,任务编号：1070297,0-88.csv,,
【APP开发】开发平台,https://task.epwk.com/1070344/,97人,1人,"¥16,000",圆满完成,,开发平台,直接雇佣￥ 16000,￥ 16000,任务编号：1070344,0-88.csv,,
【LOGO设计】品牌文化公司LOGO设计,https://task.epwk.com/1070369/,37人,1人,"¥3,000",圆满完成,,品牌文化公司LOGO设计,直接雇佣￥ 3000,￥ 3000,任务编号：1070369,0-88.csv,,
【后端开发】京东联盟了api,https://task.epwk.com/1070449/,66人,1人,"¥4,500",圆满完成,,京东联盟了api,直接雇佣￥ 4500,￥ 4500,任务编号：1070449,0-88.csv,,
【其他网站】常德市西虹市首富旅游开发项目,https://task.epwk.com/1070501/,38人,1人,¥600,圆满完成,,常德市西虹市首富旅游开发项目,直接雇佣￥ 600,￥ 600,任务编号：1070501,0-88.csv,,
【小程序开发】共享小程序开发,https://task.epwk.com/1070535/,36人,1人,"¥36,709",圆满完成,,共享小程序开发,直接雇佣￥ 36709,￥ 36709,任务编号：1070535,0-88.csv,,
【API接口】盒子换壳,https://task.epwk.com/1070649/,65人,1人,"¥3,200",圆满完成,,盒子换壳,直接雇佣￥ 3200,￥ 3200,任务编号：1070649,0-88.csv,,
【小程序开发】公众号任务系统开发,https://task.epwk.com/1070685/,53人,1人,"¥2,000",圆满完成,,公众号任务系统开发,直接雇佣￥ 2000,￥ 2000,任务编号：1070685,0-88.csv,,
【包装设计】UI设计,https://task.epwk.com/1070786/,59人,1人,"¥1,650",圆满完成,,UI设计,直接雇佣￥ 1650,￥ 1650,任务编号：1070786,0-88.csv,,
【小程序开发】尾款,https://task.epwk.com/1070819/,35人,1人,"¥1,000",圆满完成,,尾款,直接雇佣￥ 1000,￥ 1000,任务编号：1070819,0-88.csv,,
【APP开发】咨询类APP开发（一期二阶段）,https://task.epwk.com/1070924/,65人,1人,"¥5,000",圆满完成,,咨询类APP开发（一期二阶段）,直接雇佣￥ 5000,￥ 5000,任务编号：1070924,0-88.csv,,
【网站UI设计】【黑羽网络】网站建设/网页设计/UI设计/页面设计,https://task.epwk.com/1071198/,77人,1人,"¥1,000",圆满完成,,【黑羽网络】网站建设/网页设计/UI设计/页面设计,直接雇佣￥ 1000,￥ 1000,任务编号：1071198,0-88.csv,,
【数据采集】采集动态网站的数据保存到本地，并上传到小程序,https://task.epwk.com/1071260/,216人,1人,"¥5,000",圆满完成,,采集动态网站的数据保存到本地，并上传到小程序,直接雇佣￥ 5000,￥ 5000,任务编号：1071260,0-88.csv,,
【书籍装帧】期刊设计,https://task.epwk.com/1071327/,31人,1人,"¥8,500",圆满完成,,期刊设计,直接雇佣￥ 8500,￥ 8500,任务编号：1071327,0-88.csv,,
【VI设计】餐饮品牌设计,https://task.epwk.com/1071359/,36人,1人,"¥4,800",圆满完成,,餐饮品牌设计,直接雇佣￥ 4800,￥ 4800,任务编号：1071359,0-88.csv,,
【APP开发】APP开发,https://task.epwk.com/1071371/,40人,1人,"¥2,000",圆满完成,,APP开发,直接雇佣￥ 2000,￥ 2000,任务编号：1071371,0-88.csv,,
【小程序开发】仿制7713冒险者营地小程序-尾款款项,https://task.epwk.com/1071395/,27人,1人,¥840,圆满完成,,仿制7713冒险者营地小程序-尾款款项,直接雇佣￥ 840,￥ 840,任务编号：1071395,0-88.csv,,
【H5开发】AI聊天界面开发,https://task.epwk.com/1071423/,69人,1人,"¥1,500",圆满完成,,AI聊天界面开发,直接雇佣￥ 1500,￥ 1500,任务编号：1071423,0-88.csv,,
【后端开发】筛选条件开发,https://task.epwk.com/1071560/,54人,1人,¥300,圆满完成,,筛选条件开发,直接雇佣￥ 300,￥ 300,任务编号：1071560,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1071760/,38人,1人,"¥4,500",圆满完成,,LOGO设计,直接雇佣￥ 4500,￥ 4500,任务编号：1071760,0-88.csv,,
【网站二次开发】智慧之窗_小程序对接支付项目,https://task.epwk.com/1071806/,27人,1人,¥700,圆满完成,,智慧之窗_小程序对接支付项目,直接雇佣￥ 700,￥ 700,任务编号：1071806,0-88.csv,,
【小程序开发】企业微信积分系统开发,https://task.epwk.com/1072277/,58人,1人,"¥2,000",圆满完成,,企业微信积分系统开发,直接雇佣￥ 2000,￥ 2000,任务编号：1072277,0-88.csv,,
【H5开发】手机页面开发,https://task.epwk.com/1072282/,31人,1人,¥200,圆满完成,,手机页面开发,直接雇佣￥ 200,￥ 200,任务编号：1072282,0-88.csv,,
【商城建设】网站开发,https://task.epwk.com/1072590/,28人,1人,¥10,圆满完成,,网站开发,直接雇佣￥ 10,￥ 10,任务编号：1072590,0-88.csv,,
"【企业官网】企业网站建设,网站开发,网站定制",https://task.epwk.com/1072594/,32人,1人,¥10,圆满完成,,"企业网站建设,网站开发,网站定制",直接雇佣￥ 10,￥ 10,任务编号：1072594,0-88.csv,,
【APP开发】硬笔书法培训软件开发二期款,https://task.epwk.com/1072918/,30人,1人,"¥13,000",圆满完成,,硬笔书法培训软件开发二期款,直接雇佣￥ 13000,￥ 13000,任务编号：1072918,0-88.csv,,
【包装设计】GMS系列盒子,https://task.epwk.com/1072987/,31人,1人,"¥1,500",圆满完成,,GMS系列盒子,直接雇佣￥ 1500,￥ 1500,任务编号：1072987,0-88.csv,,
【APP开发】APP定制开发,https://task.epwk.com/1073002/,50人,1人,"¥60,533",圆满完成,,APP定制开发,直接雇佣￥ 60533,￥ 60533,任务编号：1073002,0-88.csv,,
【微信开发】本地服务公众号小程序源码,https://task.epwk.com/1073027/,31人,1人,"¥13,100",圆满完成,,本地服务公众号小程序源码,直接雇佣￥ 13100,￥ 13100,任务编号：1073027,0-88.csv,,
【书籍装帧】期刊设计,https://task.epwk.com/1073191/,35人,1人,"¥8,450",圆满完成,,期刊设计,直接雇佣￥ 8450,￥ 8450,任务编号：1073191,0-88.csv,,
【小程序开发】好评返现小程序开发（第二期，已确定合作者）,https://task.epwk.com/1073215/,27人,1人,"¥2,400",圆满完成,,好评返现小程序开发（第二期，已确定合作者）,直接雇佣￥ 2400,￥ 2400,任务编号：1073215,0-88.csv,,
【VI设计】精酿啤酒包装设计,https://task.epwk.com/1073328/,110人,1人,"¥2,000",圆满完成,,精酿啤酒包装设计,直接雇佣￥ 2000,￥ 2000,任务编号：1073328,0-88.csv,,
【商城建设】网站建设网站建设,https://task.epwk.com/1073475/,21人,1人,¥210,圆满完成,,网站建设网站建设,直接雇佣￥ 210,￥ 210,任务编号：1073475,0-88.csv,,
【LOGO设计】LOGO,https://task.epwk.com/1073580/,43人,1人,¥300,圆满完成,,LOGO,直接雇佣￥ 300,￥ 300,任务编号：1073580,0-88.csv,,
【产品外观设计】外观设计,https://task.epwk.com/1073855/,131人,1人,¥700,圆满完成,,外观设计,直接雇佣￥ 700,￥ 700,任务编号：1073855,0-88.csv,,
【产品外观设计】拐角设计,https://task.epwk.com/1073856/,126人,1人,¥700,圆满完成,,拐角设计,直接雇佣￥ 700,￥ 700,任务编号：1073856,0-88.csv,,
【电商网站】网站建设,https://task.epwk.com/1074106/,22人,1人,¥420,圆满完成,,网站建设,直接雇佣￥ 420,￥ 420,任务编号：1074106,0-88.csv,,
【专业代笔】文案撰写服务,https://task.epwk.com/1074223/,955人,1人,¥200,待验收,,文案撰写服务,直接雇佣￥ 200,￥ 200,任务编号：1074223,0-88.csv,,
【包装设计】震动器盒子系列,https://task.epwk.com/1074251/,26人,1人,"¥1,000",圆满完成,,震动器盒子系列,直接雇佣￥ 1000,￥ 1000,任务编号：1074251,0-88.csv,,
【企业官网】READY仓储物流公司管网开发,https://task.epwk.com/1074279/,129人,1人,"¥10,000",圆满完成,,READY仓储物流公司管网开发,直接雇佣￥ 10000,￥ 10000,任务编号：1074279,0-88.csv,,
【企业官网】企业网站开发,https://task.epwk.com/1074354/,26人,1人,¥510,圆满完成,,企业网站开发,直接雇佣￥ 510,￥ 510,任务编号：1074354,0-88.csv,,
【定制开发】需要参考仿一个站，一期定金,https://task.epwk.com/1074384/,30人,1人,"¥5,000",圆满完成,,需要参考仿一个站，一期定金,直接雇佣￥ 5000,￥ 5000,任务编号：1074384,0-88.csv,,
【包装设计】上海浦东本地精酿啤酒，啤酒易拉罐罐体图文设计,https://task.epwk.com/1074391/,37人,1人,"¥2,900",圆满完成,,上海浦东本地精酿啤酒，啤酒易拉罐罐体图文设计,直接雇佣￥ 2900,￥ 2900,任务编号：1074391,0-88.csv,,
【包装设计】四件套GS包装,https://task.epwk.com/1074392/,27人,1人,¥500,圆满完成,,四件套GS包装,直接雇佣￥ 500,￥ 500,任务编号：1074392,0-88.csv,,
【主图设计】原创设计方案,https://task.epwk.com/1074449/,88人,1人,¥300,圆满完成,,原创设计方案,直接雇佣￥ 300,￥ 300,任务编号：1074449,0-88.csv,,
【APP界面设计】应用软件ui设计试稿,https://task.epwk.com/1074462/,38人,1人,¥200,圆满完成,,应用软件ui设计试稿,直接雇佣￥ 200,￥ 200,任务编号：1074462,0-88.csv,,
【商城建设】本地电商平台建设一期定金,https://task.epwk.com/1074528/,31人,1人,"¥8,000",圆满完成,,本地电商平台建设一期定金,直接雇佣￥ 8000,￥ 8000,任务编号：1074528,0-88.csv,,
【LOGO设计】文化传播公司LOGO设计,https://task.epwk.com/1074616/,35人,1人,"¥3,300",圆满完成,,文化传播公司LOGO设计,直接雇佣￥ 3300,￥ 3300,任务编号：1074616,0-88.csv,,
【包装设计】日用品包装设计,https://task.epwk.com/1074618/,32人,1人,"¥3,900",圆满完成,,日用品包装设计,直接雇佣￥ 3900,￥ 3900,任务编号：1074618,0-88.csv,,
【其他软件开发】H5/微信小程序定制开发,https://task.epwk.com/1074727/,39人,1人,¥650,圆满完成,,H5/微信小程序定制开发,直接雇佣￥ 650,￥ 650,任务编号：1074727,0-88.csv,,
【企业官网】网站定制开发,https://task.epwk.com/1074858/,55人,1人,"¥4,000",圆满完成,,网站定制开发,直接雇佣￥ 4000,￥ 4000,任务编号：1074858,0-88.csv,,
【小程序开发】APP开发,https://task.epwk.com/1074978/,70人,1人,"¥3,500",圆满完成,,APP开发,直接雇佣￥ 3500,￥ 3500,任务编号：1074978,0-88.csv,,
【APP开发】APP开发,https://task.epwk.com/1075017/,58人,1人,"¥28,000",圆满完成,,APP开发,直接雇佣￥ 28000,￥ 28000,任务编号：1075017,0-88.csv,,
【企业官网】需要参考仿一个站，剩余尾款,https://task.epwk.com/1075154/,23人,1人,"¥8,000",圆满完成,,需要参考仿一个站，剩余尾款,直接雇佣￥ 8000,￥ 8000,任务编号：1075154,0-88.csv,,
【包装设计】包装设计,https://task.epwk.com/1075425/,42人,1人,¥600,圆满完成,,包装设计,直接雇佣￥ 600,￥ 600,任务编号：1075425,0-88.csv,,
【商城建设】大转盘邀请好友页面开发,https://task.epwk.com/1075476/,46人,1人,"¥1,000",圆满完成,,大转盘邀请好友页面开发,直接雇佣￥ 1000,￥ 1000,任务编号：1075476,0-88.csv,,
【定制开发】网站开发已联系好。,https://task.epwk.com/1075512/,41人,1人,"¥15,400",圆满完成,,网站开发已联系好。,直接雇佣￥ 15400,￥ 15400,任务编号：1075512,0-88.csv,,
【APP开发】物联网系统开发,https://task.epwk.com/1075517/,22人,1人,"¥7,600",圆满完成,,物联网系统开发,直接雇佣￥ 7600,￥ 7600,任务编号：1075517,0-88.csv,,
【VI设计】创意VI设计,https://task.epwk.com/1075636/,151人,1人,¥800,待验收,,创意VI设计,直接雇佣￥ 800,￥ 800,任务编号：1075636,0-88.csv,,
【模板建站】模板站扒站仿站,https://task.epwk.com/1075721/,42人,1人,"¥2,000",圆满完成,,模板站扒站仿站,直接雇佣￥ 2000,￥ 2000,任务编号：1075721,0-88.csv,,
【模板建站】模板站扒站仿站,https://task.epwk.com/1075891/,27人,1人,¥600,圆满完成,,模板站扒站仿站,直接雇佣￥ 600,￥ 600,任务编号：1075891,0-88.csv,,
【APP界面设计】app小程序H5应用软件网站网页交互外包定制ui设计,https://task.epwk.com/1075899/,50人,1人,"¥2,800",圆满完成,,app小程序H5应用软件网站网页交互外包定制ui设计,直接雇佣￥ 2800,￥ 2800,任务编号：1075899,0-88.csv,,
【其他软件开发】监控软件开发,https://task.epwk.com/1075918/,65人,1人,"¥6,500",圆满完成,,监控软件开发,直接雇佣￥ 6500,￥ 6500,任务编号：1075918,0-88.csv,,
【交互设计】填报采集系统设计（原型设计+登录页面保真）,https://task.epwk.com/1076021/,73人,1人,"¥3,500",圆满完成,,填报采集系统设计（原型设计+登录页面保真）,直接雇佣￥ 3500,￥ 3500,任务编号：1076021,0-88.csv,,
【产品外观设计】微缩模型设计，用于3D打印并批量生产,https://task.epwk.com/1076237/,84人,1人,"¥2,500",圆满完成,,微缩模型设计，用于3D打印并批量生产,直接雇佣￥ 2500,￥ 2500,任务编号：1076237,0-88.csv,,
【脚本开发】渗透测试,https://task.epwk.com/1076409/,45人,1人,"¥5,000",圆满完成,,渗透测试,直接雇佣￥ 5000,￥ 5000,任务编号：1076409,0-88.csv,,
【定制开发】​创新创业孵化项目管理系统 建设,https://task.epwk.com/1076425/,81人,1人,"¥12,000",圆满完成,,​创新创业孵化项目管理系统 建设,直接雇佣￥ 12000,￥ 12000,任务编号：1076425,0-88.csv,,
【其他软件开发】局域网同步控制软件,https://task.epwk.com/1076522/,41人,1人,"¥5,500",圆满完成,,局域网同步控制软件,直接雇佣￥ 5500,￥ 5500,任务编号：1076522,0-88.csv,,
【后端开发】重新修改,https://task.epwk.com/1076579/,114人,1人,¥300,圆满完成,,重新修改,直接雇佣￥ 300,￥ 300,任务编号：1076579,0-88.csv,,
【响应式网站】H5前端页面切图html+css+js,https://task.epwk.com/1076764/,28人,1人,¥300,圆满完成,,H5前端页面切图html+css+js,直接雇佣￥ 300,￥ 300,任务编号：1076764,0-88.csv,,
【定制开发】网站建设开发,https://task.epwk.com/1077156/,33人,1人,"¥3,238",圆满完成,,网站建设开发,直接雇佣￥ 3238,￥ 3238,任务编号：1077156,0-88.csv,,
【其他网站】评分系统开发,https://task.epwk.com/1077287/,39人,1人,"¥1,200",圆满完成,,评分系统开发,直接雇佣￥ 1200,￥ 1200,任务编号：1077287,0-88.csv,,
【微信推广】文案原创、微信公众号代运营、微信文章写作,https://task.epwk.com/1077339/,234人,1人,"¥6,000",圆满完成,,文案原创、微信公众号代运营、微信文章写作,直接雇佣￥ 6000,￥ 6000,任务编号：1077339,0-88.csv,,
【LOGO设计】公司LOGO设计,https://task.epwk.com/1077446/,41人,1人,"¥3,680",圆满完成,,公司LOGO设计,直接雇佣￥ 3680,￥ 3680,任务编号：1077446,0-88.csv,,
【H5开发】元宇宙展厅,https://task.epwk.com/1077472/,54人,1人,"¥6,600",圆满完成,,元宇宙展厅,直接雇佣￥ 6600,￥ 6600,任务编号：1077472,0-88.csv,,
【APP开发】咨询类APP开发（一期三阶段）,https://task.epwk.com/1077685/,37人,1人,"¥7,000",圆满完成,,咨询类APP开发（一期三阶段）,直接雇佣￥ 7000,￥ 7000,任务编号：1077685,0-88.csv,,
【企业官网】李朝勇网站建设php源码功能修改,https://task.epwk.com/1077884/,48人,1人,¥200,圆满完成,,李朝勇网站建设php源码功能修改,直接雇佣￥ 200,￥ 200,任务编号：1077884,0-88.csv,,
【小程序开发】即时通讯对话框前端布局及逻辑实现,https://task.epwk.com/1077891/,37人,1人,¥450,圆满完成,,即时通讯对话框前端布局及逻辑实现,直接雇佣￥ 450,￥ 450,任务编号：1077891,0-88.csv,,
【APP开发】网站建设定制开发设计企业公司官网营销门户,https://task.epwk.com/1078114/,38人,1人,"¥3,200",圆满完成,,网站建设定制开发设计企业公司官网营销门户,直接雇佣￥ 3200,￥ 3200,任务编号：1078114,0-88.csv,,
【门户网站】Vue Nuxt Django 大型门户营销型网站定制开,https://task.epwk.com/1078213/,16人,1人,¥500,圆满完成,,Vue Nuxt Django 大型门户营销型网站定制开,直接雇佣￥ 500,￥ 500,任务编号：1078213,0-88.csv,,
【VI设计】vi设计,https://task.epwk.com/1078224/,17人,1人,"¥3,800",圆满完成,,vi设计,直接雇佣￥ 3800,￥ 3800,任务编号：1078224,0-88.csv,,
【APP开发】app定制开发,https://task.epwk.com/1078227/,31人,1人,"¥37,520",圆满完成,,app定制开发,直接雇佣￥ 37520,￥ 37520,任务编号：1078227,0-88.csv,,
【小程序开发】同城二手交易平台,https://task.epwk.com/1078482/,44人,1人,"¥5,600",圆满完成,,同城二手交易平台,直接雇佣￥ 5600,￥ 5600,任务编号：1078482,0-88.csv,,
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,https://task.epwk.com/1078542/,350人,1人,"¥2,200",圆满完成,,详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,直接雇佣￥ 2200,￥ 2200,任务编号：1078542,0-88.csv,,
【小程序开发】个人网站设计与开发,https://task.epwk.com/1078544/,44人,1人,¥700,圆满完成,,个人网站设计与开发,直接雇佣￥ 700,￥ 700,任务编号：1078544,0-88.csv,,
【APP开发】奇石推广销售商城网站（尾款）,https://task.epwk.com/1078676/,25人,1人,"¥9,400",圆满完成,,奇石推广销售商城网站（尾款）,直接雇佣￥ 9400,￥ 9400,任务编号：1078676,0-88.csv,,
【LOGO设计】详情页主图,https://task.epwk.com/1078708/,43人,1人,¥300,圆满完成,,详情页主图,直接雇佣￥ 300,￥ 300,任务编号：1078708,0-88.csv,,
【APP开发】陪玩APP的源码及全套UI,https://task.epwk.com/1078735/,36人,1人,"¥23,800",圆满完成,,陪玩APP的源码及全套UI,直接雇佣￥ 23800,￥ 23800,任务编号：1078735,0-88.csv,,
【软件UI设计】防疫需求设计,https://task.epwk.com/1078840/,46人,1人,"¥4,300",圆满完成,,防疫需求设计,直接雇佣￥ 4300,￥ 4300,任务编号：1078840,0-88.csv,,
【LOGO设计】商标设计,https://task.epwk.com/1079044/,86人,1人,¥500,圆满完成,,商标设计,直接雇佣￥ 500,￥ 500,任务编号：1079044,0-88.csv,,
【响应式网站】马拉松定制网站开发,https://task.epwk.com/1079394/,35人,1人,"¥3,000",圆满完成,,马拉松定制网站开发,直接雇佣￥ 3000,￥ 3000,任务编号：1079394,0-88.csv,,
【影音播放】桌面版监控程序,https://task.epwk.com/1079406/,76人,1人,"¥10,000",圆满完成,,桌面版监控程序,直接雇佣￥ 10000,￥ 10000,任务编号：1079406,0-88.csv,,
【网站二次开发】網站修改,https://task.epwk.com/1079460/,69人,1人,"¥3,500",圆满完成,,網站修改,直接雇佣￥ 3500,￥ 3500,任务编号：1079460,0-88.csv,,
【企业官网】李朝勇网站建设php源码功能修改,https://task.epwk.com/1079557/,34人,1人,¥100,圆满完成,,李朝勇网站建设php源码功能修改,直接雇佣￥ 100,￥ 100,任务编号：1079557,0-88.csv,,
【详情页设计】一品威客任务编号为1078060的4张副图,https://task.epwk.com/1079600/,62人,1人,¥200,圆满完成,,一品威客任务编号为1078060的4张副图,直接雇佣￥ 200,￥ 200,任务编号：1079600,0-88.csv,,
【后期制作】后期制作,https://task.epwk.com/1079678/,178人,1人,¥200,圆满完成,,后期制作,直接雇佣￥ 200,￥ 200,任务编号：1079678,0-88.csv,,
【LOGO设计】推广主图两张,https://task.epwk.com/1079762/,42人,1人,¥150,圆满完成,,推广主图两张,直接雇佣￥ 150,￥ 150,任务编号：1079762,0-88.csv,,
【抖音视频】做一个短视频平台短视频,https://task.epwk.com/1080155/,693人,1人,¥100,圆满完成,,做一个短视频平台短视频,直接雇佣￥ 100,￥ 100,任务编号：1080155,0-88.csv,,
【剪辑服务】公司宣传片,https://task.epwk.com/1080191/,516人,1人,¥240,圆满完成,,公司宣传片,直接雇佣￥ 240,￥ 240,任务编号：1080191,0-88.csv,,
【小程序开发】二期报名活动小程序开发,https://task.epwk.com/1080361/,25人,1人,"¥8,600",圆满完成,,二期报名活动小程序开发,直接雇佣￥ 8600,￥ 8600,任务编号：1080361,0-88.csv,,
【书籍装帧】期刊排版设计,https://task.epwk.com/1080456/,37人,1人,"¥5,632",圆满完成,,期刊排版设计,直接雇佣￥ 5632,￥ 5632,任务编号：1080456,0-88.csv,,
【背景墙设计】文化墙设计,https://task.epwk.com/1080473/,63人,1人,¥500,圆满完成,,文化墙设计,直接雇佣￥ 500,￥ 500,任务编号：1080473,0-88.csv,,
【动漫角色设计】UE5人物建模、场景、UE 开发,https://task.epwk.com/1080628/,60人,1人,"¥1,000",圆满完成,,UE5人物建模、场景、UE 开发,直接雇佣￥ 1000,￥ 1000,任务编号：1080628,0-88.csv,,
【漫画设计】改模型,https://task.epwk.com/1080849/,79人,1人,¥300,圆满完成,,改模型,直接雇佣￥ 300,￥ 300,任务编号：1080849,0-88.csv,,
【脚本开发】组合数据对比,https://task.epwk.com/1080896/,42人,1人,¥800,圆满完成,,组合数据对比,直接雇佣￥ 800,￥ 800,任务编号：1080896,0-88.csv,,
【动漫角色设计】人物模型一个,https://task.epwk.com/1080932/,71人,1人,¥500,圆满完成,,人物模型一个,直接雇佣￥ 500,￥ 500,任务编号：1080932,0-88.csv,,
【APP开发】网站开发,https://task.epwk.com/1081062/,137人,1人,"¥30,000",圆满完成,,网站开发,直接雇佣￥ 30000,￥ 30000,任务编号：1081062,0-88.csv,,
【网店推广】淘宝天猫店铺电脑手机APP无线关键词搜索人工流量访客优化推广,https://task.epwk.com/1081136/,72人,1人,¥60,圆满完成,,淘宝天猫店铺电脑手机APP无线关键词搜索人工流量访客优化推广,直接雇佣￥ 60,￥ 60,任务编号：1081136,0-88.csv,,
【其他工具软件】刷仓位软件,https://task.epwk.com/1081307/,56人,1人,"¥12,000",圆满完成,,刷仓位软件,直接雇佣￥ 12000,￥ 12000,任务编号：1081307,0-88.csv,,
【手机网站】微信公众号/小程序/H5定制开发/电脑端PC/移动端手机,https://task.epwk.com/1081314/,29人,1人,"¥1,600",圆满完成,,微信公众号/小程序/H5定制开发/电脑端PC/移动端手机,直接雇佣￥ 1600,￥ 1600,任务编号：1081314,0-88.csv,,
