标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,,
【图片处理】修图,https://task.epwk.com/569247/,226人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,修图,直接雇佣￥ 2000,￥ 2000,任务编号：569247,1534-2000.csv,,,
【图片处理】修图,https://task.epwk.com/569251/,242人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,修图,直接雇佣￥ 1000,￥ 1000,任务编号：569251,1534-2000.csv,,,
【图片处理】修图,https://task.epwk.com/569252/,386人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,修图,直接雇佣￥ 1000,￥ 1000,任务编号：569252,1534-2000.csv,,,
【包装设计】【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,https://task.epwk.com/569262/,263人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,直接雇佣￥ 1500,￥ 1500,任务编号：569262,1534-2000.csv,,,
【网站UI设计】12.27详情简体-4套,https://task.epwk.com/569263/,465人,1人,¥100,圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,12.27详情简体-4套,直接雇佣￥ 100,￥ 100,任务编号：569263,1534-2000.csv,,,
【包装设计】logo设,https://task.epwk.com/569264/,167人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,logo设,直接雇佣￥ 3000,￥ 3000,任务编号：569264,1534-2000.csv,,,
【包装设计】【定制】休闲娱乐互联网医疗生物科技/公司品牌形象企业VI应用设计,https://task.epwk.com/569265/,378人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,【定制】休闲娱乐互联网医疗生物科技/公司品牌形象企业VI应用设计,直接雇佣￥ 5000,￥ 5000,任务编号：569265,1534-2000.csv,,,
C#软件开发,https://task.epwk.com/569267/,230人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,C#软件开发,直接雇佣￥ 2000,￥ 2000,任务编号：569267,1534-2000.csv,,,
【包装设计】包装设计/产品包装/食品包装/化妆品包装/饮料包装/酒水包装/茶叶包装,https://task.epwk.com/569271/,406人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,包装设计/产品包装/食品包装/化妆品包装/饮料包装/酒水包装/茶叶包装,直接雇佣￥ 1000,￥ 1000,任务编号：569271,1534-2000.csv,,,
【测试服务】灰度发布市场性能测试,https://task.epwk.com/569273/,1592人,1人,"¥9,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,灰度发布市场性能测试,直接雇佣￥ 9000,￥ 9000,任务编号：569273,1534-2000.csv,,,
【企业官网】惠千客商城系统开发,https://task.epwk.com/569276/,267人,1人,"¥35,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,惠千客商城系统开发,直接雇佣￥ 35000,￥ 35000,任务编号：569276,1534-2000.csv,,,
【企业官网】物流货运app定制开发,https://task.epwk.com/569280/,178人,1人,"¥28,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,物流货运app定制开发,直接雇佣￥ 28000,￥ 28000,任务编号：569280,1534-2000.csv,,,
【企业官网】东营直销制度定制开发,https://task.epwk.com/569284/,171人,1人,"¥11,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,东营直销制度定制开发,直接雇佣￥ 11000,￥ 11000,任务编号：569284,1534-2000.csv,,,
【企业官网】微信分销商城系统定制开发 + PC端商城,https://task.epwk.com/569288/,169人,1人,"¥26,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,微信分销商城系统定制开发 + PC端商城,直接雇佣￥ 26000,￥ 26000,任务编号：569288,1534-2000.csv,,,
海报设计,https://task.epwk.com/569290/,116人,1人,¥200,圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,海报设计,直接雇佣￥ 200,￥ 200,任务编号：569290,1534-2000.csv,,,
【宣传册设计】设计,https://task.epwk.com/569291/,448人,1人,¥200,圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,设计,直接雇佣￥ 200,￥ 200,任务编号：569291,1534-2000.csv,,,
【企业官网】网页设计+前段开发切图,https://task.epwk.com/569292/,375人,1人,¥700,圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,网页设计+前段开发切图,直接雇佣￥ 700,￥ 700,任务编号：569292,1534-2000.csv,,,
【其他家装服务】装修设计,https://task.epwk.com/569297/,881人,1人,"¥9,900",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,装修设计,直接雇佣￥ 9900,￥ 9900,任务编号：569297,1534-2000.csv,,,
【LOGO设计】企业LOGO设计/商标设计/餐饮/网络/科技/电商/网店/专业设计师,https://task.epwk.com/569311/,240人,1人,¥500,圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,企业LOGO设计/商标设计/餐饮/网络/科技/电商/网店/专业设计师,直接雇佣￥ 500,￥ 500,任务编号：569311,1534-2000.csv,,,
【产品外观设计】大圣佛设计,https://task.epwk.com/569347/,1594人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,大圣佛设计,直接雇佣￥ 1500,￥ 1500,任务编号：569347,1534-2000.csv,,,
【APP开发】期货交易平台开发四期,https://task.epwk.com/569376/,185人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,期货交易平台开发四期,直接雇佣￥ 40000,￥ 40000,任务编号：569376,1534-2000.csv,,,
【APP开发】APP的页面设计,https://task.epwk.com/569377/,197人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,APP的页面设计,直接雇佣￥ 3000,￥ 3000,任务编号：569377,1534-2000.csv,,,
【APP开发】网站定制开发一期,https://task.epwk.com/569378/,252人,1人,"¥44,500",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,网站定制开发一期,直接雇佣￥ 44500,￥ 44500,任务编号：569378,1534-2000.csv,,,
【APP开发】网站定制开发二期,https://task.epwk.com/569380/,194人,1人,"¥38,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,网站定制开发二期,直接雇佣￥ 38000,￥ 38000,任务编号：569380,1534-2000.csv,,,
【APP开发】直播app程序开发,https://task.epwk.com/569387/,510人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,直播app程序开发,直接雇佣￥ 50000,￥ 50000,任务编号：569387,1534-2000.csv,,,
【APP开发】竞技类游戏程序开发,https://task.epwk.com/569392/,323人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,竞技类游戏程序开发,直接雇佣￥ 50000,￥ 50000,任务编号：569392,1534-2000.csv,,,
【小程序开发】做个类似快手app,https://task.epwk.com/569413/,610人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,做个类似快手app,直接雇佣￥ 50000,￥ 50000,任务编号：569413,1534-2000.csv,,,
【其他软件开发】做个类似快手app,https://task.epwk.com/569414/,605人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,做个类似快手app,直接雇佣￥ 50000,￥ 50000,任务编号：569414,1534-2000.csv,,,
【其他软件开发】做个类似快手app,https://task.epwk.com/569415/,268人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,做个类似快手app,直接雇佣￥ 40000,￥ 40000,任务编号：569415,1534-2000.csv,,,
【小程序开发】员工工资管理系统,https://task.epwk.com/569421/,452人,1人,"¥4,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,员工工资管理系统,直接雇佣￥ 4000,￥ 4000,任务编号：569421,1534-2000.csv,,,
【APP开发】竞技类游戏程序开发,https://task.epwk.com/569427/,214人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,竞技类游戏程序开发,直接雇佣￥ 50000,￥ 50000,任务编号：569427,1534-2000.csv,,,
【问卷调查】市场调查,https://task.epwk.com/569436/,1331人,1人,"¥1,800",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,市场调查,直接雇佣￥ 1800,￥ 1800,任务编号：569436,1534-2000.csv,,,
【APP开发】类似贪吃蛇大作战手机App开发,https://task.epwk.com/569437/,181人,1人,"¥49,500",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,类似贪吃蛇大作战手机App开发,直接雇佣￥ 49500,￥ 49500,任务编号：569437,1534-2000.csv,,,
【APP开发】类似贪吃蛇大作战手机App开发第二期,https://task.epwk.com/569438/,281人,1人,"¥35,500",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,类似贪吃蛇大作战手机App开发第二期,直接雇佣￥ 35500,￥ 35500,任务编号：569438,1534-2000.csv,,,
【APP开发】类似贪吃蛇大作战手机App开发第三期,https://task.epwk.com/569439/,199人,1人,"¥35,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,类似贪吃蛇大作战手机App开发第三期,直接雇佣￥ 35000,￥ 35000,任务编号：569439,1534-2000.csv,,,
【英语】日语漫画翻译,https://task.epwk.com/569445/,1444人,1人,"¥13,650",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,日语漫画翻译,直接雇佣￥ 13650,￥ 13650,任务编号：569445,1534-2000.csv,,,
【企业官网】小程序开发,https://task.epwk.com/569452/,306人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,小程序开发,直接雇佣￥ 20000,￥ 20000,任务编号：569452,1534-2000.csv,,,
【企业官网】多用户商城开发,https://task.epwk.com/569453/,284人,1人,"¥29,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,多用户商城开发,直接雇佣￥ 29000,￥ 29000,任务编号：569453,1534-2000.csv,,,
【企业官网】官网模板,https://task.epwk.com/569455/,429人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,官网模板,直接雇佣￥ 1000,￥ 1000,任务编号：569455,1534-2000.csv,,,
【小程序开发】交易网站程序开发,https://task.epwk.com/569468/,358人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,交易网站程序开发,直接雇佣￥ 50000,￥ 50000,任务编号：569468,1534-2000.csv,,,
【企业官网】APP修复,https://task.epwk.com/569489/,237人,1人,"¥2,509",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,APP修复,直接雇佣￥ 2509,￥ 2509,任务编号：569489,1534-2000.csv,,,
【宣传册设计】景观和园林画册设计,https://task.epwk.com/569490/,390人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,景观和园林画册设计,直接雇佣￥ 3000,￥ 3000,任务编号：569490,1534-2000.csv,,,
【VI设计】品牌整体VI设计,https://task.epwk.com/569499/,312人,1人,"¥38,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,品牌整体VI设计,直接雇佣￥ 38000,￥ 38000,任务编号：569499,1534-2000.csv,,,
【广告片/MV】品牌广告定制设计,https://task.epwk.com/569501/,607人,1人,"¥42,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,品牌广告定制设计,直接雇佣￥ 42000,￥ 42000,任务编号：569501,1534-2000.csv,,,
【名片设计】修照片,https://task.epwk.com/569504/,931人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,修照片,直接雇佣￥ 1000,￥ 1000,任务编号：569504,1534-2000.csv,,,
【企业官网】响应式网站自适应电脑手机平板定制开发,https://task.epwk.com/569507/,254人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,响应式网站自适应电脑手机平板定制开发,直接雇佣￥ 5000,￥ 5000,任务编号：569507,1534-2000.csv,,,
【广告设计】海报设计,https://task.epwk.com/569514/,555人,1人,"¥3,010",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,海报设计,直接雇佣￥ 3010,￥ 3010,任务编号：569514,1534-2000.csv,,,
连锁店后台系统开发,https://task.epwk.com/569540/,219人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,连锁店后台系统开发,直接雇佣￥ 50000,￥ 50000,任务编号：569540,1534-2000.csv,,,
【企业官网】网站二次开发,https://task.epwk.com/569569/,199人,1人,"¥1,982",圆满完成,https://task.epwk.com/page1754.html?m=6&o=7,网站二次开发,直接雇佣￥ 1982,￥ 1982,任务编号：569569,1534-2000.csv,,,
【企业官网】教育培训类线上平台,https://task.epwk.com/569570/,280人,1人,"¥1,892",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,教育培训类线上平台,直接雇佣￥ 1892,￥ 1892,任务编号：569570,1534-2000.csv,,,
【企业官网】网站前端开发,https://task.epwk.com/569572/,651人,1人,¥862,圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,网站前端开发,直接雇佣￥ 862,￥ 862,任务编号：569572,1534-2000.csv,,,
【代办/跑腿】金银纪念币代购，2018年贺岁封装银币，8枚,https://task.epwk.com/569585/,482人,1人,"¥1,688",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,金银纪念币代购，2018年贺岁封装银币，8枚,直接雇佣￥ 1688,￥ 1688,任务编号：569585,1534-2000.csv,,,
【包装设计】【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,https://task.epwk.com/569588/,1529人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,直接雇佣￥ 3000,￥ 3000,任务编号：569588,1534-2000.csv,,,
【包装设计】【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,https://task.epwk.com/569589/,1481人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,直接雇佣￥ 3000,￥ 3000,任务编号：569589,1534-2000.csv,,,
【包装设计】【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,https://task.epwk.com/569590/,1534人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,直接雇佣￥ 3000,￥ 3000,任务编号：569590,1534-2000.csv,,,
【图片处理】修图,https://task.epwk.com/569600/,300人,1人,"¥4,980",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,修图,直接雇佣￥ 4980,￥ 4980,任务编号：569600,1534-2000.csv,,,
【微信开发】源码对接,https://task.epwk.com/569605/,369人,1人,"¥19,400",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,源码对接,直接雇佣￥ 19400,￥ 19400,任务编号：569605,1534-2000.csv,,,
【小程序开发】小程序开发,https://task.epwk.com/569608/,338人,1人,"¥9,800",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,小程序开发,直接雇佣￥ 9800,￥ 9800,任务编号：569608,1534-2000.csv,,,
【图片处理】修图,https://task.epwk.com/569609/,394人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,修图,直接雇佣￥ 1000,￥ 1000,任务编号：569609,1534-2000.csv,,,
【图片处理】设计,https://task.epwk.com/569611/,378人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,设计,直接雇佣￥ 1000,￥ 1000,任务编号：569611,1534-2000.csv,,,
【其他网站】Thinkphp二次开发定制,https://task.epwk.com/569632/,550人,1人,"¥2,500",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,Thinkphp二次开发定制,直接雇佣￥ 2500,￥ 2500,任务编号：569632,1534-2000.csv,,,
社交APP后台与接口开发,https://task.epwk.com/569635/,186人,1人,"¥41,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,社交APP后台与接口开发,直接雇佣￥ 41000,￥ 41000,任务编号：569635,1534-2000.csv,,,
【测试服务】sas蜡烛线分析模型验证测试,https://task.epwk.com/569637/,1559人,1人,¥866,圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,sas蜡烛线分析模型验证测试,直接雇佣￥ 866,￥ 866,任务编号：569637,1534-2000.csv,,,
【店铺装修】【电商设计】电商设计美工包月天猫淘宝京东商城,https://task.epwk.com/569638/,403人,1人,"¥15,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,【电商设计】电商设计美工包月天猫淘宝京东商城,直接雇佣￥ 15000,￥ 15000,任务编号：569638,1534-2000.csv,,,
【别墅设计】别墅欧式风格设计,https://task.epwk.com/569642/,577人,1人,"¥22,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,别墅欧式风格设计,直接雇佣￥ 22000,￥ 22000,任务编号：569642,1534-2000.csv,,,
【别墅设计】福州连江6层别墅施工图设计,https://task.epwk.com/569655/,318人,1人,"¥29,500",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,福州连江6层别墅施工图设计,直接雇佣￥ 29500,￥ 29500,任务编号：569655,1534-2000.csv,,,
【企业官网】项目承包平台开发,https://task.epwk.com/569658/,258人,1人,"¥7,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,项目承包平台开发,直接雇佣￥ 7000,￥ 7000,任务编号：569658,1534-2000.csv,,,
【企业官网】潍坊直销拆分系统制作开发,https://task.epwk.com/569665/,412人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,潍坊直销拆分系统制作开发,直接雇佣￥ 40000,￥ 40000,任务编号：569665,1534-2000.csv,,,
【APP开发】APP定制开发 单用户商城系统IOS/安卓包含服务器,https://task.epwk.com/569678/,281人,1人,"¥47,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,APP定制开发 单用户商城系统IOS/安卓包含服务器,直接雇佣￥ 47000,￥ 47000,任务编号：569678,1534-2000.csv,,,
【APP开发】商城小程序二期,https://task.epwk.com/569687/,309人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,商城小程序二期,直接雇佣￥ 40000,￥ 40000,任务编号：569687,1534-2000.csv,,,
海事局系统二次开发【第十二期】,https://task.epwk.com/569699/,297人,1人,"¥6,800",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,海事局系统二次开发【第十二期】,直接雇佣￥ 6800,￥ 6800,任务编号：569699,1534-2000.csv,,,
【手游开发】手机游戏开发V6,https://task.epwk.com/569703/,856人,1人,"¥45,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,手机游戏开发V6,直接雇佣￥ 45000,￥ 45000,任务编号：569703,1534-2000.csv,,,
【H5设计】H5设计,https://task.epwk.com/569709/,820人,1人,¥500,圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,H5设计,直接雇佣￥ 500,￥ 500,任务编号：569709,1534-2000.csv,,,
【VI设计】餐厅logo和VI设计,https://task.epwk.com/569733/,218人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,餐厅logo和VI设计,直接雇佣￥ 1000,￥ 1000,任务编号：569733,1534-2000.csv,,,
【VR游戏】益智游戏VR定制开发,https://task.epwk.com/569736/,1088人,1人,"¥68,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,益智游戏VR定制开发,直接雇佣￥ 68000,￥ 68000,任务编号：569736,1534-2000.csv,,,
【VR游戏】益智游戏VR定制开发第二期,https://task.epwk.com/569737/,738人,1人,"¥54,500",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,益智游戏VR定制开发第二期,直接雇佣￥ 54500,￥ 54500,任务编号：569737,1534-2000.csv,,,
【APP界面设计】ui设计丨App软件界面设计丨网站平面设计丨移动应用UI设计,https://task.epwk.com/569746/,338人,1人,"¥4,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,ui设计丨App软件界面设计丨网站平面设计丨移动应用UI设计,直接雇佣￥ 4000,￥ 4000,任务编号：569746,1534-2000.csv,,,
【小程序开发】退款 物流 订单管理 小视频 图文 会员评论点赞 Wap也要还有商家信息,https://task.epwk.com/569769/,279人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,退款 物流 订单管理 小视频 图文 会员评论点赞 Wap也要还有商家信息,直接雇佣￥ 1500,￥ 1500,任务编号：569769,1534-2000.csv,,,
【APP开发】做个智慧小区系统,https://task.epwk.com/569784/,314人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1753.html?m=6&o=7,做个智慧小区系统,直接雇佣￥ 50000,￥ 50000,任务编号：569784,1534-2000.csv,,,
【APP开发】做个智慧小区系统,https://task.epwk.com/569785/,397人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,做个智慧小区系统,直接雇佣￥ 50000,￥ 50000,任务编号：569785,1534-2000.csv,,,
【APP开发】做个智慧小区系统,https://task.epwk.com/569786/,223人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,做个智慧小区系统,直接雇佣￥ 50000,￥ 50000,任务编号：569786,1534-2000.csv,,,
【APP开发】App定制,https://task.epwk.com/569787/,322人,1人,"¥12,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,App定制,直接雇佣￥ 12000,￥ 12000,任务编号：569787,1534-2000.csv,,,
【微信开发】公众号+小程序预付款,https://task.epwk.com/569788/,327人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,公众号+小程序预付款,直接雇佣￥ 1000,￥ 1000,任务编号：569788,1534-2000.csv,,,
【APP开发】网站定制开发三期,https://task.epwk.com/569812/,288人,1人,"¥65,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,网站定制开发三期,直接雇佣￥ 65000,￥ 65000,任务编号：569812,1534-2000.csv,,,
【APP开发】网站定制开发尾款,https://task.epwk.com/569815/,247人,1人,"¥60,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,网站定制开发尾款,直接雇佣￥ 60000,￥ 60000,任务编号：569815,1534-2000.csv,,,
【网站UI设计】网站UI设计,https://task.epwk.com/569851/,756人,1人,"¥51,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,网站UI设计,直接雇佣￥ 51000,￥ 51000,任务编号：569851,1534-2000.csv,,,
【名片设计】修照片,https://task.epwk.com/569859/,1548人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,修照片,直接雇佣￥ 2000,￥ 2000,任务编号：569859,1534-2000.csv,,,
【APP界面设计】移动执法系统UI,https://task.epwk.com/569868/,329人,1人,"¥6,800",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,移动执法系统UI,直接雇佣￥ 6800,￥ 6800,任务编号：569868,1534-2000.csv,,,
【其他软件开发】按照附件升级程序,https://task.epwk.com/569883/,281人,1人,¥400,圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,按照附件升级程序,直接雇佣￥ 400,￥ 400,任务编号：569883,1534-2000.csv,,,
【其他软件开发】网站内容修改,https://task.epwk.com/569924/,210人,1人,¥200,圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,网站内容修改,直接雇佣￥ 200,￥ 200,任务编号：569924,1534-2000.csv,,,
【图片处理】修图,https://task.epwk.com/569930/,323人,1人,"¥4,900",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,修图,直接雇佣￥ 4900,￥ 4900,任务编号：569930,1534-2000.csv,,,
【图片处理】修图详情页修图二,https://task.epwk.com/569931/,494人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,修图详情页修图二,直接雇佣￥ 1000,￥ 1000,任务编号：569931,1534-2000.csv,,,
【图片处理】详情页修图三,https://task.epwk.com/569932/,294人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,详情页修图三,直接雇佣￥ 1000,￥ 1000,任务编号：569932,1534-2000.csv,,,
【VI设计】ilahui恋慧形象设计,https://task.epwk.com/569935/,423人,1人,"¥19,803",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,ilahui恋慧形象设计,直接雇佣￥ 19803,￥ 19803,任务编号：569935,1534-2000.csv,,,
【海报设计】做一张图设计，高端要求，满意为止。,https://task.epwk.com/569942/,906人,1人,¥500,圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,做一张图设计，高端要求，满意为止。,直接雇佣￥ 500,￥ 500,任务编号：569942,1534-2000.csv,,,
【商业空间】龙岩盛福新商城装修设计,https://task.epwk.com/569944/,800人,1人,"¥24,000",圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,龙岩盛福新商城装修设计,直接雇佣￥ 24000,￥ 24000,任务编号：569944,1534-2000.csv,,,
【其他软件开发】将GSignTool系统授权功能去掉,https://task.epwk.com/569946/,382人,1人,¥500,圆满完成,https://task.epwk.com/page1752.html?m=6&o=7,将GSignTool系统授权功能去掉,直接雇佣￥ 500,￥ 500,任务编号：569946,1534-2000.csv,,,
