标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【小程序开发】狮子鱼小程序二次开发,https://task.epwk.com/976333/,942人,1人,1000元以内,圆满完成,,o5b5549e3d2465,改动一个功能，简单些，要实现的功能以及前端页面、后端页面，加在哪里，我都做好了，清晰明了，直接上手开发就行,2021-12-26,2021.12.29,任务编号：976333,600.0,2天,山东省-淄博市-市辖区,果田科技 100%好评服务商,https://shop.epwk.com/j7n38x8pe5e1/,果田科技 100%好评服务商,出售服务,https://shop.epwk.com/j7n38x8pe5e1/chushou/,企业,一品,82分,总 67 次中标，交易总金额,￥37.77万,果田科技 100%好评服务商,,各平台APP开发,价格面议,各平台小程序开发,价格面议,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】小程序升级,https://task.epwk.com/976289/,1894人,8人,5000-10000元,圆满完成,,jianlang2002,加微信详聊。手机号就是微信。小程序升级。费用走威客平台。,2021-12-25,2022.05.19,任务编号：976289,5000.0,"20天,20天,20天","福建省-龙岩市-新罗区,河南省-洛阳市,河南省-郑州市-市辖区",创和智联,https://shop.epwk.com/0z5o4yplqnjq/,创和智联,出售服务,https://shop.epwk.com/0z5o4yplqnjq/chushou/,企业,五品,45分,,,创和智联,,H5开发,"￥1000
            /起",企业官网,"￥15000
            /起",电子商务网站,"￥10000
            /起",OA系统,"￥15000
            /起",CRM系统开发,"￥8000
            /起",微信公众号,"￥3000
            /起",小程序开发,"￥3000
            /起",,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】微信小程序＋后台管理系统源码,https://task.epwk.com/975977/,823人,1人,1000-3000元,圆满完成,,o5f3e90ba6d954,求购一套微信小程序源码当结课作品，UI符合现代审美，微信小程序和网页版后台管理系统都有，主题是宠物护理服务平台，小程序提供宠物清洁、宠物美容等护理服务，小程序大致像图片中的这个样子。网页版后台管理系统基本实现对数据库的增删查改基本管理就行，开发技术最好是Java、MySQL数据库，另外请远程帮部署在个人笔记本上，笔记本上的环境是jdk1.8.0_251，mysql8.0.25，有意可以截图小程序和后台管理系统界面投标，沟通请加微信。,2021-12-23,2021.12.30,任务编号：975977,1000.0,2天,江苏省-常州市,常州任溢网络科技有限公司,https://shop.epwk.com/3gd2mmm9vner/,常州任溢网络科技有限公司,出售服务,https://shop.epwk.com/3gd2mmm9vner/chushou/,企业,一品,89分,总 127 次中标，交易总金额,￥70.7万,常州任溢网络科技有限公司,,微信家政服务小程序开发定制 上门保洁保姆维修预约下单派单抢单,"￥3500
            /次",一物一码，扫码查看检测报告，二维码，防伪溯源管理软件,"￥4500
            /次",微信小程序商城制作、适合生鲜零食农产品特产商贸零售等行业，基础商城功能,"￥5000
            /件",活动报名系统 支持公众号 添加发布方，活动发布、活动报名、会员管理、充值,"￥5000
            /件",亲子活动预约小程序 打卡签到  专属会员卡 活动商家入驻 多商户 分销功能,"￥7500
            /件",微课堂 报名课程 讲师系统 分销系统 教育培训  课程音视频 支持小程序、公众号、电脑端 统一后台,"￥25000
            /件",社区社群商城团购系统  短视频 小区论坛  周边优惠券 首页样式切换 社交购物,"￥25000
            /件",美容美发服务型行业小程序 营销版 拼团 分销 预约 签到 会员卡 积分 到店或上门服务 多门店,"￥9500
            /件",维修家政生活服务类小程序 连锁分店模式 可预约、有砍价、卡券功能，手机端商家后台,"￥6500
            /件",小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【企业官网】企业官网建设,https://task.epwk.com/975600/,1690人,8人,1000-3000元,圆满完成,,凯郎V5DGW,企业官网建设,2021-12-21,2022.01.24,任务编号：975600,2500.0,"20天,15天,5天,15天,20天","辽宁省-沈阳市,河南省-洛阳市,广东省-深圳市,北京市-北京市,内蒙古-乌兰察布市",宣越科技,https://shop.epwk.com/78dlj2k895lx/,宣越科技,出售服务,https://shop.epwk.com/78dlj2k895lx/chushou/,企业,五品,39分,,,宣越科技,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【定制开发】企业城市分站网站开发,https://task.epwk.com/975599/,944人,3人,5000-10000元,圆满完成,,o58ef299b755d2,根据设计图做出企业网站分站平台需要做成 城市分站系统需要用TP框架来开发每个城市分站必须有自己的独立后台地址，方便上传每个地区企业网站的内容设计图已经出好，按照设计图制作完成可以使用源码模板进行二开,2021-12-21,2022.03.11,任务编号：975599,6000.0,"20天,10天","河南省-洛阳市,山东省-枣庄市",洛阳蓝普网络技术有限公司,https://shop.epwk.com/v0n1x1mq257y/,洛阳蓝普网络技术有限公司,出售服务,https://shop.epwk.com/v0n1x1mq257y/chushou/,企业,一品,105分,总 388 次中标，交易总金额,￥199.47万,洛阳蓝普网络技术有限公司,,php项目定制开发,￥1000,微信小程序定制开发,"￥1000
            /件",,,,,,,,,,,,,,,定制开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【手游开发】木头人游戏开发首付款,https://task.epwk.com/975574/,1942人,1人,1万-2万元,圆满完成,,k7806****10,项目:游戏开发称呼:邓先生地区:江西吉安需求:要开发一套 类似123木头人的游戏，需要开房间形式的 ，1.在线注册需要后台审核手机号码注册，需要后台审核 2.关卡游戏开局100人淘汰制度（只有一关）3.限制游戏时间结束排名前十 4.后台设置容易度，可以设置玩家IP使游戏增加难度完成不了 5.准备房间自由活动，具体详谈,2021-12-21,2021.12.22,任务编号：975574,16800.0,7天,广东省-广州市-白云区,星恒海宇——软件开发定制专家,https://shop.epwk.com/78dlj2x0l5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手游开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【企业官网】公司的网站开发,https://task.epwk.com/975450/,1545人,5人,1000元以内,圆满完成,,k4773****13,项目:公司的网站开发称呼:窦先生地区:广州需求:做个公司的网站开发，套用模板，为了应付阿里检查用的，有域名，做个最简单的展示功能就可以。预算:报价联系,2021-12-20,2021.12.22,任务编号：975450,600.0,"2天,3天","辽宁省-沈阳市,江苏省-常州市-武进区",宣越科技,https://shop.epwk.com/78dlj2k895lx/,宣越科技,出售服务,https://shop.epwk.com/78dlj2k895lx/chushou/,企业,五品,39分,,,宣越科技,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【网站二次开发】网站二次开发优化,https://task.epwk.com/975422/,1738人,1人,1000元以内,圆满完成,,蔚蓝传媒,已经有源码了，需要进行后台管理的优化和代码的优化,2021-12-20,2021.12.28,任务编号：975422,500.0,120天,山东省-淄博市-市辖区,果田科技 100%好评服务商,https://shop.epwk.com/j7n38x8pe5e1/,果田科技 100%好评服务商,出售服务,https://shop.epwk.com/j7n38x8pe5e1/chushou/,企业,一品,82分,总 67 次中标，交易总金额,￥37.77万,果田科技 100%好评服务商,,各平台APP开发,价格面议,各平台小程序开发,价格面议,,,,,,,,,,,,,,,网站二次开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【其他软件开发】单机办公小工具开发,https://task.epwk.com/975348/,551人,1人,1000-3000元,圆满完成,,正林,特定内容通过小工具生成pdf（pdf模板是我们自己特定的  我们提供）,2021-12-20,2021.12.27,任务编号：975348,1500.0,3天,北京市-北京市-通州区,北京星创远达,https://shop.epwk.com/81n41qyvonp6/,北京星创远达,出售服务,https://shop.epwk.com/81n41qyvonp6/chushou/,企业,四品,41分,,,北京星创远达,,,,,,,,,,,,,,,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】母婴商城综合类小程序开发,https://task.epwk.com/975215/,1815人,12人,1万-2万元,圆满完成,,llx76878,母婴平台    包含母婴商城   母婴知识咨询   母婴相关服务   平台 要求原创   简洁大方   温馨   创新,2021-12-18,2022.01.09,任务编号：975215,10000.0,"45天,30天,30天,20天,20天,20天,30天","福建省-厦门市-海沧区,河南省-洛阳市,山东省-青岛市-黄岛区,江苏省-徐州市-贾汪区,内蒙古-乌兰察布市-集宁区,山东省-枣庄市,广东省-深圳市",迅程科技,https://shop.epwk.com/2j5xogm4g5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】安卓手机分屏软件开发,https://task.epwk.com/975106/,1061人,1人,5000-10000元,圆满完成,,威鹤YK7oq,开发一个安卓版的手机分屏软件，打开app就是分屏，分上下两块，可以运行两个软件，分屏的中间线可以上下移动到1/3处，就这样傻瓜形式，没有其他任何设置功能，兼容各种品牌型号的手机,2021-12-17,2022.01.03,任务编号：975106,5000.0,18天,浙江省-杭州市-临平区,东讯达科技（杭州）有限公司,https://shop.epwk.com/9w56eqzledv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】展示及报名小程序,https://task.epwk.com/975086/,897人,15人,1000-3000元,圆满完成,,k3510****25,"项目：展示及报名小程序称呼：吴先生地区: 上海，服务商地域不限需求: 活动课程展示，活动流程跟进（流程A完成后 到流程B, 然后到流程C）,线上报名，不用支付功能预算: 5000元以内，报价超过的不考虑时间：尽快备注：微信不是手机号",2021-12-17,2021.12.18,任务编号：975086,2500.0,"9天,20天,7天,20天,10天","河北省-张家口市,河南省-洛阳市,广东省-惠州市-市辖区,贵州省-贵阳市-南明区,江苏省-徐州市-贾汪区",云尔达科技,https://shop.epwk.com/7g5ykpk76n0q/,云尔达科技,出售服务,https://shop.epwk.com/7g5ykpk76n0q/chushou/,企业,五品,42分,,,云尔达科技,,小程序开发,"￥5000
            /起",APP定制开发,"￥15000
            /起",CRM客户管理系统开发,"￥15000
            /起",软件系统开发,"￥15000
            /起",OA系统开发,"￥15000
            /起",官网建站,"￥5000
            /起",,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【其他软件开发】根据已有的UI设计平面图，使用WPF制作软件前端界面,https://task.epwk.com/974054/,728人,3人,3000-5000元,圆满完成,,zhangjinok,已有软件的UI设计图，现在需要根据设计图使用WPF制作软件前端界面，不需要实现具体业务。可提供设计图和相关素材，需要精通C#/WPF的团体或个人（个人优先）来完成。,2021-12-11,2021.12.17,任务编号：974054,3000.0,5天,江苏省-南京市,君和软件工作室,https://shop.epwk.com/omdwkj8qrdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【API接口】微信网页版接口机器人开发第一期,https://task.epwk.com/973814/,1450人,3人,1000-3000元,圆满完成,,o5d4d4368abbb2,设计一个运行在服务器里的微信文档处理机器人。用户在微信群内发送文档-机器人获取文档-机器人把文档与数据库匹配生成文档-返回发送到微信聊天窗口。要求带有后端，可多开微信。,2021-12-10,2021.12.21,任务编号：973814,1800.0,"5天,7天,10天","广东省-佛山市,山西省-太原市-小店区,云南省-昆明市-官渡区",广州梦启云科技有限公司,https://shop.epwk.com/0jnekvkwrnv3/,广州梦启云科技有限公司,出售服务,https://shop.epwk.com/0jnekvkwrnv3/chushou/,企业,五品,44分,,,广州梦启云科技有限公司,,官方网站制定,"￥888
            /起",OA系统开发,"￥1888
            /起",微信小程序,"￥888
            /起",h5平台,"￥888
            /起",小程序开发,"￥888
            /起",,,,,,,,,API接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】APP开发，已谈好合作,https://task.epwk.com/973795/,672人,1人,2万-5万元,圆满完成,,o60a71da8e477b,线下已谈好需求，其他勿扰,2021-12-09,2021.12.10,任务编号：973795,29500.0,50天,河北省-石家庄市,康业科技-APP·小程序·网站开发,https://shop.epwk.com/78dljex7x5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】社交app继续开发,https://task.epwk.com/973728/,533人,1人,5000-10000元,圆满完成,,o604dd50e8fd4a,前合作公司因肺炎，遗憾没能完成产品。现需要继续完成app的开发ios 安卓 双端。需要评估完成度 完成产品开发 上线等工作如果合作愉快 后续修改或新增需求，考虑继续合作不太方便电话沟通 请加微信联系。,2021-12-09,2021.12.14,任务编号：973728,5000.0,50天,北京市-北京市-东城区,北京通达恒悦网络科技有限公司,https://shop.epwk.com/qgdmj3j8qdke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【网站UI设计】做一个比较简单的网站,https://task.epwk.com/973644/,3157人,15人,5000-10000元,圆满完成,,拉风车友,网站主要功能就是供人家来发布一下信息，然后网站方进行分享推广分享要对接微信接口响应式布局，最好是页面和程序一起来预算5000左右加我后给需求文档（文档也写得比较简单，设计页面时要沟通）,2021-12-09,2022.02.25,任务编号：973644,5000.0,"22天,30天,20天,15天,35天,10天","黑龙江省-哈尔滨市,广东省-深圳市,河南省-郑州市,内蒙古-乌兰察布市-集宁区,河北省-唐山市,云南省-昆明市-官渡区",诚悦科技,https://shop.epwk.com/2j5jj73375pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站UI设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
