标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【企业官网】网站后台程序开发,https://task.epwk.com/325353/,2764人,8人,1000元以内,圆满完成,,M1351****683,设计公司网站后台程序开发PSD界面图已经设计好，程序员只需根据要求进行前端切图生成html效果，再进行后台管理程序开发维护。具体要求请联系QQ索取,2014-12-31,2015.01.09,任务编号：325353,800.0,"5天,5天,10天,15天,7天,10天,10天,4天","山东省-烟台市-福山区,福建省-厦门市-湖里区,贵州省-贵阳市-南明区,黑龙江-哈尔滨市-南岗区,广东省东莞市东莞市市辖区,广东省-广州市-天河区,上海市-市辖区-徐汇区,北京市北京市海淀区",思诚互联,https://shop.epwk.com/81n41y46lnp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【小程序开发】开发一个读取动态数据并显示的程序,https://task.epwk.com/324894/,3612人,5人,1000元以内,圆满完成,,su_shine,1、最好使用Eclipse或Myeclipse开发，以Tomcat为服务器2、读取现有的dll文件，连接到一个终端设备上读取报文数据（MODBUS规约），以显示在网页上3、提供2个页面供外网实时访问：一个是遥测、遥信值显示页面；一个是历史数据查询页面。说明：对于熟悉VC和Java的人来说，此任务非常简单，只要会在Java下调用dll文件读取数据的人即可。网页上只要显示数据即可，不需要其他操作。,2014-12-29,2015.02.11,任务编号：324894,800.0,"5天,10天,15天,5天,8天","陕西省-西安市-新城区,湖北省-武汉市-蔡甸区,浙江省-杭州市-滨江区,重庆市-市辖区-万州区,上海市-市辖区-黄浦区",西安凡易网络科技有限公司,https://shop.epwk.com/9w56egggwdv1/,西安凡易网络科技有限公司,出售服务,https://shop.epwk.com/9w56egggwdv1/chushou/,企业,一品,40分,,,西安凡易网络科技有限公司,,团购网站,价格面议,资讯信息展示型,价格面议,旅游管理系统,价格面议,本地O2OB2C商城,价格面议,鲜果网,价格面议,企业门户网站,价格面议,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【网站UI设计】制作公司网业,https://task.epwk.com/324429/,3832人,10人,1000元以内,圆满完成,,delibit,制作公司网站，要求速度快。,2014-12-26,2015.01.20,任务编号：324429,800.0,"7天,5天,20天,4天,3天,3天","山东省-济南市-槐荫区,山东省-潍坊市-安丘市,浙江省-嘉兴市-秀洲区,山东省-济南市-历城区,山东省-泰安市-肥城市,天津市-县-静海县",大连一果视觉传媒有限公司,https://shop.epwk.com/j7n38gxk25e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站UI设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【APP开发】学恩作业王APP开发,https://task.epwk.com/324085/,5275人,19人,2万-5万元,圆满完成,,mf152****7200,"1、能及时导入习题，可以选择也可以书写2、需要注册，输入帐号即可以显示该帐号下的习题3、有闯关形式4、有数据分析输入5、输入模式：客观题采用选择选项，主观题采用书写或打字6、改题：客观题采用符合字符，主观题采用关键词符合7、支持系统：安卓（4寸以上,4.0版本以上）、苹果IOS系统手机。8、画质：清晰",2014-12-24,2016.03.24,任务编号：324085,30000.0,"60天,40天,45天,35天,20天,30天,60天,25天,5天,30天","辽宁省-大连市-甘井子区,浙江省-杭州市-西湖区,湖北省-襄樊市-樊城区,广东省-深圳市-龙岗区,安徽省-合肥市-蜀山区,安徽省-芜湖市-镜湖区,陕西省-西安市-雁塔区,云南省-昆明市-西山区,深圳,上海市-市辖区-浦东新区",昊玥软件,https://shop.epwk.com/09drjo0x153w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】dedecms开发素材网,https://task.epwk.com/323939/,3646人,7人,5000-10000元,圆满完成,,素材,类似于昵图，千图网等网站。简单说下：1、网站美工好，高端大气上档次，毕竟图片网站，二级流量页面采用瀑布流效果，采用Bootstrap开发。2、系统基于dedecms开发3、会员可以充值积分用户共享素材上传/下载，也可以上传RMB素材出售，可提现RMB。4、前台页面效果跟昵图，千图网基本一直。5、会员中心功能也基本与昵图、千图类似，我不需要很多功能，千图会员中心比较适合我。6、图片上传流程基本与昵图。千图类似。注：网站整体功能与效果，基本都是参考昵图。千图网，只是取舍了些功能，总体来说网站比较简单，不会出格多出其他功能。详细方案附件下载查看。,2014-12-23,2015.02.09,任务编号：323939,5000.0,"15天,25天,20天,7天,3天,30天,30天","湖北省-武汉市-洪山区,江西省-南昌市-东湖区,陕西省-西安市-新城区,福建,上海市-市辖区-普陀区,广西-柳州市-城中区,河北省-石家庄市-长安区",无忧网络,https://shop.epwk.com/4rn8q1ppwngm/,无忧网络,出售服务,https://shop.epwk.com/4rn8q1ppwngm/chushou/,企业,四品,40分,,,无忧网络,,网站设计/企业网站设计/商城网站设计/门户网站设计/营销网站设计,价格面议,网站建设/基础网站建设/高端网站建设/综合性网站建设,价格面议,IOS开发/移动App/手机App/手机APP,价格面议,Android开发/移动App/手机App/手机APP开发,价格面议,企业网站/宣传网站/展示型网站/中小企业网站,价格面议,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】O2O项目APP的Asure高保真原型开发,https://task.epwk.com/323736/,2963人,1人,1000-3000元,圆满完成,,aiming555,•要求：用原型软件Axure7.0制作高保真App原型，不仅包括静态的界面，还包括效果、交互，数据保存、逻辑验证等都包含在内。产品的诸多元素，目标用户、用户需求场景、信息架构、布局、控件逻辑、尺寸、色调、纹理、风格等等均要模拟出来，能上传至手机进行模拟演示。•如果原型制作满足要求，可以详细商谈随后的APP、后台开发！••请确定能用Axure进行原型创作的朋友再联系，否则浪费大家的时间！！正确的交互设计步骤：•1.利用流程图分析任务（流程图、思维导图等）•2.页面布局（栅格、导航设计）•3.绘制原型图（原型设计）•4.原型评审（原型图的作用）•5.视觉设计6.前段开发,2014-12-23,2014.12.28,任务编号：323736,2000.0,5天,重庆市-市辖区-九龙坡区,重庆世贝信息技术有限公司,https://shop.epwk.com/zqdpl4l7pn1v/,重庆世贝信息技术有限公司,出售服务,https://shop.epwk.com/zqdpl4l7pn1v/chushou/,工作室,四品,38分,,,重庆世贝信息技术有限公司,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【APP开发】在原有的安卓APP上进行增量开发,https://task.epwk.com/323416/,2865人,2人,3000-5000元,圆满完成,,mf130****8649,项目基本需求：基本需求：1、在原有安卓框架上进行增量开发。2、有GPS开发相关经验和相应的GPS算法。功能需求1、需要增加一个视频播放模块，从XML文档中读出视频位置信息后播放。2、增加一个界面选择，根据选择结果调用对应数据包。3、增加一个界面，使用GPS模块（原框架已有功能调用过，可参考。）进行定位和定位信息动态展示。4、增加一项“关于”页面进行用户介绍及软件开发商介绍5、增加一项“商户”页面用于商户展示限上海地区,2014-12-22,2015.01.26,任务编号：323416,3500.0,"7天,30天","上海市-市辖区-徐汇区,广西-柳州市-城中区",南京朵诺信息科技有限公司,https://shop.epwk.com/rp5z4qgm7dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】论坛网站修改优化,https://task.epwk.com/323308/,3097人,10人,1000-3000元,圆满完成,,mf189****2008,本人网站www.nxabbs.com1、签到后，要显示已签到，还有等级需要显示多少级和相应的名称2、首页下面发帖的地方选择区域里面还应该增加地区选项“银川、石嘴山、吴忠、固原、中卫”3、发帖子过后，首页帖子要及时更新4、支付宝服务申请下来后，加到网站里面，网友能够直接支付置顶5、首页页面做成分页6、增加几个版块7、seo优化百度首页第一,2014-12-21,2015.01.22,任务编号：323308,1000.0,"7天,3天,30天,20天,20天,15天,3天,5天,10天","陕西省-西安市-雁塔区,湖南省-长沙市-市辖区,广东省-深圳市-南山区,陕西省-西安市-新城区,江苏省-南京市-玄武区,广东省-深圳市-宝安区,上海市-市辖区-普陀区,广东省-东莞市-东莞市,北京市-北京市-朝阳区",有问题您找我,https://shop.epwk.com/3gd2m23wwner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【电商网站】做一个竞价平台型网站建设,https://task.epwk.com/323097/,5256人,28人,3000-5000元,圆满完成,,zhougs168,做一个竞价平台型网站，详细说明见附件温馨提醒：任务征集期间，交易双方交流可通过一品威客站内信、任务交流区联系雇主！,2014-12-19,2015.03.02,任务编号：323097,3800.0,"40天,10天,7天,30天,20天,40天,3天,20天,30天,30天,30天","广东省-广州市-白云区,广东省-中山市-中山市,上海市-市辖区-宝山区,湖南省-长沙市-芙蓉区,广东省-深圳市-宝安区,广东省-肇庆市-市辖区,上海市-市辖区-宝山区,江苏省-南京市-玄武区,北京市-北京市-海淀区,安徽省-合肥市-包河区,广东省-广州市-海珠区",德尔列普网络科技,https://shop.epwk.com/7g5yk4vygn0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,电商网站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】类似YY竞猜网站开发,https://task.epwk.com/322557/,3923人,11人,5000-10000元,圆满完成,,smile11,网站用途：娱乐竞猜参考网站：YY竞猜具体要求：1、网页设计及制作：首页，简单没有广告 直接是竞猜页面2、功能模块：前台功能：会员系统管理员手动，开始竞猜管理员手动结束点了结果 然后自动结算可以同步某官网显示页面  威客用时少的优先  自带价格,2014-12-17,2015.01.13,任务编号：322557,5000.0,"23天,30天,7天,15天,20天,25天,3天,11天,18天,1天,20天","重庆市-市辖区-渝北区,天津市-市辖区-南开区,广东省-深圳市-罗湖区,重庆市-市辖区-南岸区,广东省-深圳市-宝安区,福建省-厦门市-思明区,上海市-市辖区-普陀区,广东省-深圳市-福田区,陕西省-西安市-市辖区,深圳,江西省-南昌市-东湖区",世喆科技,https://shop.epwk.com/89dvgoqqzdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】要做适合优化的pc网站+手机网站开发,https://task.epwk.com/321983/,5840人,36人,1000-3000元,圆满完成,,Mr139****6518,要做适合优化的pc网站+手机网站，有意者联系,2014-12-15,2015.01.27,任务编号：321983,1500.0,"10天,20天,20天,3天,15天,20天,20天,3天,7天,25天,25天","河北省-石家庄市-裕华区,北京市-北京市-昌平区,广西-南宁市-青秀区,北京市-北京市-东城区,上海市-市辖区-静安区,广东省-深圳市-宝安区,江苏省-南京市-玄武区,上海市-市辖区-普陀区,山东省-济宁市-市中区,湖北省-武汉市-武昌区,广东省-深圳市-宝安区",启帆网络,https://shop.epwk.com/9w56eg22wdv1/,启帆网络,出售服务,https://shop.epwk.com/9w56eg22wdv1/chushou/,企业,二品,45分,,,启帆网络,,品质网站建设服务,价格面议,专业网页设计服务,价格面议,软件美工服务,价格面议,专业平面设计服务,价格面议,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【其他软件开发】照片合成软件开发,https://task.epwk.com/321708/,2573人,6人,1000-3000元,圆满完成,,o5416a0fc3d806,具体要求在附件需求中提现，主要为照片合成的软件开发，请各位大师帮忙，比较急,2014-12-12,2015.04.01,任务编号：321708,1000.0,"5天,30天,20天,3天,15天,15天","云南省-昆明市-西山区,安徽省-合肥市-瑶海区,江苏省-南京市-玄武区,辽宁省-大连市-甘井子区,四川省-成都市-锦江区,广东省-东莞市-东莞市",昆明网文科技,https://shop.epwk.com/7lngq7j4edmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【小程序开发】网站外包,https://task.epwk.com/321325/,4204人,11人,5000-10000元,圆满完成,,Mr189****0217,详细情况在线咨询,2014-12-10,2015.01.26,任务编号：321325,9000.0,"10天,5天,10天,30天,7天,7天,15天,30天,30天,5天","黑龙江-哈尔滨市-呼兰区,广东省-深圳市-龙岗区,广东省-深圳市-福田区,河北省-石家庄市-长安区,上海市,长春,云南省-昆明市-西山区,福建省-泉州市-丰泽区,广东省-珠海市-香洲区,深圳",微智科技,https://shop.epwk.com/m7d7w4gry5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】开发一个仿站，有后台,https://task.epwk.com/320900/,3898人,10人,1000-3000元,圆满完成,,娱乐乐翻天,对一个网站进行仿做，但又不完全相同。需带后台功能，以方便管理。要求用php+mysql语言环境，mysql版本请用兼容性比较好的。时间较紧，要求在3-5天内能完成。基本要求请下载附件文档。,2014-12-08,2014.12.20,任务编号：320900,1500.0,"4天,25天,20天,90天,5天,25天,2天,3天","河南省-郑州市-中原区,陕西省-西安市-未央区,河南省-郑州市-中原区,山东省-济南市-历城区,陕西省-西安市-雁塔区,广东省-深圳市-宝安区,深圳,河北省沧州市",深层动力工作室,https://shop.epwk.com/9w56eg4y3dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【网站UI设计】美工来开发一个网页页面,https://task.epwk.com/320574/,2100人,3人,1000元以内,圆满完成,,GG180****0426,"我已经做了个大概,现在要把页面进行美化一下.",2014-12-06,2014.12.12,任务编号：320574,150.0,"2天,7天,7天","山东省-济南市-槐荫区,黑龙江-哈尔滨市-香坊区,北京市北京市昌平区",大连一果视觉传媒有限公司,https://shop.epwk.com/j7n38gxk25e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站UI设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【微信开发】仿微盟会员系统,https://task.epwk.com/320085/,2260人,1人,1000-3000元,圆满完成,,enbo,关联业务,2014-12-03,2014.12.10,任务编号：320085,1500.0,7天,北京市-北京市-东城区,一微工作室,https://shop.epwk.com/qgdmjqmxgdke/,一微工作室,出售服务,https://shop.epwk.com/qgdmjqmxgdke/chushou/,工作室,四品,36分,,,一微工作室,,,,,,,,,,,,,,,,,,,,微信开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】企业展示型网站建设,https://task.epwk.com/319994/,6796人,43人,5000-10000元,圆满完成,,wantai,建站要求：1、网站要求大气，整洁，交互体验要好。2、主要是做展示型企业站，但是公司业务有涉及到车辆金融按揭、新车二手车交易、物流运价等，这些都需要融入到网站里边。备注：网站开发一旦接单，有时间限制，必须按时完成。（具体参考附件）,2014-12-03,2015.02.11,任务编号：319994,8000.0,"30天,25天,1天,30天,15天,20天,20天,20天,20天,2天,60天,30天","黑龙江-哈尔滨市-南岗区,北京市-北京市-丰台区,广东省-广州市-天河区,河北省-邯郸市-丛台区,福建省-厦门市-湖里区,河南省-洛阳市-西工区,上海市-市辖区-虹口区,黑龙江-哈尔滨市-呼兰区,陕西省-西安市-雁塔区,深圳,广东省-深圳市-南山区,上海市-市辖区-嘉定区",哈尔滨市森西尔科技发展有限公司,https://shop.epwk.com/78n96vgjxnkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】酒吧类资讯网站开发,https://task.epwk.com/319604/,5230人,20人,3000-5000元,圆满完成,,luobububu,详细要求      1.      咨询+论坛，wordpress+discuz形式（类似汽车之家，有个主页提供各种新闻、咨询类信息，通过主页上链接能够进入论坛），主页版块及设计有主页、咨询、论坛等等。      2.	拥有一个类似“汽车之家报价”的树形框架，以地域划分（如江苏、浙江、福建），地域框架下有各类酒吧、KTV等商家信息。      3.	网站新上线，由于人气问题，论坛暂时设定的比较简单，可类似贴吧一样在一个大板块里。      4.	内容方面欢迎您根据网站建设经验提供更好的建议。      5.	提供相关源代码、开发文档，多浏览器支持等。      6.	新闻咨询也可以评价。      7.       其他事宜详谈。温馨提醒：任务征集期间，交易双方交流可通过一品威客站内信、任务交流区联系雇主！,2014-12-01,2014.12.18,任务编号：319604,4000.0,"14天,20天,10天,30天,15天,30天,30天,40天,30天,20天,15天,30天","山东省-青岛市-市南区,上海市-市辖区-普陀区,山东省-泰安市-肥城市,广东省-广州市-天河区,山东省-青岛市-平度市,浙江省-宁波市-鄞州区,重庆市-市辖区-九龙坡区,陕西省-西安市-雁塔区,浙江省-宁波市-海曙区,广东省-深圳市-宝安区,江西省-南昌市-青山湖区,四川省-南充市-顺庆区",『QunSon』鬼斧神工,https://shop.epwk.com/zqdpl4x1pn1v/,『QunSon』鬼斧神工,出售服务,https://shop.epwk.com/zqdpl4x1pn1v/chushou/,企业,六品,39分,,,『QunSon』鬼斧神工,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
