ID,Transaction_Price,Publication_Time,[z],type
任务编号：314476,5000,2014/11/5,2,订单
任务编号：314423,5000,2014/11/4,2,订单
任务编号：314200,500,2014/11/3,2,订单
任务编号：313986,100,2014/11/2,2,订单
任务编号：313989,200,2014/11/2,2,订单
任务编号：313919,400,2014/11/2,2,订单
任务编号：313842,800,2014/11/1,2,订单
任务编号：313724,1500,2014/10/31,2,订单
任务编号：313739,2000,2014/10/31,2,订单
任务编号：313658,200,2014/10/31,2,订单
任务编号：313236,300,2014/10/29,2,订单
任务编号：313220,40000,2014/10/29,2,订单
任务编号：313185,3500,2014/10/29,2,订单
任务编号：313092,500,2014/10/28,2,订单
任务编号：313005,800,2014/10/28,2,订单
任务编号：312751,200,2014/10/27,2,订单
任务编号：312805,200,2014/10/27,2,订单
任务编号：312782,2000,2014/10/27,2,订单
任务编号：312300,30000,2014/10/23,2,订单
任务编号：312211,200,2014/10/23,2,订单
任务编号：312087,1500,2014/10/22,2,订单
任务编号：311583,5200,2014/10/20,2,订单
任务编号：311569,1600,2014/10/20,2,订单
任务编号：311560,1000,2014/10/20,2,订单
任务编号：311411,100,2014/10/20,2,订单
任务编号：311099,200,2014/10/17,2,订单
任务编号：311125,2000,2014/10/17,2,订单
任务编号：311103,3000,2014/10/17,2,订单
任务编号：310941,100,2014/10/16,2,订单
任务编号：310924,300,2014/10/16,2,订单
任务编号：310888,500,2014/10/16,2,订单
任务编号：310464,235,2014/10/14,2,订单
任务编号：310421,100,2014/10/14,2,订单
任务编号：310147,500,2014/10/13,2,订单
任务编号：310164,500,2014/10/13,2,订单
任务编号：310059,1000,2014/10/12,2,订单
任务编号：310015,4500,2014/10/11,2,订单
任务编号：309452,1000,2014/10/9,2,订单
任务编号：309612,500,2014/10/9,2,订单
任务编号：309283,360,2014/10/7,2,订单
任务编号：309035,100,2014/10/4,2,订单
任务编号：308755,18000,2014/9/30,2,订单
任务编号：308593,1000,2014/9/29,2,订单
任务编号：308578,2000,2014/9/29,2,订单
任务编号：308546,1500,2014/9/29,2,订单
任务编号：308481,600,2014/9/29,2,订单
任务编号：308413,300,2014/9/29,2,订单
任务编号：308355,800,2014/9/28,2,订单
任务编号：308160,500,2014/9/27,2,订单
任务编号：307628,300,2014/9/24,2,订单
任务编号：307636,500,2014/9/24,2,订单
任务编号：307452,2000,2014/9/23,2,订单
任务编号：307442,500,2014/9/23,2,订单
任务编号：307329,2500,2014/9/22,2,订单
任务编号：306861,8000,2014/9/19,2,订单
任务编号：306703,100,2014/9/19,2,订单
任务编号：306700,5950,2014/9/19,2,订单
任务编号：306634,100,2014/9/18,2,订单
任务编号：306453,1500,2014/9/18,2,订单
任务编号：306371,8000,2014/9/17,2,订单
任务编号：306082,2000,2014/9/16,2,订单
任务编号：306024,3000,2014/9/16,2,订单
任务编号：305838,300,2014/9/15,2,订单
任务编号：305738,500,2014/9/14,2,订单
任务编号：305551,1000,2014/9/12,2,订单
任务编号：305457,2000,2014/9/12,2,订单
任务编号：305187,300,2014/9/11,2,订单
任务编号：305041,1000,2014/9/10,2,订单
任务编号：304875,1500,2014/9/9,2,订单
任务编号：304837,4000,2014/9/9,2,订单
任务编号：304639,200,2014/9/6,2,订单
任务编号：304314,5000,2014/9/4,2,订单
任务编号：304316,2000,2014/9/4,2,订单
任务编号：304220,1000,2014/9/4,2,订单
任务编号：303778,1400,2014/9/2,2,订单
任务编号：303488,15000,2014/8/31,2,订单
任务编号：303460,3000,2014/8/30,2,订单
任务编号：303181,200,2014/8/29,2,订单
任务编号：302994,500,2014/8/28,2,订单
任务编号：302922,500,2014/8/27,2,订单
任务编号：302853,500,2014/8/27,2,订单
任务编号：302831,800,2014/8/27,2,订单
任务编号：302812,500,2014/8/27,2,订单
任务编号：302686,300,2014/8/26,2,订单
任务编号：302639,3000,2014/8/26,2,订单
任务编号：302588,100,2014/8/26,2,订单
任务编号：302565,3000,2014/8/26,2,订单
任务编号：302509,1181,2014/8/25,2,订单
任务编号：302242,500,2014/8/24,2,订单
任务编号：302203,1000,2014/8/23,2,订单
任务编号：302062,3000,2014/8/22,2,订单
任务编号：301651,100,2014/8/20,2,订单
任务编号：301298,3000,2014/8/19,2,订单
任务编号：301001,1200,2014/8/17,2,订单
任务编号：300723,3000,2014/8/14,2,订单
任务编号：300665,1500,2014/8/14,2,订单
任务编号：300613,600,2014/8/14,2,订单
任务编号：300470,1000,2014/8/13,2,订单
任务编号：300375,300,2014/8/13,2,订单
任务编号：299942,1500,2014/8/11,2,订单
任务编号：299587,300,2014/8/8,2,订单
任务编号：299637,200,2014/8/8,2,订单
任务编号：299174,200,2014/8/7,2,订单
任务编号：299072,10000,2014/8/6,2,订单
任务编号：298953,300,2014/8/6,2,订单
任务编号：298753,5000,2014/8/5,2,订单
任务编号：298345,2000,2014/8/2,2,订单
任务编号：298057,100,2014/8/1,2,订单
任务编号：297620,500,2014/7/30,2,订单
任务编号：297482,500,2014/7/29,2,订单
任务编号：297441,1000,2014/7/29,2,订单
任务编号：297360,300,2014/7/29,2,订单
任务编号：297131,200,2014/7/28,2,订单
任务编号：297032,600,2014/7/26,2,订单
任务编号：297045,800,2014/7/27,2,订单
任务编号：296942,9100,2014/7/26,2,订单
任务编号：296606,450,2014/7/24,2,订单
任务编号：296545,200,2014/7/24,2,订单
任务编号：296445,1000,2014/7/23,2,订单
任务编号：296388,12500,2014/7/23,2,订单
任务编号：296339,500,2014/7/23,2,订单
任务编号：296279,800,2014/7/22,2,订单
任务编号：296175,1000,2014/7/22,2,订单
任务编号：296140,4000,2014/7/22,2,订单
任务编号：296054,2110,2014/7/21,2,订单
任务编号：295985,150,2014/7/21,2,订单
任务编号：295495,10000,2014/7/17,2,订单
任务编号：295384,2000,2014/7/17,2,订单
任务编号：295458,1000,2014/7/17,2,订单
任务编号：295236,600,2014/7/16,2,订单
任务编号：295127,3500,2014/7/16,2,订单
任务编号：295084,1500,2014/7/15,2,订单
任务编号：295033,2000,2014/7/15,2,订单
任务编号：294673,12000,2014/7/13,2,订单
任务编号：294628,200,2014/7/12,2,订单
任务编号：294524,5000,2014/7/11,2,订单
任务编号：294489,3500,2014/7/11,2,订单
任务编号：294471,2300,2014/7/11,2,订单
任务编号：294457,300,2014/7/11,2,订单
任务编号：294288,5000,2014/7/10,2,订单
任务编号：294185,1600,2014/7/10,2,订单
任务编号：294052,1000,2014/7/9,2,订单
任务编号：293951,6000,2014/7/8,2,订单
任务编号：293913,10000,2014/7/8,2,订单
任务编号：293799,5000,2014/7/7,2,订单
任务编号：293626,300,2014/7/7,2,订单
任务编号：293130,500,2014/7/3,2,订单
任务编号：292762,1500,2014/7/1,2,订单
任务编号：292529,15000,2014/6/30,2,订单
任务编号：292403,500,2014/6/29,2,订单
任务编号：292349,2925,2014/6/28,2,订单
任务编号：292333,650,2014/6/28,2,订单
任务编号：292156,1500,2014/6/27,2,订单
任务编号：292049,3000,2014/6/26,2,订单
任务编号：291999,180,2014/6/26,2,订单
任务编号：291754,100,2014/6/24,2,订单
任务编号：291631,1000,2014/6/24,2,订单
任务编号：291440,2000,2014/6/23,2,订单
任务编号：291372,600,2014/6/22,2,订单
任务编号：322368,510,2014/12/16,2,订单
任务编号：322336,3000,2014/12/16,2,订单
任务编号：325378,1000,2014/12/31,2,订单
任务编号：251033,300,2014/3/7,2,订单
任务编号：325384,100,2014/12/31,2,订单
任务编号：324868,200,2014/12/29,2,订单
任务编号：324777,100,2014/12/28,2,订单
任务编号：324522,100,2014/12/26,2,订单
任务编号：324579,150,2014/12/26,2,订单
任务编号：324338,138,2014/12/25,2,订单
任务编号：324321,200,2014/12/25,2,订单
任务编号：324290,800,2014/12/25,2,订单
任务编号：323946,300,2014/12/23,2,订单
任务编号：323864,100,2014/12/23,2,订单
任务编号：323693,100,2014/12/23,2,订单
任务编号：323426,188,2014/12/22,2,订单
任务编号：322913,300,2014/12/18,2,订单
任务编号：322439,250,2014/12/17,2,订单
任务编号：322311,100,2014/12/16,2,订单
任务编号：322172,250,2014/12/15,2,订单
任务编号：321965,200,2014/12/15,2,订单
任务编号：321885,100,2014/12/13,2,订单
任务编号：321759,800,2014/12/12,2,订单
任务编号：321508,200,2014/12/11,2,订单
任务编号：321129,300,2014/12/9,2,订单
任务编号：320903,150,2014/12/8,2,订单
任务编号：320607,200,2014/12/7,2,订单
任务编号：320529,300,2014/12/6,2,订单
任务编号：320463,100,2014/12/5,2,订单
任务编号：320459,150,2014/12/5,2,订单
任务编号：320246,100,2014/12/4,2,订单
任务编号：320227,200,2014/12/4,2,订单
任务编号：319655,500,2014/12/1,2,订单
任务编号：319251,388,2014/11/29,2,订单
任务编号：319203,100,2014/11/28,2,订单
任务编号：319129,200,2014/11/28,2,订单
任务编号：319053,100,2014/11/28,2,订单
任务编号：318765,100,2014/11/26,2,订单
任务编号：318378,100,2014/11/25,2,订单
任务编号：318082,100,2014/11/24,2,订单
任务编号：317821,100,2014/11/21,2,订单
任务编号：323613,1500,2014/12/22,2,订单
任务编号：318568,150,2014/11/26,2,订单
任务编号：316181,600,2014/11/13,2,订单
任务编号：315199,150,2014/11/7,2,订单
任务编号：313866,400,2014/11/1,2,订单
任务编号：312264,500,2014/10/23,2,订单
任务编号：311548,2000,2014/10/20,2,订单
任务编号：310118,1000,2014/10/12,2,订单
任务编号：304963,100,2014/9/10,2,订单
任务编号：301927,100,2014/8/21,2,订单
任务编号：301286,1100,2014/8/19,2,订单
任务编号：299205,1000,2014/8/7,2,订单
任务编号：291720,400,2014/6/24,2,订单
任务编号：290087,400,2014/6/13,2,订单
任务编号：289485,300,2014/6/9,2,订单
任务编号：288692,1000,2014/6/4,2,订单
任务编号：287818,400,2014/5/27,2,订单
任务编号：284829,650,2014/5/7,2,订单
任务编号：257667,200,2014/4/19,2,订单
任务编号：248508,600,2014/2/17,2,订单
任务编号：248000,1000,2014/2/13,2,订单
任务编号：246855,700,2014/1/25,2,订单
任务编号：323320,100,2014/12/21,2,订单
任务编号：320299,100,2014/12/4,2,订单
任务编号：317923,400,2014/11/22,2,订单
任务编号：316966,150,2014/11/18,2,订单
任务编号：316683,100,2014/11/16,2,订单
任务编号：316009,100,2014/11/12,2,订单
任务编号：314667,1000,2014/11/5,2,订单
任务编号：311698,100,2014/10/21,2,订单
任务编号：311527,200,2014/10/20,2,订单
任务编号：304430,750,2014/9/5,2,订单
任务编号：303917,2000,2014/9/2,2,订单
任务编号：302111,400,2014/8/22,2,订单
任务编号：301498,200,2014/8/20,2,订单
任务编号：299346,2000,2014/8/7,2,订单
任务编号：298865,2500,2014/8/5,2,订单
任务编号：296897,100,2014/7/25,2,订单
任务编号：293969,300,2014/7/8,2,订单
任务编号：292277,200,2014/6/27,2,订单
任务编号：290073,100,2014/6/13,2,订单
任务编号：287351,150,2014/5/24,2,订单
任务编号：286456,400,2014/5/18,2,订单
任务编号：286149,420,2014/5/15,2,订单
任务编号：286244,150,2014/5/16,2,订单
任务编号：259330,300,2014/4/26,2,订单
任务编号：257818,500,2014/4/21,2,订单
任务编号：257748,100,2014/4/20,2,订单
任务编号：257746,500,2014/4/20,2,订单
任务编号：257722,200,2014/4/20,2,订单
任务编号：257239,200,2014/4/16,2,订单
任务编号：256131,1000,2014/4/13,2,订单
任务编号：254939,100,2014/4/3,2,订单
任务编号：252333,1500,2014/3/16,2,订单
任务编号：252086,600,2014/3/14,2,订单
任务编号：247988,100,2014/2/13,2,订单
任务编号：325369,5400,2014/12/31,2,订单
任务编号：322601,500,2014/12/17,2,订单
任务编号：320972,500,2014/12/9,2,订单
任务编号：320713,500,2014/12/8,2,订单
任务编号：319894,100,2014/12/2,2,订单
任务编号：318433,100,2014/11/25,2,订单
任务编号：317950,100,2014/11/22,2,订单
任务编号：317875,100,2014/11/22,2,订单
任务编号：317514,100,2014/11/20,2,订单
任务编号：312900,100,2014/10/27,2,订单
任务编号：312162,198,2014/10/23,2,订单
任务编号：310339,100,2014/10/14,2,订单
任务编号：308238,100,2014/9/28,2,订单
任务编号：308005,100,2014/9/26,2,订单
任务编号：306537,100,2014/9/18,2,订单
任务编号：305493,100,2014/9/12,2,订单
任务编号：304615,200,2014/9/6,2,订单
任务编号：303555,100,2014/9/1,2,订单
任务编号：303381,100,2014/8/29,2,订单
任务编号：302829,100,2014/8/27,2,订单
任务编号：302823,100,2014/8/27,2,订单
任务编号：302826,100,2014/8/27,2,订单
任务编号：302124,100,2014/8/22,2,订单
任务编号：301288,100,2014/8/19,2,订单
任务编号：300944,100,2014/8/15,2,订单
任务编号：300597,100,2014/8/13,2,订单
任务编号：299379,100,2014/8/7,2,订单
任务编号：299194,100,2014/8/7,2,订单
任务编号：298295,100,2014/8/2,2,订单
任务编号：298071,100,2014/8/1,2,订单
任务编号：298070,100,2014/8/1,2,订单
任务编号：298012,300,2014/7/31,2,订单
任务编号：297879,100,2014/7/31,2,订单
任务编号：297583,100,2014/7/30,2,订单
任务编号：297194,100,2014/7/28,2,订单
任务编号：297297,200,2014/7/28,2,订单
任务编号：294780,100,2014/7/14,2,订单
任务编号：293518,100,2014/7/5,2,订单
任务编号：293212,100,2014/7/3,2,订单
任务编号：293193,100,2014/7/3,2,订单
任务编号：291666,100,2014/6/24,2,订单
任务编号：290971,200,2014/6/19,2,订单
任务编号：289792,132,2014/6/11,2,订单
任务编号：289169,100,2014/6/7,2,订单
任务编号：289153,100,2014/6/6,2,订单
任务编号：288483,100,2014/6/2,2,订单
任务编号：287891,100,2014/5/28,2,订单
任务编号：287523,100,2014/5/26,2,订单
任务编号：286702,100,2014/5/20,2,订单
任务编号：286614,250,2014/5/19,2,订单
任务编号：285368,200,2014/5/11,2,订单
任务编号：286540,200,2014/5/19,2,订单
任务编号：286469,100,2014/5/18,2,订单
任务编号：285780,105,2014/5/14,2,订单
任务编号：284746,150,2014/5/7,2,订单
任务编号：284592,100,2014/5/6,2,订单
任务编号：259308,100,2014/4/26,2,订单
任务编号：257884,200,2014/4/21,2,订单
任务编号：254074,100,2014/3/27,2,订单
任务编号：248148,100,2014/2/14,2,订单
任务编号：248104,150,2014/2/13,2,订单
任务编号：248023,198,2014/2/13,2,订单
任务编号：247829,200,2014/2/11,2,订单
任务编号：247251,100,2014/2/5,2,订单
任务编号：247004,100,2014/1/26,2,订单
任务编号：245564,100,2014/1/14,2,订单
任务编号：244347,100,2014/1/3,2,订单
任务编号：244162,100,2014/1/2,2,订单
任务编号：324924,100,2014/12/29,2,订单
任务编号：324740,100,2014/12/27,2,订单
任务编号：323201,100,2014/12/20,2,订单
任务编号：319060,100,2014/11/28,2,订单
任务编号：317971,200,2014/11/22,2,订单
任务编号：308871,800,2014/10/2,2,订单
任务编号：307502,120,2014/9/23,2,订单
任务编号：308588,300,2014/9/29,2,订单
任务编号：302646,300,2014/8/26,2,订单
任务编号：299120,1382,2014/8/6,2,订单
任务编号：297325,120,2014/7/28,2,订单
任务编号：295205,300,2014/7/16,2,订单
任务编号：294344,1200,2014/7/10,2,订单
任务编号：293175,100,2014/7/3,2,订单
任务编号：288016,100,2014/5/28,2,订单
任务编号：287373,200,2014/5/24,2,订单
任务编号：287334,200,2014/5/23,2,订单
任务编号：254205,100,2014/3/28,2,订单
任务编号：252376,1000,2014/3/17,2,订单
任务编号：250227,800,2014/3/1,2,订单
任务编号：248723,336,2014/2/19,2,订单
任务编号：245409,60,2014/1/13,2,订单
任务编号：294720,50,2014/7/13,2,订单
任务编号：285374,300,2014/5/12,2,订单
任务编号：251874,100,2014/3/13,2,订单
任务编号：296368,130,2014/7/23,2,订单
任务编号：249759,1000,2014/2/26,2,订单
任务编号：323941,100,2014/12/23,2,订单
任务编号：313791,120,2014/10/31,2,订单
任务编号：309876,100,2014/10/11,2,订单
任务编号：304978,1000,2014/9/10,2,订单
任务编号：320856,600,2014/12/8,2,订单
任务编号：324805,500,2014/12/28,2,订单
