标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,任务类型
【口碑营销】餐饮店大众点评美团口碑营销,https://task.epwk.com/958929/,319人,1人,¥5000,圆满完成,k9325****3,新开的餐饮店，需要做一些大众点评、美团的口碑营销，提升榜单排名，吸引顾客到店,2021-09-15,2021.10.02,任务编号：958929,5000.0,9天,福建省-福州市-市辖区,k554629348,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】五谷粉杂粮粉品牌口碑推广,https://task.epwk.com/959051/,228人,1人,¥15000,圆满完成,k9080****3,我们公司生产的五谷杂粮粉，主打健康天然养生，需要针对小红书、论坛，百度等平台做做精准的口碑营销，全国范围内的,2021-09-15,2021.09.22,任务编号：959051,15000.0,6天,湖南省-常德市-市辖区,k346099767,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】北欧风家居店做问答类口碑营销,https://task.epwk.com/958942/,232人,1人,¥6000,圆满完成,k9381****3,我们的门店位于杭州，主营北欧风家居用品，目前想在本地的网站做些口碑营销，问答类即可,2021-09-15,2021.09.23,任务编号：958942,6000.0,3天,河北省-秦皇岛市-市辖区,k596764147,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】新品牌护肤品上线口碑整合营销宣传,https://task.epwk.com/958789/,417人,2人,¥20000,圆满完成,k5456****4,我们需要对新推出一款主打无添加护肤品牌，需要做全网宣传造势和口碑建设，针对人群：都市白领，中高端用户。要求合作商有有相关经验，化妆品营销案例作品,2021-09-14,2021.09.24,任务编号：958789,20000.0,"3天,5天","四川省-成都市-市辖区,山东省-济南市-市辖区",兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】螺蛳粉的口碑营销方案+产品海报,https://task.epwk.com/958622/,453人,3人,¥10000,圆满完成,k5462****9,我们要为公司产品螺蛳粉做口碑营销方案和一组产品海报，需要对产品卖点进行提炼，体现产品的独家风格特色优势，有相关食品营销经验者优先,2021-09-12,2021.09.23,任务编号：958622,10000.0,"7天,7天,8天","浙江省-杭州市-市辖区,湖南省-长沙市-市辖区,河北省-石家庄市-市辖区",k247263443,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】电子烟知乎口碑营销,https://task.epwk.com/958636/,498人,1人,¥20000,圆满完成,k1750****3,我们的产品是电子烟，外形比较年轻时尚化，机身小巧，我们主打年轻青年市场，需要做知乎口碑，问答、软文形式均可,2021-09-12,2021.09.28,任务编号：958636,20000.0,8天,湖南省-长沙市-市辖区,k453721373,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】游乐园嘉年华活动推广,https://task.epwk.com/958509/,335人,1人,¥20000,圆满完成,k1906****3,嘉年华活动为期一个月，需要针对活动做一份本地的活动推广方案，包括口碑营销、广告投放、短视频等等,2021-09-11,2021.09.22,任务编号：958509,20000.0,3天,山西省-太原市-市辖区,k693777954,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】母婴app品牌整合营销策划推广,https://task.epwk.com/958455/,416人,1人,¥20000,圆满完成,k2529****1,我们开发了一款主要为年轻家庭提供从备孕、孕期、产后、育儿等多方面为众多场景式知识、经验的新母婴生活服务app，需要针对这个产品出一个线上营销推广方案以及口碑营销，位于南京，合作商最好是本地的,2021-09-10,2021.09.22,任务编号：958455,20000.0,3天,浙江省-温州市-市辖区,k365967315,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【网站优化方案】众创空间行业协会官网优化,https://task.epwk.com/958785/,398人,2人,¥5000,圆满完成,k1330****1,众创空间行业协会征集官网优化方案，想要一个看起来功能齐全、高大上的网站,2021-09-10,2021.10.01,任务编号：958785,5000.0,"8天,8天","江苏省-怀安市-市辖区,浙江省-台州市-市辖区",k906964340,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【整合营销】制造业营销策划方案构建,https://task.epwk.com/953924/,877人,1人,¥500,圆满完成,同君行GHITR,寻求资深、专业人士，长期合作，针对制造型企业系统化构建企业营销体系运营模式，有家居建材行业策划、咨询辅导经验，对制造型企业：销售体系规划、营销推广体系建设、C端用户新媒体运营、B端经销商门店运营、自媒体渠道运营、内容营销策划等精通，能提供过往案例展示的单位或个人均可！,2021-09-07,2022.03.31,任务编号：953924,500.0,5天,山东省-济南市-槐荫区,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,整合营销
【关键词优化】电竞专用桌椅做海外新站优化,https://task.epwk.com/959231/,214人,3人,¥9000,圆满完成,k5117****9,新创立的专业电竞桌椅品牌，急需制作海外宣传网站和搜索引擎优化,2021-09-03,2021.09.16,任务编号：959231,9000.0,"7天,8天,6天","广东省-深圳市-市辖区,江苏省-徐州市-市辖区,安徽省-芜湖市-市辖区",k839851248,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】空气净化器品牌品类排名优化,https://task.epwk.com/958617/,207人,1人,¥9000,圆满完成,k8953****7,面向办公企业研发的空气净化器，需要做全站的单品类排名优化，要求能排到TOP5,2021-09-01,2021.09.20,任务编号：958617,9000.0,5天,重庆市-沙坪坝区-市辖区,風雨英雄,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】华人宗族类海外网站优化,https://task.epwk.com/958506/,295人,1人,¥10000,圆满完成,k4402****0,做了一个海外华人的宗族类网站，要进行谷歌关键词优化,2021-09-01,2021.09.25,任务编号：958506,10000.0,9天,江苏省-徐州市-市辖区,凉辰梦瑾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【关键词优化】工业类平台优化,https://task.epwk.com/958270/,200人,1人,¥8000,圆满完成,k1921****3,一个工业类的海外平台，要做SEO优化，熟悉谷歌优化的优先,2021-08-15,2021.09.05,任务编号：958270,8000.0,9天,湖北省-孝感市-市辖区,k139663151,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】律师事务所网站优化,https://task.epwk.com/958324/,179人,1人,¥3000,圆满完成,k7716****2,对律师事务所网站做整体优化，包括栏目更新、布局、页面设计等,2021-08-15,2021.09.05,任务编号：958324,3000.0,8天,河南省-郑州市-市辖区,k739325196,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【整合营销】企业品牌全案撰写,https://task.epwk.com/949960/,1390人,5人,¥2000,圆满完成,o60d6df086fdf4,一：公司简介企业名：新疆果宝农业科技发展有限公司品牌名：果晓蜜产品：蜂蜜路线：网红产品二，需求：品牌全案重点需求1，品牌故事撰写2，产品广告语及包装文案3，产品营销宣传方案4，电商文案附件包装设计为效果图，不一定作为最终包装,2021-08-14,2021.09.13,任务编号：949960,2000.0,"5天,3天,4天,4天","山东省-青岛市,吉林省-长春市-宽城区,广东省-深圳市,山东省-日照市-东港区",铭雨芊品牌设计,https://shop.epwk.com/j7n388rol5e1/,铭雨芊品牌设计,出售服务,https://shop.epwk.com/j7n388rol5e1/chushou/,企业,一品,55分,总 1322 次中标，交易总金额,￥1166.99万,铭雨芊品牌设计,,品牌宣传条幅旗帜设计产 品展会庆典活动纪念公益开业条幅广告设计,"￥100
            /起",形象宣传产品展示路标指引楼 盘展示会展招商公益宣传KT板设计,"￥100
            /起",易拉宝设计图片展架开业宣传海报设计 立式落地展示架平面广告设计,"￥100
            /起",宣传册画册设计卡通中国风原 创设计自然田园品牌宣传品菜谱设计,"￥100
            /起",商务台历纸架水晶记事便签式台 历个性礼品台历品牌宣传品台历设计,"￥100
            /起",品牌原创设计精致韩风传统中国 风卡通风简约时尚宣传册宣传单设计,"￥100
            /起",宣传册设计企业画册产品手册 定制公司图册排版书籍说明书封面设计,"￥100
            /起",海报设计图片处理修图主图 平面设计品牌设计广告设计二维码设计,"￥100
            /起",整合营销
【网站优化方案】卫浴品牌整站优化内容提升,https://task.epwk.com/958269/,238人,1人,¥5000,圆满完成,k9971****4,新成立的卫浴洁具品牌，需要做网站的框架优化，以及外链建设和百科内容建设,2021-08-14,2021.08.31,任务编号：958269,5000.0,8天,河南省-新乡市-市辖区,k336452383,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【口碑营销】百度、360、搜狗等问答类口碑营销,https://task.epwk.com/958406/,269人,2人,¥15000,圆满完成,k2268****6,公司做软件开发、网站建设的，需要在这些平台做品牌的口碑营销,2021-08-08,2021.08.23,任务编号：958406,15000.0,"10天,5天","山东省-济南市-市辖区,甘肃省-兰州市-市辖区",k438328238,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【网站优化方案】地方信息分类网站优化,https://task.epwk.com/958453/,160人,1人,¥6000,圆满完成,k1361****1,主要面向当地的信息分类便民网站，要做精准的影响，要对网站页面、功能等做优化,2021-08-06,2021.08.31,任务编号：958453,6000.0,8天,浙江省-湖州市-市辖区,k343845623,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】童装销售品牌做海外独立站,https://task.epwk.com/958349/,187人,1人,¥8000,圆满完成,k9192****6,公司主营10岁以下的儿童服装，需要制作海外独立站用于品牌宣传和推广，同步做谷歌等渠道SEO优化,2021-08-03,2021.08.22,任务编号：958349,8000.0,8天,山东省-日照市-市辖区,浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【口碑营销】卫浴品牌线上口碑营销,https://task.epwk.com/958347/,204人,1人,¥20000,圆满完成,k1842****7,目前以线上销售渠道为主，主要用户群体是都市白领人群，需要做一些问答类和用户案例打造，具体可详聊,2021-08-02,2021.08.18,任务编号：958347,20000.0,5天,江苏省-无锡市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【微信代运营】微信公众号代运营,https://task.epwk.com/945254/,857人,1人,¥300,圆满完成,o60584f54c71b6,微信公众号代运营（供应商已完成 通过线上付款）,2021-07-19,2021.08.03,任务编号：945254,300.0,5天,天津市-市辖区-河西区,卷耳文化设计,https://shop.epwk.com/0jnekew2ynv3/,卷耳文化设计,出售服务,https://shop.epwk.com/0jnekew2ynv3/chushou/,企业,三品,45分,,,卷耳文化设计,,【电商设计】精品详情页设计产品精修主图设计,"￥2688
            /款",【电商设计】详情页设计 主图设计,"￥1288
            /款",【电商设计】适用于淘宝、拼多多15~30款产品优选,"￥800
            /款",包装设计,"￥100
            /次",包装设计,"￥800
            /起",品牌设计,价格面议,平面设计,价格面议,品牌策划,价格面议,微信代运营
【活动策划】企业活动策划,https://task.epwk.com/938892/,726人,1人,¥750,圆满完成,k6768****37,企业活动策划：按照谈好的合作，勿扰,2021-06-08,2021.06.23,任务编号：938892,750.0,5天,山东省-济南市-槐荫区,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【活动策划】企业活动策划,https://task.epwk.com/936457/,2225人,1人,¥2000,圆满完成,k6768****37,企业活动策划：按照谈好的合作，勿扰,2021-05-25,2021.05.27,任务编号：936457,2000.0,7天,山东省-济南市-槐荫区,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【产品推广】网站备案,https://task.epwk.com/930591/,841人,1人,¥300,圆满完成,大众推广ABCD,网站  备案,2021-04-20,2021.05.07,任务编号：930591,300.0,60天,山东省-济南市-槐荫区,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【公众号推广】做一个项目的推广,https://task.epwk.com/923157/,1446人,1人,¥1800,圆满完成,dayuep,项目地推推广，具体已沟通为准,2021-03-09,2021.03.09,任务编号：923157,1800.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公众号推广
【整合营销】智能家居品牌营销策划1期,https://task.epwk.com/922043/,3208人,1人,¥9980,圆满完成,vitorru,智能家居品牌营销策划1期,2021-03-03,2021.03.09,任务编号：922043,9980.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",整合营销
【整合营销】企业营销策划,https://task.epwk.com/916492/,850人,1人,¥30000,圆满完成,vitorru,已谈好 勿扰。,2021-01-20,2021.01.20,任务编号：916492,30000.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",整合营销
【活动策划】企业活动策划,https://task.epwk.com/912744/,577人,1人,¥400,圆满完成,o5b1394b15bb2b,已谈好 勿扰,2020-12-30,2020.12.30,任务编号：912744,400.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",活动策划
【活动策划】企业活动策划方案尾款,https://task.epwk.com/901314/,1007人,2人,¥10000,圆满完成,vitorru,企业活动策划方案尾款,2020-10-28,2020.10.28,任务编号：901314,10000.0,"20天,10天","山东省-青岛市,山东省-青岛市",初创网络传媒有限公司,https://shop.epwk.com/9w56er713dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【口碑营销】品牌营销文案尾款,https://task.epwk.com/901312/,956人,2人,¥20000,圆满完成,vitorru,品牌营销文案尾款,2020-10-28,2020.10.28,任务编号：901312,20000.0,"20天,30天","山东省-青岛市,山东省-青岛市",初创网络传媒有限公司,https://shop.epwk.com/9w56er713dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【活动策划】文案优化,https://task.epwk.com/897087/,622人,1人,¥400,圆满完成,o5f6d607cb1281,文案优化，已经沟通好,2020-10-09,2020.10.09,任务编号：897087,400.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",活动策划
