标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,能力标签,订单编号后缀,需求方,设计师,知识
【网站UI设计】公司网站整站设计,https://task.epwk.com/244516/,258人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,公司网站整站设计,直接雇佣￥ 1000,￥ 1000,任务编号：244516,3153-3304.csv,网站UI设计,244516,A244516,B244516,"公司网站, 整站设计"
【APP开发】商场主题展览活动移动应用安卓版制作,https://task.epwk.com/244519/,295人,1人,"¥7,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,商场主题展览活动移动应用安卓版制作,直接雇佣￥ 7000,￥ 7000,任务编号：244519,3153-3304.csv,APP开发,244519,A244519,B244519,"商场主题展览, 移动应用, 安卓版"
【小程序开发】找人做FLASH程序开发,https://task.epwk.com/244535/,341人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,找人做FLASH程序开发,直接雇佣￥ 2000,￥ 2000,任务编号：244535,3153-3304.csv,小程序开发,244535,A244535,B244535,"FLASH程序, 开发"
【网站优化方案】百度360搜搜互动网站推广,https://task.epwk.com/244549/,398人,1人,¥750,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,百度360搜搜互动网站推广,直接雇佣￥ 750,￥ 750,任务编号：244549,3153-3304.csv,网站优化方案,244549,A244549,B244549,"百度360搜索, 网站推广"
【广告设计】两块宣传展板设计,https://task.epwk.com/244581/,179人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,两块宣传展板设计,直接雇佣￥ 1500,￥ 1500,任务编号：244581,3153-3304.csv,广告设计,244581,A244581,B244581,"宣传展板, 设计"
【3D建模】产品需建模及出2张效果图,https://task.epwk.com/244600/,2115人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,产品需建模及出2张效果图,直接雇佣￥ 3000,￥ 3000,任务编号：244600,3153-3304.csv,3D建模,244600,A244600,B244600,"产品建模, 效果图"
【电商网站】模仿一个电子商务网站,https://task.epwk.com/244683/,318人,1人,"¥3,700",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,模仿一个电子商务网站,直接雇佣￥ 3700,￥ 3700,任务编号：244683,3153-3304.csv,电商网站,244683,A244683,B244683,"电子商务网站, 模仿"
【电商网站】爱宝玛咖网站建设,https://task.epwk.com/244690/,443人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,爱宝玛咖网站建设,直接雇佣￥ 3000,￥ 3000,任务编号：244690,3153-3304.csv,电商网站,244690,A244690,B244690,"爱宝玛咖网站, 网站建设"
【APP开发】商场主题展览活动移动应用安卓版制作[二],https://task.epwk.com/244723/,298人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,商场主题展览活动移动应用安卓版制作[二],直接雇佣￥ 1500,￥ 1500,任务编号：244723,3153-3304.csv,APP开发,244723,A244723,B244723,"商场主题展览, 移动应用, 安卓版"
【商业提案】找人做一份商业文案,https://task.epwk.com/244802/,599人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,找人做一份商业文案,直接雇佣￥ 5000,￥ 5000,任务编号：244802,3153-3304.csv,商业提案,244802,A244802,B244802,"商业文案, 文案撰写"
【VI设计】连锁药店VI 设计,https://task.epwk.com/244836/,696人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,连锁药店VI 设计,直接雇佣￥ 4000,￥ 4000,任务编号：244836,3153-3304.csv,VI设计,244836,A244836,B244836,"连锁药店, VI设计"
【企业官网】公司网站开发,https://task.epwk.com/244848/,251人,1人,"¥3,500",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,公司网站开发,直接雇佣￥ 3500,￥ 3500,任务编号：244848,3153-3304.csv,企业官网,244848,A244848,B244848,"公司网站, 开发"
【小程序开发】惠氏APP系统开发费第二期,https://task.epwk.com/244852/,296人,1人,"¥21,200",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,惠氏APP系统开发费第二期,直接雇佣￥ 21200,￥ 21200,任务编号：244852,3153-3304.csv,小程序开发,244852,A244852,B244852,"惠氏APP, 系统开发, 第二期"
【网站UI设计】需要网站的建设,https://task.epwk.com/244865/,328人,1人,¥260,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,需要网站的建设,直接雇佣￥ 260,￥ 260,任务编号：244865,3153-3304.csv,网站UI设计,244865,A244865,B244865,网站建设
【企业官网】需要动态数据的展现,https://task.epwk.com/244867/,258人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,需要动态数据的展现,直接雇佣￥ 5000,￥ 5000,任务编号：244867,3153-3304.csv,企业官网,244867,A244867,B244867,"动态数据, 数据展现"
【企业官网】泉州金融超市第二期付款,https://task.epwk.com/244963/,249人,1人,"¥3,800",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,泉州金融超市第二期付款,直接雇佣￥ 3800,￥ 3800,任务编号：244963,3153-3304.csv,企业官网,244963,A244963,B244963,"金融超市, 付款"
【产品外观设计】电子产品结构设计,https://task.epwk.com/244988/,1679人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,电子产品结构设计,直接雇佣￥ 4000,￥ 4000,任务编号：244988,3153-3304.csv,产品外观设计,244988,A244988,B244988,"电子产品结构, 设计"
【VI设计】标志及简单VI设计,https://task.epwk.com/245000/,383人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,标志及简单VI设计,直接雇佣￥ 2000,￥ 2000,任务编号：245000,3153-3304.csv,VI设计,245000,A245000,B245000,"标志, VI设计"
【VI设计】需要做企业VI的设计,https://task.epwk.com/245009/,577人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,需要做企业VI的设计,直接雇佣￥ 5000,￥ 5000,任务编号：245009,3153-3304.csv,VI设计,245009,A245009,B245009,"企业VI设计, 品牌视觉系统"
【电商网站】做一个可以交易的电子书网站,https://task.epwk.com/245127/,387人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,做一个可以交易的电子书网站,直接雇佣￥ 1800,￥ 1800,任务编号：245127,3153-3304.csv,电商网站,245127,A245127,B245127,"电子书, 交易网站, 在线交易"
【包装设计】征集茶粉袋包装设计,https://task.epwk.com/245139/,234人,1人,¥250,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,征集茶粉袋包装设计,直接雇佣￥ 250,￥ 250,任务编号：245139,3153-3304.csv,包装设计,245139,A245139,B245139,"茶粉袋, 包装设计"
【其他工业设计】模具承包制作,https://task.epwk.com/245284/,2191人,1人,"¥47,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,模具承包制作,直接雇佣￥ 47000,￥ 47000,任务编号：245284,3153-3304.csv,其他工业设计,245284,A245284,B245284,"模具制作, 承包"
【其他工业设计】基站外观设计、结构设计及模型制作,https://task.epwk.com/245285/,1708人,1人,"¥20,800",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,基站外观设计、结构设计及模型制作,直接雇佣￥ 20800,￥ 20800,任务编号：245285,3153-3304.csv,其他工业设计,245285,A245285,B245285,"基站外观设计, 结构设计, 模型制作"
【产品外观设计】电子产品配件设计,https://task.epwk.com/245304/,1686人,1人,¥800,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,电子产品配件设计,直接雇佣￥ 800,￥ 800,任务编号：245304,3153-3304.csv,产品外观设计,245304,A245304,B245304,"电子产品配件, 设计"
【前端开发】website网站设计,https://task.epwk.com/245322/,1605人,1人,¥100,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,website网站设计,直接雇佣￥ 100,￥ 100,任务编号：245322,3153-3304.csv,前端开发,245322,A245322,B245322,网站设计
【广告设计】Flash广告动画制作,https://task.epwk.com/245385/,532人,1人,"¥9,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,Flash广告动画制作,直接雇佣￥ 9000,￥ 9000,任务编号：245385,3153-3304.csv,广告设计,245385,A245385,B245385,"Flash广告动画, 动画制作"
【其他软件开发】用stata做金融数据分析,https://task.epwk.com/245388/,908人,1人,¥400,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,用stata做金融数据分析,直接雇佣￥ 400,￥ 400,任务编号：245388,3153-3304.csv,其他软件开发,245388,A245388,B245388,"金融数据分析, stata"
【小程序开发】比特币交易平台开发,https://task.epwk.com/245401/,569人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,比特币交易平台开发,直接雇佣￥ 20000,￥ 20000,任务编号：245401,3153-3304.csv,小程序开发,245401,A245401,B245401,"比特币交易平台, 开发"
【LOGO设计】临沧前沿LOGO字体设计,https://task.epwk.com/245405/,1011人,1人,¥500,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,临沧前沿LOGO字体设计,直接雇佣￥ 500,￥ 500,任务编号：245405,3153-3304.csv,LOGO设计,245405,A245405,B245405,"临沧前沿, LOGO字体设计"
【LOGO设计】榴莲西点甜品屋LOGO设计,https://task.epwk.com/245436/,327人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,榴莲西点甜品屋LOGO设计,直接雇佣￥ 1500,￥ 1500,任务编号：245436,3153-3304.csv,LOGO设计,245436,A245436,B245436,"榴莲西点, LOGO设计, 甜品屋"
【APP开发】IOS手机APP软件开发,https://task.epwk.com/245492/,284人,1人,¥900,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,IOS手机APP软件开发,直接雇佣￥ 900,￥ 900,任务编号：245492,3153-3304.csv,APP开发,245492,A245492,B245492,"IOS手机APP, 软件开发"
【前端开发】需要网站切图制作,https://task.epwk.com/245512/,1357人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,需要网站切图制作,直接雇佣￥ 1000,￥ 1000,任务编号：245512,3153-3304.csv,前端开发,245512,A245512,B245512,"网站切图, 制作"
【产品外观设计】等离子进化器外观设计,https://task.epwk.com/245627/,1496人,1人,"¥7,500",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,等离子进化器外观设计,直接雇佣￥ 7500,￥ 7500,任务编号：245627,3153-3304.csv,产品外观设计,245627,A245627,B245627,"等离子进化器, 外观设计"
【专业代笔】将人物事迹材料改写成报告文学形式,https://task.epwk.com/245637/,582人,1人,¥205,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,将人物事迹材料改写成报告文学形式,直接雇佣￥ 205,￥ 205,任务编号：245637,3153-3304.csv,专业代笔,245637,A245637,B245637,"人物事迹, 报告文学, 材料改写"
【小程序开发】需要传感器APP设计,https://task.epwk.com/245685/,311人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,需要传感器APP设计,直接雇佣￥ 1800,￥ 1800,任务编号：245685,3153-3304.csv,小程序开发,245685,A245685,B245685,"传感器APP, 设计"
【印刷出版】年会物料设计,https://task.epwk.com/245709/,516人,1人,"¥7,000",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,年会物料设计,直接雇佣￥ 7000,￥ 7000,任务编号：245709,3153-3304.csv,印刷出版,245709,A245709,B245709,"年会物料, 设计"
【背景墙设计】征集公司背景墙设计,https://task.epwk.com/245714/,640人,1人,¥100,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,征集公司背景墙设计,直接雇佣￥ 100,￥ 100,任务编号：245714,3153-3304.csv,背景墙设计,245714,A245714,B245714,"公司背景墙, 设计"
【电商网站】商城支付接口用paybal制作,https://task.epwk.com/245718/,325人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,商城支付接口用paybal制作,直接雇佣￥ 4000,￥ 4000,任务编号：245718,3153-3304.csv,电商网站,245718,A245718,B245718,"商城支付接口, PayPal, 支付系统"
【产品推广】福建区域互动问答,https://task.epwk.com/245759/,307人,1人,"¥4,536",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,福建区域互动问答,直接雇佣￥ 4536,￥ 4536,任务编号：245759,3153-3304.csv,产品推广,245759,A245759,B245759,"福建区域, 互动问答"
【网站UI设计】需要仿建一个网站,https://task.epwk.com/245768/,450人,1人,¥600,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,需要仿建一个网站,直接雇佣￥ 600,￥ 600,任务编号：245768,3153-3304.csv,网站UI设计,245768,A245768,B245768,"网站仿建, 网站设计"
【图片处理】淘宝投诉原图还原,https://task.epwk.com/245778/,290人,1人,¥100,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,淘宝投诉原图还原,直接雇佣￥ 100,￥ 100,任务编号：245778,3153-3304.csv,图片处理,245778,A245778,B245778,"淘宝投诉, 原图还原"
【插画设计】找人帮忙做插图设计,https://task.epwk.com/245779/,731人,1人,"¥2,450",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,找人帮忙做插图设计,直接雇佣￥ 2450,￥ 2450,任务编号：245779,3153-3304.csv,插画设计,245779,A245779,B245779,"插图设计, 帮忙"
【产品外观设计】邮币appUI设计,https://task.epwk.com/245785/,1458人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,邮币appUI设计,直接雇佣￥ 1000,￥ 1000,任务编号：245785,3153-3304.csv,产品外观设计,245785,A245785,B245785,"邮币, appUI设计"
【APP开发】邮币行情app IOS版本开发第一阶段,https://task.epwk.com/245788/,304人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,邮币行情app IOS版本开发第一阶段,直接雇佣￥ 2000,￥ 2000,任务编号：245788,3153-3304.csv,APP开发,245788,A245788,B245788,"邮币行情, app开发, IOS版本"
【前端开发】产品中心内页设计和HTML响应,https://task.epwk.com/245897/,1397人,1人,¥500,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,产品中心内页设计和HTML响应,直接雇佣￥ 500,￥ 500,任务编号：245897,3153-3304.csv,前端开发,245897,A245897,B245897,"产品中心内页, HTML响应设计"
【小程序开发】開發客戶系統,https://task.epwk.com/245903/,502人,1人,¥500,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,開發客戶系統,直接雇佣￥ 500,￥ 500,任务编号：245903,3153-3304.csv,小程序开发,245903,A245903,B245903,"客户系统, 开发"
【手游开发】小型模拟购物社区动画游戏制作[一],https://task.epwk.com/245991/,564人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,小型模拟购物社区动画游戏制作[一],直接雇佣￥ 5000,￥ 5000,任务编号：245991,3153-3304.csv,手游开发,245991,A245991,B245991,"小型模拟购物社区, 动画游戏制作"
【APP开发】app添加功能开发,https://task.epwk.com/246006/,263人,1人,¥400,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,app添加功能开发,直接雇佣￥ 400,￥ 400,任务编号：246006,3153-3304.csv,APP开发,246006,A246006,B246006,app功能开发
【企业官网】年会网站修改设计,https://task.epwk.com/246013/,270人,1人,"¥2,120",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,年会网站修改设计,直接雇佣￥ 2120,￥ 2120,任务编号：246013,3153-3304.csv,企业官网,246013,A246013,B246013,"年会网站, 设计修改"
【卡通形象设计】游戏人物设计,https://task.epwk.com/246017/,392人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,游戏人物设计,直接雇佣￥ 1500,￥ 1500,任务编号：246017,3153-3304.csv,卡通形象设计,246017,A246017,B246017,游戏人物设计
【海报设计】需要企业海报设计,https://task.epwk.com/246018/,413人,1人,¥200,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,需要企业海报设计,直接雇佣￥ 200,￥ 200,任务编号：246018,3153-3304.csv,海报设计,246018,A246018,B246018,"企业海报, 设计"
【宣传册设计】产品的DM设计,https://task.epwk.com/246026/,552人,1人,¥650,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,产品的DM设计,直接雇佣￥ 650,￥ 650,任务编号：246026,3153-3304.csv,宣传册设计,246026,A246026,B246026,产品DM设计
【LOGO设计】新面膜起名和logo设计,https://task.epwk.com/246029/,310人,1人,¥300,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,新面膜起名和logo设计,直接雇佣￥ 300,￥ 300,任务编号：246029,3153-3304.csv,LOGO设计,246029,A246029,B246029,"新面膜, logo设计"
【数据录入】信息数据录入之242,https://task.epwk.com/246033/,5526人,1人,"¥6,120",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,信息数据录入之242,直接雇佣￥ 6120,￥ 6120,任务编号：246033,3153-3304.csv,数据录入,246033,A246033,B246033,"信息数据录入, 242"
【FLASH制作】flash动画制作,https://task.epwk.com/246046/,755人,1人,"¥1,800",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,flash动画制作,直接雇佣￥ 1800,￥ 1800,任务编号：246046,3153-3304.csv,FLASH制作,246046,A246046,B246046,"flash动画, 制作"
【海报设计】设计海报和水牌各一张,https://task.epwk.com/246051/,519人,1人,¥200,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,设计海报和水牌各一张,直接雇佣￥ 200,￥ 200,任务编号：246051,3153-3304.csv,海报设计,246051,A246051,B246051,"海报设计, 水牌设计"
【网站UI设计】服装网后台设计,https://task.epwk.com/246076/,436人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,服装网后台设计,直接雇佣￥ 2000,￥ 2000,任务编号：246076,3153-3304.csv,网站UI设计,246076,A246076,B246076,"服装网, 后台设计"
【海报设计】根据要求做易拉宝设计,https://task.epwk.com/246083/,752人,1人,¥200,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,根据要求做易拉宝设计,直接雇佣￥ 200,￥ 200,任务编号：246083,3153-3304.csv,海报设计,246083,A246083,B246083,"易拉宝设计, 根据要求"
【LOGO设计】设计一个女包LOGO,https://task.epwk.com/246084/,291人,1人,¥400,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,设计一个女包LOGO,直接雇佣￥ 400,￥ 400,任务编号：246084,3153-3304.csv,LOGO设计,246084,A246084,B246084,"女包, logo"
【其他工业设计】根据需求对数据进行处理,https://task.epwk.com/246085/,1413人,1人,¥400,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,根据需求对数据进行处理,直接雇佣￥ 400,￥ 400,任务编号：246085,3153-3304.csv,其他工业设计,246085,A246085,B246085,"数据处理, 需求分析"
【网站UI设计】网页美工设计,https://task.epwk.com/246100/,331人,1人,¥100,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,网页美工设计,直接雇佣￥ 100,￥ 100,任务编号：246100,3153-3304.csv,网站UI设计,246100,A246100,B246100,"网页设计, 美工设计"
【背景墙设计】征集背景墙设计（二）,https://task.epwk.com/246121/,573人,1人,¥400,圆满完成,https://task.epwk.com/page3224.html?m=6&o=7,征集背景墙设计（二）,直接雇佣￥ 400,￥ 400,任务编号：246121,3153-3304.csv,背景墙设计,246121,A246121,B246121,"背景墙设计, 二"
【其他工业设计】需要产品外观设计,https://task.epwk.com/246212/,1494人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,需要产品外观设计,直接雇佣￥ 3000,￥ 3000,任务编号：246212,3153-3304.csv,其他工业设计,246212,A246212,B246212,产品外观设计
【网站UI设计】需要公司网站的建设,https://task.epwk.com/246218/,202人,1人,¥700,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,需要公司网站的建设,直接雇佣￥ 700,￥ 700,任务编号：246218,3153-3304.csv,网站UI设计,246218,A246218,B246218,"公司网站, 建设"
【手游开发】小型模拟购物社区动画游戏制作[二],https://task.epwk.com/246256/,532人,1人,"¥7,000",圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,小型模拟购物社区动画游戏制作[二],直接雇佣￥ 7000,￥ 7000,任务编号：246256,3153-3304.csv,手游开发,246256,A246256,B246256,"小型模拟购物社区, 动画游戏, 制作"
【小程序开发】物业派工软件第三期开发,https://task.epwk.com/246264/,234人,1人,"¥1,082",圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,物业派工软件第三期开发,直接雇佣￥ 1082,￥ 1082,任务编号：246264,3153-3304.csv,小程序开发,246264,A246264,B246264,"物业派工, 软件开发, 第三期"
【其他工业设计】4个简单的maya建模,https://task.epwk.com/246268/,2253人,1人,¥200,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,4个简单的maya建模,直接雇佣￥ 200,￥ 200,任务编号：246268,3153-3304.csv,其他工业设计,246268,A246268,B246268,"maya建模, 简单建模"
【APP开发】基于IOS平台用于展示说明和简单互动的应用,https://task.epwk.com/246292/,290人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,基于IOS平台用于展示说明和简单互动的应用,直接雇佣￥ 4000,￥ 4000,任务编号：246292,3153-3304.csv,APP开发,246292,A246292,B246292,"IOS平台, 应用展示, 互动功能"
【网站UI设计】化妆软件网站首页设计,https://task.epwk.com/246323/,336人,1人,¥300,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,化妆软件网站首页设计,直接雇佣￥ 300,￥ 300,任务编号：246323,3153-3304.csv,网站UI设计,246323,A246323,B246323,"化妆软件, 网站首页, 设计"
【APP开发】需要“聚落”软件开发,https://task.epwk.com/246325/,464人,1人,"¥21,000",圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,需要“聚落”软件开发,直接雇佣￥ 21000,￥ 21000,任务编号：246325,3153-3304.csv,APP开发,246325,A246325,B246325,"聚落, 软件开发"
【卡通形象设计】找我的一张照片转卡通画,https://task.epwk.com/246355/,602人,1人,¥30,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,找我的一张照片转卡通画,直接雇佣￥ 30,￥ 30,任务编号：246355,3153-3304.csv,卡通形象设计,246355,A246355,B246355,"照片, 卡通画"
【动漫其他】手游美术加做一套图片设计,https://task.epwk.com/246368/,571人,1人,¥500,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,手游美术加做一套图片设计,直接雇佣￥ 500,￥ 500,任务编号：246368,3153-3304.csv,动漫其他,246368,A246368,B246368,"手游美术, 图片设计"
【LOGO设计】设计一款面膜logo,https://task.epwk.com/246386/,216人,1人,¥200,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,设计一款面膜logo,直接雇佣￥ 200,￥ 200,任务编号：246386,3153-3304.csv,LOGO设计,246386,A246386,B246386,"面膜, logo"
【微信开发】体重管理微信公众账号开发,https://task.epwk.com/246427/,813人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,体重管理微信公众账号开发,直接雇佣￥ 1500,￥ 1500,任务编号：246427,3153-3304.csv,微信开发,246427,A246427,B246427,"体重管理, 微信公众号"
【网站UI设计】淘宝宝贝描述详情页面设计,https://task.epwk.com/246515/,422人,1人,¥150,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,淘宝宝贝描述详情页面设计,直接雇佣￥ 150,￥ 150,任务编号：246515,3153-3304.csv,网站UI设计,246515,A246515,B246515,"淘宝宝贝描述, 详情页面设计"
【企业官网】英文相册网站建设,https://task.epwk.com/246544/,394人,1人,"¥1,300",圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,英文相册网站建设,直接雇佣￥ 1300,￥ 1300,任务编号：246544,3153-3304.csv,企业官网,246544,A246544,B246544,"英文相册, 网站建设"
【企业官网】销售慧智手机版优化,https://task.epwk.com/246607/,288人,1人,¥500,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,销售慧智手机版优化,直接雇佣￥ 500,￥ 500,任务编号：246607,3153-3304.csv,企业官网,246607,A246607,B246607,"销售慧智, 手机版, 优化"
【漫画设计】用电脑绘画软件制作一副电脑作品,https://task.epwk.com/246615/,778人,1人,¥100,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,用电脑绘画软件制作一副电脑作品,直接雇佣￥ 100,￥ 100,任务编号：246615,3153-3304.csv,漫画设计,246615,A246615,B246615,"电脑绘画软件, 电脑作品"
【其他家装服务】新居三室两厅两卫装修设计,https://task.epwk.com/246701/,492人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,新居三室两厅两卫装修设计,直接雇佣￥ 1000,￥ 1000,任务编号：246701,3153-3304.csv,其他家装服务,246701,A246701,B246701,"新居装修, 三室两厅, 两卫设计"
【小程序开发】需要增加公司网站首页页面,https://task.epwk.com/246706/,358人,1人,¥50,圆满完成,https://task.epwk.com/page3223.html?m=6&o=7,需要增加公司网站首页页面,直接雇佣￥ 50,￥ 50,任务编号：246706,3153-3304.csv,小程序开发,246706,A246706,B246706,"公司网站, 首页页面"
