标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【公司起名】公司及品牌取名,https://task.epwk.com/1057534/,10193人,163人,"¥1,001",寻希品网络科技,￥ 1001,￥ 1001,2023.09.14,"取名     公司名字：广州网络科技有限公司； 主要业务方向：          跨境电商公司，专注于甲油胶/穿戴甲等美妆美甲类产品开发和销售，产品主要出口于欧美等国家。要求：     名称响亮，易记，文雅，有创意但不失稳重，体现跨境美妆公司的特点;     中文名字 2-4字为佳；     英文名字由有意义的单词组合或者部分组合，比如 联想公司的 Lenovo。长度宜短不宜长。发音上口。     要求能国内和欧洲、美国都可以注册，中文、英文品牌注册3类。     附上创意说明。中英文方案可以选择：    1.	可以中文具备显著意义，英文具备积极向上的意义即可。  比如 联想  Lenovo。    2.	可以英文具备显著意义，中文配套音译。  比如  benz  奔驰。知识产权说明：    1.	所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;    2.	标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：1057534,创品Fengjy,方圆台Skibh
【公司起名】汽车产品科技公司起名,https://task.epwk.com/1044008/,2949人,147人,¥380,chauncc,￥ 380,￥ 380,2023.06.05,公司属于汽车产品的科技型创业公司公司成立的创始人有5名，年富力强希望起一个好听顺口的公司名字，能体出现的精诚协作，创新共赢，挑战探索等积极的意义。要求：尽可能跟汽车有关；尽可能容易注册。有些名字简单好听，但是完全无法注册了。,任务编号：1044008,千秋万名,wsjyhns2008的商铺
【公司起名】科技型创业公司起名,https://task.epwk.com/1040049/,5756人,203人,¥300,chauncc,￥ 300,￥ 300,2023.05.09,公司属于汽车产品的科技型创业公司公司成立的创始人有5名，平均年龄32岁创始人达成协定的日期是2014年5月7日希望起一个好听顺口的公司名字，能体出现的精诚协作，创新共赢，挑战探索等积极的意义。,任务编号：1040049,郡立赋新,半爿设计
【商业提案】咖啡豆线上营销方案,https://task.epwk.com/1031051/,1683人,28人,¥188,k5500****98,￥ 188,￥ 188,2023.03.01,咖啡豆市场营销方案客户群体：办公室有咖啡机的采购人员（主要集中人群，公司付费，办公室的行政人员采购），办公室的白领-个人自己需求采购。营销平台：淘宝，京东，小红书，短视频平台认证，快手。需求解决痛点：1.将新购买咖啡机公司的人采购咖啡豆时，推广怎样才能触达到这部分采购人员，让我们的咖啡豆先入为主的采购。                        2.老咖啡机用户，怎样才能更换咖啡豆供应商，我们切入进去。                        3.第三步才顺带触达手冲咖啡爱好者和发烧友。公司品牌：怡小粒咖啡，产品定位就是办公室白领采购，针对办公室意式咖啡机的咖啡豆。                  咖啡豆生豆生产地都是国外，品种是100%阿拉比卡豆。,任务编号：1031051,我是一只鱼的档口,龙马策划
【品牌起名】运动服装品牌名称设计征集,https://task.epwk.com/1023743/,11059人,180人,¥840,游泳健将,￥ 840,￥ 840,2022.12.02,"一、品牌主营方向品牌主要以运动服装、鞋、帽，运动器材，游泳装备，提供泳池安装和配套服务；本品牌主要是依托母公司设立，母公司的主营业务方向为：游泳健身，游泳、篮球、足球、羽毛球、青少年体适能等培训项目；现根据以上条件以及业务属性，对品牌名称进行有奖征集。二、设计要求1、整体设计思路要符合日照市海滨城市特色（阳光、碧海、金沙滩），契合运动品牌思维，突出母公司主营方向（上述加粗部分）。2、名称设计可由文字、字母、文字加字母的形式体现，可音译或意译，时尚感要强，能符合80、90、00后人群的审美与认知观念，便于识别和传播。3、名称设计者要注明名称的设计思路、设计创意，名称必须为原创，未在国家商标局注册过，不与其它公司类似项目名称相同或相近，投稿者先核查一下是否可以注册，不能注册的将拒绝采用。三、知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：1023743,极点科技,君合设计工作室
【公司起名】湖南工程技术有限公司名字征集,https://task.epwk.com/1021744/,2261人,82人,¥100,o5e91****2108e,￥ 100,￥ 100,2022.11.14,征集2字公司注册名字。行业:工程设计、工程测绘、工程勘察、基础施工,任务编号：1021744,喵星人文案,启明星辰
【品牌起名】（急！急！急！）饮料名称征集,https://task.epwk.com/1010565/,13057人,355人,"¥1,100",佳树,￥ 1100,￥ 1100,2022.08.18,"我公司计划推出新系列产品——带果肉的果汁饮料，有葡萄多多、芒果块块、草莓果果、香橙粒粒、蜜桃肉肉5款产品，此次需要将5款产品串联成共同的名字，作为商标总名称，例如：“五果联盟”、“果粒颗颗”，可参考产品的广告语：“大果粒，嚼着喝”具体要求如下：1、名称字数是2-4个字，同时名称不可以和其他商标重名（仅限32类），具体可自行在商标局官网或权大师、企查查、天眼查任一软件中查询商标是否有重名，查询的商标类别为32类2、产品名称能将5款口味产品串联起来3、名称有特点、好记忆，要朗朗上口、不要生僻字4、名称要年轻化、时尚感搜索复制< iframe src="""">< /iframe>",任务编号：1010565,三生万物广告,程曦创意设计工作室
【文学创作】无厘头搞笑段子写作，70-100字,https://task.epwk.com/1008561/,3225人,59人,¥500,无厘头段子手,￥ 500,￥ 500,2022.08.04,无厘头搞笑段子写作，70——100字。例子：这个通货膨胀必然引起物价上涨，当然也是要看国际足联的具体态度是怎么样的，所以呢，我们说回这个问题的本质，就需要考虑挖掘机的扭矩跟履带的宽度是正相关还负相关的？是吧！由于，蒸汽机的出现是这一次工业革命的标志，所以我们在做红烧牛肉的时候必须小火慢炖，不然的话就会出现刹车盘过热的风险！我们说！啊！这个。。。。。亚当斯密的国富论肯定是有一定的历史地位和学术意义的！是吧，但是！我认为沈腾的电影要更好笑一些的！咱们说不单单要考虑到主观因素，还要兼顾什么呢？客观实际！你比如说，你这个大蒜是切的，还是拍的？是吧？如果是切的，那么我们可以设X等于二分之一Y乘于根号3.如果，他这个大蒜是拍的，那么就比较麻烦了，这个时候就需要到正规的三甲医院做全面检查。那么我们从另一个角度来考虑，这个手扶拖拉机的修理技术该不该成为大龄剩女的必备技能？这个问题将直接关系到你们家卫生间是马桶还是蹲坑！是吧！哎~~所以，你喜欢吃酸辣馄饨还是清汤的？我们说！啊！这个。。。。。如果你点了一个外卖，而这个时候你们家的狗又刚好做了绝育手术，那么你要穿超短裙还热裤是吧？同时我们考虑到亚热带季风气候的影响，你不可能在洗澡的时候吃麻辣烫，对不对？！就比如一台洗衣机的百公里耗油量是比不过一家小超市的年降雨量的。所以！你要想清楚，你要不要充一个VIP，如果充就有可能炸胡。如果不充，白球落袋了怎么办？是吧？！所以我建议啊！你最好去找个养老院测一测视力~要求：1每个半句，（注意是半句！！）都通俗易懂，不跳脱，不耍宝，就是说，每一个名词或动词都是正常的，但是几个半句合并成一句话就牛头不对马嘴！要给人都能听懂，但是听完就蒙笔。。。每段100字左右2句与句之间要有逻辑连接词（因为——所以）（不但——而且）（虽然——但是）（既然——不如）等。。。。验收标准：1笑果，给人莫名其妙，啼笑皆非，略回味不禁憨笑的感觉。2整个段落的逻辑连接完整通顺,任务编号：1008561,孤独的锅包肉,mf178****0453
"【品牌起名】老年养生保健""品牌名征集",https://task.epwk.com/1008046/,3475人,159人,¥600,o5a1835f94bf43,￥ 600,￥ 600,2022.08.01,要求：（一）征集2至4个字的全新“文字商标”。（二）寓意好、易记、能体现产品或品牌特点、琅琅上口、独特有创意、与产品或品牌特点有内在联系或延续性等。（三）本次商标名称大赛“重点”征集商标的适用方向： 1、“老年养生保健”品牌名（适用于老年百岁人生，寓意康养、长寿、健康、老有所养、老有所为、达观开朗等）（营养补充剂、膳食补充剂、微量元素补充剂、糖果、饼干、滋补品、饮料、奶制品等食品）。,任务编号：1008046,异凡策划,o58297f5c0728f
【品牌起名】电竞酒店品牌名称取名,https://task.epwk.com/1004547/,3638人,192人,¥300,威勒尼3cTjL,￥ 300,￥ 300,2022.07.09,我公司准备开一家电竞酒店，对酒店名称进行广泛征集，比如  杭州XXX电竞酒店   请大家集思广益，踊跃参与。1、对电竞行业 ，电竞酒店有所了解，经常开黑耍游戏的，名称能有一定的行业特色2、可以在美团里面搜索“电竞”，通过对标弹出电竞酒店目录，寻找灵感3、也可以百度搜索“电竞俱乐部”，寻找名称灵感，4、郎朗上口，听起来悦耳有有记性，答案是丰富多彩的5、我们在朱八介那边发布过同样的任务，但是没有中意和可取的，请参与过那边的不要重复用相同文案投标,任务编号：1004547,心有灵犀文字工坊,mf150****8882
【产品卖点】宠物相关的小故事,https://task.epwk.com/985642/,6634人,84人,"¥1,700",昂米禾1l5ig,￥ 1700,￥ 1700,2022.03.09,"小故事主要围绕“宠物猫狗”来写。要求：1、小故事将做为脚本，用于拍摄20秒的短视频。标题和内容绝对不能有广告味，要能引起点击和共鸣，能吸引网友参与讨论或点击浏览。2、小故事要有吸引力，有趣味性，要站在用户的角度来描写，内容与标题给人感觉以个人感受、经验分享为表现形式。3、要求原创，文笔或专业，或幽默。字数200字以上。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：985642,hencongmingde,璇极文化
【产品卖点】品牌广告语征集,https://task.epwk.com/983223/,2875人,92人,¥150,阿克索生物科技,￥ 150,￥ 150,2022.02.22,品牌：M66产品：潮玩艺术品（类似暴力熊）、项链、服装、帽子产品特点：时尚、潮品、艺术品、广告语要求：1、时尚轻奢、流行、积极向上、朗朗上口，符合当代年轻人的潮流艺术品位。2、展现品牌特色。,任务编号：983223,智通策划文案,闻风创意
【品牌起名】日用品，去污产品，清楚用品,https://task.epwk.com/976674/,1556人,68人,¥220,o605174bbd625d,￥ 220,￥ 220,2021.12.28,日用品，去污产品，清楚用品，做天猫，拼多多，社区团购用的，要求能注册，显得高大上。,任务编号：976674,小邹18,码字铺，靠谱
【品牌起名】文化用品品牌取名，国内用,https://task.epwk.com/976673/,1595人,56人,¥200,o605174bbd625d,￥ 200,￥ 200,2021.12.28,文化用品品牌取名，国内内销市场用。 公司名是贝特，要有成功率，要查过一下。也可以文艺一些。,任务编号：976673,见证奇迹,冰糖雪碧
【品牌起名】需要LED显示屏服务品牌取名，需要3个字,https://task.epwk.com/967003/,2364人,106人,¥111,szmpgcled,￥ 111,￥ 111,2021.11.02,需要LED显示屏服务品牌取名，需要3个字   。                                                                                                                       本公司是专业LED显示屏钢结构，安装/组装，调试，维修/维保等一站式服务公司。         围绕以上主题取三个字的品牌名子。原来我们的公司品牌迈普光彩，字太多不好记忆。现在就是要求品牌，清晰，明白，好记。,任务编号：967003,戈壁沙漠1981,码字铺，靠谱
【店铺/网店起名】烤串店铺取名,https://task.epwk.com/962318/,2457人,108人,¥100,啥哇嘀卡,￥ 100,￥ 100,2021.10.25,行业：烤串同行：夺命小串要求：稍微霸气  接地气 （属于休闲小吃 是边走边吃那种）风格：新中式带点国朝风,任务编号：962318,慎字如金,蓝公子不姓蓝
【品牌起名】食品品牌取名,https://task.epwk.com/956591/,9826人,333人,¥840,o5d09f7e435477,￥ 840,￥ 840,2021.09.22,【投稿内容】品牌名（3字4字5字均可）【产品介绍】1、前期以零食、坚果为主但要有包容性，后续会丰富品类。2、国内主打线上线下销售。【投稿要求】1、足够通俗，足够熟悉，足够好记。易传播，有创意但不失稳重，品牌名称可以跟产品无关，希望有点文艺范。2、最好带有绿色健康，强调生活品质，或者有新意顺口的。3、适合各类高中低端消费者。4、投稿前自行在网上查询一下，需要无重复名字，可注册29.30.35.42商标。,任务编号：956591,靠谱小伙,o61337e1d41261
【品牌起名】喜糖店取名,https://task.epwk.com/952746/,2656人,125人,¥128,靓荐EEyCl,￥ 128,￥ 128,2021.08.30,避俗，有寓意，好说，好记，沒被注册的。本店定位：高端喜糖、伴手礼、商务礼,任务编号：952746,风速阁r6esY,高地密码hoJWe
【公司起名】求一公司名称，工艺品行业,https://task.epwk.com/952193/,3161人,148人,¥300,福建小树林,￥ 300,￥ 300,2021.08.27,从事工艺品行业，原公司名叫华兴，现在因发展需要新注册公司，求一公司名大致要求：1、读起来顺畅2、要大气有深度有内涵、有广阔之意、有飞跃成长之势、如 长江实业、万达、华兴、中兴、七匹狼、九牧、......,任务编号：952193,小Z设计狮,ZSZ工作室
【品牌起名】火锅食材品牌取名,https://task.epwk.com/925636/,1258人,120人,¥200,o604100e248fda,￥ 200,￥ 200,2021.03.22,火锅食材品牌取名，清新大气…朗朗上口，可注册成功的,任务编号：925636,歪方设计,【千字造】专业起名取名
,,,,,,,,,,,,
【宣传策划】宣扬因救人而牺牲了的事迹方面的正能量方面一个总序,https://task.epwk.com/914348/,1792人,29人,¥200,o5e905853f36ab,￥ 200,￥ 200,2021.01.08,宣扬因救人而牺牲了的正能量方面的总序，使用在文章开端或者结尾，或者首尾相互衔接用的。文章中段是我们这边具体讲解救人者英勇事迹。（例如下水救人而脱力牺牲了的英雄，因火灾救人而毁容了的英雄） 最好能达到的效果是，从大义方面的一个精神宣扬，从小义个体人的角度来阐述一些正能量方面的东西(也可以自己随意写，效果好就行)，但是要煽情，能感染人，正能量。总字数控制在150个字以内。如果有特别好的可以另外加点钱,任务编号：914348,禅生妙境,京南小组
【品牌起名】培训公司起名,https://task.epwk.com/913405/,4048人,147人,"¥1,000",o5ff3c4d485482,￥ 1000,￥ 1000,2021.01.05,"本公司位于惠州市。经营介绍：主营针对家长的课程培训，引入美国正面管教课程，帮助家长理解孩子深层次的需求，以解决家庭教育过程中的难题，如孩子写作业拖拉磨蹭、青春期问题、亲子工作坊等。产品主要三类：1、家长基础班2、家长进阶版3、青春期解密4、多子女家长课要求：1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：913405,mf150****8882,青野标书方案定制
【品牌起名】微信小程序“云悦团购”改名，起个新名字,https://task.epwk.com/913287/,1837人,69人,¥100,青山绿水阳光,￥ 100,￥ 100,2021.01.04,给微信小程序“云悦团购”起个新名字1、微信搜索小程序“云悦团购”，根据小程序的内容，重新给起个名字2、行业：电商3、主营：家庭日常生活用品4、能第9类商标注册5、2-4字中文汉字文字交稿即可。,任务编号：913287,精鑫设计工作室,君梓阁～
【店铺/网店起名】拼多多、淘宝店铺起名,https://task.epwk.com/912201/,1879人,59人,¥100,贝多芬的猫,￥ 100,￥ 100,2020.12.27,"拼多多店铺及淘宝店铺名称征集。经营介绍：主营学生文具类，也有部分女装、女包、饰品和玩具，消费人群以女性为主，整体风格：ins风，少女风，韩系，店铺偏可爱卡通，整体类似杂货店，百货店。要求：1、名称雅致，易记，有创意但不失稳重;(必须可以注册的)；2、两个店铺名称可以不一致，但必须保证原创，不得与已有的拼多多店铺及淘宝店铺重名；3、最好有中、英文两种名称4、个人、工作室、公司均可投标，但价格不变，就100元，嫌少的就不要浪费感情了。5、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：912201,风铃文案/平面设计,mf150****8882
【项目策划】给微信小程序“云悦团购”提建议,https://task.epwk.com/912129/,1819人,13人,¥120,青山绿水阳光,￥ 120,￥ 120,2020.12.27,微信小程序测评并给出建议1、微信搜索小程序“云悦团购”2、对这款团购小程序的模式、功能、用户感受以及存在的BUG提出自己的建议。要求：文字描述交稿即可。,任务编号：912129,o5f61c1e32b575,o5c863f72d810e
【成人起名】给新购入笔记本取名,https://task.epwk.com/911656/,3302人,90人,¥180,佳佳最佳佳,￥ 180,￥ 180,2020.12.24,"本人于12月22日晚间于京东商城购入一台联想威6-2020款14英寸全新锐龙R5六核高性能超薄本轻薄商务办公手提笔记本电脑，14英寸标配。因圣诞活动直降600元，已恢复原价。R5-4600U16G512G100%sRGB高色域|PS全高清浩瀚银。
满血锐龙六核·指纹开机二合。
——以后它就是我的工作伙伴，求起个好听的名字，出发点、构思、形式不限。",任务编号：911656,美其名曰,不知风起何时
"【其他】给""暖水袋倾诉""小程序提建议",https://task.epwk.com/908133/,1764人,26人,¥100,青山绿水阳光,￥ 100,￥ 100,2020.12.04,微信小程序测评并给出建议。1、微信搜索小程序“暖水袋倾诉”。2、对小程序的页面、功能、用户习惯以及存在的BUG进行测评并给出建议。要求：文字描述交稿即可。,任务编号：908133,o5fbc612a08f1b,o5f61c1e32b575
【品牌起名】农场品牌起名,https://task.epwk.com/906032/,2455人,149人,¥300,o5c8450d19a265,￥ 300,￥ 300,2020.11.22,"公司已无土栽培的鱼菜共生和气雾栽培为主，体验式休闲农场，体现节约～健康～休闲理念。请用如下字起名，能注册。
子、凡、北、禾、民、平、玄、汇、百、浩、润、琪、鸿、澄、儒、融、人、才、册、申、生、司、十、悦、贤",任务编号：906032,天幕创意,moonwalker2020
【宣传策划】美容院，文案介绍，广告词350字符,https://task.epwk.com/905234/,2700人,22人,¥360,o5ba1b861076ea,￥ 360,￥ 360,2020.11.18,"1，美容院名称：（科然美业） 科学自然。2，现在需要拍摄一个宣传介绍类短片，（根据文案拍摄素材）。3，拍摄1-2分钟的短片，介绍文案可控制在350字符左右（不宜太长）。4，现代化美容用语，简单，简洁。5，大品牌集成护肤，（当地定位及环境都排在行业前端）。6,经营项目：建议个人采纳编辑，(水疗spa，光学美容. 面部美白，面部抗皱，面部抗衰，眼部颈部护理，奕好药液，淋巴排毒，肩颈调理，暖宫，胸部， 腰腿，臀部，头疗，手护，关节调理，血液净化，身体塑形，温通仪！)7，针对消费群体（女性，年龄不限）知识产权说明：1. 所提交的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由投稿者承担所有法律责任。2. 中标的作品，我方支付设计稿费，即拥有该作品的知识产权（包含一等奖及二等奖），包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;中标者（一等奖及二等奖）不得再向其他任何地方使用该稿件作品。",任务编号：905234,扉梵视觉设计,o5d14d1dc989e2
【宣传策划】征求一副有含义春 节的对 联 词,https://task.epwk.com/902866/,1575人,32人,¥100,cngygy,￥ 100,￥ 100,2020.11.05,"企业征求一副对， 联 ,请有创意者积极投标藏 头 词 对 联写 创 意  新  春  新 年 喜庆  对  联7-9字  对 联 加 横 批1.内容带有需   藏头  带“法 兰 尼”公司主主营    净水器",任务编号：902866,禅生妙境,sssdaojian
【广告策划】白酒产品广告语征集,https://task.epwk.com/902785/,3285人,156人,"¥1,000",至友酒业,￥ 1000,￥ 1000,2020.11.05,简介：产品名称：牛薯·地瓜烧粗粮酒香型：浓香型白酒定位人群：27-35（在社会已经闯荡几年，经过失败和挫折，但心中心存梦想，在数据化的时代，更充满机会，实现梦想。）关键词：数据化时代下的平凡人实现大梦想，“牛”代表冲劲，“薯”代表平凡人。参考：喝小刀，成大器（小刀白酒）  有梦想，敢担当（一担粮白酒）  红星二锅头，敬不甘平凡的我们（红星）,任务编号：902785,YZL-大杨,桑落
【品牌起名】高悬赏，品牌名征集,https://task.epwk.com/901136/,1820人,110人,¥300,o5f85****3bc54,￥ 300,￥ 300,2020.10.28,"征集品牌：

我们是做沙棘原浆的，沙棘属于药食同源产品，下面附沙棘的功效等

征集要求：

能让人眼前一亮，好记，醒目，品牌名易于传播


【沙棘_百度百科】https://mbd.baidu.com/ma/s/c5ffA9AL",任务编号：901136,Lewandowski,绿门红玉
