标题,browser,字段1,价格,status
【软文发布】包收录媒体套餐,209人,1人,¥13988,圆满完成
【软文发布】十大门户套餐,331人,1人,¥4880,圆满完成
【软文发布】十大门户套餐,250人,1人,¥14699,圆满完成
【文学创作】论文帮助,1279人,1人,¥2500,圆满完成
【软文发布】十大门户套餐,437人,1人,¥5000,圆满完成
【宣传策划】关于小程序的宣传推广文案撰写,657人,1人,¥22700,圆满完成
【营销推广软文】软文代写,489人,1人,¥11000,圆满完成
【软文发布】软文营销推广方案,310人,1人,¥23250,圆满完成
,,,,
【品牌故事】文案写作,475人,1人,¥700,圆满完成
【软文发布】包收录媒体套餐,103人,1人,¥1288,圆满完成
【软文发布】包收录媒体套餐,97人,1人,¥1288,圆满完成
【软文发布】包收录媒体套餐,244人,1人,¥4890,圆满完成
【软文发布】包收录媒体套餐,227人,1人,¥9897,圆满完成
【软文发布】十大门户套餐,109人,1人,¥880,圆满完成
【产品卖点】产品文案,616人,1人,¥10000,圆满完成
【宣传策划】app宣传,413人,1人,¥8000,圆满完成
【宣传策划】新品宣传,414人,1人,¥23000,圆满完成
【项目策划】哟购方案策划,531人,1人,¥25900,圆满完成
【宣传策划】文案策划,361人,1人,¥400,圆满完成
【产品卖点】建材产品文案编写,689人,1人,¥19000,圆满完成
【广告策划】详情页面制作策划,633人,1人,¥1200,圆满完成
【产品卖点】产品亮点提炼,567人,1人,¥5000,圆满完成
【宣传策划】宣传文案,558人,1人,¥20000,圆满完成
【公司起名】大桶水公司起名,3240人,1人,¥5500,圆满完成
【商业提案】按照模板来编写项目申报书,523人,1人,¥650,圆满完成
【品牌故事】品牌故事,411人,1人,¥5000,圆满完成
【宣传策划】宣传文案,452人,1人,¥31000,圆满完成
【广告策划】广告策划,415人,1人,¥30000,圆满完成
【宣传策划】品牌宣传视频,478人,1人,¥5000,圆满完成
【商业提案】商业计划书,593人,1人,¥7200,圆满完成
【商业提案】商业计划书,514人,1人,¥3000,圆满完成
【产品卖点】酷蜜起泡酒文案设计,820人,1人,¥500,圆满完成
【宣传策划】鱼谷洞乡,514人,1人,¥20000,圆满完成
【品牌故事】品牌塑造,470人,1人,¥7200,圆满完成
【商业提案】商业计划书,504人,1人,¥6000,圆满完成
【宣传策划】律师协会公众号文案包月（12月）,550人,1人,¥9000,圆满完成
【宣传策划】律师协会公众号文案包月（11月）,529人,1人,¥9000,圆满完成
【宣传策划】律师协会公众号文案包月（10月）,439人,1人,¥9000,圆满完成
,,,,
【宣传策划】律师协会公众号文案包月（10月）,557人,1人,¥9000,圆满完成
【宣传策划】九周橱柜公众号运营（预付款）,325人,1人,¥8000,圆满完成
【宣传策划】九周橱柜公众号运营（预付款）,373人,1人,¥8000,圆满完成
【宣传策划】九周橱柜公众号运营（定金）,320人,1人,¥6800,圆满完成
【宣传策划】章鱼摆摆,382人,1人,¥20000,圆满完成
【宣传策划】商业计划书,358人,1人,¥6000,圆满完成
【商业提案】logo设计企业公司品牌图文标志商标图标LOGO,499人,1人,¥2000,圆满完成
【商业提案】logo设计企业公司品牌图文标志商标图标LOGO,621人,1人,¥2000,圆满完成
【商业提案】包装设计、产品包装设计,562人,1人,¥2000,圆满完成
【商业提案】商业计划书可行性研究报告融资计划书创业计划书商业策划,560人,1人,¥4000,圆满完成
【宣传策划】章鱼摆摆,377人,1人,¥20000,圆满完成
【宣传策划】商业计划书,331人,1人,¥6000,圆满完成
【宣传策划】鱼骨董香,386人,1人,¥20000,圆满完成
【宣传策划】已经与贵公司达成的酒店文化宣传合作定价,556人,1人,¥9000,圆满完成
【宣传策划】商业计划书,548人,1人,¥4500,圆满完成
【宣传策划】帮我出一道关于大酒店的宣传词,462人,1人,¥1000,圆满完成
【商业提案】招商计划书,650人,1人,¥5000,圆满完成
【宣传策划】企业百科创建,416人,1人,¥4300,圆满完成
【宣传策划】鱼谷洞乡,557人,1人,¥20000,圆满完成
【专业代笔】代写淘宝WMS奇门接口申请文档,777人,1人,¥1000,圆满完成
【商业提案】商业计划书,593人,1人,¥3000,圆满完成
【宣传策划】鱼谷洞乡,415人,1人,¥20000,圆满完成
【商业提案】涂料新厂-可行性研究报告制作,579人,1人,¥3000,圆满完成
【产品卖点】设计产品宣传文案和单页,724人,1人,¥40000,圆满完成
【宣传策划】舞蹈演出宣传,378人,1人,¥33000,圆满完成
【宣传策划】商业计划书,457人,1人,¥3000,圆满完成
【宣传策划】活动策划,355人,1人,¥3600,圆满完成
【宣传策划】商业计划书,365人,1人,¥3900,圆满完成
【宣传策划】活动策划,364人,1人,¥2800,圆满完成
【宣传策划】章鱼摆摆,551人,1人,¥18000,圆满完成
,,,,
【宣传策划】章鱼摆摆,632人,1人,¥2000,圆满完成
【宣传策划】商业计划书,465人,1人,¥3000,圆满完成
【宣传策划】章鱼摆摆zhw,438人,1人,¥20000,圆满完成
【商业提案】奇门接口线下ERP的系统说明书撰写,572人,1人,¥500,圆满完成
【产品卖点】宣传文案,864人,1人,¥800,圆满完成
【宣传策划】公司活动宣传,464人,1人,¥16700,圆满完成
【商业提案】商业计划书,554人,1人,¥31100,圆满完成
【宣传策划】章鱼摆摆zhw,505人,1人,¥20000,圆满完成
【宣传策划】商业计划书,650人,1人,¥3000,圆满完成
【营销推广软文】银行APP营销软文,609人,1人,¥5000,圆满完成
【品牌起名】品牌取名—主题民宿,1572人,1人,¥5000,圆满完成
【品牌起名】品牌取名—微商城,936人,1人,¥5000,圆满完成
【项目策划】商业计划书—ppt形式,716人,1人,¥5000,圆满完成
【宣传策划】商业计划书,287人,1人,¥6800,圆满完成
【商业提案】商业计划书,556人,1人,¥6500,圆满完成
【宣传策划】微信代运营,460人,1人,¥4500,圆满完成
【宣传策划】可行性报告,457人,1人,¥3000,圆满完成
【宣传策划】商业计划书,307人,1人,¥6800,圆满完成
【宣传策划】微信代运营,270人,1人,¥3500,圆满完成
【宣传策划】商业计划书,263人,1人,¥6800,圆满完成
【宣传策划】可行性报告,266人,1人,¥4800,圆满完成
【宣传策划】品牌全案,360人,1人,¥4200,圆满完成
【宣传策划】微信代运营,244人,1人,¥3800,圆满完成
【宣传策划】商业计划书,262人,1人,¥6800,圆满完成
【宣传策划】活动策划,380人,1人,¥3000,圆满完成
【宣传策划】商业计划书,276人,1人,¥6800,圆满完成
【宣传策划】商业计划书,266人,1人,¥3800,圆满完成
【宣传策划】商业计划书,254人,1人,¥6800,圆满完成
【宣传策划】活动执行方案,278人,1人,¥3000,圆满完成
【宣传策划】商业计划书,260人,1人,¥6800,圆满完成
,,,,
【宣传策划】商业计划书,230人,1人,¥6800,圆满完成
【宣传策划】微信代运营,547人,1人,¥3200,圆满完成
【宣传策划】sd,481人,1人,¥10000,圆满完成
【宣传策划】活动策划,356人,1人,¥1800,圆满完成
【宣传策划】商业计划书,230人,1人,¥2300,圆满完成
【宣传策划】商业计划书,286人,1人,¥3800,圆满完成
【宣传策划】newsprak,489人,1人,¥10000,圆满完成
【宣传策划】活动策划,292人,1人,¥2300,圆满完成
【宣传策划】商业计划书,256人,1人,¥4200,圆满完成
【宣传策划】商业计划书,303人,1人,¥4600,圆满完成
【宣传策划】活动策划,262人,1人,¥2300,圆满完成
【宣传策划】商业计划书,262人,1人,¥3300,圆满完成
【品牌起名】美睫产品起名,556人,1人,¥650,圆满完成
【宣传策划】代写经验事迹材料领导发言稿,487人,1人,¥2100,圆满完成
【宣传策划】商业计划书,291人,1人,¥6800,圆满完成
【产品卖点】我有一个软件产品，想要写一个产品介绍ppt，用于在售前给,967人,1人,¥1000,圆满完成
【宣传策划】专业代写高大上企业形象宣传片解说词,522人,1人,¥3000,圆满完成
【宣传策划】代写颁奖词40字,605人,1人,¥50,圆满完成
【宣传策划】商业计划书,244人,1人,¥5700,圆满完成
【宣传策划】商业计划书,309人,1人,¥4300,圆满完成
【宣传策划】活动策划,413人,1人,¥2300,圆满完成
【宣传策划】微信代运营,266人,1人,¥3000,圆满完成
【宣传策划】商业计划书,279人,1人,¥3000,圆满完成
【宣传策划】品牌全案,249人,1人,¥5900,圆满完成
【宣传策划】商业计划书,355人,1人,¥4200,圆满完成
【宣传策划】品牌全案,255人,1人,¥2500,圆满完成
【宣传策划】活动策划,335人,1人,¥2300,圆满完成
【宣传策划】微信代运营,278人,1人,¥3500,圆满完成
【宣传策划】商业计划书,266人,1人,¥4200,圆满完成
【宣传策划】活动策划,255人,1人,¥2300,圆满完成
,,,,
【宣传策划】商业计划书,252人,1人,¥4300,圆满完成
【宣传策划】活动策划,264人,1人,¥2300,圆满完成
【宣传策划】品牌全案,288人,1人,¥3500,圆满完成
【宣传策划】商业计划书,313人,1人,¥4300,圆满完成
【软文发布】软文发布第二期,432人,1人,¥37000,圆满完成
【软文发布】软文发布第二期,700人,1人,¥50000,圆满完成
【宣传策划】活动策划,320人,1人,¥2300,圆满完成
【宣传策划】商业计划书,295人,1人,¥3000,圆满完成
【宣传策划】品牌全案,275人,1人,¥4200,圆满完成
【宣传策划】微信代运营,286人,1人,¥3500,圆满完成
【宣传策划】活动策划,261人,1人,¥2300,圆满完成
【宣传策划】商业计划书,254人,1人,¥4000,圆满完成
【软文发布】软文发布第二期,253人,1人,¥9998,圆满完成
【宣传策划】活动策划,264人,1人,¥2300,圆满完成
【宣传策划】品牌全案,284人,1人,¥3500,圆满完成
【宣传策划】微信代运营,301人,1人,¥2500,圆满完成
【宣传策划】商业计划书,306人,1人,¥4300,圆满完成
【宣传策划】公司宣传简介,384人,1人,¥150,圆满完成
【宣传策划】活动策划,309人,1人,¥1600,圆满完成
【宣传策划】品牌文化,281人,1人,¥2400,圆满完成
【宣传策划】活动策划,253人,1人,¥2300,圆满完成
【宣传策划】商业计划书,226人,1人,¥4300,圆满完成
【宣传策划】活动策划,222人,1人,¥2300,圆满完成
【宣传策划】商业计划书,200人,1人,¥4300,圆满完成
【宣传策划】活动策划,136人,1人,¥3200,圆满完成
【宣传策划】商业计划书,127人,1人,¥3500,圆满完成
【宣传策划】SD项目,484人,1人,¥20000,圆满完成
【品牌故事】农产品品牌故事,868人,1人,¥5000,圆满完成
【宣传策划】商业计划书,120人,1人,¥3300,圆满完成
【宣传策划】商业计划书路,259人,1人,¥5500,圆满完成
,,,,
【宣传策划】活动策划执行案,172人,1人,¥3500,圆满完成
【宣传策划】商业计划书,95人,1人,¥3300,圆满完成
【宣传策划】商业计划书,135人,1人,¥3200,圆满完成
【宣传策划】活动策划,119人,1人,¥2200,圆满完成
【宣传策划】商业计划书,117人,1人,¥4300,圆满完成
【品牌故事】品牌塑造全网整合营销传播,977人,1人,¥12000,圆满完成
【宣传策划】商业计划书,356人,1人,¥6300,圆满完成
【产品卖点】品牌全案品牌故事品牌策划方案公司简介产品广告语撰写微信招商文案公众号,867人,1人,¥400,圆满完成
【宣传策划】商业计划书,159人,1人,¥4200,圆满完成
【宣传策划】商业计划书,112人,1人,¥3800,圆满完成
【产品卖点】土味零食开箱评测,941人,1人,¥500,圆满完成
【宣传策划】活动策划,129人,1人,¥2400,圆满完成
【宣传策划】商业计划书,100人,1人,¥3200,圆满完成
【宣传策划】品牌全案,93人,1人,¥4500,圆满完成
【宣传策划】全网整合营销,107人,1人,¥4800,圆满完成
【宣传策划】活动策划,204人,1人,¥1800,圆满完成
【宣传策划】商业计划书,90人,1人,¥3300,圆满完成
【宣传策划】活动策划,101人,1人,¥2300,圆满完成
【软文发布】营销软文发布,648人,1人,¥50000,圆满完成
【专业代笔】学术服务//论文写作+期刊发表+开题报告 / 包修到过,645人,1人,¥1280,圆满完成
【宣传策划】微信公众号,127人,1人,¥2900,圆满完成
【宣传策划】商业计划书,136人,1人,¥4200,圆满完成
【宣传策划】商业计划书,88人,1人,¥3600,圆满完成
【营销推广软文】软文写作,795人,1人,¥1700,圆满完成
【商业提案】商业计划书,630人,1人,¥34750,圆满完成
【宣传策划】活动策划,255人,1人,¥1600,圆满完成
【宣传策划】商业计划书,129人,1人,¥4200,圆满完成
【宣传策划】商业计划书,130人,1人,¥3700,圆满完成
【宣传策划】商业计划书,90人,1人,¥4200,圆满完成
【宣传策划】商业计划书,93人,1人,¥3500,圆满完成
,,,,
【宣传策划】活动策划,111人,1人,¥1300,圆满完成
【宣传策划】商业计划书,99人,1人,¥3200,圆满完成
【宣传策划】活动策划,137人,1人,¥2100,圆满完成
【商业提案】全网整合营销,840人,1人,¥3200,圆满完成
【商业提案】品牌全案,426人,1人,¥2800,圆满完成
【商业提案】商业计划书,537人,1人,¥3600,圆满完成
【商业提案】BP招商创业融资计划书路演PPT,1032人,1人,¥2700,圆满完成
【宣传策划】活动策划,106人,1人,¥1600,圆满完成
【宣传策划】品牌全案,145人,1人,¥2400,圆满完成
【宣传策划】宣传软文撰写,366人,1人,¥1200,圆满完成
【宣传策划】活动策划,289人,1人,¥1200,圆满完成
【宣传策划】活动策划,167人,1人,¥1500,圆满完成
【宣传策划】商业计划书,130人,1人,¥2300,圆满完成
【宣传策划】商业计划书,137人,1人,¥3300,圆满完成
【宣传策划】活动策划,136人,1人,¥1800,圆满完成
【宣传策划】商业计划书,111人,1人,¥3300,圆满完成
【宣传策划】品牌全案,153人,1人,¥2700,圆满完成
【宣传策划】商业计划书,148人,1人,¥3800,圆满完成
【宣传策划】商业计划书,154人,1人,¥3300,圆满完成
【宣传策划】商业计划书,102人,1人,¥4300,圆满完成
【宣传策划】活动策划,154人,1人,¥2200,圆满完成
【宣传策划】商业计划书,142人,1人,¥2300,圆满完成
【宣传策划】活动策划,160人,1人,¥2000,圆满完成
【宣传策划】商业计划书,114人,1人,¥4700,圆满完成
【宣传策划】活动策划案,151人,1人,¥4300,圆满完成
【宣传策划】商业计划书,268人,1人,¥6500,圆满完成
【专业代笔】代写,569人,1人,¥100,圆满完成
【营销推广软文】订阅号代运营,464人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,523人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,488人,1人,¥100,圆满完成
,,,,
【营销推广软文】文章写作,562人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,561人,1人,¥100,圆满完成
【产品卖点】朋友圈文案写作,637人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,450人,1人,¥100,圆满完成
【营销推广软文】宣传文案写作,516人,1人,¥100,圆满完成
【营销推广软文】订阅号代运营,538人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,482人,1人,¥100,圆满完成
【营销推广软文】宣传文案写作,384人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,299人,1人,¥100,圆满完成
【产品卖点】朋友圈文案写作,555人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,289人,1人,¥100,圆满完成
【营销推广软文】宣传文案写作,319人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,311人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,289人,1人,¥100,圆满完成
【宣传策划】活动策划,89人,1人,¥3700,圆满完成
【宣传策划】商业计划书,253人,1人,¥7300,圆满完成
【宣传策划】商业计划书,258人,1人,¥5300,圆满完成
【产品卖点】朋友圈文案写作,414人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,302人,1人,¥100,圆满完成
【产品卖点】详情页文案写作,368人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,353人,1人,¥100,圆满完成
【营销推广软文】宣传文案写作,245人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,271人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,234人,1人,¥100,圆满完成
【宣传策划】活动策划,74人,1人,¥1000,圆满完成
【宣传策划】商业计划书,250人,1人,¥5300,圆满完成
【营销推广软文】宣传文案写作,287人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,326人,1人,¥100,圆满完成
【产品卖点】朋友圈文案写作,374人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,261人,1人,¥100,圆满完成
,,,,
【营销推广软文】软文写作,258人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,258人,1人,¥100,圆满完成
【营销推广软文】微信推文写作,353人,1人,¥100,圆满完成
【宣传策划】全网整合营销,289人,1人,¥12800,圆满完成
【宣传策划】年会文案整体策划,142人,1人,¥3900,圆满完成
【宣传策划】年会活动策划,139人,1人,¥4300,圆满完成
【宣传策划】商业计划书,243人,1人,¥6300,圆满完成
【产品卖点】朋友圈文案写作,408人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,308人,1人,¥100,圆满完成
【营销推广软文】宣传文案写作,352人,1人,¥100,圆满完成
【营销推广软文】微信推文写作,285人,1人,¥100,圆满完成
【营销推广软文】营销软文写作,343人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,268人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,241人,1人,¥100,圆满完成
【产品卖点】朋友圈文案写作,401人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,304人,1人,¥100,圆满完成
【营销推广软文】宣传文案写作,320人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,219人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,243人,1人,¥100,圆满完成
【营销推广软文】营销软文写作,358人,1人,¥100,圆满完成
【营销推广软文】微信推文写作,383人,1人,¥100,圆满完成
【广告策划】宣传文案写作,825人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,244人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,239人,1人,¥100,圆满完成
【宣传策划】活动策划案,121人,1人,¥2500,圆满完成
【宣传策划】商业计划书,256人,1人,¥5300,圆满完成
【广告策划】营销软文写作,665人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,317人,1人,¥100,圆满完成
【营销推广软文】广告语写作,295人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,288人,1人,¥100,圆满完成
,,,,
【宣传策划】活动策划案,287人,1人,¥4100,圆满完成
【宣传策划】商业计划书,179人,1人,¥5300,圆满完成
【宣传策划】活动策划案,108人,1人,¥3200,圆满完成
【宣传策划】商业计划书,81人,1人,¥8500,圆满完成
【营销推广软文】宣传文案写作,325人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,293人,1人,¥100,圆满完成
【营销推广软文】广告语写作,384人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,278人,1人,¥100,圆满完成
【营销推广软文】品牌故事写作,282人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,398人,1人,¥100,圆满完成
【营销推广软文】广告语写作,305人,1人,¥100,圆满完成
【营销推广软文】微信推文写作,351人,1人,¥100,圆满完成
【宣传策划】商业计划书,113人,1人,¥4300,圆满完成
【营销推广软文】广告文案写作,485人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,237人,1人,¥100,圆满完成
【营销推广软文】宣传文案写作,358人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,256人,1人,¥100,圆满完成
【宣传策划】商业计划书,114人,1人,¥5300,圆满完成
【营销推广软文】知乎文章写作,349人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,280人,1人,¥100,圆满完成
【营销推广软文】品牌故事,265人,1人,¥100,圆满完成
【营销推广软文】微信推文写作,283人,1人,¥100,圆满完成
【宣传策划】活动策划,112人,1人,¥2500,圆满完成
【营销推广软文】广告语写作,361人,1人,¥100,圆满完成
【营销推广软文】微信推文写作,371人,1人,¥100,圆满完成
【营销推广软文】宣传文案写作,408人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,245人,1人,¥100,圆满完成
【宣传策划】年会活动策划,109人,1人,¥3300,圆满完成
【宣传策划】商业计划书,144人,1人,¥3500,圆满完成
【营销推广软文】宣传文案写作,412人,1人,¥100,圆满完成
,,,,
【营销推广软文】微信推文写作,276人,1人,¥100,圆满完成
【营销推广软文】广告语,262人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,275人,1人,¥100,圆满完成
【营销推广软文】品牌故事写作,269人,1人,¥100,圆满完成
【营销推广软文】订阅号代运营,264人,1人,¥100,圆满完成
【营销推广软文】营销软文写作,285人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,267人,1人,¥100,圆满完成
【软文发布】游戏网站开发第三期,262人,1人,¥18000,圆满完成
【软文发布】软文发布,404人,1人,¥35000,圆满完成
【宣传策划】商业计划书,103人,1人,¥4300,圆满完成
【宣传策划】全网整合营销,100人,1人,¥4800,圆满完成
【宣传策划】圣诞活动策划,90人,1人,¥2800,圆满完成
【营销推广软文】营销文案,426人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,257人,1人,¥100,圆满完成
【营销推广软文】广告语写作,249人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,425人,1人,¥100,圆满完成
【营销推广软文】广告语写作,297人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,271人,1人,¥100,圆满完成
【营销推广软文】品牌故事写作,246人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,242人,1人,¥100,圆满完成
【营销推广软文】广告语,263人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,266人,1人,¥100,圆满完成
【营销推广软文】宣传语,253人,1人,¥100,圆满完成
【营销推广软文】微信推文写作,259人,1人,¥100,圆满完成
【宣传策划】商业计划书,128人,1人,¥2700,圆满完成
【宣传策划】全网整合营销,130人,1人,¥3200,圆满完成
【宣传策划】品牌全案,114人,1人,¥4500,圆满完成
【宣传策划】全网整合营销,126人,1人,¥3800,圆满完成
【宣传策划】活动策划,90人,1人,¥3300,圆满完成
【营销推广软文】营销软文写作,247人,1人,¥100,圆满完成
,,,,
【营销推广软文】公众号代运营,431人,1人,¥100,圆满完成
【营销推广软文】营销软文写作,340人,1人,¥100,圆满完成
【营销推广软文】公众号代运营,257人,1人,¥100,圆满完成
【营销推广软文】广告语,262人,1人,¥200,圆满完成
【营销推广软文】公众号代运营,239人,1人,¥800,圆满完成
【营销推广软文】宣传文案撰写,245人,1人,¥400,圆满完成
