标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【品牌起名】夏凉被棉名字征集,https://task.epwk.com/488813/,4121人,137人,¥100,圆满完成,单人悬赏,mf152****5180,我需要1个名子注册商标。我是做夏凉被的，里面装的棉是纯天然植物的学名再生纤维素纤维。我想给这棉起一个名字。,2017.04.02,2017.04.28,任务编号：488813,,,,潮落潮起的商铺,https://shop.epwk.com/09drj38oq53w/,潮落潮起的商铺,出售服务,https://shop.epwk.com/09drj38oq53w/chushou/,个人,四品,37分,,,潮落潮起的商铺,,,,,,,,,,,,,,,,,,,
【品牌起名】智能APP取名,https://task.epwk.com/488906/,4745人,157人,¥100,圆满完成,单人悬赏,o586226bf90ee0,这款APP是基于大数据+ai为基础的综合服务平台，所以非常智能化比如你一打开app，大数据就能计算出你想要的是什么，给你定制化推送，从而起到智能作用类似于大众点评，里面有商城和餐饮、酒店等等的，但是需要创新的名称名字一定要新颖，体现出智能化管家服务,2017.04.02,2017.05.21,任务编号：488906,,,,断肠人在天涯,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】电商贸易公司起名,https://task.epwk.com/488884/,7634人,155人,¥150,圆满完成,单人悬赏,Qd滴水藏海,1.简介： 因为跟朋友打算开网店去做外贸，所以需要起一个公司名字。2.主营业务： 会开成几个电商店，主营业务有手机壳类配件、服饰类等。3.要求： 名字可以以动物、历史典故、古诗词等，各位可以适当发挥，主要是有寓意，简单容易记！（PS:假如能以qd这两个字母开头组成的词为佳。）,2017.04.02,2018.03.26,任务编号：488884,,,,明尼苏达猪工作室,https://shop.epwk.com/81n41164onp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】电脑公司取名,https://task.epwk.com/488866/,2977人,132人,¥100,圆满完成,单人悬赏,k2618****09,电脑公司取名，二个字的，最好带有五行属金的，要求能注册，,2017.04.02,2018.01.22,任务编号：488866,,,,百解,https://shop.epwk.com/0jnek0089nv3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】汽水品牌起名,https://task.epwk.com/488863/,5350人,178人,¥100,圆满完成,单人悬赏,mf153****4321,要求符合年轻人互联网思维创新可注册商标32类和35类.,2017.04.02,2017.06.11,任务编号：488863,,,,xdfswyyg,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】网店广告语征集,https://task.epwk.com/488763/,5821人,131人,¥100,圆满完成,单人悬赏,mf188****7222,店名：艾米（Amy）甜心水果捞。经营品类：水果捞，水果鲜切主要客户：在校大学生要求： 简单好记，吸引人。,2017.04.01,2017.05.21,任务编号：488763,,,,明尼苏达猪工作室,https://shop.epwk.com/81n41164onp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】国际美容机构起名征集,https://task.epwk.com/488700/,3051人,103人,¥200,圆满完成,单人悬赏,mf138****0345,国际美容机构起名，英文名JCK-beauty,2017.04.01,2017.12.25,任务编号：488700,,,,创享新奇室,https://shop.epwk.com/9w56ee0vwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】文艺家居饰品店取名和广告语征集,https://task.epwk.com/488486/,4566人,109人,¥500,圆满完成,单人悬赏,o58db88a7e9868,"家居饰品店取名（中英文）+广告语一、具体要求:1、品牌调性：文艺范、日系美物、生活美学、用心生活、诗意栖居。2、经营范围：餐具、茶具、花束、花瓶、摆件、桌布、地垫、棉袜、钟表、梳、文具、发饰、银饰3、目标消费人群：年龄在18岁—40岁，追求小资、品质生活，喜欢文艺范、小清新，享受生活情趣的消费人群。4、名字最好取自于古诗词，最好为2字或3字。5､名称要有中英文搭配（英文名字不一定需要是现有的单词，也可以自己造词，只要和中文名字对应即可），同时附加广告语，取名最好要有相应的命名解释及故事延展。必须可以注册商标。二、知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.31,2017.05.29,任务编号：488486,,,,尚思维雅工作室,https://shop.epwk.com/z2nkzz762nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】鑫诚康健释义,https://task.epwk.com/488477/,2781人,26人,¥100,圆满完成,单人悬赏,o58de58c2480b3,公司经营健康食品和医护用品，请对鑫诚或是鑫诚康健释义（比如鑫...诚...）。要求：有内涵，容易记，符合行业行色。,2017.03.31,2017.04.17,任务编号：488477,,,,vivid悦968,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】连锁面店起名,https://task.epwk.com/488471/,2801人,127人,¥120,圆满完成,单人悬赏,o58de03f330603,地点在厦门，人均消费10-15元，品牌起名可以延伸一个典故之类的，有采用，loge及分支品牌继续合作,2017.03.31,2017.05.26,任务编号：488471,,,,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】化妆品商标英文取名征集,https://task.epwk.com/488442/,3029人,56人,¥200,圆满完成,单人悬赏,mf137****7383,取化妆品商标英文名，已有中文商标（美容产品）1  、企业所属化妆品行业：目前主要经营美容专业线产品2、商标的中文名：黛妃妮（3类，已经注册，要求取个英文名字）3、英文名要求能注册4 所设计的作品必须为原创，未在国家商标局注册过（中国商标网查询地址http://sbcx.saic.gov.cn/trade/，不侵犯他人著作权，如有侵犯他人著作权的由设计者承担所有法律责任。,2017.03.31,2017.07.13,任务编号：488442,,,,xdfswyyg,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】高端童装品牌取名征集,https://task.epwk.com/488281/,2143人,89人,¥100,圆满完成,单人悬赏,o58dde3e9bfe94,高端童装品牌，以针织毛衫为主，产品以 舒适，健康，环保，时尚 四个元素为理念。  要求：                1、名称响亮，易记，能吸引醒目                2、名字：2-4个字之内，并可注册商标            3、附上创意说明,2017.03.31,2017.04.24,任务编号：488281,,,,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】休闲熟食品牌取名,https://task.epwk.com/488184/,2088人,94人,¥100,圆满完成,单人悬赏,mf156****1573,产品涉及范围：休闲熟食，休闲零食，属于卤菜系列的。取名要求：简洁、易记，名称定位年轻人，时尚、具有活力；能够注册商标；附上名称的创意说明；,2017.03.31,2017.11.24,任务编号：488184,,,,见证奇迹,https://shop.epwk.com/2j5jjm1k75pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】儿童影楼商标名字征集,https://task.epwk.com/488092/,3260人,124人,¥100,圆满完成,单人悬赏,o58dcbbd5bc1d9,1.要求朗朗上口，好记，好听2.可以接受英文名3.重点是要能商标注册的,2017.03.30,2017.06.18,任务编号：488092,,,,远望镜界,https://shop.epwk.com/2j5jj2qrk5pz/,远望镜界,出售服务,https://shop.epwk.com/2j5jj2qrk5pz/chushou/,个人,七品,36分,,,远望镜界,,,,,,,,,,,,,,,,,,,
【公司起名】广告公司起名征集,https://task.epwk.com/488074/,3712人,122人,¥100,圆满完成,单人悬赏,旭日东升VIP,具体要求请见附件！谢谢,2017.03.30,2017.04.24,任务编号：488074,,,,疯狂的小象.起名+logo+商标注册,https://shop.epwk.com/7lngq0zzrdmr/,疯狂的小象.起名+logo+商标注册,出售服务,https://shop.epwk.com/7lngq0zzrdmr/chushou/,个人,九品,37分,,,疯狂的小象.起名+logo+商标注册,,,,,,,,,,,,,,,,,,,
【公司起名】陕西办公家具企业起名征集,https://task.epwk.com/488008/,3013人,120人,¥300,圆满完成,单人悬赏,o58dc9ee50a2d1,陕西办公家具企业起名，企业专业做办公、酒店、教学、民用家具的生产和销售20多年历史，产品出口40多个国家和地区。现在企业准备再打造一个新的品牌进行推广，征集为新的品牌起名。,2017.03.30,2017.06.20,任务编号：488008,,,,石枯沙老,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】烘焙公司名称征集,https://task.epwk.com/488013/,2352人,114人,¥200,圆满完成,单人悬赏,k8559****66,"烘焙公司名称征集，经营介绍： 主营蛋糕烘焙，后续有可能会有糖果出售。要求：1、字数最好是控制在2-3字2、最好能有带点卡通的感觉，后续要设计卡通形象logo3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.30,2020.05.31,任务编号：488013,,,,o58d104c9b088f,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】租赁房屋公司起名,https://task.epwk.com/487929/,2524人,73人,¥100,圆满完成,单人悬赏,凌翌品牌设计,"主营是年轻人租赁房屋的，公寓式管理，类似房管家的概念，希望品牌名称新颖，有创意，需要注册！                    产品主要三类：                                            1、是专注为年轻商务一族打造。                            2、是快捷方便的租赁模式                            要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.30,2017.04.17,任务编号：487929,,,,xdfswyyg,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】饮品店命名,https://task.epwk.com/487828/,3870人,101人,¥150,圆满完成,单人悬赏,o5857****c1e8a,一家开在写字楼一楼大厅里的饮品店，主要饮品是果茶，同时也卖咖咖啡奶茶及甜品。主要客户群是白领阶层，女性偏多。希望以英文命名，中文作为辅助。比如：星巴克。请参考附件命名。特别是 gaga鲜语，Yomi+ .要求：1.简单易记，利于传播；2.时尚大气，有个性； 3.能通过商标注册；4.意思要积极正面； 5.截稿时间：3月30日 18:00,2017.03.29,2017.04.21,任务编号：487828,,,,岁月成谶,https://shop.epwk.com/j7n383o125e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】服装品牌取名,https://task.epwk.com/487589/,5337人,163人,¥336,圆满完成,单人悬赏,mf185****2288,商标起名可注册一、名字在2-3字二、名字偏韩范些、可注册25类服装,2017.03.29,2017.10.22,任务编号：487589,,,,明尼苏达猪工作室,https://shop.epwk.com/81n41164onp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】机械公司品牌起名,https://task.epwk.com/487586/,2818人,65人,¥200,圆满完成,单人悬赏,十点就睡,"机械公司品牌起名  《铝工业设备》            机械制造公司名称征集，本公司位于安徽                            经营介绍：各类雕刻机、刻字机制造商。  智能家具设备制造商                    现有两家公司                                    1、合肥卡星数控设备有限公司                                                                            ☆ ☆ ☆ ☆可以查看附件 ☆ ☆ ☆                            2、安徽金田加贝智能设备有限公司现在 金田加贝 旗下 打算开展《铝工业设备》的品牌   故此 求名                            要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、有音译效果 例如MultiCam—麦迪克、PARKER—派克4、要洋气一点的。让人感觉 像 国外品牌                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.29,2017.06.13,任务编号：487586,,,,月雾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】公司起名、品牌起名、网站域名,https://task.epwk.com/487368/,3351人,72人,¥400,圆满完成,单人悬赏,o58d9ea626b2df,公司主营业务：销售水果、蔬菜、干果、杂粮等农产品、肉蛋奶、以及其他的食品类，以销售为主；需求：1、公司名称、品牌名称、公司网站的域名（要求不带数字、域名选.com后缀），一共三项，请投稿时写全；            2、名称里不要体现农产品、食品等相关的字眼，方便后期的业务拓展，如：汇源、娃哈哈这样的名称；            3、品牌名称最好2个字，最多不超过3个字，最好与公司名称关联；           4、名称和域名要求没有被占用，需要提供查询截图。,2017.03.28,2017.04.19,任务编号：487368,,,,o58d0ffd506af3,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】服饰品牌起名,https://task.epwk.com/486603/,2857人,66人,¥100,圆满完成,单人悬赏,flytoski9394,服饰品牌名：都市时尚服装原创轻奢品牌，小资定位，20-35岁消费人群，产品线以女装为主，男装为辅要求：1、品牌名要创意、大气、顺口，中文2-4字，有英文（法文）更佳；2、做全国连锁，名字要有范，不俗气，不含生僻字；3、也可以英文入手，取一个含义不错的英文（法文）名，音译成中文；4、要求所取名字未被注册过25类（服装）商标；5、对名字意涵做简介说明；6、有logo设计，入选几率更高；,2017.03.25,2017.04.24,任务编号：486603,,,,疯狂的小象.起名+logo+商标注册,https://shop.epwk.com/7lngq0zzrdmr/,疯狂的小象.起名+logo+商标注册,出售服务,https://shop.epwk.com/7lngq0zzrdmr/chushou/,个人,九品,37分,,,疯狂的小象.起名+logo+商标注册,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】网站起名字,https://task.epwk.com/487221/,2969人,85人,¥300,圆满完成,单人悬赏,快传同城,"网站起名字，可注册，主要有微信、微博、网红、公众号、Q等新媒体类第三方平台要求：1、名字4个字之内，不能超过4个字。2、要有创意、好记。3、必须能注册商标使用。4、35类知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.28,2017.04.09,任务编号：487221,,,,万思新的商铺,https://shop.epwk.com/09drjxwl153w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】女装店商标取名,https://task.epwk.com/487297/,3182人,84人,¥100,圆满完成,单人悬赏,o58d9cd812ff38,"我是女装店，时装.英文名，越短越好，好记，容易上口，因为并不是每个人都认识英文单词，英文字母基本都认识，你像HM，别人问你在哪买的衣服，回答hm，如果搞个长的英文单词，人家也不认识，读不出口。如果能有中文直译最好，没有就算。比如：moods 中文名 魔斗士1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.28,2017.04.16,任务编号：487297,,,,见证奇迹,https://shop.epwk.com/2j5jjm1k75pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】低卡吃不胖的休闲食品的品牌取名,https://task.epwk.com/487004/,5437人,189人,¥500,圆满完成,单人悬赏,mf138****8642,一、产品是一款低卡吃不胖的休闲食品，目标人群90后女生。 二、名称要求：“XX菇凉” 1、符合该品牌人格化的个性特征：单纯、温暖、爱美、小傲娇。 2、名字要好记，容易传播。 3、商标能注册。,2017.03.27,2017.04.24,任务编号：487004,,,,无双51——品牌服务直通车,https://shop.epwk.com/7lngq0m63dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】企业品牌取名,https://task.epwk.com/486971/,7583人,232人,¥300,圆满完成,单人悬赏,mf186****3289,产品涉及范围：调味料系列，增鲜、増香产品；鸡精、鸡粉；复合调味料取名要求：简洁、易记符合调味品行业定位；能够注册商标；附上名称的创意说明；主要用在包装袋和标签上，有助于后期的logo设计和包装设计,2017.03.27,2017.04.24,任务编号：486971,,,,六点图文部,https://shop.epwk.com/4rn8qz8owngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】互联网科技公司取名,https://task.epwk.com/486849/,4610人,111人,¥100,圆满完成,单人悬赏,o58d733fc6e05b,互联网科技公司 取名，公司性质和百度、腾讯、阿里巴巴一样，提供各种互联网综合服务1、需要大家帮忙取一个独特的名称，XXX互联网科技有限公司。限定词汇【二进制、八进制、进制、线程、字节、字符、比特，有其他创意也可以提出，但必须包含以限定词为元素的名称】，名字的字数不太长不太短（2-6字，2-4为妙）就可以，关键是要效果。2、参考实例“邪恶八进制（黑客网站，我们不需要邪恶，我们要正能量一点的，主要是科技感+时尚感一点的，快乐一点的，还要有一点神秘感（比如特斯拉的电动车，还有spacex是太空公司，要的那种神秘感），我们选择的这些都是本身都是具有神秘感的计算机词汇了）”，再比如实例“字节跳动科技有限公司”（我们要的感觉就是这样的，科技+一个特殊的名词，表达不一样感觉，达到我们所要的效果）。还有比如新浪（一种比较体现互联网新潮的感觉）（搜狐，一种特别和神秘感，又不失互联网的感觉）2、该公司主要从事的就是互联网产品的开发，互联网业务，就跟百度、腾讯、阿里巴巴、新浪、搜狐是一个性质的，还有“今日头条”这样的公司一样的性质，做互联网相关的服务、app、网站等，自己开发网站也会外包给别人做。未来大多是针对年轻的80、90、00后年轻的用户、所以要的感觉是科技感、互联网感觉、他们都比较年轻，比较时髦、新鲜。3、所以汉字组合，要考虑到谐音、同音、相似音的问题，不能谐音一些不好的事物。4、汉字所带的拼音，不要含有需要区分前后鼻音的，比如ying和yin，不要带有lv（绿），yu（鱼）这样会和yi（一）和li（丽）混淆的读音，需要在输入法输入后很容易出现的读起来不会混淆的，比如xixiabei，xi就是xi，xia就是xia，bei就是bei，不会需要考虑这个拼音是前鼻音还是后鼻音，不要有输入的选择和错误的可能性。5、同时考虑一下品牌的英文名，吉祥物、象征物也可以考虑一下，如果有灵感不要浪费，主要是取名6、要求说明每个名称的大概表达的意思，你想表达的意思7、来吧，开动你们牛逼的脑洞，欢迎大家头脑风暴,2017.03.26,2017.05.26,任务编号：486849,,,,踏雪有痕,https://shop.epwk.com/2j5xo0pw05xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】app 推广 广告语征集,https://task.epwk.com/486796/,6289人,65人,¥360,圆满完成,单人悬赏,o58d73d325c7ff,"要求 广告语分2部分， 广告标题加广告正文描述  广告标题15字以内 广告正文描述 50字以内，主要是推广视频类app ，app详情见附件,请仔细看附件app,看懂app类型之后再写广告语要求吸引人，有新意，诱惑力强烈，能引起人好奇心，能让人看到广告语就想点击的冲动",2017.03.26,2017.04.20,任务编号：486796,,,,wanfei87,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】时尚灯饰品牌起名,https://task.epwk.com/486791/,4100人,173人,¥300,圆满完成,单人悬赏,o58d72b1cc12af,现代风格时尚品牌，全部是做国外设计师设计的大牌灯具，做与众不同的灯，跟市面上的灯都不一样，突出与众不同的感觉！品牌参考马斯登 MARSDEN      夏盟  Summer,2017.03.26,2017.04.11,任务编号：486791,,,,无双51——品牌服务直通车,https://shop.epwk.com/7lngq0m63dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
