标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【品牌起名】基因检测产品名/品牌名征集,3647人,58人,¥100,圆满完成,jiaojiesea,"需求：征集基因检测产品的产品名，类似于品牌名。产品介绍： 面向普通大众和各类机构或团体提供大健康基因检测服务，目前可提供慢性病风险基因、癌症易感基因、女性美丽基因、儿童天赋基因、运动及代谢类基因、营养健康基因、遗传病基因、用药指导基因等多种基因检测服务，帮助大众从基因的角度认识自身从而管理健康，为消费者提供个性化健康分析和精准管理方案。 要求： 1、名称好念，易记，能体现产品特点，市场上无同名产品或谐音产品 2、最好有中、英文两种名称，并可注册商标 3、附上创意说明。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018.01.04,2018.02.16,任务编号：570058,￥ 100,,见证奇迹,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】电子商务公司取名,7346人,92人,¥200,圆满完成,bofy,"1、要求中文和英文，念起来要大气、好记，同时具有国际化的风格，容易给消费者留下深刻的印象。2、中文名2-4个字，无生僻字，英文名称相近，不要太长以及难记。3、公司注册为福建XXXX电子商务有限公司，投稿者请先查询一下是否已被注册。批量复制粘贴的那种勿扰。4、主题突出、寓意深刻。朗朗上口，便于设计LOGO。5、所取名字必须可以通过工商注册及使用。因为取得名字要进行公司注册，所以要求一切投稿隐藏保密。6、作品必须要求是原创，为第一次发布，无侵犯他人的著作权。如有侵犯他人著作权，由设计师承担所有法律责任。中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,商业用途，使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。中标者公司若有能力，后续可一并提供LOGO设计。公司经营范围较广，名称可不偏向某一行业。",2018.01.03,2018.01.30,任务编号：569869,￥ 200,,谷声品牌策划,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】蛋糕烘培坊取名,5648人,110人,¥158,圆满完成,圣卡努眼镜,需要取一个简单 大气 的蛋糕烘培坊名字 名字能注册30类要求  店名  简单 大气（高大尚）  容易让人一眼看去就能记住  主要经营 蛋糕 面包 咖啡 奶茶 茶水 粉类食品（）店名是需要注册商标30类43类）（如能附上LOGO最佳优选）  知识产权说明：1、所取的名字为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的作品，我方支付费用，即拥有该作品的知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改，组合和应用；设计者不得再向其他任何地方使用该设计作品。,2018.01.03,2018.08.17,任务编号：569763,￥ 158,,谷声品牌策划,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】中原菜系餐饮店取名,4305人,91人,¥100,圆满完成,o5a4c****057b7,要求没有注册过的，符合中原菜系主题的，简单大气容易记的,2018.01.03,2018.01.14,任务编号：569761,￥ 100,,一蔻插画设计,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】微信公众号平台取名（改名）,7611人,135人,¥200,圆满完成,xcsy,1、现有微信公众号平台名称不易传播，特征集新名称。2、应征名称必须简单易记，便于传播。3、应征名称必须与平台内容相关或契合，可关注附件微信公众号根据内容改名。4、中标后名称所有版权归平台方所有，包括署名权也归平台方所有。,2018.01.02,2018.01.20,任务编号：569281,￥ 200,,EiEiPlus studio,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】“找一个机会为自己正名”俱乐取名,3959人,108人,¥100,圆满完成,上海超泽广告,杨浦上海外国语学校附属双语学校—“找一个机会为自己正名”俱乐部取名,2018.01.01,2018.08.30,任务编号：569095,￥ 100,,justshuai,,,,,,,,,,,,,,,,,,,,,,,
【文学创作】皮影剧剧本征集,4525人,6人,¥600,圆满完成,fanweiguo,本剧团需要一个关于“北京前门楼子”传说的剧本，该剧本将以皮影戏的形式演出，要求控制在10分钟之内，要有包袱，精彩，最好是神话剧，打斗戏，喜剧等，编剧要充分考虑到皮影的表现形式和表现限制，剧本要有可操作性。,2017.12.30,2019.01.24,任务编号：568633,￥ 600,,霞客徐的江南景,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】餐饮店名字征集,4103人,116人,¥200,圆满完成,o5a46429a83bec,餐饮店，主打早午餐.包括烤吐司三明治、温暖便当、饭团等，希望能传递出温暖感，家的感觉.好记，上口，但不俗气，有高级感.要能注册，字数在2-4字之间最佳.,2017.12.29,2018.02.15,任务编号：568569,￥ 200,,极思视觉,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】新能源电动车充电站品牌起名,6620人,131人,¥300,圆满完成,mf136****5555,能注册商标的新能源电动车充电站的中文商标，第九类，要求在汇点前面或后面再加两个字,2017.12.29,2018.01.14,任务编号：568434,￥ 300,,顺流105,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】运动健身商标品牌取名起名,4792人,87人,¥200,圆满完成,htkm,中文商标取名要求1、此次品牌取名定位于运动健身俱乐部行业，洋气像国外名称为优，顺口。2、中文取名字数请保持在4个字，洋气顺口。3、请一定要确保取的名字在商标27、28、41类下可以注册。4、取名后，要附带背景、故事、内行的创意说明。5、要求必须是原创，不得是电脑取名。6、最好附有英文商标。,2017.12.28,2018.01.29,任务编号：568217,￥ 200,,o5a212d56286b0,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】胡椒铁板征集Slogan,5822人,76人,¥100,圆满完成,o5a2e1e3809dc9,餐饮品牌名：胡椒铁板   求slogan 没有条条框框限制，任由发挥,2017.12.28,2018.02.05,任务编号：568088,￥ 100,,千秋万名,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】工业平台网站取名,6147人,110人,¥200,圆满完成,bingolehehe,1.给我司的网站取名，是一个工业领域的互联网平台网站2.要求名字郎郎上口，大气，好记忆3.面向的客户是工业领域的企业客户4.名字气质要有guojia级平台的感觉5.我们觉得好的名字气质风格，参考案例比如地平线、寒武纪、量子云、图灵机器人,2017.12.27,2018.01.29,任务编号：567712,￥ 200,,小陈子兼职,,,,,,,,,,,,,,,,,,,,,,,
"【广告策划】广告语策划征集, 也就是顺口溜",5426人,108人,¥100,圆满完成,Bacchus,"我们公司名称是汉商罗世公司,主营欧洲进口啤酒,进口食品, 设计一句广告语, 使人容易记住我司关联业务,朗朗上口.如汉商罗世XXXX, XXXXXXX,",2017.12.27,2018.01.21,任务编号：567585,￥ 100,,万里度若飞,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】起一个珠宝工作室的名字,7222人,85人,¥100,圆满完成,太匆匆,"想开一个珠宝工作室，名字觉得自己想的不是很好，想要英文主打，有中文名字的，中文名字是英文音译出来的，比如：Darry Ring，简称 DR，中文 戴瑞珠宝，英文名不用太长，两三个单词就好，最好开头字母连在一起读比较顺嘴，比如 	DR，整个名字要求时尚 有些法国品牌的味道，珠宝工作室主要以私人订制为主，可定制大牌首饰，定制专属元素的情侣戒，婚戒，亦可定制自己设计的首饰。",2017.12.27,2018.04.13,任务编号：567514,￥ 100,,vivid悦968,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】连锁生鲜超市及外卖品牌取名,16119人,227人,¥864,圆满完成,yongd****41427,"连锁生鲜超市及外卖品牌取名                                                    经营介绍：我们是一家经营连锁生鲜蔬菜，水果的生鲜超市，同时我们也对外有外卖便当销售，所以难度在于要起一个名字既要能够用于生鲜超市既要满足外卖品牌的一个中性名字。                要求：                                                                            1、大气、简洁、明快;                                                                2、有视觉冲击力，醒目易识别，突出餐饮品牌以及生鲜超市的元素（参考：麦当劳，肯德基，星巴克，老娘舅，盒马生鲜等）;                                                                3、取名必须要能够申请注册工商名号以及品牌的                                            4、附上创意说明。                                                                        知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.12.26,2018.01.26,任务编号：567352,￥ 864,,vivid悦968,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】信息科技公司取名征集,5225人,108人,¥100,圆满完成,o59c27df14099a,"信息科技有限公司取名合肥**信息科技有限公司 取名两个字，有logo ，公司经营范围:企业信息化建设、智能制造、人工智能、物联网、云计算和大数据等开发与技术服务，计算机软硬件、智能仪器仪表、智能家居、工业设计、APP、微信小程序等研发、代理和销售 知识产权说明：1. 所提交的方案为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由投稿者承担所有法律责任。2. 中标的作品，我方支付稿费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权作品进行修改,组合和应用; 投稿者不得再向其他任何地方使用该作品。",2017.12.26,2018.01.26,任务编号：567121,￥ 100,,谷声品牌策划,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】教育品牌起名,15703人,210人,¥960,圆满完成,奥乐幼教,"教育品牌名称征集，本公司位于西安。                            经营介绍：新幼小衔接课程                         ---领袖儿童全脑潜能开发课程                         ---3-6岁生命周期课程        课程核心内容：                    课程的核心内容如下，适合幼儿园大班孩子。1、情绪智力密码的核心内容2、新思维逻辑数学3、优能全语言课                            要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。4、我们设计的幼小衔接品牌给人的感觉:先进性、高端性、教育性、对孩子的终生关怀性。和课程的内容比较契合。                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.12.25,2018.02.09,任务编号：566884,￥ 960,,hencongmingde,个人,四品,37分,,,公司品牌店铺所有起名,￥1000,,,,,,,,,,,,,,,,
【宣传策划】装修贷款产品的宣传语征集,6276人,99人,¥200,圆满完成,o5a3fcbbae68c9,公司开发一款装修贷款产品，满足可以家庭装修贷款需要。但是公司比较小，担心客户不信任，毕竟不是银行出的产品。为了解决客户信任感，同时体现我们装修贷款产品比银行审批快，服务好。需要一句宣传语。,2017.12.24,2018.01.06,任务编号：566666,￥ 200,,o5a3f9d2612a27,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】特色餐厅和农产品品牌起名,6016人,139人,¥600,圆满完成,o5a2bb04d8066e,需要特色餐厅和农产品品牌起名， 你帮助我们取这个名字未来就是大品牌 要求：我们准备做一件餐厅只做最多做三个单品，开始做一个烧鸭子辣味和滋补补肾炖品，滋阴炖品，我们商业模式用的是三维打发，爆品思维，就是这个爆品不赚钱，会有别的设计的别的产品非常赚钱，我做这个餐厅是看见一个在成都五环外农村的一个烧鸭店做的，生意每天几百桌，为什么会生意这么好？因为味道特好吃，鸭子全是土鸭子4.8斤杀出来的，卖价108元，他们只做辣味，我们花钱去学习他的烹饪技术，我们会有两种方案保证味道更好，进货鸭子肉质更好。做好第一家餐厅在进行全国复制， 我们是用合伙人的来做这个餐厅，优秀员工都会分红，我们会味道，管理，卫生，都会做的更好， 所以请相信我们能把你取的名字发展到全国。我们希望名字客户一看名字就感觉是原生态，土鸭子，自然野味这个名字我们希望不只是做餐厅未来还可以做农产品比如：老农民，野农民，土农民，像别人取的名：发财电线，脑白金，大自然，金牌橱柜等方便顾客记方便营销，要能注册的商标！谢谢要求可注册。请提供创意说明。,2017.12.24,2018.01.19,任务编号：566613,￥ 600,,无双51——品牌服务直通车,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】家装建材纺织家纺品牌取名,4831人,87人,¥200,圆满完成,拓荒者之光,需要用于商标注册。创新 素雅,2017.12.23,2018.01.19,任务编号：566342,￥ 200,,mf15508519278,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】李姓女宝宝起名,7569人,110人,¥128,圆满完成,o5a3bc742c9a42,一、二胎女宝宝于2017年12月8日15时27分出生。二、现在广州居住，父母为天津、河北籍。三、最好起三字名。名字寓意好，避免谐音、歧义，（需参考广州话）。四、名字要符合传统命理五行、五格数理格局。请结合周易五行八卦的算法、生辰八字、五行旺衰喜忌进行综合分析，三才配置要好。格数理最好全是吉数，避免有凶，交稿时附带详尽的名称寓意，命理分析，解释名字并说明名字和生辰八字的联系，提交详细的起名方案。五、谢绝软件起名。,2017.12.23,2018.03.26,任务编号：566185,￥ 128,,天山童姥来了,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】视频制作公司取名,5745人,95人,¥200,圆满完成,o5a3cd2b6a987a,"一、我公司有14年视频制作经验，产品线包含TVC广告片、电视栏目片、企业宣传片、纪录片、VCR、MV、央视《对话中国品牌》栏目代理等。现需要一个公司名称，要求是可以注册公司。二、取名要求：1、名称要体现团结拼搏，严格稳健的精神；2、公司注册地址是郑州；名称字数不限，可自由发挥创意；3、名称要大气自然，简单易记，有视频制作行业特色4、提交格式如下：名称：释义：公司是否可以注册：公司注册查询：http://www.gsxt.gov.cn/index.html</span></span></p> style=""margin:0px;padding:0px;color:rgb(102,102,102);font-family:'微软雅黑'font-size:14px;"">三、知识产权说明：1、提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。联系QQ：3307879440",2017.12.22,2018.02.02,任务编号：566099,￥ 200,,见证奇迹,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】宠物用品取名征集,16955人,307人,¥800,圆满完成,o5a3cc518d2c58,公司主要是线上销售，主要生产 狗粮 猫粮 猫狗零食  宠物玩具 宠物牵引绳 要求能够注册。听名字要和宠物有关系我喜欢别人家的名字有，宠宠熊、宅猫酱。因为字上有关系，产品推广更容易些，我也知道有关系的名字难取注册通过率低。希望高手多费费心。给我们起个好名字，我会在商标局查名字的，不靠谱的不会入选的。取的名字带意义，有内容。,2017.12.22,2018.01.30,任务编号：566086,￥ 800,,ljyi嘉懿传媒,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】餐饮品牌-丁记烩面征集slogan,5157人,71人,¥200,圆满完成,o5a2e1e3809dc9,品牌已有10年历史，烩面+河南菜系   多家分店，品牌名叫丁记烩 面，但是现在又不想着重突出烩 面，现征集slogan     相关资料参考附件！也可百度了解，同时附 上一个链接供参考http://mp.weixin.qq.com/s/jBI_dQr45XM_hHbuMdphzg,2017.12.22,2018.01.13,任务编号：565929,￥ 200,,墨攻闻庵,,,,,,,,,,,,,,,,,,,,,,,
【产品卖点】打印机墨盒硒鼓文案,3325人,7人,¥265,圆满完成,o59b934ff06d6c,此产品是一款打印机粉盒和硒鼓粉盒：内含碳粉，上机即可使用、出粉均匀打印无竖线硒鼓：寿命长冬天无掉粉问题详情可看：https://item.taobao.com/item.htm?spm=a1z10.1-c-s.w5003-17017452781.1.15496d43nt9YtL&id=42518144304&scene=taobao_shop这个产品。请写一些办公室场景方面的文案配合产品使用,2017.12.22,2018.01.05,任务编号：565914,￥ 265,,霞客徐的江南景,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】休闲鞋品牌起名/取名(中英文),4809人,83人,¥200,圆满完成,o5a3163b5579be,"中英文休闲鞋品牌名                    产品主要三类：1、主营产品：男式休闲鞋(中高等品质，主打舒适、性价比高)，定位；未来其他风格的鞋子都可能涉及。2、使用场景：健步、上班、休闲3、同行产品参考：skechers（斯凯奇）、crocs（卡骆驰）、Merrell(迈乐)、Clarks（其乐）、KEEN（客恩）                            要求：1、中英文名寓意说得通，不生硬。英文字形美、英文可读！2、可以是创造的可读英文词，或者含中国拼音的合成英文词，因为至少可注册美国和中国市场;3、交稿请设置隐藏或以附件提交.感谢                    知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.12.22,2018.01.30,任务编号：565909,￥ 200,,见证奇迹,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】急征公司品牌命名,3008人,92人,¥120,圆满完成,ptccc,"房产中介服务公司命名要求:突出家的温馨概念主人命里缺水,所以希望在名字里有包含水的成份.",2017.12.22,2018.01.09,任务编号：565902,￥ 120,,口口林夕,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】化妆品品牌名称起名,3343人,83人,¥200,圆满完成,zz031100,我公司主要生产彩妆类化妆品：口红 、眼影、腮红、 睫毛膏、粉底霜等品类。产品销往欧美市场。现计划打造一个具有中国风特色的国际品牌。征集名牌名称。1、品牌名称既要体现国际化时尚经典风格，又能能够充分体现我国名族特点。中西合璧，寓意明了。2、品牌名中文、英文皆可，要求可注册商标，建议先查询商盾网或商标局官网；提交请先提供没被注册截图3、所提交的作品应为原创，未侵犯他人著作权；如有侵权他人著作权，由设计者承担所有法律责任；4、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。,2017.12.21,2018.07.21,任务编号：565792,￥ 200,,小陈子兼职,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】综合性电商平台命名,5256人,112人,"¥1,600",圆满完成,o5a3b6f6ea2820,加急！！类似天猫或京东的综合性的电商平台，人群定位较为广泛，建议2~4个字，需要有中英文名以及相应的含义或寓意，有slogan更佳，品牌关键词（定位）：购物、分享、全球、好物、汇聚、精选、open名字入选标准：1、电商品牌特性、易读易写、符合定位 2、要求可注册商标，并未注册过第9类或第35类的，建议先查询商盾网或商标局官网；提交请先提供没被注册截图3、所提交的作品应为原创，未侵犯他人著作权；如有侵权他人著作权，由设计者承担所有法律责任4、选中的作品，我方付费后，即拥有该作品知识产权，设计者不得再向其他任何地方使用该设计作品,2017.12.21,2018.01.06,任务编号：565754,￥ 1600,,o564ea043e9069,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】教育公司取名,4077人,119人,¥200,圆满完成,vitorru,"取名任务，做教育培训类41类   名字要求名字要求：星带头，星XX，星X，   如果有好的XX什么星也是可以提供1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.12.21,2018.04.08,任务编号：565672,￥ 200,,o5a2f3db0efe64,,,,,,,,,,,,,,,,,,,,,,,
【节假日祝福】征集给客户的春联文案,6088人,25人,¥200,圆满完成,o5a3a2921d6b62,公司名称是普伴集团，属于金融行业春联的用途是送给客户的表达感谢和祝福的含义。形式或者内容要新颖、有创意，包括但不限于藏头、谐音、拆字等形式，内容不要过于传统和老套。包括上下联和横批关键词：普伴、祝福、感恩等不限,2017.12.20,2018.01.12,任务编号：565367,￥ 200,,o5a390d590549b,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】教育机器人硬件品牌取名,3331人,65人,¥200,圆满完成,huangcong,品牌取名主营在机器人教育，教育机器人硬件相关品牌要用于注册商标，取名时请查好商标是否已经注册过。中英文名,2017.12.20,2018.01.10,任务编号：565345,￥ 200,,o5a30d85a2cd23,,,,,,,,,,,,,,,,,,,,,,,
【产品卖点】柏拉图声波牙刷文案征集,3246人,11人,¥500,圆满完成,o5a39c46c196d1,商标名称:柏拉图 方案主要用于产品推广，如淘宝详情页，天猫详情页,2017.12.20,2018.01.12,任务编号：565151,￥ 500,,北言视觉设计,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】贝鲁客音乐餐厅slogan标语征集,4664人,69人,¥500,圆满完成,o5a38962c7fb6b,贝鲁客音乐餐厅，融合西餐与音乐，通过美食和现场音乐演艺打造全方位的餐饮服务体验。任务内容：广告语征集，要求字数简短，但能突显主题，易传播，有创意。,2017.12.19,2018.06.29,任务编号：565037,￥ 500,,创意513工作室,,,,,,,,,,,,,,,,,,,,,,,
