标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【广告策划】海涛教育宣传语征集,3672人,64人,¥200,圆满完成,mf139****0723,海涛教育：常年招生初、高中各年级精品小班、冲刺班、全托班； 1对1VIP全方位、个性化教学。“一对一”模式:为学生量身定做个性化辅导方案，全方位、策略性辅导，改善不良学习习惯，稳固提升学科知识，树立自信，完善人格。精品小班：查缺补漏，定向突破，激发兴趣，开发潜能，确保快速提分！要求：1.宣传语要有鲜明的时代气息，寓意深刻。2、要朗朗上口，简单流畅，易懂易记。每条不超过10个字，3-5条。3、适合做媒体宣传，能很好的在家长和学生中传播开来。任务比较着急。这两天就要，麻烦大家尽快提交稿件，非常感谢！,2016.04.19,2016.06.13,任务编号：416934,￥ 200,,小青欣,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】杨姓女宝宝改名,8780人,202人,¥100,圆满完成,o53ee15f655867,"杨姓宝宝,性别女,出生年月2014年2月2号21:00,出生地北京,原名杨子涵,重名太多,所以重新起名.软文要求：1、单字双字都可以.2、重名率低.3、好记好写,不要类似曦这种难写的字.4、名字里不要涵,萱,琪同音的,重名的太多了.5、附上起名说明。谢谢.",2016.04.20,2016.06.07,任务编号：417036,￥ 100,,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】自行车销售广告语征集,4683人,82人,¥300,圆满完成,成都前沿单车,本公司从事自行车销售 （品牌有GNUU 攻路、KACIO 喀索）需要一个广告词 也就是口号哈，要求：易记，顺口，简洁,2016.04.20,2016.06.07,任务编号：416982,￥ 300,,高阁雅依创意工作室,,,,,,,,,,,,,,,,,,,,,,,
【产品卖点】论坛推广鞋子软文征集,4668人,16人,¥100,圆满完成,vivien2016yy,产品如下：椰子鞋运动鞋，价格60上下要求软广告，能让人出生兴趣，通过搜索店铺名进来浏览，突出物美价廉，性价比高，买了不后悔,2016.04.20,2016.05.17,任务编号：416948,￥ 100,,语道工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】足浴粉的品牌商标起名（可以注册R标的）,3150人,116人,¥288,圆满完成,o5715****9f187,商标起名需求：足浴粉、泡脚药的品牌。产品特点：广西省巴马瑶族自治县原产地的，采用巴马瑶族的瑶药材制作而成，该产品原材料均采自广西和贵州地区的大瑶山纯天然瑶草、原生态的瑶药材，配方按照瑶医瑶药配制而成。瑶族洗浴的习惯造就了瑶族是很少得风湿病、妇科病、皮肤病的民族。相关信息：广西巴马是世界长寿之乡，有很多百岁老人，这个被多家电视媒体报道过，瑶族洗浴、瑶医瑶药材也被央视等媒体报道过。商标名需突出产品特点，要可以注册的。同类产品有巴马汤。,2016.04.19,2016.07.21,任务编号：416806,￥ 288,,派思马品牌创意机构,企业,七品,40分,,,背景墙设计,价格面议,PPT设计,30,台历设计,110,宣传册页,150,广告语编辑,"￥80
            /件",H5页面设计,200,画册设计,150,VI设计,￥3000,原创LOGO/高端LOGO/商业LOGO/满意为止,1000
【品牌起名】亲子游品牌的名字征集,5510人,84人,¥380,圆满完成,xiaozhufeifei1,1、为亲子游品牌取名字，名字要健康向上，郎朗上口，有童趣，有寓意。2、适合设计卡通logo，可以是与动物、植物或人物相关。如已有的三只熊亲子，小脚丫走天下等。2、不能重名，要可注册。,2016.04.18,2016.05.27,任务编号：416585,￥ 380,,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】婴儿用品公司商标名,3258人,56人,¥100,圆满完成,o5712****e5af5,"以生产婴儿背带为主 附带一系列婴儿用品
征集一个好听  上口  的中文 英文商标名",2016.04.16,2016.05.16,任务编号：416382,￥ 100,,悟本设计,企业,三品,70分,,,电商vi设计,"￥11000
            /件",画册设计,300,推广设计,价格面议,文案设计,价格面议,品牌策划,"￥8000
            /件",包装设计,"￥3000
            /件",,,,,,
【品牌起名】泳装产品取品牌名称（中英文结合）,2998人,34人,¥100,圆满完成,hsq2012,泳装零售企业需要取个名字注册，作为销售用的品牌名称。泳衣多以比基尼为主，偏女性泳装为侧重点，档次为中高档女性泳装，有3种风格（运动风格、年轻少女风格、成年人sexy风格），根据不同风格各取一个名称。需要同时有中文和英文名称，需要有名称的含义注释，且没有被其他公司商标注册过的。提交前麻烦先在商标注册网查询下，谢谢。,2016.04.16,2016.07.01,任务编号：416374,￥ 100,,派思马品牌创意机构,企业,七品,40分,,,背景墙设计,价格面议,PPT设计,30,台历设计,110,宣传册页,150,广告语编辑,"￥80
            /件",H5页面设计,200,画册设计,150,VI设计,￥3000,原创LOGO/高端LOGO/商业LOGO/满意为止,1000
【品牌起名】湖州童装品牌起名（必须可以注册R标的）,2747人,57人,¥188,圆满完成,蓝冰如梦,童装公司品牌征集，本公司位于湖州。经营介绍： 主营童装的设计和销售。要求：1、服装品牌取一个中文名字还可以英文缩写的名字。注（必须可以注册商标的 R标）  2、 名字要时尚，大气，简约，有内涵，易记忆，可爱一点，不失童真，朗朗上口，易于传播。（不能注册的就不要发了）3、 有视觉冲击力，醒目易识别，突出品牌元素 。4 、最好能帮忙设计LOGO，当然没有也可以，可以说出对这个LOGO的建议也行！【品牌定位】1、品牌产品：韩版童装2、目标定位年龄3---16岁，可爱时尚的儿童。【注意事项】1、还请大家创意作品后，在中国商标网上，查询未被注册后再发上来吧。好多名字都被注册了。2、衷心的感谢每一位用心参与的设计师，非常感谢大家。3、若无法通过注册，中标威客务必配合我公司进行修改 。所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任童装公司品牌征集，本公司位于湖州。【知识产权说明】1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任； 2、设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用，设计者不得再向其他任何地方使用该设计作品。,2016.04.16,2016.05.15,任务编号：416342,￥ 188,,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】白酒名字征集,3517人,83人,¥100,圆满完成,mf131****6665,要求，与道教传统文化相关，带一点仙气，大气好听，四个字内。,2016.04.13,2016.05.26,任务编号：415651,￥ 100,,mf13918394726,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】儿童摄影公司起名,8582人,180人,¥100,圆满完成,o54c39808adb15,"儿童摄影公司名称征集，本公司位于成都。                            经营介绍： 主要经营儿童摄影，新生儿出生照，满月照，百天照，周岁照，孕妈妈照，亲子照等。 拍色特色：采用定制式拍摄服务，根据客户的需求来策划主题和拍摄，定位中高端市场。            要求：                                            1、名称简洁，大气，有国际范儿（洋气），有创意但不失稳重;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.15,2016.06.17,任务编号：416162,￥ 100,,优派印象品牌设计机构,工作室,七品,40分,,,杂志/画册设计,价格面议,单页/折页/海报设计,价格面议,标志/LOGO设计,价格面议,品牌创建/企业VIS,价格面议,,,,,,,,,,
【品牌起名】厨卫电器产品商标起名字征集,5347人,104人,¥200,圆满完成,QQ客栈,厨卫电器产品商标起名字：要求：1.带“金”字或者带“钅”偏旁部首            2.名字简单明了 （两字 三字都可以）            3.一看能让人联想到是厨卫电器方向的            4.名字将来运用的方向在：油烟机 燃气灶 热水器 净水器 烤箱 小家电 整体橱柜 衣柜等等方向,2016.04.15,2016.05.08,任务编号：416152,￥ 200,,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】旅行社品牌的名字征集,3872人,80人,¥300,圆满完成,o56f4f4782a86b,"旅行社品牌的名字征集名字征集要求：我们是用工匠精神打造旅行产品的1、能让客户感觉每一次旅行都能够留下美好记忆2、有视觉冲击力，醒目易识别，突出旅行社元素;3、名字字数没有限制，简单易记，要能注册商标4、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.15,2016.05.02,任务编号：416138,￥ 300,,tomzhouwei,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】品牌名称征集,3819人,87人,¥360,圆满完成,eekoo,"主要做：户外烧烤、肉类销售；食物是纯天然，不是人工饲养名字征集要求：1、能体现绿色，健康2、有视觉冲击力，醒目易识别，突出品牌元素;3、名字字数没有限制，要好记，要能注册商标4、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.15,2016.05.23,任务编号：416094,￥ 360,,小青欣,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】急需信息技术公司起名字,2817人,43人,¥150,圆满完成,mf185****8953,公司经营范围:软件开发，销售及平面设计，系统集成，硬件耗材，办公设备租赁，销售，网络技术咨询服务，办公自动化产品销售等。。。。起名格式为:宁夏***信息技术有限责任公司。要求:百度搜索不到，能过工商，名字寓意好,2016.04.15,2016.04.22,任务编号：416080,￥ 150,,乐活创享,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】阿胶糕包装上广告语,5271人,54人,¥100,圆满完成,gagadegagg,本公司最近推出新的阿胶糕产品，品牌为：千年的秘密。考虑到包装及营销方面，现征集一句广告语，要求如下：1、本产品主要网上销售，要求征集者回稿必须屏蔽其他游客看到，否则不纳入悬赏范围；2、广告语要求不在字面上突出产品功效、疗效类的如：美容、养颜、补血等类的字眼，但可出现：美丽、年轻、健康等等；3、因此广告语印刷在产品外包装上，广告语尽可能让人听、看一遍就记住，具有现代网络气息。,2016.04.14,2016.07.04,任务编号：416036,￥ 100,,语道工作室,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】服装店铺的取名,4689人,102人,¥150,圆满完成,hxianxue,精品女装店起名3线城市，人群年龄20-45，服装类型有特色，时尚 大气，走品牌化路线，名字易记 有一看到或听到就能深入这类人群心里  好讲品牌故事，容易推广，门店装修简欧 复古，名字能洋气一点，能带'斯'字最好字数要求：1-4个字,2016.04.14,2016.05.03,任务编号：415909,￥ 150,,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】儿童脑开发机构起名,2964人,57人,¥100,圆满完成,xiaosjy,"开发大脑，提高注意力记忆力，一目十行不再是梦，要求：名称简单，好记1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以商标局注册的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.13,2016.07.18,任务编号：415827,￥ 100,,小青欣,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】白酒品牌起名,3672人,60人,¥100,圆满完成,OliviaXia,"要求：1.名称响亮、易记、高端、有内涵；2.名称出处：（1）著名文化典籍或历史典故（需备注好出处）；（2）或 本司位于江苏省无锡市，名称也可以与无锡或者江南有一定的关联；（3）或 自我创新，并附上创意说明；3. 强调”以酒会友”特质，易于传播和宣传，与广告语连贯，有延伸性4.赋予品牌一个品牌故事，可读性与拓展性强；5.需有中英文两种名称，并可全部注册，英文不一定要现成的单词，可自己自由组合字母；6.需在中国商标局网站查询并截图，中标作者需配合后期修改；   知识产权说明：1.所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2.中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2016.04.13,2016.06.24,任务编号：415777,￥ 100,,竹叶常青设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】属猴女宝宝起名字,5511人,102人,¥100,圆满完成,宋朝传媒,我家宝宝出生在（阳历）2016年4月8日20；11分，我姓宋，我媳妇姓陈，我和老婆都是学美术的，小孩的爷爷是国画家，，起名字要求显得有文化气息一点，，希望帮起名的朋友说出名字的来源和寓意。谢谢！,2016.04.13,2016.04.18,任务编号：415662,￥ 100,,宋朝传媒工作室,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】帮忙想一个艺术培训班的名字,5952人,94人,¥110,圆满完成,XH136****8861,《                  》艺术培训班起名              本艺术中心是面向儿童成年人的，主打是钢琴、舞蹈、美术、乐器等成年人瑜伽格式：《名字》+词义解释                        要求：①简单、大气、最好有点国际感觉            ②也可以从《肖》和《慧》两字出发!      比如：肖邦艺术培训中心            ③不要出现那些偏向儿童培训的词眼！培训班是面向儿童和成年人的            错误比如：彗星艺术培训              要求一句概括：简单大气易上口、勿偏向儿童培训，中性化国际化！结合以上要求发挥你们天马行空的才艺,2016.04.11,2016.04.26,任务编号：415402,￥ 110,,東目设计,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】公司起名,3288人,79人,¥100,圆满完成,叶子一片,股票配资公司起名。要求贴近公司行业，简单易记，原创。,2016.04.12,2016.08.20,任务编号：415488,￥ 100,,石枯沙老,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】商标起名,3232人,69人,¥360,圆满完成,mf151****9635,名字2、3个字，经营范围食用油 29、30、35类，这三个类别，起好的名字一定要在商标网有查过没有人注册  因为名字要用于商标注册的,2016.04.12,2016.06.24,任务编号：415421,￥ 360,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】净水设备公司取名,3108人,62人,¥108,圆满完成,Mr136****5577,经营业务:净水设备，水处理，要求简单易记，字数不限，一定要能工商注册的,2016.04.12,2016.05.16,任务编号：415429,￥ 108,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】放养黑猪商标取名,5371人,114人,¥100,圆满完成,细水长流39666,"1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.11,2016.08.13,任务编号：415401,￥ 100,,悟本设计,企业,三品,70分,,,电商vi设计,"￥11000
            /件",画册设计,300,推广设计,价格面议,文案设计,价格面议,品牌策划,"￥8000
            /件",包装设计,"￥3000
            /件",,,,,,
【品牌起名】儿童教育品牌起名,4665人,104人,¥300,圆满完成,xiaosjy,"我公司以“提升儿童学习能力，解决儿童成长烦恼”为宗旨，根据儿童生理、心理发展的特点及社会学分析，在 [儿童学习能力期]、【儿童心理发展期】和【亲子教育家长成长】的三个重要面开展研究工作，采用感觉统合训练、学习能力提升、情商训练为每个儿童定制个性化教育方案，从根源处解决3-14岁儿童注意力不集中、看错题、写作业慢、记忆力差等学习及心理辅导、家庭教育系列问题。要求：名称简单，好记，有童趣，有引申含义1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以商标局注册的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.11,2016.05.09,任务编号：415391,￥ 300,,竹叶常青设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】海外房产销售公司取名,7376人,190人,¥400,圆满完成,chenshu616,公司目前主要销售澳洲房产，未来有可能扩展到国际，以及一些其他投资业务，不一定局限于房产。要求大气，国际化，容易给客户留下印象，简洁，例如万达，绿地，个人都觉得是很不错的名字。补充：希望各位专家从中国古诗词，希腊神话中寻求灵感，有一定内涵，哲学含义，大气，最好中文英文都有，中文的不好翻译成英文用拼音也可以例如：百度。海外置业公司不要把他的名字起成一个城镇商贸中心。,2016.04.11,2016.05.16,任务编号：415364,￥ 400,,荡荡不让打游戏丶,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】智能手机配件公司品牌起名,2627人,50人,¥100,圆满完成,华讯ABBY,需求：手机壳的，智能化的产品，带音响功能，名字要大气，好记，要注册的，,2016.04.11,2016.05.09,任务编号：415351,￥ 100,,石枯沙老,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】公司创意名字征集,3718人,67人,¥100,圆满完成,若离lol,"具体要求：1. 名字和家居家具的设计.制造相关2. 名字表达意思和科技智能相关联3. 名字要有开拓性,普及性以及能表达出让客户“有所得”的意思4. 公司名字要求可注册",2016.04.11,2016.06.25,任务编号：415318,￥ 100,,异凡策划,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】琴行名称征集,5260人,127人,¥100,圆满完成,mf181****9922,要求高端、洋气、让人一看就知道是高品质,2016.04.11,2016.04.22,任务编号：415279,￥ 100,,沙三郎品牌策划机构的店铺,个人,七品,37分,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】为我司高端微店求一店名,3291人,81人,¥100,圆满完成,mf180****8691,求给微店起个好名字1店名要容易被记住2.我们微店做的是高端水果，有机菜，后期还会加入其它食品3.名字必须能商标注册请根据这几点推荐一个好店名,2016.04.06,2016.06.06,任务编号：414338,￥ 100,,蓝凤凰品牌策划,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】进口零食网店取名,5627人,167人,¥100,圆满完成,Diggel,想做一个微信公众号运营的进口零食商城，要求名字要好记，亲切，一眼就知道是卖进口零食的。之前我自己想了个吧唧吧唧进口零食工坊，但是感觉有点长，而且吧唧吧唧好像又有点不太好的样子。。。。,2016.04.10,2016.04.24,任务编号：415156,￥ 100,,六碗工作室,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】电子商务网站取名,2498人,62人,¥100,圆满完成,o5709****351bf,"电子商务公司名称征集，本公司位于重庆。                            经营介绍： 网上购物平台，产品分销，买家购物后，直接得到返佣                    要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.10,2016.05.17,任务编号：415061,￥ 100,,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,
【产品卖点】产品卖点提炼,3962人,23人,¥100,圆满完成,肺你不可,1、一套祛痘的化妆品，套装包括洗面奶、卸妆水、爽肤水、凝胶、乳霜、精华，提炼下总的卖点，单品也分别提炼一下。这里就是7句话。2、一个液体超声刀，是专门针对去皱祛斑美白的产品（是擦脸上的，不是仪器）需要一个产品卖点。要求：区别大众，有差异化，比如液体水光针相当于100片面膜，3瓶精华。这样形象的卖点。字数不用长篇大论，卖点差不多是一句话的提炼，比较有吸引力，一句卖点不少于8个字（特别符合的可以斟酌一下），结合产品来。注意：不能出现化妆品广告法中的禁用词汇。,2016.04.10,2016.08.20,任务编号：415075,￥ 100,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】汉堡奶茶店千层蛋糕店取名设计,4655人,109人,¥100,圆满完成,mf136****1287,对接下来的设计留有空间，动漫卡通或动物,2016.04.09,2016.04.18,任务编号：415037,￥ 100,,mf18705820690,,,,,,,,,,,,,,,,,,,,,,,
