标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【网络接单】整理电影到百度网盘,https://task.epwk.com/637336/,2787人,9人,1000元以内,圆满完成,网络接单,o5b4ad847297ae,整理电影到百度网盘，按量计价。,2018-07-15,2018.07.17,任务编号：637336,100.0,"1天,1天,1天,1天,1天,3天,5天,1天,7天","山西省-太原市-万柏林区,浙江省-杭州市,江苏省-苏州市-相城区,山东省-济宁市-任城区,广西-南宁市,山东省-济南市-市辖区,云南省-大理白族自治州-鹤庆县,四川省-雅安市-天全县,江苏省-无锡市-锡山区",o5b4b1e1de349d,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】公司说明（中文翻译成英文）,https://task.epwk.com/604803/,4232人,8人,1000元以内,圆满完成,英语,o5ad98541ce47e,WORD 1页文档，不能用软件翻译。手工翻译。因为是公司说明的正式资料，翻译要标准准确，不能闹笑话。,2018-04-20,2018.04.23,任务编号：604803,100.0,"1天,5天,7天,9天,2天,1天,1天,2天","河北省-保定市,广东省-广州市-天河区,广东省-佛山市,河南省-郑州市-新郑市,吉林省-长春市-二道区,山西省-太原市,北京市-北京市-东城区,河南省-郑州市-中原区",起名取名+翻译,https://shop.epwk.com/3gd2m6qqpner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据录入】语音转TXT文本,https://task.epwk.com/579789/,31037人,10人,1000元以内,圆满完成,数据录入,试金石智业,喜马拉雅语音，六十多集，转成TXT文本。,2018-02-02,2018.08.25,任务编号：579789,750.0,"15天,10天,10天,20天,10天,15天,60天,7天,15天,20天","安徽省-马鞍山市-和　县,河南省-郑州市-金水区,浙江省-温州市-苍南县,宁夏-银川市-兴庆区,山东省-临沂市-河东区,广西-桂林市-全州县,河南省-郑州市-中原区,江苏省-镇江市-扬中市,安徽省-合肥市-市辖区,四川省-遂宁市-船山区",smile423,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【网络接单】用爬虫软件下载页面链接内容,https://task.epwk.com/553803/,2460人,1人,1000元以内,圆满完成,网络接单,o5a0c0297cf649,http://www.cpppc.org:8082/efmisweb/ppp/projectLibrary/toPPPList.do如上链接，把各个省份的所有项目及基本内容下载下来。类似附件图片。用八爪鱼爬虫软件下载一个网页上的所有链接内容，汇总表格,2017-11-15,2017.11.20,任务编号：553803,300.0,1天,浙江省-杭州市-下城区,创新天地,https://shop.epwk.com/09drj7p0e53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据录入】人工图片识别录入数据库,https://task.epwk.com/536910/,8294人,8人,1000-3000元,圆满完成,数据录入,zhaobing654,"根据文件扫描件打字,并录入数据库",2017-09-20,2017.09.29,任务编号：536910,2000.0,"10天,20天,8天,7天,10天,7天,15天","北京市-北京市-海淀区,广东省-广州市-番禺区,广东省-潮州市-市辖区,江苏省-苏州市-吴中区,安徽省-蚌埠市-五河县,江苏省-苏州市-吴中区,湖南省-长沙市-市辖区",代码集市,https://shop.epwk.com/3gd2mypqvner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【网络接单】需要打几份文件,https://task.epwk.com/520331/,5001人,9人,1000元以内,圆满完成,网络接单,dounaichp,我需要打几份文件，只有纸质的，专业打字的联系我，,2017-07-26,2017.07.28,任务编号：520331,150.0,"1天,1天,1天,1天,7天,1天,5天,1天,10天","安徽省-六安市-金寨县,广西壮族自治区-百色市-田东县,福建省-泉州市-惠安县,上海市-市辖区-黄浦区,江苏省-扬州市-广陵区,广西-南宁市-市辖区,广东省-深圳市-宝安区,陕西省-西安市-碑林区,河南省-新乡市",o59797b6c731b9,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【网络接单】找人检修电脑,https://task.epwk.com/517817/,1491人,1人,1000元以内,圆满完成,网络接单,mf189****2668,要求珠海本地，市区内最佳,2017-07-17,2017.07.17,任务编号：517817,950.0,1天,广东省-珠海市-香洲区,珠海市智科电脑科技,https://shop.epwk.com/2j5jj2yw95pz/,珠海市智科电脑科技,出售服务,https://shop.epwk.com/2j5jj2yw95pz/chushou/,个人,七品,36分,,,珠海市智科电脑科技,,,,,,,,,,,,,,,,,,,
【数据录入】按照PTF打字,https://task.epwk.com/482369/,15087人,26人,1000元以内,圆满完成,数据录入,mf189****5007,施工组织设计，已经有PTF了，按照PTF打出文字，共94页，具体联系我,2017-03-10,2017.03.16,任务编号：482369,300.0,"7天,7天,7天,3天,6天,7天,5天,7天,3天,2天,1天,10天","四川省-成都市-金牛区,湖北省-武汉市,浙江省-宁波市-鄞州区,null-null-null,山东省-青岛市-市北区,江苏省-苏州市-昆山市,河南省-郑州市-金水区,广西-南宁市-西乡塘区,甘肃省-兰州市,北京市-北京市-朝阳区,贵州省-铜仁地区,四川省-绵阳市-三台县",林明设计,https://shop.epwk.com/v0n1xxmo257y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【印刷出版】公司项目策划画册印刷,https://task.epwk.com/477864/,2558人,1人,1000-3000元,圆满完成,印刷出版,新萝卜包装设计,要画册印刷，要佛山，本地面谈,2017-02-23,2017.02.27,任务编号：477864,1011.0,5天,广东省-佛山市-南海区,金马小子,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据录入】将网页数据复制到提供给的EXCEL模板中,https://task.epwk.com/475508/,3540人,1人,1000元以内,圆满完成,数据录入,yxc_shmily,将网页数据复制到提供给的EXCEL模板中，数据在网上可以直接百度到,2017-02-15,2017.02.21,任务编号：475508,500.0,5天,湖北省-武汉市-市辖区,Howfar工作室,https://shop.epwk.com/mod046w0k5yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】专业互联网英语宣传文案翻译,https://task.epwk.com/464717/,3221人,6人,1000元以内,圆满完成,英语,epweike2015,商业文案翻译，互联网宣传文案发布。房地产，旅游，经济，投资相关经验优先。有互联网经验。,2016-12-14,2016.12.20,任务编号：464717,200.0,"4天,3天,5天,4天,5天,5天","河南省-洛阳市-洛龙区,湖北省-武汉市-江汉区,广东省-广州市-白云区,江苏省-泰州市,上海市-市辖区-浦东新区,安徽省-合肥市-瑶海区",专业英文翻译QQ1159891737,https://shop.epwk.com/4rn8qq1y3ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【网络接单】内部投票（EXCEL文件）分析统计,https://task.epwk.com/456198/,2288人,2人,1000元以内,圆满完成,网络接单,flyingdusk,公司拟换办公职场，做了内部投票，想把50个同事的投票结果（excel文件）整理，进行分析统计，得出分类结果供管理者参考。,2016-11-06,2016.11.09,任务编号：456198,100.0,"1天,7天","湖南省-湘潭市-岳塘区,浙江省-杭州市-江干区",不二策划/网络工作室,https://shop.epwk.com/qgdmjjeordke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】ERP产品介绍PPT翻译,https://task.epwk.com/447549/,3628人,4人,1000元以内,圆满完成,英语,亚撒色,用友U8ERP的质量管理模块PPT需要翻译，大概30页。附件可精简至30页，产品截图可以不翻译，流程图需翻译。,2016-09-23,2016.09.28,任务编号：447549,800.0,"5天,3天,3天,5天","上海市-市辖区-浦东新区,安徽省-阜阳市,湖北省-武汉市-江夏区,上海市-市辖区-黄浦区",日初创意品牌设计,https://shop.epwk.com/7lngqqr9wdmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】产品说明书的专业英语翻译,https://task.epwk.com/436698/,5485人,8人,1000元以内,圆满完成,英语,Mr151****4320,翻译一款产品的英文说明书，内容及附件，联系QQ（请备注翻译）,2016-07-27,2016.08.11,任务编号：436698,200.0,"1天,2天,2天,3天,4天,2天,1天,5天","江苏省-南京市-浦口区,上海市-市辖区-虹口区,广东省-广州市-天河区,江苏省-常州市-天宁区,北京市-北京市,山东省-潍坊市-青州市,广东省-佛山市-南海区,陕西省-西安市-雁塔区",雁过无痕0317,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据录入】问卷文档数据录入,https://task.epwk.com/429107/,6821人,32人,1000元以内,圆满完成,数据录入,mf183****5779,文档录入，每页一元，约280页。表格设计，每页1.5元，约100页。,2016-06-22,2016.07.05,任务编号：429107,300.0,"5天,5天,5天,2天,6天,7天,2天,7天,5天,5天,5天,7天","河北省-保定市-定兴县,山东省-临沂市-兰山区,江苏省-常州市-新北区,陕西省-西安市-雁塔区,安徽省-合肥市-庐阳区,湖北省-黄冈市-黄梅县,江苏省-盐城市-东台市,广西-南宁市-西乡塘区,陕西省-宝鸡市-市辖区,福建省-福州市-鼓楼区,甘肃省-兰州市-市辖区,江苏省-南通市-崇川区",阳光创意工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【印刷出版】找人制作印刷传单,https://task.epwk.com/414319/,2808人,12人,1000元以内,圆满完成,印刷出版,mf183****2926,现在我们要参加展会，需要印刷一些传单。,2016-04-06,2016.04.17,任务编号：414319,700.0,"7天,5天,3天,2天,2天,5天,3天,3天,3天,1天","上海市-市辖区-虹口区,广东省-东莞市-东莞市,广东省-广州市-天河区,山东省-潍坊市-奎文区,陕西省-西安市-未央区,山西省-太原市-万柏林区,河北省-石家庄市-桥东区,湖北省-武汉市-江岸区,湖南省-邵阳市-大祥区,江苏省-南京市-江宁区",上海左心广告设计,https://shop.epwk.com/j7n388l8l5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】IT类英翻中,https://task.epwk.com/405712/,7313人,15人,1000元以内,圆满完成,英语,mf189****0764,有一个IT类的实用新型的说明书需要翻译，英翻中，大约11000英文单词，内容比较简单、重复。有兴趣的朋友请报价和试译。谢谢,2016-02-21,2016.03.18,任务编号：405712,800.0,"3天,20天,3天,7天,3天,3天,7天,5天,2天,5天,5天,3天","吉林省-延边朝鲜族自治州-延吉市,江苏省-南京市-玄武区,广东省-梅州市-大埔县,浙江省-温州市-苍南县,陕西省-西安市-未央区,湖南省-长沙市-长沙县,福建省-厦门市-思明区,浙江省-杭州市,河北省-秦皇岛市-海港区,河南省-郑州市-金水区,辽宁省-大连市-甘井子区,北京市-北京市",鲜泉软件开发,https://shop.epwk.com/rp5z44wj0dx3/,鲜泉软件开发,出售服务,https://shop.epwk.com/rp5z44wj0dx3/chushou/,企业,八品,40分,,,鲜泉软件开发,,英语翻译 外文翻译服务 文献/简历/公司/日语/韩语/中译英文论文,￥100,韩语翻译韩文翻译朝鲜语翻译中韩翻译互译韩语人工翻译服务摘要,￥100,日语翻译日文翻译日本语翻译中日翻译互译日语人工翻译服务摘要,￥100,朝鲜族特色村寨/美丽乡村/精品村庄建设规划/生态型新农村示范点项目,￥500,防腐木凉亭建造农家乐 户外实木阳光房公园别墅木亭小木屋设计,￥2000,代做代画PS彩平图/CAD平面转PSD彩屏图/景观平面后期PS/彩平方案,￥500,3d效果图制作lumion室外鸟瞰su草图大师建筑园林景观设计代画做,￥500,手机APP软件开发定制安卓IOS手机软件拼团商城手机app开发定制作,￥1000,,
【英语】学术论文翻译,https://task.epwk.com/383959/,7466人,18人,1000元以内,圆满完成,英语,EmilyZhongzhong,现有四篇商科学术论文，可能需要人帮忙翻译一下，pdf格式一共约有50页。因为人在国外，请大家留下QQ或者邮箱方便联系，谢谢！,2015-10-10,2015.10.22,任务编号：383959,100.0,"7天,7天,7天,10天,24天,2天,7天,15天,5天,10天,1天,10天","上海市-市辖区-黄浦区,湖北省-武汉市-洪山区,陕西省-西安市-碑林区,山西省-太原市-迎泽区,江西省-南昌市,广东省-深圳市-龙岗区,广东省-江门市-江海区,湖北省-武汉市,天津市-县,河南省-郑州市,北京市-北京市-其它区,广西-贵港市",逍遥行路人,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据录入】3000条信息录入,https://task.epwk.com/375657/,10787人,63人,1000元以内,圆满完成,数据录入,Mr139****5608,现有3000条固定资产信息需要录入，分单位、分办公室、分设备逐一进行录入,2015-08-26,2015.09.01,任务编号：375657,1000.0,,,鹏毓网络,https://shop.epwk.com/4rn8qv473ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】英文新闻翻译,https://task.epwk.com/367402/,19150人,123人,1000元以内,圆满完成,英语,dongzhe,持续任务每周都有 翻译一些澳洲新闻 每周任务量200元左右几点要求，如果任意一条不满足，请非诚勿扰，别浪费大家的时间1，这个将会是持续的任务，每周都有，每天只需2个小时时间翻译，每天都要保证完成 翻译。一周7天。 2. 熟悉社交网络，如微博，微信，会在论坛发帖。3. 英文一定要好，不需要每个字都对照翻译，但是翻译需要准确表达原文意思工作内容1. 新闻翻译成中文，然后发布在我们的论坛和 微博上面。2. 发布一些有意思的微博请应聘者，务必符合以上条件 ，如果合适以上要求请留下 q， 请应聘者明确写出 工作情况，是学生， full time o r  part time工作？ male o r   female？ 等~ 尽量介绍一下您自己。时间上和英语能力上。我们寻找可靠的人，翻译认真不按要求回答问题 没有任何自我介绍的 视为自动弃权,2015-07-20,2015.08.17,任务编号：367402,400.0,"7天,30天,7天,7天,7天,7天,7天,30天,15天,5天,30天,30天","北京市-北京市-朝阳区,陕西省-西安市-雁塔区,上海市-市辖区-黄浦区,天津市-县,江西省-南昌市-青山湖区,广东省-广州市-海珠区,山东省-青岛市-市南区,广东省-广州市,湖南省-长沙市,浙江省-杭州市-萧山区,广东省-佛山市-顺德区,陕西省-西安市",Cally_Chiong,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【人力外派】招大量女生拍产品图,https://task.epwk.com/359579/,16776人,17人,1000元以内,圆满完成,人力外派,mf138****8447,我们是化妆品公司，面膜产品，需要大量容颜姣好的女生给我们拍下使用我们产品的效果图。需要人与产品一起拍进去。大概需要50张左右（需要不同的人来拍，一个人1-4张左右）。我们会把产品寄给你们。,2015-06-13,2015.06.21,任务编号：359579,250.0,"7天,30天,10天,7天,1天,5天,1天,1天,7天,7天,5天,7天","福建省-漳州市-长泰县,湖南省-长沙市-长沙县,山西省-运城市-平陆县,河北省-邢台市-任　县,重庆市-市辖区,重庆市-县-大足县,湖南省-永州市-宁远县,山东省-青岛市-黄岛区,湖北省-宜昌市-长阳土家族自治县,浙江省-宁波市-慈溪市,江苏省-南京市-江宁区,河北省-保定市-曲阳县",刘佳林,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】写一份两个公司比较后的年度报告分析.,https://task.epwk.com/356075/,6676人,8人,1000-3000元,圆满完成,英语,CRMOA,"Youhave to read Nike and Adidas annual report first to complete this essayRequired:Readand summarize the CEO Letters to the shareholders.  What was said, what is your opinion of thecompany after reading the letter? (10-K reports do not have a CEO letter)1. Reviewthe section headings in the general business section.   Summarize the topics they discuss.2. Fromthe MD&A (Management Discussion and Analysis), prepare a SWOT analysis foreach firm, Strengths, Weaknesses, Opportunities, Threats3. FinancialAnalysis.  4.CurrentEvents.  Find one recent article relatingto each company, summarize the story and the business implications of theinformation5. AuditReport.  Who audited the companies, didthey issue a “clean” report6. Fromyour analysis, in which company would you invest and whyI will send you file in detail if you are interested in this project.",2015-05-28,2015.06.23,任务编号：356075,1000.0,"7天,5天,20天,1天,1天,14天,7天","江苏省-南京市-玄武区,湖北省-武汉市-洪山区,广东省-东莞市-东莞市,黑龙江-哈尔滨市-南岗区,四川省-成都市-双流县,北京市-北京市-朝阳区,辽宁省-大连市",o54fc6970c2c1e,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【印刷出版】做海报图,https://task.epwk.com/352256/,2462人,1人,1000元以内,圆满完成,印刷出版,o538329fa49e67,做相关联海报图   详情站内信沟通,2015-05-12,2015.05.14,任务编号：352256,150.0,2天,广东省-广州市-白云区,头脑风暴,https://shop.epwk.com/m7d7wg02v5q8/,头脑风暴,出售服务,https://shop.epwk.com/m7d7wg02v5q8/chushou/,工作室,六品,40分,,,头脑风暴,,电商定制服务,价格面议,钻展推广图设计,"￥100
            /次",直通车推广图设计,"￥100
            /次",店招设计,"￥50
            /次",详情页设计,"￥300
            /次",网店装修,"￥1500
            /次",,,,,,
