标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,知识
【APP开发】智能柜app开发,https://task.epwk.com/827642/,299人,1人,"¥16,999",圆满完成,,智能柜app开发,直接雇佣￥ 16999,￥ 16999,任务编号：827642,532-1000.csv,,,,,,"智能柜, app开发"
【APP开发】生活娱乐软件开发3期,https://task.epwk.com/827644/,111人,1人,"¥34,999",圆满完成,,生活娱乐软件开发3期,直接雇佣￥ 34999,￥ 34999,任务编号：827644,532-1000.csv,,,,,,"生活娱乐软件, 软件开发"
【网站二次开发】后台紧急问题处理,https://task.epwk.com/827660/,242人,1人,¥401,圆满完成,,后台紧急问题处理,直接雇佣￥ 401,￥ 401,任务编号：827660,532-1000.csv,,,,,,"后台问题, 紧急处理"
【小程序开发】商城平台开发,https://task.epwk.com/827667/,199人,1人,"¥77,000",圆满完成,,商城平台开发,直接雇佣￥ 77000,￥ 77000,任务编号：827667,532-1000.csv,,,,,,"商城平台, 开发"
【小程序开发】教学类平台开发,https://task.epwk.com/827668/,165人,1人,"¥73,000",圆满完成,,教学类平台开发,直接雇佣￥ 73000,￥ 73000,任务编号：827668,532-1000.csv,,,,,,"教学平台, 平台开发"
电商ERP系统1,https://task.epwk.com/827685/,92人,1人,"¥24,355",圆满完成,,电商ERP系统1,直接雇佣￥ 24355,￥ 24355,任务编号：827685,532-1000.csv,,,,,,电商ERP系统
【小程序开发】第三批付款,https://task.epwk.com/827689/,179人,1人,"¥9,900",圆满完成,,第三批付款,直接雇佣￥ 9900,￥ 9900,任务编号：827689,532-1000.csv,,,,,,第三批付款
【LOGO设计】英文logo设计,https://task.epwk.com/827705/,109人,1人,¥100,圆满完成,,英文logo设计,直接雇佣￥ 100,￥ 100,任务编号：827705,532-1000.csv,,,,,,"英文logo, 设计"
【包装设计】食品包装设计,https://task.epwk.com/827706/,147人,1人,¥100,圆满完成,,食品包装设计,直接雇佣￥ 100,￥ 100,任务编号：827706,532-1000.csv,,,,,,"食品包装, 设计"
【详情页设计】淘宝详情页设计,https://task.epwk.com/827707/,171人,1人,¥100,圆满完成,,淘宝详情页设计,直接雇佣￥ 100,￥ 100,任务编号：827707,532-1000.csv,,,,,,"淘宝详情页, 设计"
【宣传册设计】食品画册设计,https://task.epwk.com/827708/,391人,1人,¥100,圆满完成,,食品画册设计,直接雇佣￥ 100,￥ 100,任务编号：827708,532-1000.csv,,,,,,"食品画册, 设计"
【PPT设计】展示ppt模板设计,https://task.epwk.com/827710/,148人,1人,¥100,圆满完成,,展示ppt模板设计,直接雇佣￥ 100,￥ 100,任务编号：827710,532-1000.csv,,,,,,"PPT模板, 设计"
【营销推广软文】公众号代运营,https://task.epwk.com/827712/,288人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：827712,532-1000.csv,,,,,,公众号运营
【营销推广软文】广告语写作,https://task.epwk.com/827713/,295人,1人,¥100,圆满完成,,广告语写作,直接雇佣￥ 100,￥ 100,任务编号：827713,532-1000.csv,,,,,,"广告语, 写作"
英语听力练习APP项目一期,https://task.epwk.com/827714/,340人,1人,"¥78,000",圆满完成,,英语听力练习APP项目一期,直接雇佣￥ 78000,￥ 78000,任务编号：827714,532-1000.csv,,,,,,"英语听力, APP, 项目"
【LOGO设计】公司logo设计,https://task.epwk.com/827715/,164人,1人,¥100,圆满完成,,公司logo设计,直接雇佣￥ 100,￥ 100,任务编号：827715,532-1000.csv,,,,,,"公司logo, 设计"
【包装设计】食品包装设计,https://task.epwk.com/827716/,181人,1人,¥100,圆满完成,,食品包装设计,直接雇佣￥ 100,￥ 100,任务编号：827716,532-1000.csv,,,,,,"食品包装, 设计"
【详情页设计】京东详情页设计,https://task.epwk.com/827717/,127人,1人,¥100,圆满完成,,京东详情页设计,直接雇佣￥ 100,￥ 100,任务编号：827717,532-1000.csv,,,,,,"京东详情页, 设计"
【宣传册设计】公司画册设计,https://task.epwk.com/827718/,343人,1人,¥100,圆满完成,,公司画册设计,直接雇佣￥ 100,￥ 100,任务编号：827718,532-1000.csv,,,,,,"公司画册, 设计"
【PPT设计】ppt设计,https://task.epwk.com/827719/,216人,1人,¥100,圆满完成,,ppt设计,直接雇佣￥ 100,￥ 100,任务编号：827719,532-1000.csv,,,,,,PPT设计
【营销推广软文】公众号代运营,https://task.epwk.com/827720/,317人,1人,¥100,圆满完成,,公众号代运营,直接雇佣￥ 100,￥ 100,任务编号：827720,532-1000.csv,,,,,,公众号运营
【广告策划】营销软文写作,https://task.epwk.com/827721/,665人,1人,¥100,圆满完成,,营销软文写作,直接雇佣￥ 100,￥ 100,任务编号：827721,532-1000.csv,,,,,,"营销软文, 写作"
【LOGO设计】卡通logo设计,https://task.epwk.com/827722/,168人,1人,¥100,圆满完成,,卡通logo设计,直接雇佣￥ 100,￥ 100,任务编号：827722,532-1000.csv,,,,,,"卡通logo, 设计"
【包装设计】包装设计,https://task.epwk.com/827723/,193人,1人,¥100,圆满完成,,包装设计,直接雇佣￥ 100,￥ 100,任务编号：827723,532-1000.csv,,,,,,包装设计
【详情页设计】淘宝详情页设计,https://task.epwk.com/827725/,193人,1人,¥100,圆满完成,,淘宝详情页设计,直接雇佣￥ 100,￥ 100,任务编号：827725,532-1000.csv,,,,,,"淘宝详情页, 设计"
【宣传册设计】画册设计,https://task.epwk.com/827726/,264人,1人,¥100,圆满完成,,画册设计,直接雇佣￥ 100,￥ 100,任务编号：827726,532-1000.csv,,,,,,"画册, 设计"
【PPT设计】ppt设计,https://task.epwk.com/827728/,258人,1人,¥100,圆满完成,,ppt设计,直接雇佣￥ 100,￥ 100,任务编号：827728,532-1000.csv,,,,,,PPT设计
【包装设计】零食包装设计,https://task.epwk.com/827730/,174人,1人,¥100,圆满完成,,零食包装设计,直接雇佣￥ 100,￥ 100,任务编号：827730,532-1000.csv,,,,,,"零食包装, 设计"
【小程序开发】APP UI/UE 设计开发,https://task.epwk.com/827743/,114人,1人,"¥15,000",圆满完成,,APP UI/UE 设计开发,直接雇佣￥ 15000,￥ 15000,任务编号：827743,532-1000.csv,,,,,,"APP UI, UE设计"
【LOGO设计】奶茶店logo设计,https://task.epwk.com/827770/,261人,1人,"¥1,200",圆满完成,,奶茶店logo设计,直接雇佣￥ 1200,￥ 1200,任务编号：827770,532-1000.csv,,,,,,"奶茶店, logo设计"
【LOGO设计】logo设计,https://task.epwk.com/827772/,136人,1人,"¥1,400",圆满完成,,logo设计,直接雇佣￥ 1400,￥ 1400,任务编号：827772,532-1000.csv,,,,,,logo设计
【LOGO设计】logo设计,https://task.epwk.com/827776/,144人,1人,"¥1,600",圆满完成,,logo设计,直接雇佣￥ 1600,￥ 1600,任务编号：827776,532-1000.csv,,,,,,logo设计
【LOGO设计】logo设计,https://task.epwk.com/827780/,173人,1人,"¥1,000",圆满完成,,logo设计,直接雇佣￥ 1000,￥ 1000,任务编号：827780,532-1000.csv,,,,,,logo设计
【LOGO设计】一品 红鹭,https://task.epwk.com/827785/,80人,1人,¥100,圆满完成,,一品 红鹭,直接雇佣￥ 100,￥ 100,任务编号：827785,532-1000.csv,,,,,,"红鹭, 一品"
【宣传册设计】画册设计,https://task.epwk.com/827794/,430人,1人,"¥9,900",圆满完成,,画册设计,直接雇佣￥ 9900,￥ 9900,任务编号：827794,532-1000.csv,,,,,,"画册, 设计"
【其他家装服务】75平米2房设计,https://task.epwk.com/827804/,727人,1人,"¥43,000",圆满完成,,75平米2房设计,直接雇佣￥ 43000,￥ 43000,任务编号：827804,532-1000.csv,,,,,,"75平米, 2房设计"
【其他家装服务】142平方洋房图纸设计,https://task.epwk.com/827837/,245人,1人,"¥6,500",圆满完成,,142平方洋房图纸设计,直接雇佣￥ 6500,￥ 6500,任务编号：827837,532-1000.csv,,,,,,"洋房图纸, 设计, 平方"
【通讯聊天】通讯聊天软件开发,https://task.epwk.com/827866/,489人,1人,"¥49,800",圆满完成,,通讯聊天软件开发,直接雇佣￥ 49800,￥ 49800,任务编号：827866,532-1000.csv,,,,,,"通讯聊天, 软件开发"
【通讯聊天】通讯聊天软件开发,https://task.epwk.com/827867/,325人,1人,"¥40,200",圆满完成,,通讯聊天软件开发,直接雇佣￥ 40200,￥ 40200,任务编号：827867,532-1000.csv,,,,,,"通讯聊天, 软件开发"
【APP开发】社交直播APP开发,https://task.epwk.com/827869/,170人,1人,"¥50,000",圆满完成,,社交直播APP开发,直接雇佣￥ 50000,￥ 50000,任务编号：827869,532-1000.csv,,,,,,"社交直播, APP开发"
【LOGO设计】PACKTAG DDC,https://task.epwk.com/827876/,194人,1人,"¥38,000",圆满完成,,PACKTAG DDC,直接雇佣￥ 38000,￥ 38000,任务编号：827876,532-1000.csv,,,,,,"PACKTAG, DDC"
【LOGO设计】LOGO设计,https://task.epwk.com/827879/,168人,1人,"¥20,000",圆满完成,,LOGO设计,直接雇佣￥ 20000,￥ 20000,任务编号：827879,532-1000.csv,,,,,,LOGO设计
【VI设计】餐厅vi设计,https://task.epwk.com/827880/,170人,1人,"¥9,000",圆满完成,,餐厅vi设计,直接雇佣￥ 9000,￥ 9000,任务编号：827880,532-1000.csv,,,,,,餐厅vi设计
【VI设计】餐厅vi整套包装,https://task.epwk.com/827882/,168人,1人,"¥40,000",圆满完成,,餐厅vi整套包装,直接雇佣￥ 40000,￥ 40000,任务编号：827882,532-1000.csv,,,,,,"餐厅vi, 包装设计"
【VI设计】外贸公司vi,https://task.epwk.com/827886/,355人,1人,"¥50,000",圆满完成,,外贸公司vi,直接雇佣￥ 50000,￥ 50000,任务编号：827886,532-1000.csv,,,,,,"外贸公司, VI设计"
小程序开发,https://task.epwk.com/827888/,56人,1人,"¥12,301",圆满完成,,小程序开发,直接雇佣￥ 12301,￥ 12301,任务编号：827888,532-1000.csv,,,,,,小程序开发
【小程序开发】微信小程序开发,https://task.epwk.com/827893/,89人,1人,"¥12,100",圆满完成,,微信小程序开发,直接雇佣￥ 12100,￥ 12100,任务编号：827893,532-1000.csv,,,,,,"微信小程序, 开发"
【品牌策划】品牌全案,https://task.epwk.com/827896/,109人,1人,"¥4,500",圆满完成,,品牌全案,直接雇佣￥ 4500,￥ 4500,任务编号：827896,532-1000.csv,,,,,,品牌全案
【VI设计】logo+画册,https://task.epwk.com/827902/,149人,1人,"¥10,000",圆满完成,,logo+画册,直接雇佣￥ 10000,￥ 10000,任务编号：827902,532-1000.csv,,,,,,"logo, 画册"
【APP开发】商城APP开发,https://task.epwk.com/827903/,85人,1人,"¥25,000",圆满完成,,商城APP开发,直接雇佣￥ 25000,￥ 25000,任务编号：827903,532-1000.csv,,,,,,"商城APP, 开发"
微信小程序开发,https://task.epwk.com/827904/,43人,1人,"¥9,500",圆满完成,,微信小程序开发,直接雇佣￥ 9500,￥ 9500,任务编号：827904,532-1000.csv,,,,,,"微信小程序, 开发"
【VI设计】logo设计,https://task.epwk.com/827905/,151人,1人,"¥10,000",圆满完成,,logo设计,直接雇佣￥ 10000,￥ 10000,任务编号：827905,532-1000.csv,,,,,,logo设计
【VI设计】动画logo,https://task.epwk.com/827908/,270人,1人,"¥10,000",圆满完成,,动画logo,直接雇佣￥ 10000,￥ 10000,任务编号：827908,532-1000.csv,,,,,,"动画, logo"
【APP开发】管理系统开发,https://task.epwk.com/827911/,124人,1人,"¥35,000",圆满完成,,管理系统开发,直接雇佣￥ 35000,￥ 35000,任务编号：827911,532-1000.csv,,,,,,"管理系统, 开发"
【APP开发】物流WMSAPP二期开发,https://task.epwk.com/827916/,134人,1人,"¥40,000",圆满完成,,物流WMSAPP二期开发,直接雇佣￥ 40000,￥ 40000,任务编号：827916,532-1000.csv,,,,,,"物流WMS, APP开发"
【APP开发】微信小程序开发bug修复,https://task.epwk.com/827918/,106人,1人,"¥10,000",圆满完成,,微信小程序开发bug修复,直接雇佣￥ 10000,￥ 10000,任务编号：827918,532-1000.csv,,,,,,"微信小程序, bug修复"
微信小程序开发,https://task.epwk.com/827921/,61人,1人,"¥15,000",圆满完成,,微信小程序开发,直接雇佣￥ 15000,￥ 15000,任务编号：827921,532-1000.csv,,,,,,"微信小程序, 开发"
【小程序开发】H5设计,https://task.epwk.com/827923/,126人,1人,"¥10,000",圆满完成,,H5设计,直接雇佣￥ 10000,￥ 10000,任务编号：827923,532-1000.csv,,,,,,H5设计
【APP开发】java-物联网app开发,https://task.epwk.com/827933/,98人,1人,"¥39,000",圆满完成,,java-物联网app开发,直接雇佣￥ 39000,￥ 39000,任务编号：827933,532-1000.csv,,,,,,"java, 物联网, app开发"
【APP开发】商城微信小程序开发,https://task.epwk.com/827935/,132人,1人,"¥10,000",圆满完成,,商城微信小程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：827935,532-1000.csv,,,,,,"商城, 微信小程序"
【APP开发】社交app定制二次开发,https://task.epwk.com/827940/,129人,1人,"¥30,000",圆满完成,,社交app定制二次开发,直接雇佣￥ 30000,￥ 30000,任务编号：827940,532-1000.csv,,,,,,"社交app, 定制开发, 二次开发"
【宣传策划】商业计划书,https://task.epwk.com/827941/,256人,1人,"¥5,300",圆满完成,,商业计划书,直接雇佣￥ 5300,￥ 5300,任务编号：827941,532-1000.csv,,,,,,商业计划书
【网店推广】全网整合营销,https://task.epwk.com/827946/,122人,1人,"¥6,500",圆满完成,,全网整合营销,直接雇佣￥ 6500,￥ 6500,任务编号：827946,532-1000.csv,,,,,,"全网营销, 营销整合"
【宣传策划】活动策划案,https://task.epwk.com/827950/,121人,1人,"¥2,500",圆满完成,,活动策划案,直接雇佣￥ 2500,￥ 2500,任务编号：827950,532-1000.csv,,,,,,"活动策划, 策划案"
【电商】电商系统开发,https://task.epwk.com/827958/,127人,1人,"¥49,999",圆满完成,,电商系统开发,直接雇佣￥ 49999,￥ 49999,任务编号：827958,532-1000.csv,,,,,,"电商系统, 系统开发"
【APP开发】微信商城系统开发第二期,https://task.epwk.com/827959/,99人,1人,"¥20,000",圆满完成,,微信商城系统开发第二期,直接雇佣￥ 20000,￥ 20000,任务编号：827959,532-1000.csv,,,,,,"微信商城系统, 系统开发"
【其他行业】成品APP购买,https://task.epwk.com/827960/,376人,1人,"¥49,999",圆满完成,,成品APP购买,直接雇佣￥ 49999,￥ 49999,任务编号：827960,532-1000.csv,,,,,,"成品APP, 购买"
【H5设计】地产朋友圈海报设计,https://task.epwk.com/827962/,637人,1人,"¥3,000",圆满完成,,地产朋友圈海报设计,直接雇佣￥ 3000,￥ 3000,任务编号：827962,532-1000.csv,,,,,,"地产朋友圈海报, 设计"
【采集工具】采集工具软件开发,https://task.epwk.com/827979/,471人,1人,"¥49,999",圆满完成,,采集工具软件开发,直接雇佣￥ 49999,￥ 49999,任务编号：827979,532-1000.csv,,,,,,"采集工具, 软件开发"
【脚本开发】脚本制作,https://task.epwk.com/827980/,149人,1人,"¥10,000",圆满完成,,脚本制作,直接雇佣￥ 10000,￥ 10000,任务编号：827980,532-1000.csv,,,,,,脚本制作
【广告设计】迎春系列宣传海报设计,https://task.epwk.com/827985/,349人,1人,"¥4,500",圆满完成,,迎春系列宣传海报设计,直接雇佣￥ 4500,￥ 4500,任务编号：827985,532-1000.csv,,,,,,"迎春系列, 宣传海报, 设计"
【LOGO设计】设计logo,https://task.epwk.com/827986/,125人,1人,¥100,圆满完成,,设计logo,直接雇佣￥ 100,￥ 100,任务编号：827986,532-1000.csv,,,,,,logo设计
【软件UI设计】网站托管,https://task.epwk.com/827987/,532人,1人,¥200,圆满完成,,网站托管,直接雇佣￥ 200,￥ 200,任务编号：827987,532-1000.csv,,,,,,"网站托管, 服务器维护, 网站运维"
【APP开发】B2B的多用户平台,https://task.epwk.com/827997/,122人,1人,"¥44,000",圆满完成,,B2B的多用户平台,直接雇佣￥ 44000,￥ 44000,任务编号：827997,532-1000.csv,,,,,,"B2B, 多用户平台"
【APP开发】B2B的多用户平台尾款,https://task.epwk.com/827998/,124人,1人,"¥36,000",圆满完成,,B2B的多用户平台尾款,直接雇佣￥ 36000,￥ 36000,任务编号：827998,532-1000.csv,,,,,,"B2B平台, 多用户平台, 尾款"
【小程序开发】管理系统开发,https://task.epwk.com/828006/,92人,1人,"¥30,000",圆满完成,,管理系统开发,直接雇佣￥ 30000,￥ 30000,任务编号：828006,532-1000.csv,,,,,,"管理系统, 开发"
【小程序开发】微信小程序开发,https://task.epwk.com/828011/,78人,1人,"¥18,000",圆满完成,,微信小程序开发,直接雇佣￥ 18000,￥ 18000,任务编号：828011,532-1000.csv,,,,,,"微信小程序, 开发"
【其他网站】传媒公司网站开发,https://task.epwk.com/828016/,520人,1人,"¥50,000",圆满完成,,传媒公司网站开发,直接雇佣￥ 50000,￥ 50000,任务编号：828016,532-1000.csv,,,,,,"传媒公司, 网站开发"
【其他网站】工程信息公众号开发,https://task.epwk.com/828019/,306人,1人,"¥30,000",圆满完成,,工程信息公众号开发,直接雇佣￥ 30000,￥ 30000,任务编号：828019,532-1000.csv,,,,,,"工程信息, 微信公众号"
