标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【AI知识库】医疗知识AI知识库,https://task.epwk.com/1119637/,48人,1人,5000-10000元,圆满完成,招标,k4842****8,"1、需要搭建一个医疗知识的AI知识库
2、里面需要包含中西医知识，包括各类疾病的症状、诊断、治疗方法等详细信息。
3、要求能定期更新医学最新知识，确保知识的时效性和准确性",2025-02-07,2025.02.23,任务编号：1119637,10000.0,7天,福建-福州市-市辖区,木雪涯设计工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI知识库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【智能体模板】市场调研智能体模板,https://task.epwk.com/1119635/,11人,1人,5000-10000元,圆满完成,招标,k2327****8,"1、需要一个能收集分析市场数据，像消费者偏好、竞品信息等的市场调研智能体模板。
2、要求能生成清晰的调研报告，有数据图表和结论建议。
3、模板要灵活可定制，能适应不同行业和调研规模，还得操作简单，方便我快速上手做调研。",2025-02-06,2025.02.22,任务编号：1119635,10000.0,7天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,智能体模板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【数据标注】植物种类识别图像标注需求,https://task.epwk.com/1119636/,101人,2人,1000-3000元,圆满完成,招标,k8357****0,"1、我们做植物种类识别研究，需标注植物图像数据。
2、标注出图像中植物的名称，要依据专业知识准确区分。
3、标注过程严格审核，确保标注数据质量，为植物识别算法训练提供可靠数据支撑。",2025-02-06,2025.02.23,任务编号：1119636,3000.0,"9天,9天","山东-青岛市-市辖区,浙江-杭州市-市辖区",風雨英雄,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据标注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI聊天机器人】开发一款智能客服机器人（AI电话机器人）,https://task.epwk.com/1119716/,18人,2人,5000-10000元,圆满完成,招标,k5799****1,"功能要求：
1、设置话术
2、录音功能，机器人语音功能
3、导入手机号
4、自动拨号
5、会员功能
6、支付功能
7、拨号时间设置功能",2025-02-05,2025.03.01,任务编号：1119716,10000.0,"7天,7天","青海-西宁市-市辖区,陕西-宝鸡市-市辖区",横行天下有限公司,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI聊天机器人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【Chatgpt】智能教育应用的需求,https://task.epwk.com/1119715/,28人,2人,1万-2万元,圆满完成,招标,k4824****2,"接入 ChatGPT 模型开发智能教育应用，为学生提供学习辅导,能解答各科学习问题，提供详细的解题思路和步骤。根据学生的学习情况推荐个性化的学习资料和练习题目，帮助学生提高学习成绩。",2025-02-02,2025.03.01,任务编号：1119715,20000.0,"8天,7天","河北-石家庄市-市辖区,湖北-武汉市-市辖区",无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chatgpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI系统集成】AI视频监管系统开发,https://task.epwk.com/1119629/,15人,2人,2万-5万元,圆满完成,招标,k5564****5,"项目:AI视频监管系统开发
称呼:王先生
地区:江西南昌
需求::AI视频监管系统开发，主要是企业管理系统，数据统计系统这块的，具体详谈，公司内部项目",2025-02-01,2025.02.17,任务编号：1119629,50000.0,"7天,7天","上海市-上海市-市辖区,广东-广州市-市辖区",极感传媒,https://shop.epwk.com/rp5z4vlm7dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI系统集成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【语音识别】实时进行语音识别,https://task.epwk.com/1116489/,356人,1人,1万-2万元,圆满完成,招标,k3483****2,满足实时性要求高的场景，如在线语音翻译、语音直播字幕生成等。在极短时间内完成语音到文字的转换，延迟控制在 0.5 秒以内，保证语音与文字输出同步，提升用户实时交互体验。,2025-01-17,2025.02.12,任务编号：1116489,18000.0,10天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,语音识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【模型调优】推荐系统大模型调优,https://task.epwk.com/1119626/,23人,1人,5000-10000元,圆满完成,招标,k1434****6,结合用户行为、偏好等多源数据，优化算法。使推荐列表中用户感兴趣内容的比例提升至 60% 以上，缩短冷启动时间，提高推荐的多样性和新颖性，提升用户点击率。,2025-01-15,2025.02.01,任务编号：1119626,10000.0,7天,辽宁-大连市-市辖区,彼岸红尘,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,模型调优,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI数字人】智能AI和数字分身,https://task.epwk.com/1119625/,24人,2人,1万-2万元,圆满完成,招标,k1268****7,"称呼:王总
地区:苏州限苏州和上海地区
需求：公司今年要做智能AI和数字分身。。需要有AI智能经验和案例，专业比较懂的对接

预算:联系报价",2025-01-14,2025.02.01,任务编号：1119625,20000.0,"8天,10天","陕西-西安市-市辖区,福建-福州市-市辖区",皓月烟云,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI数字人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI算法开发】AI软件开发,https://task.epwk.com/1119628/,20人,2人,1万-2万元,圆满完成,招标,k6697****1,"称呼:张总
地区:北京
需求:要求有基础的，可以演示的，包含：机器学习框架、机器视觉、AI推荐引擎、AI决策支持、知识图谱、公文写作引擎还有大模型，项目已经拿下了，雇主负责采购的，具体详谈",2025-01-07,2025.01.30,任务编号：1119628,20.0,"7天,7天","北京市-北京市-市辖区,四川-成都市-市辖区",野创传媒,https://shop.epwk.com/9w56e4j13dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI算法开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI写作】AI智能论文写作系统开发,https://task.epwk.com/1119627/,125人,2人,1万-2万元,圆满完成,招标,k1750****3,"类似于“小微智能论文”系统，（百度搜索“小微智能论文”），由于时间紧急，需要有现成的源码交易，不需要定制开发。
主要的功能有：
客户端：用户根据不同的毕业论文要求，自动生成论文，并且可以下载
服务端：可以查看生成的论文，并且修改，以及其他一些基础功能，可以对接chatgpt，文心一言语。
客服：有单独的客服可以处理用户的问题。
技术要求：
前端：uniapp
后端：java",2025-01-06,2025.01.24,任务编号：1119627,20000.0,"7天,7天","江苏-南京市-市辖区,贵州-贵阳市-市辖区",南京星逸文化传媒有限公司,https://shop.epwk.com/p05qj3rwrdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI写作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AIGC技术】需要图像生成技术,https://task.epwk.com/1116486/,550人,1人,1万-2万元,圆满完成,招标,k5112****9,实现高质量、多样化的图像生成，能根据用户输入的文本描述，快速生成对应风格的图像，如风景、人物、动漫等。图像分辨率高，色彩还原度好，细节丰富，满足广告、游戏、影视等行业的素材制作需求。,2025-01-05,2025.01.20,任务编号：1116486,20000.0,8天,广东-深圳市-市辖区,浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIGC技术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【其他人工智能】RPROTEUS仿真原理图和程序文件,https://task.epwk.com/1122732/,22人,0人,¥100,投标中,雇佣,A任务编号：1122732,在哔哩哔哩上面有十个视频，用RPROTEUS仿真原理图和程序文件。发图片和视频给我,2025-05-17,,任务编号：1122732,100.0,,,B任务编号：1122732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他人工智能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【大模型应用】AI大模型的软件开发,https://task.epwk.com/1119719/,123人,1人,¥50000,圆满完成,雇佣,k2797****1,"称呼:刘先生
地区:北京
需求:有做过或者现在的AI捜索  AI场景  或者AI大模型、职场社交等方面的案例，有案例的话，提供一下模版产品需求文档，或者产品模型，前端页面或者后台管理系统的，最好是北京的技术公司联系，杭州、深圳、或者其他城市的AI大模型团队有经验做的好都可以，具体详谈",2025-03-14,2025.03.30,任务编号：1119719,50000.0,10天,辽宁-沈阳市-市辖区,故事老酒,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大模型应用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI服务咨询】电商运营AI服务,https://task.epwk.com/1119718/,51人,1人,¥5000,圆满完成,雇佣,k9765****7,想找电商AI服务咨询，能分析店铺数据，像流量、转化率等，找出问题并给优化方案。能提供选品建议，制定营销推广策略。,2025-03-01,2025.03.16,任务编号：1119718,5000.0,5天,湖南-岳阳市-市辖区,caijunxiong,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI服务咨询,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【私有化部署】企业智能办公大模型私有化部署,https://task.epwk.com/1119714/,26人,1人,¥3000,圆满完成,雇佣,k7161****6,"1、需将智能办公大模型私有化部署，助力企业办公效率提升。
2、实现智能文档处理、会议纪要生成、邮件智能回复等功能。
3、能与企业现有办公系统集成，数据本地存储，保障安全，对模型定期更新优化，适配企业业务发展。",2025-02-11,2025.03.01,任务编号：1119714,3000.0,7天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,私有化部署,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【数据处理】ai智能客服,https://task.epwk.com/1107749/,244人,1人,¥5000,圆满完成,雇佣,mf186****0643,工作内容：		一、知识库问答功能		1）建立知识库指导我司人员进行维护和更新		2）初步完成知识库问答的校准调优工作，并且传授我司人员后续如何操作		3）封装可被方便调用的对外调用的接口		二、ai与系统内数据库表结合完成		1）具备数据库表内字段和信息的简单查询和统计能力		2）具备能够调用外部接口的能力	工作要求：		交付的文档清晰准确，代码不侵权。培训我司人员能够对智能客服进行运维及升级。及时协助解决我司人员对接过程中遇到的问题。,2025-02-10,2025.02.20,任务编号：1107749,5000.0,5天,山东省-淄博市,果田科技 100%好评服务商,https://shop.epwk.com/j7n38x8pe5e1/,果田科技 100%好评服务商,出售服务,https://shop.epwk.com/j7n38x8pe5e1/chushou/,企业,一品,82分,总 67 次中标，交易总金额,￥37.77万,果田科技 100%好评服务商,,各平台APP开发,价格面议,各平台小程序开发,价格面议,,,,,,,,,,,,,,,数据处理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI接口】公文分析（二期款）,https://task.epwk.com/1105171/,2043人,1人,¥48000,圆满完成,雇佣,威高qzkLo,1、大语言模型部署按照信创标准国产化离线版部署使用需要交付源码和技术支持2、通过大语言模型对甲方要求的文件能够进行提取分析word 文件、pdf文件、excel文件和TXT文件等常用的办公文档文件格式，并根据用户需求运用大语言模型及神经网络等技术进行训练，优化识别结果3、支持大文件（文件长度为100页以上）文字内容进行分析,2025-01-20,2025.03.06,任务编号：1105171,48000.0,15天,北京市-北京市,老郭的AI程序铺,https://shop.epwk.com/78dlj0elx5lx/,老郭的AI程序铺,出售服务,https://shop.epwk.com/78dlj0elx5lx/chushou/,个人,一品,62分,总 3 次中标，交易总金额,￥21.2万,老郭的AI程序铺,,,,,,,,,,,,,,,,,,,,AI接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【智能体搭建】AI智能体+图片识别开发,https://task.epwk.com/1119713/,58人,1人,¥3000,圆满完成,雇佣,k4873****3,"答题软件为手机APP,可以链接pc电脑投屏进行抢题-答题
要求:
1.会简单利用智能体,如coze等,回答的问题300-400字左右,星盘方面的知识,通俗易懂即可。
2.自动化抢题答题脚本,pc端,手机端都可以,手机可root。",2025-01-13,2025.02.03,任务编号：1119713,3000.0,7天,陕西-宝鸡市-市辖区,夢里飄雪,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,智能体搭建,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AIGC技术】音频合成软件,https://task.epwk.com/1116483/,265人,1人,¥15000,圆满完成,雇佣,k4743****0,合成逼真、自然的语音音频，支持多种音色、语调、语速设置。可根据文本内容准确表达情感，适用于有声读物、智能客服、语音助手等场景，为用户提供优质的听觉体验。,2025-01-11,2025.01.20,任务编号：1116483,15000.0,8天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIGC技术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【智能客服】AI智能客服开发,https://task.epwk.com/1119711/,7人,1人,¥10000,圆满完成,雇佣,k2246****0,"称呼:詹先生
地区:福建省,泉州市
需求:电器类的，原本有上线小程序，开发语言是python；需要擅长有AI的技术对接
完成时间:看沟通情况
预算:具体详聊
备注：手机微信同号",2025-01-11,2025.02.07,任务编号：1119711,10000.0,7天,广西-南宁市-市辖区,颠覆風雲,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,智能客服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI设计】Logo设计AI助手开发,https://task.epwk.com/1119710/,67人,1人,¥8000,圆满完成,雇佣,k1282****3,"1、能依用户输入的行业、风格、色彩偏好等生成多样logo方案
2、具备图形编辑功能，可微调logo细节
3、输出高分辨率logo图，支持常见格式，提供创意阐释，交互界面友好",2025-01-10,2025.01.25,任务编号：1119710,8000.0,7天,吉林-长春市-市辖区,凉辰梦瑾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【语音识别】对常见性方言可以进行识别,https://task.epwk.com/1116491/,904人,1人,¥13000,圆满完成,雇佣,k6697****1,专注于多种方言的语音识别，如粤语、四川话、闽南语等。能够精准识别不同地区方言的独特发音、词汇和语法，适应复杂多变的方言环境，助力方言文化传承、地方特色语音服务等场景应用。,2025-01-09,2025.01.21,任务编号：1116491,13000.0,10天,江西-南昌市-市辖区,浪漫使者,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,语音识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【语音识别】需要快速识别通用语言的功能,https://task.epwk.com/1116490/,286人,1人,¥10000,圆满完成,雇佣,k2938****5,实现对普通话、英语等常见语言的高精准识别，能准确转化各种日常对话、会议发言等语音内容，识别准确率达 98% 以上，对不同口音、语速有良好适应性，降低错误率，为语音转文字记录、智能语音交互等提供坚实基础。,2025-01-07,2025.01.20,任务编号：1116490,10000.0,7天,河北-石家庄市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,语音识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】h5开发,https://task.epwk.com/1118842/,20人,1人,3000-5000元,圆满完成,,k3804****63,称呼:王总地区:四川成都需求:想做生态环境留言墙的h5开发，扫码进入 有个封面、再是留言 有活动要求（须知） ：1、围绕XXX表达对XXX的美好祝愿与期许； 2、经审核后，符合活动要求的留言将展示；3、点赞前10名获得小礼品；4、同一个ID每天最多10次点赞  其他需求：1、扫码进入的人 可以只留言，也可以不留言只点赞。2、后台能看到点赞排名。 参与者扫码进去的，能看到展示出来的别人的留言、点赞数。3、确定排名前10的名单后可发私信给获奖人，获奖人能在h5里私信收件地址、电话,2025-04-15,2025.04.23,任务编号：1118842,4500.0,5天,重庆市-市辖区,盛阔科技,https://shop.epwk.com/7g5ykw4zzn0q/,盛阔科技,出售服务,https://shop.epwk.com/7g5ykw4zzn0q/chushou/,企业,三品,71分,总 7 次中标，交易总金额,￥8.92万,盛阔科技,,小程序应用开发,"￥800
            /起",微信公众号开发,"￥600
            /起",APP应用开发,"￥1200
            /起",企业网站开发,"￥500
            /起",前端页面开发,"￥100
            /起",后台功能开发,"￥500
            /起",页面UI设计,"￥100
            /起",,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】技术协助操作,https://task.epwk.com/1118834/,30人,2人,1000元以内,圆满完成,,k9639****36,"称呼:刘先生地区:安徽省,马鞍山市需求:本科计算机应用选题是基于酒店应用管理JAVA，论文弄好了，也给了我源程序，我不知道如何打开操作，因为答辩需要演示，有源文件，不知道如何打开操作，需要技术或者可以远程连接电脑协助操作完成时间:尽快预算:报价联系备注；手机微信同号",2025-04-15,2025.04.17,任务编号：1118834,300.0,1天,江苏省-南京市-浦口区,码上智创工坊,https://shop.epwk.com/j7n38jkjl5e1/,码上智创工坊,出售服务,https://shop.epwk.com/j7n38jkjl5e1/chushou/,个人,九品,52分,总 1 次中标，交易总金额,￥285.00,码上智创工坊,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【其他软件开发】CRM营销办公综合管理平台第一期,https://task.epwk.com/1118724/,559人,5人,2万-5万元,圆满完成,,威惠创EjpI4,目名称：华杉云CRM营销办公综合管理平台功能包括以下：1、复刻B环云+在它CRM中增加工作评分功能+ OA工单工作流来（代替钉钉）+应用中的  在线学习考试功能的开发2、积分制管理软件的开发3、资质证书管理功能(参照筑为ZW证书管理 )的开发4、L语APP 的营销工具功能代码开发最终开发内容与验收标准见附件：定制开发功能模块确认清单,2025-04-14,2025.04.18,任务编号：1118724,21000.0,"60天,100天","四川省-成都市,陕西省-西安市",汇世纪网络科技,https://shop.epwk.com/zqdpl2mqon1v/,汇世纪网络科技,出售服务,https://shop.epwk.com/zqdpl2mqon1v/chushou/,个人,一品,65分,总 12 次中标，交易总金额,￥18.41万,汇世纪网络科技,,【热门】企业管理系统,"￥1000
            /起",【热门】电商小程序,"￥1000
            /起",【热门】打车小程序,"￥1000
            /起",【热门】陪玩APP,"￥1000
            /起",【热门】外卖小程序,"￥1000
            /起",【热门】官网设计,"￥1000
            /起",,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【运维服务】小程序后期维护,https://task.epwk.com/1118044/,180人,2人,1000-3000元,圆满完成,,聚盘6JfOp,小程序后期维护，逻辑问题等，可长期合作，详谈。价格详谈,2025-04-09,2025.04.29,任务编号：1118044,1000.0,100天,上海市-市辖区,缇讯科技(上海)有限公司,https://shop.epwk.com/09drjyex653w/,缇讯科技(上海)有限公司,出售服务,https://shop.epwk.com/09drjyex653w/chushou/,企业,四品,76分,总 17 次中标，交易总金额,￥5.2万,缇讯科技(上海)有限公司,,物联网嵌入式开发云平台搭建大数据分析硬件云端智能解决方案,价格面议,全行业Saas系统针对垂直行业基于定制化多租户复杂权限系统,价格面议,开源大模型蒸馏定制行业小模型开发适用于各行各业解决方案,价格面议,汽车后市场相关软件开发客户关系管理系统汽配数据采集分析系统,价格面议,复杂项目协同管理解决方案,价格面议,直播数藏电商在线教育抽奖定制行业模版小程序APP,"￥1000
            /起",,,,,,,运维服务,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【小程序开发】抽奖小程序开发（已确定合作者）,https://task.epwk.com/1117606/,85人,1人,1000-3000元,圆满完成,,k1698****32,称呼：罗先生地区: 四川成都，本地服务商1、用户端与商家融合的小程序，用户提交了实名资料成为商家，商家发布抽奖，普通用户参与抽奖2、抽奖（现金抵扣劵，折扣劵，实物劵），券都生成兑换码，到店线下核销。3、普通用户端有banner（定位），4、费用2000-3000，5、UI样式基本已经确定。预算: 2000-3000时间：尽快备注：微信是手机号,2025-04-05,2025.04.13,任务编号：1117606,2000.0,15天,河北省-邯郸市,码上就好,https://shop.epwk.com/7g5ykw23zn0q/,码上就好,出售服务,https://shop.epwk.com/7g5ykw23zn0q/chushou/,工作室,七品,57分,总 1 次中标，交易总金额,￥1900.00,码上就好,,,,,,,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
