标题,browser,字段1,价格,status
【英语】翻译长期合作,377人,1人,¥38000,圆满完成
【英语】围填海造地及其管理制度研究,433人,1人,¥13000,圆满完成
【英语】翻译长期合作,552人,1人,¥38500,圆满完成
【英语】邮件翻译5封,578人,1人,¥2000,圆满完成
【英语】翻译产品说明书,573人,1人,¥27000,圆满完成
【英语】翻译长期合作,647人,1人,¥33500,圆满完成
【英语】资料翻译,257人,1人,¥1000,圆满完成
【英语】会议翻译，1天,261人,1人,¥10000,圆满完成
【英语】邮件翻译一封,553人,1人,¥250,圆满完成
【英语】翻译长期合作,270人,1人,¥27500,圆满完成
【英语】翻译长期合作,658人,1人,¥37500,圆满完成
【英语】翻译长期合作,337人,1人,¥38000,圆满完成
【英语】翻译长期合作,4218人,1人,¥76500,圆满完成
【英语】翻译长期合作,343人,1人,¥27400,圆满完成
【英语】沉管隧道施工工艺及抗震性性研究,393人,1人,¥20000,圆满完成
【英语】翻译长期合作,406人,1人,¥27200,圆满完成
【英语】翻译产品说明书,535人,1人,¥25000,圆满完成
【其他人才】京东服务类人才,2054人,1人,¥500,圆满完成
【英语】《岩土工程勘察规范》(gb50021-2017),3809人,1人,¥27000,圆满完成
【英语】单片机及神经网络基础讲义翻译,576人,1人,¥10000,圆满完成
【人力资源】商品网络推广,1452人,1人,¥38,圆满完成
【英语】翻译长期合作,361人,1人,¥22500,圆满完成
【英语】机械设计制造及其自动化专业英语翻译,861人,1人,¥5000,圆满完成
【英语】towards modern options of energy conservation,443人,1人,¥6850,圆满完成
【英语】船舶与海洋工程 文献翻译,540人,1人,¥15500,圆满完成
【英语】机械工程讲义及国标中译英,323人,1人,¥18000,圆满完成
【英语】方解石论文翻译中译英,616人,1人,¥2000,圆满完成
【英语】美国土木工程协会翻译,410人,1人,¥8850,圆满完成
,,,,
【英语】演讲稿翻译,986人,1人,¥400,圆满完成
【英语】土木工程英文翻译,586人,1人,¥16400,圆满完成
【英语】工程力学研究方面英文文献翻译,360人,1人,¥8850,圆满完成
【英语】工程地下水文章翻译,474人,1人,¥150,圆满完成
【英语】专业文章翻译,1003人,1人,¥10000,圆满完成
【网络接单】雇佣任务生活服务电脑,512人,1人,¥100,圆满完成
【代办/跑腿】ThinkPad X1 EXTREME 美国行货代购,1225人,1人,¥16880,圆满完成
【代办/跑腿】戴尔外星人电脑M15美国行货代购,1271人,1人,¥16650,圆满完成
【代办/跑腿】ThinkPad X1 extreme 美国行货代购,1580人,1人,¥13800,圆满完成
【英语】欧美铰链供应开发,808人,1人,¥25000,圆满完成
【英语】欧美橱柜切口处理方式,690人,1人,¥25800,圆满完成
【英语】两篇日文和英文翻译,787人,1人,¥16200,圆满完成
【英语】欧美主流品牌橱柜品牌柜体深度梳理,749人,1人,¥24600,圆满完成
【英语】英文学术论文翻译一篇,969人,1人,¥11500,圆满完成
【代办/跑腿】X1C代购,568人,1人,¥11500,圆满完成
【代办/跑腿】ThinkPad美国行货代购,681人,1人,¥12650,圆满完成
【英语】竞品防伪方式整理,359人,1人,¥24100,圆满完成
【网络接单】EXCEL数据整理,7167人,1人,¥400,圆满完成
【代办/跑腿】订购金银纪念币2种,838人,1人,¥9800,圆满完成
【英语】欧美主要竞品台上柜配套工艺文件翻译,370人,1人,¥27000,圆满完成
【网络接单】承接工作室员工健身指导（三期）,678人,1人,¥5122,圆满完成
【英语】水槽柜竞品资料统计,498人,1人,¥21500,圆满完成
【视频听译】录音,2487人,1人,¥1500,圆满完成
【教育培训】承接工作室员工健身指导（二期）,883人,1人,¥3572,圆满完成
【英语】英语翻译,1266人,1人,¥28000,圆满完成
【代办/跑腿】X1  carbon第六代代购,629人,1人,¥10900,圆满完成
【英语】英语翻译,1070人,1人,¥28650,圆满完成
【英语】欧美品牌橱柜模数梳理,440人,1人,¥23500,圆满完成
【英语】文件英语翻译,601人,1人,¥23000,圆满完成
【教育培训】承接工作室员工健身指导,1018人,1人,¥13652,圆满完成
,,,,
【英语】翻译,1023人,1人,¥22000,圆满完成
【英语】欧美主要品牌结构翻译,425人,1人,¥24000,圆满完成
【英语】帮忙翻译个文档,918人,1人,¥1000,圆满完成
【英语】文件翻译,536人,1人,¥23200,圆满完成
【英语】家居产品策划方案翻译,588人,1人,¥20000,圆满完成
【英语】竞品资料补充收集,463人,1人,¥15000,圆满完成
【英语】家具行业说明书和技术资料翻译,971人,1人,¥30000,圆满完成
【英语】竞品资料获取,3287人,1人,¥120000,圆满完成
【网络接单】小红书直发,2070人,1人,¥150,圆满完成
【网络接单】小红书直发,995人,1人,¥150,圆满完成
【网络接单】小红书直发,639人,1人,¥220,圆满完成
【网络接单】小红书笔记代发,2431人,1人,¥940,圆满完成
【英语】英国专家技术指导翻译（长期工作）,1504人,1人,¥60000,圆满完成
【英语】PDF 数据提取文献翻译,819人,1人,¥16100,圆满完成
【其他人才】企业诊断,2479人,1人,¥50000,圆满完成
【咨询服务】代理记账报税等服务,1693人,1人,¥19000,圆满完成
【咨询服务】公司记账报税,1399人,1人,¥23000,圆满完成
【咨询服务】代理记账报税等服务,1010人,1人,¥20000,圆满完成
【咨询服务】企业注册登记服务,977人,1人,¥20000,圆满完成
【咨询服务】代理记账报税等服务,1044人,1人,¥19900,圆满完成
【咨询服务】代理海关报税,786人,1人,¥20000,圆满完成
【咨询服务】企业注册登记服务,906人,1人,¥25000,圆满完成
【咨询服务】代理记账报税等服务,893人,1人,¥24900,圆满完成
【咨询服务】企业注册登记服务,829人,1人,¥19900,圆满完成
【咨询服务】企业注册登记服务,811人,1人,¥20000,圆满完成
【咨询服务】咨询服务办理,809人,1人,¥21000,圆满完成
【咨询服务】爱美尔注册业务代办,710人,1人,¥19000,圆满完成
【咨询服务】代理记账报税等服务,621人,1人,¥22450,圆满完成
【咨询服务】一季度税务审计,704人,1人,¥18900,圆满完成
【咨询服务】代理记账报税等服务,766人,1人,¥24800,圆满完成
,,,,
【其他人才】平铺静拍（花种）,1745人,1人,¥3000,圆满完成
【旅游服务】澳洲自由行,1871人,1人,¥20000,圆满完成
【旅游服务】休闲游,1775人,1人,¥19100,圆满完成
【旅游服务】印度旅游安排,847人,1人,¥21400,圆满完成
【旅游服务】奥地利捷克10日游行程设计及机酒包车,762人,1人,¥19500,圆满完成
【代办/跑腿】邮票代购，丁酉年邮票,963人,1人,¥3700,圆满完成
【旅游服务】旅游线路设计,1084人,1人,¥19600,圆满完成
【旅游服务】五一台湾行,1357人,1人,¥19900,圆满完成
【旅游服务】旅游线路设计,897人,1人,¥19900,圆满完成
【旅游服务】旅游服务制定,767人,1人,¥19900,圆满完成
【英语】翻译5篇研报并撰写行业发展总结,895人,1人,¥23000,圆满完成
【旅游服务】旅游线路设计,1034人,1人,¥21400,圆满完成
【旅游服务】清明土耳其之旅,729人,1人,¥21400,圆满完成
【旅游服务】酒店最好挨着景点,927人,1人,¥20000,圆满完成
【旅游服务】旅游咨询服务,601人,1人,¥9980,圆满完成
【旅游服务】泰国三晚四日,844人,1人,¥19000,圆满完成
【英语】翻译证券研报以及随行会议翻译一天,1276人,1人,¥51000,圆满完成
【旅游服务】旅游咨询服务,737人,1人,¥20000,圆满完成
【代办/跑腿】ThinkPad美国行货代购T470s 两台,651人,1人,¥11600,圆满完成
【旅游服务】台湾旅游全包,698人,1人,¥20000,圆满完成
【旅游服务】巴塞罗那五天自助游,625人,1人,¥21000,圆满完成
【旅游服务】肯尼亚私人旅游行程安排,457人,1人,¥16000,圆满完成
【旅游服务】旅游咨询服务,525人,1人,¥1000,圆满完成
【英语】翻译两篇研报,2320人,1人,¥56000,圆满完成
【旅游服务】酒店待定，旅游,627人,1人,¥9550,圆满完成
【钟点工】厦门小吃餐厅logo和VI设计,1912人,1人,¥100,圆满完成
【英语】翻译两篇研报,554人,1人,¥16900,圆满完成
【旅游服务】境外旅游包车和导游,750人,1人,¥5000,圆满完成
【旅游服务】春节特惠，套房连住,600人,1人,¥9990,圆满完成
【代办/跑腿】ThinkPad日本行货，THINKPAD 25纪念款,607人,1人,¥12700,圆满完成
,,,,
【英语】翻译一篇证券研报,516人,1人,¥1000,圆满完成
【代办/跑腿】ThinkPad美国行货代购，T470s,782人,1人,¥14800,圆满完成
【旅游服务】境外旅游包车和导游,532人,1人,¥1000,圆满完成
【旅游服务】春节酒店,485人,1人,¥8045,圆满完成
【旅游服务】国内外自由行线路订制,663人,1人,¥7999,圆满完成
【英语】英文文档翻译成中文,1408人,1人,¥198,圆满完成
【代办/跑腿】金银纪念币代购，彩色银币，狗年,535人,1人,¥1950,圆满完成
【旅游服务】需要覆盖部分春节日期,439人,1人,¥2430,圆满完成
【代办/跑腿】Apple iPad Pro美国行货10.5 英寸一台,579人,1人,¥4875,圆满完成
【代办/跑腿】邮票代购,673人,1人,¥1988,圆满完成
【代办/跑腿】金银纪念币代购,678人,1人,¥1970,圆满完成
【代办/跑腿】请帮忙推广海淘APP线上，线下活动,785人,1人,¥1989,圆满完成
【代办/跑腿】金银纪念币代购,542人,1人,¥2985,圆满完成
【旅游服务】新西兰机票余款2,486人,1人,¥3900,圆满完成
【旅游服务】国内外自由行线路订制,619人,1人,¥9800,圆满完成
【旅游服务】台北自由行 机票酒店一价全包 8天7玩全程定制,522人,1人,¥9850,圆满完成
【代办/跑腿】金银纪念币代购,456人,1人,¥1990,圆满完成
【旅游服务】斯里兰卡包车,363人,1人,¥5000,圆满完成
【代办/跑腿】金银纪念币代购,597人,1人,¥1000,圆满完成
【代办/跑腿】邮票代购，2018年狗年生肖,680人,1人,¥2928,圆满完成
【英语】论文小修改,971人,1人,¥1500,圆满完成
【旅游服务】境外旅游包车和导游,410人,1人,¥3000,圆满完成
【旅游服务】春节奥克兰住宿3晚,446人,1人,¥4020,圆满完成
【代办/跑腿】需要2018年贺岁银币,501人,1人,¥1988,圆满完成
【代办/跑腿】金银纪念币代购，2018年贺岁封装银币，8枚,481人,1人,¥1688,圆满完成
【英语】日语漫画翻译,1443人,1人,¥13650,圆满完成
【代办/跑腿】金银纪念币代购，狗年，本色金银币，封装,586人,1人,¥1991,圆满完成
【代办/跑腿】ThinkPad美国行货代购 T470s,478人,1人,¥4889,圆满完成
【旅游服务】巴厘岛定制服务,361人,1人,¥5000,圆满完成
【印刷出版】画册海报设计加制作,934人,1人,¥18000,圆满完成
,,,,
【英语】短篇小说翻译,953人,1人,¥1994,圆满完成
【英语】把这篇文章翻译成中文，并分析相关行业,1991人,1人,¥55000,圆满完成
【代办/跑腿】金银纪念币代购,495人,1人,¥1980,圆满完成
【代办/跑腿】邮票代购-《百合花》邮票,451人,1人,¥1988,圆满完成
【数据录入】开发一个单用户商城,3544人,1人,¥30000,圆满完成
【旅游服务】国内外自由行线路订制,440人,1人,¥9950,圆满完成
【英语】把这篇英文翻译成中文并参加1天随行译,1459人,1人,¥54000,圆满完成
【代办/跑腿】金银纪念币代购,419人,1人,¥1208,圆满完成
【旅游服务】IHG预定,486人,1人,¥1000,圆满完成
【代办/跑腿】金银纪念币代购-狗年彩色银币,402人,1人,¥1982,圆满完成
【旅游服务】新西兰机票余款1,465人,1人,¥4800,圆满完成
【英语】文献翻译，论文整理和修改,665人,1人,¥1990,圆满完成
【代办/跑腿】金银纪念币代购,427人,1人,¥1878,圆满完成
【印刷出版】机油格内 外包装盒印刷,864人,1人,¥10000,圆满完成
【印刷出版】元旦欢乐餐厅打折宣传折页,511人,1人,¥8000,圆满完成
【英语】文献翻译，论文整理和修改,497人,1人,¥1990,圆满完成
【代办/跑腿】金银纪念币代购,488人,1人,¥1990,圆满完成
【代办/跑腿】金银纪念币代购，南非中国年1盎司封装银币2枚,489人,1人,¥1990,圆满完成
【旅游服务】国内外自由行线路订制,527人,1人,¥9970,圆满完成
【代办/跑腿】金银纪念币代购,423人,1人,¥1970,圆满完成
【印刷出版】台历设计＋印刷,617人,1人,¥7500,圆满完成
【旅游服务】新年旅游,430人,1人,¥9900,圆满完成
【旅游服务】国内外自由行线路订制,385人,1人,¥9900,圆满完成
【旅游服务】境外旅游包车和导游,505人,1人,¥9900,圆满完成
【代办/跑腿】狗年纪念币代购,597人,1人,¥1997,圆满完成
【旅游服务】泰国四日游,440人,1人,¥1222,圆满完成
【印刷出版】测试服务,620人,1人,¥1000,圆满完成
【咨询服务】敏感肌肤修复套餐,745人,1人,¥29800,圆满完成
【网络接单】需要亚马逊美国泰迪熊2017版毛绒玩具俩只,287人,1人,¥1380,圆满完成
【英语】把这篇文章翻译成中文,1350人,1人,¥46000,圆满完成
,,,,
【教育培训】英语商务教学,872人,1人,¥9700,圆满完成
【旅游服务】南美自由行线路订制,270人,1人,¥9850,圆满完成
【旅游服务】28人团旅游,435人,1人,¥9850,圆满完成
【代办/跑腿】各种海外代购推广合作,492人,1人,¥1204,圆满完成
【英语】论文修改,677人,1人,¥1850,圆满完成
【网络接单】需要他们做一个贴吧任务,400人,1人,¥475,圆满完成
【印刷出版】印刷制作,628人,1人,¥15000,圆满完成
【印刷出版】画册印刷-定金,497人,1人,¥25000,圆满完成
【旅游服务】国内外自由行线路订制,385人,1人,¥9998,圆满完成
【英语】Go语言api文档翻译,699人,1人,¥23800,圆满完成
【教育培训】英语口语培训,1026人,1人,¥10000,圆满完成
【代办/跑腿】ThinkPad美国行货代购,532人,1人,¥4708,圆满完成
【印刷出版】功能书的印刷,401人,1人,¥15000,圆满完成
【代办/跑腿】需要Kindle Paperwhite最新款 美国行货,504人,1人,¥1260,圆满完成
【英语】剧本翻译,996人,1人,¥18000,圆满完成
【印刷出版】印刷-尾款支付,503人,1人,¥30000,圆满完成
【旅游服务】新西兰旅游包车加导游,282人,1人,¥9850,圆满完成
【印刷出版】不干胶印刷及名片和画册印刷,551人,1人,¥15000,圆满完成
【咨询服务】双十一场景非功能测试培训尾款,468人,1人,¥8000,圆满完成
【印刷出版】小画册制作印刷,391人,1人,¥5000,圆满完成
【教育培训】学英语,1075人,1人,¥9550,圆满完成
【咨询服务】展示柜,524人,1人,¥20000,圆满完成
【咨询服务】双十一场景非功能测试一期项目方案变更,430人,1人,¥7000,圆满完成
【婚庆服务】一生一次的约定,1303人,1人,¥9800,圆满完成
【咨询服务】云服务器租用享返利,479人,1人,¥6500,圆满完成
【代办/跑腿】ThinkPad美国行货代购-先支付定金,387人,1人,¥3389,圆满完成
【咨询服务】上周咨询费结算,523人,1人,¥12000,圆满完成
【印刷出版】户外广告海报宣传印刷,616人,1人,¥11700,圆满完成
【英语】翻译文献,789人,1人,¥18000,圆满完成
【代办/跑腿】两万日亚礼品卡购买,348人,1人,¥1200,圆满完成
,,,,
【代办/跑腿】邮票代购,379人,1人,¥2505,圆满完成
【数据录入】数据录入补单,4026人,1人,¥190,圆满完成
【数据录入】数据正确录入,3250人,1人,¥180,圆满完成
【数据录入】1.2万数量录入 补单,2577人,1人,¥75,圆满完成
【数据录入】补单2.9万的数据录入,1905人,1人,¥175,圆满完成
【代办/跑腿】日本亚马逊礼品卡，价格优惠,380人,1人,¥4000,圆满完成
【代办/跑腿】邮票代购,296人,1人,¥4000,圆满完成
【咨询服务】项目一期款，邮件已发送，请查收。,555人,1人,¥6000,圆满完成
【数据录入】7000个数据录入,1871人,1人,¥45,圆满完成
【数据录入】数据录入（补单）,1790人,1人,¥100,圆满完成
【代办/跑腿】任天堂游戏机代购-红蓝版,706人,1人,¥2000,圆满完成
【代办/跑腿】日本亚马逊礼品卡，价格优惠,517人,1人,¥5500,圆满完成
【印刷出版】十九大邮票代购,629人,1人,¥5500,圆满完成
【印刷出版】医院户外宣传册印刷,360人,1人,¥11800,圆满完成
【数据录入】2万数据录入,1523人,1人,¥140,圆满完成
【数据录入】5万个数据录入,1736人,1人,¥300,圆满完成
【咨询服务】“双十一”场景咨询订金,403人,1人,¥4500,圆满完成
【代办/跑腿】邮票代购-十九大邮票小版张,393人,1人,¥1988,圆满完成
【印刷出版】户外广告牌印刷,499人,1人,¥12000,圆满完成
【旅游服务】香港往返奥克兰商务舱10%机票款,320人,1人,¥3600,圆满完成
【意大利语】会议翻译一周,1132人,1人,¥30000,圆满完成
【印刷出版】公司十周年促销宣传海报设计,559人,1人,¥200,圆满完成
【英语】SCI文章修改和翻译,864人,1人,¥11000,圆满完成
【印刷出版】宣传册单页印刷和户外宣传海报,484人,1人,¥14000,圆满完成
【代办/跑腿】邮票代购 2017年鸡大版邮票 总公司邮折,348人,1人,¥1688,圆满完成
【咨询服务】非功能测试培训,460人,1人,¥5000,圆满完成
【旅游服务】新西兰15%机票款,414人,1人,¥5400,圆满完成
【代办/跑腿】任天堂,803人,1人,¥1948,圆满完成
【英语】FDA文献翻译,697人,1人,¥18000,圆满完成
【咨询服务】产品推广方案,504人,1人,¥10000,圆满完成
,,,,
【咨询服务】产品推广方案,348人,1人,¥4500,圆满完成
【咨询服务】产品推广方案,689人,1人,¥10000,圆满完成
【代办/跑腿】请完成线下推广活动（策划订金）,638人,1人,¥2000,圆满完成
【代办/跑腿】代购 建军 纪念币 原卷,546人,1人,¥5000,圆满完成
【家政服务】国庆上冲大型车展装备现场,1289人,1人,¥31752,圆满完成
【旅游服务】新西兰机票30%机票款,413人,1人,¥10800,圆满完成
【意大利语】酒店官网意大利翻译,818人,1人,¥13688,圆满完成
【印刷出版】画册印刷,408人,1人,¥7000,圆满完成
【印刷出版】户外装修宣传单页印刷制作,408人,1人,¥9700,圆满完成
【家政服务】珠海上冲大型车展展销活动,1112人,1人,¥37073,圆满完成
【印刷出版】画册印刷,615人,1人,¥8000,圆满完成
【咨询服务】产品推广方案,457人,1人,¥10000,圆满完成
【代办/跑腿】请为我司代购八台ThinkPad电脑,2789人,1人,¥21000,圆满完成
【意大利语】随身商务翻译,676人,1人,¥21000,圆满完成
【咨询服务】敏感肌肤修复套餐,689人,1人,¥29800,圆满完成
【代办/跑腿】请帮忙海淘推广,588人,1人,¥3100,圆满完成
【家政服务】珠海港运输至上冲国际车城,668人,1人,¥29905,圆满完成
【意大利语】意大利语论文翻译,1209人,1人,¥14000,圆满完成
【印刷出版】户外广告牌制作印刷安装,365人,1人,¥9000,圆满完成
【代办/跑腿】请为海淘代购网站进行推广,446人,1人,¥5880,圆满完成
【教育培训】培训课程,1135人,1人,¥10000,圆满完成
【代办/跑腿】请为我司代购五台ThinkPad电脑,907人,1人,¥14000,圆满完成
【旅游服务】新西兰机票预订,338人,1人,¥3600,圆满完成
【印刷出版】机油滤清包装盒印刷,500人,1人,¥9000,圆满完成
【代办/跑腿】Thinkpad图形工作站p系列代购,730人,1人,¥12500,圆满完成
【印刷出版】户外广告牌印刷,426人,1人,¥9000,圆满完成
【婚庆服务】婚庆策划,938人,1人,¥8000,圆满完成
【代办/跑腿】请帮代购一批美行ThinkPad,617人,1人,¥12000,圆满完成
【意大利语】意大利语随行翻译一天,741人,1人,¥12000,圆满完成
【家政服务】大型设备装卸 珠海港,736人,1人,¥14805,圆满完成
,,,,
【旅游服务】日默瓦登机箱两个,289人,1人,¥9000,圆满完成
【印刷出版】小商品城商业街整体形象设计,477人,1人,¥6000,圆满完成
【家政服务】大型展会进场施工,599人,1人,¥20000,圆满完成
【代办/跑腿】请为海淘平台进行推广,860人,1人,¥15800,圆满完成
【咨询服务】服务器使用咨询,390人,1人,¥18400,圆满完成
【意大利语】接待意大利客户，需要随身翻译,810人,1人,¥15800,圆满完成
【意大利语】酒店系统意大利语翻译,603人,1人,¥15800,圆满完成
【文化艺术服务】买一台thinkpad,889人,1人,¥15800,圆满完成
【咨询服务】阿里云使用详细指导,473人,1人,¥15000,圆满完成
【代办/跑腿】请代购最新think pad P系列,393人,1人,¥14000,圆满完成
【招商加盟】日美游戏租售会员服务,1619人,1人,¥14000,圆满完成
【意大利语】我司参加高级商务会议随身翻译,637人,1人,¥17500,圆满完成
【印刷出版】纪念邮票设计,543人,1人,¥8788,圆满完成
【意大利语】请为我公司临时担当3天意大利翻译,734人,1人,¥22000,圆满完成
【印刷出版】画册印刷制作,453人,1人,¥15000,圆满完成
【意大利语】意大利语文献翻译,497人,1人,¥13000,圆满完成
【家政服务】凌驾大型展会布置,484人,1人,¥19608,圆满完成
【印刷出版】天津学森科技有限公司-X展架1幅,368人,1人,¥200,圆满完成
【印刷出版】宣传品海报印刷,1071人,1人,¥10,圆满完成
【代办/跑腿】ThinkPad美国行货代购   T470p,302人,1人,¥9490,圆满完成
【意大利语】意大利文章翻译,844人,1人,¥19800,圆满完成
