标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【APP开发】试用任务平台开发,https://task.epwk.com/698707/,400人,1人,"¥15,880",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,试用任务平台开发,直接雇佣￥ 15880,￥ 15880,任务编号：698707,1196-1414.csv,,,,"任务平台, 开发"
【店铺装修】【微信商城装修】微盟有赞微擎优物库微讯云端微商城装修微信推广,https://task.epwk.com/698708/,271人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,【微信商城装修】微盟有赞微擎优物库微讯云端微商城装修微信推广,直接雇佣￥ 30000,￥ 30000,任务编号：698708,1196-1414.csv,,,,"微信商城装修, 微盟, 有赞, 微擎, 优物库, 微讯云端, 微商城"
【小程序开发】同城生活小程序,https://task.epwk.com/698709/,401人,1人,"¥5,580",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,同城生活小程序,直接雇佣￥ 5580,￥ 5580,任务编号：698709,1196-1414.csv,,,,"同城生活, 小程序"
"【小程序开发】互助,互保平台APP开发",https://task.epwk.com/698711/,492人,1人,"¥12,800",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,"互助,互保平台APP开发",直接雇佣￥ 12800,￥ 12800,任务编号：698711,1196-1414.csv,,,,"互助, 互保平台, APP开发"
【小程序开发】共享农业小程序-支持拼团、砍价、秒杀、活动报名、溯源查询、众筹租用认养等,https://task.epwk.com/698712/,326人,1人,"¥19,800",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,共享农业小程序-支持拼团、砍价、秒杀、活动报名、溯源查询、众筹租用认养等,直接雇佣￥ 19800,￥ 19800,任务编号：698712,1196-1414.csv,,,,"共享农业, 小程序, 拼团, 砍价, 秒杀, 活动报名, 溯源"
二次开发,https://task.epwk.com/698754/,91人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,二次开发,直接雇佣￥ 5000,￥ 5000,任务编号：698754,1196-1414.csv,,,,二次开发
【包装设计】纸盒包装设计,https://task.epwk.com/698789/,331人,1人,"¥27,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,纸盒包装设计,直接雇佣￥ 27000,￥ 27000,任务编号：698789,1196-1414.csv,,,,"纸盒包装, 设计"
【店铺装修】【电商设计】电商设计美工包月天猫淘宝京东商城,https://task.epwk.com/698800/,467人,1人,"¥46,500",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,【电商设计】电商设计美工包月天猫淘宝京东商城,直接雇佣￥ 46500,￥ 46500,任务编号：698800,1196-1414.csv,,,,"电商设计, 美工, 天猫淘宝京东商城"
【小程序开发】小程序商城维护,https://task.epwk.com/698814/,449人,1人,¥500,圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,小程序商城维护,直接雇佣￥ 500,￥ 500,任务编号：698814,1196-1414.csv,,,,"小程序商城, 维护"
物流app,https://task.epwk.com/698826/,51人,1人,"¥3,600",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,物流app,直接雇佣￥ 3600,￥ 3600,任务编号：698826,1196-1414.csv,,,,"物流, app"
【前端开发】响应式网站前端开发|Bootstrap框架开发|H5页面开发,https://task.epwk.com/698832/,1565人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,响应式网站前端开发|Bootstrap框架开发|H5页面开发,直接雇佣￥ 5000,￥ 5000,任务编号：698832,1196-1414.csv,,,,"响应式网站, Bootstrap框架, H5页面"
【宣传单设计】跨版广告含出血尺寸42.6 cmX 29.1cm,https://task.epwk.com/698836/,680人,1人,¥300,圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,跨版广告含出血尺寸42.6 cmX 29.1cm,直接雇佣￥ 300,￥ 300,任务编号：698836,1196-1414.csv,,,,"跨版广告, 出血尺寸, 42.6 cmX 29.1cm"
【动画设计】视频处理优化,https://task.epwk.com/698839/,880人,1人,"¥21,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,视频处理优化,直接雇佣￥ 21000,￥ 21000,任务编号：698839,1196-1414.csv,,,,"视频处理, 优化"
【网站UI设计】各部门宣传页,https://task.epwk.com/698840/,531人,1人,"¥21,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,各部门宣传页,直接雇佣￥ 21000,￥ 21000,任务编号：698840,1196-1414.csv,,,,各部门宣传页
【活动策划】营销活动策划,https://task.epwk.com/698842/,393人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,营销活动策划,直接雇佣￥ 5000,￥ 5000,任务编号：698842,1196-1414.csv,,,,"营销活动, 策划"
【活动策划】微信商城运营,https://task.epwk.com/698844/,513人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,微信商城运营,直接雇佣￥ 2000,￥ 2000,任务编号：698844,1196-1414.csv,,,,"微信商城, 运营"
【活动策划】LOGO 设计,https://task.epwk.com/698845/,701人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,LOGO 设计,直接雇佣￥ 2000,￥ 2000,任务编号：698845,1196-1414.csv,,,,"LOGO, 设计"
【活动策划】微信商城运营,https://task.epwk.com/698846/,551人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,微信商城运营,直接雇佣￥ 5000,￥ 5000,任务编号：698846,1196-1414.csv,,,,"微信商城, 运营"
【企业官网】【千海视觉】网站建设 | 精美企业站（包含PC端、手机端、微信端）,https://task.epwk.com/698847/,254人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,【千海视觉】网站建设 | 精美企业站（包含PC端、手机端、微信端）,直接雇佣￥ 3000,￥ 3000,任务编号：698847,1196-1414.csv,,,,"网站建设, 企业站, PC端, 手机端, 微信端"
【活动策划】微商城搭建装修,https://task.epwk.com/698850/,471人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,微商城搭建装修,直接雇佣￥ 3000,￥ 3000,任务编号：698850,1196-1414.csv,,,,"微商城, 搭建, 装修"
【活动策划】微信商城/小程序,https://task.epwk.com/698854/,542人,1人,"¥6,800",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,微信商城/小程序,直接雇佣￥ 6800,￥ 6800,任务编号：698854,1196-1414.csv,,,,"微信商城, 小程序"
主任logo设计,https://task.epwk.com/698856/,119人,1人,"¥4,500",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,主任logo设计,直接雇佣￥ 4500,￥ 4500,任务编号：698856,1196-1414.csv,,,,"主任logo, 设计"
三维动画制作,https://task.epwk.com/698864/,190人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,三维动画制作,直接雇佣￥ 30000,￥ 30000,任务编号：698864,1196-1414.csv,,,,"三维动画, 制作"
【APP开发】app开发app定制开发app制作app设计app商城安卓苹果,https://task.epwk.com/698866/,162人,1人,"¥17,200",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,app开发app定制开发app制作app设计app商城安卓苹果,直接雇佣￥ 17200,￥ 17200,任务编号：698866,1196-1414.csv,,,,"app开发, app定制, app设计, app商城, 安卓, 苹果"
【H5设计】地产项目月度提报,https://task.epwk.com/698871/,516人,1人,"¥8,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,地产项目月度提报,直接雇佣￥ 8000,￥ 8000,任务编号：698871,1196-1414.csv,,,,"地产项目, 月度提报"
【APP开发】app开发app定制开发app制作app设计app商城安卓苹果,https://task.epwk.com/698872/,138人,1人,"¥16,500",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,app开发app定制开发app制作app设计app商城安卓苹果,直接雇佣￥ 16500,￥ 16500,任务编号：698872,1196-1414.csv,,,,"app开发, app定制, app设计, app商城, 安卓, 苹果"
金融开发APP,https://task.epwk.com/698887/,128人,1人,"¥34,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,金融开发APP,直接雇佣￥ 34000,￥ 34000,任务编号：698887,1196-1414.csv,,,,"金融开发, APP"
网站定制开发,https://task.epwk.com/698896/,216人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,网站定制开发,直接雇佣￥ 40000,￥ 40000,任务编号：698896,1196-1414.csv,,,,"网站定制, 开发"
小程序开发,https://task.epwk.com/698897/,156人,1人,"¥18,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,小程序开发,直接雇佣￥ 18000,￥ 18000,任务编号：698897,1196-1414.csv,,,,小程序开发
【APP开发】社交软件开发,https://task.epwk.com/698903/,113人,1人,"¥43,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,社交软件开发,直接雇佣￥ 43000,￥ 43000,任务编号：698903,1196-1414.csv,,,,"社交软件, 软件开发"
【APP开发】金融开发APP,https://task.epwk.com/698904/,275人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,金融开发APP,直接雇佣￥ 50000,￥ 50000,任务编号：698904,1196-1414.csv,,,,"金融开发, APP"
【智能家居软件】智能家居软件开发,https://task.epwk.com/698905/,1700人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,智能家居软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：698905,1196-1414.csv,,,,"智能家居, 软件开发"
【微信开发】微信商城开发,https://task.epwk.com/698906/,202人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,微信商城开发,直接雇佣￥ 40000,￥ 40000,任务编号：698906,1196-1414.csv,,,,"微信商城, 开发"
【智能家居软件】智能家居软件开发二期,https://task.epwk.com/698907/,1500人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,智能家居软件开发二期,直接雇佣￥ 10000,￥ 10000,任务编号：698907,1196-1414.csv,,,,"智能家居软件, 软件开发, 二期"
【APP开发】电商网站及app开发四期,https://task.epwk.com/698908/,285人,1人,"¥49,900",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,电商网站及app开发四期,直接雇佣￥ 49900,￥ 49900,任务编号：698908,1196-1414.csv,,,,"电商网站, app开发, 四期"
【APP开发】电商网站及app开发尾款,https://task.epwk.com/698910/,207人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,电商网站及app开发尾款,直接雇佣￥ 50000,￥ 50000,任务编号：698910,1196-1414.csv,,,,"电商网站, app开发, 尾款"
【教育教学】教学教育软件开发,https://task.epwk.com/698916/,194人,1人,"¥12,500",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,教学教育软件开发,直接雇佣￥ 12500,￥ 12500,任务编号：698916,1196-1414.csv,,,,"教学教育, 软件开发"
【插画设计】考拉插画稿,https://task.epwk.com/698920/,693人,1人,¥800,圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,考拉插画稿,直接雇佣￥ 800,￥ 800,任务编号：698920,1196-1414.csv,,,,"考拉, 插画稿"
【广告设计】加湿器产品设计,https://task.epwk.com/698927/,562人,1人,"¥41,200",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,加湿器产品设计,直接雇佣￥ 41200,￥ 41200,任务编号：698927,1196-1414.csv,,,,"加湿器, 产品设计"
【APP开发】智能家居系统开发,https://task.epwk.com/698928/,154人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,智能家居系统开发,直接雇佣￥ 50000,￥ 50000,任务编号：698928,1196-1414.csv,,,,"智能家居系统, 系统开发"
【APP开发】智能家居系统开发第二期,https://task.epwk.com/698930/,200人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,智能家居系统开发第二期,直接雇佣￥ 50000,￥ 50000,任务编号：698930,1196-1414.csv,,,,"智能家居系统, 系统开发, 第二期"
【APP开发】直播平台开发,https://task.epwk.com/698934/,156人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,直播平台开发,直接雇佣￥ 50000,￥ 50000,任务编号：698934,1196-1414.csv,,,,"直播平台, 开发"
【其他网站】视频网站开发,https://task.epwk.com/698935/,575人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,视频网站开发,直接雇佣￥ 50000,￥ 50000,任务编号：698935,1196-1414.csv,,,,"视频网站, 开发"
【通讯通信】通信软件开发,https://task.epwk.com/698936/,393人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,通信软件开发,直接雇佣￥ 40000,￥ 40000,任务编号：698936,1196-1414.csv,,,,"通信软件, 软件开发"
【生活家政】团购平台开发,https://task.epwk.com/698937/,285人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1236.html?m=6&o=7,团购平台开发,直接雇佣￥ 50000,￥ 50000,任务编号：698937,1196-1414.csv,,,,"团购平台, 开发"
燃气安全类信息普及专刊,https://task.epwk.com/698945/,156人,1人,"¥19,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,燃气安全类信息普及专刊,直接雇佣￥ 19000,￥ 19000,任务编号：698945,1196-1414.csv,,,,"燃气安全, 信息普及, 专刊"
【企业官网】企业网站建设/公司网站定制开发/网站制作/企业官网/网站开发,https://task.epwk.com/698952/,334人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,企业网站建设/公司网站定制开发/网站制作/企业官网/网站开发,直接雇佣￥ 1500,￥ 1500,任务编号：698952,1196-1414.csv,,,,"企业网站, 网站开发, 公司网站"
【手提袋设计】手提袋设计印刷,https://task.epwk.com/698963/,1015人,1人,"¥4,800",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,手提袋设计印刷,直接雇佣￥ 4800,￥ 4800,任务编号：698963,1196-1414.csv,,,,"手提袋, 设计, 印刷"
【企业官网】企业网站,https://task.epwk.com/698964/,125人,1人,"¥8,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,企业网站,直接雇佣￥ 8000,￥ 8000,任务编号：698964,1196-1414.csv,,,,"企业网站, 网站设计"
【小程序开发】医疗器械展示类小程序和管理类APP开发二期,https://task.epwk.com/698981/,590人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,医疗器械展示类小程序和管理类APP开发二期,直接雇佣￥ 50000,￥ 50000,任务编号：698981,1196-1414.csv,,,,"医疗器械展示, 小程序, 管理类APP, 二期开发"
【APP开发】直播APP源码购买,https://task.epwk.com/698982/,760人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,直播APP源码购买,直接雇佣￥ 1000,￥ 1000,任务编号：698982,1196-1414.csv,,,,"直播APP, 源码购买"
【系统工具】手机app定制服务，app开发，二度开发。,https://task.epwk.com/698991/,717人,1人,"¥49,840",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,手机app定制服务，app开发，二度开发。,直接雇佣￥ 49840,￥ 49840,任务编号：698991,1196-1414.csv,,,,"手机app定制, app开发, 二度开发"
【测试服务】小程序搭建，快速小程序搭建，小程序定制，给类型小程序开发,https://task.epwk.com/698995/,1579人,1人,"¥19,136",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,小程序搭建，快速小程序搭建，小程序定制，给类型小程序开发,直接雇佣￥ 19136,￥ 19136,任务编号：698995,1196-1414.csv,,,,"小程序搭建, 小程序定制, 小程序开发"
微信程序开发,https://task.epwk.com/698997/,102人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,微信程序开发,直接雇佣￥ 50000,￥ 50000,任务编号：698997,1196-1414.csv,,,,"微信程序, 开发"
服务平台APP开发首期,https://task.epwk.com/698999/,70人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,服务平台APP开发首期,直接雇佣￥ 30000,￥ 30000,任务编号：698999,1196-1414.csv,,,,"服务平台APP, 首期开发"
微信小程序制作,https://task.epwk.com/699000/,84人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,微信小程序制作,直接雇佣￥ 25000,￥ 25000,任务编号：699000,1196-1414.csv,,,,"微信小程序, 制作"
微信小程序制作二期,https://task.epwk.com/699001/,73人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,微信小程序制作二期,直接雇佣￥ 25000,￥ 25000,任务编号：699001,1196-1414.csv,,,,"微信小程序, 二期开发"
微信小程序制作末期,https://task.epwk.com/699003/,64人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,微信小程序制作末期,直接雇佣￥ 20000,￥ 20000,任务编号：699003,1196-1414.csv,,,,"微信小程序, 制作末期"
【测试服务】小程序搭建，快速小程序搭建，小程序定制，给类型小程序开发,https://task.epwk.com/699007/,1677人,1人,"¥49,862",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,小程序搭建，快速小程序搭建，小程序定制，给类型小程序开发,直接雇佣￥ 49862,￥ 49862,任务编号：699007,1196-1414.csv,,,,"小程序搭建, 小程序定制, 小程序开发"
【企业官网】网站开发制作，定制型网站开发，企业网站，购物商城，各类网站。,https://task.epwk.com/699013/,201人,1人,"¥49,865",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,网站开发制作，定制型网站开发，企业网站，购物商城，各类网站。,直接雇佣￥ 49865,￥ 49865,任务编号：699013,1196-1414.csv,,,,"网站开发, 定制网站, 企业网站, 购物商城, 网站设计"
【APP开发】交易APP开发,https://task.epwk.com/699021/,154人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,交易APP开发,直接雇佣￥ 50000,￥ 50000,任务编号：699021,1196-1414.csv,,,,"交易APP, 开发"
【企业官网】网站开发服务,https://task.epwk.com/699031/,131人,1人,"¥49,886",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,网站开发服务,直接雇佣￥ 49886,￥ 49886,任务编号：699031,1196-1414.csv,,,,"网站开发, 服务"
【淘宝/天猫代运营】琉妆伊彩拼多多代运营,https://task.epwk.com/699032/,552人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,琉妆伊彩拼多多代运营,直接雇佣￥ 10000,￥ 10000,任务编号：699032,1196-1414.csv,,,,"琉妆伊彩, 拼多多, 代运营"
【小程序开发】二期部分款项,https://task.epwk.com/699034/,189人,1人,"¥4,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,二期部分款项,直接雇佣￥ 4000,￥ 4000,任务编号：699034,1196-1414.csv,,,,二期款项
【APP开发】软件二次开发,https://task.epwk.com/699041/,238人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,软件二次开发,直接雇佣￥ 20000,￥ 20000,任务编号：699041,1196-1414.csv,,,,软件二次开发
【微信推广】【微信H5】微信H5定制开发交互设计ih5认证设计师微信推广,https://task.epwk.com/699043/,558人,1人,"¥79,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,【微信H5】微信H5定制开发交互设计ih5认证设计师微信推广,直接雇佣￥ 79000,￥ 79000,任务编号：699043,1196-1414.csv,,,,"微信H5, 定制开发, 交互设计, ih5认证, 微信推广"
【LOGO设计】生活类服务公司logo设计,https://task.epwk.com/699046/,352人,1人,¥100,圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,生活类服务公司logo设计,直接雇佣￥ 100,￥ 100,任务编号：699046,1196-1414.csv,,,,"生活服务, 公司logo, 设计"
【产品外观设计】儿童学步车外观设计,https://task.epwk.com/699048/,1457人,1人,"¥28,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,儿童学步车外观设计,直接雇佣￥ 28000,￥ 28000,任务编号：699048,1196-1414.csv,,,,"儿童学步车, 外观设计"
一款护肤品包装设计,https://task.epwk.com/699049/,157人,1人,"¥1,200",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,一款护肤品包装设计,直接雇佣￥ 1200,￥ 1200,任务编号：699049,1196-1414.csv,,,,"护肤品包装, 设计"
【产品外观设计】儿童山地越野车外观设计,https://task.epwk.com/699055/,1471人,1人,"¥29,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,儿童山地越野车外观设计,直接雇佣￥ 29000,￥ 29000,任务编号：699055,1196-1414.csv,,,,"儿童山地车, 外观设计"
【创意短视频】做卡通动画,https://task.epwk.com/699061/,877人,1人,¥600,圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,做卡通动画,直接雇佣￥ 600,￥ 600,任务编号：699061,1196-1414.csv,,,,卡通动画
【APP开发】电商网站开发3期,https://task.epwk.com/699065/,108人,1人,"¥15,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,电商网站开发3期,直接雇佣￥ 15000,￥ 15000,任务编号：699065,1196-1414.csv,,,,"电商网站, 开发, 三期"
【LOGO设计】【久铭乐】商标、网站、企业商业餐饮品牌门店公司logo设计,https://task.epwk.com/699066/,248人,1人,"¥39,977",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,【久铭乐】商标、网站、企业商业餐饮品牌门店公司logo设计,直接雇佣￥ 39977,￥ 39977,任务编号：699066,1196-1414.csv,,,,"商标, 企业品牌, 餐饮品牌, 公司logo设计"
【企业官网】非小号网站二开,https://task.epwk.com/699085/,825人,1人,"¥22,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,非小号网站二开,直接雇佣￥ 22000,￥ 22000,任务编号：699085,1196-1414.csv,,,,"非小号网站, 二次开发"
【商业提案】商业计划书招商,https://task.epwk.com/699096/,216人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1235.html?m=6&o=7,商业计划书招商,直接雇佣￥ 2000,￥ 2000,任务编号：699096,1196-1414.csv,,,,"商业计划书, 招商"
【商业提案】品牌故事,https://task.epwk.com/699097/,150人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,品牌故事,直接雇佣￥ 1000,￥ 1000,任务编号：699097,1196-1414.csv,,,,品牌故事
【商业提案】商业计划书,https://task.epwk.com/699099/,166人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,商业计划书,直接雇佣￥ 2000,￥ 2000,任务编号：699099,1196-1414.csv,,,,商业计划书
【商业提案】品牌故事,https://task.epwk.com/699100/,165人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,品牌故事,直接雇佣￥ 1500,￥ 1500,任务编号：699100,1196-1414.csv,,,,品牌故事
【微信开发】多商户分销多功能商城小程序，多种主题，商户可以选择自己的UI主题,https://task.epwk.com/699101/,587人,1人,"¥40,200",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,多商户分销多功能商城小程序，多种主题，商户可以选择自己的UI主题,直接雇佣￥ 40200,￥ 40200,任务编号：699101,1196-1414.csv,,,,"多商户分销, 小程序商城, UI主题"
【商业提案】品牌故事,https://task.epwk.com/699102/,148人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,品牌故事,直接雇佣￥ 1500,￥ 1500,任务编号：699102,1196-1414.csv,,,,品牌故事
出口贸易公司电商自营APP开发一期定金,https://task.epwk.com/699106/,186人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,出口贸易公司电商自营APP开发一期定金,直接雇佣￥ 50000,￥ 50000,任务编号：699106,1196-1414.csv,,,,"出口贸易, 电商自营, APP开发"
【商业贸易】商业贸易软件开发一期,https://task.epwk.com/699110/,571人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1234.html?m=6&o=7,商业贸易软件开发一期,直接雇佣￥ 50000,￥ 50000,任务编号：699110,1196-1414.csv,,,,"商业贸易, 软件开发, 一期"
