标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4
【产品外观设计】3D睡眠眼罩设计，用于开模和加工,https://task.epwk.com/1101624/,175人,1人,1000-3000元,圆满完成,ringchan,3D记忆海绵睡眠眼罩设计，用于开模生产 · 模具类型：一次成型，记忆海绵，全套可用于开模的设计图纸；可以用于投入生产的模具制作   · 材料类型：睡眠眼罩外面是纤维布料，内部是记忆海绵   · 产品信息：用于遮光睡眠，眼罩的设计要全遮光，尤其是鼻翼处不能透光线；接触眼睛的一面，眼窝深度符合欧美人群的睫毛长度，戴上眼罩眨眼睛不能碰到睫毛；用调节绑带，柔软舒适，大小长短可调节，调节扣子的位置不硌后脑勺（躺着睡觉）和太阳XUE位置（侧着睡觉）。,2024.12.28,2025.01.07,任务编号：1101624,￥1000,7天,湖南省-长沙市,素凡创新设计,https://shop.epwk.com/rp5z4vxvwdx3/,素凡创新设计,出售服务,https://shop.epwk.com/rp5z4vxvwdx3/chushou/,工作室,二品,60分,总 87 次中标，交易总金额,￥5.55万,素凡创新设计,,品牌设计 logo,"￥1000
            /次",智能穿戴外观设计,"￥3500
            /次",家纺产品设计,"￥3500
            /次",家电类外观设计,"￥3500
            /次"
【产品外观设计】产品外观设计定金,https://task.epwk.com/1100854/,32人,1人,1000元以内,圆满完成,k1299****19,称呼:赵女士地区:上海需求:类似烟嘴的产品，里面是放中药的，原理跟烟嘴差不多，通过吸进去的方式，但是又想设计的能跟烟嘴区分开的,2024.12.23,2024.12.24,任务编号：1100854,￥200,3天,广东省-深圳市,素凡创新设计,https://shop.epwk.com/rp5z4vxvwdx3/,素凡创新设计,出售服务,https://shop.epwk.com/rp5z4vxvwdx3/chushou/,工作室,二品,60分,总 87 次中标，交易总金额,￥5.55万,素凡创新设计,,品牌设计 logo,"￥1000
            /次",智能穿戴外观设计,"￥3500
            /次",家纺产品设计,"￥3500
            /次",家电类外观设计,"￥3500
            /次"
【包装设计】卫生巾安心裤的包装设计,https://task.epwk.com/1100070/,641人,1人,1000-3000元,圆满完成,k4585****38,"称呼:郑女士所在行业:厂家组织性质:公司地区:山东省,临沂市（服务商地域不限）需求:卫生巾安心裤的包装设计，厂家需求，新品，有喜欢的竞品风格，我们工厂主要做丝巾生产的，其他的卫生巾，成 人裤等都是代工的完成时间:再定预算:1000元一款，系列的4.5千内 备注 微信号是手机号",2024.12.18,2024.12.31,任务编号：1100070,￥1000,7天,山东省-烟台市,素造创意,https://shop.epwk.com/m7d7w92qy5q8/,素造创意,出售服务,https://shop.epwk.com/m7d7w92qy5q8/chushou/,企业,一品,93分,总 220 次中标，交易总金额,￥56.35万,素造创意,,LOGO设计,"￥1680
            /起",品牌vi设计,"￥9800
            /起",形象IP设计,"￥5800
            /起",餐饮全案设计,"￥18800
            /起"
【LOGO设计】食品LOGO设计,https://task.epwk.com/1099728/,40人,2人,1000元以内,圆满完成,E企航qDxLT,食品LOGO设计，500以内，工期：明天下午之前，具体细节详谈,2024.12.16,2024.12.17,任务编号：1099728,￥500,2天,山西省-太原市,壹成品牌设计工作室,https://shop.epwk.com/78dlj061l5lx/,壹成品牌设计工作室,出售服务,https://shop.epwk.com/78dlj061l5lx/chushou/,个人,九品,38分,,,壹成品牌设计工作室,,企业画册宣传单折页设计,"￥200
            /页",,,,,,
【3D建模】三维建模设计，微信沟通,https://task.epwk.com/1099279/,144人,1人,1000元以内,圆满完成,k1349****96,称呼：盖先生地区: 北京，服务商地域不限需求: 我让朋友做了一个双打羽毛球机器人的模型，自己练习，想修改下这个模型，具体的需求以双方协商为准预算: 看服务商报价时间：未定备注：微信是手机号，先微信沟通,2024.12.12,2024.12.20,任务编号：1099279,￥500,40天,河南省-郑州市,郑州万瑞,https://shop.epwk.com/qgdmjoow8dke/,郑州万瑞,出售服务,https://shop.epwk.com/qgdmjoow8dke/chushou/,企业,九品,38分,,,郑州万瑞,,,,,,,,,
【3D建模】将表格内某列单元格数据复制到CAD绘图命令窗口,https://task.epwk.com/1099284/,466人,1人,3000-5000元,圆满完成,k7303****70,用一种方法，将表格内某列单元格数据复制到CAD绘图命令窗口。到字符单元格停止复制表格数据客户自己做。因一列有很多个单元格数据，如果将字符串连再复制到CAD，会因为字符串太长而CAD无法识别，所以要将单元格数据按顺序复制到CAD。有多个表格文件，所以要可选择需要的文件。可以只是一种方便的复制方法，例如Python的命令操作，但要教会客户运用。,2024.12.12,2024.12.18,任务编号：1099284,￥4200,2天,上海市-市辖区,机械加工设计,https://shop.epwk.com/p05qj3egrdev/,机械加工设计,出售服务,https://shop.epwk.com/p05qj3egrdev/chushou/,工作室,七品,52分,总 1 次中标，交易总金额,￥3990.00,机械加工设计,,,,,,,,,
【包装设计】食品包装设计,https://task.epwk.com/1098719/,494人,2人,5000-10000元,圆满完成,k6800****77,称呼:段总地区:四川需求:做酱腌菜的，需要设计产品一系列包装，具体详谈,2024.12.09,2024.12.24,任务编号：1098719,￥8000,30天,四川省-成都市,成都晋禾品牌设计有限公司,https://shop.epwk.com/81n41mkl0np6/,成都晋禾品牌设计有限公司,出售服务,https://shop.epwk.com/81n41mkl0np6/chushou/,企业,六品,55分,总 2 次中标，交易总金额,￥1.07万,成都晋禾品牌设计有限公司,,方便食品面粉泡面螺狮粉酸辣粉泡面方便速食包装设计,"￥800
            /件",四川特产腊肉肉制品腊肠香肠酱熏肉广式腊肠包装设计,"￥1000
            /件",卷纸卫生纸抽纸尿裤尿不湿包装卫生巾安全套包装设计,"￥350
            /件",淀粉面粉米粉酵母婴辅食品蜂蜜饼干鱼肠产品包装设计,"￥500
            /件"
【宣传册设计】企业宣传册设计,https://task.epwk.com/1098522/,105人,1人,1000-3000元,圆满完成,k1732****39,称呼：王先生地区: 福建泉州，服务商地域不限需求: 服装洗涤行业，我们可以提供基本的素材或拍摄图片，设计公司协助润色文案，总页数控制在30页内 。我这边有模版可以修改，不需要重新设计的 。服务商提供过往案例、报价预算: 每页100元以内（超过不考虑）时间：12月底完成备注：微信是手机号,2024.12.05,2025.02.19,任务编号：1098522,￥1000,20天,辽宁省-沈阳市,沈阳中瑞恒信,https://shop.epwk.com/78n96rmkonkv/,沈阳中瑞恒信,出售服务,https://shop.epwk.com/78n96rmkonkv/chushou/,工作室,六品,51分,总 14 次中标，交易总金额,￥9132.00,沈阳中瑞恒信,,,,,,,,,
【产品结构设计】模块化家居产品结构设计,https://task.epwk.com/1115817/,104人,1人,1000-3000元,圆满完成,k6460****2,"开发一套可自由拼接的模块化书架系统，支持横向/纵向扩展，适应不同家居场景。
1、单模块尺寸标准化（基础单元：30cm×30cm×20cm），承重≥20kg；
2、设计隐藏式连接结构，确保拼接稳固且外观无可见紧固件；
3、材料环保（推荐再生塑料或竹纤维复合材料），生产成本控制在单模块≤50元；
4、提供跌落测试、承重测试及用户安装体验优化方案。",2024.12.03,2024.12.15,任务编号：1115817,￥2000,5天,江苏-苏州市-市辖区,苏州熊猫创意科技有限公司,https://shop.epwk.com/78dlj08mp5lx/,,,,,,,,,,,,,,,,,,
【海报设计】彩页的设计,https://task.epwk.com/1097950/,51人,1人,1000-3000元,圆满完成,k3750****19,"称呼:田先生地区:河北省,保定市需求:公司 的彩页设计，电子档的，公司做铜像雕像的完成时间:明晚之前要预算:报价联系备注：手机微信通同号",2024.11.29,2024.12.02,任务编号：1097950,￥1200,2天,广东省-惠州市,微悦文创 | 悦设计,https://shop.epwk.com/2j5xoy3705xm/,微悦文创 | 悦设计,出售服务,https://shop.epwk.com/2j5xoy3705xm/chushou/,工作室,一品,69分,,,微悦文创 | 悦设计,,LOGO设计 商标设计  网站LOGO  APP头像,"￥1000
            /起",画册设计 宣传册设计 杂志设计,"￥200
            /页",装帧设计  封面设计  版式设计  书籍设计,价格面议,VI设计　VI视觉识别系统　VI应用,"￥5000
            /起"
【宣传单设计】宣传单设计,https://task.epwk.com/1097905/,129人,3人,1000元以内,圆满完成,amorosow,宣传单设计,2024.11.28,2024.12.03,任务编号：1097905,"￥600,￥1000","15天,3天","山东省-济南市,山东省-青岛市",鲸语 科技,https://shop.epwk.com/j7n38j1935e1/,鲸语 科技,出售服务,https://shop.epwk.com/j7n38j1935e1/chushou/,企业,四品,63分,总 10 次中标，交易总金额,￥2.14万,鲸语 科技,,APP软件开发,"￥1000
            /起",小程序软件开发,"￥1000
            /起",SAAS区块链开发,"￥1000
            /起",ERP系统开发,"￥1000
            /起"
【海报设计】大型海报设计,https://task.epwk.com/1097899/,169人,1人,1000-3000元,圆满完成,amorosow,大型海报设计,2024.11.28,2024.12.02,任务编号：1097899,￥1000,5天,湖北省-武汉市,抓重点设计,https://shop.epwk.com/zqdpl22m6n1v/,抓重点设计,出售服务,https://shop.epwk.com/zqdpl22m6n1v/chushou/,个人,八品,38分,,,抓重点设计,,Logo设计,"￥1200
            /起",品牌全案视觉策划,价格面议,IP/吉祥物设计,"￥3000
            /起",主视觉（KV）设计,"￥800
            /起"
【展示设计】展览会海报设计,https://task.epwk.com/1097750/,254人,3人,1000-3000元,圆满完成,amorosow,宽950x高2000mm  2張宽53.5x高2000mm  2張横招牌 宽2000x高300mm  1張,2024.11.27,2024.12.04,任务编号：1097750,￥1800,5天,江苏省-南京市,泽若品牌设计工作室,https://shop.epwk.com/0z5o4rxo7njq/,泽若品牌设计工作室,出售服务,https://shop.epwk.com/0z5o4rxo7njq/chushou/,工作室,七品,54分,总 4 次中标，交易总金额,￥3480.90,泽若品牌设计工作室,,专业logo设计,"￥1500
            /件",企业VI手册专业设计,"￥4500
            /件",,,,
【包装设计】设计一套护身符，微信沟通,https://task.epwk.com/1097449/,3434人,2人,1000-3000元,圆满完成,k9215****25,称呼：刘先生地区: 四川，服务商地域不限需求: 需求详见附件  。服务商提供报价、工期预算: 2200元内时间：未定备注：微信注明：公司名称+报价,2024.11.22,2025.01.06,任务编号：1097449,"￥2200,￥2000","30天,3天","辽宁省-沈阳市,山东省-青岛市",视觉灵动.设计,https://shop.epwk.com/78dlj02oe5lx/,视觉灵动.设计,出售服务,https://shop.epwk.com/78dlj02oe5lx/chushou/,个人,七品,53分,总 2 次中标，交易总金额,￥2590.00,视觉灵动.设计,,运营设计-印刷品/H5活动页/详情页,"￥400
            /日",vi视觉设计-商业营销/企业规范,"￥1000
            /日",logo设计 新锐/资深设计/美术指导,"￥500
            /日",,
【宣传册设计】宣传册设计,https://task.epwk.com/1097025/,189人,1人,1000元以内,圆满完成,优客yGxTD,现有.ai源文件更改。有新布局说明。,2024.11.18,2024.12.05,任务编号：1097025,￥600,10天,江苏省-南京市,泽若品牌设计工作室,https://shop.epwk.com/0z5o4rxo7njq/,泽若品牌设计工作室,出售服务,https://shop.epwk.com/0z5o4rxo7njq/chushou/,工作室,七品,54分,总 4 次中标，交易总金额,￥3480.90,泽若品牌设计工作室,,专业logo设计,"￥1500
            /件",企业VI手册专业设计,"￥4500
            /件",,,,
【VI设计】做一个vi，餐饮品牌,https://task.epwk.com/1096952/,1107人,2人,1万-2万元,圆满完成,mf186****0773,品牌名称:悦良家.臻选.精品自助回转小火锅，是一家做自助回转小火锅的牌子，logo悦良家三个字一组，臻选在旁边做个后缀，然后是精品自助回转小火锅要求:传递出菜品的品质上乘，环境舒服让人松弛，有信赖感，从log上感觉是大牌连锁，其他内容由此展开,2024.11.17,2024.12.23,任务编号：1096952,￥11000,14天,山东省-烟台市,素造创意,https://shop.epwk.com/m7d7w92qy5q8/,素造创意,出售服务,https://shop.epwk.com/m7d7w92qy5q8/chushou/,企业,一品,93分,总 220 次中标，交易总金额,￥56.35万,素造创意,,LOGO设计,"￥1680
            /起",品牌vi设计,"￥9800
            /起",形象IP设计,"￥5800
            /起",餐饮全案设计,"￥18800
            /起"
【卡通形象设计】代驾平台卡通形象人物设计,https://task.epwk.com/1096915/,205人,2人,1000-3000元,圆满完成,赛威22QCd,需要设计一个代驾平台的卡通人物形象，可以有多个动作的,2024.11.15,2024.11.22,任务编号：1096915,￥1500,3天,湖南省-湘潭市,素凡创新设计,https://shop.epwk.com/rp5z4vxvwdx3/,素凡创新设计,出售服务,https://shop.epwk.com/rp5z4vxvwdx3/chushou/,工作室,二品,60分,总 87 次中标，交易总金额,￥5.55万,素凡创新设计,,品牌设计 logo,"￥1000
            /次",智能穿戴外观设计,"￥3500
            /次",家纺产品设计,"￥3500
            /次",家电类外观设计,"￥3500
            /次"
【漫画设计】条漫设计，分镜设计,https://task.epwk.com/1096848/,91人,1人,1000-3000元,圆满完成,GKboss,按照提供文案做分镜，做条漫设计，画风比较简单。,2024.11.15,2024.11.22,任务编号：1096848,￥1500,7天,天津市-市辖区,天津博漫插画设计有限公司,https://shop.epwk.com/2j5xojk335xm/,天津博漫插画设计有限公司,出售服务,https://shop.epwk.com/2j5xojk335xm/chushou/,企业,二品,129分,总 56 次中标，交易总金额,￥11.16万,天津博漫插画设计有限公司,,CG插画&游戏原画,"￥1800
            /起",,,,,,
【宣传册设计】产品彩页设计,https://task.epwk.com/1096645/,100人,1人,1000-3000元,圆满完成,k3587****87,称呼:陈先生地区:湖南长沙需求:政府执法机构，要做产品彩页与产品介绍，具体详谈,2024.11.13,2025.01.06,任务编号：1096645,￥2000,10天,湖北省-武汉市,四喜广告,https://shop.epwk.com/3gd2mv9lvner/,四喜广告,出售服务,https://shop.epwk.com/3gd2mv9lvner/chushou/,企业,三品,79分,总 39 次中标，交易总金额,￥5.99万,四喜广告,,视频媒体 商业摄影 动态海报,价格面议,品牌整合 营销策划  地产推广,价格面议,包装设计 礼品设计 文创开发,价格面议,LOGO VI设计  海报设计  宣传册设计,价格面议
【展示设计】校园文化平面设计,https://task.epwk.com/1095661/,480人,3人,3000-5000元,圆满完成,mayuan1007,校园文化平面设计，承接过校园案例的联系，需设计的内容量比较大，详谈,2024.11.01,2024.12.31,任务编号：1095661,￥3180,15天,辽宁省-沈阳市-铁西区,沈阳中瑞恒信,https://shop.epwk.com/78n96rmkonkv/,沈阳中瑞恒信,出售服务,https://shop.epwk.com/78n96rmkonkv/chushou/,工作室,六品,51分,总 14 次中标，交易总金额,￥9132.00,沈阳中瑞恒信,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【宣传单设计】宣传单页及产品效果图设计,https://task.epwk.com/1095613/,32人,1人,1000-3000元,圆满完成,专客z2RFS,称呼：陈女士地区: 北京，服务商地域不限需求: 我们有个新品：泳池的垫层， 我们自己拍摄了照片，觉得效果不好，想找专业的设计公司帮我们设计产品的效果图。此外我们还要设计宣传单页，2页的内容 。服务商提供案例、报价预算: 看服务商报价时间：下周完成备注：微信是手机号,2024.11.01,2024.11.07,任务编号：1095613,￥1280,3天,上海市-市辖区,坤艺科技,https://shop.epwk.com/p05qj3exwdev/,坤艺科技,出售服务,https://shop.epwk.com/p05qj3exwdev/chushou/,企业,五品,37分,,,坤艺科技,,建模与设计,"￥100
            /件",建模与设计,"￥100
            /日",,,,
【包装设计】食品的包装设计,https://task.epwk.com/1095389/,18人,1人,1000元以内,圆满完成,k4880****32,"称呼:李先生地区:湖北省,武汉市(服务商地域不限）需求:食品的包装设计，萝卜干礼盒包装的，简单的图案设计就好预算:200元一款备注 微信号是手机号",2024.10.30,2024.11.04,任务编号：1095389,￥200,3天,湖北省-武汉市,灵悦创想,https://shop.epwk.com/0jnekkrgrnv3/,灵悦创想,出售服务,https://shop.epwk.com/0jnekkrgrnv3/chushou/,工作室,四品,60分,总 35 次中标，交易总金额,￥3.17万,灵悦创想,,品牌全案,价格面议,总监操刀（3套方案）,￥2000,LOGO设计（总监操刀）,￥1000,网站界面设计，淘宝装修,3000
【包装设计】自动售货机外包装上的图案标签设计,https://task.epwk.com/1095358/,22人,1人,1000元以内,圆满完成,k7374****08,"称呼:李先生组织性质:公司地区:重庆,重庆市（服务商地域不限，重庆的更好）需求:自动售货机外包装上的图案标签设计，包括尺寸方面的，售货机是装针对写字楼里用户吃的便当 快餐（现煮好的），设计要求，1.橙色系的，logo是橙色的2.突出便捷，便宜，卫生完成时间:再定预算:报价联系备注 微信号是手机号",2024.10.30,2024.11.11,任务编号：1095358,￥500,3天,湖北省-十堰市,鸿翼创意设计,https://shop.epwk.com/0z5o4yj3qnjq/,鸿翼创意设计,出售服务,https://shop.epwk.com/0z5o4yj3qnjq/chushou/,企业,六品,45分,总 19 次中标，交易总金额,￥1.06万,鸿翼创意设计,,C4D电商场景搭建，产品建模,"￥1000
            /起",电商海报设计，运营海报设计,"￥100
            /件",电商产品主图,"￥100
            /起",移动应用UI设计、企业网站、游戏网站设计、后台界面设计,"￥200
            /页"
【产品外观设计】蓝牙打印机外壳设计,https://task.epwk.com/1094779/,451人,1人,3000-5000元,圆满完成,zth66****1,蓝牙打印机外壳设计，有参考样机。内部结构可以和样机一模一样。外观适当设计美观点即可,2024.10.23,2024.11.27,任务编号：1094779,￥4000,10天,浙江省-杭州市,杭州薪和工业设计有限公司,https://shop.epwk.com/0z5o49qyqnjq/,杭州薪和工业设计有限公司,出售服务,https://shop.epwk.com/0z5o49qyqnjq/chushou/,企业,一品,70分,总 43 次中标，交易总金额,￥17.54万,杭州薪和工业设计有限公司,,家电用品设计,价格面议,工业设计,价格面议,外观设计,价格面议,机械设计,价格面议
【交互设计】类似于 pos 机的 UI,https://task.epwk.com/1094555/,69人,1人,1000元以内,圆满完成,liutongxing,"1.ui 颜色参考最下面的颜色
2.分辨率 1440×720
3.单独联系我",2024.10.21,2024.10.26,任务编号：1094555,￥600,4天,河南省-开封市,河南武林网络科技有限公司,https://shop.epwk.com/qgdmjx9lqdke/,河南武林网络科技有限公司,出售服务,https://shop.epwk.com/qgdmjx9lqdke/chushou/,企业,一品,102分,,,河南武林网络科技有限公司,,logo设计,"￥100
            /起",网站开发,"￥1
            /年",交互设计,"￥1
            /年",ICP及EDI办理,"￥3000
            /件"
【VI设计】整套VI设计,https://task.epwk.com/1094118/,179人,1人,1000-3000元,圆满完成,k9911****50,称呼:邓先生地区:广东深圳需求:中文名，司电  司电云 英文是Powersort，互联网充电桩，Logo，标识，辅助图形，PPT，杯子等，需要有做过这块经验的设计带过往的案例作品对接完成时间:价格合适随时启动预算:报价联系备注：已确定合作，设计内容，金额工期验收的标准都以双方沟通合同为准,2024.10.16,2024.10.28,任务编号：1094118,￥2680,5天,山西省-太原市,欢喜创意,https://shop.epwk.com/9w56eqqrkdv1/,欢喜创意,出售服务,https://shop.epwk.com/9w56eqqrkdv1/chushou/,企业,四品,67分,总 38 次中标，交易总金额,￥4.48万,欢喜创意,,品牌VI-视觉识别系统,"￥2800
            /起",产品包装策划设计,"￥1988
            /起",文创及周边策划设计,"￥1688
            /起",标志（LOGO）创意设计,"￥888
            /起"
【3D建模】箱桌3D建模,https://task.epwk.com/1093961/,1510人,2人,1000-3000元,圆满完成,居多牧felZP,箱桌3D建模，就一款，机械类的，原模型不是机械做的，需要帮忙改进，具体细节详谈需要原创作品，后期需要进行专利申请，不要二次创作中午或者晚上联系，白天比较没有时间,2024.10.14,2024.11.11,任务编号：1093961,"￥2000,￥750","15天,10天","广东省-深圳市,湖北省-武汉市",深圳捷为设计有限公司,https://shop.epwk.com/p05qj38w3dev/,深圳捷为设计有限公司,出售服务,https://shop.epwk.com/p05qj38w3dev/chushou/,企业,七品,59分,总 2 次中标，交易总金额,￥3900.00,深圳捷为设计有限公司,,工业产品外观结构设计犀牛建模KSc4d 渲染效果图,"￥100
            /起",,,,,,
