标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,,
【企业官网】做一个企业的网站,https://task.epwk.com/913474/,176人,1人,"¥2,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,做一个企业的网站,直接雇佣￥ 2000,￥ 2000,任务编号：913474,157-327.csv,,,
【APP开发】商城购物app、租赁交易app、电影购票app等,https://task.epwk.com/913476/,272人,1人,"¥30,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,商城购物app、租赁交易app、电影购票app等,直接雇佣￥ 30000,￥ 30000,任务编号：913476,157-327.csv,,,
【海报设计】年度平面设计,https://task.epwk.com/913496/,769人,1人,"¥5,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,年度平面设计,直接雇佣￥ 5000,￥ 5000,任务编号：913496,157-327.csv,,,
【VI设计】猫粮包装，logo,https://task.epwk.com/913515/,364人,1人,"¥2,300",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,猫粮包装，logo,直接雇佣￥ 2300,￥ 2300,任务编号：913515,157-327.csv,,,
【微信开发】ipad718vx和安卓720源码，开发帮助文档,https://task.epwk.com/913526/,493人,1人,"¥3,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,ipad718vx和安卓720源码，开发帮助文档,直接雇佣￥ 3000,￥ 3000,任务编号：913526,157-327.csv,,,
【LOGO设计】LOGO设计,https://task.epwk.com/913545/,159人,1人,"¥2,980",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,LOGO设计,直接雇佣￥ 2980,￥ 2980,任务编号：913545,157-327.csv,,,
【新媒体营销】公众号文章编写,https://task.epwk.com/913571/,356人,1人,"¥3,800",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,公众号文章编写,直接雇佣￥ 3800,￥ 3800,任务编号：913571,157-327.csv,,,
【PPT设计】PPT美化/代做PPT,https://task.epwk.com/913604/,364人,1人,¥100,圆满完成,https://task.epwk.com/page177.html?m=6&o=7,PPT美化/代做PPT,直接雇佣￥ 100,￥ 100,任务编号：913604,157-327.csv,,,
【品牌策划】品牌全案套餐A,https://task.epwk.com/913621/,151人,1人,"¥1,200",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐A,直接雇佣￥ 1200,￥ 1200,任务编号：913621,157-327.csv,,,
【品牌策划】品牌全案套餐B,https://task.epwk.com/913622/,134人,1人,"¥2,800",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐B,直接雇佣￥ 2800,￥ 2800,任务编号：913622,157-327.csv,,,
【品牌策划】品牌全案套餐B,https://task.epwk.com/913623/,187人,1人,"¥2,400",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐B,直接雇佣￥ 2400,￥ 2400,任务编号：913623,157-327.csv,,,
【品牌策划】品牌全案套餐A,https://task.epwk.com/913624/,116人,1人,"¥1,200",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐A,直接雇佣￥ 1200,￥ 1200,任务编号：913624,157-327.csv,,,
【品牌策划】品牌全案套餐B,https://task.epwk.com/913625/,117人,1人,"¥2,400",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐B,直接雇佣￥ 2400,￥ 2400,任务编号：913625,157-327.csv,,,
【品牌策划】品牌全案套餐B,https://task.epwk.com/913628/,166人,1人,"¥3,800",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐B,直接雇佣￥ 3800,￥ 3800,任务编号：913628,157-327.csv,,,
【品牌策划】品牌全案套餐A,https://task.epwk.com/913632/,143人,1人,"¥1,200",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐A,直接雇佣￥ 1200,￥ 1200,任务编号：913632,157-327.csv,,,
【品牌策划】品牌全案套餐A,https://task.epwk.com/913633/,137人,1人,"¥1,200",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐A,直接雇佣￥ 1200,￥ 1200,任务编号：913633,157-327.csv,,,
【LOGO设计】口罩包装logo设计,https://task.epwk.com/913661/,110人,1人,"¥2,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,口罩包装logo设计,直接雇佣￥ 2000,￥ 2000,任务编号：913661,157-327.csv,,,
【主图设计】年终大促主图设计,https://task.epwk.com/913665/,490人,1人,"¥1,500",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,年终大促主图设计,直接雇佣￥ 1500,￥ 1500,任务编号：913665,157-327.csv,,,
【LOGO设计】口罩logo尾款,https://task.epwk.com/913667/,125人,1人,"¥4,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,口罩logo尾款,直接雇佣￥ 4000,￥ 4000,任务编号：913667,157-327.csv,,,
【APP开发】商城APP开发,https://task.epwk.com/913669/,100人,1人,"¥32,032",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,商城APP开发,直接雇佣￥ 32032,￥ 32032,任务编号：913669,157-327.csv,,,
【LOGO设计】烈焰魔狮动漫形象角色设计,https://task.epwk.com/913674/,97人,1人,"¥1,980",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,烈焰魔狮动漫形象角色设计,直接雇佣￥ 1980,￥ 1980,任务编号：913674,157-327.csv,,,
【包装设计】燕窝礼盒设计,https://task.epwk.com/913695/,219人,1人,"¥5,850",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,燕窝礼盒设计,直接雇佣￥ 5850,￥ 5850,任务编号：913695,157-327.csv,,,
【衣柜定制】定制衣柜,https://task.epwk.com/913698/,809人,1人,"¥19,000",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,定制衣柜,直接雇佣￥ 19000,￥ 19000,任务编号：913698,157-327.csv,,,
【LOGO设计】广杏网后台接口开发,https://task.epwk.com/913709/,81人,1人,"¥1,970",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,广杏网后台接口开发,直接雇佣￥ 1970,￥ 1970,任务编号：913709,157-327.csv,,,
官网开发,https://task.epwk.com/913726/,268人,1人,"¥10,000",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,官网开发,直接雇佣￥ 10000,￥ 10000,任务编号：913726,157-327.csv,,,
【产品卖点】产品文案,https://task.epwk.com/913730/,616人,1人,"¥10,000",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,产品文案,直接雇佣￥ 10000,￥ 10000,任务编号：913730,157-327.csv,,,
【纸杯设计】纸杯设计,https://task.epwk.com/913732/,875人,1人,"¥12,000",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,纸杯设计,直接雇佣￥ 12000,￥ 12000,任务编号：913732,157-327.csv,,,
【APP开发】智能摄像头监控系统,https://task.epwk.com/913745/,250人,1人,"¥57,240",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,智能摄像头监控系统,直接雇佣￥ 57240,￥ 57240,任务编号：913745,157-327.csv,,,
新楼盘网络推广服务,https://task.epwk.com/913754/,113人,1人,"¥43,900",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,新楼盘网络推广服务,直接雇佣￥ 43900,￥ 43900,任务编号：913754,157-327.csv,,,
网络营销服务,https://task.epwk.com/913760/,151人,1人,"¥34,389",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,网络营销服务,直接雇佣￥ 34389,￥ 34389,任务编号：913760,157-327.csv,,,
【微信推广】微信朋友圈附近推半年套餐,https://task.epwk.com/913764/,286人,1人,"¥11,800",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,微信朋友圈附近推半年套餐,直接雇佣￥ 11800,￥ 11800,任务编号：913764,157-327.csv,,,
【微信推广】微信朋友圈附近推月度套餐,https://task.epwk.com/913771/,179人,1人,"¥2,800",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,微信朋友圈附近推月度套餐,直接雇佣￥ 2800,￥ 2800,任务编号：913771,157-327.csv,,,
【排版设计】书籍排版设计,https://task.epwk.com/913776/,492人,1人,"¥4,352",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,书籍排版设计,直接雇佣￥ 4352,￥ 4352,任务编号：913776,157-327.csv,,,
【产品外观设计】设计机器狗,https://task.epwk.com/913789/,1766人,1人,"¥24,721",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,设计机器狗,直接雇佣￥ 24721,￥ 24721,任务编号：913789,157-327.csv,,,
【3D建模】建模,https://task.epwk.com/913826/,2502人,1人,"¥20,000",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,建模,直接雇佣￥ 20000,￥ 20000,任务编号：913826,157-327.csv,,,
【APP开发】多门店系统开发,https://task.epwk.com/913839/,123人,1人,"¥8,500",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,多门店系统开发,直接雇佣￥ 8500,￥ 8500,任务编号：913839,157-327.csv,,,
【LOGO设计】安客网前端页面开发,https://task.epwk.com/913853/,67人,1人,"¥1,980",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,安客网前端页面开发,直接雇佣￥ 1980,￥ 1980,任务编号：913853,157-327.csv,,,
【品牌策划】餐饮店品牌全案套餐A,https://task.epwk.com/913857/,114人,1人,"¥1,200",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,餐饮店品牌全案套餐A,直接雇佣￥ 1200,￥ 1200,任务编号：913857,157-327.csv,,,
【品牌策划】服装店品牌全案套餐B,https://task.epwk.com/913860/,216人,1人,"¥2,800",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,服装店品牌全案套餐B,直接雇佣￥ 2800,￥ 2800,任务编号：913860,157-327.csv,,,
【品牌策划】餐饮店品牌全案套餐A+餐饮店起名,https://task.epwk.com/913861/,297人,1人,"¥1,800",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,餐饮店品牌全案套餐A+餐饮店起名,直接雇佣￥ 1800,￥ 1800,任务编号：913861,157-327.csv,,,
【品牌策划】中间盛世建筑品牌全案套餐A,https://task.epwk.com/913864/,101人,1人,"¥1,200",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,中间盛世建筑品牌全案套餐A,直接雇佣￥ 1200,￥ 1200,任务编号：913864,157-327.csv,,,
【VI设计】户型图,https://task.epwk.com/913868/,196人,1人,¥600,圆满完成,https://task.epwk.com/page176.html?m=6&o=7,户型图,直接雇佣￥ 600,￥ 600,任务编号：913868,157-327.csv,,,
【画册设计】宣传画册设计,https://task.epwk.com/913903/,694人,1人,"¥6,656",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,宣传画册设计,直接雇佣￥ 6656,￥ 6656,任务编号：913903,157-327.csv,,,
【其他行业】跑腿app,https://task.epwk.com/913931/,347人,1人,"¥30,000",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,跑腿app,直接雇佣￥ 30000,￥ 30000,任务编号：913931,157-327.csv,,,
【品牌策划】房产品牌全案套餐C,https://task.epwk.com/913932/,154人,1人,"¥4,200",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,房产品牌全案套餐C,直接雇佣￥ 4200,￥ 4200,任务编号：913932,157-327.csv,,,
【品牌策划】蕃小锅品牌全案A品牌升级,https://task.epwk.com/913936/,156人,1人,"¥1,200",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,蕃小锅品牌全案A品牌升级,直接雇佣￥ 1200,￥ 1200,任务编号：913936,157-327.csv,,,
【品牌策划】中子科技品牌全案套餐B,https://task.epwk.com/913938/,314人,1人,"¥1,500",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,中子科技品牌全案套餐B,直接雇佣￥ 1500,￥ 1500,任务编号：913938,157-327.csv,,,
【品牌策划】驰久品牌全案套餐B,https://task.epwk.com/913939/,218人,1人,"¥2,800",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,驰久品牌全案套餐B,直接雇佣￥ 2800,￥ 2800,任务编号：913939,157-327.csv,,,
【APP开发】人事管理系统软件开发2期,https://task.epwk.com/913943/,171人,1人,"¥24,000",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,人事管理系统软件开发2期,直接雇佣￥ 24000,￥ 24000,任务编号：913943,157-327.csv,,,
【APP开发】订单管理软件开发尾款,https://task.epwk.com/913948/,163人,1人,"¥46,000",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,订单管理软件开发尾款,直接雇佣￥ 46000,￥ 46000,任务编号：913948,157-327.csv,,,
【LOGO设计】翡翠江南餐厅年末促销宣传单设计,https://task.epwk.com/913956/,268人,1人,"¥1,970",圆满完成,https://task.epwk.com/page176.html?m=6&o=7,翡翠江南餐厅年末促销宣传单设计,直接雇佣￥ 1970,￥ 1970,任务编号：913956,157-327.csv,,,
【其他软件开发】百恬康软件测试服务,https://task.epwk.com/913957/,612人,1人,¥10,圆满完成,https://task.epwk.com/page176.html?m=6&o=7,百恬康软件测试服务,直接雇佣￥ 10,￥ 10,任务编号：913957,157-327.csv,,,
【小程序开发】CRM客户关系管理系统1期,https://task.epwk.com/913983/,156人,1人,"¥42,800",圆满完成,https://task.epwk.com/page175.html?m=6&o=7,CRM客户关系管理系统1期,直接雇佣￥ 42800,￥ 42800,任务编号：913983,157-327.csv,,,
【其他软件开发】微商城4期,https://task.epwk.com/913986/,139人,1人,"¥20,000",圆满完成,https://task.epwk.com/page175.html?m=6&o=7,微商城4期,直接雇佣￥ 20000,￥ 20000,任务编号：913986,157-327.csv,,,
【微信推广】微信朋友圈附近推月度套餐,https://task.epwk.com/914011/,208人,1人,"¥2,800",圆满完成,https://task.epwk.com/page175.html?m=6&o=7,微信朋友圈附近推月度套餐,直接雇佣￥ 2800,￥ 2800,任务编号：914011,157-327.csv,,,
媒体发布1,https://task.epwk.com/914013/,68人,1人,"¥9,678",圆满完成,https://task.epwk.com/page175.html?m=6&o=7,媒体发布1,直接雇佣￥ 9678,￥ 9678,任务编号：914013,157-327.csv,,,
