标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,
【表情设计】12个动态表情设计,https://task.epwk.com/1028950/,231人,1人,"¥4,500",圆满完成,,12个动态表情设计,直接雇佣￥ 4500,￥ 4500,任务编号：1028950,0-88.csv,,
【电商网站】电商网站搭建，电商小程序搭建,https://task.epwk.com/1029008/,349人,1人,"¥14,000",圆满完成,,电商网站搭建，电商小程序搭建,直接雇佣￥ 14000,￥ 14000,任务编号：1029008,0-88.csv,,
【其他软件开发】体育采集注单跟投软件,https://task.epwk.com/1029102/,92人,1人,"¥7,000",圆满完成,,体育采集注单跟投软件,直接雇佣￥ 7000,￥ 7000,任务编号：1029102,0-88.csv,,
【小程序开发】手机页面开发,https://task.epwk.com/1029156/,680人,1人,¥300,圆满完成,,手机页面开发,直接雇佣￥ 300,￥ 300,任务编号：1029156,0-88.csv,,
【书籍装帧】书本装帧排版设计,https://task.epwk.com/1029157/,70人,1人,"¥7,920",圆满完成,,书本装帧排版设计,直接雇佣￥ 7920,￥ 7920,任务编号：1029157,0-88.csv,,
【LOGO设计】企业标志设计,https://task.epwk.com/1029176/,78人,1人,"¥3,500",圆满完成,,企业标志设计,直接雇佣￥ 3500,￥ 3500,任务编号：1029176,0-88.csv,,
【三维动画】游戏人物，场景，地图设计第二部分,https://task.epwk.com/1029377/,458人,1人,"¥7,200",圆满完成,,游戏人物，场景，地图设计第二部分,直接雇佣￥ 7200,￥ 7200,任务编号：1029377,0-88.csv,,
【彩页设计】项目推广手册设计,https://task.epwk.com/1029391/,92人,1人,"¥7,300",圆满完成,,项目推广手册设计,直接雇佣￥ 7300,￥ 7300,任务编号：1029391,0-88.csv,,
【VI设计】农科品牌设计,https://task.epwk.com/1029396/,84人,1人,"¥6,600",圆满完成,,农科品牌设计,直接雇佣￥ 6600,￥ 6600,任务编号：1029396,0-88.csv,,
【其他软件开发】数据信息收集（某一个网站信息的收集）,https://task.epwk.com/1029521/,758人,1人,¥600,圆满完成,,数据信息收集（某一个网站信息的收集）,直接雇佣￥ 600,￥ 600,任务编号：1029521,0-88.csv,,
【APP开发】二开软件增加im聊天功能等,https://task.epwk.com/1029524/,128人,1人,"¥8,000",圆满完成,,二开软件增加im聊天功能等,直接雇佣￥ 8000,￥ 8000,任务编号：1029524,0-88.csv,,
【H5开发】手机页面开发,https://task.epwk.com/1029527/,943人,1人,¥200,圆满完成,,手机页面开发,直接雇佣￥ 200,￥ 200,任务编号：1029527,0-88.csv,,
【LOGO设计】卡通形象设计,https://task.epwk.com/1029620/,111人,1人,¥500,圆满完成,,卡通形象设计,直接雇佣￥ 500,￥ 500,任务编号：1029620,0-88.csv,,
【电商网站】需要现成的商城系统,https://task.epwk.com/1029699/,142人,1人,"¥13,199",圆满完成,,需要现成的商城系统,直接雇佣￥ 13199,￥ 13199,任务编号：1029699,0-88.csv,,
【企业宣传片】想做宣传招商加盟的DY短视频宣传,https://task.epwk.com/1029713/,234人,1人,¥50,圆满完成,,想做宣传招商加盟的DY短视频宣传,直接雇佣￥ 50,￥ 50,任务编号：1029713,0-88.csv,,
【小程序开发】原来的报名小程序再次二次开发,https://task.epwk.com/1029789/,158人,1人,"¥6,000",圆满完成,,原来的报名小程序再次二次开发,直接雇佣￥ 6000,￥ 6000,任务编号：1029789,0-88.csv,,
【书籍装帧】2月刊设计,https://task.epwk.com/1029938/,117人,1人,"¥14,600",圆满完成,,2月刊设计,直接雇佣￥ 14600,￥ 14600,任务编号：1029938,0-88.csv,,
【商业空间】办公室施工图设计,https://task.epwk.com/1029962/,97人,1人,"¥1,500",圆满完成,,办公室施工图设计,直接雇佣￥ 1500,￥ 1500,任务编号：1029962,0-88.csv,,
【表情设计】4个动态表情设计,https://task.epwk.com/1029996/,161人,1人,"¥1,500",圆满完成,,4个动态表情设计,直接雇佣￥ 1500,￥ 1500,任务编号：1029996,0-88.csv,,
【小程序开发】租车答题刷题电影跑腿废品回收,https://task.epwk.com/1030023/,114人,1人,"¥6,999",圆满完成,,租车答题刷题电影跑腿废品回收,直接雇佣￥ 6999,￥ 6999,任务编号：1030023,0-88.csv,,
【SAAS软件】SAAS商城,https://task.epwk.com/1030024/,137人,1人,"¥8,500",圆满完成,,SAAS商城,直接雇佣￥ 8500,￥ 8500,任务编号：1030024,0-88.csv,,
【包装设计】特产礼品装包装设计,https://task.epwk.com/1030053/,68人,1人,"¥6,500",圆满完成,,特产礼品装包装设计,直接雇佣￥ 6500,￥ 6500,任务编号：1030053,0-88.csv,,
【小程序开发】呼律师小程序,https://task.epwk.com/1030067/,82人,1人,"¥4,600",圆满完成,,呼律师小程序,直接雇佣￥ 4600,￥ 4600,任务编号：1030067,0-88.csv,,
【运维服务】服务器维护季度费用,https://task.epwk.com/1030070/,100人,1人,"¥4,000",圆满完成,,服务器维护季度费用,直接雇佣￥ 4000,￥ 4000,任务编号：1030070,0-88.csv,,
【详情页设计】电商信息流广告,https://task.epwk.com/1030093/,226人,1人,"¥1,250",圆满完成,,电商信息流广告,直接雇佣￥ 1250,￥ 1250,任务编号：1030093,0-88.csv,,
【VI设计】煨汤煨菜店LOGO设计和IP形象设计,https://task.epwk.com/1030324/,104人,1人,"¥5,000",圆满完成,,煨汤煨菜店LOGO设计和IP形象设计,直接雇佣￥ 5000,￥ 5000,任务编号：1030324,0-88.csv,,
【APP开发】苹果筛选im,https://task.epwk.com/1030457/,230人,1人,¥500,圆满完成,,苹果筛选im,直接雇佣￥ 500,￥ 500,任务编号：1030457,0-88.csv,,
【APP开发】手机数据恢复软件开发一期款（共三期）,https://task.epwk.com/1030486/,109人,1人,"¥21,000",圆满完成,,手机数据恢复软件开发一期款（共三期）,直接雇佣￥ 21000,￥ 21000,任务编号：1030486,0-88.csv,,
【H5开发】手机页面开发,https://task.epwk.com/1030507/,1928人,1人,¥400,圆满完成,,手机页面开发,直接雇佣￥ 400,￥ 400,任务编号：1030507,0-88.csv,,
【其他网站】开发双控平台,https://task.epwk.com/1030620/,42人,1人,"¥1,500",圆满完成,,开发双控平台,直接雇佣￥ 1500,￥ 1500,任务编号：1030620,0-88.csv,,
【APP开发】离线聊天APP,https://task.epwk.com/1030840/,128人,1人,"¥2,300",圆满完成,,离线聊天APP,直接雇佣￥ 2300,￥ 2300,任务编号：1030840,0-88.csv,,
【H5开发】手机页面开发,https://task.epwk.com/1030945/,1499人,1人,¥300,圆满完成,,手机页面开发,直接雇佣￥ 300,￥ 300,任务编号：1030945,0-88.csv,,
【响应式网站】根据ui弄成前端,https://task.epwk.com/1031101/,139人,1人,"¥5,656",圆满完成,,根据ui弄成前端,直接雇佣￥ 5656,￥ 5656,任务编号：1031101,0-88.csv,,
【包装设计】悦读童年寻根中华logo设计,https://task.epwk.com/1031160/,92人,1人,¥500,圆满完成,,悦读童年寻根中华logo设计,直接雇佣￥ 500,￥ 500,任务编号：1031160,0-88.csv,,
【LOGO设计】设计字体LOGO,https://task.epwk.com/1031453/,166人,1人,"¥4,800",圆满完成,,设计字体LOGO,直接雇佣￥ 4800,￥ 4800,任务编号：1031453,0-88.csv,,
【其他软件开发】安全双控开发,https://task.epwk.com/1031489/,81人,1人,"¥3,300",圆满完成,,安全双控开发,直接雇佣￥ 3300,￥ 3300,任务编号：1031489,0-88.csv,,
【其他软件开发】oa项目和pm项目数据同步,https://task.epwk.com/1031490/,40人,1人,"¥6,000",圆满完成,,oa项目和pm项目数据同步,直接雇佣￥ 6000,￥ 6000,任务编号：1031490,0-88.csv,,
【APP界面设计】APP页面设计,https://task.epwk.com/1031556/,1351人,1人,¥400,圆满完成,,APP页面设计,直接雇佣￥ 400,￥ 400,任务编号：1031556,0-88.csv,,
【商业提案】中医药宣传海报设计,https://task.epwk.com/1031597/,383人,1人,"¥2,000",圆满完成,,中医药宣传海报设计,直接雇佣￥ 2000,￥ 2000,任务编号：1031597,0-88.csv,,
【其他软件开发】批量使用表格-从百度网盘下载图片,https://task.epwk.com/1031671/,548人,1人,¥900,圆满完成,,批量使用表格-从百度网盘下载图片,直接雇佣￥ 900,￥ 900,任务编号：1031671,0-88.csv,,
【VI设计】餐饮品牌设计,https://task.epwk.com/1031672/,95人,1人,"¥5,800",圆满完成,,餐饮品牌设计,直接雇佣￥ 5800,￥ 5800,任务编号：1031672,0-88.csv,,
【小程序开发】商城二次开发,https://task.epwk.com/1031791/,118人,1人,"¥3,000",圆满完成,,商城二次开发,直接雇佣￥ 3000,￥ 3000,任务编号：1031791,0-88.csv,,
【书籍装帧】装帧排版设计,https://task.epwk.com/1031964/,92人,1人,"¥7,260",圆满完成,,装帧排版设计,直接雇佣￥ 7260,￥ 7260,任务编号：1031964,0-88.csv,,
【电商网站】设计网站,https://task.epwk.com/1031999/,286人,1人,¥100,圆满完成,,设计网站,直接雇佣￥ 100,￥ 100,任务编号：1031999,0-88.csv,,
【电商网站】具体看下方链接微信沟通,https://task.epwk.com/1032097/,324人,1人,"¥31,000",圆满完成,,具体看下方链接微信沟通,直接雇佣￥ 31000,￥ 31000,任务编号：1032097,0-88.csv,,
【LOGO设计】商标设计,https://task.epwk.com/1032128/,98人,1人,"¥3,600",圆满完成,,商标设计,直接雇佣￥ 3600,￥ 3600,任务编号：1032128,0-88.csv,,
【网站二次开发】卡密源码增加一个很小的功能,https://task.epwk.com/1032218/,225人,1人,¥100,圆满完成,,卡密源码增加一个很小的功能,直接雇佣￥ 100,￥ 100,任务编号：1032218,0-88.csv,,
【其他软件开发】shopee上货软件开发,https://task.epwk.com/1032224/,92人,1人,"¥6,000",圆满完成,,shopee上货软件开发,直接雇佣￥ 6000,￥ 6000,任务编号：1032224,0-88.csv,,
【定制开发】弘德燊系统其它升级部分,https://task.epwk.com/1032237/,2120人,1人,¥500,圆满完成,,弘德燊系统其它升级部分,直接雇佣￥ 500,￥ 500,任务编号：1032237,0-88.csv,,
【H5开发】手机页面开发,https://task.epwk.com/1032272/,1991人,1人,¥300,圆满完成,,手机页面开发,直接雇佣￥ 300,￥ 300,任务编号：1032272,0-88.csv,,
【彩页设计】2023年3月刊,https://task.epwk.com/1032551/,90人,1人,"¥13,800",圆满完成,,2023年3月刊,直接雇佣￥ 13800,￥ 13800,任务编号：1032551,0-88.csv,,
【商业提案】服装行业商业计划书,https://task.epwk.com/1032568/,91人,1人,"¥2,500",圆满完成,,服装行业商业计划书,直接雇佣￥ 2500,￥ 2500,任务编号：1032568,0-88.csv,,
【LOGO设计】甜品店logo设计,https://task.epwk.com/1032760/,122人,1人,¥30,圆满完成,,甜品店logo设计,直接雇佣￥ 30,￥ 30,任务编号：1032760,0-88.csv,,
【包装设计】高档礼盒设计,https://task.epwk.com/1032872/,70人,1人,"¥8,000",圆满完成,,高档礼盒设计,直接雇佣￥ 8000,￥ 8000,任务编号：1032872,0-88.csv,,
【剪辑服务】剪辑制作,https://task.epwk.com/1032952/,25766人,1人,¥40,待验收,,剪辑制作,直接雇佣￥ 40,￥ 40,任务编号：1032952,0-88.csv,,
【网站二次开发】给源码增加自动充值话费API接口,https://task.epwk.com/1033086/,76人,1人,"¥1,000",圆满完成,,给源码增加自动充值话费API接口,直接雇佣￥ 1000,￥ 1000,任务编号：1033086,0-88.csv,,
【网站二次开发】影视站开发,https://task.epwk.com/1033183/,165人,1人,"¥19,000",圆满完成,,影视站开发,直接雇佣￥ 19000,￥ 19000,任务编号：1033183,0-88.csv,,
【画册设计】公司宣传册排版设计,https://task.epwk.com/1033462/,85人,1人,"¥7,500",圆满完成,,公司宣传册排版设计,直接雇佣￥ 7500,￥ 7500,任务编号：1033462,0-88.csv,,
【门户网站】官网开发,https://task.epwk.com/1033488/,93人,1人,"¥2,000",圆满完成,,官网开发,直接雇佣￥ 2000,￥ 2000,任务编号：1033488,0-88.csv,,
【小程序开发】线缆厂仓存小程序,https://task.epwk.com/1033564/,66人,1人,"¥4,300",圆满完成,,线缆厂仓存小程序,直接雇佣￥ 4300,￥ 4300,任务编号：1033564,0-88.csv,,
【手机网站】手机展示类网站开发,https://task.epwk.com/1033641/,81人,1人,"¥3,300",圆满完成,,手机展示类网站开发,直接雇佣￥ 3300,￥ 3300,任务编号：1033641,0-88.csv,,
【小程序开发】线缆厂小程序ui,https://task.epwk.com/1033705/,60人,1人,"¥3,500",圆满完成,,线缆厂小程序ui,直接雇佣￥ 3500,￥ 3500,任务编号：1033705,0-88.csv,,
【定制开发】影视站开发,https://task.epwk.com/1033736/,326人,1人,"¥18,000",圆满完成,,影视站开发,直接雇佣￥ 18000,￥ 18000,任务编号：1033736,0-88.csv,,
【封面设计】课堂讲义封面,https://task.epwk.com/1034048/,70人,1人,¥200,圆满完成,,课堂讲义封面,直接雇佣￥ 200,￥ 200,任务编号：1034048,0-88.csv,,
【LOGO设计】科技论坛LOGO设计,https://task.epwk.com/1034106/,122人,1人,¥700,圆满完成,,科技论坛LOGO设计,直接雇佣￥ 700,￥ 700,任务编号：1034106,0-88.csv,,
【海报设计】海报设计，已经确认好,https://task.epwk.com/1034139/,190人,1人,¥650,圆满完成,,海报设计，已经确认好,直接雇佣￥ 650,￥ 650,任务编号：1034139,0-88.csv,,
【宣传册设计】商务局画册,https://task.epwk.com/1034209/,140人,1人,¥500,圆满完成,,商务局画册,直接雇佣￥ 500,￥ 500,任务编号：1034209,0-88.csv,,
【其他网站】人事档案检索,https://task.epwk.com/1034211/,79人,1人,"¥1,000",圆满完成,,人事档案检索,直接雇佣￥ 1000,￥ 1000,任务编号：1034211,0-88.csv,,
【VI设计】P图,https://task.epwk.com/1034220/,172人,1人,"¥1,800",圆满完成,,P图,直接雇佣￥ 1800,￥ 1800,任务编号：1034220,0-88.csv,,
【包装设计】Logo设计,https://task.epwk.com/1034365/,159人,1人,¥500,圆满完成,,Logo设计,直接雇佣￥ 500,￥ 500,任务编号：1034365,0-88.csv,,
【LOGO设计】铅笔盒包装盒。卡通,https://task.epwk.com/1034467/,262人,1人,¥500,待验收,,铅笔盒包装盒。卡通,直接雇佣￥ 500,￥ 500,任务编号：1034467,0-88.csv,,
【网站二次开发】督查督办业务变更2和3-风险检查手机端,https://task.epwk.com/1034683/,45人,1人,"¥4,200",圆满完成,,督查督办业务变更2和3-风险检查手机端,直接雇佣￥ 4200,￥ 4200,任务编号：1034683,0-88.csv,,
【其他软件开发】闲鱼商品上架助手,https://task.epwk.com/1034707/,2125人,1人,¥800,圆满完成,,闲鱼商品上架助手,直接雇佣￥ 800,￥ 800,任务编号：1034707,0-88.csv,,
【H5开发】手机页面开发,https://task.epwk.com/1034797/,1117人,1人,¥200,圆满完成,,手机页面开发,直接雇佣￥ 200,￥ 200,任务编号：1034797,0-88.csv,,
【海报设计】海报设计已确认好,https://task.epwk.com/1034843/,85人,1人,¥160,圆满完成,,海报设计已确认好,直接雇佣￥ 160,￥ 160,任务编号：1034843,0-88.csv,,
【LOGO设计】游泳长训班,https://task.epwk.com/1034881/,82人,1人,¥200,圆满完成,,游泳长训班,直接雇佣￥ 200,￥ 200,任务编号：1034881,0-88.csv,,
【H5开发】手机页面开发,https://task.epwk.com/1035100/,920人,1人,¥200,圆满完成,,手机页面开发,直接雇佣￥ 200,￥ 200,任务编号：1035100,0-88.csv,,
【嵌入式软件】c++ 基于qt 进行通讯开,https://task.epwk.com/1035218/,675人,1人,"¥4,000",圆满完成,,c++ 基于qt 进行通讯开,直接雇佣￥ 4000,￥ 4000,任务编号：1035218,0-88.csv,,
【LOGO设计】公司标志设计注册商标,https://task.epwk.com/1035414/,71人,1人,"¥5,000",圆满完成,,公司标志设计注册商标,直接雇佣￥ 5000,￥ 5000,任务编号：1035414,0-88.csv,,
【PPT设计】企业PPT设计公司,https://task.epwk.com/1035537/,117人,1人,¥540,圆满完成,,企业PPT设计公司,直接雇佣￥ 540,￥ 540,任务编号：1035537,0-88.csv,,
【APP开发】小程序开发,https://task.epwk.com/1035570/,124人,1人,"¥26,000",圆满完成,,小程序开发,直接雇佣￥ 26000,￥ 26000,任务编号：1035570,0-88.csv,,
【小程序开发】基于设计的UI界面完成销售业务端口应用相关功能开发,https://task.epwk.com/1035601/,72人,1人,"¥6,000",圆满完成,,基于设计的UI界面完成销售业务端口应用相关功能开发,直接雇佣￥ 6000,￥ 6000,任务编号：1035601,0-88.csv,,
【H5开发】小程序页面版本优化,https://task.epwk.com/1035603/,1381人,1人,¥500,圆满完成,,小程序页面版本优化,直接雇佣￥ 500,￥ 500,任务编号：1035603,0-88.csv,,
【小程序开发】基于UI设计界面开发实时销售数据报表和一些基础支持功能,https://task.epwk.com/1035605/,72人,1人,"¥3,000",圆满完成,,基于UI设计界面开发实时销售数据报表和一些基础支持功能,直接雇佣￥ 3000,￥ 3000,任务编号：1035605,0-88.csv,,
【排版设计】宣传册排版设计,https://task.epwk.com/1035610/,71人,1人,"¥4,800",圆满完成,,宣传册排版设计,直接雇佣￥ 4800,￥ 4800,任务编号：1035610,0-88.csv,,
【彩页设计】产品手册排版设计,https://task.epwk.com/1035830/,90人,1人,"¥7,200",圆满完成,,产品手册排版设计,直接雇佣￥ 7200,￥ 7200,任务编号：1035830,0-88.csv,,
【APP开发】打车app开发,https://task.epwk.com/1035836/,118人,1人,"¥36,000",圆满完成,,打车app开发,直接雇佣￥ 36000,￥ 36000,任务编号：1035836,0-88.csv,,
【APP开发】社区商城小程序,https://task.epwk.com/1035838/,109人,1人,"¥10,000",圆满完成,,社区商城小程序,直接雇佣￥ 10000,￥ 10000,任务编号：1035838,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1035857/,73人,1人,"¥3,500",圆满完成,,LOGO设计,直接雇佣￥ 3500,￥ 3500,任务编号：1035857,0-88.csv,,
【LOGO设计】动态logo设计海报名片公司企业标志产品商标品牌VI诊断,https://task.epwk.com/1035878/,249人,1人,"¥4,400",圆满完成,,动态logo设计海报名片公司企业标志产品商标品牌VI诊断,直接雇佣￥ 4400,￥ 4400,任务编号：1035878,0-88.csv,,
【剪辑服务】淘客宣传视频剪辑,https://task.epwk.com/1035886/,631人,1人,¥80,圆满完成,,淘客宣传视频剪辑,直接雇佣￥ 80,￥ 80,任务编号：1035886,0-88.csv,,
【手机网站】AI工具网站开发兼容手机和PC,https://task.epwk.com/1036000/,111人,1人,"¥1,068",圆满完成,,AI工具网站开发兼容手机和PC,直接雇佣￥ 1068,￥ 1068,任务编号：1036000,0-88.csv,,
【排版设计】公司内部期刊设计,https://task.epwk.com/1036029/,65人,1人,"¥4,680",圆满完成,,公司内部期刊设计,直接雇佣￥ 4680,￥ 4680,任务编号：1036029,0-88.csv,,
【VI设计】茶饮品牌设计,https://task.epwk.com/1036091/,57人,1人,"¥5,500",圆满完成,,茶饮品牌设计,直接雇佣￥ 5500,￥ 5500,任务编号：1036091,0-88.csv,,
【VI设计】微信小程序学习平台界面设计,https://task.epwk.com/1036122/,73人,1人,¥500,圆满完成,,微信小程序学习平台界面设计,直接雇佣￥ 500,￥ 500,任务编号：1036122,0-88.csv,,
【其他软件开发】网站信息获取群发脚本协议开发,https://task.epwk.com/1036237/,72人,1人,"¥2,700",圆满完成,,网站信息获取群发脚本协议开发,直接雇佣￥ 2700,￥ 2700,任务编号：1036237,0-88.csv,,
【包装设计】墨雨包装设计包装盒,https://task.epwk.com/1036272/,53人,1人,"¥1,000",圆满完成,,墨雨包装设计包装盒,直接雇佣￥ 1000,￥ 1000,任务编号：1036272,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1036274/,55人,1人,"¥1,980",圆满完成,,LOGO设计,直接雇佣￥ 1980,￥ 1980,任务编号：1036274,0-88.csv,,
【画册设计】墨雨【画册设计】产品展示/企业宣传册/创意画册设计制作,https://task.epwk.com/1036276/,70人,1人,"¥4,000",圆满完成,,墨雨【画册设计】产品展示/企业宣传册/创意画册设计制作,直接雇佣￥ 4000,￥ 4000,任务编号：1036276,0-88.csv,,
【手游开发】游戏开发,https://task.epwk.com/1036280/,85人,1人,"¥18,000",圆满完成,,游戏开发,直接雇佣￥ 18000,￥ 18000,任务编号：1036280,0-88.csv,,
