标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【餐饮】餐饮店铺起名,https://task.epwk.com/1070703/,1009人,40人,¥300,圆满完成,,大冰老师,名字几个字都行，必须读起来有底蕴和格局，年轻化要做一个连锁。店铺主营卤菜和卤肉。味道确实是目前全世界最好吃的。客户主要是年轻人。要求工商注册能过去,2024-01-25,2024.09.24,任务编号：1070703,300.0,,,威啸uq5cI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,餐饮,,,44.0,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【商城建设】网站开发二期费用托管,https://task.epwk.com/1102014/,59人,1人,1000-3000元,圆满完成,,o5c8cffda3baf6,网站开发二期费用托管,2024-12-31,2025.01.24,任务编号：1102014,2000.0,20天,河南省-郑州市,有路科技,https://shop.epwk.com/j7n38jjge5e1/,有路科技,出售服务,https://shop.epwk.com/j7n38jjge5e1/chushou/,企业,四品,81分,总 6 次中标，交易总金额,￥1.93万,有路科技,,基于H5+CSS设计，打造优质的H5混合式APP,"￥998
            /起",门店收银系统开发餐饮管理扫码结算连锁门店收银系统,"￥998
            /起",APP定制开发家政教育医疗直播商城,"￥998
            /起",网站建设企业官网电商网站门户网站外贸网站营销网站,"￥998
            /起",微信小程序定制开发saas商城成品家政外卖点餐微商城教育,"￥998
            /起",APP、小程序、官网、数据大屏软件UI设计,"￥298
            /起",,,,,,,商城建设,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【其他工具软件】Excel编程开发,https://task.epwk.com/1101562/,276人,4人,1000-3000元,圆满完成,,ttw1988,Excel编程开发，程序需要支持：1、输入单个查询条件，查询显示对应信息；并支持多表格同一查询条件的联表查询。2、输入单个或多个查询条件，查询显示对应信息。,2024-12-27,2025.01.20,任务编号：1101562,1600.0,3天,江苏省-南京市-市辖区,星穹设计,https://shop.epwk.com/2j5xo43l05xm/,星穹设计,出售服务,https://shop.epwk.com/2j5xo43l05xm/chushou/,个人,七品,37分,,,星穹设计,,数据统计清洗生成测试VBA编程函数公式软件工具定制EXCEL,价格面议,,,,,,,,,,,,,,,,,其他工具软件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【小程序开发】微信小程序商城开发,https://task.epwk.com/1101523/,68人,1人,3000-5000元,圆满完成,,k6910****21,朱先生微信小程序商城  销量评论可以自己调整  页面精美 高级 预算3500-4500,2024-12-27,2025.01.21,任务编号：1101523,4000.0,7天,北京市-北京市-大兴区,华信网络,https://shop.epwk.com/0jnek99ejnv3/,华信网络,出售服务,https://shop.epwk.com/0jnek99ejnv3/chushou/,个人,六品,53分,总 2 次中标，交易总金额,￥6536.00,华信网络,,模板建站｜零基础建站，轻松快速效果丰富,"￥2180
            /起",轻应用小程序｜做名品低价，应有尽有的小程序,"￥1698
            /起",华信商城｜助力商家轻松打造在线商城,"￥2898
            /起",企业邮箱｜助力企业高效沟通,"￥360
            /起",,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【APP开发】android二开时发生错误，求大神修复！,https://task.epwk.com/1101386/,78人,1人,1000元以内,圆满完成,,威服致尚BZYgb,· 行业类型：直播· 软件类别：android 直播平台·· 开发语言：java 其他要求：原来的二开人员，因家中急事，中断了二次开发，现在代码中还有一个或几个小错误，现在需解决第一个小错误错误信息如下：SDK 初始化失败，请检查是否集成 umeng-asms-1.2.X.aar库还望有能力的大能帮忙看一下！,2024-12-26,2024.12.27,任务编号：1101386,500.0,1天,山西省-太原市,山西星智界科技有限公司,https://shop.epwk.com/09drjykll53w/,山西星智界科技有限公司,出售服务,https://shop.epwk.com/09drjykll53w/chushou/,企业,三品,76分,总 23 次中标，交易总金额,￥5.96万,山西星智界科技有限公司,,软件定制服务,"￥100000
            /起",门禁系统定制,"￥30000
            /起",智慧环保系统,"￥50000
            /起",DY小程序定制开发,"￥5000
            /起",支付宝小程序定制开发,"￥5000
            /起",微信小程序定制开发,"￥5000
            /起",,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【APP开发】小米电视应用开发,https://task.epwk.com/1101312/,299人,4人,1000-3000元,圆满完成,,积点信息,需要开发一个小米智能电视上面的应用，应用比较简单，就是一个大屏，内嵌一个浏览器播放大屏的内容就行,2024-12-26,2025.01.18,任务编号：1101312,2000.0,5天,安徽省-亳州市,恩悦智能,https://shop.epwk.com/qgdmjo2qgdke/,恩悦智能,出售服务,https://shop.epwk.com/qgdmjo2qgdke/chushou/,企业,六品,71分,总 5 次中标，交易总金额,￥7850.00,恩悦智能,,智慧大屏展示系统,"￥20000
            /起",单点登录系统,"￥20000
            /起",访客登记管理小程序,"￥2000
            /起",指纹管理系统,"￥2000
            /起",,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【手机网站】请PHP老手（个人）修改一个PHP单页网站,https://task.epwk.com/1101286/,129人,4人,1000-3000元,圆满完成,,o5dbf92f2db3dd,这个单页网站基本做好，但需要修改一些东西，对于老手来说，非常简单，报酬优渥，谈定后可以全额托管赏金,2024-12-26,2024.12.27,任务编号：1101286,1500.0,3天,重庆市-市辖区,重庆斯昂科技有限公司,https://shop.epwk.com/mod04eeek5yv/,重庆斯昂科技有限公司,出售服务,https://shop.epwk.com/mod04eeek5yv/chushou/,企业,七品,76分,总 1 次中标，交易总金额,￥1500.00,重庆斯昂科技有限公司,,微信小程序定制开发,"￥1000
            /起",系统/平台定制开发,"￥5000
            /起",APP定制开发,"￥5000
            /起",网站定制开发,"￥1000
            /起",公众号H5定制开发,"￥1000
            /起",,,,,,,,,手机网站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【微信开发】门店内部派单小程序开发,https://task.epwk.com/1101175/,1020人,4人,1000-3000元,圆满完成,,jinbuhuan,包含后台管理网站，用户端小程序，和师傅端小程序，都是些简单的基础功能，无支付功能。城市门店自己内部使用的小程序项目目前效果图已经设计完毕，可提供psd文件，等小程序开发需要的资质，第三方接口等； 请不要电话，有意向直接加微信沟通，备注，公司/个人+贵姓+门店小程序,2024-12-25,2025.01.23,任务编号：1101175,1200.0,"10天,15天","北京市-北京市,山东省-泰安市",广速达软件技术工作室,https://shop.epwk.com/v0n1xw80257y/,广速达软件技术工作室,出售服务,https://shop.epwk.com/v0n1xw80257y/chushou/,工作室,六品,60分,总 4 次中标，交易总金额,￥8000.00,广速达软件技术工作室,,APP开发(iOS& Android),价格面议,Web网站开发(ERP/CRM/SAAS等),价格面议,小程序定制开发,价格面议,,,,,,,,,,,,,微信开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【小程序开发】小程序二开,https://task.epwk.com/1101039/,356人,4人,1000-3000元,圆满完成,,Trance豆腐,小程序、后台新增功能、bug优化接入激励广告新增广告位子账号优化结算优化新增提示数据图表化投放功能优化,2024-12-24,2025.02.24,任务编号：1101039,2000.0,"20天,7天","河南省-洛阳市,山东省-泰安市",洛阳蓝普网络技术有限公司,https://shop.epwk.com/v0n1x1mq257y/,洛阳蓝普网络技术有限公司,出售服务,https://shop.epwk.com/v0n1x1mq257y/chushou/,企业,一品,105分,总 388 次中标，交易总金额,￥199.47万,洛阳蓝普网络技术有限公司,,php项目定制开发,￥1000,微信小程序定制开发,"￥1000
            /件",,,,,,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【前端开发】shopee逆向,https://task.epwk.com/1100654/,131人,1人,3000-5000元,圆满完成,,o5b38ab9dcd21f,shopee X参数 之前找人做过 jsvmp类型 有代码可以提供 现在shopee更新了加密 可以参考以前的代码,2024-12-22,2024.12.28,任务编号：1100654,4500.0,4天,山东省-淄博市,果田科技 100%好评服务商,https://shop.epwk.com/j7n38x8pe5e1/,果田科技 100%好评服务商,出售服务,https://shop.epwk.com/j7n38x8pe5e1/chushou/,企业,一品,82分,总 67 次中标，交易总金额,￥37.77万,果田科技 100%好评服务商,,各平台APP开发,价格面议,各平台小程序开发,价格面议,,,,,,,,,,,,,,,前端开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【小程序开发】小程序模板开发,https://task.epwk.com/1100155/,53人,1人,1000-3000元,圆满完成,,k3767****63,称呼:张先生地区:石家庄市（服务商地域不限）需求:小程序模板开发，展示，下单，追踪，锁客等预算:报价联系备注：微信是手机号,2024-12-19,2025.01.08,任务编号：1100155,2880.0,7天,北京市-北京市-大兴区,华信网络,https://shop.epwk.com/0jnek99ejnv3/,华信网络,出售服务,https://shop.epwk.com/0jnek99ejnv3/chushou/,个人,六品,53分,总 2 次中标，交易总金额,￥6536.00,华信网络,,模板建站｜零基础建站，轻松快速效果丰富,"￥2180
            /起",轻应用小程序｜做名品低价，应有尽有的小程序,"￥1698
            /起",华信商城｜助力商家轻松打造在线商城,"￥2898
            /起",企业邮箱｜助力企业高效沟通,"￥360
            /起",,,,,,,,,,,小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【其他软件开发】金蝶K312.1创新管理平台，物料导入功能开发,https://task.epwk.com/1100062/,186人,3人,1000元以内,圆满完成,,运筹威幄3LC9L,1，按物料模版导入物料；2，导入时，查询金蝶现有物料代码，自动触发增加一个流水代码，如分类代码 01.01.02 目前编号到了01.01.02.89 那么我在导入时自动变成01.01.02.90,2024-12-18,2025.01.09,任务编号：1100062,800.0,"5天,10天","天津市-市辖区-东丽区,广东省-深圳市",硕博明睿科技有限公司,https://shop.epwk.com/78n96rrpznkv/,硕博明睿科技有限公司,出售服务,https://shop.epwk.com/78n96rrpznkv/chushou/,企业,五品,92分,总 8 次中标，交易总金额,￥1.02万,硕博明睿科技有限公司,,,,,,,,,,,,,,,,,,,,其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【其他网站】爬取网站数据,https://task.epwk.com/1099512/,633人,3人,1000元以内,圆满完成,,优社J4X7Y,爬取一个众包网站的数据www.gaoxiaojob.com并插入数据库，预算300以内,2024-12-14,2024.12.23,任务编号：1099512,600.0,3天,安徽省-合肥市,红软科技,https://shop.epwk.com/7lngq0903dmr/,红软科技,出售服务,https://shop.epwk.com/7lngq0903dmr/chushou/,企业,四品,63分,总 11 次中标，交易总金额,￥4.67万,红软科技,,,,,,,,,,,,,,,,,,,,其他网站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【前端开发】模仿网站的宇航员特效,https://task.epwk.com/1099509/,108人,1人,1万-2万元,圆满完成,,o5bcd3d38b363a,https://lusion.co/ 模仿这个网站的宇航员特效，做个动效，其中把宇航员模型换成猫的模型，然后那个宇航员进入那个通道，通道四周换成油画，请微信联系，不要打电话,2024-12-14,2025.01.03,任务编号：1099509,7000.0,5天,安徽省-合肥市,合肥四维虹动画,https://shop.epwk.com/0jnek9e99nv3/,合肥四维虹动画,出售服务,https://shop.epwk.com/0jnek9e99nv3/chushou/,企业,五品,41分,,,合肥四维虹动画,,AI动画/图生图/图生动画,价格面议,企业宣传片拍摄/剪辑,价格面议,360°全景VR,价格面议,视频剪辑/AE特效,"￥500
            /起",三维工程动画/桥梁/隧道/铁路/公路等三维施工模拟动画,"￥1000
            /起",效果图/鸟瞰图/彩平图,"￥500
            /起",,,,,,,前端开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【APP开发】客服系统开发,https://task.epwk.com/1099283/,98人,1人,1000-3000元,圆满完成,,华创RMoFQ,需要开源系统，就是在微信上测试的那套，加上越南语言实时翻译的功能，搭建到我服务器交付，测试15天	不要出现要升级，或者不能使用的情况，保证无授权无后门，交付提供搭建文档和接口文档。,2024-12-12,2024.12.26,任务编号：1099283,1000.0,15天,山东省-青岛市-黄岛区,中泰企服,https://shop.epwk.com/81n41z27ynp6/,中泰企服,出售服务,https://shop.epwk.com/81n41z27ynp6/chushou/,企业,五品,40分,,,中泰企服,,PHP二开,"￥100
            /起",企业网站开发,"￥1000
            /起",小程序开发,"￥1000
            /起",APP开发,"￥1000
            /起",,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
